ID,type,MonsterDrop,CollectDrop,备注（策划用）
2001460,1,1319=3060432=1=100|1320=3060433=1=100,,骑士的镇魂歌
12008240,1,1303=3060241=1=100,,暴君的列传
1008220,1,140110=3060547=1=100|140111=3060548=1=100,200636=3060549=1=100,艾尔帕兰预热章
2001710,1,1508=3061001=1=100|1519=3061002=1=100,,永恒的抉择
2001650,1,1520=3061101=1=100,,通往神国的钟塔
12008850,1,1519=3061102=1=100,,时空旅人上
3033010,1,1019=3060814=1=100,,飞里乐生命体进阶
3009020,1,1038=3060815=1=100,,舞娘转职任务
19012410,1,1520=3061201=1=30,,奇遇-永远的守候
19012140,1,1503=3061202=1=50,,奇遇-玩具王国
22002510,1,1098=3060902=1=100,,记忆碎片2
22003210,1,1115=3060903=1=100,,记忆碎片9
6009020,1,1005=10326104=1=20,,饰品引导
