TaskId,Type,StoryBoardId,PostcardName,Text
1007210,1,,,冒险者，我身上圣痕诅咒的作用已经逐渐散去，我也终于可以继续展开对教国阴谋的调查了。前往贤者之间来和我碰头吧，对了，你的一位老朋友现在也正在这儿呢！  
12004620,1,,,你发出来的联络信号我们已经收到了，请立即赶往花园，我们在那里汇合！
12004470,1,,,已查明奥伦为皇室叛逃研究员，我们正在抓捕的路上，望留下一些标记帮助抓捕，并查明奥伦的阴谋，万事小心！                                    
2000210,2,4026,,
1004410,1,,,不知你还记不记得露克希灵魂碎片中的母子？我找到了关于他们的资料，来教堂找我。
12005280,1,,,自上次一别已久，很是想念，近日勇士尤利卡出现在伊斯鲁得，特地来信告知。\r\n若有时间，来伊斯鲁得酒吧小聚，聊聊近况。
12005320,1,,,此次来信是想通知你：近日勇士柏得出现在伊斯鲁得接受挑战。\r\n我的努力终有成效，在狩猎魔物偶然得到一张卡片，要去普隆德拉插卡。你也要加油，小心被我赶上！
12005370,1,,,前天我已回到了伊斯鲁得，真凑巧，这就传来了勇士卡洛接受挑战的消息。\r\n亲爱的朋友，要是有空就来伊斯鲁得酒吧老地方聚聚。
2000710,1,,,你好，这里是普隆德拉邮政处，你的包裹被委托寄放在这里，希望你尽快来取。
2000810,1,,,黑白修士能够顶替巴雷蒙德成为祭品，身上一定有某些共同点。\r\n或许他们知道苏醒巴雷蒙德的方法。我有新的想法，但需要你的协助，我在斯芬克斯的老地方等你。
12007410,1,,,我的伤已经好了。利用养伤的这段时间，我也找到了一些斯芬克斯二层的资料。朋友，我在斯芬克斯一层等你，让我们一起找到沉睡的宝藏吧。
2001310,1,,,来梦罗克西部找我，有重要的事情需要和你详谈。\r\n和陷入沉睡的露希尔相关。
3006010,1,,,黑暗正在觉醒……\r\n我们需要你这样的强大冒险者。\r\n请解开星泪石中蕴含的神谕……
13000020,1,,,受巴雷蒙德委托，特告知：你已开启更高等级的“贤者的回忆”副本，如若有暇，那就邀请你的朋友一起前来体验吧！在这场战斗中，你或许能体会到新的战斗技巧！
13000030,1,,,受巴雷蒙德委托，特告知：你已开启更高等级的“贤者的回忆”副本，如若有暇，那就邀请你的朋友一起前来体验吧！在这场战斗中，你或许能体会到新的战斗技巧！
13000040,1,,,受巴雷蒙德委托，特告知：你已开启更高等级的“贤者的回忆”副本，如若有暇，那就邀请你的朋友一起前来体验吧！在这场战斗中，你或许能体会到新的战斗技巧！
13000050,1,,,受巴雷蒙德委托，特告知：你已开启更高等级的“贤者的回忆”副本，如若有暇，那就邀请你的朋友一起前来体验吧！在这场战斗中，你或许能体会到新的战斗技巧！
13000060,1,,,受巴雷蒙德委托，特告知：你已开启更高等级的“贤者的回忆”副本，如若有暇，那就邀请你的朋友一起前来体验吧！在这场战斗中，你或许能体会到新的战斗技巧！
13000070,1,,,受巴雷蒙德委托，特告知：你已开启更高等级的“贤者的回忆”副本，如若有暇，那就邀请你的朋友一起前来体验吧！在这场战斗中，你或许能体会到新的战斗技巧！
13000080,1,,,受巴雷蒙德委托，特告知：你已开启更高等级的“贤者的回忆”副本，如若有暇，那就邀请你的朋友一起前来体验吧！在这场战斗中，你或许能体会到新的战斗技巧！
13000090,1,,,受巴雷蒙德委托，特告知：你已开启更高等级的“贤者的回忆”副本，如若有暇，那就邀请你的朋友一起前来体验吧！在这场战斗中，你或许能体会到新的战斗技巧！
13000100,1,,,受巴雷蒙德委托，特告知：你已开启更高等级的“贤者的回忆”副本，如若有暇，那就邀请你的朋友一起前来体验吧！在这场战斗中，你或许能体会到新的战斗技巧！
13000110,1,,,受巴雷蒙德委托，特告知：你已开启更高等级的“贤者的回忆”副本，如若有暇，那就邀请你的朋友一起前来体验吧！在这场战斗中，你或许能体会到新的战斗技巧！
12005500,1,,,朋友，竞技场似乎出了些问题。\r\n这件事亟待解决，我在伊斯鲁得竞技场门前等你。
6000270,1,,,由于乐园团对你的综合评价较高，因此向你发出邀约，希望能借助你的力量来完成一项秘密使命。\r\n来皇宫走廊内详谈。
1007010,1,,,梦罗克的处境在黑白双子被献祭后，变得更糟了……速来梦罗克城主宅邸详谈。
25000060,1,,,嘿！听说你通过了神匠·奥瑞特的考验，真是不简单，想尽快见见你。\r\n来梦罗克监狱吧，我们在那里会面。
12007610,1,,,经过这几天的调查，吉芬塔事件有了一些新线索，速来吉芬一趟！
22002251,1,,,各位参与攻城战的公会成员，攻城战在即，请来普隆德拉，协助骑士团完成战前准备。
1008010,1,,,见字如面。\r\n  许久未见，近日可好！\r\n  我受命在吉芬旷野调查神秘事件，事情比较棘手，需要你的帮助，我在连接马车森林的入口处等你。
12008210,1,,,抱歉，再次打扰您。因古城开启，前去探险的人不断增多，我们虽已成立了临时小分队，但人手依旧不足，还望你伸出援手，前往古城帮助小队长维持秩序，为谢！
1007810,1,,,冒险者，还记得古城的三枚王冠吗？事情出现了转机，我收到了一个神秘的包裹，速来商议！
12008610,1,,,冒险者，我翻阅书籍时发现了古城中曾建有图书馆，虽然图书馆在历史上因爆炸被摧毁，但说不定还留存着施密特王的资料。你要是感兴趣，来古城城堡2F找我吧。
12008010,1,,,亲爱的好友，近日我奉命调查哈因里西和暴君施密特的事情。事关重大，我需要你的帮助。请你前往吉芬图书馆与我会面。
12008410,1,,,冒险者，你还记得我吗，最近听闻古城已开放，我的助手科曼已经前往古城调查。\r\n但古城十分危险，希望你能去古城助他一臂之力。
3026010,1,,,吉芬发生极其恶劣的盗窃事件，大量珍贵魔法药剂失窃，我们正在寻求对药剂有深入研究的炼金术士协助，若您愿意帮忙，请前来吉芬与我详谈。
3033010,1,,,冒险者，还记得我吗？最近我有了新的线索，请收到信后来妙勒尼山脉面谈，我在那儿等你。
3034010,1,,,冒险者，我这里有一颗贤者之石可以帮助你的生命体进阶，请来花园找我。
3031010,1,,,新一届的巴尼米乐斯竞技大会即将召开，本次大会最终大奖为巴尼米乐斯型贤者之石，各位创造者们请踊跃报名吧！
6002610,1,,,经由乐园团推荐，因此向你发出邀约，希望能借助你的力量来完成一项任务，佣金丰厚。\r\n前往装备商店找研究员莫斯详谈。
6003010,1,,,冒险者，猫手商队最近遇到了一些小问题，需要你的帮助。我准备了丰厚的报酬在艾尔贝塔的港口等你！
6003110,1,,,冒险者，猫手商队最近遇到了一些小问题，需要你的帮助。我准备了丰厚的报酬在艾尔贝塔的港口等你！
6003210,1,,,冒险者，猫手商队最近遇到了一些小问题，需要你的帮助。我准备了丰厚的报酬在艾尔贝塔的港口等你！
6003310,1,,,冒险者，猫手商队最近遇到了一些小问题，需要你的帮助。我准备了丰厚的报酬在艾尔贝塔的港口等你！
6003410,1,,,冒险者，猫手商队最近遇到了一些小问题，需要你的帮助。我准备了丰厚的报酬在艾尔贝塔的港口等你！
6003510,1,,,冒险者，猫手商队最近遇到了一些小问题，需要你的帮助。我准备了丰厚的报酬在艾尔贝塔的港口等你！
6003610,1,,,冒险者，猫手商队最近遇到了一些小问题，需要你的帮助。我准备了丰厚的报酬在艾尔贝塔的港口等你！
6003710,1,,,冒险者，猫手商队最近遇到了一些小问题，需要你的帮助。我准备了丰厚的报酬在艾尔贝塔的港口等你！
6003910,1,,,冒险者，猫手商队最近遇到了一些小问题，需要你的帮助。我准备了丰厚的报酬在艾尔贝塔的港口等你！
19012330,1,,,来先前教国的秘密基地，你想要的答案就在那里。
19012350,1,,,教国阴谋已破，我们大家难得相聚，决定在斐扬举办庆功宴，你可千万不要缺席。\r\n 当然如果你不来的话，骑士团的赏金可就无法交给你了！
1008210,1,,,妙勒尼山脉深处炼金术士艾鲁向乐园团发出寻人请援。\r\n   近日妙勒尼附近发现原因未知的石像袭人事件，感兴趣的冒险者酌情参与。
2001710,1,,,冒险者，不久前我们时空调查团找到了前往梦魇层的方法，福金却因再次进入梦魇层而失踪，我们希望你能帮忙调查。
12009010,1,,,冒险者，还记得那位死亡的密室囚人吗？他竟然复活了！更令人惊讶的是他并非人类，而是机器人。他似乎对你很熟悉，希望你能来炼金术士工会看看。
2001670,1,,,\r\n弗雷在他母亲和我的照料下已经苏醒，他非常想见见你这位救了他的大英雄。
1008410,1,,,经由乐园团推荐，向你发出邀约。希望能借助你的力量来解除艾尔帕兰的危机，佣金丰厚。\r\n前往艾尔帕兰钟楼附近找炼金术士艾鲁详谈。
1008610,1,,,关于钟楼的能量风暴调查陷入瓶颈，约定的调查团人员没有如期而至，我想我仍需要你的辅助。\r\n时间紧迫，我在钟楼地上1F的入口处等你。
3028010,1,,,冒险者，近日我收到了一些消息，有一位从【里希塔乐镇】来的【基因研究员】带来了一只艾咪斯可鲁，如果你感兴趣的话，去艾尔帕兰找基因研究员奥兰聊聊！
3029010,1,,,你是否还在寻找合适的生命体？\r\n我听说最近苏克拉特沙漠来了一位知名基因学者，他以培养出色的生命体名扬天下，如果你感兴趣，就去苏克拉特沙漠看看吧。
12009610,1,,,新剧目已经排演完毕，巡演的日子也快到了，我们已经出发前往蜜月岛了，这是剧团的邀请函，你和依诗柯一定要来蜜月岛看我们的演出啊！
6005110,1,,,卢恩王国近日将举办大型赛事时空模拟战，如果你感兴趣的话，来艾尔帕兰找我了解详情吧！
1009210,1,,,请来我的研究室一趟，你留下的烂摊子严重影响了我的研究进度！
29000040,1,,,近日，卢恩王国在西门检测到了一些能量波动。他们派遣我来调查此事，我在西门探访的过程中。从佩特拉和小宠物的口中，得知了你曾经接触过一个机械体……事情重大，麻烦来一趟西门吧。
22004010,1,,,冒险者，近日斐扬附近的村庄发生诡异事件，已经造成了小范围的恐慌。目前我分身乏术，急需你的帮助探查此事的真相。如果你有兴趣，就来斐扬找我吧！
