ID,Type,Args,TargetID,LocalizationArea,,
7003,11,7,19009100,,走到普隆德拉区域触发19009100触发器,
7004,15,2567,19008200,,对ID为2567的NPC对话触发任务,
6003,11,25,19004000,,进入梦罗克西部编号为19004000触发器,
6004,15,13470,19003500,,与id为13470的npc对话触发任务,
6005,20,0,2,9,双人契约任务专用,
705,15,13922,19008100,,与id为13922的npc对话触发任务,
601,16,0,10500,,拍照拍到斐扬指定场景166,
602,11,47,19011810,,进入斐扬编号为19011810的触发器,
603,11,47,19011910,,进入斐扬编号为19011910的触发器,
401,11,7,12002410,,进入到普隆德拉返回奇遇记录id值为12002410的触发器的范围内,
402,11,47,19010410,9,进入到斐扬返回奇遇记录id值为19010410的触发器的范围内,
403,11,47,19010510,9,进入到斐扬返回奇遇记录id值为19010510的触发器的范围内,
404,11,7,19011010,11,进入到普隆德拉返回奇遇记录id值为19011010的触发器的范围内,
27,18,0,0,,type18为非预注册玩家，无标识,
28,17,0,0,,type17为预注册抢占角色成功玩家，有标识,
706,15,14042,19009200,,与id为14042的npc对话触发任务,
3101,19,0,3101,,服事二转的时候，选择牧师标识,
3201,19,0,3201,,服事二转的时候，选择武僧标识,
801,11,7,19010910,11,万圣节奇遇：诡异烛光,
802,11,7,19010810,11,万圣节奇遇：紧急订单,
803,11,7,19010710,11,万圣节奇遇：万圣节漫游指南,
804,11,55,19011210,11,古城奇遇：最后的王者,
805,11,82,19011310,27,圣诞节奇遇：圣诞礼物,
806,11,82,19011410,27,圣诞节奇遇：雪花节问答,
809,11,7,19012310,9,春节奇遇：新春阴云,
701,11,7,19012010,11,进入到普隆德拉返回奇遇记录id值为19012010的触发器的范围内,
702,11,7,19013010,9,进入到普隆德拉返回奇遇记录id值为19013010的触发器的范围内,
708,22,0,1301,9,记忆碎片活动,
2101,19,0,2101,,骑士二转的时候，选择十字军标识,
2201,19,0,2201,,十字军二转的时候，选择骑士标识,
501,19,0,6101,25,商人二转的时候，选择铁匠标识,
502,19,0,6201,25,商人二转的时候，选择炼金术士标识,
503,21,0,141,,米雅进阶任务,
504,21,0,131,,巴尼米乐斯进阶任务,
505,21,0,101,,丽芙进阶任务,
506,21,0,111,,艾咪斯可鲁进阶任务,
507,21,0,121,,飞里乐进阶任务,
901,11,85,19012610,9,5v5奇遇,
1001,19,0,7201,25,弓箭手二转的时候，选择诗人标识,
1002,19,0,7211,25,弓箭手二转的时候，选择舞娘标识,
1003,19,0,7101,25,弓箭手二转的时候，选择猎人标识,
1004,19,0,4101,25,魔法师二转的时候，选择巫师标识,
1005,19,0,4201,25,魔法师二转的时候，选择贤者标识,
1111,22,0,13007001,9,天空套活动测试用例,
