NPCid,Des,NpcDate,LocalizationArea
15864,主线十九章哈因理西,1007410=1=3=1007420=npcmove01=55=163.18=21.62=183.53=270.00|1007420=0=0=1007420=npcstay=55=163.18=21.62=183.53=270.00|1007420=1=0=1007420=npcstay=55=163.18=21.62=183.53=270.00|1007420=1=1=1007420=npcstay=55=163.18=21.62=183.53=270.00|1007420=1=2=1007420=npcstay=55=163.18=21.62=183.53=270.00|1007420=1=3=1007420=npcstay=55=163.18=21.62=183.53=270.00,
15863,主线十九章宝妮,1007410=1=3=1007420=npcmove02=55=162.36=21.61=179.96=270.00|1007420=0=0=1007420=npcstay=5=162.36=21.61=179.96=270.00|1007420=1=0=1007420=npcstay=5=162.36=21.61=179.96=270.00|1007420=1=1=1007420=npcstay=5=162.36=21.61=179.96=270.00|1007420=1=2=1007420=npcstay=5=162.36=21.61=179.96=270.00|1007420=1=3=1007420=npcstay=5=162.36=21.61=179.96=270.00,
15893,主线二十章,1007630=1=2=1007630=npcmove=526=200.82=50.91=279.74=54.00|1007630=1=3=1007630=npcstay=526=200.82=50.91=279.74=54.00,
15923,主线二十一章,1007830=1=0=1007830=npcmove=530=76.06=43.42=142.84=168.00|1007830=1=1=1007830=npcstay=530=76.06=43.42=142.84=168.00|1007830=1=2=1007830=npcstay=530=76.06=43.42=142.84=168.00,
16141,冒险线91级,12008420=1=2=12008420=npcmove=55=196.14=28.46=259.06=3.00,
16145,冒险线91级,12008450=1=0=12008450=npcmove=526=265.54=50.93=302.72=42.00|12008450=1=1=12008450=npcstay=526=265.54=50.93=302.72=42.00|12008450=1=2=12008450=npcstay=526=265.54=50.93=302.72=42.00|12008450=1=3=12008450=npcstay=526=265.54=50.93=302.72=42.00,
16143,冒险线91级,12008450=1=0=12008450=npcmove2=526=263.47=50.93=305.23=68.00|12008450=1=1=12008450=npcstay=526=263.47=50.93=305.23=68.00|12008450=1=2=12008450=npcstay=526=263.47=50.93=305.23=68.00|12008450=1=3=12008450=npcstay=526=263.47=50.93=305.23=68.00,
16267,古城奇遇最后的王者-诡异教徒,19011210=1=4=19011212=xingzongguiyi=55=101.23=20.01=125.72=1.00,
16085,古城奇遇最后的王者-诡异教徒,12008240=1=0=16085=HYLX_yindao=526=187.15=49.11=308.55=180|12008240=1=1=16085=HYLX_tingzhi=526=187.15=49.11=308.55=180|12008240=1=2=16085=HYLX_tingzhi=526=187.15=49.11=308.55=180|12008240=1=3=16085=HYLX_tingzhi=526=187.15=49.11=308.55=180,
61462,春节奇遇,19011720=1=2=190011720=npcmove=47=96.24=20.32=204.81=15.00,
16353,钟楼开门章,1008240=1=0=1008240=npcmove=83=41.75=0.68=114.63=264|1008240=1=1=1008240=npcstay=83=41.75=0.68=114.63=264|1008240=1=2=1008240=npcstay=83=41.75=0.68=114.63=264|1008240=1=3=1008240=npcstay=83=41.75=0.68=114.63=264|1008250=0=0=1008240=npcstay=83=41.75=0.68=114.63=264|1008250=1=0=1008240=npcstay=83=41.75=0.68=114.63=264,
17407,群岛冒险上-神秘人（山道）,12009420=1=3=12009420=shenmiren1=87=289.88=62.14=273.51=275.00|12009420=1=4=12009420=shenmiren2=87=244.06=70.56=253.93=187.00|12009420=1=5=12009420=shenmiren2=87=244.06=70.56=253.93=187.00|12009430=0=0=12009420=shenmiren2=87=244.06=70.56=253.93=187.00|12009430=1=0=12009420=shenmiren2=87=244.06=70.56=253.93=187.00|12009430=1=1=12009420=shenmiren2=87=244.06=70.56=253.93=187.00|12009430=1=2=12009420=shenmiren2=87=244.06=70.56=253.93=187.00,
17408,群岛冒险上-舞娘（山道）,12009420=1=3=12009420=wuniang1=87=288.88=62.14=272.511=275.00|12009420=1=4=12009420=wuniang2=87=244.18=70.56=257.32=187.00|12009420=1=5=12009420=wuniang2=87=244.18=70.56=257.32=187.00|12009430=0=0=12009420=wuniang2=87=244.18=70.56=257.32=187.00|12009430=1=0=12009420=wuniang2=87=244.18=70.56=257.32=187.00|12009430=1=1=12009420=wuniang2=87=244.18=70.56=257.32=187.00|12009430=1=2=12009420=wuniang2=87=244.18=70.56=257.32=187.00,
17409,群岛冒险上-诗人（山道）,12009420=1=3=12009420=shiren1=87=288.88=62.14=273.51=275.00|12009420=1=4=12009420=shiren2=87=242.45=70.56=255.62=177.00|12009420=1=5=12009420=shiren2=87=242.45=70.56=255.62=177.00|12009430=0=0=12009420=shiren2=87=242.45=70.56=255.62=177.00|12009430=1=0=12009420=shiren2=87=242.45=70.56=255.62=177.00|12009430=1=1=12009420=shiren2=87=242.45=70.56=255.62=177.00|12009430=1=2=12009420=shiren2=87=242.45=70.56=255.62=177.00,
17410,群岛冒险上-流氓（山道）,12009420=1=3=12009420=liumang1=87=289.88=62.14=272.51=275.00|12009420=1=4=12009420=liumang2=87=246.57=70.56=256.82=177.00|12009420=1=5=12009420=liumang2=87=246.57=70.56=256.82=177.00|12009430=0=0=12009420=liumang2=87=246.57=70.56=256.82=177.00|12009430=1=0=12009420=liumang2=87=246.57=70.56=256.82=177.00|12009430=1=1=12009420=liumang2=87=246.57=70.56=256.82=177.00|12009430=1=2=12009420=liumang2=87=246.57=70.56=256.82=177.00,
17498,群岛冒险下,12009640=1=3=12009640=wuniang1=541=133.04=17.06=228.68=40.00|12009640=1=4=12009640=wuniang1=541=133.04=17.06=228.68=40.00|12009640=5=0=12009640=wuniang2=541=236.24=17.55=243.77=64.00,
17487,群岛冒险下,12009640=1=3=12009640=shiren1=541=133.42=17.29=231.65=202.00|12009640=1=4=12009640=shiren1=541=133.42=17.29=231.65=202.00|12009640=5=0=12009640=shiren2=541=238.45=17.55=245.94=75.00,
17488,群岛冒险下,12009640=1=3=12009640=liumang1=541=135.94=17.28=228.40=260.00|12009640=1=4=12009640=liumang1=541=135.94=17.28=228.40=260.00|12009640=5=0=12009640=liumang2=541=239.60=17.55=243.29=48.00,
17660,宠物引导-疯兔,6004100=1=3=17660=npcmove1=1=137.97=7.82=54.64=161.00|6004100=1=4=17660=npcmove2=1=186.82=7.54=51.44=101.00,
17744,朱诺主线上：阿斯,1009070=1=1=17744=move1=99=468.83=44.09=141.59=337.00|1009070=1=2=17744=move1=99=468.83=44.09=141.59=337.00|1009070=1=3=17744=move1=99=468.83=44.09=141.59=337.00|1009070=1=4=17744=move1=99=468.83=44.09=141.59=337.00,
17745,朱诺主线上：佣兵,1009070=1=1=17744=move2=99=471.73=44.08=141.40=289.00|1009070=1=2=17744=move2=99=471.73=44.08=141.40=289.00|1009070=1=3=17744=move2=99=471.73=44.08=141.40=289.00|1009070=1=4=17744=move2=99=471.73=44.08=141.40=289.00,
17746,朱诺主线上：佣兵,1009070=1=1=17744=move3=99=471.14=44.09=139.27=295.00|1009070=1=2=17744=move3=99=471.14=44.09=139.27=295.00|1009070=1=3=17744=move3=99=471.14=44.09=139.27=295.00|1009070=1=4=17744=move3=99=471.14=44.09=139.27=295.00,
17747,朱诺主线上：佣兵,1009070=1=1=17744=move4=99=469.59=44.09=138.75=322.00|1009070=1=2=17744=move4=99=469.59=44.09=138.75=322.00|1009070=1=3=17744=move4=99=469.59=44.09=138.75=322.00|1009070=1=4=17744=move4=99=469.59=44.09=138.75=322.00,
17739,朱诺主线上：阿尔,1009050=1=3=17744=move5=202=234.73=42.85=221.93=348.00|1009060=1=0=17744=move5=202=234.73=42.85=221.93=348.00|1009060=1=1=17744=move5=202=234.73=42.85=221.93=348.00|1009060=1=2=17744=move5=202=234.73=42.85=221.93=348.00|1009060=1=3=17744=move5=202=234.73=42.85=221.93=348.00,
61854,记忆碎片2黛博拉,22002510=1=2=22002510=dblmove1=19=104.80=12.16=158.98=351.00|22002520=1=0=22002510=dblmove2=19=143.95=12.16=151.20=322.00,
61855,记忆碎片2迪肯,22002510=1=2=22002510=dkmove1=19=104.09=12.16=157.75=348.00|22002520=1=0=22002510=dkmove2=19=141.90=12.16=149.53=348.00,
61856,记忆碎片2里奥,22002510=1=2=22002510=lamove1=19=100.44=12.16=155.99=6.00|22002520=1=0=22002510=lamove2=19=134.68=12.16=151.10=67.00,
61857,记忆碎片2卡洛琳,22002520=1=0=22002510=kllmove=19=133.92=12.16=155.46=85.00,
17848,朱诺主线下：阿斯,1009230=1=1=17848=move1=310=139.29=8.18=90.92=91.00|1009230=1=2=17848=move1=310=139.29=8.18=90.92=91.00|1009230=1=3=17848=move1=310=139.29=8.18=90.92=91.00,
17852,朱诺主线下：菲罗德斯,1009230=1=1=17848=move5=310=143.68=8.19=88.02=276.00|1009230=1=2=17848=move5=310=143.68=8.19=88.02=276.00|1009230=1=3=17848=move5=310=143.68=8.19=88.02=276.00|1009230=1=4=17848=move5=310=143.68=8.19=88.02=276.00|1009240=1=0=17848=move5=310=143.68=8.19=88.02=276.00,
17853,朱诺主线下：林赛,1009230=1=1=17848=move6=310=143.58=8.18=90.36=269.00|1009230=1=2=17848=move6=310=143.58=8.18=90.36=269.00|1009230=1=3=17848=move6=310=143.58=8.18=90.36=269.00|1009230=1=4=17848=move6=310=143.58=8.18=90.36=269.00|1009240=1=0=17848=move6=310=143.58=8.18=90.36=269.00,
17854,朱诺主线下：共和国卫兵1,1009230=1=1=17848=move7=310=145.30=8.18=88.63=283.00|1009230=1=2=17848=move7=310=145.30=8.18=88.63=283.00|1009230=1=3=17848=move7=310=145.30=8.18=88.63=283.00|1009230=1=4=17848=move7=310=145.30=8.18=88.63=283.00|1009240=1=0=17848=move7=310=145.30=8.18=88.63=283.00,
17855,朱诺主线下：共和国卫兵2,1009230=1=1=17848=move8=310=145.31=8.18=89.95=264.00|1009230=1=2=17848=move8=310=145.31=8.18=89.95=264.00|1009230=1=3=17848=move8=310=145.31=8.18=89.95=264.00|1009230=1=4=17848=move8=310=145.31=8.18=89.95=264.00|1009240=1=0=17848=move8=310=145.31=8.18=89.95=264.00,
17856,朱诺主线下：共和国卫兵3,1009230=1=1=17848=move9=310=145.37=8.18=91.12=253.00|1009230=1=2=17848=move9=310=145.37=8.18=91.12=253.00|1009230=1=3=17848=move9=310=145.37=8.18=91.12=253.00|1009230=1=4=17848=move9=310=145.37=8.18=91.12=253.00|1009240=1=0=17848=move9=310=145.37=8.18=91.12=253.00,
17857,朱诺主线下：共和国卫兵4,1009230=1=1=17848=move10=310=144.97=8.18=92.43=262.00|1009230=1=2=17848=move10=310=144.97=8.18=92.43=262.00|1009230=1=3=17848=move10=310=144.97=8.18=92.43=262.00|1009230=1=4=17848=move10=310=144.97=8.18=92.43=262.00|1009240=1=0=17848=move10=310=144.97=8.18=92.43=262.00,
17756,朱诺主线上：默瑟,1009100=1=1=17744=move6=545=68.40=46.51=69.60=111.00|1009100=1=2=17744=move6=545=68.40=46.51=69.60=111.00|1009100=1=3=17744=move6=545=68.40=46.51=69.60=111.00|1009100=5=0=17744=move6=545=68.40=46.51=69.60=111.00|1009110=0=0=17744=move6=545=68.40=46.51=69.60=111.00,
18301,卡片进阶,6009030=1=2=60092=move2=7=150.93=9.82=113.42=157.00|6009030=1=3=60092=move3=7=150.93=9.82=113.42=157.00|6009030=5=0=60092=move5=7=145.9=9.82=161.05=255.00,
