Id,PreId,TogetherPreId,Name,TaskDes,Type,Chapter,ChapterName,ServerLevel,AcceptLimitBaseLevel,AcceptLimitJobLevel,PushLevel,AcceptLimitProfession,AcceptLimitSex,AcceptLimitItem,AcceptLimitIdentity,FinishLimitIdentity,FinishLimitCD,AcceptNpc,FinishNpc,ItemAfterAccept,ItemBeforeFinish,AcceptAutoPath,Accepttype,Finishtype,ShortcutShowType,FindwayType,AbandonType,DestroyType,LimitTask,CycleNumber,TargetSubTasks,TargetSubTaskChoose,Target1,SpecialMes1,TargetDes1,Target2,SpecialMes2,TargetDes2,Target3,SpecialMes3,TargetDes3,Target4,SpecialMes4,TargetDes4,Target5,SpecialMes5,TargetDes5,TargetRunType,TaskTrigger,IsReminder,FinishTips,NpcFavors,RewardID,DescAcceptable,DescCanFinish,TalkScript,TaskAcceptScriptTag,TaskFinishScriptTag,HideSymbol,AwardExhibition,IsShield,OpenSystemLimit,LocalizationArea
任务ID（主线任务：1000000—1999999；支线任务：2000000—2999999；职业任务：3000000—3999999；日常任务：4000000—4999999；周常任务：5000000—5999999；引导任务：6000000—6999999；奇遇任务：7000000—7999999；公会任务：8000000—8999999；伊甸园任务：9000000—9999999；爱神任务：10000000—10999999；伊甸园加急：11000000—11999999；冒险任务：12000000—12999999；主题副本：13000000—13999999；生活支线：14000000—14999999）,前置任务ID（任务ID|任务ID……；满足其中一个即可，是“或”的关系，可为空）,并列前置限制（任务ID|任务ID……；不仅要完成前置ID，还需要完成这个并列限制里面的所有任务才算完成所有前置，这个字段里面的id是“与”的关系，可为空）,任务名称,任务简单描述,任务类型（1，主线任务；2，支线任务；3，职业任务；4，日常任务；5，周常任务；6，引导任务；7，奇遇任务；8，公会任务；9，伊甸园任务；10，爱神任务；11，伊甸园加急；冒险任务，类型是12；副本任务，类型是13；生活支线 14；）,所属章节（注意：此字段在热更时会调用，必须配置，每章最好控制在20个任务以内，减少消耗）,章节名（可不填）,服务器等级,接取base等级限制（最低等级=最高等级；上限或者下线无限制的地方填0）,接取job等级限制（最低等级=最高等级；上限或者下线无限制的地方填0）,推送等级：推送base等级下限=推送base隐藏等级上限,职业限制（根据职业划分，填取职业ID，可填多个中间用分号隔开；0表示全职业）,性别限制（0，男；1，女；2，无限制）,接取需求道具限制（道具ID=数量|道具ID=数量;接取的时候扣除，可为空）,接取社交身份限制（0：无限制；1，队长；2，异性组队队长接取……持续添加）,交付社交身份限制（0：无限制；1，队长；2，异性组队队长接取……持续添加）,完成时间限制（单位：秒；不填表示无限制）,接取NPC（NPCid=所在场景）,交付NPC（NPCid=所在场景）,接任务获得的任务道具（道具ID=数量|道具ID=数量，可为空）,交任务需要扣除的任务道具（道具ID=数量|道具ID=数量，可为空，任务道具给的道具记得在这里回收）,接取后是否自动寻路（0.接取后不自动寻路1.接取后自动寻路）,接取形式（1：正常对话接取；2，自动接取；3，飞鸽传书）,交付形式（1：正常对话交付；2，自动交付）,快捷追踪方式（0，在所有任务界面里都不显示1，不可接取的时候就显示追踪；2，可接取的时候就显示追踪；3，接取之后才显示追踪）,寻路模式（1，自动寻路；2，引导提示；3，不能寻路，全靠自己找）,放弃类型（0不可放弃，1放弃任务重新开始，不保留目标进度，随机目标可再次随机目标2放弃任务后，重新接取任务，任务目标不变，任务目标的完成程度不保留3放弃任务后，重新接取任务，任务目标完成程度保留，从未完成的任务目标开始做）,销毁方式（本字段仅针对配置了接取等级上限的任务有效。1，普通销毁：已接取的过了等级段还保留；2，全部销毁：表示过了这个等级段不管接取与否，完成与否，强制删除）,任务限制销毁,周期内可以完成多少次（表示在一个刷新周期内这个任务可以重复完成多少次，目前仅对日常任务、周常任务有效）,任务群组（用于配置子任务list，仅是父任务组要配置；如果此处有数据，则后面的123个目标配置无效）,任务群组中子任务选取方式（1，系统随机选取1个任务给你；2，依次接取任务；3，玩家自由选取1个任务；4，伊甸园专用）,任务目标1：目标类型|目标参数=参数数量|寻路场景id=X=Y=Z；具体请查看说明文档，路径：rodoc\策划\配置说明文档\n（1，对话；2，打怪；3：采集；4，收集；5，寻路；6：使用道具；7：完成副本；8：完成操作；9：拍照；10：活动任务；11：成就任务；12：公会任务；13：社交任务；14：脚本；15：打怪收集；16父子任务，17进入副本，18单人烹饪；19，完成双人烹饪副本；20搭乘公共载具；21，与场景进行交互；22，搭乘单人载具）,任务特殊信息（1：非打怪类回收任务）,目标1描述,任务目标2：目标类型|目标参数=参数数量|寻路场景id=X=Y=Z；具体请查看说明文档，路径：rodoc\策划\配置说明文档\n（1，对话；2，打怪；3：采集；4，收集；5，寻路；6：使用道具；7：完成副本；8：完成操作；9：拍照；10：活动任务；11：成就任务；12：公会任务；13：社交任务；14：脚本；15：打怪收集；16父子任务，17进入副本，18单人烹饪；19，完成双人烹饪副本；20搭乘公共载具；21，与场景进行交互；22，搭乘单人载具）,目标2特殊参数,目标2描述,任务目标3：目标类型|目标参数=参数数量|寻路场景id=X=Y=Z；具体请查看说明文档，路径：rodoc\策划\配置说明文档\n（1，对话；2，打怪；3：采集；4，收集；5，寻路；6：使用道具；7：完成副本；8：完成操作；9：拍照；10：活动任务；11：成就任务；12：公会任务；13：社交任务；14：脚本；15：打怪收集；16父子任务，17进入副本，18单人烹饪；19，完成双人烹饪副本；20搭乘公共载具；21，与场景进行交互；22，搭乘单人载具）,目标3特殊参数,目标3描述,任务目标4,目标4特殊参数,目标4描述,任务目标5,目标5特殊参数,目标5描述,目标执行方式（1，并列执行；2，依次执行）,场景触发器：时机=时机参数=事件类型=事件参数=其他参数1=其他参数2=其他参数3|……（具体请查看说明文档，路径：rodoc\策划\配置说明文档）\n,是否在完成任务的时候飘任务完成的特效反馈,完成任务时飘字（不想飘不填即可）,NPC好感度（NPCID=好感度数值|NPCID=好感度数值，标识完成任务后给该NPC增加好感度，本字段暂时无效）,奖励ID（对应奖励表ID）,任务可接取时的描述,任务已完成时的描述,任务用脚本名字（Assets\Resources\CommandScript\Task路径下面配置任务对白文本名）,接任务剧本tag,交任务剧本tag,NPC显示头顶符号。不配置则默认为0。若配置为1则该任务NPC不显示头顶符号。,任务追踪界面奖励预览展示（配置道具ID，不配置则不显示）,是否屏蔽该任务（如果任务通过调整等级，暂时屏蔽了，需要在这里配置，默认0，不屏蔽）,功能开启限制（即使其他条件达成，也需要该功能开启后才会推送该任务，如果已经推送的任务，中途后台关闭了该功能，则也会在刷新任务列表时隐藏该任务）,本地化区域划分(0所有1中2日4香港8韩16北美，多地区时数字叠加，例：日韩都上就配4+8=12)
16010302,,,狩猎的效率,普隆德拉骑士团发布一则悬赏，似乎不仅对冒险者实力有要求，还要组队才能顺利地完成。完成系列任务【精进之道】后即可接取任务。,16,16000,,,40=0,0=0,40=0,0,2,,0,0,,,,,,0,2,2,0,1,0,,,,,,11|90020302=1|,3=19001710,完成探索任务“沉船猎魔小队”,,,,,,,,,,,,,2,,0,,,,,,,,,0,,,,
16010303,,,赫尔海姆扰动,组上小伙伴们寻找猫头鹰雕像，选择挑战玩法“赫尔海姆扰动”基础模式，亲身体验大贤者巴雷蒙德的奇幻记忆旅程！,16,16000,,,40=0,0=0,40=0,0,2,,0,0,,,,,,0,2,2,0,1,0,,,,,,11|90020303=1|57=48.71=10.03=65.50,,通关【赫尔海姆扰动】基础模式4次,,,,,,,,,,,,,2,,0,,,,,,,,,0,,,,
16010304,,,守护天地树,世界根源天地树，遭受大量魔物袭击，导致次元动荡。为了冒险者的荣耀！协助尼德霍格，守卫天地树！Base等级达到42级即可参与挑战。,16,16000,,,40=0,0=0,40=0,0,2,,0,0,,,,,,0,2,2,0,1,0,,,,,,11|90020304=1|16=43.39=16.99=105.88,,单人模式坚持到第5波怪物刷新,,,,,,,,,,,,,2,,0,,,,,,,,,0,,,,
16010305,,,生活的真谛I,悠闲的生活怎么能缺少烹饪？狩猎魔物可以全身而退一定基础上也需要掌握制药……熟练运用生活技能帮助自己在各种情况下更加游刃有余吧。,16,16000,,,40=0,0=0,40=0,0,2,,0,0,,,,,,0,2,2,0,1,0,,,,,,11|90020305=1|,2=6000=0,将任意生活技能等级提升至5级,,,,,,,,,,,,,2,,0,,,,,,,,,0,,,,
16010306,,,高级理论测试,乐园团开展了高级知识普及，将围绕元素克制与体型克制进行全方位的指导，合理运用元素以及体型的克制，可以更加高效地击败魔物们哟！,16,16000,,,40=0,0=0,40=0,0,2,,0,0,,,,,,0,2,2,0,1,0,,,,,,11|90020306=1|,3=12005700,前往乐园团进行高级知识普及,,,,,,,,,,,,,2,,0,,,,,,,,,0,,,,
16010307,,,职业的精髓,乐园团开展了职业技巧教学试炼，合理运用自身职业特质以及之前所掌握的知识应对实战测试吧。,16,16000,,,45=0,0=0,45=0,0,2,,0,0,,,,,,0,2,2,0,1,0,,,,,,11|90020307=1|,3=12005800,前往乐园团开展职业技巧培训,,,,,,,,,,,,,2,,0,,,,,,,,,0,,,,
16010308,,,英雄的勋章,实力才是硬道理？完成乐园团考核官的中级综合实力测试得到认可。放手一战吧，迈出成为英雄的第一步！,16,16000,,,48=0,0=0,48=0,0,2,,0,0,,,,,,0,2,2,0,1,0,,,,,,11|90020308=1|,3=12005900,前往乐园团开展中级职业考核,,,,,,,,,,,,,2,,0,,,,,,,,,0,,,,
16010401,,,MVP,狩猎MVP是冒险者们喜爱的事，他们通常会组成小队前往，不但能证明自己，还能获得奖励，MVP在野外刷新，来狩猎吧！,16,16000,,,50=0,0=0,50=0,0,2,,0,0,,,,,,0,2,2,0,1,0,,,,,,11|90020401=1|,2=109=0,参与击杀1只MVP,,,,,,,,,,,,,2,,0,,,,,,,,,0,,,,
16010402,,,光辉勋章,Base45级开启勋章，用完成猫手商队获得的声望，激活勋章可获得一定属性提升，那就全都解锁吧！,16,16000,,,50=0,0=0,50=0,0,2,,0,0,,,,,,0,2,2,0,1,0,,,,,,11|90020402=1|,2=115=0,累计解锁3个光辉勋章,,,,,,,,,,,,,2,,0,,,,,,,,,0,,,,
16010403,,,装备精炼II,前往普隆德拉的装备商店，找到装备精炼师忽克连，请教如何精炼装备，精炼可持续提升装备属性哦！,16,16000,,,50=0,0=0,50=0,0,2,,0,0,,,,,,0,2,2,0,1,0,,,,,,11|90020403=1|24=81.44=11.27=51.19=18.83,,穿戴装备的总精炼等级达到24,,,,,,,,,,,,,2,,0,,,,,,,,,0,,,,
16010404,,,生活的真谛II,悠闲的生活怎么能缺少烹饪？狩猎魔物可以全身而退一定基础上也需要掌握制药……熟练运用生活技能帮助自己在各种情况下更加游刃有余吧。,16,16000,,,50=0,0=0,50=0,0,2,,0,0,,,,,,0,2,2,0,1,0,,,,,,11|90020404=1|,2=6000=0,制作50次烹饪或者药剂,,,,,,,,,,,,,2,,0,,,,,,,,,0,,,,
16010405,,,锻造武器II,前往普隆德拉的装备商店，找到装备大师罗布托，请教如何锻造武器，锻造高等级武器可大幅提升攻击能力哦！,16,16000,,,50=0,0=0,50=0,0,2,,0,0,,,,,,0,2,2,0,1,0,,,,,,11|90020405=1|24=74.33=10.55=65.97=64.60,,锻造1件50级武器,,,,,,,,,,,,,2,,0,,,,,,,,,0,,,,
16010406,,,个性化爱好者,在个性化图鉴中，可以设置各种不同已解锁头像和称号，收集更多的头像以及称号，打造自己专属的个性化设定吧！,16,16000,,,50=0,0=0,50=0,0,2,,0,0,,,,,,0,2,2,0,1,0,,,,,,11|90020406=1|,2=11402=0,设置1次个性化头像以及1次个性化称号,,,,,,,,,,,,,2,,0,,,,,,,,,0,,,,
16010407,,,传承的力量,乐园团开展了职业技巧教学试炼，合理运用自身职业特质以及所掌握的知识应对更加困难的实战测试吧。,16,16000,,,50=0,0=0,50=0,0,2,,0,0,,,,,,0,2,2,0,1,0,,,,,,11|90020407=1|,3=12006500,前往乐园团开展职业技巧培训,,,,,,,,,,,,,2,,0,,,,,,,,,0,,,,
16010408,,,英雄的里程,长久的战斗带来的磨练会让你变得多强？完成乐园团考核官的高级综合实力测试得到认可。全力一战吧，结果会证明你的成长里程！,16,16000,,,53=0,0=0,53=0,0,2,,0,0,,,,,,0,2,2,0,1,0,,,,,,11|90020408=1|,3=12006400,前往乐园团开展高级职业考核,,,,,,,,,,,,,2,,0,,,,,,,,,0,,,,
16010501,,,无尽之塔,前往艾尔贝塔拜访詹森船长，进入迷雾岛挑战被魔物占领的无尽之塔，层数越高奖励越好哦！,16,16000,,,55=0,0=0,55=0,0,2,,0,0,,,,,,0,2,2,0,1,0,,,,,,11|90020501=1|50=147.10=17.21=138.29,,无尽之塔通关至第15层,,,,,,,,,,,,,2,,0,,,,,,,,,0,,,,
16010502,,,魔力枯树枝,传说经过长久岁月后拥有神奇魔力的枯树枝，拥有召唤可以召唤生命的神秘力量，请谨慎使用！,16,16000,,,55=0,0=0,55=0,0,2,,0,0,,,,,,0,2,2,0,1,0,,,,,,11|90020502=1|,,使用枯树枝召唤1次魔物,,,,,,,,,,,,,2,,0,,,,,,,,,0,,,,
16010503,,,尤佩雷斯文明,Base等级达到55级开启贝鲁兹核心，由尤佩雷斯文明精湛科技的衍生产物，合理搭配贝鲁兹核心让战斗更具趣味性！,16,16000,,,55=0,0=0,55=0,0,2,,0,0,,,,,,0,2,2,0,1,0,,,,,,11|90020503=1|,2=10821=0,获得3个阿克坦齿轮,,,,,,,,,,,,,2,,0,,,,,,,,,0,,,,
16010504,,,魔物爱好者II,前往世界各地挑战各种魔物，积累研究进度提升魔物总研究等级，单个魔物研究进度到达8级还可以解锁对应魔物头像哟！,16,16000,,,55=0,0=0,55=0,0,2,,0,0,,,,,,0,2,2,0,1,0,,,,,,11|90020504=1|,2=11405=0,魔物总研究等级达到3级,,,,,,,,,,,,,2,,0,,,,,,,,,0,,,,
16010505,,,锻造防具II,前往普隆德拉的装备商店，找到装备大师罗必托，请教如何锻造防具，锻造高等级防具可大幅提升防御能力哦！,16,16000,,,55=0,0=0,55=0,0,2,,0,0,,,,,,0,2,2,0,1,0,,,,,,11|90020505=1|24=71.87=10.55=66.36=21.00,,锻造1件50级防具,,,,,,,,,,,,,2,,0,,,,,,,,,0,,,,
16010506,,,成就等级II,在日常冒险过程中，达成指定目标即可解锁成就，获得成就点数。成就点数达到指定值，即可提升成就等级，解锁特权。,16,16000,,,55=0,0=0,55=0,0,2,,0,0,,,,,,0,2,2,0,1,0,,,,,,11|90020506=1|,2=113=0,成就等级达到【初心者V】,,,,,,,,,,,,,2,,0,,,,,,,,,0,,,,
16010507,,,专精的巅峰,乐园团开展了职业技巧教学试炼，合理运用自身职业特色以及所掌握的知识应对更加困难的实战测试吧。,16,16000,,,55=0,0=0,55=0,0,2,,0,0,,,,,,0,2,2,0,1,0,,,,,,11|90020507=1|,3=12006100,前往乐园团开展职业技巧培训,,,,,,,,,,,,,2,,0,,,,,,,,,0,,,,
