BookId,Type,Text
1025,1,"<color=$$Yellow$$>兽人村落冲突事件</color>\r\n时间:A.Fxxxx年<color=$$Yellow$$>(18年前)</color>\r\n事件经过：女孩<color=$$Yellow$$>凯特琳娜</color>\r\n误入<color=$$Yellow$$>兽人村落</color>，被兽人包围，其母亲为保护女儿而受到重创，男孩赛依连头部创伤。\r\n后骑士团及时赶到，救出凯特琳娜与赛依连，并带回重伤的母亲，但母亲最终不治身亡……"
1026,4,"1.通过<color=$$Yellow$$>安眠药使凯特琳娜陷入睡梦</color>；\r\n2.施法<color=$$Yellow$$>将凯特琳娜进入童年的噩梦之中</color>；\r\n3.<color=$$Yellow$$>将你的意识也传入梦境</color>，引导并帮助凯特琳娜击败意识中的恐惧；\r\n4.<color=$$Yellow$$>赛依连保持清醒</color>，保护大家不受凯特琳娜的错乱攻击。"
1027,1,"尊敬的骑士团同仁们：\r\n近日，梦罗克周边的魔物似乎受到了某种奇特能量的感召，变得异常暴动。\r\n请求总部安排卫兵，或者招聘冒险者速来支援！ \r\n          刺客公会：<color=$$Yellow$$>鲍里斯</color>"
1028,4,"本次魔物驱逐清单：\r\n<color=$$Yellow$$>泥人X10\r\n巨石怪X10\r\n蚯蚓X10</color>\r\n完成以上驱逐任务者，均可获得刺客公会准备的酬劳！"
1029,1,"关于魔物狂暴的调查已有眉目：\r\n<color=$$Yellow$$>未知能量的滥用</color>、<color=$$Yellow$$>克隆品实验</color>以及<color=$$Yellow$$>一些邪教徒仪式</color>是造成了魔物日益狂暴的原因……\r\n更具体的原因还有待查证，故先不对民众公开。\r\n请诸位做好应对准备，骑士团必须将境内魔物数量控制在安全范围以内，否则后果不堪设想…"
2000,4,"<color=$$Red$$>§</color>冒险者：\r\n\r\n<color=$$Red$$>白女巫</color>的事有眉目了。\r\n\r\n城中发生了一起<color=$$Red$$>爆炸案</color>，作案人极有可能是<color=$$Red$$>白女巫</color>。\r\n地点就在乐园团附近的贤者图书馆，馆长和我有点交情。\r\n去调查一下吧。\r\n\r\n                         <color=$$None$$> 班波</color>"
2001,4,"\r\n<color=#f16754ff>§</color>冒险者：\r\n\r\n<color=#f16754ff>古娜</color>的事有眉目了。\r\n\r\n情报显示，她今天会在<color=#f16754ff>吉芬西</color>执行秘密任务。\r\n\r\n具体会是什么样的任务呢？我认为很可疑。\r\n<color=#f16754ff>吉芬西见！</color>\r\n\r\n                       <color=#575c62ff> 巴雷蒙德</color>"
2002,4,"\r\n<color=#f16754ff>§</color>冒险者：\r\n\r\n我猜你们需要一点帮助\r\n\r\n听好了:\r\n\r\n      宝妮见过白女巫。\r\n\r\n\r\n\r\n                             Mr.B\r\n\r\n\r\n\r\n                                 "
2003,33,"卢恩日报     A.W1263 晴\r\n\r\n<Color=Red>头条新闻：\r\n骑兵队长古娜因公殉职，获勋荣誉勋章！</color>\r\n\r\n骑兵队长古娜在抓捕跨国间谍时落单，不慎被共和国间谍杀害。\r\n事后该间谍和本国一名冒险者打扮的危险人员被皇宫守卫发现，手持高危武器的间谍残忍的杀害了数十卫兵……天佑普隆德拉！\r\n……"
2004,4,"<color=$$Red$$>§</color>冒险者：\r\n\r\n<color=$$Red$$>拉乐西斯</color>的葬礼即将在普隆德拉公墓举办。\r\n\r\n他的死多少与你也是有关系的，不去吊唁一下吗？\r\n\r\n                         <color=$$None$$> 知情人士</color>"
2005,33,"卢恩日报     A.W1263 暴雨\r\n\r\n<Color=Red>头条新闻：\r\n大贤者巴雷蒙德洗清冤屈</color>\r\n\r\n惊天丑闻！骑士领主古娜居然是骑士团追捕已久的教国间谍白女巫……\r\n<Color=Red>皇室绑架案真凶另存？</color>\r\n特里斯坦家族三王子确定被毒杀，凶手……\r\n<Color=Red>皇室驱魔师宝妮恢复身份</color>\r\n宝妮·茵培利亚重登首席驱魔师宝座……"
2006,4,"\r\n<color=$$Red$$>§</color>团长大人：\r\n\r\n你面前的这名剑士最近在剑士公会非常活跃，身上闪现着优秀骑士的素质。\r\n\r\n请求六骑士对其进行<color=$$Red$$>骑士授勋考核</color>。                                     \r\n\r\n               \r\n                  奥维斯·夏"
2007,33,"《卡赞手记》\r\n元素篇·第六章·第九节\r\n\r\n<color=$$Red$$>冰雷元素相容性探讨</color>\r\n\r\n<color=$$Red$$>特质</color>：被冰冻术等冻住的目标，属性会被直接改变为水属性。\r\n\r\n<color=$$Red$$>相容性</color>：由于元素相克特质，在冰冻之后接雷击法术，是最好的选择。"
2008,33,"《卡赞手记》\r\n念力篇·第四章·第十三节\r\n\r\n<color=$$Red$$>念力系咒语错误常见分析</color>\r\n\r\n念力咒文咏唱速度很短，只有一两个音节，以下是常见错误，要避免。\r\n\r\n<color=$$Red$$>发音不准</color>：无法发动咒文\r\n<color=$$Red$$>精神不集中</color>：咒文打偏\r\n<color=$$Red$$>断句错误：</color>咒文将反噬\r\n……"
2009,33,"《卡赞手记》\r\n元素篇·第六章·第五节\r\n\r\n<color=$$Red$$>火焰元素的高阶凝聚探索</color>\r\n\r\n火焰系咒文以咏唱缓慢，伤害极高，指向性单一著称。将火元素凝聚在实物上则会产生一些变化，范例：\r\n\r\n<color=$$Red$$>火球术</color>：极度压缩火箭术\r\n<color=$$Red$$>陨石术</color>：火元素凝聚于石\r\n<color=$$Red$$>火柱攻击：</color>火元素凝聚在蓝色魔力矿石触媒上。\r\n……"
2010,1,"      <color=$$Red$$>***魔族指令文书***</color>\r\n\r\n最近由于刺客公会的清剿，位于金字塔的秘密基地释放了隐藏结界。\r\n\r\n魔族同胞进入先解除结界\r\n\r\n以下是咒文本体：Μερικά φρούτα θα κρατήσουν για πάντα.\r\n\r\n"
2011,5,"弓箭手工会要则\r\n\r\n<color=$$Red$$>★ </color>不欺凌弱小。\r\n<color=$$Red$$>★ </color>不滥杀动物。\r\n<color=$$Red$$>★ </color>忌欺骗，口是心非。\r\n<color=$$Red$$>★ </color>不可空拉弓弦。\r\n\r\n<color=$$Red$$>牢记上述内容，才能加入弓箭手工会</color>\r\n"
3001,6,所有的罪恶源头：<color=$$Red$$>海底洞窟</color>
3002,4,"<color=$$Blue$$>塞尔特的日记残片：</color>\r\n    昨晚的温存让人沉迷。迪丽雅是如此美丽的女孩。我总忍不住把所有的事讲给她听。我将做一件大事！奉母亲之命将宝石献给法老，我的家族将会重现辉煌。\r\n       ***************                                    \r\n   一觉醒来，迪丽雅却不见了，宝石也不翼而飞…"
3003,4,"<color=$$Blue$$>塞尔特的日记残片：</color>\r\n    我在这王城游荡。这里四处张灯结彩，听说年迈的法老要迎娶一名美貌的王后，王后向法老王敬献了一枚宝石，因此深得宠爱…那是你吗？迪丽雅…不，不会的…\r\n    母亲大人，我好想回家，但是我…我对不起你…\r\n"
3004,1,"<color=$$Blue$$>吉芬塔过往历史记载：</color>\r\n很久以前，许多邪恶生物从吉芬地下蔓延而出，对周围的城市造成了巨大的破坏，卢恩王国的教廷得知此事之后，派出驱魔牧师和吉芬的法师联合组成了一股力量，经过一场艰苦卓绝的战斗，终于封印了那群邪恶生物。"
3005,1,曾经，不想被奥丁驱逐到亚尔夫海姆的精灵找到了中庭和赫尔海姆空间夹缝中的葛帔尼亚，在这里建立起高度发达的魔法国度。后来人类也发现此处，无数人来此淘金。突然有一天，赫尔海姆的大门被打开，冥界力量入侵了葛帔尼亚，吉芬地下也受到波及。人类建造吉芬塔封印吉芬地下，至此葛帔尼亚被深埋。
3006,1,"曾经的精灵轻信赫尔，利用这颗魔王之泪打开了葛帔尼亚通往冥界赫尔海姆的大门……\r\n致使精灵和人类死伤惨重。精灵与人类最终将这颗恶魔之泪封印于此，以其强大的结界保护着中庭。\r\n如果可以，我们希望这是一块永远不会被看到的石板。\r\n请不要让灾难再次发生！"
3007,5,给那个贪财的魔法师好多钱才换来去葛帔尼亚淘金的机会。但是我没想到，这里已经来了很多人了，葛帔尼亚的边缘地区已经资源接近枯竭。我和其他淘金者商量着朝着葛帔尼亚的中心进发，不过听说那里住着一群尖耳朵的家伙，希望他们友好一点。
4000,6,春之花，夏之岛，秋之实，冬之雪。
4001,5,"<color=$$Red$$>春之花</color>：普隆德拉北门的中心湖；\r\n<color=$$Red$$>夏之岛</color>：吉芬=====（被墨水覆盖模糊不清）；\r\n<color=$$Red$$>秋之实</color>：弓手村里的黄金稻地。"
4002,36,"<color=$$Red$$>波利</color>习性：\r\n波利，软体。\r\n<color=$$Red$$>如果有东西掉在地上，它就会快速移动过去，并将东西吸入体内。</color>\r\n波利属于最初始一批的魔物，有些能力卓绝的波利佼佼者并非是靠自身进化，而是吸入了拥有特殊能量的东西……"
4003,1,"1.观察<color=$$Red$$>摊位前的甜点或者水果</color>，或许他们没那么简单\r\n2.看到<color=$$Red$$>奇怪的生物可以直接抓取</color>，若不是猫的话多半就是波利精灵了\r\n3.幽灵特系的波利精灵无法触摸，要通过<color=$$Red$$>相机拍照</color>才能看到它们\r\n4.就算完全隐身，也还是会有<color=$$Red$$>脚印</color>的\r\n5.<color=$$Red$$>钓鱼</color>，有的波利精灵至今都认为自己是一条鱼"
4004,1,"猫手商队的代表在不久以前和卢恩王室达成《合作协议》：\r\n为激活与卢恩境内的贸易模式更高布局。\r\n卢恩王室全力推崇<color=$$Red$$>冒险者支援绵绵岛建设</color>活动，应召捐赠物资参与建设的冒险者会授予可增强勋章能量的<color=$$Red$$>声望</color>。"
4005,1,"X月X日，晴天\r\n应该是我近日苦思冥想之后得到了神的回应。梦境之中有个<color=$$Red$$>浮空的黑影</color>将我梦想之中的那把短剑<color=$$Red$$>召唤</color>出来给我看。\r\n让我想通了之前的诸多问题，现在还差一些细节确认就可以实现了！要不是那只该死的猫跳到屋顶吵醒我，我应该还记得黑影告诉过我的，那把武器的名字……"
4006,6,沉船迷宫<color=$$Red$$>东边的房间</color>有著名冒险家乔那丹·尼利利亚在的<color=$$Red$$>航海日记</color>
4007,1,"我十分敬佩<color=$$Red$$>冒险家乔那丹</color>先生，听说他年轻的时候组织过一个实力强悍的冒险者小队，甚至找到了传说之中的<color=$$Red$$>乌龟岛</color>。此次航行中，说他会搭载我们的船，让我兴奋了好一阵，我一定要去与他合影并询问一些关于航海的问题。\r\n                ——船员詹森"
4008,1,"令人抓狂的是，关于时隐时现的白幽灵也是宝石带来的负面效应，常出没的这些有着<color=$$Red$$>奇怪癖好的白幽灵</color>，他们喜欢<color=$$Red$$>吃掉船上的纸制品</color>，要知道一个<color=$$Red$$>笔记本</color>在入海以后可是有价无市的，我都丢掉好几本了，可恶！\r\n                ——船员杰克"
4009,3,"<color=$$Red$$>招募令</color>： 骑士团部分人员失踪在<color=$$Red$$>兽人村落</color>附近，希望有能的冒险者能伸出援手找到失踪的骑士小队的消息，若是能力允许，救出<color=$$Red$$>幸存者</color>。\r\n失踪人员名单：<color=$$Red$$>斯特拉</color>、潘、 伍德"
4010,3,"1.根据<color=$$Red$$>巨大化兽婴</color>出现的方位，基本可以推测出来自于<color=$$Red$$>兽人村落</color>。\r\n2.在兽人村落发现一件奇怪的事，这里出现的巨大化兽婴竟然也会<color=$$Red$$>攻击同族</color>。\r\n3.好在最近下了雨，根据巨大的脚印发现，他们好像是从<color=$$Red$$>兽人洞穴</color>之中出来的。"
4011,1,"初期的学者以身体组织里是否有<color=$$Red$$>各类结晶</color>来区分魔物及非魔物。\r\n但是<color=$$Red$$>真正强大的魔物身体组织里没有结晶</color>的。但是可以确定的是，各类结晶一定是生成魔物固有性向的原因之一。\r\n<color=$$Red$$>如果调和一下魔物体内的结晶</color>，说不定可以造就更强大的魔物。"
4012,1,"冶炼之道传承于远古，神明在殒命之前，将强化之法教给人类。他们就是<color=$$Red$$>优佩雷斯</color>人。\r\n因此他们的文明远高于人类先祖。但<color=$$Red$$>整个优佩雷斯一夜蒸发</color>让人始料未及。\r\n人类先祖探访他们居住过地，从遗迹中得到的一些东西成为人类文明的基石。这其中就包含镌刻着<color=$$Red$$>冶炼技术</color>的<color=$$Red$$>四块石板</color>。"
4013,1,"因为贯通科学与魔法双重法则，初代人类认知与其断层，能理解的内容十分有限。\r\n后因频繁战乱，远古石板成为人类争夺中心带来诸多厮杀，但最终却消失于人类的舞台。\r\n唯有代代传承下来，在人们不断的摸索之下，形成了关于武器装备的四流派：<color=$$Red$$>锻造</color>、<color=$$Red$$>打洞插卡</color>、<color=$$Red$$>精炼</color>、<color=$$Red$$>附魔</color>。"
4014,6,在<color=$$Red$$>金字塔1F</color>分别击杀5只<color=$$Red$$>红蝙蝠</color>、<color=$$Red$$>邪骸弓箭手</color>、<color=$$Red$$>邪骸士兵</color>和<color=$$Red$$>木乃伊</color>。若是如此做，<color=$$Red$$>守护者</color>会给你下一步指引。
4015,1,"吉芬起源：\r\n法师们为了弥补自己的过错新建的城市，曾经坐落在这里的城市是<color=$$Red$$>魔法之都葛皮尼亚</color>，但是一夜之间毁于闪电，真实消失原因不明。"
4016,1,"吉芬刚刚建成的时候，有不少法师通过偶有的<color=$$Red$$>空间裂隙</color>看到过<color=$$Red$$>葛皮尼亚</color>的旧景。但是后来在吉芬塔完全建成以后这种现象就慢慢消失了……\r\n所以被后来的人们遗忘。"
4017,1,"<color=$$Red$$>上篇</color>——\r\n地平线尽头传出急促马蹄声。\r\n带起灰白的尘土铺满着夕阳。\r\n黑夜里千只眼瞬间同时闪亮。\r\n是城里不断燃烧的火炬之光。\r\n听到了，内心的声音。\r\n涌进了，血管的枝末。\r\n感到了，铠甲的重要。\r\n出现了，敌人的面貌。"
4018,1,"<color=$$Red$$>下篇</color>——\r\n大声再大声，更大声的吹响。\r\n清脆的号角。\r\n赐予前进的勇士们力量。\r\n大声再大声，更大声的呼喊。\r\n嘶哑的战歌。\r\n此时这一刻永不会再来！\r\n呼风唤雨，震怒大地。\r\n热血沸腾，鼓动心脏。\r\n此时这一刻永不会再来！"
4019,1,"出巡：<color=$$Red$$>塞尼亚小队</color>\r\n任务：边境调查\r\n任务内容：<color=$$Red$$>调查犬妖一族暴动缘由</color>，若在能力范畴内就地解决，否则呈报骑士团。"
4020,1,"克特森林暴动原因：<color=$$Red$$>不明组织</color>屠杀犬妖族群，致其对所有人类抱有敌意。\r\n根据现场取材的一些战斗痕迹，发现<color=$$Red$$>蓝色布料</color>、<color=$$Red$$>遗落军刀</color>、<color=$$Red$$>残缺的实验报告</color>。蓝色布料是不明属性的军队或是某势力制式服装。此时正在循着线索指向寻找此组织的秘密基地，大致在<color=$$Red$$>克特森林西北区域</color>。需要骑士团增援。\r\n报告者：<color=$$Red$$>塞尼亚</color>"
4021,4,"海洋之心所需材料，前往海底洞窟2F击败如下对应魔物可获取：\r\n<color=$$Red$$>人鱼</color>→<color=$$Red$$>珍珠</color>\r\n<color=$$Red$$>卡纳多斯</color>→<color=$$Red$$>黄玉</color>\r\n<color=$$Red$$>马克</color>→<color=$$Red$$>彩鳞</color>\r\n<color=$$Red$$>乌贼</color>→<color=$$Red$$>漆珠</color>"
4023,1,"五色草被誉为<color=$$Red$$>百草起源</color>，是最早生长在中庭大陆的被先民智慧运用的植物，多个史书上都有关于这些药草的记载。\r\n这些根<color=$$Red$$>茎叶花通株颜色相同</color>，若是在野外遇见也不难辨认，这些药草根据不同工艺能够提炼出多种不同药性的其他药草。"
4999,1,鹿占用ID段结束
5000,1,"传单：\r\n伊斯鲁得角斗场出现“五勇士”的身影，据说只要挑战成功五位勇士就能获得“黄金勇士”称号和丰厚的奖励，不过五位勇士不是随时都在哦，来伊斯鲁得碰碰运气吧！"
5001,4,"药方：\r\n<color=$$Red$$>野猪皮</color>—10副\r\n<color=$$Red$$>巨象甲虫角</color>—10只\r\n<color=$$Red$$>青竹叶</color>—3片\r\n还有疑问，请来找<color=$$Red$$>孟春</color>大夫"
5002,1,"向死而生，轮回无常。\r\n僵尸洞\r\n<color=$$Red$$>转生符</color>——（模糊不清的字迹）得永生…… \r\n<color=$$Red$$>辟邪符</color>——百邪不侵（模糊不清的字迹）……"
5003,1,"向死而生，轮回无常。\r\n僵尸洞\r\n<color=$$Red$$>转生符</color>——死而向生，生而为僵，得永生。\r\n<color=$$Red$$>辟邪符</color>——百邪不侵，是为妖道。"
5004,1,"第一是爱\r\n心中第一位的，永远是爱，恒久不变的爱\r\n这爱属于阿依库，遥远沙漠之邦梦罗克的一支蔷薇\r\n西风扬起沙尘，蔷薇随风而舞\r\n驼队铃铛叮铃，蔷薇目送过往\r\n(模糊不清的痕迹遮挡住了下文)"
5005,4,"7月9日\r\n    终于还是听到了最不想听到的消息…艾力克被家族的人抓住了。他们说他的记忆<color=$$Red$$>被吉芬来的巫师剥离到了记忆球里</color>，难道再也见不到他，再也听不到他吟唱那首《第一是爱》了？可恨的是这个巫师就住在梦罗克城内，我却无能为力。"
5006,1,"梦罗克沙地上绽开的明媚\r\n阿依库，你是蔷薇，亦是我的爱人\r\n我不是吉芬魔法之乡的王子\r\n我只愿意在这荒凉的边地苦土做你一生的情郎\r\n心中第一位的，永远是对你之爱，阿依库"
5007,4,"…\r\n伊瓦尔倒下了，在史诗般战争的终篇\r\n伊瓦尔的身体，倒在了帝国神庙废墟的中央\r\n伊瓦尔的四肢，落在了椰林茂盛的石桥之旁\r\n他那不会低垂的头颅，在梦罗克海岸的最高之处，永远凝望着汹涌波涛的汪洋\r\n..."
5008,1,"    你应该感到内疚，外乡人，你帮助了索德斯这个野心家摆脱掉远古神灵的束缚！\r\n    幸好尚有伊瓦尔的头部残骸在我们手里，索德斯的力量还被部分压制着。\r\n    你去找找城里的吟游诗人奇诺，看看有没有和伊瓦尔之魂直接对话的办法。"
5009,1,"8月15日 终于，我终于找到了伊瓦尔神格的缺口，从这个缺口里流失出来的魔法力量已经足够我操控巨石怪的行动了。\r\n9月22日 尘埃教会，哼，这帮低等生物还想和我的巨石军团对抗？你们很快就会知道谁才是沙漠真正的主人了。"
5010,4,7月17日夜 经过我长期的观察，我终于可以确定一个事实了，这苍迦古城内总共有两只“月夜猫”，而且两只的脾气完全不同。一只虽然冷漠，但只要你不招惹它也对你没敌意；另外一只则时时想要你的性命。我需要再花些日子好好观察研究它们俩
5011,4,6月22日午 我在苍迦城内看到了一个全是年轻女子魂魄的聚落，这印证了我的想法！传说中的鬼女这种魔物是真实存在的，只是他们从来不会离开这个洞穴，他们聚落的位置在…苍迦城的西北面…（此段暂时废弃）
5012,1,巫女记忆： 大家围着篝火已经跳了一整晚的仪式舞蹈了，每个人都已经有点疲乏了，但没有任何一个人敢叫苦叫累，因为这关系到苍迦城是否还能继续得到月神的眷顾。不知道为什么，看着洞穴穹顶的那轮圆月，我心里隐隐有些不安…
5013,1,童子记忆： 爸爸妈妈把我送来参加这场仪式，他们都为我感到骄傲。他们说能够参加祈求月神赐福的仪式是我们家族莫大的荣耀，可是我好累呀，好多小伙伴都支撑不下去。这么久的仪式祭典，大家都累到站不住了。
5014,1,道士记忆： 我的师傅告诉我月夜猫的预言的时候他眼神里满是坚定，可不知道为什么我总觉得我们仿佛在把整座城市引入一个巨大的漩涡之中。不管如何，现在也回不了头了，再过一刻钟就是预言里月夜猫降临的时机了
5015,1,8月2日晨 我终于弄明白了，苍迦城毁灭的原因！原来当年人们并不知道月夜猫起初是一体两面的，本体内潜藏着一只狂暴月夜猫，在满月的时候就会挣脱出来作恶。而祭典仪式正好选中的就是一个满月之夜，于是狂暴月夜猫被先行召唤了出来，彻底摆脱了本体的束缚，苍迦城的惨剧就此发生。
5016,4,这里放西西尼亚全家福的照片，等待美术资源对接
5017,4,"\r\n<color=$$Red$$>§</color>冒险者：\r\n\r\n根据赛依连给我的消息，古娜目前被关押在梦罗克的监狱里面被严密控制着。\r\n\r\n年轻人，等你有了空就来梦罗克和我汇合吧。到了监狱门口记得把我的这份书信出示给狱卒，他们会让你进去的。\r\n\r\n                         <color=$$None$$> 巴雷蒙德</color>"
5018,6,<color=$$Red$$>在生与死的边缘，沉睡着罪恶的钥匙。 </color> 
5019,1,根据我信徒提供的线索，我查到了另一个古怪的仪式将在梦罗克西部秘密举行。我打算动身前往那里，希望你也能一起。你可以来梦罗克，我会在通往梦罗克西部的城门处等你。
5020,1,"这里展示舞娘的照片,等美术资源对接后替换"
5021,1,赫拉年轻美丽的面庞，卢恩杂志封面上的她，笑得十分开心
5022,1,"xxx月x日\r\n  我一点也不想就这样老去，年轻时候的我是这么的美丽，每一天我都这么的不开心……\r\n\r\nxxx月x日\r\n伊登的苹果\r\n螳螂臂\r\n蛾蝶粉末\r\n食人树花\r\n一滴（模糊不清）"
5023,1,地图上标记了地点
5024,7,"XXX日，晴\r\n  今天加入了旅行社，很奇怪，竟然是半自助游。\r\nXXX日，阴\r\n  很奇怪，一路上遇到了比以往更多的魔物……\r\nXXX日，雨\r\n  同行的人一个在被魔物折腾的精疲力尽后，一个接一个的不见了……\r\nXXX日，晴\r\n  不对，这场“古城探秘”的旅行不简单，一定有什么阴谋，马上要到约定好的“古城入口”集合了，希望不会出现什么意外……\r\nXXX日,雨……\r\n   糟糕……（被撕掉）"
