Id,Level,Name,Skill_Text,SkillID,SkillEffectNum,SkillScriptPrefix,SkillScriptPostfix,DamageScript,AttackCount,CreateBuff,PVEDamageRadio,PVEStaticDam,PVEFloatSingingTime,PVEFixSingingTime,PVECoolTime,PVEGroupCoolTimeType,PVEGroupCoolTime,PVPDamageRadio,PVPStaticDam,PVPFloatSingingTime,PVPFixSingingTime,PVPCoolTime,PVPGroupCoolTimeType,PVPGroupCoolTime,LowRange,FarRange,HatredToTarget,HatredPercentToTarget,HatredToMe,HatredPercentToMe,SkillCost,SkillElementEnergy,BattleVehicle,EffectShape,EffectRange,BreakHiding,AshByLua,ConfirmScript,CostScript,CostDesc,SkillDescRep,CreateGroupBuff,Hatredcoefficient,SkillTriggerID,PVEConfigData,PVPConfigData,ServerUUIDData,CostSpiritSpheres,,,,,,
500102,2,天使怒火Lv2,贝鲁兹核心4010,5001,1,Player_Acolyte_TianShiNuHuo,,DamageNil,1,6500602=10000,0,0,0,0,15,0,0,0,0,0,0,15,0,0,0,7,100,,,,,,0,0,0,,0,,,,50|10,,,,,,Player_Acolyte|Player_Acolyte_TianShiNuHuo|0|0|0,,,,,,,
500103,3,天使怒火Lv3,贝鲁兹核心4010,5001,1,Player_Acolyte_TianShiNuHuo,,DamageNil,1,6500603=10000,0,0,0,0,15,0,0,0,0,0,0,15,0,0,0,7,100,,,,,,0,0,0,,0,,,,70|14,,,,,,Player_Acolyte|Player_Acolyte_TianShiNuHuo|0|0|0,,,,,,,
500104,4,天使怒火Lv3,贝鲁兹核心4010,5001,1,Player_Acolyte_TianShiNuHuo,,DamageNil,1,6500604=10000,0,0,0,0,15,0,0,0,0,0,0,15,0,0,0,7,100,,,,,,0,0,0,,0,,,,70|14,,,,,,Player_Acolyte|Player_Acolyte_TianShiNuHuo|0|0|0,,,,,,,
500105,5,天使怒火Lv3,贝鲁兹核心4010,5001,1,Player_Acolyte_TianShiNuHuo,,DamageNil,1,6500605=10000,0,0,0,0,15,0,0,0,0,0,0,15,0,0,0,7,100,,,,,,0,0,0,,0,,,,70|14,,,,,,Player_Acolyte|Player_Acolyte_TianShiNuHuo|0|0|0,,,,,,,
500106,6,天使怒火Lv3,贝鲁兹核心4010,5001,1,Player_Acolyte_TianShiNuHuo,,DamageNil,1,6500606=10000,0,0,0,0,15,0,0,0,0,0,0,15,0,0,0,7,100,,,,,,0,0,0,,0,,,,70|14,,,,,,Player_Acolyte|Player_Acolyte_TianShiNuHuo|0|0|0,,,,,,,
500107,7,天使怒火Lv3,贝鲁兹核心4010,5001,1,Player_Acolyte_TianShiNuHuo,,DamageNil,1,6500607=10000,0,0,0,0,15,0,0,0,0,0,0,15,0,0,0,7,100,,,,,,0,0,0,,0,,,,70|14,,,,,,Player_Acolyte|Player_Acolyte_TianShiNuHuo|0|0|0,,,,,,,
500108,8,天使怒火Lv3,贝鲁兹核心4010,5001,1,Player_Acolyte_TianShiNuHuo,,DamageNil,1,6500608=10000,0,0,0,0,15,0,0,0,0,0,0,15,0,0,0,7,100,,,,,,0,0,0,,0,,,,70|14,,,,,,Player_Acolyte|Player_Acolyte_TianShiNuHuo|0|0|0,,,,,,,
500109,9,天使怒火Lv3,贝鲁兹核心4010,5001,1,Player_Acolyte_TianShiNuHuo,,DamageNil,1,6500609=10000,0,0,0,0,15,0,0,0,0,0,0,15,0,0,0,7,100,,,,,,0,0,0,,0,,,,70|14,,,,,,Player_Acolyte|Player_Acolyte_TianShiNuHuo|0|0|0,,,,,,,
500110,10,天使怒火Lv3,贝鲁兹核心4010,5001,1,Player_Acolyte_TianShiNuHuo,,DamageNil,1,6500610=10000,0,0,0,0,15,0,0,0,0,0,0,15,0,0,0,7,100,,,,,,0,0,0,,0,,,,70|14,,,,,,Player_Acolyte|Player_Acolyte_TianShiNuHuo|0|0|0,,,,,,,
500201,1,延续治愈lv1,贝鲁兹核心4011,5002,1,Player_Acolyte_YanXuZhiYu,,CureFushi,1,,1000,0,0,0,0,0,0,1000,0,0,0,0,0,0,0,12,100,,,,,,0,0,0,,0,,,,,,,,,,Player_Acolyte|Player_Acolyte_YanXuZhiYu|0|0|0,,,,,,,
500202,2,延续治愈lv2,贝鲁兹核心4011,5002,1,Player_Acolyte_YanXuZhiYu,,CureFushi,1,,2000,0,0,0,0,0,0,1000,0,0,0,0,0,0,0,12,100,,,,,,0,0,0,,0,,,,,,,,,,Player_Acolyte|Player_Acolyte_YanXuZhiYu|0|0|0,,,,,,,
500203,3,延续治愈lv3,贝鲁兹核心4011,5002,1,Player_Acolyte_YanXuZhiYu,,CureFushi,1,,3000,0,0,0,0,0,0,1000,0,0,0,0,0,0,0,12,100,,,,,,0,0,0,,0,,,,,,,,,,Player_Acolyte|Player_Acolyte_YanXuZhiYu|0|0|0,,,,,,,
500301,1,深红切割,刺客,5003,1,Player_Assassin_ShiZiZhan,,ShenHongQieGe,1|1,,27000,30,0,0,0,1,2,27000,0,0,0,0,1,2,0,3,1,,,,7=5,,0,0,0,,0,,,,270|30,,,,,,Player_Assassin|Player_Assassin_ShiZiZhan|0|0|0,,,,,,,
500302,2,深红切割,刺客,5003,1,Player_Assassin_ShiZiZhan,,ShenHongQieGe,1|1,,29000,60,0,0,0,1,2,29000,0,0,0,0,1,2,0,3,1,,,,7=7,,0,0,0,,0,,,,290|60,,,,,,Player_Assassin|Player_Assassin_ShiZiZhan|0|0|0,,,,,,,
500303,3,深红切割,刺客,5003,1,Player_Assassin_ShiZiZhan,,ShenHongQieGe,1|1,,31000,90,0,0,0,1,2,31000,0,0,0,0,1,2,0,3,1,,,,7=9,,0,0,0,,0,,,,310|90,,,,,,Player_Assassin|Player_Assassin_ShiZiZhan|0|0|0,,,,,,,
500304,4,深红切割,刺客,5003,1,Player_Assassin_ShiZiZhan,,ShenHongQieGe,1|1,,33000,120,0,0,0,1,2,33000,0,0,0,0,1,2,0,3,1,,,,7=11,,0,0,0,,0,,,,330|120,,,,,,Player_Assassin|Player_Assassin_ShiZiZhan|0|0|0,,,,,,,
500305,5,深红切割,刺客,5003,1,Player_Assassin_ShiZiZhan,,ShenHongQieGe,1|1,,35000,150,0,0,0,1,2,35000,0,0,0,0,1,2,0,3,1,,,,7=13,,0,0,0,,0,,,,350|150,,,,,,Player_Assassin|Player_Assassin_ShiZiZhan|0|0|0,,,,,,,
500306,6,深红切割,刺客,5003,1,Player_Assassin_ShiZiZhan,,ShenHongQieGe,1|1,,37000,180,0,0,0,1,2,37000,0,0,0,0,1,2,0,3,1,,,,7=15,,0,0,0,,0,,,,370|180,,,,,,Player_Assassin|Player_Assassin_ShiZiZhan|0|0|0,,,,,,,
500307,7,深红切割,刺客,5003,1,Player_Assassin_ShiZiZhan,,ShenHongQieGe,1|1,,39000,210,0,0,0,1,2,39000,0,0,0,0,1,2,0,3,1,,,,7=17,,0,0,0,,0,,,,390|210,,,,,,Player_Assassin|Player_Assassin_ShiZiZhan|0|0|0,,,,,,,
500308,8,深红切割,刺客,5003,1,Player_Assassin_ShiZiZhan,,ShenHongQieGe,1|1,,41000,240,0,0,0,1,2,41000,0,0,0,0,1,2,0,3,1,,,,7=19,,0,0,0,,0,,,,410|240,,,,,,Player_Assassin|Player_Assassin_ShiZiZhan|0|0|0,,,,,,,
500309,9,深红切割,刺客,5003,1,Player_Assassin_ShiZiZhan,,ShenHongQieGe,1|1,,43000,270,0,0,0,1,2,43000,0,0,0,0,1,2,0,3,1,,,,7=21,,0,0,0,,0,,,,430|270,,,,,,Player_Assassin|Player_Assassin_ShiZiZhan|0|0|0,,,,,,,
500310,10,深红切割,刺客,5003,1,Player_Assassin_ShiZiZhan,,ShenHongQieGe,1|1,,45000,300,0,0,0,1,2,45000,0,0,0,0,1,2,0,3,1,,,,7=23,,0,0,0,,0,,,,450|300,,,,,,Player_Assassin|Player_Assassin_ShiZiZhan|0|0|0,,,,,,,
500401,1,火柱攻击召唤兽,巫师,5004,1,Player_Wizard/Player_Wizard_HuoZhuGongJi_effect_Belluz_01,,HuoZhuGongJi,10|1,201901=0|202001=10000,6000,200,0,0,10,0,0,6000,200,0,0,10,0,0,0,3,,,,,,,0,,,,0,,,,,,,,,,Player_Wizard|Player_Wizard_HuoZhuGongJi_effect_Belluz_01|0|0|0,,,,,,,
500402,2,火柱攻击召唤兽,巫师,5004,1,Player_Wizard/Player_Wizard_HuoZhuGongJi_effect_Belluz_02,,HuoZhuGongJi,10|1,201901=0|202001=10000,8000,200,0,0,10,0,0,8000,200,0,0,10,0,0,0,3,,,,,,,0,,,,0,,,,,,,,,,Player_Wizard|Player_Wizard_HuoZhuGongJi_effect_Belluz_02|0|0|0,,,,,,,
500403,3,火柱攻击召唤兽,巫师,5004,1,Player_Wizard/Player_Wizard_HuoZhuGongJi_effect_Belluz_03,,HuoZhuGongJi,10|1,201901=0|202001=10000,10000,200,0,0,10,0,0,10000,200,0,0,10,0,0,0,3,,,,,,,0,,,,0,,,,,,,,,,Player_Wizard|Player_Wizard_HuoZhuGongJi_effect_Belluz_03|0|0|0,,,,,,,
500404,4,火柱攻击召唤兽,巫师,5004,1,Player_Wizard/Player_Wizard_HuoZhuGongJi_effect_Belluz_04,,HuoZhuGongJi,10|1,201901=0|202001=10000,12000,200,0,0,10,0,0,12000,200,0,0,10,0,0,0,3,,,,,,,0,,,,0,,,,,,,,,,Player_Wizard|Player_Wizard_HuoZhuGongJi_effect_Belluz_04|0|0|0,,,,,,,
500405,5,火柱攻击召唤兽,巫师,5004,1,Player_Wizard/Player_Wizard_HuoZhuGongJi_effect_Belluz_05,,HuoZhuGongJi,10|1,201901=0|202001=10000,14000,200,0,0,10,0,0,14000,200,0,0,10,0,0,0,3,,,,,,,0,,,,0,,,,,,,,,,Player_Wizard|Player_Wizard_HuoZhuGongJi_effect_Belluz_05|0|0|0,,,,,,,
500406,6,火柱攻击召唤兽,巫师,5004,1,Player_Wizard/Player_Wizard_HuoZhuGongJi_effect_Belluz_06,,HuoZhuGongJi,10|1,201901=0|202001=10000,16000,200,0,0,10,0,0,16000,200,0,0,10,0,0,0,3,,,,,,,0,,,,0,,,,,,,,,,Player_Wizard|Player_Wizard_HuoZhuGongJi_effect_Belluz_06|0|0|0,,,,,,,
500407,7,火柱攻击召唤兽,巫师,5004,1,Player_Wizard/Player_Wizard_HuoZhuGongJi_effect_Belluz_07,,HuoZhuGongJi,10|1,201901=0|202001=10000,18000,200,0,0,10,0,0,18000,200,0,0,10,0,0,0,3,,,,,,,0,,,,0,,,,,,,,,,Player_Wizard|Player_Wizard_HuoZhuGongJi_effect_Belluz_07|0|0|0,,,,,,,
500408,8,火柱攻击召唤兽,巫师,5004,1,Player_Wizard/Player_Wizard_HuoZhuGongJi_effect_Belluz_08,,HuoZhuGongJi,10|1,201901=0|202001=10000,20000,200,0,0,10,0,0,20000,200,0,0,10,0,0,0,3,,,,,,,0,,,,0,,,,,,,,,,Player_Wizard|Player_Wizard_HuoZhuGongJi_effect_Belluz_08|0|0|0,,,,,,,
500409,9,火柱攻击召唤兽,巫师,5004,1,Player_Wizard/Player_Wizard_HuoZhuGongJi_effect_Belluz_09,,HuoZhuGongJi,10|1,201901=0|202001=10000,22000,200,0,0,10,0,0,22000,200,0,0,10,0,0,0,3,,,,,,,0,,,,0,,,,,,,,,,Player_Wizard|Player_Wizard_HuoZhuGongJi_effect_Belluz_09|0|0|0,,,,,,,
500410,10,火柱攻击召唤兽,巫师,5004,1,Player_Wizard/Player_Wizard_HuoZhuGongJi_effect_Belluz_10,,HuoZhuGongJi,10|1,201901=0|202001=10000,24000,200,0,0,10,0,0,24000,200,0,0,10,0,0,0,3,,,,,,,0,,,,0,,,,,,,,,,Player_Wizard|Player_Wizard_HuoZhuGongJi_effect_Belluz_10|0|0|0,,,,,,,
500501,1,陨石术,巫师,5005,1,Player_Wizard_YunShiShu_Belluz3023_01,,DamageNil,1,,11000,,9.6,1.2,0,1,1,11000,,9.6,1.2,0,1,1,0,7,1,,,,7=55,,0,1,3.9,,0,,,,4|110|5|3,,,,,,Player_Wizard|Player_Wizard_YunShiShu_Belluz3023_01|0|0|0,,,,,,,
500502,2,陨石术,巫师,5005,1,Player_Wizard_YunShiShu_Belluz3023_02,,DamageNil,1,,11000,,9.26,1.2,0,1,2,11000,,9.26,1.2,0,1,2,0,7,1,,,,7=65,,0,1,3.9,,0,,,,5|110|10|6,,,,,,Player_Wizard|Player_Wizard_YunShiShu_Belluz3023_02|0|0|0,,,,,,,
500503,3,陨石术,巫师,5005,1,Player_Wizard_YunShiShu_Belluz3023_03,,DamageNil,1,,22000,,8.92,1.2,0,1,2,22000,,8.92,1.2,0,1,2,0,7,1,,,,7=75,,0,1,3.9,,0,,,,5|220|18|9,,,,,,Player_Wizard|Player_Wizard_YunShiShu_Belluz3023_03|0|0|0,,,,,,,
500504,4,陨石术,巫师,5005,1,Player_Wizard_YunShiShu_Belluz3023_04,,DamageNil,1,,22000,,8.58,1.2,0,1,3,22000,,8.58,1.2,0,1,3,0,7,1,,,,7=85,,0,1,3.9,,0,,,,6|220|33|12,,,,,,Player_Wizard|Player_Wizard_YunShiShu_Belluz3023_04|0|0|0,,,,,,,
500505,5,陨石术,巫师,5005,1,Player_Wizard_YunShiShu_Belluz3023_05,,DamageNil,1,,33000,,8.24,1.2,0,1,3,33000,,8.24,1.2,0,1,3,0,7,1,,,,7=95,,0,1,3.9,,0,,,,6|330|42|15,,,,,,Player_Wizard|Player_Wizard_YunShiShu_Belluz3023_05|0|0|0,,,,,,,
500506,6,陨石术,巫师,5005,1,Player_Wizard_YunShiShu_Belluz3023_06,,DamageNil,1,,33000,,7.9,1.2,0,1,4,33000,,7.9,1.2,0,1,4,0,7,1,,,,7=105,,0,1,3.9,,0,,,,7|330|63|18,,,,,,Player_Wizard|Player_Wizard_YunShiShu_Belluz3023_06|0|0|0,,,,,,,
500507,7,陨石术,巫师,5005,1,Player_Wizard_YunShiShu_Belluz3023_07,,DamageNil,1,,44000,,7.56,1.2,0,1,4,44000,,7.56,1.2,0,1,4,0,7,1,,,,7=115,,0,1,3.9,,0,,,,7|440|75|21,,,,,,Player_Wizard|Player_Wizard_YunShiShu_Belluz3023_07|0|0|0,,,,,,,
500508,8,陨石术,巫师,5005,1,Player_Wizard_YunShiShu_Belluz3023_08,,DamageNil,1,,44000,,7.22,1.2,0,1,4,44000,,7.22,1.2,0,1,4,0,7,1,,,,7=125,,0,1,3.9,,0,,,,8|440|104|24,,,,,,Player_Wizard|Player_Wizard_YunShiShu_Belluz3023_08|0|0|0,,,,,,,
500509,9,陨石术,巫师,5005,1,Player_Wizard_YunShiShu_Belluz3023_09,,DamageNil,1,,55000,,6.88,1.2,0,1,4,55000,,6.88,1.2,0,1,4,0,7,1,,,,7=135,,0,1,3.9,,0,,,,8|550|118|27,,,,,,Player_Wizard|Player_Wizard_YunShiShu_Belluz3023_09|0|0|0,,,,,,,
500510,10,陨石术,巫师,5005,1,Player_Wizard_YunShiShu_Belluz3023_10,,DamageNil,1,,55000,,6.54,1.2,0,1,4,55000,,6.54,1.2,0,1,4,0,7,1,,,,7=145,,0,1,3.9,,0,,,,9|550|154|30,,,,,,Player_Wizard|Player_Wizard_YunShiShu_Belluz3023_10|0|0|0,,,,,,,
500601,1,移花接木,武僧,5006,1,Player_AnyOne_YiHuaJieMu,,PhysicalSkillCalc,1,,5000,,0,0,0,0,0,5000,0,0,0,0,0,0,0,15,1,,,,,,0,0,0,,0,,,,,,,,,,Player_AnyOne|Player_AnyOne_YiHuaJieMu|0|0|0,,,,,,,
500602,2,移花接木,武僧,5006,1,Player_AnyOne_YiHuaJieMu,,PhysicalSkillCalc,1,,5000,,0,0,0,0,0,5000,0,0,0,0,0,0,0,15,1,,,,,,0,0,0,,0,,,,,,,,,,Player_AnyOne|Player_AnyOne_YiHuaJieMu|0|0|0,,,,,,,
500603,3,移花接木,武僧,5006,1,Player_AnyOne_YiHuaJieMu,,PhysicalSkillCalc,1,,5000,,0,0,0,0,0,5000,0,0,0,0,0,0,0,15,1,,,,,,0,0,0,,0,,,,,,,,,,Player_AnyOne|Player_AnyOne_YiHuaJieMu|0|0|0,,,,,,,
500604,4,移花接木,武僧,5006,1,Player_AnyOne_YiHuaJieMu,,PhysicalSkillCalc,1,,5000,,0,0,0,0,0,5000,0,0,0,0,0,0,0,15,1,,,,,,0,0,0,,0,,,,,,,,,,Player_AnyOne|Player_AnyOne_YiHuaJieMu|0|0|0,,,,,,,
500605,5,移花接木,武僧,5006,1,Player_AnyOne_YiHuaJieMu,,PhysicalSkillCalc,1,,5000,,0,0,0,0,0,5000,0,0,0,0,0,0,0,15,1,,,,,,0,0,0,,0,,,,,,,,,,Player_AnyOne|Player_AnyOne_YiHuaJieMu|0|0|0,,,,,,,
500606,6,移花接木,武僧,5006,1,Player_AnyOne_YiHuaJieMu,,PhysicalSkillCalc,1,,5000,,0,0,0,0,0,5000,0,0,0,0,0,0,0,15,1,,,,,,0,0,0,,0,,,,,,,,,,Player_AnyOne|Player_AnyOne_YiHuaJieMu|0|0|0,,,,,,,
500607,7,移花接木,武僧,5006,1,Player_AnyOne_YiHuaJieMu,,PhysicalSkillCalc,1,,5000,,0,0,0,0,0,5000,0,0,0,0,0,0,0,15,1,,,,,,0,0,0,,0,,,,,,,,,,Player_AnyOne|Player_AnyOne_YiHuaJieMu|0|0|0,,,,,,,
500608,8,移花接木,武僧,5006,1,Player_AnyOne_YiHuaJieMu,,PhysicalSkillCalc,1,,5000,,0,0,0,0,0,5000,0,0,0,0,0,0,0,15,1,,,,,,0,0,0,,0,,,,,,,,,,Player_AnyOne|Player_AnyOne_YiHuaJieMu|0|0|0,,,,,,,
500609,9,移花接木,武僧,5006,1,Player_AnyOne_YiHuaJieMu,,PhysicalSkillCalc,1,,5000,,0,0,0,0,0,5000,0,0,0,0,0,0,0,15,1,,,,,,0,0,0,,0,,,,,,,,,,Player_AnyOne|Player_AnyOne_YiHuaJieMu|0|0|0,,,,,,,
500610,10,移花接木,武僧,5006,1,Player_AnyOne_YiHuaJieMu,,PhysicalSkillCalc,1,,5000,,0,0,0,0,0,5000,0,0,0,0,0,0,0,15,1,,,,,,0,0,0,,0,,,,,,,,,,Player_AnyOne|Player_AnyOne_YiHuaJieMu|0|0|0,,,,,,,
500701,1,音速投掷,刺客,5007,1,Equip_PSTPZR_Effect,,YinSuTouZhi,1,301501=1200,44000,50,0,0,0,1,1.1,44000,0,0,0,0,1,1.1,0,1.5,100,,,,7=8,,0,0,0,,0,,,,440|12|50,,,,cripro=0=cripara=10000,,Player_Assassin|Player_Assassin_YinSuTouZhi|0|0|0,,,,,,,
500702,2,音速投掷,刺客,5007,1,Equip_PSTPZR_Effect,,YinSuTouZhi,1,301501=1400,48000,100,0,0,0,1,1.1,48000,0,0,0,0,1,1.1,0,1.5,100,,,,7=10,,0,0,0,,0,,,,480|14|100,,,,cripro=0=cripara=10000,,Player_Assassin|Player_Assassin_YinSuTouZhi|0|0|0,,,,,,,
500703,3,音速投掷,刺客,5007,1,Equip_PSTPZR_Effect,,YinSuTouZhi,1,301501=1600,52000,150,0,0,0,1,1.1,52000,0,0,0,0,1,1.1,0,1.5,100,,,,7=12,,0,0,0,,0,,,,520|16|150,,,,cripro=0=cripara=10000,,Player_Assassin|Player_Assassin_YinSuTouZhi|0|0|0,,,,,,,
500704,4,音速投掷,刺客,5007,1,Equip_PSTPZR_Effect,,YinSuTouZhi,1,301501=1800,56000,200,0,0,0,1,1.1,56000,0,0,0,0,1,1.1,0,1.5,100,,,,7=14,,0,0,0,,0,,,,560|18|200,,,,cripro=0=cripara=10000,,Player_Assassin|Player_Assassin_YinSuTouZhi|0|0|0,,,,,,,
500705,5,音速投掷,刺客,5007,1,Equip_PSTPZR_Effect,,YinSuTouZhi,1,301501=2000,60000,250,0,0,0,1,1.1,60000,0,0,0,0,1,1.1,0,1.5,100,,,,7=16,,0,0,0,,0,,,,600|20|250,,,,cripro=0=cripara=10000,,Player_Assassin|Player_Assassin_YinSuTouZhi|0|0|0,,,,,,,
500706,6,音速投掷,刺客,5007,1,Equip_PSTPZR_Effect,,YinSuTouZhi,1,301501=2200,64000,300,0,0,0,1,1.1,64000,0,0,0,0,1,1.1,0,1.5,100,,,,7=18,,0,0,0,,0,,,,640|22|300,,,,cripro=0=cripara=10000,,Player_Assassin|Player_Assassin_YinSuTouZhi|0|0|0,,,,,,,
500707,7,音速投掷,刺客,5007,1,Equip_PSTPZR_Effect,,YinSuTouZhi,1,301501=2400,68000,350,0,0,0,1,1.1,68000,0,0,0,0,1,1.1,0,1.5,100,,,,7=20,,0,0,0,,0,,,,680|24|350,,,,cripro=0=cripara=10000,,Player_Assassin|Player_Assassin_YinSuTouZhi|0|0|0,,,,,,,
