ID,Index1,Index2,LevelIndex,ItemID,,GiftType,FriendDegree,ServerLevelLimit,Enable,DelaySellTime,ChooseNumberRange,ChooseStack,InventoryUpperLimit,BasePrice,SingleFloatRange,PriceFloatRange,PriceLimit,PriceFixPara,FunctionName,LocalizationArea
61,300223,300223,0=999,1290068,背鳍,1,5,0,1,0=2,2000=2500,80,50000,2500,10,-50=50,1000=4000,200000,calc1,11
62,300224,300224,0=999,1290079,老旧汤匙,1,5,0,1,0=2,2000=2500,80,50000,2500,10,-50=50,1000=4000,200000,calc1,11
63,300225,300225,0=999,1290080,行刑者手套,1,5,0,1,0=2,2000=2500,80,50000,2500,10,-50=50,1000=4000,200000,calc1,11
64,300226,300226,0=999,1290081,白云母,1,5,0,1,0=2,2000=2500,80,50000,2500,10,-50=50,1000=4000,200000,calc1,11
65,300227,300227,0=999,1290082,黑云母,1,5,0,1,0=2,2000=2500,80,50000,2500,10,-50=50,1000=4000,200000,calc1,11
66,300228,300228,0=999,1290092,红色流苏,1,5,0,1,0=2,2000=2500,80,50000,2500,10,-50=50,1000=4000,200000,calc1,9
67,300229,300229,0=999,1290093,结实的藤,1,5,0,1,0=2,2000=2500,80,50000,2500,10,-50=50,1000=4000,200000,calc1,9
68,300230,300230,0=999,1290094,西纳雷叶子,1,5,0,1,0=2,2000=2500,80,50000,2500,10,-50=50,1000=4000,200000,calc1,9
69,300231,300231,0=999,1290098,蛤蜊肉,1,5,0,1,0=2,2000=2500,80,50000,2500,10,-50=50,1000=4000,200000,calc1,9
70,300232,300232,0=999,1290099,蛤蜊外壳,1,5,0,1,0=2,2000=2500,80,50000,2500,10,-50=50,1000=4000,200000,calc1,9
71,300233,300233,0=999,1290100,螃蟹外壳,1,5,0,1,0=2,2000=2500,80,50000,2500,10,-50=50,1000=4000,200000,calc1,9
72,300234,300234,0=999,1290112,龙皮,1,5,0,1,0=2,2000=2500,80,50000,2500,10,-50=50,1000=4000,200000,calc1,9
73,300235,300235,0=999,1290113,老旧的铁板 ,1,5,0,1,0=2,2000=2500,80,50000,2500,10,-50=50,1000=4000,200000,calc1,9
74,300236,300236,0=999,1290114,砂团,1,5,0,1,0=2,2000=2500,80,50000,2500,10,-50=50,1000=4000,200000,calc1,9
75,300301,300301,0=999,1290036,大嘴鸟之羽,1,5,0,1,0=2,2000=2500,80,50000,50000,10,-50=50,20000=80000,200000,calc1,
76,300302,300302,0=999,1290041,柔软的羽毛,1,5,0,1,0=2,2000=2500,80,50000,50000,10,-50=50,20000=80000,200000,calc1,
77,300303,300303,0=999,3090006,青绿宝石,1,5,0,1,0=2,2000=2500,80,50000,50000,10,-50=50,20000=80000,200000,calc1,
78,300304,300304,0=999,3090001,白宝石,1,5,0,1,0=2,2000=2500,80,50000,50000,10,-50=50,20000=80000,200000,calc1,
79,300305,300305,0=999,1270008,小恶魔翅膀,1,5,0,1,0=2,2000=2500,80,50000,50000,10,-50=50,20000=80000,200000,calc1,
80,300306,300306,0=999,1270007,欧拉欧拉,1,5,0,1,0=2,2000=2500,80,50000,50000,10,-50=50,20000=80000,200000,calc1,
81,300307,300307,0=999,1290037,怀表,1,5,0,1,0=2,2000=2500,80,50000,50000,10,-50=50,20000=80000,200000,calc1,
82,300308,300308,0=999,1290039,蜜饯香蕉,1,5,0,1,0=2,2000=2500,80,50000,50000,10,-50=50,20000=80000,200000,calc1,
83,300309,300309,0=999,1290029,蜂胶,1,5,0,1,0=2,2000=2500,80,50000,50000,10,-50=50,20000=80000,200000,calc1,
84,300310,300310,0=999,1290031,围兜兜,1,5,0,1,0=2,2000=2500,80,50000,50000,10,-50=50,20000=80000,200000,calc1,
85,300311,300311,0=999,1280010,诅咒红宝石,1,5,0,1,0=2,2000=2500,80,50000,50000,10,-50=50,20000=80000,200000,calc1,
86,300312,300312,0=999,1270003,紫宝石,1,5,0,1,0=2,2000=2500,80,50000,50000,10,-50=50,20000=80000,200000,calc1,
87,300313,300313,0=999,1270009,永恒玫瑰,1,5,0,1,0=2,2000=2500,80,50000,50000,10,-50=50,20000=80000,200000,calc1,
88,300314,300314,0=999,3090004,黄宝石,1,5,0,1,0=2,2000=2500,80,50000,50000,10,-50=50,20000=80000,200000,calc1,
89,300315,300315,0=999,1280006,兽人战士之证,1,5,0,1,0=2,2000=2500,80,50000,50000,10,-50=50,20000=80000,200000,calc1,
90,300316,300316,0=999,3090008,天蓝宝石,1,5,0,1,0=2,2000=2500,80,50000,50000,10,-50=50,20000=80000,200000,calc1,
91,300317,300317,0=999,1290030,发亮鳞片,1,5,0,1,0=2,2000=2500,80,50000,50000,10,-50=50,20000=80000,200000,calc1,
92,300318,300318,0=999,3090002,绿宝石,1,5,0,1,0=2,2000=2500,80,50000,50000,10,-50=50,20000=80000,200000,calc1,
93,300319,300319,0=999,1280005,黑猫娃娃,1,5,0,1,0=2,2000=2500,80,50000,50000,10,-50=50,20000=80000,200000,calc1,
94,300320,300320,0=999,1290035,恶魔角,1,5,0,1,0=2,2000=2500,80,50000,50000,10,-50=50,20000=80000,200000,calc1,
95,300321,300321,0=999,1280001,神之手,1,5,0,1,0=2,2000=2500,80,50000,50000,10,-50=50,20000=80000,200000,calc1,
96,300322,300322,0=999,1290071,人鱼之牙,1,5,0,1,0=2,2000=2500,80,50000,50000,10,-50=50,20000=80000,200000,calc1,11
97,300323,300323,0=999,1290072,年老的树枝,1,5,0,1,0=2,2000=2500,80,50000,50000,10,-50=50,20000=80000,200000,calc1,11
98,300324,300324,0=999,1290077,回忆书签,1,5,0,1,0=2,2000=2500,80,50000,50000,10,-50=50,20000=80000,200000,calc1,11
99,300325,300325,0=999,1290078,红色相框,1,5,0,1,0=2,2000=2500,80,50000,50000,10,-50=50,20000=80000,200000,calc1,11
100,300326,300326,0=999,1290090,魔女之星沙,1,5,0,1,0=2,2000=2500,80,50000,50000,10,-50=50,20000=80000,200000,calc1,9
101,300327,300327,0=999,1290091,老旧魔法图,1,5,0,1,0=2,2000=2500,80,50000,50000,10,-50=50,20000=80000,200000,calc1,9
102,300328,300328,0=999,1290104,辉石,1,5,0,1,0=2,2000=2500,80,50000,50000,10,-50=50,20000=80000,200000,calc1,9
103,300329,300329,0=999,1290110,七彩羽毛,1,5,0,1,0=2,2000=2500,80,50000,50000,10,-50=50,20000=80000,200000,calc1,9
104,300330,300330,0=999,1290111,燃烧的心脏,1,5,0,1,0=2,2000=2500,80,50000,50000,10,-50=50,20000=80000,200000,calc1,9
105,300401,300401,0=999,1290026,天地树芽,1,5,0,1,0=2,80=100,80,50000,500000,5,-20=20,400000=600000,80000,calc1,
106,300402,300402,0=999,1270011,四叶幸运草,1,5,0,1,0=2,80=100,80,50000,500000,5,-20=20,400000=600000,80000,calc1,
107,300403,300403,0=999,1290028,超坚硬外皮,1,5,0,1,0=2,80=100,80,50000,500000,5,-20=20,400000=600000,80000,calc1,
108,300404,300404,0=999,1270004,珍珠,1,5,0,1,0=2,80=100,80,50000,500000,5,-20=20,400000=600000,80000,calc1,
109,300405,300405,0=999,1290025,忠诚之证,1,5,0,1,0=2,80=100,80,50000,500000,5,-20=20,400000=600000,80000,calc1,
110,300406,300406,0=999,1270012,黄金,1,5,0,1,0=2,80=100,80,50000,500000,5,-20=20,400000=600000,80000,calc1,
111,300407,300407,0=999,1290024,海利翁之眼,1,5,0,1,0=2,80=100,80,50000,500000,5,-20=20,400000=600000,80000,calc1,
112,300408,300408,0=999,1290027,圣殿士面具,1,5,0,1,0=2,80=100,80,50000,500000,5,-20=20,400000=600000,80000,calc1,
113,300409,300409,0=999,1290023,燃烧的马蹄铁,1,5,0,1,0=2,80=100,80,50000,500000,5,-20=20,400000=600000,80000,calc1,
114,300410,300410,0=999,1290022,狮鹫兽的指甲,1,5,0,1,0=2,80=100,80,50000,500000,5,-20=20,400000=600000,80000,calc1,
115,300411,300411,0=999,1290075,黄水晶,1,5,0,1,0=2,80=100,80,50000,500000,5,-20=20,400000=600000,80000,calc1,11
116,300412,300412,0=999,1290076,古城亡者的牙齿,1,5,0,1,0=2,80=100,80,50000,500000,5,-20=20,400000=600000,80000,calc1,11
117,300413,300413,0=999,1290088,古魔法书,1,5,0,1,0=2,80=100,80,50000,500000,5,-20=20,400000=600000,80000,calc1,9
118,300414,300414,0=999,1290089,指针,1,5,0,1,0=2,80=100,80,50000,500000,5,-20=20,400000=600000,80000,calc1,9
119,300415,300415,0=999,1290105,龙牙,1,5,0,1,0=2,80=100,80,50000,500000,5,-20=20,400000=600000,80000,calc1,9
120,300416,300416,0=999,1290108,绿松石,1,5,0,1,0=2,80=100,80,50000,500000,5,-20=20,400000=600000,80000,calc1,
121,300417,300417,0=999,1290109,血色符文,1,5,0,1,0=2,80=100,80,50000,500000,5,-20=20,400000=600000,80000,calc1,
122,300501,300501,0=999,1270005,断柄之刃,1,5,0,1,0=2,80=100,80,50000,1000000,5,-20=20,800000=1200000,80000,calc1,
123,300502,300502,0=999,1280012,泯灭之心,1,5,0,1,0=2,80=100,80,50000,1000000,5,-20=20,800000=1200000,80000,calc1,
124,300503,300503,0=999,1290021,噩梦之石,1,5,0,1,0=2,80=100,80,50000,1000000,5,-20=20,800000=1200000,80000,calc1,
125,300504,300504,0=999,1290020,兽人英雄之证,1,5,0,1,0=2,80=100,80,50000,1000000,5,-20=20,800000=1200000,80000,calc1,
126,300505,300505,0=999,1290019,虎掌,1,5,0,1,0=2,80=100,80,50000,1000000,5,-20=20,800000=1200000,80000,calc1,
127,300506,300506,0=999,1290073,老旧剑柄,1,5,0,1,0=2,80=100,80,50000,1000000,5,-20=20,800000=1200000,80000,calc1,11
128,300507,300507,0=999,1290074,玫瑰石英,1,5,0,1,0=2,80=100,80,50000,1000000,5,-20=20,800000=1200000,80000,calc1,11
129,300508,300508,0=999,1290086,时间结晶,1,5,0,1,0=2,80=100,80,50000,1000000,5,-20=20,800000=1200000,80000,calc1,9
130,300509,300509,0=999,1290087,卡仑之牙,1,5,0,1,0=2,80=100,80,50000,1000000,5,-20=20,800000=1200000,80000,calc1,9
131,300510,300510,0=999,1290106,宝石原石,1,5,0,1,0=2,80=100,80,50000,1000000,5,-20=20,800000=1200000,80000,calc1,9
132,300511,300511,0=999,1290107,玛瑙,1,5,0,1,0=2,80=100,80,50000,1000000,5,-20=20,800000=1200000,80000,calc1,
133,700101,700101,0=999,3046001,短剑置换器,0,-1,0,1,0=2,80=120,100,1000,185000,5,-15=15,135000=210000,20000,calc1,
134,700102,700102,0=999,3046002,斧头置换器,0,-1,0,1,0=2,80=120,100,1000,185000,5,-15=15,135000=210000,20000,calc1,
135,700103,700103,0=999,3046003,钝器置换器,0,-1,0,1,0=2,80=120,100,1000,185000,5,-15=15,135000=210000,20000,calc1,
136,700104,700104,0=999,3046004,长矛置换器,0,-1,0,1,0=2,80=120,100,1000,185000,5,-15=15,135000=210000,20000,calc1,
137,700105,700105,0=999,3046005,长剑置换器,0,-1,0,1,0=2,80=120,100,1000,185000,5,-15=15,135000=210000,20000,calc1,
138,700106,700106,0=999,3046006,双手剑置换器,0,-1,0,1,0=2,80=120,100,1000,185000,5,-15=15,135000=210000,20000,calc1,
139,700107,700107,0=999,3046007,拳刃置换器,0,-1,0,1,0=2,80=120,100,1000,185000,5,-15=15,135000=210000,20000,calc1,
140,700108,700108,0=999,3046008,拳套置换器,0,-1,0,1,0=2,80=120,100,1000,185000,5,-15=15,135000=210000,20000,calc1,
141,800201,800201,0=999,3078011,力量药剂1星,0,10,0,1,0=2,150=250,80,5000,50000,10,-50=50,25000=100000,20000,calc1,
142,800202,800202,0=999,3078014,智力药剂1星,0,10,0,1,0=2,150=250,80,5000,50000,10,-50=50,25000=100000,20000,calc1,
143,800203,800203,0=999,3078017,敏捷药剂1星,0,10,0,1,0=2,150=250,80,5000,50000,10,-50=50,25000=100000,20000,calc1,
144,800204,800204,0=999,3078020,灵巧药剂1星,0,10,0,1,0=2,150=250,80,5000,50000,10,-50=50,25000=100000,20000,calc1,
145,800205,800205,0=999,3078023,体质药剂1星,0,10,0,1,0=2,150=250,80,5000,50000,10,-50=50,25000=100000,20000,calc1,
146,800206,800206,0=999,3078026,幸运药剂1星,0,10,0,1,0=2,150=250,80,5000,50000,10,-50=50,25000=100000,20000,calc1,
147,800301,800301,0=999,3054001,蒸蟹螯1星,0,10,0,1,0=2,150=250,80,5000,50000,10,-50=50,25000=100000,20000,calc1,
148,800302,800302,0=999,3054101,口感爽滑的面1星,0,10,0,1,0=2,150=250,80,5000,50000,10,-50=50,25000=100000,20000,calc1,
149,800303,800303,0=999,3054201,鲜虾汁1星,0,10,0,1,0=2,150=250,80,5000,50000,10,-50=50,25000=100000,20000,calc1,
150,800304,800304,0=999,3054301,什锦饭团1星,0,10,0,1,0=2,150=250,80,5000,50000,10,-50=50,25000=100000,20000,calc1,
151,800305,800305,0=999,3054401,热炒蛤蜊1星,0,10,0,1,0=2,150=250,80,5000,50000,10,-50=50,25000=100000,20000,calc1,
152,800306,800306,0=999,3054501,蟹肉棒1星,0,10,0,1,0=2,150=250,80,5000,50000,10,-50=50,25000=100000,20000,calc1,
153,800307,800307,0=999,3054601,金枪鱼串烧1星,0,10,0,1,0=2,150=250,80,5000,50000,10,-50=50,25000=100000,20000,calc1,
154,800308,800308,0=999,3054701,鱼子酱1星,0,10,0,1,0=2,150=250,80,5000,50000,10,-50=50,25000=100000,20000,calc1,
155,800309,800309,0=999,3054801,鲜贝粥1星,0,10,0,1,0=2,150=250,80,5000,50000,10,-50=50,25000=100000,20000,calc1,
156,900001,900001,0=999,2023102,风之元素卷轴,0,-1,0,1,0=2,80=120,100,1000,60000,10,-15=15,40000=80000,20000,calc1,
157,900002,900002,0=999,2023103,地之元素卷轴,0,-1,0,1,0=2,80=120,100,1000,60000,10,-15=15,40000=80000,20000,calc1,
158,900003,900003,0=999,2023104,火之元素卷轴,0,-1,0,1,0=2,80=120,100,1000,60000,10,-15=15,40000=80000,20000,calc1,
159,900004,900004,0=999,2023105,水之元素卷轴,0,-1,0,1,0=2,80=120,100,1000,60000,10,-15=15,40000=80000,20000,calc1,
