ID,Condition,ProfessionLimit,LevelLimit,Enable,StepID,
AcolyteSkill,134=0,3000,,1,134001,服事技能加点引导
MagicianSkill,135=0,4000,,1,135001,魔法师技能加点引导
ThiefSkill,136=0,5000,,1,136001,盗贼技能加点引导
ArcherSkill,137=0,7000,,1,137001,弓箭手技能加点引导
MerchantSkill,138=0,6000,,1,138001,商人技能加点引导
SkillPointConfirm,139=0,,,1,139001,技能加点确认引导
MercenaryGuideFirst,140=0,,,1,140001,佣兵引导
MercenaryGuideSecond,141=0,,,1,141001,获取第二个佣兵时重复引导
FirstTalkTaskGuide,142=0,,,0,142001,第一次对话任务按钮引导
MallGuide,143=0,,,0,143001,第一次打开卖场界面引导
NewRoleGuide,144=0,,,1,144001,萌新用户角色界面引导
SouvenirStoneGuide1,145=0,,,1,145001,第一次进入纪念原石界面引导
SouvenirStoneGuide2,146=0,,,1,146001,完成5次雕琢进入纪念原石界面引导
SouvenirStoneGuide3,147=0,,,1,147001,第一次进入纪念晶石分配界面引导
AssistGuild1,148=0,,,1,148001,第一次进入纪念晶石分配界面引导
AssistGuild2,149=0,,,1,149001,第一次进入纪念晶石分配界面引导
SecondTalkTaskGuide,150=0,,,1,150001,第二次对话任务按钮引导
AutoBattleMainUI,151=0,,25=999,1,151001,第一次打开自动战斗界面时的引导
AutoBattleOnceClose,152=0,,,1,152001,玩家第一次在开启了自动战斗时，关闭了自动战斗面板时
GetAutoDevOpenBag,153=0,,,1,153001,玩家获得道具后，第一次打开背包
FoundryEquipment1,154=0,,,1,154001,历史首次打开锻造界面【材料追踪】引导
FoundryEquipment2,155=0,,,1,155001,40级后，首次打开锻造界面【快速推荐】引导
FoundryCard,156=0,,,1,156001,历史首次打开解封界面引导
GetAutoDev,157=0,,,1,157001,获得全自动喝药道具时
CheckStickersGuide,158=0,,,1,158001,引导玩家在列表中点击查看一个贴纸
DailyActiivityGuide,159=0,,,1,159001,第一次打开冒险界面引导
CollectionReceivedGuide,160=0,,,1,160001,第一次打开藏品收纳柜引导
GetAutoDevOpenPanel,161=0,,,1,161001,第一次打开自动吃药面板
GuildMatchGuide,162=0,,,1,162001,第一次打开队伍管理界面引导
FoundryEquipment3,163=0,,,1,163001,40级后，首次打开锻造界面【推荐流派】引导
DailyExpGuide,164=0,,,1,164001,玩家30级后回到主城会引导打开每日经验界面
DailyExpGuide2,165=0,,,1,165001,30级后回主城打开引导每日经验界面后引导说明
KnightSecTransferTaskGuide,166=0,,,1,166001,骑士二转任务引导
WizardSecTransferTaskGuide,167=0,,,1,167001,巫师二转任务引导
PriestSecTransferTaskGuide,168=0,,,1,168001,牧师二转任务引导
HunterSecTransferTaskGuide,169=0,,,1,169001,猎人二转任务引导
BlacksmithSecTransferTaskGuide,170=0,,,1,170001,铁匠二转任务引导
AssassinSecTransferTaskGuide,171=0,,,1,171001,刺客二转任务引导
WheelGuide1,172=0,,,1,172001,贝鲁兹功能开启后新手引导1
WheelGuide2,173=0,,,1,173001,贝鲁兹功能开启后新手引导2
YLDGuide,174=0,,,1,174001,英灵殿副本目标引导
WheelGuide3,175=0,,,1,175001,贝鲁兹功能开启后新手引导3
WheelGuide4,176=0,,,1,176001,贝鲁兹功能开启后新手引导4
GetAutoDevOpenTip,180=0,,,1,180001,获得自动喝药道具时，第一次打开了背包并点开自动喝药道具的tips时
GarderobeFashionCountGuide1,177=0,,,1,110003,时尚度等级1级加特效
GarderobeFashionCountGuide2,177=1|178=0,,,1,178001,时尚度等级1级新手引导文本
EntityHandBookGuide1,179=0,,,1,179001,魔物研究等级1级新手引导文本
KnightFirTransferTaskGuide,181=0,,,1,181001,骑士一转小试牛刀引导
WizardFirTransferTaskGuide,182=0,,,1,182001,巫师一转小试牛刀引导
PriestFirTransferTaskGuide,183=0,,,1,183001,牧师一转小试牛刀引导
HunterFirTransferTaskGuide,184=0,,,1,184001,猎人一转小试牛刀引导
BlacksmithFirTransferTaskGuide,185=0,,,1,185001,铁匠一转小试牛刀引导
AssassinFirTransferTaskGuide,186=0,,,1,186001,刺客一转小试牛刀引导
YuzhuceFirstTask,187=0,,,1,187001,预注册第一次任务引导
AwardGuid,188=0,,,1,188001,主界面奖励入口引导（针对萌新）
TdSingleLimitUp,189=0,,,1,189001,服务器等级提升后单人天地树每周次数上限增加
BattleFieldFirstTimeEnter,190=0,,,1,190001,首次进入战场等候室的引导
BattleFieldGuideHint,191=0,,,1,191001,首次进入战场说明界面的引导
FightCandyUseGuide,192=0,,,1,192001,战斗加速糖使用后引导
FightCandyDesGuide,193=0|192=1,,,1,193001,战斗加速糖使用后进入战斗时间页面引导
MercenarySkillGuide,194=0,,,1,194001,佣兵技能引导
PetGetGuide,195=0,,,1,195003,首次获得宠物蛋后引导
PetOpenMainUIGuide,196=0,,,1,196001,首次打开装备了宠物的宠物界面引导
PetOpenEquipUIGuide,196=1|197=0,,,1,197001,首次打开宠物装备界面引导
PetOpenSkillUIGuide,196=1|198=0,,,1,198001,首次打开宠物技能界面引导
PetOpenAssistUIGuide,199=0,,,1,199001,首次打开助战设置界面引导
MedalGuide01,200=0,,,1,200001,首次打开勋章界面引导
MedalGuide02,201=0,,,1,201001,首次打开勋章解锁Tips引导
MedalGuide03,204=0|200=1,,,1,202001,非首次且未解锁勋章常态化引导
MedalGuide04,203=0,,,1,203001,勋章养成引导
MedalGuide05,204=0,,,1,204001,首次打开勋章升级Tips引导
MercenaryTaskGuide,205=0,,,1,205001,首次打开佣兵界面任务引导
PetSatietyGuide,196=1|206=0,,,1,206001,宠物饱食度引导
PetOpenTalentGuide,196=1|207=0,,,1,207001,首次打开宠物资质界面引导
PetOpenCultivateGuide,196=1|208=0,,,1,208001,首次打开培养界面引导
PetOpenEquipTipsGuide,196=1|209=0|197=1,,,1,209001,首次打开装备强化弹窗界面
PetCultivateGuideStep,196=1|214=0,,,1,214001,宠物培养界面第二步引导触发条件
OrnamentGuide1,210=0|213=0,,25=45,1,210001,装备饰品获取引导1-1（左）
OrnamentGuide3,211=0,,25=45,1,211001,装备饰品获取引导3
OrnamentGuide4,212=0,,25=45,1,212001,穿戴饰品引导
OrnamentGuide5,213=0|210=0,,25=45,1,213001,装备饰品获取引导1-2（右）
GrowUpGuide01,215=0,,,1,215001,成长贴士引导
