AuctionID,ItemID,,AuctionType,MoneyType,Enable,Overlap,AuctionPrice,BaseRaisePrice,SellPrice,InventoryUpperLimit,PriceBaseFloat,PriceFloatLimit,ServerLevelLimit,TimeLimit,Weight,Group,Recommend,ShowIndex,SortID,LocalizationArea
100024,4050010,狂暴月夜猫卡片,1,2,1,1,102=120000,102=2000,102=400000,3,10000,120000,0,,0,0,0,105,105001,
100025,4060016,剑鱼卡片,1,2,1,1,102=120000,102=2000,102=200000,3,5000,120000,0,,0,0,0,106,106001,
100026,4070005,基尔瑟卡片,1,2,1,1,102=120000,102=2000,102=200000,3,5000,120000,0,,0,0,0,107,107001,
100027,4070013,梦魇卡片,1,2,1,1,102=120000,102=2000,102=400000,3,10000,120000,0,,0,0,0,107,107002,
100028,4070002,小恶魔卡片,1,2,1,1,102=120000,102=2000,102=400000,3,10000,120000,0,,0,0,0,107,107003,
100029,4070008,马尔杜克卡片,1,2,1,1,102=120000,102=2000,102=400000,3,10000,120000,0,,0,0,0,107,107004,
100030,4070006,狂暴蚁后卡片,1,2,1,1,102=120000,102=2000,102=400000,3,10000,120000,0,,0,0,0,107,107005,
100031,4040014,波利之王卡片,1,2,1,1,102=120000,102=2000,102=400000,3,10000,120000,0,,0,0,0,104,104003,
100032,4030006,幽灵波利卡片,1,2,1,1,102=150000,102=2000,102=600000,3,15000,150000,0,,0,0,0,103,103007,
100033,4040015,蝗虫之王卡片,1,2,1,1,102=120000,102=2000,102=400000,3,10000,120000,0,,0,0,0,104,104004,
100034,4040016,蛙王卡片,1,2,1,1,102=120000,102=2000,102=400000,3,10000,120000,0,,0,0,0,104,104005,
100035,4040009,龙蝇卡片,1,2,1,1,102=120000,102=2000,102=400000,3,10000,120000,0,,0,0,0,104,104006,
100036,4010054,暗黑祭司卡片,1,2,1,1,102=120000,102=2000,102=400000,3,10000,120000,0,,0,0,0,101,101014,
100037,5010011,封印的海盗之王卡片,1,2,1,1,102=200000,102=3000,102=700000,1,20000,200000,0,,0,0,1,201,201001,
100038,5010037,封印的皮里恩卡片,1,2,1,1,102=200000,102=3000,102=700000,1,20000,200000,0,,0,0,1,201,201002,
100039,5010053,封印的德古拉伯爵卡片,1,2,1,1,102=200000,102=3000,102=700000,1,20000,200000,0,,0,0,1,201,201003,
100040,5010058,封印的死灵卡片,1,2,1,1,102=200000,102=3000,102=700000,1,20000,200000,0,,0,0,1,201,201004,
100041,5010018,封印的巴风特卡片,1,2,1,1,102=200000,102=3000,102=700000,1,20000,200000,0,,0,0,1,201,201005,
100042,5020002,封印的黄金虫卡片,1,2,1,1,102=200000,102=3000,102=700000,1,20000,200000,0,,0,0,1,202,202001,
100043,5020004,封印的蚁后卡片,1,2,1,1,102=200000,102=3000,102=700000,1,20000,200000,0,,0,0,1,202,202002,
100044,5030007,封印的天使波利卡片,1,2,1,1,102=200000,102=3000,102=700000,1,20000,200000,0,,0,0,1,203,203001,
100045,5030019,封印的兽人酋长卡片,1,2,1,1,102=200000,102=3000,102=700000,1,20000,200000,0,,0,0,1,203,203002,
100046,5040003,封印的恶魔波利卡片,1,2,1,1,102=200000,102=3000,102=700000,1,20000,200000,0,,0,0,1,204,204001,
100047,5050009,封印的虎王卡片,1,2,1,1,102=200000,102=3000,102=700000,1,20000,200000,0,,0,0,1,205,205001,
100048,5050011,封印的月夜猫卡片,1,2,1,1,102=200000,102=3000,102=700000,1,20000,200000,0,,0,0,1,205,205002,
100049,5060019,封印的俄塞里斯卡片,1,2,1,1,102=200000,102=3000,102=700000,1,20000,200000,0,,0,0,1,206,206001,
100050,5070007,封印的蜂后卡片,1,2,1,1,102=200000,102=3000,102=700000,1,20000,200000,0,,0,0,1,207,207001,
100051,5070009,封印的法老王卡片,1,2,1,1,102=200000,102=3000,102=700000,1,20000,200000,0,,0,0,1,207,207002,
100052,5070012,封印的兽人英雄卡片,1,2,1,1,102=200000,102=3000,102=700000,1,20000,200000,0,,0,0,1,207,207003,
100053,4020003,达拉蛙卡片,2,2,1,1,102=150000,102=2000,0=0,10,0,0,45,,20,1001,0,102,102001,
100054,4020010,锹形虫卡片,2,2,1,1,102=150000,102=2000,0=0,10,0,0,45,,30,3001,0,102,102002,
100055,4040017,兽人婴儿卡片,2,2,1,1,102=120000,102=2000,0=0,10,0,0,55,,15,2001,0,104,104001,
100056,4070005,基尔瑟卡片,2,2,1,1,102=120000,102=2000,0=0,10,0,0,45,,30,3001,0,107,107001,
100057,4060016,剑鱼卡片,2,2,1,1,102=120000,102=2000,0=0,10,0,0,70,,30,3001,0,106,106001,
100058,4030013,马克卡片,2,2,1,1,102=120000,102=2000,0=0,10,0,0,75,,20,1001,0,103,103001,
100059,4030020,异变鱼卡片,2,2,1,1,102=120000,102=2000,0=0,10,0,0,75,,30,3001,0,103,103002,
100060,4030015,泥人卡片,2,2,1,1,102=120000,102=2000,0=0,10,0,0,60,,30,3001,0,103,103003,
100061,4070013,梦魇卡片,2,2,1,1,102=120000,102=2000,0=0,10,0,0,80,,15,2001,0,107,107002,
100062,4010031,黑蛇卡片,2,2,1,1,102=120000,102=2000,0=0,10,0,0,75,,20,1001,0,101,101001,
100063,4030021,土人卡片,2,2,1,1,102=120000,102=2000,0=0,10,0,0,75,,15,2001,0,103,103004,
100064,4010010,海葵卡片,2,2,1,1,102=150000,102=2000,0=0,10,0,0,45,,20,1001,1,101,101002,
100065,4010046,邪骸矿工卡片,2,2,1,1,102=150000,102=2000,0=0,10,0,0,65,,10,1001,1,101,101003,
100066,4010030,邪骸士兵卡片,2,2,1,1,102=120000,102=2000,0=0,10,0,0,55,,15,2001,0,101,101004,
100067,4010029,邪骸弓箭手卡片,2,2,1,1,102=120000,102=2000,0=0,10,0,0,60,,20,2001,0,101,101005,
100068,4010025,弓箭哥布灵卡片,2,2,1,1,102=120000,102=2000,0=0,10,0,0,60,,15,2001,0,101,101006,
100069,4010027,直升机哥布灵卡片,2,2,1,1,102=120000,102=2000,0=0,10,0,0,55,,15,1001,0,101,101007,
100070,4010026,喷射哥布灵卡片,2,2,1,1,102=120000,102=2000,0=0,10,0,0,65,,15,2001,0,101,101008,
100071,4010040,米洛斯卡片,2,2,1,1,102=150000,102=2000,0=0,10,0,0,60,,10,1001,1,101,101009,
100072,4020017,蜗牛王卡片,1,2,1,1,102=120000,102=2000,102=200000,3,5000,120000,0,,0,0,0,102,102003,
100073,4010060,君主魔碑卡片,1,2,1,1,102=120000,102=2000,102=400000,3,10000,120000,0,,0,0,0,101,101015,
100074,4050013,地狱梦魇卡片,1,2,1,1,102=120000,102=2000,102=400000,3,10000,120000,0,,0,0,0,105,105002,
100075,4010061,远古海神卡片,1,2,1,1,102=120000,102=2000,102=200000,3,5000,120000,0,,0,0,0,101,101016,
100076,4070017,钢鬃巨熊卡片,1,2,1,1,102=120000,102=2000,102=400000,3,10000,120000,0,,0,0,0,107,107006,
100077,4010062,深海人鱼卡片,1,2,1,1,102=120000,102=2000,102=400000,3,10000,120000,0,,0,0,0,101,101015,
100078,4010063,狮鹫兽卡片,1,2,1,1,102=120000,102=2000,102=400000,3,10000,120000,0,,0,0,0,101,101016,
100079,4040010,流浪之狼卡片,1,2,1,1,102=120000,102=2000,102=400000,3,10000,120000,0,,0,0,0,104,104007,
100080,4010064,深海电鳗卡片,1,2,1,1,102=120000,102=2000,102=400000,3,10000,120000,0,,0,0,0,101,101017,11
100081,4010065,赛杜拉卡片,1,2,1,1,102=120000,102=2000,102=400000,3,10000,120000,0,,0,0,0,101,101018,11
100082,1170002,天使发圈图纸,1,2,1,1,102=80000,102=2000,102=400000,5,10000,80000,0,,0,0,0,301,301001,
100083,1170003,黄金帽图纸,1,2,1,1,102=80000,102=2000,102=400000,5,10000,80000,0,,0,0,0,301,301002,
100084,1170022,兽人英雄的头具图纸,1,2,1,1,102=80000,102=2000,102=400000,5,10000,80000,0,,0,0,0,301,301003,
100085,1170005,恶魔发圈图纸,1,2,1,1,102=80000,102=2000,102=400000,5,10000,80000,0,,0,0,0,301,301004,
100086,1170027,领导者头箍图纸,1,2,1,1,102=80000,102=2000,102=400000,5,10000,80000,0,,0,0,0,301,301005,
100087,1170013,后冠图纸,1,2,1,1,102=80000,102=2000,102=400000,5,10000,80000,0,,0,0,0,301,301006,
100088,1190002,愤怒的嘴图纸,1,2,1,1,102=80000,102=2000,102=400000,5,10000,80000,0,,0,0,0,303,301007,
100089,1170012,黄金冠冕图纸,1,2,1,1,102=80000,102=2000,102=400000,5,10000,80000,0,,0,0,0,301,301008,
100090,1170007,海盗船长帽图纸,1,2,1,1,102=80000,102=2000,102=400000,5,10000,80000,0,,0,0,0,301,301009,
100091,1170019,王冠图纸,1,2,1,1,102=80000,102=2000,102=400000,5,10000,80000,0,,0,0,0,301,301010,
100092,1200047,狮头面具图纸,1,2,1,1,102=80000,102=2000,102=400000,5,10000,80000,0,,0,0,0,301,301011,
100093,1200012,学生帽图纸,1,2,1,1,102=80000,102=2000,102=400000,5,10000,80000,0,,0,0,0,301,301012,
100094,1170024,菲力卡的头箍图纸,1,2,1,1,102=80000,102=2000,102=400000,5,10000,80000,0,,0,0,0,301,301013,
100095,1200051,古代的金饰图纸,1,2,1,1,102=80000,102=2000,102=400000,5,10000,80000,0,,0,0,0,301,301014,
100096,1200052,月夜猫帽子图纸,1,2,1,1,102=80000,102=2000,102=400000,5,10000,80000,0,,0,0,0,301,301015,
100097,1170031,山羊头盔图纸,1,2,1,1,102=80000,102=2000,102=400000,5,10000,80000,0,,0,0,0,301,301016,
100098,1170028,首领冠冕图纸,1,2,1,1,102=80000,102=2000,102=400000,5,10000,80000,0,,0,0,0,301,301017,
100099,1200045,海盗匕首图纸,1,2,1,1,102=80000,102=2000,102=400000,5,10000,80000,0,,0,0,0,303,301018,
100100,1190004,烟斗图纸,1,2,1,1,102=80000,102=2000,102=400000,5,10000,80000,0,,0,0,0,303,301019,
100101,1200059,绵绵卡普拉图纸,1,2,1,1,102=80000,102=2000,102=400000,5,10000,80000,0,,0,0,0,301,301020,
100102,4040015,蝗虫之王卡片,2,2,1,1,102=120000,102=2000,0=0,10,0,0,45,,15,2001,0,104,104002,
100103,4040016,蛙王卡片,2,2,1,1,102=120000,102=2000,0=0,10,0,0,45,,15,1001,0,104,104003,
100104,4040009,龙蝇卡片,2,2,1,1,102=120000,102=2000,0=0,10,0,0,45,,20,1001,0,104,104004,
100105,4040014,波利之王卡片,2,2,1,1,102=120000,102=2000,0=0,10,0,0,45,,30,1001,0,104,104005,
100106,4070017,钢鬃巨熊卡片,2,2,1,1,102=120000,102=2000,0=0,10,0,0,45,,30,1001,0,107,107003,
100107,4020017,蜗牛王卡片,2,2,1,1,102=120000,102=2000,0=0,10,0,0,55,,30,1001,0,102,102003,
100108,4010062,深海人鱼卡片,2,2,1,1,102=120000,102=2000,0=0,10,0,0,55,,15,1001,0,101,101010,
100109,4010060,君主魔碑卡片,2,2,1,1,102=120000,102=2000,0=0,10,0,0,65,,30,1001,0,101,101011,
100110,4040021,九尾狐卡片,2,2,1,1,102=120000,102=2000,0=0,10,0,0,75,,15,1001,0,104,104006,
100111,4030012,艾吉欧蜈蚣卡片,2,2,1,1,102=120000,102=2000,0=0,10,0,0,75,,15,1001,0,103,103005,
100112,4070008,马尔杜克卡片,2,2,1,1,102=120000,102=2000,0=0,10,0,0,80,,20,1001,0,107,107004,
100113,4050010,狂暴月夜猫卡片,2,2,1,1,102=120000,102=2000,0=0,10,0,0,80,,10,2001,0,105,105001,
100114,4010063,狮鹫兽卡片,2,2,1,1,102=120000,102=2000,0=0,10,0,0,80,,15,2001,0,101,101012,
100115,4070006,狂暴蚁后卡片,2,2,1,1,102=120000,102=2000,0=0,10,0,0,85,,10,2001,0,107,107005,
100116,4050013,地狱梦魇卡片,2,2,1,1,102=120000,102=2000,0=0,10,0,0,85,,20,2001,0,105,105002,
100117,4030016,帕莎纳卡片,2,2,1,1,102=120000,102=2000,0=0,10,0,0,85,,20,2001,0,103,103006,
100118,4010061,远古海神卡片,2,2,1,1,102=120000,102=2000,0=0,10,0,0,85,,20,2001,0,101,101013,
100119,4010056,犬妖弓箭手卡片,2,2,1,1,102=120000,102=2000,0=0,10,0,0,90,,15,2001,0,101,101014,
100120,4070002,小恶魔卡片,2,2,1,1,102=120000,102=2000,0=0,10,0,0,90,,30,2001,0,107,107006,
100121,4010057,犬妖首领卡片,2,2,1,1,102=120000,102=2000,0=0,10,0,0,90,,15,2001,0,101,101015,
100122,4040010,流浪之狼卡片,2,2,1,1,102=120000,102=2000,0=0,10,0,0,95,,15,1001,0,104,104007,
100123,4010064,深海电鳗卡片,2,2,1,1,102=120000,102=2000,0=0,10,0,0,95,,10,1001,0,101,101016,11
100124,4010065,赛杜拉卡片,2,2,1,1,102=120000,102=2000,0=0,10,0,0,95,,20,1001,0,101,101017,11
100125,4010054,暗黑祭司卡片,2,2,1,1,102=120000,102=2000,0=0,10,0,0,95,,20,1001,0,101,101018,
100126,1170002,天使发圈图纸,2,2,1,1,102=80000,102=2000,0=0,10,0,0,45,,15,3001,0,301,301001,
100127,1170003,黄金帽图纸,2,2,1,1,102=80000,102=2000,0=0,10,0,0,45,,15,3001,0,301,301002,
100128,1170022,兽人英雄的头具图纸,2,2,1,1,102=80000,102=2000,0=0,10,0,0,55,,15,3001,0,301,301003,
100129,1170005,恶魔发圈图纸,2,2,1,1,102=80000,102=2000,0=0,10,0,0,50,,15,3001,0,301,301004,
100130,1170027,领导者头箍图纸,2,2,1,1,102=80000,102=2000,0=0,10,0,0,60,,15,3001,0,301,301005,
100131,1170013,后冠图纸,2,2,1,1,102=80000,102=2000,0=0,10,0,0,60,,15,3001,0,301,301006,
100132,1190002,愤怒的嘴图纸,2,2,1,1,102=80000,102=2000,0=0,10,0,0,65,,20,3001,0,303,301007,
100133,1170012,黄金冠冕图纸,2,2,1,1,102=80000,102=2000,0=0,10,0,0,70,,20,3001,0,301,301008,
100134,1170007,海盗船长帽图纸,2,2,1,1,102=80000,102=2000,0=0,10,0,0,65,,20,3001,0,301,301009,
100135,1170019,王冠图纸,2,2,1,1,102=80000,102=2000,0=0,10,0,0,75,,20,3001,0,301,301010,
100136,1200047,狮头面具图纸,2,2,1,1,102=80000,102=2000,0=0,10,0,0,80,,10,3001,0,301,301011,
100137,1200012,学生帽图纸,2,2,1,1,102=80000,102=2000,0=0,10,0,0,70,,20,3001,0,301,301012,
100138,1170024,菲力卡的头箍图纸,2,2,1,1,102=80000,102=2000,0=0,10,0,0,80,,10,3001,0,301,301013,
100139,1200051,古代的金饰图纸,2,2,1,1,102=80000,102=2000,0=0,10,0,0,85,,10,3001,0,301,301014,
100140,1200052,月夜猫帽子图纸,2,2,1,1,102=80000,102=2000,0=0,10,0,0,80,,10,3001,0,301,301015,
100141,1170031,山羊头盔图纸,2,2,1,1,102=80000,102=2000,0=0,10,0,0,90,,10,3001,0,301,301016,
100142,1170028,首领冠冕图纸,2,2,1,1,102=80000,102=2000,0=0,10,0,0,90,,10,3001,0,301,301017,
100143,1200045,海盗匕首图纸,2,2,1,1,102=80000,102=2000,0=0,10,0,0,65,,20,3001,0,303,301018,
100144,1190004,烟斗图纸,2,2,1,1,102=80000,102=2000,0=0,10,0,0,70,,20,3001,0,303,301019,
100145,1200059,绵绵卡普拉图纸,2,2,1,1,102=80000,102=2000,0=0,10,0,0,45,,15,3001,0,301,301020,
100146,4070018,迷幻之王卡片,1,2,1,1,102=150000,102=2000,102=400000,3,5000,150000,0,,0,0,0,107,107007,11
100147,4020018,兽牙怪卡片,1,2,1,1,102=150000,102=2000,102=600000,3,15000,150000,0,,0,0,0,102,102004,11
100148,4060031,鹗枭首领卡片,1,2,1,1,102=150000,102=2000,102=400000,3,10000,120000,0,,0,0,0,106,106002,11
100149,4010067,艾斯恩魔女卡片,1,2,1,1,102=150000,102=2000,102=600000,3,15000,150000,0,,0,0,0,101,101019,11
100150,4010068,深渊骑士卡片,1,2,1,1,102=150000,102=2000,102=600000,3,15000,150000,0,,0,0,0,101,101020,11
100151,4020019,弑神者卡片,1,2,1,1,102=150000,102=2000,102=400000,3,10000,120000,0,,0,0,0,102,102005,11
100152,5060020,封印的鹗枭男爵卡片,1,2,1,1,102=200000,102=3000,102=700000,1,20000,200000,0,,0,0,1,206,206003,11
100153,5020005,封印的凯美拉卡片,1,2,1,1,102=200000,102=3000,102=700000,1,20000,200000,0,,0,0,1,203,203003,11
100154,5050012,封印的黑暗之王卡片,1,2,1,1,102=200000,102=3000,102=700000,1,20000,200000,0,,0,0,1,205,205003,11
100155,5010060,封印的血腥骑士卡片,1,2,1,1,102=200000,102=3000,102=700000,1,20000,200000,0,,0,0,1,201,201006,11
100156,4020020,爱丽丝女仆卡片,1,2,1,1,102=150000,102=2000,102=400000,3,10000,120000,0,,0,0,0,102,102006,11
100157,4040024,幽灵剑士卡片,1,2,1,1,102=150000,102=2000,102=400000,3,10000,120000,0,,0,0,0,104,104008,11
100158,4030027,暗神官卡片,1,2,1,1,102=150000,102=2000,102=200000,3,5000,150000,0,,0,0,0,103,103008,11
100159,1200063,男爵眼镜图纸,1,2,1,1,102=80000,102=2000,102=400000,5,10000,80000,0,,0,0,0,302,301021,11
100160,1200064,骸骨头盔图纸,1,2,1,1,102=80000,102=2000,102=400000,5,10000,80000,0,,0,0,0,301,301022,11
100161,1200065,骑士盾牌图纸,1,2,1,1,102=80000,102=2000,102=400000,5,10000,80000,0,,0,0,0,304,301024,11
100162,1200072,蛇狮头具图纸,1,2,1,1,102=80000,102=2000,102=400000,5,10000,80000,0,,0,0,0,301,301023,11
100163,4070018,迷幻之王卡片,2,2,1,1,102=150000,102=2000,0=0,3,0,0,95,,15,1001,0,107,107007,11
100164,4020018,兽牙怪卡片,2,2,1,1,102=150000,102=2000,0=0,3,0,0,95,,20,1001,0,102,102004,11
100165,4060031,鹗枭首领卡片,2,2,1,1,102=150000,102=2000,0=0,3,0,0,95,,30,1001,0,106,106002,11
100166,4010067,艾斯恩魔女卡片,2,2,1,1,102=150000,102=2000,0=0,3,0,0,95,,15,2001,0,101,101019,11
100167,4010068,深渊骑士卡片,2,2,1,1,102=150000,102=2000,0=0,3,0,0,95,,20,2001,0,101,101020,11
100168,4020019,弑神者卡片,2,2,1,1,102=150000,102=2000,0=0,3,0,0,95,,30,2001,0,102,102005,11
100169,4020020,爱丽丝女仆卡片,2,2,1,1,102=150000,102=2000,0=0,10,0,0,95,,15,1001,0,102,102006,11
100170,4040024,幽灵剑士卡片,2,2,1,1,102=150000,102=2000,0=0,10,0,0,95,,20,1001,0,104,104008,11
100171,4030027,暗神官卡片,2,2,1,1,102=150000,102=2000,0=0,10,0,0,95,,30,2001,0,103,103008,11
100172,1200063,男爵眼镜图纸,2,2,1,1,102=80000,102=2000,0=0,5,0,0,95,,15,3001,0,302,301021,11
100173,1200064,骸骨头盔图纸,2,2,1,1,102=80000,102=2000,0=0,5,0,0,95,,20,3001,0,301,301022,11
100174,1200065,骑士盾牌图纸,2,2,1,1,102=80000,102=2000,0=0,5,0,0,95,,30,3001,0,304,301024,11
100175,1200072,蛇狮头具图纸,2,2,1,1,102=80000,102=2000,0=0,5,0,0,95,,20,3001,0,301,301023,11
100176,4010074,玩具士兵卡片,1,2,1,1,102=150000,102=2000,102=200000,3,5000,150000,0,,0,0,0,101,101021,9
100177,4030033,巫婆卡片,1,2,1,1,102=120000,102=2000,102=400000,3,10000,120000,0,,0,0,0,103,103009,9
100178,4050017,钟怪卡片,1,2,1,1,102=120000,102=2000,102=400000,3,10000,120000,0,,0,0,0,105,105003,9
100179,4070022,钟塔守护者卡片,1,2,1,1,102=150000,102=2000,102=200000,3,5000,150000,0,,0,0,0,107,107008,9
100180,4010077,卡伦宝宝卡片,1,2,1,1,102=120000,102=2000,102=400000,3,10000,120000,0,,0,0,0,101,101022,9
100181,4030036,古钟魔卡片,1,2,1,1,102=150000,102=2000,102=200000,3,5000,150000,0,,0,0,0,103,103010,9
100182,4040026,长者魔导士卡片,1,2,1,1,102=120000,102=2000,102=400000,3,10000,120000,0,,0,0,0,104,104009,9
100183,4010079,玩具国王卡片,1,2,1,1,102=150000,102=2000,102=600000,3,15000,150000,0,,0,0,1,101,101023,9
100184,4070024,时间观察者卡片,1,2,1,1,102=120000,102=2000,102=400000,3,10000,120000,0,,0,0,0,107,107009,9
100185,5010061,封印的时间管理人卡片,1,2,1,1,102=200000,102=3000,102=700000,1,20000,200000,0,,0,0,1,201,201007,9
100186,5030008,封印的卡伦卡片,1,2,1,1,102=200000,102=3000,102=700000,1,20000,200000,0,,0,0,1,203,203004,9
100187,5010062,封印的冰暴骑士卡片,1,2,1,1,102=200000,102=3000,102=700000,1,20000,200000,0,,0,0,1,201,201008,9
100188,1200075,怀表发饰图纸,1,2,1,1,102=80000,102=2000,102=400000,5,10000,80000,0,,0,0,0,301,301025,9
100189,1200073,冰暴头饰图纸,1,2,1,1,102=80000,102=2000,102=400000,5,10000,80000,0,,0,0,0,301,301026,9
100190,1200074,冰暴面具图纸,1,2,1,1,102=80000,102=2000,102=400000,5,10000,80000,0,,0,0,0,302,301027,9
100191,4010074,玩具士兵卡片,2,2,1,1,102=150000,102=2000,0=0,10,0,0,100,,15,1001,0,101,101024,9
100192,4030033,巫婆卡片,2,2,1,1,102=120000,102=2000,0=0,10,0,0,100,,20,1001,0,103,103011,9
100193,4050017,钟怪卡片,2,2,1,1,102=120000,102=2000,0=0,10,0,0,100,,30,2001,0,105,105005,9
100194,4070022,钟塔守护者卡片,2,2,1,1,102=150000,102=2000,0=0,10,0,0,100,,15,2001,0,107,107010,9
100195,4010077,卡伦宝宝卡片,2,2,1,1,102=120000,102=2000,0=0,10,0,0,100,,20,1001,0,101,101025,9
100196,4030036,古钟魔卡片,2,2,1,1,102=150000,102=2000,0=0,3,0,0,100,,30,1001,0,103,103012,9
100197,4040026,长者魔导士卡片,2,2,1,1,102=120000,102=2000,0=0,3,0,0,100,,15,2001,0,104,104011,9
100198,4010079,玩具国王卡片,2,2,1,1,102=150000,102=2000,0=0,3,0,0,100,,20,2001,0,101,101026,9
100199,4070024,时间观察者卡片,2,2,1,1,102=120000,102=2000,0=0,3,0,0,100,,30,1001,0,107,107011,9
100200,1200075,怀表发饰图纸,2,2,1,1,102=80000,102=2000,0=0,5,0,0,100,,15,3001,0,301,301028,9
100201,1200073,冰暴头饰图纸,2,2,1,1,102=80000,102=2000,0=0,5,0,0,100,,20,3001,0,301,301029,9
100202,1200074,冰暴面具图纸,2,2,1,1,102=80000,102=2000,0=0,5,0,0,100,,30,3001,0,302,301030,9
100203,5010011,封印的海盗之王卡片,2,2,1,1,102=200000,102=3000,0=0,2,0,0,65,,10,4001,1,201,201001,
100204,5010037,封印的皮里恩卡片,2,2,1,1,102=200000,102=3000,0=0,2,0,0,75,,10,4001,1,201,201002,
100205,5010053,封印的德古拉伯爵卡片,2,2,1,1,102=200000,102=3000,0=0,2,0,0,80,,10,4001,1,201,201003,
100206,5010058,封印的死灵卡片,2,2,1,1,102=200000,102=3000,0=0,2,0,0,80,,10,4001,1,201,201004,
100207,5010018,封印的巴风特卡片,2,2,1,1,102=200000,102=3000,0=0,2,0,0,90,,10,4001,1,201,201005,
100208,5020002,封印的黄金虫卡片,2,2,1,1,102=200000,102=3000,0=0,2,0,0,45,,10,4001,1,202,202001,
100209,5020004,封印的蚁后卡片,2,2,1,1,102=200000,102=3000,0=0,2,0,0,55,,10,4001,1,202,202002,
100210,5030007,封印的天使波利卡片,2,2,1,1,102=200000,102=3000,0=0,2,0,0,35,,10,4001,1,203,203001,
