Id,Desc,Type,AffixNum,RandomProb
10,21-25精英50%,0,,0=10042=100|0=10043=100|0=10044=100|0=10045=100|0=10046=100|0=10047=100|0=10048=100|0=10049=100|0=10050=100|0=10051=100|0=10052=100|0=10053=100|0=10054=100|0=10055=100|0=10056=100|0=10057=100|0=10058=100|0=10059=100|0=10060=100|0=10061=100|0=10062=100|0=10063=100|0=10064=100|1=20042=100|1=20043=100|1=20044=100|1=20045=100|1=20046=100|1=20047=100|1=20048=100|1=20049=100|1=20050=100|1=20051=100|1=20052=100|1=20053=100|1=20054=100|1=20055=100|1=20056=100|1=20057=100|1=20058=100|1=20059=100|1=20060=100|1=20061=100|1=20062=100|1=20063=100|1=20064=100
11,26-30小怪,0,,0=10062=100|0=10063=100|0=10064=100|0=10065=100|0=10066=100|0=10067=100|0=10068=100|0=10069=100|0=10070=100|0=10071=100|0=10072=100|0=10073=100|0=10074=100|0=10075=100|0=10076=100|0=10077=100|0=10078=100|0=10079=100|0=10080=100|0=10081=100|0=10082=100|0=10083=100|0=10084=100|0=10085=100|0=10086=100|0=10087=100|0=10088=100
12,26-30精英50%,0,,0=10062=100|0=10063=100|0=10064=100|0=10065=100|0=10066=100|0=10067=100|0=10068=100|0=10069=100|0=10070=100|0=10071=100|0=10072=100|0=10073=100|0=10074=100|0=10075=100|0=10076=100|0=10077=100|0=10078=100|0=10079=100|0=10080=100|0=10081=100|0=10082=100|0=10083=100|0=10084=100|0=10085=100|0=10086=100|0=10087=100|0=10088=100|1=20062=100|1=20063=100|1=20064=100|1=20065=100|1=20066=100|1=20067=100|1=20068=100|1=20069=100|1=20070=100|1=20071=100|1=20072=100|1=20073=100|1=20074=100|1=20075=100|1=20076=100|1=20077=100|1=20078=100|1=20079=100|1=20080=100|1=20081=100|1=20082=100|1=20083=100|1=20084=100|1=20085=100|1=20086=100|1=20087=100|1=20088=100
13,31-35小怪,0,,0=10088=100|0=10089=100|0=10090=100|0=10091=100|0=10092=100|0=10093=100|0=10094=100|0=10095=100|0=10096=100|0=10097=100|0=10098=100|0=10099=100|0=10100=100|0=10101=100|0=10102=100|0=10103=100|0=10104=100|0=10105=100|0=10106=100|0=10107=100|0=10108=100|0=10109=100|0=10110=100|0=10111=100|0=10112=100|0=10113=100
14,31-35精英50%,0,,0=10088=100|0=10089=100|0=10090=100|0=10091=100|0=10092=100|0=10093=100|0=10094=100|0=10095=100|0=10096=100|0=10097=100|0=10098=100|0=10099=100|0=10100=100|0=10101=100|0=10102=100|0=10103=100|0=10104=100|0=10105=100|0=10106=100|0=10107=100|0=10108=100|0=10109=100|0=10110=100|0=10111=100|0=10112=100|0=10113=100|1=20088=100|1=20089=100|1=20090=100|1=20091=100|1=20092=100|1=20093=100|1=20094=100|1=20095=100|1=20096=100|1=20097=100|1=20098=100|1=20099=100|1=20100=100|1=20101=100|1=20102=100|1=20103=100|1=20104=100|1=20105=100|1=20106=100|1=20107=100|1=20108=100|1=20109=100|1=20110=100|1=20111=100|1=20112=100|1=20113=100
15,36-40小怪,0,,0=10109=100|0=10110=100|0=10111=100|0=10112=100|0=10113=100|0=10114=100|0=10116=100|0=10117=100|0=10118=100|0=10119=100|0=10120=100|0=10121=100|0=10122=100|0=10123=100|0=10124=100|0=10125=100|0=10126=100|0=10127=100
16,36-40精英50%,0,,0=10109=100|0=10110=100|0=10111=100|0=10112=100|0=10113=100|0=10114=100|0=10116=100|0=10117=100|0=10118=100|0=10119=100|0=10120=100|0=10121=100|0=10122=100|0=10123=100|0=10124=100|0=10125=100|0=10126=100|0=10127=100|1=20109=100|1=20110=100|1=20111=100|1=20112=100|1=20113=100|1=20114=100|1=20116=100|1=20117=100|1=20118=100|1=20119=100|1=20120=100|1=20121=100|1=20122=100|1=20123=100|1=20124=100|1=20125=100|1=20126=100|1=20127=100
17,41-45小怪,0,,0=10122=100|0=10123=100|0=10124=100|0=10125=100|0=10126=100|0=10127=100|0=10128=100|0=10129=100|0=10130=100|0=10131=100|0=10132=100|0=10133=100|0=10134=100|0=10135=100|0=10136=100|
18,41-45精英50%,0,,0=10122=100|0=10123=100|0=10124=100|0=10125=100|0=10126=100|0=10127=100|0=10128=100|0=10129=100|0=10130=100|0=10131=100|0=10132=100|0=10133=100|0=10134=100|0=10135=100|0=10136=100|1=20122=100|1=20123=100|1=20124=100|1=20125=100|1=20126=100|1=20127=100|1=20128=100|1=20129=100|1=20130=100|1=20131=100|1=20132=100|1=20133=100|1=20134=100|1=20135=100|1=20136=100|
19,46-50小怪,0,,0=10122=100|0=10123=100|0=10124=100|0=10125=100|0=10126=100|0=10127=100|0=10128=100|0=10129=100|0=10130=100|0=10131=100|0=10132=100|0=10133=100|0=10134=100|0=10135=100|0=10136=100|
20,46-50精英50%,0,,0=10122=100|0=10123=100|0=10124=100|0=10125=100|0=10126=100|0=10127=100|0=10128=100|0=10129=100|0=10130=100|0=10131=100|0=10132=100|0=10133=100|0=10134=100|0=10135=100|0=10136=100|1=20122=100|1=20123=100|1=20124=100|1=20125=100|1=20126=100|1=20127=100|1=20128=100|1=20129=100|1=20130=100|1=20131=100|1=20132=100|1=20133=100|1=20134=100|1=20135=100|1=20136=100|
21,51-55小怪,0,,0=10137=100|0=10138=100|0=10139=100|0=10140=100|0=10141=100|0=10151=100|0=10147=100|0=10148=100|0=10149=100|0=10152=100|0=10153=100|0=10154=100|0=10156=100
22,51-55精英50%,0,,0=10137=100|0=10138=100|0=10139=100|0=10140=100|0=10141=100|0=10151=100|0=10147=100|0=10148=100|0=10149=100|0=10152=100|0=10153=100|0=10154=100|0=10156=100|1=20251=100|1=20252=100|1=20253=100|1=20254=100|1=20255=100|1=20261=100|1=20262=100|1=20263=100|1=20266=100|1=20267=100|1=20268=100|1=20270=100|1=20265=100
23,56-60小怪,0,,0=10137=100|0=10142=100|0=10143=100|0=10144=100|0=10145=100|0=10146=100|0=10147=100|0=10148=100|0=10150=100|0=10152=100|0=10153=100|0=10154=100|0=10155=100
24,56-60精英50%,0,,0=10137=100|0=10142=100|0=10143=100|0=10144=100|0=10145=100|0=10146=100|0=10147=100|0=10148=100|0=10150=100|0=10152=100|0=10153=100|0=10154=100|0=10155=100|1=20256=100|1=20257=100|1=20258=100|1=20259=100|1=20260=100|1=20261=100|1=20262=100|1=20264=100|1=20266=100|1=20267=100|1=20268=100|1=20269=100|1=20251=100
201,5层Boss,0,,1=19013=100|1=19015=100
202,10层Boss,0,,1=19018=100|1=19017=100
203,15层Boss,0,,1=19020=100|1=19022=100
204,20层Boss,0,,1=19024=100|1=19028=100|1=19031=100
205,25层Boss,0,,1=19033=100|1=19035=100|1=19038=100
206,30层Boss1,0,,1=19040=100|1=19042=100|1=19031=100
207,30层Boss2,0,,1=19024=100|1=19028=100|1=19035=100
208,35层Boss1,0,,1=19046=100|1=19042=100|1=19020=100|1=19044=100
209,35层Boss2,0,,1=19024=100|1=19028=100|1=19035=100|1=19070=100
210,40层Boss1,0,,1=19049=100|1=19042=100|1=19020=100|1=19044=100
211,40层Boss2,0,,1=19046=100|1=19028=100|1=19035=100|1=19070=100
212,3层Boss,0,,1=19001=100|1=19003=100|1=19005=100|1=19007=100|1=19009=100|1=19011=100
213,8层Boss,0,,1=19001=100|1=19003=100|1=19005=100|1=19007=100|1=19009=100|1=19011=100
214,13层Boss,0,,1=19001=100|1=19003=100|1=19005=100|1=19007=100|1=19009=100|1=19011=100
215,18层Boss,0,,1=19001=100|1=19003=100|1=19005=100|1=19007=100|1=19009=100|1=19011=100
216,23层Boss,0,,1=19001=50|1=19003=50|1=19005=50|1=19007=50|1=19009=50|1=19011=50|1=19062=100|1=19063=100|1=19065=100
217,28层Boss,0,,1=19001=50|1=19003=50|1=19005=50|1=19007=50|1=19009=50|1=19011=50|1=19062=100|1=19063=100|1=19065=100
218,33层Boss,0,,1=19001=50|1=19003=50|1=19005=50|1=19007=50|1=19009=50|1=19011=50|1=19062=100|1=19063=100|1=19065=100
219,38层Boss,0,,1=19001=50|1=19003=50|1=19005=50|1=19007=50|1=19009=50|1=19011=50|1=19062=100|1=19063=100|1=19065=100|1=19058=200|1=19053=200|1=19051=200
220,43层Boss,0,,1=19001=50|1=19003=50|1=19005=50|1=19007=50|1=19009=50|1=19011=50|1=19062=100|1=19063=100|1=19065=100|1=19058=200|1=19053=200|1=19051=200
221,48层Boss,0,,1=19001=50|1=19003=50|1=19005=50|1=19007=50|1=19009=50|1=19011=50|1=19062=100|1=19063=100|1=19065=100|1=19058=200|1=19053=200|1=19051=200
222,45层Boss1,0,,1=19044=100|1=19046=100|1=19049=100
223,45层Boss2,0,,1=19070=100|1=19038=100
224,50层Boss1,0,,1=19044=100|1=19070=100|1=19038=100
225,50层Boss2,0,,1=19046=100|1=19049=100
226,53层Boss,0,,1=19073=100|1=19074=100|1=19075=100|1=19076=100|1=19077=100|1=19078=100
227,58层Boss,0,,1=19073=100|1=19074=100|1=19075=100|1=19076=100|1=19077=100|1=19078=100
228,55层Boss1,0,,1=19044=100|1=19049=100|1=19070=100
229,55层Boss2,0,,1=19086=100|1=19088=50|1=19085=100|1=19087=100
230,60层Boss1,0,,1=19086=100|1=19088=100
231,60层Boss2,0,,1=19085=100|1=19087=100
301,1-5精英词缀,1,1,0=100|29=100|27=100|24=100
302,5层Boss词缀,1,1,28=100|27=100|6=100|0=100|10=100
303,6-10小怪词缀,1,1,0=100|23=100|29=100|24=100|25=100
304,10层Boss词缀,1,1,28=100|27=100|6=100|0=100|23=100|10=100
305,11-15精英词缀,1,1,0=100|23=100|29=100|24=100|25=100|8=300|6=300
306,15层Boss词缀,1,2,0=100|23=100|6=100|28=100|27=100|8=100|5=100|10=100
307,16-20精英词缀,1,2,0=100|29=100|23=100|6=100|24=100|25=100|3=100|4=100|5=100
308,20层Boss词缀,1,2,0=100|23=100|6=100|28=100|27=100|8=100|5=100|10=100
309,21-25精英词缀,1,2,0=100|29=100|23=100|6=100|24=100|25=100|3=100|4=100|5=100
310,25层Boss词缀,1,2,8=100|5=100|27=100|28=100|6=100|0=100|23=100|10=100
311,26-30精英词缀,1,2,0=100|29=100|23=100|6=100|24=100|25=100|3=100|4=100|5=100
312,30层Boss词缀,1,2,8=100|5=100|27=100|28=100|6=100|0=100|23=100|26=200|13=200|10=100|20=100
313,31-35精英词缀,1,3,0=100|23=100|29=100|6=100|24=100|25=100|27=100|28=100|13=100|8=100|5=100|4=100|3=100|10=100|20=100
314,35层Boss词缀,1,3,26=100|13=100|28=100|27=100|6=100|0=100|23=100|4=100|5=100|8=100|10=100|20=100
315,36-40精英词缀,1,3,0=100|23=100|29=100|6=100|24=100|25=100|27=100|28=100|13=100|8=100|5=100|4=100|3=100|26=100|10=100|20=100
316,40层Boss词缀,1,3,26=100|13=100|28=100|27=100|6=100|0=100|23=100|4=100|5=100|8=100|10=100|20=100
317,41-45精英词缀,1,3,0=100|23=100|29=100|6=100|24=100|25=100|27=100|28=100|13=100|8=100|5=100|4=100|3=100|26=100|10=100|20=100
318,45层Boss词缀,1,3,26=100|13=100|28=100|27=100|6=100|0=100|23=100|4=100|5=100|8=100|10=100|20=100
319,46-50精英词缀,1,3,0=100|23=100|29=100|6=100|24=100|25=100|27=100|28=100|13=100|8=100|5=100|4=100|3=100|26=100|10=100|20=100
320,50层Boss词缀,1,3,26=100|13=100|28=100|27=100|6=100|0=100|23=100|4=100|5=100|8=100|10=100|20=100
321,3层Boss词缀,1,1,28=100|27=100|6=100|0=100|10=100
322,8层Boss词缀,1,1,28=100|27=100|6=100|0=100|10=100
323,13层Boss词缀,1,1,0=100|23=100|6=100|28=100|27=100|8=100|5=100|10=100
324,18层Boss词缀,1,2,0=100|23=100|6=100|28=100|27=100|8=100|5=100|10=100
325,23层Boss词缀,1,2,8=100|5=100|27=100|28=100|6=100|0=100|23=100|10=100
326,28层Boss词缀,1,2,8=100|5=100|27=100|28=100|6=100|0=100|23=100|10=100|20=100
327,33层Boss词缀,1,3,8=100|5=100|27=100|28=100|6=100|0=100|23=100|26=200|13=200|10=100|20=100
328,38层Boss词缀,1,3,26=100|13=100|28=100|27=100|6=100|0=100|23=100|4=100|5=100|8=100|10=100|20=100
329,43层Boss词缀,1,3,26=100|13=100|28=100|27=100|6=100|0=100|23=100|4=100|5=100|8=100|10=100|20=100
330,48层Boss词缀,1,3,26=100|13=100|28=100|27=100|6=100|0=100|23=100|4=100|5=100|8=100|10=100|20=100
331,51-55精英词缀,1,4,0=100|23=100|29=100|6=100|24=50|25=50|27=100|28=100|13=100|8=100|5=100|4=100|3=100|26=100|10=100|20=100
332,55层Boss词缀,1,4,26=100|13=100|28=100|27=100|6=100|0=100|23=100|4=100|31=100|8=100|10=100|20=100
333,56-60精英词缀,1,4,0=100|23=100|29=100|6=100|24=50|25=50|27=100|28=100|13=100|8=100|5=100|4=100|3=100|26=100|10=100|20=100
334,60层Boss词缀,1,4,26=100|13=100|28=100|27=100|6=100|0=100|23=100|4=100|31=100|8=100|10=100|20=100
335,53层Boss词缀,1,4,26=100|13=100|28=100|27=100|6=100|0=100|23=100|4=100|31=100|8=100|10=100|20=100
336,58层Boss词缀,1,4,26=100|13=100|28=100|27=100|6=100|0=100|23=100|4=100|31=100|8=100|10=100|20=100
1000,特殊配置Doodad组,3,2,1=500|4=500|10=500|11=500
2000,大秘境场景词缀库,2,2,1001=100|1005=100|1006=100|1007=100|1008=100|1009=100|1011=100|1012=100|1015=100|1013=100
2001,迷雾之森wave3,0,,0=7221=1|0=7226=1|0=7231=1|0=7236=1|0=7241=1|0=7246=1|0=7251=1|0=7256=1|0=7261=1|0=7266=1|0=7271=1|0=7276=1|0=7281=1|0=7286=1|0=7291=1|0=7296=1|0=7301=1|
2002,迷雾之森wave4,0,,0=7222=1|0=7227=1|0=7232=1|0=7237=1|0=7242=1|0=7247=1|0=7252=1|0=7257=1|0=7262=1|0=7267=1|0=7272=1|0=7277=1|0=7282=1|0=7287=1|0=7292=1|0=7297=1|0=7302=1|
2003,迷雾之森wave5,0,,0=7223=1|0=7228=1|0=7233=1|0=7238=1|0=7243=1|0=7248=1|0=7253=1|0=7258=1|0=7263=1|0=7268=1|0=7273=1|0=7278=1|0=7288=1|0=7293=1|0=7298=1|0=7303=1|
2004,迷雾之森wave6,0,,0=7224=1|0=7229=1|0=7234=1|0=7239=1|0=7244=1|0=7249=1|0=7254=1|0=7259=1|0=7264=1|0=7269=1|0=7274=1|0=7279=1|0=7284=1|0=7289=1|0=7294=1|0=7299=1|0=7304=1|
2005,迷雾之森wave7,0,,0=7225=1|0=7230=1|0=7235=1|0=7240=1|0=7245=1|0=7250=1|0=7255=1|0=7260=1|0=7265=1|0=7270=1|0=7275=1|0=7280=1|0=7285=1|0=7290=1|0=7295=1|0=7300=1|0=7305=1|
2006,迷雾之森wave精英房,0,,0=7306=1|0=7307=1|0=7308=1|0=7309=1|0=7311=1|0=7312=1|0=7313=1|0=7314=1|0=7315=1|0=7316=1|0=7317=1|0=7318=1|
2007,迷雾之森wave钥匙房,0,,0=7306=1|0=7307=1|0=7308=1|0=7309=1|0=7311=1|0=7312=1
2008,迷雾之森集群主动wave,0,,0=7320=1|0=7321=1|0=7322=1|0=7323=1|0=7324=1|0=7325=1|0=7326=1|0=7327=1|0=7328=1|0=7329=1
2009,迷雾之森火属性小怪wave,0,,0=7340=1|0=7341=1|0=7342=1|0=7343=1|0=7344=1|0=7345=1
2010,迷雾之森水属性小怪wave,0,,0=7360=1|0=7361=1|0=7362=1|0=7363=1|0=7364=1|0=7365=1|0=7366=1|0=7367=1|0=7368=1|0=7369=1|0=7370=1
2011,迷雾之森风属性小怪wave,0,,0=7380=1|0=7381=1|0=7382=1|0=7383=1|0=7384=1|0=7385=1|0=7386=1|0=7387=1
2012,迷雾之森地属性小怪wave,0,,0=7401=1|0=7402=1|0=7403=1|0=7404=1|0=7405=1|0=7406=1|0=7407=1|0=7408=1
2500,霍德尔梦境40-80Boss,0,,0=29422=1
2501,霍德尔梦境80-100Boss,0,,0=29423=1
2502,霍德尔梦境100-120Boss,0,,0=29424=1
3000,奇闻兽人事变45级小怪,0,,0=6011=100|0=6012=100|0=6013=100|0=6014=100|0=6015=100
3001,奇闻兽人事变45级精英,0,,1=6016=100|1=6017=100|1=6018=100
3002,奇闻兽人事变45级BOSS,0,,1=6019=100|1=6020=100
3003,奇闻迷之商人45级小怪,0,,0=5621=100|0=5622=100|0=5623=100|0=5624=100
3004,奇闻迷之商人45级精英,0,,1=5625=100|1=5626=100
3005,奇闻迷之商人45级BOSS,0,,1=5627=100|1=5628=100|1=5629=100
3006,奇闻金字塔异变45级小怪,0,,0=5605=100|0=5606=100|0=5607=100|0=5608=100|0=5609=100
3007,奇闻金字塔异变45级精英,0,,1=5610=100|1=5611=100||1=5612=100
3008,奇闻金字塔异变45级BOSS,0,,1=5613=100|1=5614=100|1=5615=100
3009,奇闻落难公主45级小怪,0,,0=6001=100|0=6002=100|0=6003=100|0=6004=100
3010,奇闻落难公主45级精英,0,,1=6005=100|1=6006=100|1=6007=100
3011,奇闻落难公主45级BOSS,0,,1=6008=100
3012,奇闻哥布灵杀手45级小怪,0,,0=5631=100|0=5632=100|0=5633=100|0=5634=100|0=5635=100|0=5636=100
3013,奇闻哥布灵杀手45级精英,0,,1=5637=100|1=5638=100
3014,奇闻哥布灵杀手45级BOSS,0,,1=5639=100|1=5640=100
3015,奇闻吉芬魔法师45级BOSS,0,,1=5641=100|1=5643=100|1=5645=100|1=5647=100
3501,奇闻兽人事变45级精英词缀,1,1,0=100|1=100|9=100|5=100|6=100|27=100|14=100|18=100
3502,奇闻兽人事变45级BOSS词缀,1,2,0=100|1=100|4=100|5=100|6=100|27=100|14=100|18=100|28=100|17=100|20=200
3503,贪食狂暴双词缀,1,1,0=100|1=100
3504,奇闻迷之商人45级精英词缀,1,1,0=100|1=100|9=100|5=100|6=100|10=100|27=100|12=100|13=100|14=100|18=100
3505,奇闻迷之商人45级BOSS词缀,1,2,0=100|1=100|4=100|5=100|6=100|10=100|27=100|12=100|13=100|14=100|17=100|18=100|20=100
3506,奇闻金字塔异变45级精英词缀,1,1,0=100|1=100|5=100|6=100|10=100|27=100|12=100|13=100|14=100|18=100
3507,奇闻金字塔异变45级BOSS词缀,1,2,0=100|1=100|4=100|5=100|6=100|10=100|27=100|12=100|13=100|14=100|28=100|17=100|18=100|20=100
3508,奇闻落难公主45级精英词缀（无火焰）,1,1,0=100|1=100|5=100|6=100|27=100|12=100|13=100|14=100|18=100
3509,奇闻落难公主45级BOSS词缀（有圣光无火焰）,1,2,0=100|1=100|4=100|5=100|6=100|27=100|12=100|13=100|14=100|28=100|17=100|18=100|19=100|20=100
3510,奇闻哥布灵杀手45级精英词缀,1,1,0=100|1=100|5=100|6=100|10=100|27=100|12=100|13=100|14=100|18=100
3511,奇闻哥布灵杀手45级BOSS词缀,1,2,0=100|1=100|4=100|5=100|6=100|10=100|27=100|12=100|13=100|14=100|28=100|17=100|18=100|19=100|20=100
3512,奇闻吉芬魔法师45级BOSS词缀,1,2,0=100|1=100|4=100|5=100|6=100|10=100|27=100|12=100|13=100|14=100|28=100|17=100|18=100|19=100|20=100
4001,黑暗迷宫doodad1,3,1,101=500|102=500
4002,黑暗迷宫doodad2,3,1,103=700|104=300
4003,黑暗迷宫doodad3,3,1,105=500|106=400|107=100
4101,塔防doodad1,3,1,151=250|152=250|153=250|154=250
4102,塔防doodad2,3,1,155=250|156=250|157=250|158=250
4501,塔防被动炮灰近战低血量,0,,0=26053=100|0=26055=100|0=26056=100|0=26057=100|0=26060=100|0=26061=100|0=26062=100
4502,塔防被动炮灰近战高血量,0,,0=26051=100|0=26052=100
4503,塔防主动精英远程,0,,0=26123=100|0=26077=100|0=26063=100
4504,塔防无脑炮灰近战低血量,0,,0=26066=100|0=26068=100|0=26069=100
4505,塔防无脑炮灰近战高血量,0,,0=26065=100|0=26067=100|0=26071=100
4506,塔防无脑炮灰远程,0,,0=26064=100|0=26070=100
4507,塔防主动炮灰近战低血量,0,,0=26051=100|0=26052=100|0=26074=100|0=26073=100|0=26072=100|0=26075=100|0=26076=100|0=26078=100|0=26079=100|0=26080=100|0=26081=100|0=26053=100|0=26055=100|0=26056=100|0=26057=100|0=26060=100|0=26061=100|0=26062=100
4508,塔防主动精英近战,0,,0=26058=100|0=26054=100|0=26082=100|0=26059=100
4509,塔防主动炮灰远程,0,,0=26083=100
4510,塔防主动光环,0,,0=26121=100|0=26125=100
4511,塔防无脑光环,0,,0=26122=100|0=26124=100|0=26126=100
4512,塔防抗性怪,0,,0=26127=100|0=26128=100|0=26129=100|0=26130=100|0=26131=100
4513,塔防Boss怪,0,,0=26084=100|0=26085=100|0=26086=100|0=26087=100|0=26088=100|0=26089=100
5001,铁匠二转奖励doodad,3,1,25=100|26=100|27=100
6001,北方异变之森,2,2,1001=100|1004=100|1011=100|1012=100|1013=100|1018=100|1020=100|1005=100|1006=100|1007=100|1009=100|1016=100|1019=100|1021=100
6002,普隆德拉下水道,2,2,1011=100|1012=100|1017=100|1018=100|1005=100|1006=100|1007=100|1009=100|1016=100|1019=100|1021=100|1013=100
6003,德瑞克幽灵船,2,2,1001=100|1011=100|1012=100|1013=100|1017=100|1018=100|1005=100|1006=100|1007=100|1009=100|1016=100|1019=100|1021=100
6004,吉芬地下暗影,2,2,1001=100|1004=100|1011=100|1012=100|1013=100|1017=100|1018=100|1020=100|1005=100|1006=100|1007=100|1009=100|1016=100|1019=100|1021=100
6005,蚂蚁地狱巢穴,2,2,1001=100|1011=100|1012=100|1013=100|1017=100|1018=100|1005=100|1006=100|1007=100|1009=100|1016=100|1019=100|1021=100
6006,金字塔大冒险,2,2,1001=100|1011=100|1012=100|1017=100|1018=100|1005=100|1006=100|1007=100|1009=100|1016=100|1019=100|1021=100
6007,达纳托斯之战,2,2,1001=100|1004=100|1011=100|1012=100|1013=100|1017=100|1018=100|1020=100|1005=100|1006=100|1007=100|1009=100|1016=100|1019=100|1021=100
6008,混沌的枷锁,2,2,1001=100|1005=100|1006=100|1012=100|1018=100|1019=100|1021=100
6009,夜袭普隆德拉,2,2,1001=100|1011=100|1012=100|1017=100|1018=100|1005=100|1006=100|1007=100|1009=100|1016=100|1019=100|1021=100
6010,探秘哥布林,2,2,1001=100|1005=100|1006=100|1007=100|1009=100|1016=100|1017=100|1018=100
6011,净化修道院,2,2,1004=100|1005=100|1006=100|1007=100|1009=100|1011=100|1012=100|1016=100|1017=100|1018=100|1021=100
6012,时间的牢笼,2,2,1004=100|1009=100|1011=100|1012=100|1016=100|1017=100|1018=100|1019=100|1021=100
7001,狩猎场交火区doodad,3,1,204=100|205=100|206=100|208=100|212=100|213=200|214=200
7002,狩猎场安全区doodad,3,1,207=300|206=100|204=200|205=200|212=100|213=200
7003,狩猎场菜鸡doodad,3,1,207=300|209=100|212=100|213=200
8001,奶油狂欢节buffdoodad,3,1,1001=200|1002=200|1003=200|1004=100|1006=100
8002,奶油狂欢节副技能doodad,3,1,1007=100|1008=100|1009=100|1010=100|1011=100
8003,奶油狂欢节主技能doodad,3,1,1012=100|1013=100|1014=100|1015=100
8004,奶油狂欢节buffdoodad-森林,3,1,1001=200|1002=200|1003=200|1004=100|1006=100|1017=20
