EquipId,策划用,PositionX,PositionY,PositionZ,RotateX,RotateY,RotateZ
2336407,Dagger_019_Weapon,0.16,1.1,-0.6,321.4,263.8,80.90003
2336408,Dagger_019_Weapon,0.16,1.1,-0.6,321.4,263.8,80.90003
2336505,Dagger_017_Weapon,0.15,1.15,-0.5,322.62,257.4999,89.1
2336507,Dagger_017_Weapon,0.15,1.15,-0.5,322.62,257.4999,89.1
2336508,Dagger_017_Weapon,0.15,1.15,-0.5,322.62,257.4999,89.1
2336605,Dagger_015_Weapon,0.1,1.2,-1.2,-45,-99,85
2336607,Dagger_015_Weapon,0.1,1.2,-1.2,-45,-99,85
2336608,Dagger_015_Weapon,0.1,1.2,-1.2,-45,-99,85
2336707,Dagger_023_Weapon,0.13,1.24,-1.52,-37,-93,105
2336708,Dagger_023_Weapon,0.13,1.24,-1.52,-37,-93,105
2336807,Dagger_025_Weapon,0.2,1.15,-1.2,-37,-93,105.06
2336808,Dagger_025_Weapon,0.2,1.15,-1.2,-37,-93,105.06
2336908,Dagger_024_Weapon,0.15,1.23,-1.52,24.62,-141.4,149.4
1337005,HammerEx_003_Weapon,0.12,1.1,-0.6,326.1,264.3,71.9
1337007,HammerEx_003_Weapon,0.12,1.1,-0.6,326.1,264.3,71.9
1337008,HammerEx_003_Weapon,0.12,1.1,-0.6,326.1,264.3,71.9
1337105,Hammer_001_Weapon,0.15,1.06,-0.61,326.8499,244.8,3.999908
1337107,Hammer_001_Weapon,0.15,1.06,-0.61,326.8499,244.8,3.999908
1337108,Hammer_001_Weapon,0.15,1.06,-0.61,326.8499,244.8,3.999908
1337207,Hammer_010_Weapon,0.2,1,-0.4,324.4,249.1,251.2
1337208,Hammer_010_Weapon,0.2,1,-0.4,324.4,249.1,251.2
1337307,Hammer_015_Weapon,0.27,1,-0.5,323,263.6,68.50002
1337308,Hammer_015_Weapon,0.27,1,-0.5,323,263.6,68.50002
1337408,Hammer_003_Weapon,0.24,1.04,-0.6,2.100026,350.7,54.7
6337505,Bow_027_Weapon,-0.1,1.05,-0.4,-35.5,-99.35,77.3
6337507,Bow_027_Weapon,-0.1,1.05,-0.4,-35.5,-99.35,77.3
6337508,Bow_027_Weapon,-0.1,1.05,-0.4,-35.5,-99.35,77.3
6337605,Bow_021_Weapon,-0.1,1,0,-55.47,-97,85
6337607,Bow_021_Weapon,-0.1,1,0,-55.47,-97,85
6337608,Bow_021_Weapon,-0.1,1,0,-55.47,-97,85
6337705,Bow_004_Weapon,0.05,1.33,-0.5,34.6,110,270
6337707,Bow_004_Weapon,0.05,1.33,-0.5,34.6,110,270
6337708,Bow_004_Weapon,0.05,1.33,-0.5,34.6,110,270
6337807,Bow_023_Weapon,0.22,1.14,-0.4,314.4,248.7,302.3
6337808,Bow_023_Weapon,0.22,1.14,-0.4,314.4,248.7,302.3
6337907,Bow_006_Weapon,0,1.22,-0.4,319.5,263.8,291.7
6337908,Bow_006_Weapon,0,1.22,-0.4,319.5,263.8,291.7
6338007,Bow_010_Weapon,-0.01,1.2,-0.6,30,69.53,-88.29
6338008,Bow_010_Weapon,-0.01,1.2,-0.6,30,69.53,-88.29
6338107,Bow_030_Weapon,0.05,1.11,0.01,-37,-94.6,72.31
6338108,Bow_030_Weapon,0.05,1.11,0.01,-37,-94.6,72.31
6338208,Bow_028_Weapon,-0.14,1.11,0.07,-37,-93,74.12
5338305,AxeEx_009_Weapon,0.1,1,-0.6,-40.6,-89.7,83.3
5338307,AxeEx_009_Weapon,0.1,1,-0.6,-40.6,-89.7,83.3
5338308,AxeEx_009_Weapon,0.1,1,-0.6,-40.6,-89.7,83.3
5338405,AxeEx_007_Weapon,0.2,0.9,0,-45,-89,85
5338407,AxeEx_007_Weapon,0.2,0.9,0,-45,-89,85
5338408,AxeEx_007_Weapon,0.2,0.9,0,-45,-89,85
5338507,Axe_002_Weapon,0.24,0.9,0,321,259.5,70.89999
5338508,Axe_002_Weapon,0.24,0.9,0,321,259.5,70.89999
5338607,AxeEx_006_Weapon,0.2,0.92,0,319.9999,270.3,76.3
5338608,AxeEx_006_Weapon,0.2,0.92,0,319.9999,270.3,76.3
5338708,AxeEx_013_Weapon,0.2,0.98,0,-40,-89.7,76.3
12228803,Sword_013_Weapon,-0.08,0.86,-0.4,-58.89,87.5,-75.2
12238804,Sword_013_Weapon,-0.08,0.86,-0.4,-58.89,87.5,-75.2
12238805,Sword_013_Weapon,-0.08,0.86,-0.4,-58.89,87.5,-75.2
12238806,Sword_013_Weapon,-0.08,0.86,-0.4,-58.89,87.5,-75.2
12238807,Sword_013_Weapon,-0.08,0.86,-0.4,-58.89,87.5,-75.2
12238808,Sword_013_Weapon,-0.08,0.86,-0.4,-58.89,87.5,-75.2
12228903,Sword_014_Weapon,0.2,1,-0.5,-40,-63,99.7
12238904,Sword_014_Weapon,0.2,1,-0.5,-40,-63,99.7
12238905,Sword_014_Weapon,0.2,1,-0.5,-40,-63,99.7
12238906,Sword_014_Weapon,0.2,1,-0.5,-40,-63,99.7
12238907,Sword_014_Weapon,0.2,1,-0.5,-40,-63,99.7
12238908,Sword_014_Weapon,0.2,1,-0.5,-40,-63,99.7
13229003,Lance_009_Weapon,0,1,0,-37.73,-58,-8.755
13239004,Lance_009_Weapon,0,1,0,-37.73,-58,-8.755
13239005,Lance_009_Weapon,0,1,0,-37.73,-58,-8.755
13239006,Lance_009_Weapon,0,1,0,-37.73,-58,-8.755
13239007,Lance_009_Weapon,0,1,0,-37.73,-58,-8.755
13239008,Lance_009_Weapon,0,1,0,-37.73,-58,-8.755
13229103,Lance_009_Weapon,0,1,0,-37.73,-58,-8.755
13239104,Lance_009_Weapon,0,1,0,-37.73,-58,-8.755
13239105,Lance_009_Weapon,0,1,0,-37.73,-58,-8.755
13239106,Lance_009_Weapon,0,1,0,-37.73,-58,-8.755
13239107,Lance_009_Weapon,0,1,0,-37.73,-58,-8.755
13239108,Lance_009_Weapon,0,1,0,-37.73,-58,-8.755
4229203,Stick_008_Weapon,0.09,1.06,-0.6,-36,-145,110
4239204,Stick_008_Weapon,0.09,1.06,-0.6,-36,-145,110
4239205,Stick_008_Weapon,0.09,1.06,-0.6,-36,-145,110
4239206,Stick_008_Weapon,0.09,1.06,-0.6,-36,-145,110
4239207,Stick_008_Weapon,0.09,1.06,-0.6,-36,-145,110
4239208,Stick_008_Weapon,0.09,1.06,-0.6,-36,-145,110
4229303,Stick_008_Weapon,0,1.06,0,-48.2,69.79,169.8
4239304,Stick_008_Weapon,0,1.06,0,-48.2,69.79,169.8
4239305,Stick_008_Weapon,0,1.06,0,-48.2,69.79,169.8
4239306,Stick_008_Weapon,0,1.06,0,-48.2,69.79,169.8
4239307,Stick_008_Weapon,0,1.06,0,-48.2,69.79,169.8
4239308,Stick_008_Weapon,0,1.06,0,-48.2,69.79,169.8
4229403,Stick_011_Weapon,0.1,1.04,0,322.9,266.9999,61.00001
4239404,Stick_011_Weapon,0.1,1.04,0,322.9,266.9999,61.00001
4239405,Stick_011_Weapon,0.1,1.04,0,322.9,266.9999,61.00001
4239406,Stick_011_Weapon,0.1,1.04,0,322.9,266.9999,61.00001
4239407,Stick_011_Weapon,0.1,1.04,0,322.9,266.9999,61.00001
4239408,Stick_011_Weapon,0.1,1.04,0,322.9,266.9999,61.00001
9229503,Blade_001_Weapon,0.015,1,0.1,273.9999,0,-1.223942E-05
9239504,Blade_001_Weapon,0.015,1,0.1,273.9999,0,-1.223942E-05
9239505,Blade_001_Weapon,0.015,1,0.1,273.9999,0,-1.223942E-05
9239506,Blade_001_Weapon,0.015,1,0.1,273.9999,0,-1.223942E-05
9239507,Blade_001_Weapon,0.015,1,0.1,273.9999,0,-1.223942E-05
9239508,Blade_001_Weapon,0.015,1,0.1,273.9999,0,-1.223942E-05
2229603,Dagger_002_Weapon,0.1,1.2,-1.3,-43.6,-84.29,-93.7
2239604,Dagger_002_Weapon,0.1,1.2,-1.3,-43.6,-84.29,-93.7
2239605,Dagger_002_Weapon,0.1,1.2,-1.3,-43.6,-84.29,-93.7
2239606,Dagger_002_Weapon,0.1,1.2,-1.3,-43.6,-84.29,-93.7
2239607,Dagger_002_Weapon,0.1,1.2,-1.3,-43.6,-84.29,-93.7
2239608,Dagger_002_Weapon,0.1,1.2,-1.3,-43.6,-84.29,-93.7
1229703,Hammer_006_Weapon,0.2,1.4,-0.7,51,-107.998,175.9
1239704,Hammer_006_Weapon,0.2,1.4,-0.7,51,-107.998,175.9
1239705,Hammer_006_Weapon,0.2,1.4,-0.7,51,-107.998,175.9
1239706,Hammer_006_Weapon,0.2,1.4,-0.7,51,-107.998,175.9
1239707,Hammer_006_Weapon,0.2,1.4,-0.7,51,-107.998,175.9
1239708,Hammer_006_Weapon,0.2,1.4,-0.7,51,-107.998,175.9
6229803,Bow_014_Weapon,-0.16,1.28,-0.68,34.3,-143.2,-142.87
6239804,Bow_014_Weapon,-0.16,1.28,-0.68,34.3,-143.2,-142.87
6239805,Bow_014_Weapon,-0.16,1.28,-0.68,34.3,-143.2,-142.87
6239806,Bow_014_Weapon,-0.16,1.28,-0.68,34.3,-143.2,-142.87
6239807,Bow_014_Weapon,-0.16,1.28,-0.68,34.3,-143.2,-142.87
6239808,Bow_014_Weapon,-0.16,1.28,-0.68,34.3,-143.2,-142.87
6229903,Bow_010_Weapon,0.14,1.4,-0.6,37.90001,103.8,264.2
6239904,Bow_010_Weapon,0.14,1.4,-0.6,37.90001,103.8,264.2
6239905,Bow_010_Weapon,0.14,1.4,-0.6,37.90001,103.8,264.2
6239906,Bow_010_Weapon,0.14,1.4,-0.6,37.90001,103.8,264.2
6239907,Bow_010_Weapon,0.14,1.4,-0.6,37.90001,103.8,264.2
6239908,Bow_010_Weapon,0.14,1.4,-0.6,37.90001,103.8,264.2
5230003,AxeEx_004_Weapon,0.27,0.9,0,319.9999,273.8,72.50001
5240004,AxeEx_004_Weapon,0.27,0.9,0,319.9999,273.8,72.50001
5240005,AxeEx_004_Weapon,0.27,0.9,0,319.9999,273.8,72.50001
5240006,AxeEx_004_Weapon,0.27,0.9,0,319.9999,273.8,72.50001
5240007,AxeEx_004_Weapon,0.27,0.9,0,319.9999,273.8,72.50001
5240008,AxeEx_004_Weapon,0.27,0.9,0,319.9999,273.8,72.50001
5230103,Axe_002_Weapon,0.24,0.9,0,321,259.5,70.89999
5240104,Axe_002_Weapon,0.24,0.9,0,321,259.5,70.89999
5240105,Axe_002_Weapon,0.24,0.9,0,321,259.5,70.89999
5240106,Axe_002_Weapon,0.24,0.9,0,321,259.5,70.89999
5240107,Axe_002_Weapon,0.24,0.9,0,321,259.5,70.89999
5240108,Axe_002_Weapon,0.24,0.9,0,321,259.5,70.89999
4348805,Stick_022_Weapon,0.1,1.04,0,-37.1,-93,61
4348807,Stick_022_Weapon,0.1,1.04,0,-37.1,-93,61
4358808,Stick_022_Weapon,0.1,1.04,0,-37.1,-93,61
4348905,Stick_023_Weapon,0.1,1.04,0,-37.1,-93,61
4348907,Stick_023_Weapon,0.1,1.04,0,-37.1,-93,61
4358908,Stick_023_Weapon,0.1,1.04,0,-37.1,-93,61
5349007,AxeEx_012_Weapon,0.1,1.1,-0.28,-37,-93,72
5359008,AxeEx_012_Weapon,0.1,1.1,-0.28,-37,-93,72
6349105,Bow_029_Weapon,0.1,1.11,0.15,-23.5,-96.54,72
6349107,Bow_029_Weapon,0.1,1.11,0.15,-23.5,-96.54,72
6359108,Bow_029_Weapon,0.1,1.11,0.15,-23.5,-96.54,72
