Id,Name,Value
ErrStateGToStateA,,正在攀爬，无法变身哦~
ErrStateGToStateAG,,正在攀爬，无法进行观战哦！
ErrStateGToStateB,,正在攀爬，无法搭乘载具哦~
ErrStateGToStateC,,正在攀爬，无法搭乘载具哦~
ErrStateGToStateD,,正在攀爬，无法进行场景交互哦~
ErrStateGToStateE,,正在攀爬，举不了自拍杆哦~
ErrStateGToStateF,,正在攀爬，无法做单人动作哦~
ErrStateGToStateH,,正在攀爬，无法进行该操作哦~
ErrStateGToStateI,,对方正在攀爬中，无法被变身哦~
ErrStateGToStateJ,,正在攀爬，无法使用任务道具哦~
ErrStateGToStateK,,正在攀爬，无法与该角色交互哦~
ErrStateGToStateL,,正在攀爬，无法做双人动作哦~
ErrStateGToStateM,,正在攀爬，无法进入战斗哦~
ErrStateGToStateO,,正在攀爬，无法假死哦~
ErrStateGToStateOthers,,攀爬中，无法执行该操作哦！
ErrStateGToStateQ,,正在攀爬，无法搭乘战斗载具哦~
ErrStateGToStateS,,正在攀爬，无法钓鱼哦~
ErrStateGToStateT,,正在攀爬，无法搭乘载具哦~
ErrStateHToStateA,,当前状态下，无法变身哦~
ErrStateHToStateC,,当前状态下，无法搭乘载具哦~
ErrStateHToStateD,,当前状态下，无法进行场景交互哦~
ErrStateHToStateE,,当前状态下，举不了自拍杆哦~
ErrStateHToStateF,,当前状态下，无法做单人动作哦~
ErrStateHToStateI,,对方当前状态下，无法被变身哦~
ErrStateHToStateJ,,当前状态下，无法使用任务道具哦~
ErrStateHToStateK,,当前状态下，无法与该角色交互哦~
ErrStateHToStateL,,当前状态下，无法做双人动作哦~
ErrStateHToStateM,,当前状态下，无法进入战斗哦~
ErrStateHToStateO,,当前状态下，无法假死哦~
ErrStateHToStateOthers,,暂时无法执行该操作哦！
ErrStateHToStateP,,当前状态下，不允许切换分线哦~
ErrStateHToStateQ,,当前状态下，不允许搭乘战斗载具哦~
ErrStateHToStateS,,当前状态，无法钓鱼哦！
ErrStateHToStateT,,当前状态，无法搭乘载具哦！
ErrStateIToStateI,,对方正在变身中，无法被变身哦~
ErrStateIToStateOthers,,变身中，无法执行该操作哦！
ErrStateJToStateI,,对方正在交互中，无法被变身哦~
ErrStateJToStateOthers,,正忙着呢！无法执行该操作哦！
ErrStateJToStateS,,正忙着呢，无法执行该操作哦！
ErrStateJToStateT,,正忙着呢~
ErrStateKToStateI,,对方正与交互中，无法被变身哦~
ErrStateKToStateOthers,,与游戏角色交互中，无法执行该操作哦！
ErrStateLToStateA,,请先解除交互再变身啦！
ErrStateLToStateB,,请先解除交互再搭乘载具啦！
ErrStateLToStateC,,请先解除交互再搭乘载具啦！
ErrStateLToStateD,,请先解除交互再进行场景交互啦！
ErrStateLToStateE,,请先解除交互再自拍啦！
ErrStateLToStateF,,请先解除交互再做单人动作啦！
ErrStateLToStateH,,请先解除交互再进行该操作啦！
ErrStateLToStateI,,对方正在交互中，无法被变身哦~
ErrStateLToStateJ,,请先解除交互再使用任务道具啦！
ErrStateLToStateK,,请先解除交互再与该角色交互啦！
ErrStateLToStateL,,正在进行双人动作啦！
ErrStateLToStateM,,请先解除交互再进入战斗啦！
ErrStateLToStateO,,请先解除交互再假死啦！
ErrStateLToStateOthers,,双人动作中，无法执行该操作哦！
ErrStateLToStateP,,请先解除交互再切换分线啦！
ErrStateLToStateQ,,请先解除交互再搭乘战斗载具啦！
ErrStateLToStateS,,请先解除交互再钓鱼啦！
ErrStateLToStateT,,请先解除交互再搭乘载具啦！
ErrStateMToStateA,,战斗状态无法变身哦~
ErrStateMToStateAG,,正在战斗，无法进行观战哦！
ErrStateMToStateB,,战斗状态无法搭乘载具哦~
ErrStateMToStateC,,战斗状态无法搭乘载具哦~
ErrStateMToStateD,,战斗状态无法进行场景交互哦~
ErrStateMToStateE,,战斗状态举不了自拍杆哦~
ErrStateMToStateF,,战斗状态无法做单人动作哦~
ErrStateMToStateG,,战斗状态无法攀爬哦~
ErrStateMToStateI,,对方正在战斗中，无法被变身哦~
ErrStateMToStateJ,,战斗状态无法使用任务道具哦~
ErrStateMToStateK,,战斗状态无法与该角色交互哦~
ErrStateMToStateL,,战斗状态无法做双人动作哦~
ErrStateMToStateOthers,,战斗状态无法执行该操作哦！
ErrStateMToStateP,,战斗状态不允许切换分线哦~
ErrStateMToStateS,,战斗状态无法钓鱼哦~
ErrStateMToStateT,,战斗状态无法搭乘载具哦~
ErrStateNToStateI,,对方正在战斗状态，无法被变身哦~
ErrStateNToStateOthers,,战斗状态无法执行该操作哦！
ErrStateOToStateA,,请先解除假死再变身啦！
ErrStateOToStateAG,,正在装死，无法进行观战哦！
ErrStateOToStateB,,请先解除假死再搭乘载具啦！
ErrStateOToStateC,,请先解除假死再搭乘载具啦！
ErrStateOToStateD,,请先解除假死再进行场景交互啦！
ErrStateOToStateE,,请先解除假死再自拍啦！
ErrStateOToStateF,,请先解除假死再做单人动作啦！
ErrStateOToStateG,,请先解除假死再做场景交互啦！
ErrStateOToStateH,,请先解除假死再进行该操作啦！
ErrStateOToStateI,,对方正在假死中，无法被变身哦~
ErrStateOToStateJ,,请先解除假死再交互啦！
ErrStateOToStateK,,请先解除假死再与该角色交互啦！
ErrStateOToStateL,,请先解除假死再做双人动作啦！
ErrStateOToStateOthers,,假死中，无法执行该操作哦！
ErrStateOToStateP,,请先解除假死再切换分线啦！
ErrStateOToStateQ,,请先解除假死再搭乘战斗载具啦！
ErrStateOToStateS,,请先解除假死再钓鱼啦！
ErrStateOToStateT,,请先解除假死再搭乘载具啦！
ErrStatePToStateOthers,,切换分线时无法执行该操作哦！
ErrStatePToStateS,,切换分线时无法执行该操作哦！
ErrStatePToStateT,,切换分线时无法执行该操作哦！
ErrStateQToStateOthers,,战斗载具上无法执行该操作哦！
ErrStateQToStateS,,请先专心战斗哦！
ErrStateRToStateOthers,,天气动作中，无法执行该操作哦！
ErrStateSToStateAG,,正在钓鱼，无法进行观战哦！
ErrStateSToStateOthers,,钓鱼状态中，无法执行该操作哦！
ErrStateSToStateT,,钓鱼中，无法搭乘载具哦~
ErrStateTToStateOthers,,公共载具上无法执行该操作哦！
ErrStateTToStateS,,暂时无法执行该操作哦！
ErrStateUToStateOthers,,正在切换公会场景，无法执行该操作哦！
ErrStateVToStateOthers,,正在搭乘双人载具，无法执行该操作哦！
ErrStateWToStateOthers,,正在搭乘双人载具，无法执行该操作哦！
ErrStateXToStateOthers,,正在进行双人动作，无法执行该操作哦！
ErrStateYToStateOthers,,正在进行双人动作，无法执行该操作哦！
ErrStateZToStateOthers,,聊天室中无法执行该操作哦！
ErrStateAQToStateOthers,,正在自动采摘/挖矿中，无法进行该操作哦！
ErrStateARToStateOthers,,无法执行该操作哦！
ErrStateASToStateOthers,,正在进行演奏动作，无法执行该操作哦！
ErrStateATToStateOthers,,正在进行演奏动作，无法执行该操作哦！
ErrStateAUToStateOthers,,无法执行该操作哦！
ErrStateACToStateB,,正在跑商，无法上载具哦！
