Id,Name,IsConcealName,Desc,Function,NpcFunctionId,NpcFunctionIdBackup,FunctionIcon,FunctionName,NpcMapIcon,MapIconControl,MapIconWeight,DefaultEquipID,PresentID,Scale,Sex,Icon,Voice,ShowUp,ShowUpInterval,DialogAnim,Prefab,ReNpcId,IsInitialize,NpcType,NPCShowScript,NpcShowTime,NPCScript,NPCRangeCheckScript,NPCRangeCheckCV,NPCAtlas,NPCIcon,IsDynamicNpc,IsSqure,IsDanceNpc,UmbrellaInRain,EntityID,FaceToPlayer,ShowModel,TalkRTOffset,ElfID,AppearBuffs,DisappearBuffs,DisappearTime,NeedTransparent,AppearCommandScript,DisappearCommandScript,,NPCSelectHide,IsFAQImport,IsPathFinding,LocalizationArea
10,,0,投机商人,投机商人,,,,,,,,0=0,0=100010,1,0,,123,,,,NPC_M_TouJiShangRen\Preview\NPC_M_TouJiShangRen_bandpose,10,1,1,,,0=2=npcTEST_SMR,,,,,,,,,,1,1,,,,,,,,,,,,,
11,,0,空模型,,,,,,,,,0=0,0=100011,1,0,,123,,,,,11,1,1,,,0=2=npcTEST,,,,,,,,,,1,1,,,,,,,,,,,,,
12,,0,大叔,,,,,,,,,0=0,0=100012,1,0,,123,,,,NPC_M_DaShu\Preview\NPC_M_DaShu_bandpose,12,1,1,,,0=2=npcTEST_CZ,,,,,,,,,,1,1,,,,,,,,,,,,,
13,,0,忽克连,装备精炼,,,,,,,,0=100013,0=100013,1,0,,123,,,,NPC_M_HuKeLian\Preview\NPC_M_HuKeLian_bandpose,13,1,1,0=1001=TESTNPC_hukelian,,0=2=npcTEST_hukelian,,,,,,,,,,1,1,,,,,,,,,,,,,
14,,0,吉芬卫兵,,,,,,,,,0=0,0=100014,1,0,,123,,,,NPC_M_JiFenWeiBing\Preview\NPC_M_JiFenWeiBing_bandpose,14,1,1,,,0=2=npcTEST,,,,,,,,,,1,1,,,,,,,,,,,,,
15,,0,牛虻公会情报人员,,,,,,,,,0=100015,0=100015,1,0,,123,,,,NPC_M_LiuMangGongHuiQingBaoRenYuan\Preview\NPC_M_LiuMangGongHuiQingBaoRenYuan_bandpose,15,1,1,,,0=2=npcTEST,,,,,,,,,,1,1,,,,,,,,,,,,,
16,,0,魔法师工会成员,,,,,,,,,0=100016,0=100016,1,0,,123,,,,NPC_M_MoFaShiGongHui\Preview\NPC_M_MoFaShiGongHui_bandpose,16,1,1,,,0=2=npcTEST,,,,,,,,,,1,1,,,,,,,,,,,,,
17,,0,骑士团团长,,,,,,,,,0=0,0=100017,1,0,,123,,,,NPC_M_QiShiTuanTuanZhang\Preview\NPC_M_QiShiTuanTuanZhang_bandpose,17,1,1,,,0=2=npcTEST_QSTcv,,,,,,,,,,1,1,,,,,,,,,,,,,
18,,0,时尚造型师,时尚造型,,,,,,,,0=100018,0=100018,1,0,,123,,,,NPC_M_ShiShangZaoXingShi\Preview\NPC_M_ShiShangZaoXingShi_bandpose,18,1,1,,,0=2=npcTEST,,,,,,,,,,1,1,,,,,,,,,,,,,
19,,0,贤者,,,,,,,,,0=100019,0=100019,1,0,,123,,,,NPC_M_XianZhe\Preview\NPC_M_XianZhe_bandpose,19,1,1,,,0=2=npcTEST,,,,,,,,,,1,1,,,,,,,,,,,,,
20,,0,研究学者,,,,,,,,,0=100020,0=100020,1,0,,123,,,,NPC_M_YanJiuXueZhe\Preview\NPC_M_YanJiuXueZhe_bandpose,20,1,1,,,0=2=npcTEST_mwxz,,,,,,,,,,1,1,,,,,,,,,,,,,
21,,0,装备商人,装备商人,,,,,,,,0=100021,0=100021,1,0,,123,,,,NPC_M_ZhuangBeiShangRen\Preview\NPC_M_ZhuangBeiShangRen_bandpose,21,1,1,,,0=2=npcTEST,,,,,,,,,,1,1,,,,,,,,,,,,,
22,,0,可爱的小女孩,,,,,,,,,0=0,0=100022,1,0,,123,,,,NPC_F_KeAiDeHaiZi\Preview\NPC_F_KeAiDeHaiZi_bandpose,22,1,1,0=1001=TESTNPC_xiaonvhai,,0=2=npcTEST_girl,,,,,,,,,,1,1,,,,,,,,,,,,,
23,,0,转职引导员,转职员,,,,,,,,0=0,0=100023,1,0,,123,,,,NPC_F_ZhuanZhiYuan\Preview\NPC_F_ZhuanZhiYuan_bandpose,23,1,1,,,0=2=npcTEST,,,,,,,,,,1,1,,,,,,,,,,,,,
24,,0,可爱的小男孩,,,,,,,,,0=0,0=100024,1,0,,123,,,,NPC_M_ShanSi\Preview\NPC_M_ShanSi_bandpose,24,1,1,0=1001=TESTNPC_xiaonanhai,,0=2=npcTEST_boy,,,,,,,,,,1,1,,,,,,,,,,,,,
25,,0,结婚服务人员,结婚服务,,,,,,,,0=100025,0=100025,1,1,,123,,,,NPC_F_JieHunFuWuRenYuan\Preview\NPC_F_JieHunFuWuRenYuan_bandpose,25,1,1,,,0=2=npcTEST_JH,,,,,,,,,,1,1,,,,,,,,,,,,,
26,,0,魔物学者,,,,,,,,,0=100026,0=100026,1,0,,123,,,,NPC_F_MoWuXueZhe\Preview\NPC_F_MoWuXueZhe_bandpose,26,1,1,,,0=2=npcTEST,,,,,,,,,,1,1,,,,,,,,,,,,,
27,,0,成年女性1,,,,,,,,,0=100027,0=100027,1,1,,123,,,,NPC_F_NvChengNian\Preview\NPC_F_NvChengNian_bandpose,27,1,1,,,0=2=npcTEST,,,,,,,,,,1,1,,,,,,,,,,,,,
28,,0,药术士公会成员,,,,,,,,,0=100028,0=100028,1,0,,123,,,,NPC_F_YaoShuShiGongHuiChengYuan\Preview\NPC_F_YaoShuShiGongHuiChengYuan_bandpose,28,1,1,,,0=2=npcTEST,,,,,,,,,,1,1,,,,,,,,,,,,,
29,,0,尤诺,,,,,,,,,0=100029,0=100029,1,1,,123,,,,NPC_F_YouLuo\Preview\NPC_F_YouLuo_bandpose,29,1,1,,,0=2=npcTEST,,,,,,,,,,1,1,,,,,,,,,,,,,
30,,1,乐园团黑板（不规范的配法）,timeline,,,,,,,,0=0,0=100030,1,0,,123,,,,NPC_M_DaNaTuoSi\Preview\NPC_M_DaNaTuoSi_bandpose,30,1,1,,,0=2=npcTEST,,,,,,,,,,1,1,,,,,,,,,,,,,
31,,0,达纳托斯——新手副本正义使者,timeline,,,,,,,,0=100031,0=100031,1,0,,123,,,,NPC_M_DaNaTuoSi\Preview\NPC_M_DaNaTuoSi_bandpose,31,1,1,,,0=2=npcTEST,,,,,,,,,,1,1,,,,,,,,,,,,,
32,,0,船长,,,,,,,,,0=0,0=100032,1,0,,123,0=100112,0=1=3,,NPC_M_ChuanZhang\Preview\NPC_M_ChuanZhang_bandpose,32,1,1,,,0=2=npcTEST,,,,,,,,,,1,1,,,,,,,,,,,,,
33,,0,自拼新娘（小店商人）,,,,,,,,,0=100033,0=100033,1,1,,123,,,,NPC_F_XiaoDianShangRen\Preview\NPC_F_XiaoDianShangRen_bandpose,33,1,1,,,0=2=npcTEST,,,,,,,,,,1,1,,,,,,,,,,,,,
34,,0,自拼忠实骑士（骑士领主—男）,,,,,,,,,0=100034,0=100034,1,0,,123,,,,NPC_M_LiuMangGongHuiQingBaoRenYuan\Preview\NPC_M_LiuMangGongHuiQingBaoRenYuan_bandpose,34,1,1,,,0=2=npcTEST,,,,,,,,,,1,1,,,,,,,,,,,,,
35,,0,自拼新郎忠实骑士（骑士领主—男）,,,,,,,,,0=100035,0=100035,1,0,,123,,,,NPC_M_LiuMangGongHuiQingBaoRenYuan\Preview\NPC_M_LiuMangGongHuiQingBaoRenYuan_bandpose,35,1,1,,,0=2=npcTEST,,,,,,,,,,1,1,,,,,,,,,,,,,
36,,0,自拼芙蕾雅,,,,,,,,,0=100036,0=100036,1,1,,123,,,,NPC_F_NaMi\Preview\NPC_F_NaMi_bandpose,36,1,1,,,0=2=npcTEST,,,,,,,,,,1,1,,,,,,,,,,,,,
37,,0,自拼婚纱老板娘,,,,,,,,,0=100037,0=100037,1,1,,123,,,,NPC_F_JieHunFuWuRenYuan\Preview\NPC_F_JieHunFuWuRenYuan_bandpose,37,1,1,,,0=2=npcTEST,,,,,,,,,,1,1,,,,,,,,,,,,,
38,,0,气球束,,,,,,,,,0=0,0=100038,1,0,,123,,,,NPC_M_QiQiuShu\Preview\NPC_M_QiQiuShu_bandpose,38,1,2,,,0=2=npcTEST,,,,,,,,,,0,0,,,,,,,,,,,,,
39,,0,坐下卡尔西,,,,,,,,,0=100039,0=100039,1,0,,123,,,,NPC_M_ZhuangBeiShangRen\Preview\NPC_M_ZhuangBeiShangRen_bandpose,39,1,1,,,0=2=npcTEST,,,,,,,,,,1,1,,,,,,,,,,,,,
40,,0,自拼初心者（男）,,,,,,,,,0=100040,0=100040,1,0,,123,,,,NPC_M_LiuMangGongHuiQingBaoRenYuan\Preview\NPC_M_LiuMangGongHuiQingBaoRenYuan_bandpose,40,1,1,,,0=2=npcTEST,,,,,,,,,,1,1,,,,,,,,,,,,,
41,,0,自拼剑士（男）,,,,,,,,,0=100041,0=100041,1,0,,123,,,,NPC_M_LiuMangGongHuiQingBaoRenYuan\Preview\NPC_M_LiuMangGongHuiQingBaoRenYuan_bandpose,41,1,1,,,0=2=npcTEST_nanjianshi,,,,,,,,,,1,1,,,,,,,,,,,,,
42,,0,自拼服事（男）,,,,,,,,,0=100042,0=100042,1,0,,123,,,,NPC_M_LiuMangGongHuiQingBaoRenYuan\Preview\NPC_M_LiuMangGongHuiQingBaoRenYuan_bandpose,42,1,1,,,0=2=npcTEST_nanfushi,,,,,,,,,,1,1,,,,,,,,,,,,,
43,,0,靠谱的法师,,,,,,,,,0=100043,0=100043,1,0,,123,,,,NPC_M_LiuMangGongHuiQingBaoRenYuan\Preview\NPC_M_LiuMangGongHuiQingBaoRenYuan_bandpose,43,1,1,,,0=2=npcTEST_nanfashi,,,,,,,,,,1,1,,,,,,,,,,,,,
44,,0,自拼盗贼（男）,,,,,,,,,0=100044,0=100044,1,0,,123,,,,NPC_M_LiuMangGongHuiQingBaoRenYuan\Preview\NPC_M_LiuMangGongHuiQingBaoRenYuan_bandpose,44,1,1,,,0=2=npcTEST,,,,,,,,,,1,1,,,,,,,,,,,,,
45,,0,自拼弓箭手（男）,,,,,,,,,0=100045,0=100045,1,0,,123,,,,NPC_M_LiuMangGongHuiQingBaoRenYuan\Preview\NPC_M_LiuMangGongHuiQingBaoRenYuan_bandpose,45,1,1,,,0=2=npcTEST_nangongshou,,,,,,,,,,1,1,,,,,,,,,,,,,
46,,0,自拼初心者（男）,,,,,,,,,0=100046,0=100046,1,0,,123,,,,NPC_M_LiuMangGongHuiQingBaoRenYuan\Preview\NPC_M_LiuMangGongHuiQingBaoRenYuan_bandpose,46,1,1,,,0=2=npcTEST,,,,,,,,,,1,1,,,,,,,,,,,,,
47,,0,勇敢的剑士,,,,,,,,,0=100047,0=100047,1,0,,123,,,,NPC_M_LiuMangGongHuiQingBaoRenYuan\Preview\NPC_M_LiuMangGongHuiQingBaoRenYuan_bandpose,47,1,1,,,0=2=npcTEST_nanjianshi,,,,,,,,,,1,1,,,,,,,,,,,,,
48,,0,自拼服事（男）,,,,,,,,,0=100048,0=100048,1,0,,123,,,,NPC_M_LiuMangGongHuiQingBaoRenYuan\Preview\NPC_M_LiuMangGongHuiQingBaoRenYuan_bandpose,48,1,1,,,0=2=npcTEST_nanfushi,,,,,,,,,,1,1,,,,,,,,,,,,,
49,,0,自拼法师（男）,,,,,,,,,0=100049,0=100049,1,0,,123,,,,NPC_M_LiuMangGongHuiQingBaoRenYuan\Preview\NPC_M_LiuMangGongHuiQingBaoRenYuan_bandpose,49,1,1,,,0=2=npcTEST_nanfashi,,,,,,,,,,1,1,,,,,,,,,,,,,
50,,0,自拼盗贼（男）,,,,,,,,,0=100050,0=100050,1,0,,123,,,,NPC_M_LiuMangGongHuiQingBaoRenYuan\Preview\NPC_M_LiuMangGongHuiQingBaoRenYuan_bandpose,50,1,1,,,0=2=npcTEST_nancike,,,,,,,,,,1,1,,,,,,,,,,,,,
51,,0,自拼弓箭手（男）,,,,,,,,,0=100051,0=100051,1,0,,123,,,,NPC_M_LiuMangGongHuiQingBaoRenYuan\Preview\NPC_M_LiuMangGongHuiQingBaoRenYuan_bandpose,51,1,1,,,0=2=npcTEST_nangongshou,,,,,,,,,,1,1,,,,,,,,,,,,,
52,,0,自拼初心者（女）,,,,,,,,,0=100052,0=100052,1,1,,123,,,,NPC_F_NaMi\Preview\NPC_F_NaMi_bandpose,52,1,1,,,0=2=npcTEST,,,,,,,,,,1,1,,,,,,,,,,,,,
53,,0,自拼剑士（女）,,,,,,,,,0=100053,0=100053,1,1,,123,,,,NPC_F_NaMi\Preview\NPC_F_NaMi_bandpose,53,1,1,,,0=2=npcTEST_nvjianshi,,,,,,,,,,1,1,,,,,,,,,,,,,
54,,0,善良的服事,,,,,,,,,0=100054,0=100054,1,1,,123,,,,NPC_F_NaMi\Preview\NPC_F_NaMi_bandpose,54,1,1,,,0=2=npcTEST_nvfushi,,,,,,,,,,1,1,,,,,,,,,,,,,
55,,0,自拼法师（女）,,,,,,,,,0=100055,0=100055,1,1,,123,,,,NPC_F_NaMi\Preview\NPC_F_NaMi_bandpose,55,1,1,,,0=2=npcTEST_nvfashi,,,,,,,,,,1,1,,,,,,,,,,,,,
56,,0,自拼盗贼（女）,,,,,,,,,0=100056,0=100056,1,1,,123,,,,NPC_F_NaMi\Preview\NPC_F_NaMi_bandpose,56,1,1,,,0=2=npcTEST_nvcike,,,,,,,,,,1,1,,,,,,,,,,,,,
57,,0,自拼弓箭手（女）,,,,,,,,,0=100057,0=100057,1,1,,123,,,,NPC_F_NaMi\Preview\NPC_F_NaMi_bandpose,57,1,1,,,0=2=npcTEST_nvgongshou,,,,,,,,,,1,1,,,,,,,,,,,,,
58,,0,自拼初心者（女）,,,,,,,,,0=100058,0=100058,1,1,,123,,,,NPC_F_NaMi\Preview\NPC_F_NaMi_bandpose,58,1,1,,,0=2=npcTEST,,,,,,,,,,1,1,,,,,,,,,,,,,
59,,0,自拼剑士（女）,,,,,,,,,0=100059,0=100059,1,1,,123,,,,NPC_F_NaMi\Preview\NPC_F_NaMi_bandpose,59,1,1,,,0=2=npcTEST_nvjianshi,,,,,,,,,,1,1,,,,,,,,,,,,,
60,,0,自拼服事（女）,,,,,,,,,0=100060,0=100060,1,1,,123,,,,NPC_F_NaMi\Preview\NPC_F_NaMi_bandpose,60,1,1,,,0=2=npcTEST_nvfushi,,,,,,,,,,1,1,,,,,,,,,,,,,
61,,0,自拼法师（女）,,,,,,,,,0=100061,0=100061,1,1,,123,,,,NPC_F_NaMi\Preview\NPC_F_NaMi_bandpose,61,1,1,,,0=2=npcTEST_nvfashi,,,,,,,,,,1,1,,,,,,,,,,,,,
62,,0,自拼盗贼（女）,,,,,,,,,0=100062,0=100062,1,1,,123,,,,NPC_F_NaMi\Preview\NPC_F_NaMi_bandpose,62,1,1,,,0=2=npcTEST_nvcike,,,,,,,,,,1,1,,,,,,,,,,,,,
63,,0,自拼弓箭手（女）,,,,,,,,,0=100063,0=100063,1,1,,123,,,,NPC_F_NaMi\Preview\NPC_F_NaMi_bandpose,63,1,1,,,0=2=npcTEST_nvgongshou,,,,,,,,,,1,1,,,,,,,,,,,,,
64,,0,古娜(站),,,,,,,,,0=100069,0=100069,1,1,,123,,,,NPC_F_NaMi\Preview\NPC_F_NaMi_bandpose,64,1,1,,,0=2=npcTEST_GNcv,,,,,,,,,,1,1,,,,,,,,,,,,,
65,,0,艾伦斯特(礼仪装),,,,,,,,,0=100066,0=100066,1,0,,123,,,,NPC_M_HuangZi\Preview\NPC_M_HuangZi_bandpose,65,1,1,0=1001=TESTNPC_xiaonanhai,,0=2=npcTEST,,,,,,,,,,1,1,,,,,,,,,,,,,
66,,0,热血笨蛋,,,,,,,,,0=100048,0=100048,1,0,,123,,,,NPC_M_LiuMangGongHuiQingBaoRenYuan\Preview\NPC_M_LiuMangGongHuiQingBaoRenYuan_bandpose,66,1,1,,,0=2=npcTEST_nanfushi,,,,,,,,,,1,1,,,,,,,,,,,,,
67,,0,无口女,,,,,,,,,0=100055,0=100055,1,1,,123,,,,NPC_F_NaMi\Preview\NPC_F_NaMi_bandpose,67,1,1,,,0=2=npcTEST_nvfashi,,,,,,,,,,1,1,,,,,,,,,,,,,
68,,0,理性男,,,,,,,,,0=100049,0=100049,1,0,,123,,,,NPC_M_LiuMangGongHuiQingBaoRenYuan\Preview\NPC_M_LiuMangGongHuiQingBaoRenYuan_bandpose,68,1,1,,,0=2=npcTEST_nanfashi,,,,,,,,,,1,1,,,,,,,,,,,,,
69,,0,乖学生,,,,,,,,,0=100063,0=100063,1,1,,123,,,,NPC_F_NaMi\Preview\NPC_F_NaMi_bandpose,69,1,1,,,0=2=npcTEST_nvgongshou,,,,,,,,,,1,1,,,,,,,,,,,,,
70,,0,亨里克,,,,,,,,,0=100018,0=100018,1,0,,123,,,,NPC_M_ShiShangZaoXingShi\Preview\NPC_M_ShiShangZaoXingShi_bandpose,70,1,1,,,0=2=npcTEST,,,,,,,,2,,1,1,,,,,,,,,,,,,
71,,0,波奇,,,,,,,,,0=100082,0=100082,1,0,,123,,,,NPC_M_LiuMangGongHuiQingBaoRenYuan\Preview\NPC_M_LiuMangGongHuiQingBaoRenYuan_bandpose,71,1,1,,,0=2=npcTEST,,,,,,,,1,,1,1,,,,,,,,,,,,,
72,,0,克里斯·疯言,,,,,,,,,0=100076,0=100047,1,0,,123,,,,NPC_M_LiuMangGongHuiQingBaoRenYuan\Preview\NPC_M_LiuMangGongHuiQingBaoRenYuan_bandpose,72,1,1,,,0=2=npcTEST,,,,,,,,,,1,1,,,,,,,,,,,,,
73,,0,萨奇·疯语,,,,,,,,,0=100077,0=100049,1,0,,123,,,,NPC_M_LiuMangGongHuiQingBaoRenYuan\Preview\NPC_M_LiuMangGongHuiQingBaoRenYuan_bandpose,73,1,1,,,0=2=npcTEST,,,,,,,,,,1,1,,,,,,,,,,,,,
74,,0,瓦萨比,,,,,,,,,0=100078,0=100050,1,0,,123,,,,NPC_M_LiuMangGongHuiQingBaoRenYuan\Preview\NPC_M_LiuMangGongHuiQingBaoRenYuan_bandpose,74,1,1,,,0=2=npcTEST_nancike,,,,,,,,,,1,1,,,,,,,,,,,,,
75,,0,古娜(坐),,,,,,,,,0=100068,0=100068,1,1,,123,,,,NPC_F_NaMi\Preview\NPC_F_NaMi_bandpose,75,1,1,,,0=2=npcTEST_GNcv,,,,,,,,,,1,1,,,,,,,,,,,,,
76,,0,古娜(移动战斗),,,,,,,,,0=100070,0=100070,1,1,,123,,,,NPC_F_NaMi\Preview\NPC_F_NaMi_bandpose,76,1,1,,,0=2=npcTEST_GNcv,,,,,,,,,,1,1,,,,,,,,,,,,,
77,,0,艾伦斯特(战斗装),,,,,,,,,0=100067,0=100067,1,0,,123,,,,NPC_M_HuangZi\Preview\NPC_M_HuangZi_bandpose,77,1,1,0=1001=TESTNPC_xiaonanhai,,0=2=npcTEST,,,,,,,,,,1,1,,,,,,,,,,,,,
78,,0,古娜受伤,,,,,,,,,0=100071,0=100071,1,1,,123,,,,NPC_F_NaMi\Preview\NPC_F_NaMi_bandpose,78,1,1,0=1001=TESTNPC_xiaonanhai,,0=2=npcTEST_GNcv,,,,,,,,,,1,1,,,,,,,,,,,,,
79,,0,猫小友,,,,,,,,,0=0,0=100079,1,1,,123,,,,NPC_M_FuMo\Preview\NPC_M_FuMo_bandpose,79,1,1,,,0=2=npcTEST_MXYcv,,,,,,,,,,1,1,,,,,,,,,,,,,
80,,0,秘书助手,,,,,,,,,0=0,0=100102,1,1,,123,,,,NPC_F_MiShuZhuShou\Preview\NPC_F_MiShuZhuShou_bandpose,80,1,1,,,0=2=npcTEST,,,,,,,,,,1,1,,,,,,,,,,,,,
81,,0,佣兵物品商人（小红帽）,,,,,,,,,0=0,0=100103,1,1,,123,,,,NPC_F_YongBingWuPinShangRen\Preview\NPC_F_YongBingWuPinShangRen_bandpose,81,1,1,,,0=2=npcTEST,,,,,,,,,,1,1,,,,,,,,,,,,,
82,,0,公告牌（三角形）,,,,,,,,,0=0,0=100104,1,0,,123,,,,NPC_M_GongGaoPai\Preview\NPC_M_GongGaoPai_bandpose,82,1,1,,,0=2=npcTEST,,,,,,,,,,1,1,,,,,,,,,,,,,
83,,0,祭司（神父）,,,,,,,,,0=0,0=100105,1,0,,123,,,,NPC_M_JiSi\Preview\NPC_M_JiSi_bandpose,83,1,1,,,0=2=npcTEST,,,,,,,,,,1,1,,,,,,,,,,,,,
84,,0,考古学者,,,,,,,,,0=0,0=100106,1,0,,123,,,,NPC_M_KaoGuXueZhe\Preview\NPC_M_KaoGuXueZhe_bandpose,84,1,1,,,0=2=npcTEST_laoren,,,,,,,,,,1,1,,,,,,,,,,,,,
85,,0,老年铁匠,,,,,,,,,0=0,0=100107,1,0,,123,,,,NPC_M_LaoNianTieJiang\Preview\NPC_M_LaoNianTieJiang_bandpose,85,1,1,,,0=2=npcTEST_TJcv,,,,,,,,,,1,1,,,,,,,,,,,,,
86,,0,少年（白短袖蓝短裤红腰带的男孩子）,,,,,,,,,0=0,0=100108,1,0,,123,,,,NPC_M_ShaoNian\Preview\NPC_M_ShaoNian_bandpose,86,1,1,,,0=2=npcTEST,,,,,,,,,,1,1,,,,,,,,,,,,,
87,,0,吟游诗人,,,,,,,,,0=0,0=100109,1,0,,123,,,,NPC_M_YinYouShiRen\Preview\NPC_M_YinYouShiRen_bandpose,87,1,1,,,0=2=npcTEST_poetcv,,,,,,,,,,1,1,,,,,,,,,,,,,
88,,0,卖花少女（,,,,,,,,,0=0,0=100118,1,1,,123,,,,NPC_F_MaiHuaShaoNv\Preview\NPC_F_MaiHuaShaoNv_bandpose,88,1,1,,,0=2=npcTEST_shaonvcv,,,,,,,,,,1,1,,,,,,,,,,,,,
89,,0,皇室管家,,,,,,,,,0=0,0=100119,1,0,,123,,,,NPC_M_HuangShiGuanJia\Preview\NPC_M_HuangShiGuanJia_bandpose,89,1,1,,,0=2=npcTEST,,,,,,,,,,1,1,0=-0.35=0,,,,,,,,,,,,
90,,0,宠物研究员,,,,,,,,,0=0,0=100120,1,0,,123,,,,NPC_M_ChongWuYanJiuYuan\Preview\NPC_M_ChongWuYanJiuYuan_bandpose,90,1,1,,,0=2=npcTEST_LJXT,,,,,,,,,,1,1,,,,,,,,,,,,,
91,,0,自拼商人,,,,,,,,,0=100121,0=100121,1,0,,123,,,,NPC_M_HuKeLian\Preview\NPC_M_HuKeLian_bandpose,91,1,1,,,0=2=npcTEST_nanshangren,,,,,,,,,,1,1,,,,,,,,,,,,,
