Id,EnchantId,Text,Property,BindProperty,PropertyDec,Quality,Pro,RandomType,SortId,TypeId,TypeScore,profession,LimitTime
100198,8,100级饰品库,0=28=700,,2000,1,50,1=98=500|98=154=400|154=281=100,258,3,60,2000|5000|6000|7000|3201,
100199,8,100级饰品库,0=37=700,,2112,1,50,1=98=500|98=154=400|154=281=100,259,3,60,3000|4000,
100200,8,100级饰品库,0=55=3,,2003,1,50,1=2=500|2=3=400|3=4=100,260,3,60,,
100201,8,100级饰品库,0=51=14,,2004,1,50,1=3=500|3=5=400|5=7=100,261,3,60,,
100227,9,70级铠甲库,0=22=7,,2015,1,50,1=2=500|2=3=400|3=4=100,295,2,60,,
100228,9,70级铠甲库,0=24=7,,2016,1,50,1=2=500|2=3=400|3=4=100,296,2,60,5000|7000,
100229,9,70级铠甲库,0=47=600,,2055,1,50,1=84=500|84=132=400|132=241=100,297,3,60,2000|3000|4000|5000|6000|7000|3201,
100230,9,70级铠甲库,0=49=60,,2056,1,50,1=9=500|9=14=400|14=25=100,298,3,60,,
100231,9,70级铠甲库,0=32=7,,2057,1,50,1=2=500|2=3=400|3=4=100,299,3,60,,
100232,9,70级铠甲库,0=41=7,,2058,1,50,1=2=500|2=3=400|3=4=100,300,3,60,,
100233,9,70级铠甲库,0=57=7,,2061,1,50,1=2=500|2=3=400|3=4=100,301,3,60,,
100249,10,80级铠甲库,0=22=8,,2015,1,50,1=2=500|2=3=400|3=4=100,324,2,60,,
100250,10,80级铠甲库,0=24=8,,2016,1,50,1=2=500|2=3=400|3=4=100,325,2,60,5000|7000,
100251,10,80级铠甲库,0=47=700,,2055,1,50,1=98=500|98=154=400|154=281=100,326,3,60,2000|3000|4000|5000|6000|7000|3201,
100252,10,80级铠甲库,0=49=80,,2056,1,50,1=12=500|12=18=400|18=33=100,327,3,60,,
100253,10,80级铠甲库,0=32=8,,2057,1,50,1=2=500|2=3=400|3=4=100,328,3,60,,
100254,10,80级铠甲库,0=41=8,,2058,1,50,1=2=500|2=3=400|3=4=100,329,3,60,,
100255,10,80级铠甲库,0=57=8,,2061,1,50,1=2=500|2=3=400|3=4=100,330,3,60,,
100271,11,90级铠甲库,0=22=9,,2015,1,50,1=3=500|3=4=400|4=5=100,353,2,60,,
100272,11,90级铠甲库,0=24=9,,2016,1,50,1=3=500|3=4=400|4=5=100,354,2,60,5000|7000,
100273,11,90级铠甲库,0=47=750,,2055,1,50,1=105=500|105=165=400|165=301=100,355,3,60,2000|3000|4000|5000|6000|7000|3201,
100274,11,90级铠甲库,0=49=100,,2056,1,50,1=14=500|14=22=400|22=41=100,356,3,60,,
100275,11,90级铠甲库,0=32=10,,2057,1,50,1=3=500|3=4=400|4=5=100,357,3,60,,
100276,11,90级铠甲库,0=41=10,,2058,1,50,1=3=500|3=4=400|4=5=100,358,3,60,,
100277,11,90级铠甲库,0=57=10,,2061,1,50,1=3=500|3=4=400|4=5=100,359,3,60,,
100298,12,100级铠甲库,0=22=10,,2015,1,50,1=3=500|3=4=400|4=5=100,387,2,60,,
100299,12,100级铠甲库,0=24=10,,2016,1,50,1=3=500|3=4=400|4=5=100,388,2,60,5000|7000,
100300,12,100级铠甲库,0=47=800,,2055,1,50,1=112=500|112=176=400|176=321=100,389,3,60,2000|3000|4000|5000|6000|7000|3201,
100301,12,100级铠甲库,0=49=120,,2056,1,50,1=17=500|17=27=400|27=49=100,390,3,60,,
100302,12,100级铠甲库,0=32=12,,2057,1,50,1=3=500|3=5=400|5=6=100,391,3,60,,
100303,12,100级铠甲库,0=41=12,,2058,1,50,1=3=500|3=5=400|5=6=100,392,3,60,,
100304,12,100级铠甲库,0=57=12,,2061,1,50,1=3=500|3=5=400|5=6=100,393,3,60,,
100330,13,70级披风库,0=16=6,,2012,1,50,1=2=500|2=3=400|3=4=100,426,2,60,3000|4000,
100331,13,70级披风库,0=22=6,,2015,1,50,1=2=500|2=3=400|3=4=100,427,2,60,,
100332,13,70级披风库,0=24=6,,2016,1,50,1=2=500|2=3=400|3=4=100,428,2,60,5000|7000,
100333,13,70级披风库,0=47=350,,2055,1,50,1=49=500|49=77=400|77=141=100,429,3,60,2000|3000|4000|5000|6000|7000|3201,
100334,13,70级披风库,0=49=80,,2056,1,50,1=12=500|12=18=400|18=33=100,430,3,60,,
100335,13,70级披风库,0=41=6,,2058,1,50,1=2=500|2=3=400|3=4=100,431,3,60,,
100336,13,70级披风库,0=53=5,,2059,1,50,1=2=500|2=3=400|3=4=100,432,3,60,,
100352,14,80级披风库,0=16=7,,2012,1,50,1=2=500|2=3=400|3=4=100,455,2,60,3000|4000,
100353,14,80级披风库,0=22=7,,2015,1,50,1=2=500|2=3=400|3=4=100,456,2,60,,
100354,14,80级披风库,0=24=7,,2016,1,50,1=2=500|2=3=400|3=4=100,457,2,60,5000|7000,
100355,14,80级披风库,0=47=450,,2055,1,50,1=63=500|63=99=400|99=181=100,458,3,60,2000|3000|4000|5000|6000|7000|3201,
100356,14,80级披风库,0=49=100,,2056,1,50,1=14=500|14=22=400|22=41=100,459,3,60,,
100357,14,80级披风库,0=41=8,,2058,1,50,1=2=500|2=3=400|3=4=100,460,3,60,,
100358,14,80级披风库,0=53=6,,2059,1,50,1=2=500|2=3=400|3=4=100,461,3,60,,
100374,15,90级披风库,0=16=8,,2012,1,50,1=2=500|2=3=400|3=4=100,484,2,60,3000|4000,
100375,15,90级披风库,0=22=8,,2015,1,50,1=2=500|2=3=400|3=4=100,485,2,60,,
100376,15,90级披风库,0=24=8,,2016,1,50,1=2=500|2=3=400|3=4=100,486,2,60,5000|7000,
100377,15,90级披风库,0=47=550,,2055,1,50,1=77=500|77=121=400|121=221=100,487,3,60,2000|3000|4000|5000|6000|7000|3201,
100378,15,90级披风库,0=49=125,,2056,1,50,1=18=500|18=28=400|28=51=100,488,3,60,,
100379,15,90级披风库,0=41=10,,2058,1,50,1=3=500|3=4=400|4=5=100,489,3,60,,
100380,15,90级披风库,0=53=7,,2059,1,50,1=2=500|2=3=400|3=4=100,490,3,60,,
100401,16,100级披风库,0=16=10,,2012,1,50,1=3=500|3=4=400|4=5=100,518,2,60,3000|4000,
100402,16,100级披风库,0=22=10,,2015,1,50,1=3=500|3=4=400|4=5=100,519,2,60,,
100403,16,100级披风库,0=24=10,,2016,1,50,1=3=500|3=4=400|4=5=100,520,2,60,5000|7000,
100404,16,100级披风库,0=47=650,,2055,1,50,1=91=500|91=143=400|143=261=100,521,3,60,2000|3000|4000|5000|6000|7000|3201,
100405,16,100级披风库,0=49=150,,2056,1,50,1=21=500|21=33=400|33=61=100,522,3,60,,
100406,16,100级披风库,0=41=12,,2058,1,50,1=3=500|3=5=400|5=6=100,523,3,60,,
100407,16,100级披风库,0=53=9,,2059,1,50,1=3=500|3=4=400|4=5=100,524,3,60,,
100433,17,70级鞋子库,0=14=6,,2011,1,50,1=2=500|2=3=400|3=4=100,557,2,60,2000|5000|6000|3201,
100434,17,70级鞋子库,0=22=6,,2015,1,50,1=2=500|2=3=400|3=4=100,558,2,60,,
100435,17,70级鞋子库,0=24=6,,2016,1,50,1=2=500|2=3=400|3=4=100,559,2,60,5000|7000,
100436,17,70级鞋子库,0=47=350,,2055,1,50,1=49=500|49=77=400|77=141=100,560,3,60,2000|3000|4000|5000|6000|7000|3201,
100437,17,70级鞋子库,0=49=80,,2056,1,50,1=12=500|12=18=400|18=33=100,561,3,60,,
100438,17,70级鞋子库,0=57=7,,2061,1,50,1=2=500|2=3=400|3=4=100,562,3,60,,
100439,17,70级鞋子库,0=53=5,,2059,1,50,1=2=500|2=3=400|3=4=100,563,3,60,,
100455,18,80级鞋子库,0=14=7,,2011,1,50,1=2=500|2=3=400|3=4=100,586,2,60,2000|5000|6000|3201,
100456,18,80级鞋子库,0=22=7,,2015,1,50,1=2=500|2=3=400|3=4=100,587,2,60,,
100457,18,80级鞋子库,0=24=7,,2016,1,50,1=2=500|2=3=400|3=4=100,588,2,60,5000|7000,
100458,18,80级鞋子库,0=47=450,,2055,1,50,1=63=500|63=99=400|99=181=100,589,3,60,2000|3000|4000|5000|6000|7000|3201,
100459,18,80级鞋子库,0=49=100,,2056,1,50,1=14=500|14=22=400|22=41=100,590,3,60,,
100460,18,80级鞋子库,0=57=8,,2061,1,50,1=2=500|2=3=400|3=4=100,591,3,60,,
100461,18,80级鞋子库,0=53=6,,2059,1,50,1=2=500|2=3=400|3=4=100,592,3,60,,
100477,19,90级鞋子库,0=14=8,,2011,1,50,1=2=500|2=3=400|3=4=100,615,2,60,2000|5000|6000|3201,
100478,19,90级鞋子库,0=22=8,,2015,1,50,1=2=500|2=3=400|3=4=100,616,2,60,,
100479,19,90级鞋子库,0=24=8,,2016,1,50,1=2=500|2=3=400|3=4=100,617,2,60,5000|7000,
100480,19,90级鞋子库,0=47=550,,2055,1,50,1=77=500|77=121=400|121=221=100,618,3,60,2000|3000|4000|5000|6000|7000|3201,
100481,19,90级鞋子库,0=49=125,,2056,1,50,1=18=500|18=28=400|28=51=100,619,3,60,,
100482,19,90级鞋子库,0=57=10,,2061,1,50,1=3=500|3=4=400|4=5=100,620,3,60,,
100483,19,90级鞋子库,0=53=7,,2059,1,50,1=2=500|2=3=400|3=4=100,621,3,60,,
100504,20,100级鞋子库,0=14=10,,2011,1,50,1=3=500|3=4=400|4=5=100,649,2,60,2000|5000|6000|3201,
100505,20,100级鞋子库,0=22=10,,2015,1,50,1=3=500|3=4=400|4=5=100,650,2,60,,
100506,20,100级鞋子库,0=24=10,,2016,1,50,1=3=500|3=4=400|4=5=100,651,2,60,5000|7000,
100507,20,100级鞋子库,0=47=650,,2055,1,50,1=91=500|91=143=400|143=261=100,652,3,60,2000|3000|4000|5000|6000|7000|3201,
100508,20,100级鞋子库,0=49=150,,2056,1,50,1=21=500|21=33=400|33=61=100,653,3,60,,
100509,20,100级鞋子库,0=57=12,,2061,1,50,1=3=500|3=5=400|5=6=100,654,3,60,,
100510,20,100级鞋子库,0=53=9,,2059,1,50,1=3=500|3=4=400|4=5=100,655,3,60,,
100511,21,110级武器库,0=14=12,,2011,1,50,1=4=500|4=6=400|6=8=100,111,2,30,2000|5000|6000|3201,
100512,21,110级武器库,0=16=12,,2012,1,50,1=4=500|4=6=400|6=8=100,112,2,30,3000|4000,
100513,21,110级武器库,0=18=12,,2013,1,50,1=4=500|4=6=400|6=8=100,113,2,30,2000|5000|6000|7000|3201,
100514,21,110级武器库,0=20=12,,2014,1,50,1=4=500|4=6=400|6=8=100,114,2,30,3000|4000|7000,
100515,21,110级武器库,0=27=60,,2002,1,50,1=11=500|11=16=400|16=28=100,115,3,30,2000|5000|6000|7000|3201,
100516,21,110级武器库,0=36=60,,2001,1,50,1=11=500|11=16=400|16=28=100,116,3,30,3000|4000,
100517,21,110级武器库,0=28=700,,2000,1,50,1=138=500|138=194=400|194=321=100,117,3,30,2000|5000|6000|7000|3201,
100518,21,110级武器库,0=37=700,,2112,1,50,1=138=500|138=194=400|194=321=100,118,3,30,3000|4000,
100519,21,110级武器库,0=71=700,,2113,1,50,1=138=500|138=194=400|194=321=100,119,3,30,2000|5000|6000|7000|3201,
100520,22,110级饰品库,0=18=12,,2013,1,50,1=4=500|4=6=400|6=8=100,254,2,60,2000|5000|6000|7000|3201,
100521,22,110级饰品库,0=20=12,,2014,1,50,1=4=500|4=6=400|6=8=100,255,2,60,3000|4000|7000,
100522,22,110级饰品库,0=27=60,,2002,1,50,1=11=500|11=16=400|16=28=100,256,3,60,2000|5000|6000|7000|3201,
100523,22,110级饰品库,0=36=60,,2001,1,50,1=11=500|11=16=400|16=28=100,257,3,60,3000|4000,
100524,22,110级饰品库,0=28=700,,2000,1,50,1=138=500|138=194=400|194=321=100,258,3,60,2000|5000|6000|7000|3201,
100525,22,110级饰品库,0=37=700,,2112,1,50,1=138=500|138=194=400|194=321=100,259,3,60,3000|4000,
100526,22,110级饰品库,0=55=3,,2003,1,50,1=2=500|2=3=400|3=5=100,260,3,60,,
100527,22,110级饰品库,0=51=14,,2004,1,50,1=3=500|3=5=400|5=9=100,261,3,60,,
100528,23,110级铠甲库,0=22=10,,2015,1,50,1=3=500|3=5=400|5=7=100,387,2,60,,
100529,23,110级铠甲库,0=24=10,,2016,1,50,1=3=500|3=5=400|5=7=100,388,2,60,5000|7000,
100530,23,110级铠甲库,0=47=800,,2055,1,50,1=132=500|132=196=400|196=341=100,389,3,60,2000|3000|4000|5000|6000|7000|3201,
100531,23,110级铠甲库,0=49=120,,2056,1,50,1=27=500|27=37=400|37=60=100,390,3,60,,
100532,23,110级铠甲库,0=32=12,,2057,1,50,1=3=500|3=6=400|6=8=100,391,3,60,,
100533,23,110级铠甲库,0=41=12,,2058,1,50,1=3=500|3=6=400|6=8=100,392,3,60,,
100534,23,110级铠甲库,0=57=12,,2061,1,50,1=3=500|3=6=400|6=8=100,393,3,60,,
100535,24,110级披风库,0=16=10,,2012,1,50,1=3=500|3=5=400|5=7=100,518,2,60,3000|4000,
100536,24,110级披风库,0=22=10,,2015,1,50,1=3=500|3=5=400|5=7=100,519,2,60,,
100537,24,110级披风库,0=24=10,,2016,1,50,1=3=500|3=5=400|5=7=100,520,2,60,5000|7000,
100538,24,110级披风库,0=47=650,,2055,1,50,1=131=500|131=183=400|183=301=100,521,3,60,2000|3000|4000|5000|6000|7000|3201,
100539,24,110级披风库,0=49=150,,2056,1,50,1=31=500|31=43=400|43=71=100,522,3,60,,
100540,24,110级披风库,0=41=12,,2058,1,50,1=3=500|3=6=400|6=8=100,523,3,60,,
100541,24,110级披风库,0=53=9,,2059,1,50,1=3=500|3=5=400|5=7=100,524,3,60,,
100542,25,110级鞋子库,0=14=10,,2011,1,50,1=3=500|3=5=400|5=7=100,649,2,60,2000|5000|6000|3201,
100543,25,110级鞋子库,0=22=10,,2015,1,50,1=3=500|3=5=400|5=7=100,650,2,60,,
100544,25,110级鞋子库,0=24=10,,2016,1,50,1=3=500|3=5=400|5=7=100,651,2,60,5000|7000,
100545,25,110级鞋子库,0=47=650,,2055,1,50,1=131=500|131=183=400|183=301=100,652,3,60,2000|3000|4000|5000|6000|7000|3201,
100546,25,110级鞋子库,0=49=150,,2056,1,50,1=31=500|31=43=400|43=71=100,653,3,60,,
100547,25,110级鞋子库,0=57=12,,2061,1,50,1=3=500|3=6=400|6=8=100,654,3,60,,
100548,25,110级鞋子库,0=53=9,,2059,1,50,1=3=500|3=5=400|5=7=100,655,3,60,,
