Id,FunctionID,Type,ActivitySortId,ActivityName,AtlasName,IconName,TerrainAtlas,TerrainIconName,ContentPicAtlas,ContentPicName,AcitiveTimes,AcitiveAwardTimes,AcitiveAward,Lable1,Lable2,DoubleDate,TimeNotice,ProgressDisplayNew,CompletedState,ActiveType,TimeCycle,TimePass,StartTime,ServerOpenTimeLimit,ServerLevelLimit,ResetTimeType,AcitiveText,AwardText,TeamTargetType,isTeamActivity,isTimesLimited,LevelTextDisplay,ModeTextDisplay,TimeTextDisplay,ProgressDisplay,CustomTextDisplay,HelpTextId,RewardDisplay,PushTime,TextBeforeStartTime,TextAfterStartTime,LuaScript,Position,isMapDisplay,NeedNotice,ScenePosition,IsFAQImport,TaskChapter,TaskTimeLimit,WayToObtainKey
13,5131,1,40,猫手商队,Icon01,UI_Icon_Maoshoushanghui.png,,,DailyTaskPic,UI_functionOpen_Pic46.png,1,1,10,2=声望,1|3|4,6,,每日   {0}/{1},0,0,1|2|3|4|5|6|7,00=00,,,0,2,帮助建设绵绵岛，提供物资就可获得声望，提升自己各种勋章的等级哦,3900011,,0,0,50级及以上,单人,全天,,,1=MAOSHOU_TIPS_CONTENT,402,,,,,,,,21=175.48=17.24=177.13,1,,,全天
14,5140,1,,极限挑战,Icon01,UI_Icon_Yingxiongtiaozhan.png,DailyTaskIcon,UI_DailyTaskPic_Jixiantiaozhan.png,DailyTaskPic,UI_functionOpen_Pic36.png,,1,5,2=经验,,,1,,0,2,2|4,2030=2200,,0,0,1,配合挑战高难度关卡，一起享受战斗的乐趣，通关可获得丰厚奖励,3900012,0=9000,1,0,40级及以上,组队,20:30-22:00,,,1=HERO_CHALLENGE_CONTENT,201|101|3024023|5007,,,,,239.3=-161.8,,,,0,,,周二、四 20:30-22:00
15,7009,1,140,公会狩猎,Icon02,UI_Icon_Gonghuishoulie.png,DailyTaskIcon,UI_DailyTaskPic_Gonghuishoulie.png,DailyTaskPic,UI_functionOpen_Pic28.png,,,,2=公会贡献,2|4,,1,111,0,0,1|2|3|4|5|6|7,1000=2200,,0,0,3,公会成员一起进行狩猎，完成骑士团的任务,3900020,,1,1,50级及以上,单人/组队,会长/副会长开启,,,1=GUILDHUNT_INFO_MAINTXT,401|101|102,,公会狩猎已经开启，赶快前往参与吧,,,-427.5=-124.7,,,,1,,,会长/副会长开启
16,2003,1,,主题派对,Icon01,UI_Icon_Paidui.png,DailyTaskIcon,UI_DailyTaskPic_Zhutipaidui.png,DailyTaskPic,UI_functionOpen_Pic39.png,,,,2=经验,,,1,,0,2,7,2000=2030,2000,0,0,3,享受周末的休闲时光，参与就有可能中大奖哦~,3900018,,0,2,15级及以上,单人,20:00-20:30,,,1=PARTY_MAIN_INFORMATION,201|5007|2090031,1955|1959,主题派对将在{0}后开始，前往派对享受休闲时光吧~,,,67.3=-50,,,,1,,,周日 20:00-20:30
17,5160,7,110,天地树守卫战,Icon02,UI_Icon_Tiandishushouwei.png,DailyTaskIcon,UI_DailyTaskPic_Shouweitiandishu.png,DailyTaskPic,UI_functionOpen_Pic29.png,,1,10,2=佣兵,2|3|4,,,每日   {0}/{1}\n每周   {2}/{3},0,0,,00=00,,0,0,3,抵挡大量魔物的袭击，守护天地树！,3900019,,0,1,42级及以上,单人/组队,全天,本周：{0} 今日：{1},本周：{0} 今日：{1},1=TD_INFO_TIP,201|101|3027001,,,,, -172.7=1.3,,,,1,,,全天
18,5161,7,,双人天地树守卫战,Icon02,UI_Icon_Tiandishushouwei.png,DailyTaskIcon,UI_DailyTaskPic_Shouweitiandishu.png,DailyTaskPic,UI_functionOpen_Pic29.png,,,,2=佣兵,,,0,每周   {0}/{1},0,2,6|7,1000=2400,,0,0,3,抵挡大量魔物的袭击，守护天地树！,3900019,1=10000,1,1,42级及以上,组队,10:00-24:00,本周：{0},,1=TD_INFO_TIP,201|101|3027001,,,,, -172.7=1.3,,,16=42.4=17.02=105.8,,,,周六、日 10:00-24:00
19,7012,1,,周末宴会,Icon01,UI_Icon_zhoumoyanhui.png,DailyTaskIcon,UI_DailyTaskPic_Gonghuiyanhui.png,DailyTaskPic,UI_functionOpen_Pic35.png,,,,2=公会贡献,,,1,,0,2,6,2000=2020,2000,0,0,1,参加周末宴会，进行公会间烹饪比赛，争夺厨神荣耀~,3900009,,0,2,16级及以上,单人/组队,20:00-20:20,,,1=BANQUET_CONTENT_CN_WORD,401|201|5007,1955|1959,周末宴会烹饪比赛将在{0}后开始，赶紧参加吧~,,,-308.2=-237.3,,,,1,,,周六 20:00-20:20
20,15101,1,,公会匹配赛,Icon02,UI_Icon_Match.png,DailyTaskIcon,UI_DailyTaskPic_Leitai.png,DailyTaskPic,UI_functionOpen_Pic38.png,,,,2=公会贡献,,,1,,0,2,3,2030=2120,2100,0,0,3,为了公会的荣耀而战吧！,3900028,,0,0,50级及以上,组队,20:30~21:20,,,1=GUILDMATCH_INFO_MAINTXT_SHORT,401|101|5007,2045|2050|2055,公会匹配赛将在{0}后开始，需队伍全员集合才能进入等候区,,, -318.2=-65.5,,,,1,,,周三 20:30-21:20
21,15010,1,,时尚周刊,Icon02,UI_Icon_Shishanghuodong.png,DailyTaskIcon,UI_DailyTaskPic_Shishangzhoukan.png,DailyTaskPic,UI_functionOpen_Pic39.png,,,,2=道具,,,0,,0,2,3,0500=2400,500,0,0,3,主题街拍大赛开始了，全民参与，人人有奖，说不定你就是下一个闪耀全城的新星,3900027,,0,0,40级及以上,单人,05:00~24:00,,,,2034003|2035002|101,,,,,-200.2=-125.3,,,,1,,,周三 05:00-24:00
22,15201,8,,攻城战,Icon01,UI_Icon_Zhanchang.png,DailyTaskIcon,UI_DailyTaskPic_Zhanchang.png,DailyTaskPic,UI_functionOpen_Pic37.png,,,,2=道具,,,1,,0,2,4|7,2050=2200,2100,0,60,1,众多公会中，谁能最终占领城堡？,3900029,,0,0,60级及以上,单人/组队,周日20:50-22:00,,,1=GVG_INTRODUCTION,803|3024024|3024023|2091183|2091184,,,,,-21.4=-315.2,,,,1,22002250|22002251|22002252|22002260|22002270,500=2000,周四、日 20:50-22:00
23,15301,1,,霍德尔梦境,Icon02,UI_Icon_Mingjiezhiying.png,DailyTaskIcon,UI_DailyTaskPic_Mingjiezhiying.png,DailyTaskPic,UI_functionOpen_Pic44.png,,,,2=宠物,,,1,,0,2,1|2|3|4|5|6|7,1800=2000,1800,0,40,3,在霍德尔梦境中消灭噩梦，收集梦境水晶，获得霍德尔的秘宝，还有许多适合宠物佩戴的饰品哦！,3900031,,0,0,40级及以上,单人/组队,18:00-20:00,,宠物协助作战,1=PET_DUNGEON_HELP,806|91030|90050,1755|1759,霍德尔梦境将在{0}后开启，去普隆德拉寻找格丽塔吧~,,,254=50,,,1=25.17=7.45=118.97,1,,,18:00-20:00
24,5170,1,100,心之道场,Icon02,UI_Icon_Xinzhidaochang.png,DailyTaskIcon,UI_DailyTaskPic_Xinzhidaochang.png,DailyTaskPic,UI_functionOpen_Pic41_wcx.png,,1,10,2=宠物,3|4,,,每周   {0}/{1},0,0,,00=00,,0,0,3,道场中与宠物一起磨练意志，向更强者挑战，相信心的力量！\n<color=#FF0000>道场中宠物的生命和力量都有所提升！</color>,3900030,,0,1,42级及以上,单人&宠物,全天,本周：{0} ,本周：{0} ,2=30,811|91020|90050|90210|90650|90640|90630|90620,,,,,370.9=-262.8,,,47=130.8=15.96113=133.53,1,,,全天
25,12101,1,,时空模拟战,Icon02,UI_Icon_Ranked5V5.png,DailyTaskIcon,UI_DailyTaskPic_Ranked5V5.png,DailyTaskPic,UI_functionOpen_Pic41.png,,1,15,2=道具,,,1,,0,2,1|3|5,2000=2200,,0,0,2,参与时空模拟战，与其他玩家组队竞技，提升自己的排位段位，获取大量奖励~,8700260,0=12000,1,0,70级及以上,单人/组队,20:00-22:00,,当开启时空决胜赛时，时空模拟战不开启,1=5V5PVP_INTRODUCTION,1500000|1500011|1501000,,时空模拟战将在{0}后开始，赶紧参加吧~,,,46=142.5,,,,1,,,周一、三、五 20:00-22:00
26,5060,1,30,恶魔宝藏,Icon02,UI_Icon_emobaozang.png,DailyTaskIcon,UI_DailyTaskPic_Leitai.png,DailyTaskPic,UI_functionOpen_Pic45.png,,1,1,2=Zeny,1|3|4,1,,每日   {0}/{1},0,0,,00=00,,0,0,2,别开生面的3V3擂台挑战赛，和小伙伴一起角逐战斗荣耀。,3900006,,0,0,40级及以上,单人,全天,,,1=EVIL_TIPS_CONTENT,1170033|3020010|5030|2090025|101,,,,,282.2=-134.1,,,,1,,,
27,117,1,20,委托,Icon02,UI_Icon_Weituo02.png,DailyTaskIcon,UI_DailyTaskPic_Gonghuiyanhui.png,DailyTaskPic,UI_functionOpen_Pic49.png,,10,5,2=经验,1|2|4,7,,委托券   {0}/{1},0,0,,00=00,,0,0,2,参与公会组织的宴会，有可能成为宴会的主角，挂机经验和丰富奖励等着你来~,3900009,,0,0,16级及以上,单人/组队,全天,,,1=ENTRUST_TIPS_CONTENT,201|202|102|5007|401,,,,,-308.2=-237.3,,,,1,,,
28,5250,1,70,MINI,Icon02,UI_Icon_jishamini.png,DailyTaskIcon,UI_DailyTaskPic_Leitai.png,DailyTaskPic,UI_functionOpen_Pic48.png,,1,3,2=首饰,1|3|4,3,,每日   {0}/{1},0,0,,00=00,,0,0,2,别开生面的3V3擂台挑战赛，和小伙伴一起角逐战斗荣耀。,3900032,,0,0,40级及以上,单人/组队,全天,,,1=MINI_TIPS_CONTENT,5009|5007|5012|5004,,,,,282.2=-134.1,,,,1,,,
29,5260,1,80,精英怪,Icon02,UI_Icon_jishajingying.png,DailyTaskIcon,UI_DailyTaskPic_Gonghuiyanhui.png,DailyTaskPic,UI_functionOpen_Pic47.png,,1,3,2=经验,1|2|4,4,,每日   {0}/{1},0,0,,00=00,,0,0,2,参与公会组织的宴会，有可能成为宴会的主角，挂机经验和丰富奖励等着你来~,3900009,,0,0,16级及以上,单人/组队,全天,,,1=JINGYING_TIPS_CONTENT,201|202,,,,,-308.2=-237.3,,,25=125=12=127,1,,,
30,153,1,5,祈福经验,Icon02,UI_Icon_Peishi.png,DailyTaskIcon,UI_DailyTaskPic_Mowuquzhu.png,DailyTaskPic,UI_functionOpen_Pic26.png,,,,2=经验,2|4,,,今日战斗{0}分钟 ({1}),0,0,,00=00,,0,0,2,探险者协会为前去驱逐魔物的冒险者提供每日祝福，持续60分钟，可累积最多420分钟。,3900005,,1,0,30级及以上,单人/组队,每天,,今日战斗时间{0}分钟,,,,,,,,,,,0,,,全天
31,5200,1,6,魔王之痕,Icon01,UI_Icon_Guaji.png,DailyTaskIcon,UI_DailyTaskPic_Mowuquzhu.png,DailyTaskPic,UI_functionOpen_Pic26.png,,1,10,2=材料,1|4,5,,每日   {0}/{1},0,0,,00=00,,0,0,2,梦罗克在人间残留的痕迹吸引源源不断的魔物，驱逐这些魔物吧,3900033,,0,0,40级及以上,单人,每天,,推荐使用克制属性,,5012|5013|101,,,,,,,,7=75.37=9.82=202.54,0,,,全天
