ID,TalkLanguage,AudioPath,TalkTime,Pos,Scale,IsDistinguishSex,LocalizationArea,Area
75,既已选择加入，那就要怀着一颗感恩的心，守护和壮大自己的职业公会！,,3,,,,,
76,今后不管面临什么困难与磨练，都不要放弃走下去的路。,,3,,,,,
77,不忘初心，月光总是照亮路给已经准备好的人！,,2.5,,,,,
78,既已选择加入，那就要怀着一颗感恩的心，守护和壮大自己的职业公会！,,3,,,,,
79,今后不管面临什么困难与磨练，都不要放弃走下去的路。,,3,,,,,
80,不忘初心，月光总是照亮路给已经准备好的人！,,2.5,,,,,
81,既已选择加入，那就要怀着一颗感恩的心，守护和壮大自己的职业公会！,,3,,,,,
82,今后不管面临什么困难与磨练，都不要放弃走下去的路。,,3,,,,,
83,不忘初心，月光总是照亮路给已经准备好的人！,,2.5,,,,,
84,既已选择加入，那就要怀着一颗感恩的心，守护和壮大自己的职业公会！,,3,,,,,
85,今后不管面临什么困难与磨练，都不要放弃走下去的路。,,3,,,,,
86,不忘初心，月光总是照亮路给已经准备好的人！,,2.5,,,,,
87,既已选择加入，那就要怀着一颗感恩的心，守护和壮大自己的职业公会！,,3,,,,,
88,今后不管面临什么困难与磨练，都不要放弃走下去的路。,,3,,,,,
89,不忘初心，月光总是照亮路给已经准备好的人！,,2.5,,,,,
93,再见……即使这条道路有再多波折，也请不忘初心，不忘对未来的希望。,event:/CV/Cutscene/CS_12,2.5,,,,,26
101,继续使用!看看它怕什么!,,2.5,,,,,
102,啊啊啊啊啊……好痛苦啊………,,2.5,,,,,
103,有反应了!快去念诵驱魔圣籍上的文字,,2.5,,,,,
104,不要畏惧…净化这些污浊之物！,,2.5,,,,,
105,现在，继续念诵神圣的文字吧！,,2.5,,,,,
106,凡人，这具躯体属于我……,,2.5,,,,,
107,恶魔被驱逐了！来检查一下这个人。,,2.5,,,,,
108,呀比呀比！戳死你这个蠢货！,,2.5,,,,,
109,愚蠢的凡人……你信仰的神毫无用处……,,2.5,,,,,
110,哈哈……奥丁是个骗子……,,2.5,,,,,
111,剑士是这世界上最耀眼的职业!,,2.5,,,,,
112,愿你的弓弦鸣动脆响,,2.5,,,,,
113,你这个胆小鬼……哈哈哈哈……,,2.5,,,,,
114,大人饶命，我给你跳个舞……,,2.5,,,,,
115,你这个胆小鬼……哈哈哈哈……,,2.5,,,,,
116,喵喵喵？大人饶命……,,2.5,,,,,
117,哈哈，逃命吧，蠢家伙。,,2.5,,,,,
118,做的不错，我在教堂等你,,2.5,,,,,
119,现在，去墓地看看你的身体是否已经接受了圣属性的元素吧,,3,,,,,
120,去查一查是什么恶魔占据了它的身体？,,3,,,,,
121,如果使用了错误的神术，将会打破圣与暗的平衡……,,2.5,,,,,
122,哈哈哈，你们永远也杀不死我……这个凡人将会成为我重生的祭品！,,3,,,,,
123,可恶的服事！这具躯体是我的！不要试图驱散我！,,3,,,,,
124,这就是使用了错误驱魔手段的结果……招来裂隙恶魔,,3,,,,,
125,进入光明!我命令你!,,3,,,,,
126,哈哈哈哈，愚蠢的凡人，这个人类的躯体我收下了，带回深渊当零食……,,3,,,,,
127,谢谢你！把我的儿子从恶魔手里救回来了！,,3,,,,,
128,喵喵喵？你是怎么看到我们的……,,2.5,,,,,
129,哇哇哇，再也不敢了……,,2.5,,,,,
130,谁让你砍掉我们居住的大树的……愚蠢的人类……,,2.5,,,,,
131,说的都是什么呀……再找找正确的情报吧,,2.5,,,,,
132,嗯……猜的没错的话，暗号应该是“一切都是混沌的旨意”,,2.5,,,,,
133,呼……总算是拿到了盒子，现在应该去找基德碰面了。,,2.5,,,,,
134,一切都是混沌的旨意……影刃基德，听从召唤而来。,,2.5,,,,,
135,奇怪……明明有两封信，那封写了K的是给谁的？,,2.5,,,,,
136,(思考)嗯…这封印着“TO.B”的信帮我交给班波，别拿错了。,,3,,,,,
137,嗯……《卢恩史诗》？看起来像书名，去图书馆找找看吧。,,3,,,,,
138,卡努，你终于回来了！,,2.5,,,,,
139,天啊……王子居然不是因为诅咒而死，难道是死于……谋杀？得找班波问个清楚！,,3,,,,,
140,可恶！班波果然隐瞒了什么，到底要怎么样才能知道事情的真相！,,3,,,,,
141,这……不是露克希交给我信的瞬间吗？线索难道是那封寄给K的信？,,3,,,,,
142,（低声）请注意字条上关于《卢恩史诗》的提示……我只能帮你这些了。,,3,,,,,
143,这个东西……不是属于你们的。,event:/CV/Cutscene/CS_100041_01,3,,,,,24
144,又是白面具吗，伊米尔之心碎片，绝不能落到你们手上！,event:/CV/Cutscene/CS_100041_02,3,,,,,24
145,休想！,event:/CV/Cutscene/CS_100041_03,3,,,,,24
146,可恶！！！,event:/CV/Cutscene/CS_100041_04,3,,,,,24
147,趁她们还没过来……我们快分头走！把这个藏好，谁也不要给！否则……,event:/CV/Cutscene/CS_100041_05,3,,,,,24
148,哼哼……刺客么……真是碍眼的家伙，看你能跑到哪里去。,event:/CV/Cutscene/CS_100041_06,3,,,,,24
149,陛下……，已经都就绪了，只等您前往艾尔贝塔,,3,,,,,
150,这有什么好看的？我要的是那个人！,,3,,,,,
151,陛下，正是那个人啊,,3,,,,,
152,你要是敢欺骗本王，下场可是会非常难看,,3,,,,,
153,她就快不行了，大家小心，抓住这个可恶的教国人！,event:/CV/Cutscene/CS_100043_01,3,,,,,8
154,卢恩人，你们就这么想死吗？感受神的力量吧！！,event:/CV/Cutscene/CS_100043_02,3,,,,,8
155,狡猾的狐狸……另外半块居然是被你拿走的……还妄图嫁祸给我,event:/CV/Cutscene/CS_100043_03,3,,,,,8
156,收集伊米尔之心碎片，是女神赐予我们的职责，你们激进派也来抢，本来就是大逆不道的行为！,event:/CV/Cutscene/CS_100043_04,3,,,,,8
157,好大的口气，小子……你弟弟也是在我手下的祭司，不知道他知不知道自己哥哥这么心狠手辣,event:/CV/Cutscene/CS_100043_05,3,,,,,8
158,少废话，你以为神之力是这么短时间就可以学会驾驭的吗？别亵渎了神！,event:/CV/Cutscene/CS_100043_06,3,,,,,8
159,接下来的事……不是你应该知道的……睡吧,event:/CV/Cutscene/CS_100043_07,3,,,,,8
160,（朦胧的声音）……站住！……骑士团！……命令！,event:/CV/Cutscene/CS_100043_08,3,,,,,8
161,通过这个仪式……我们就能定位出伊米尔之心的位置了……,event:/CV/Cutscene/CS_100044_01,3,,,,,26
162,就是这个人！是共和国间谍，害死了古娜队长，抓住他！,event:/CV/Cutscene/CS_100051_01,3,,,,,10
163,咳……,event:/CV/Cutscene/CS_100051_02,3,,,1,,8
164,快走！这是个陷阱！,event:/CV/Cutscene/CS_100051_03,3,,,,,10
165,上古之时……人类被魔神蛊惑……元素失常，魔物暴动……,event:/CV/Cutscene/CS_100053_01,3,,,,,26
166,魔神妄图借信徒之手现世，向信徒传达了3个条件,event:/CV/Cutscene/CS_100053_02,3,,,,,26
167,无数的生命造就无穷的意志，以召唤无尽的混沌……,event:/CV/Cutscene/CS_100053_03,3,,,,,26
168,无数的生命被献祭，用于造就无穷的意志,event:/CV/Cutscene/CS_100059_01,3,,,,,26
169,无知的信徒搜集了破损的上古神器盐柱，并举行仪式对其进行修复,event:/CV/Cutscene/CS_100059_02,3,,,,,26
170,盐柱的光芒所及之处，就是生命力枯竭之所……,event:/CV/Cutscene/CS_100059_03,3,,,,,26
171,信徒的首领利用无数的生命献祭将盐柱修复，用于召唤无尽的混沌,event:/CV/Cutscene/CS_100060_01,3,,,,,26
172,盐柱的能量撕裂了次元，无尽的混沌便是人类灭亡的前兆……,event:/CV/Cutscene/CS_100060_02,3,,,,,26
173,以魔神梦罗克为首的魔神大军终于跨越了深渊，来到中庭，对人类大肆侵略,event:/CV/Cutscene/CS_100060_03,3,,,,,26
174,迎接你们的救赎吧！,event:/CV/Cutscene/CS_100054_01,3,,,,,10
175,糟糕，有人劫狱！,event:/CV/Cutscene/CS_100055_01,3,,,,,8
176,你们还是太嫩，这人不是属于你们的，我就带走了,event:/CV/Cutscene/CS_100055_02,3,,,,,8
177,恶魔的嚎叫……,event:/CV/Cutscene/CS_100056_01,3,,,,,24
178,巴雷蒙德……你？,event:/CV/Cutscene/CS_100056_02,3,,,1,,8
179,吼！,event:/CV/Cutscene/CS_100056_03,3,,,,,24
180,好强大的力量！这是？,event:/CV/Cutscene/CS_100062_01,3,,,,,26
181,"睡去吧..""",event:/CV/Cutscene/CS_100062_02,3,,,,,26
182,你果然做了叛徒！,event:/CV/Cutscene/CS_100063_01,3,,,,,8
183,值得吗……弟弟？,event:/CV/Cutscene/CS_100063_02,3,,,,,8
184,（沉默）,event:/CV/Cutscene/CS_100063_03,3,,,,,8
185,只可惜是自投罗网！,event:/CV/Cutscene/CS_100063_04,3,,,,,8
186,白女巫！梦罗克的恐怖袭击都是你谋划的吧！你到底想干什么？,event:/CV/Cutscene/CS_100064_01,3,,,,,8
187,记住我的话，你们卢恩王国的人，出生就是种罪孽，我是来净化你们的！,event:/CV/Cutscene/CS_100064_02,3,,,,,8
188,糟了，周围的空间在扭曲，我们快走,event:/CV/Cutscene/CS_100064_03,3,,,,,8
189,晚了……小绵羊们。,event:/CV/Cutscene/CS_100064_04,3,,,,,8
190,糟糕……当心！呃啊……,event:/CV/Cutscene/CS_100067_01,3,,,,,26
191,高层派你来是协助白女巫大人的，可你除了感情用事，还做成了什么？,event:/CV/Cutscene/CS_100067_02,3,,,,,8
192,由于你的优柔寡断，把祭品巴雷蒙德丢了……,event:/CV/Cutscene/CS_100067_03,3,,,,,26
193,现在，只能用你们两作为替代了，哼哼……,event:/CV/Cutscene/CS_100067_04,3,,,,,8
194,给你们留个全尸，自己跳进去吧，魔神大人喜欢活的,event:/CV/Cutscene/CS_100067_05,3,,,,,26
195,弟弟，坚强的活下去吧……,event:/CV/Cutscene/CS_100067_06,3,,,,,26
196,不！！！,event:/CV/Cutscene/CS_100067_07,3,,,,,26
197,都是你们！！！我的哥哥因你们而死！！偿命吧！！！啊啊啊啊啊,event:/CV/Cutscene/CS_100067_08,3,,,,,26
198,这……这就是印记刺客吗……看起来好像在解毒……,event:/CV/Cutscene/CS_100070_01,3,,,,,26
199,……魔王入侵后，卢恩皇室被打的节节败退，生灵涂炭……,event:/CV/Cutscene/CS_100075_01,3,,,,,8
200,魔剑士达纳托斯与之大战七天七夜，终于将魔王成功击败,event:/CV/Cutscene/CS_100075_02,3,,,,,8
201,但恶魔无法被杀死……所以卢恩教廷在沙漠将魔王封印,event:/CV/Cutscene/CS_100075_03,3,,,,,8
202,并在封印上建起一座城堡，用于镇压魔王。,event:/CV/Cutscene/CS_100075_04,3,,,,,8
203,魔剑士本人因为受到魔神诅咒，灵魂被污染……分裂成为四个魔物，,event:/CV/Cutscene/CS_100075_05,3,,,,,8
204,于是他命令后人将他封印在达纳托斯之塔塔顶……,event:/CV/Cutscene/CS_100075_06,3,,,,,8
205,邪魔们袭击梦罗克，妄图解除魔神梦罗克的封印……,event:/CV/Cutscene/CS_100075_07,3,,,,,8
206,而神秘的印记刺客们，早已盯上了邪魔……,event:/CV/Cutscene/CS_100075_08,3,,,,,8
207,邪魔们攻入了梦罗克城，无辜的平民被杀害……,event:/CV/Cutscene/CS_100075_09,3,,,,,8
208,印记刺客奋力斩杀魔神的爪牙，阻止了这场屠杀,event:/CV/Cutscene/CS_100075_10,3,,,,,8
209,魔神在凡人身上留下了恶魔的种子，凡人终将变为恶魔,event:/CV/Cutscene/CS_100075_11,3,,,,,8
210,而印记刺客露希尔，利用所罗门之钥给平民解毒,event:/CV/Cutscene/CS_100075_12,3,,,,,8
211,刺客们，亮出你们的刀刃，净化这些邪恶！,event:/CV/Cutscene/CS_100073_01,3,,,,,26
212,沉睡在凡尘的圣与暗啊……赐予我净化的力量吧！,event:/CV/Cutscene/CS_100074_01,3,,,,,24
213,好强大的力量……太难驾驭了……唔……,event:/CV/Cutscene/CS_100077_01,3,,,,,26
214,帮帮我，我毫无恶意！,event:/CV/Cutscene/CS_100078_01,3,,,,,10
215,别信她，她本不应该存在于世上！,event:/CV/Cutscene/CS_100078_02,3,,,,,10
216,听好了，卢恩人，她是个伪神,event:/CV/Cutscene/CS_100078_03,3,,,,,10
217,真是冥顽不灵……喝！,event:/CV/Cutscene/CS_100079_01,3,,,,,10
218,住手,,3,,,,,
219,太晚了！魔神已经苏醒了！,,3,,,,,
220,斩破这虚空吧……以光与暗的名义！,,3,,,,,
221,这是……巴雷蒙德？,,3,,,,,
222,哼……碍事的家伙,,3,,,,,
223,我已经知道是怎么回事了……这不是你该来的地方，恶魔！,,3,,,,,
224,呃啊……,,3,,,,,
225,梦罗克危机看似暂时解除……,,3,,,,,
226,但是依据教廷典籍记载，恶魔根本无法在物质位面被消灭,,3,,,,,
227,而如今卢恩王国已经一片狼藉，,,3,,,,,
228,国王被捕，王子被杀，内奸扎堆，骑士团不务正业，邪恶依然在暗中活动……,,3,,,,,
251,即将有30波魔物攻击这里，你的首要任务就是阻止他们攻击树根,,4,,,,,
252,在召唤阵内，你可以消耗魔力召唤英灵或者使用英灵技能增强英灵,,4,,,,,
253,击杀魔物可以获得魔力，魔力同样也会随着时间逐渐补充。加油！冒险者！,,4,,,,,
10001,冒险者……帮帮我好吗？呜呜呜……,,3,,,,,
10002,啊……忠实骑士，你受伤了……,,3,,,,,
10003,嗯？前面有打斗的声音……小野猪就在前面！,,3,,,,,
10004,什么人？下水道危险，除了讨伐队禁止入内！,,2.5,,,,,
10027,哇！烟花烟花！烟花好美啊！,event:/CV/Cutscene/CS_13_01,2.5,,,,,26
10028,想和妈妈一起看看这美丽的烟花……,event:/CV/Cutscene/CS_13_02,2.5,,,,,26
10029,……呜呜呜…….真的好想……见见妈妈……,,2.5,,,,,
10030,呜呜呜……姐姐哭了……呜呜呜……,,2.5,,,,,
10037,你不要担心，我会带你出去的。,event:/CV/Cutscene/CS_16_01,3,,,1,,8
10038,啊！你没事吧？,event:/CV/Cutscene/CS_16_02,3,,,,,8
10039,没有人能阻止我和我的妻子重聚！,event:/CV/Cutscene/CS_16_03,3,,,,,8
10041,克莱尔，我们一会见……,event:/CV/Cutscene/CS_16_05,3,,,,,8
10042,哦……不…………卡尔，你，你做了什么……,,3,,,,,
10043,克莱尔？！你……,,2.5,,,,,
10044,啊——！血，我要血！血——————！！！,event:/CV/Cutscene/CS_16_08,3,,,,,8
10045,她已经魔化了！快杀了她！,event:/CV/Cutscene/CS_18_01,3,,,,,8
10046,不！不要————！！！,event:/CV/Cutscene/CS_18_02,3,,,,,8
10047,克莱尔……我的挚爱……,event:/CV/Cutscene/CS_18_03,3,,,,,8
10048,不……卡尔…………不要怨恨任何人……好好的……活下去……,event:/CV/Cutscene/CS_18_04,3,,,,,8
10049,不…………,event:/CV/Cutscene/CS_18_05,3,,,,,8
10050,卡尔西，你要做什么？！快停下！,event:/CV/Cutscene/CS_18_06,3,,,,,8
10051,对不起，我的朋友，失去克莱尔，我无法再活下去了……,event:/CV/Cutscene/CS_18_07,3,,,,,8
10052,请帮我跟他说一声……对不起……,event:/CV/Cutscene/CS_18_08,3,,,,,8
10053,前面有一些杂乱的脚印，先去查看一下吧,,3,,,,,
10054,前面还有，是忠实骑士……一定是忠实骑士……,,3,,,,,
10055,脚印到这里就消失了，应该就是这个方向，我们再深入看看吧！,,3,,,,,
10056,嗯……这并没有异常啊，再回去问问杰瑞吧！,,3,,,,,
10057,巴风特会在哪里呢？嗯？！旁边有人，去问问吧！,,3,,,,,
10058,教官就在里面，我先进去，你赶紧进来。,,3,,,,,
10059,咦，旁边那是什么？好奇怪啊，过去看看！,,3,,,,,
10060,什么人？下水道危险，除了讨伐队禁止入内！,,3,,,,,
10061,这边似乎有受伤的冒险者，快过来！,,3,,,,,
10062,别过来……忠实骑士，这位冒险者是你的伙伴吗？,,3,,,,,
10063,果然有结界封印，这一定是用来豢养魔物的，破坏它！,,3,,,,,
10064,我……我似乎想起了些什么……,,3,,,,,
10065,好了，你可以进去了，这里面很危险，你要小心。,,3,,,,,
10066,这……似乎是个茧……不对，里面有人！快救他出来！,,3,,,,,
10067,穿过前面那座桥就可以进入学院了，请跟我来。,,5,,,,,
10068,看，这就是学院的小花园了，漂亮吧？我先进去，你等会儿别忘了进来找我哦。,,5,,,,,
10069,教授和他的朋友就在旁边的房间里面，我们去找他吧。,,3,,,,,
10070,嘿，这里！教授似乎很投入，看来我们不得不打断他了……,,5,,,,,
10071,站住，这里不能随便进入，你来这里是做什么的？！,,3,,,,,
10072,开始吧，利用验毒药剂检查王子的遗体。,,3,,,,,
10073,验毒药剂在大王子身上没有产生任何变化……,,3,,,,,
10074,二王子身上的蛇纹发生了剧烈反应，他是中教国之毒而死！,,3,,,,,
10075,接触到验毒药剂的小王子身上的蛇纹也消失了……,,3,,,,,
10076,被瓦尔基里选中的人？对了，在英灵殿她给过我一块宝石……,,3,,,,,
10077,你……你怎么会有这个东西？,,3,,,,,
10078,站住，找得温老师签名是要排队的啊！,,3,,,,,
10079,好吧，你跳得真好，你先去找得温老师吧！,,3,,,,,
10080,是谁召唤了我？嗯？怎么是你！,,3,,,,,
10081,冒险者，你好，能帮帮我吗？,,3,,,,,
10082,这柄断剑与破裂之剑很吻合，拔出来看看,,3,,,,,
10083,果然很吻和，咦，有张纸条，拾起来看看,,3,,,,,
10084,蔬菜小姐似乎不在家……嗯？旁边有小孩，去问问吧……,,3,,,,,
10085,看来就是这里了，线索里面提到了房顶，攀上房顶去看看吧。,,3,,,,,
10086,缺口刚好可以放置克莱尼茨给的石阀，试一下！,,3,,,,,
10087,石板居然从缺口里出来了！原来石板就藏在这里！,,3,,,,,
10088,嗯？有人跟踪我！是克莱尼茨，他怎么会在这里，下去问问……,,3,,,,,
10089,果然是这样！,,3,,,,,
10090,看来这个石像并没有什么异常,,3,,,,,
10091,不好，石像有异动……居然出现了一只魔物！,,3,,,,,
10092,好神奇，魔物消失后居然化作了一块石板！,,3,,,,,
10093,就是现在，快使用魔法精粹！,,3,,,,,
10094,咳咳……我……我到底做了什么……,,3,,,,,
10095,大王子身上有明显的蛇纹……,,3,,,,,
10096,二王子身上也有蛇纹，但是比大王子身上的浅。,,3,,,,,
10097,小王子身上的蛇纹更浅，而且……排布的并不规律。,,3,,,,,
10098,露克希的灵魂碎片就在我身后，你看看吧！,,3,,,,,
10100,过来吧，这里是皇室的禁地，安息之间。,,3,,,,,
10101,你是谁，找我们老大干什么？她岂是每一个阿猫阿狗都能见的！,event:/CV/Cutscene/CS_100040_04,3,,,,,26
10102,波利王来了！不想死的话就快打败它！,,3,,,,,
10103,是谁在召唤我……嗯？是你呀！你怎么来了？找我有什么事吗？,,3,,,,,
10104,走咯，我们可以去训练场了，请跟我来。,,3,,,,,
10105,抛却杂念，怀着虔诚的心向女武神致敬！迎接她的召唤吧！,,4,,,,,
10106,向女武神致敬可是一件很神圣的事情……我还是再和你唠叨两句吧！,,4,,,,,
10107,哇，你们速度真快，典礼台还没搭建好，需要再稍等一下下呢。,,5,,,,,
10108,教官在外面的训练场，我们在外面等你哦！,,3,,,,,
10109,嘿，快过来，我在这里！,,2.5,,,,,
10110,不用过去了，我在这里！,,3,,,,,
10111,谁是导师呢？嗯？旁边那位好像就是……去问问吧！,,3,,,,,
10112,我很无语，就让这群魔物陪这个厨师解闷吧，我再往前去……,,4,,,,,
10113,照片墙在这边，请跟我来！,,3,,,,,
10114,快过来，马上就要开始实战训练了！,,3,,,,,
10115,对了，我看你防具也该更换更高级的了，可以找罗必托了解一下。,,3,,,,,
10116,打造装备时候用<color=$$Yellow$$>“材料追踪”可以更便捷的随时追踪材料</color>哦,,5,,,,,
10117,嘿，你也是来领取头饰的呀！,,5,,,,,
10118,并没有发现有用的线索，嗯？前面有采药人，去问问吧。,,5,,,,,
10119,啊……救命啊！,,5,,,,,
10120,我在这里发现了一具尸体，似乎是考察队成员……,,5,,,,,
10121,这是雅各伯，我的学长，他似乎也受伤了……,,5,,,,,
10122,可恶，这些该死的魔物！,,5,,,,,
10123,他被魔物袭击了，快帮助他驱逐周围这些魔物！,,5,,,,,
10124,缇丝，是你吗？我在这里，快来救我！,,5,,,,,
10125,你……冒险者，你是缇丝请来的冒险者吗？能否帮帮我？这该死的蛛网……,,5,,,,,
10126,应该就是这块石板了，帮我把它们<color=$$Yellow$$>拍下来</color>，我再仔细看看吧,,5,,,,,
10127,这里应该就是雷所说的第一个守护者封印地了！,,5,,,,,
10128,看来，这里应该就是第二个封印地点了！,,5,,,,,
10129,是谁唤醒了我？嗯……冒险者，可是是你唤醒了我？,,5,,,,,
10130,这是第三个守护者安毕斯，他发狂了，小心！啊……,,5,,,,,
10131,破解成功，你看一下！,,5,,,,,
10132,有人吗？有人吗？帮帮我……,,5,,,,,
10133,救命啊！救命啊……,,5,,,,,
10134,是我是我……我躲在这里呢……冒险者，我被这群野猪围住了，快帮帮我！,,5,,,,,
10135,这里似乎有一些散乱的脚印，先看看吧,,5,,,,,
10136,脚印通向森林深处，欧文应该是朝这个方向去了,,5,,,,,
10137,不好，他似乎受伤倒地了，不会出事了吧？,,5,,,,,
10138,看来，他真的昏过去了，得先看看他的伤势……,,5,,,,,
10139,还好，他只是昏了过去，旁边有曼特花，应该能治疗他。,,5,,,,,
10140,咳咳……我……我昏了多久……是你救了我吗？,,5,,,,,
10141,这些该死的哥布灵！,,5,0.1=0.3=0,,,,
10142,果然是卢卡斯，他被哥布灵困住了，快帮帮他！,,5,,,,,
10143,年轻人……可否听老妪一言~,,5,,,,,
10144,占卜结果我都写在卜书上了，你看一下吧~,,5,,,,,
10145,既然时间紧急，那就快使用定向蝴蝶翅膀吧！,,5,,,,,
10146,真的要喝吗？你喝我才喝，或者……一起喝！,,5,,,,,
10147,这药水……你怎么没事……好困……,,5,,,,,
10148,我……我好像睡了很久……这……这到底是怎么回事？！,,5,,,,,
10149,这个人……似乎是个学者……问问他是谁？,,3,,,,,
10150,他居然就是大学者巴雷蒙德！,,3,,,,,
10151,果然不出我所料，还有封印……快把它破坏掉！,,3,,,,,
10152,灵符做好了，咳咳……年轻人你过来，我还有事跟你说……,,3,,,,,
10153,就是这里了，看到旁边那个法阵了吗？把那块宝石拿出来就行！,,3,,,,,
10154,居然是一个死阵……快，激活它！激活它就能知道宝石在哪里了！,,5,,,,,
10155,嗯？居然在那里……,,5,,,,,
10156,是谁打扰了我的安眠？接受我的怒火吧！啊……,,5,,,,,
10157,这里并没有发现教授一行人的踪迹，嗯？旁边那是什么？,,5,,,,,
10158,登记成功啦！欢迎你的到来！,,3,,,,,
10159,不好……这是暗黑祭祀！快封印它！啊……,,3,,,,,
10160,快过来，我找到名誉骑士他们了！,,3,,,,,
10161,咳咳……是你们救了我吗？谢谢你们！咳咳……,,3,,,,,
10162,多少年了，终于完成了这个伟大的祭祀仪式…… ,event:/CV/Cutscene/CS_100048_01,,,,,,8
10163,借用这个身体，我终于可以出来了！你们，献祭吧！ ,event:/CV/Cutscene/CS_100048_02,,,,,,8
10164,勇敢的冒险者，我终于等到了你…… ,event:/CV/Cutscene/CS_100049_01,,,,,,8
10165,我的时间不多，听好，杀了我，然后…… ,event:/CV/Cutscene/CS_100049_02,,,,,,8
10166,回去告诉齐里亚斯……我很爱他！啊…… ,event:/CV/Cutscene/CS_100049_03,,,,,,8
10167,法老王生前，深受爱戴，钟情于美好的事物……然而，他的弟弟缺很嫉妒他…… ,event:/CV/Cutscene/CS_100066_01,,,,,,8
10168,有一天，赛特拿出一个美丽的箱子进贡给他，并说这是专门为他打造的最舒适的床榻 ,event:/CV/Cutscene/CS_100066_02,,,,,,26
10169,法老王被箱子美丽的外表所迷惑，进入箱子前发现异端，却被自己的守卫米诺斯背叛，推入箱内…… ,event:/CV/Cutscene/CS_100066_03,,,,,,8
10170,而后，法老王被里面暗藏的武器机关杀死，赛特趁机篡权，还杀了法老王的孩子。这就是邪恶的【华丽棺椁计划】 ,event:/CV/Cutscene/CS_100066_04,,,,,,26
10171,法老王的忠实权臣马尔杜克假意归顺，暗中却使用禁术召回王子的灵魂 ,event:/CV/Cutscene/CS_100066_05,,,,,,26
10172,王子以胡狼头人身的形象重新复活，并以安毕斯之名组织残余势力颠覆了篡权的赛特 ,event:/CV/Cutscene/CS_100066_06,,,,,,26
10173,马尔杜克因禁术与恶魔交换而失去了面容，带上了圣殿士面具…… ,event:/CV/Cutscene/CS_100066_07,,,,,,24
10174,他暗中辅助安毕斯，培植了一支同样以面具掩脸，擅使弯刀的忠实侍卫——帕莎纳军 ,event:/CV/Cutscene/CS_100066_08,,,,,,24
10175,安毕斯复辟后，反叛的行刑者米诺斯、匠人诺可伊和杰诺米受到了马尔杜克的诅咒…… ,event:/CV/Cutscene/CS_100066_09,,,,,,8
10176,他们永远成为奴仆，背负着沉重的箱子、石头亦或铁锤守卫在斯芬克斯之中，永生永世为自己赎罪…… ,event:/CV/Cutscene/CS_100066_10,,,,,,8
10177,马尔杜克死后，安毕斯将他同法老王葬在一处，忠实的帕莎纳军也成了守墓一族 ,event:/CV/Cutscene/CS_100066_11,,,,,,10
10178,强悍的守护者意志和帕莎纳守墓人守卫着蕴含伟大力量的法老王和传说中侍奉两位君主的丰沃宝藏…… ,event:/CV/Cutscene/CS_100066_12,,,,,,10
10179,为什么不同意我的建议？签了字，你就会拥有无尽的财富和名声，为什么…… ,event:/CV/Cutscene/CS_100072_01,,,,,,8
10180,不！我绝不同意。开发妙勒尼必然会对这里的生态环境造成毁灭性的破坏！ ,event:/CV/Cutscene/CS_100072_02,,,,,,8
10181,而且，这里的生物体类含有奇怪的能量元素，会对人类机体造成严重损害…… ,event:/CV/Cutscene/CS_100072_03,,,,,,8
