Category,Name,Comment,Value
点击“新王的号角”活动页面的“前往”按钮之后，将会直接去寻找对应的NPC,WarriorRecruitCampNpc,点击“新王的号角”活动页面的“前往”按钮之后，将会直接去寻找对应的NPC（配置格式：NPCID=场景ID）,1228=7
“新王的号角”活动用于统计积分的标准道具判定,WarriorRecruitCampItem,“新王的号角”活动用于统计积分的标准道具，配置格式：积分标准道具数量=道具来源reason=积分类型=活动类型（积分标准道具数量目前用的是勇士徽章，ID 501；道具来源reason目前只算征召任务的，是291；积分类型找程序确认 ，目前是1；“新王的号角”活动类型目前是6）要统计多种来源的话中间“|”隔开,501=291=1=6
二系职业选择功能,JobChoiceTwoSystem,二系职业选择功能的ID,1001
插入新任务的章节,NewTaskChapter,更在线上的任务，如果要在中途插入新的任务，成为旧任务的前置或者后置任务，导致任务链发生变化，需要在这里配置插入新任务的章节ID（格式：章节ID|章节ID）,12008
天空套触动心弦cutscen播放,Lengendfashion_playMV,播放的cutscenID=播放标签（一生只播一次，还是其他播放形式）,100129=SkySuit1
资源路径,NpcAvailableTaskFx,可接取任务特效（NPC头顶）路径,Effects/Prefabs/Creature/Ui/Fx_Ui_GanTanHao_0
,NpcTakenTaskFx,已接取任务特效（NPC头顶）路径,Effects/Prefabs/Creature/Ui/Fx_Ui_WenHao_0
,NpcAchievableTaskFx,可完成任务特效（NPC头顶）路径,Effects/Prefabs/Creature/Ui/Fx_Ui_WanChengRenWu_0
,NpcDelegateFx,委托任务特效（NPC头顶）路径,Effects/Prefabs/Scene/Fx_Scenes_Entrust_02
,DelegateToTaskFxOffset,任务特效存在时，委托特效相对任务特效的高度,0.6
,AboveFxToFuncOffset,在NPC功能UI存在时，NPC头顶特效相对功能UI的高度,0.9
,TaskNavTargetSceneFx,任务导航目标点场景特效路径,Effects/Prefabs/Creature/Common/Fx_Common_Scene_Mubiaodian001
,TaskCompletedUIFx,任务完成UI特效路径,Effects/Prefabs/Creature/Ui/Fx_Ui_RenWuWanCheng_01
邪能入侵活动池,EvilTaskDefense,城防部署,28001|28003
,EvilTaskSurvey,邪能调查,28002|28004
