Id,MedalId,level,BaseAtttibuteSwordman,BaseAtttibuteAcolyte,BaseAtttibuteMagician,BaseAtttibuteThief,BaseAtttibuteMerchant,BaseAtttibuteArcher,dec,TEXT
ID,勋章Id,等级,剑士（2000）基础属性，每级对应的属性全部枚举,服事（3000）基础属性，每级对应的属性全部枚举,魔法师（4000）基础属性，每级对应的属性全部枚举,刺客（5000）基础属性，每级对应的属性全部枚举,商人（6000）基础属性，每级对应的属性全部枚举,弓箭手（7000）基础属性，每级对应的属性全部枚举,前端专用,策划备注
21,1,21,0=27=0=86|0=36=0=86,0=27=0=86|0=36=0=86,0=27=0=86|0=36=0=86,0=27=0=86|0=36=0=86,0=27=0=86|0=36=0=86,0=27=0=86|0=36=0=86,,物理攻击，魔法攻击
22,1,22,0=27=0=92|0=36=0=92,0=27=0=92|0=36=0=92,0=27=0=92|0=36=0=92,0=27=0=92|0=36=0=92,0=27=0=92|0=36=0=92,0=27=0=92|0=36=0=92,,物理攻击，魔法攻击
23,1,23,0=27=0=98|0=36=0=98,0=27=0=98|0=36=0=98,0=27=0=98|0=36=0=98,0=27=0=98|0=36=0=98,0=27=0=98|0=36=0=98,0=27=0=98|0=36=0=98,,物理攻击，魔法攻击
24,1,24,0=27=0=104|0=36=0=104,0=27=0=104|0=36=0=104,0=27=0=104|0=36=0=104,0=27=0=104|0=36=0=104,0=27=0=104|0=36=0=104,0=27=0=104|0=36=0=104,,物理攻击，魔法攻击
25,1,25,0=27=0=110|0=36=0=110,0=27=0=110|0=36=0=110,0=27=0=110|0=36=0=110,0=27=0=110|0=36=0=110,0=27=0=110|0=36=0=110,0=27=0=110|0=36=0=110,,物理攻击，魔法攻击
26,1,26,0=27=0=116|0=36=0=116,0=27=0=116|0=36=0=116,0=27=0=116|0=36=0=116,0=27=0=116|0=36=0=116,0=27=0=116|0=36=0=116,0=27=0=116|0=36=0=116,,物理攻击，魔法攻击
27,1,27,0=27=0=122|0=36=0=122,0=27=0=122|0=36=0=122,0=27=0=122|0=36=0=122,0=27=0=122|0=36=0=122,0=27=0=122|0=36=0=122,0=27=0=122|0=36=0=122,,物理攻击，魔法攻击
28,1,28,0=27=0=128|0=36=0=128,0=27=0=128|0=36=0=128,0=27=0=128|0=36=0=128,0=27=0=128|0=36=0=128,0=27=0=128|0=36=0=128,0=27=0=128|0=36=0=128,,物理攻击，魔法攻击
29,1,29,0=27=0=134|0=36=0=134,0=27=0=134|0=36=0=134,0=27=0=134|0=36=0=134,0=27=0=134|0=36=0=134,0=27=0=134|0=36=0=134,0=27=0=134|0=36=0=134,,物理攻击，魔法攻击
30,1,30,0=27=0=140|0=36=0=140,0=27=0=140|0=36=0=140,0=27=0=140|0=36=0=140,0=27=0=140|0=36=0=140,0=27=0=140|0=36=0=140,0=27=0=140|0=36=0=140,,物理攻击，魔法攻击
31,1,31,0=27=0=146|0=36=0=146,0=27=0=146|0=36=0=146,0=27=0=146|0=36=0=146,0=27=0=146|0=36=0=146,0=27=0=146|0=36=0=146,0=27=0=146|0=36=0=146,,物理攻击，魔法攻击
32,1,32,0=27=0=152|0=36=0=152,0=27=0=152|0=36=0=152,0=27=0=152|0=36=0=152,0=27=0=152|0=36=0=152,0=27=0=152|0=36=0=152,0=27=0=152|0=36=0=152,,物理攻击，魔法攻击
33,1,33,0=27=0=158|0=36=0=158,0=27=0=158|0=36=0=158,0=27=0=158|0=36=0=158,0=27=0=158|0=36=0=158,0=27=0=158|0=36=0=158,0=27=0=158|0=36=0=158,,物理攻击，魔法攻击
34,1,34,0=27=0=164|0=36=0=164,0=27=0=164|0=36=0=164,0=27=0=164|0=36=0=164,0=27=0=164|0=36=0=164,0=27=0=164|0=36=0=164,0=27=0=164|0=36=0=164,,物理攻击，魔法攻击
35,1,35,0=27=0=170|0=36=0=170,0=27=0=170|0=36=0=170,0=27=0=170|0=36=0=170,0=27=0=170|0=36=0=170,0=27=0=170|0=36=0=170,0=27=0=170|0=36=0=170,,物理攻击，魔法攻击
36,1,36,0=27=0=176|0=36=0=176,0=27=0=176|0=36=0=176,0=27=0=176|0=36=0=176,0=27=0=176|0=36=0=176,0=27=0=176|0=36=0=176,0=27=0=176|0=36=0=176,,物理攻击，魔法攻击
37,1,37,0=27=0=182|0=36=0=182,0=27=0=182|0=36=0=182,0=27=0=182|0=36=0=182,0=27=0=182|0=36=0=182,0=27=0=182|0=36=0=182,0=27=0=182|0=36=0=182,,物理攻击，魔法攻击
38,1,38,0=27=0=188|0=36=0=188,0=27=0=188|0=36=0=188,0=27=0=188|0=36=0=188,0=27=0=188|0=36=0=188,0=27=0=188|0=36=0=188,0=27=0=188|0=36=0=188,,物理攻击，魔法攻击
39,1,39,0=27=0=194|0=36=0=194,0=27=0=194|0=36=0=194,0=27=0=194|0=36=0=194,0=27=0=194|0=36=0=194,0=27=0=194|0=36=0=194,0=27=0=194|0=36=0=194,,物理攻击，魔法攻击
40,1,40,0=27=0=200|0=36=0=200,0=27=0=200|0=36=0=200,0=27=0=200|0=36=0=200,0=27=0=200|0=36=0=200,0=27=0=200|0=36=0=200,0=27=0=200|0=36=0=200,,物理攻击，魔法攻击
41,2,1,0=47=0=27|0=65=0=25,0=47=0=27|0=65=0=25,0=47=0=27|0=65=0=25,0=47=0=27|0=65=0=25,0=47=0=27|0=65=0=25,0=47=0=27|0=65=0=25,,生命上限，物伤加成%
42,2,2,0=47=0=45|0=65=0=50,0=47=0=45|0=65=0=50,0=47=0=45|0=65=0=50,0=47=0=45|0=65=0=50,0=47=0=45|0=65=0=50,0=47=0=45|0=65=0=50,,生命上限，物伤加成%
43,2,3,0=47=0=62|0=65=0=75,0=47=0=62|0=65=0=75,0=47=0=62|0=65=0=75,0=47=0=62|0=65=0=75,0=47=0=62|0=65=0=75,0=47=0=62|0=65=0=75,,生命上限，物伤加成%
44,2,4,0=47=0=80|0=65=0=100,0=47=0=80|0=65=0=100,0=47=0=80|0=65=0=100,0=47=0=80|0=65=0=100,0=47=0=80|0=65=0=100,0=47=0=80|0=65=0=100,,生命上限，物伤加成%
45,2,5,0=47=0=97|0=65=0=125,0=47=0=97|0=65=0=125,0=47=0=97|0=65=0=125,0=47=0=97|0=65=0=125,0=47=0=97|0=65=0=125,0=47=0=97|0=65=0=125,,生命上限，物伤加成%
46,2,6,0=47=0=115|0=65=0=150,0=47=0=115|0=65=0=150,0=47=0=115|0=65=0=150,0=47=0=115|0=65=0=150,0=47=0=115|0=65=0=150,0=47=0=115|0=65=0=150,,生命上限，物伤加成%
47,2,7,0=47=0=132|0=65=0=175,0=47=0=132|0=65=0=175,0=47=0=132|0=65=0=175,0=47=0=132|0=65=0=175,0=47=0=132|0=65=0=175,0=47=0=132|0=65=0=175,,生命上限，物伤加成%
48,2,8,0=47=0=150|0=65=0=200,0=47=0=150|0=65=0=200,0=47=0=150|0=65=0=200,0=47=0=150|0=65=0=200,0=47=0=150|0=65=0=200,0=47=0=150|0=65=0=200,,生命上限，物伤加成%
49,2,9,0=47=0=167|0=65=0=225,0=47=0=167|0=65=0=225,0=47=0=167|0=65=0=225,0=47=0=167|0=65=0=225,0=47=0=167|0=65=0=225,0=47=0=167|0=65=0=225,,生命上限，物伤加成%
50,2,10,0=47=0=185|0=65=0=250,0=47=0=185|0=65=0=250,0=47=0=185|0=65=0=250,0=47=0=185|0=65=0=250,0=47=0=185|0=65=0=250,0=47=0=185|0=65=0=250,,生命上限，物伤加成%
51,2,11,0=47=0=202|0=65=0=275,0=47=0=202|0=65=0=275,0=47=0=202|0=65=0=275,0=47=0=202|0=65=0=275,0=47=0=202|0=65=0=275,0=47=0=202|0=65=0=275,,生命上限，物伤加成%
52,2,12,0=47=0=220|0=65=0=300,0=47=0=220|0=65=0=300,0=47=0=220|0=65=0=300,0=47=0=220|0=65=0=300,0=47=0=220|0=65=0=300,0=47=0=220|0=65=0=300,,生命上限，物伤加成%
53,2,13,0=47=0=237|0=65=0=325,0=47=0=237|0=65=0=325,0=47=0=237|0=65=0=325,0=47=0=237|0=65=0=325,0=47=0=237|0=65=0=325,0=47=0=237|0=65=0=325,,生命上限，物伤加成%
54,2,14,0=47=0=255|0=65=0=350,0=47=0=255|0=65=0=350,0=47=0=255|0=65=0=350,0=47=0=255|0=65=0=350,0=47=0=255|0=65=0=350,0=47=0=255|0=65=0=350,,生命上限，物伤加成%
55,2,15,0=47=0=272|0=65=0=375,0=47=0=272|0=65=0=375,0=47=0=272|0=65=0=375,0=47=0=272|0=65=0=375,0=47=0=272|0=65=0=375,0=47=0=272|0=65=0=375,,生命上限，物伤加成%
56,2,16,0=47=0=290|0=65=0=400,0=47=0=290|0=65=0=400,0=47=0=290|0=65=0=400,0=47=0=290|0=65=0=400,0=47=0=290|0=65=0=400,0=47=0=290|0=65=0=400,,生命上限，物伤加成%
57,2,17,0=47=0=307|0=65=0=425,0=47=0=307|0=65=0=425,0=47=0=307|0=65=0=425,0=47=0=307|0=65=0=425,0=47=0=307|0=65=0=425,0=47=0=307|0=65=0=425,,生命上限，物伤加成%
58,2,18,0=47=0=325|0=65=0=450,0=47=0=325|0=65=0=450,0=47=0=325|0=65=0=450,0=47=0=325|0=65=0=450,0=47=0=325|0=65=0=450,0=47=0=325|0=65=0=450,,生命上限，物伤加成%
59,2,19,0=47=0=342|0=65=0=475,0=47=0=342|0=65=0=475,0=47=0=342|0=65=0=475,0=47=0=342|0=65=0=475,0=47=0=342|0=65=0=475,0=47=0=342|0=65=0=475,,生命上限，物伤加成%
60,2,20,0=47=0=360|0=65=0=500,0=47=0=360|0=65=0=500,0=47=0=360|0=65=0=500,0=47=0=360|0=65=0=500,0=47=0=360|0=65=0=500,0=47=0=360|0=65=0=500,,生命上限，物伤加成%
61,2,21,0=47=0=385|0=65=0=540,0=47=0=385|0=65=0=540,0=47=0=385|0=65=0=540,0=47=0=385|0=65=0=540,0=47=0=385|0=65=0=540,0=47=0=385|0=65=0=540,,生命上限，物伤加成%
62,2,22,0=47=0=410|0=65=0=580,0=47=0=410|0=65=0=580,0=47=0=410|0=65=0=580,0=47=0=410|0=65=0=580,0=47=0=410|0=65=0=580,0=47=0=410|0=65=0=580,,生命上限，物伤加成%
63,2,23,0=47=0=435|0=65=0=620,0=47=0=435|0=65=0=620,0=47=0=435|0=65=0=620,0=47=0=435|0=65=0=620,0=47=0=435|0=65=0=620,0=47=0=435|0=65=0=620,,生命上限，物伤加成%
64,2,24,0=47=0=460|0=65=0=660,0=47=0=460|0=65=0=660,0=47=0=460|0=65=0=660,0=47=0=460|0=65=0=660,0=47=0=460|0=65=0=660,0=47=0=460|0=65=0=660,,生命上限，物伤加成%
65,2,25,0=47=0=485|0=65=0=700,0=47=0=485|0=65=0=700,0=47=0=485|0=65=0=700,0=47=0=485|0=65=0=700,0=47=0=485|0=65=0=700,0=47=0=485|0=65=0=700,,生命上限，物伤加成%
66,2,26,0=47=0=510|0=65=0=740,0=47=0=510|0=65=0=740,0=47=0=510|0=65=0=740,0=47=0=510|0=65=0=740,0=47=0=510|0=65=0=740,0=47=0=510|0=65=0=740,,生命上限，物伤加成%
67,2,27,0=47=0=535|0=65=0=780,0=47=0=535|0=65=0=780,0=47=0=535|0=65=0=780,0=47=0=535|0=65=0=780,0=47=0=535|0=65=0=780,0=47=0=535|0=65=0=780,,生命上限，物伤加成%
68,2,28,0=47=0=560|0=65=0=820,0=47=0=560|0=65=0=820,0=47=0=560|0=65=0=820,0=47=0=560|0=65=0=820,0=47=0=560|0=65=0=820,0=47=0=560|0=65=0=820,,生命上限，物伤加成%
69,2,29,0=47=0=585|0=65=0=860,0=47=0=585|0=65=0=860,0=47=0=585|0=65=0=860,0=47=0=585|0=65=0=860,0=47=0=585|0=65=0=860,0=47=0=585|0=65=0=860,,生命上限，物伤加成%
70,2,30,0=47=0=610|0=65=0=900,0=47=0=610|0=65=0=900,0=47=0=610|0=65=0=900,0=47=0=610|0=65=0=900,0=47=0=610|0=65=0=900,0=47=0=610|0=65=0=900,,生命上限，物伤加成%
71,2,31,0=47=0=635|0=65=0=940,0=47=0=635|0=65=0=940,0=47=0=635|0=65=0=940,0=47=0=635|0=65=0=940,0=47=0=635|0=65=0=940,0=47=0=635|0=65=0=940,,生命上限，物伤加成%
72,2,32,0=47=0=660|0=65=0=980,0=47=0=660|0=65=0=980,0=47=0=660|0=65=0=980,0=47=0=660|0=65=0=980,0=47=0=660|0=65=0=980,0=47=0=660|0=65=0=980,,生命上限，物伤加成%
73,2,33,0=47=0=685|0=65=0=1020,0=47=0=685|0=65=0=1020,0=47=0=685|0=65=0=1020,0=47=0=685|0=65=0=1020,0=47=0=685|0=65=0=1020,0=47=0=685|0=65=0=1020,,生命上限，物伤加成%
74,2,34,0=47=0=710|0=65=0=1060,0=47=0=710|0=65=0=1060,0=47=0=710|0=65=0=1060,0=47=0=710|0=65=0=1060,0=47=0=710|0=65=0=1060,0=47=0=710|0=65=0=1060,,生命上限，物伤加成%
75,2,35,0=47=0=735|0=65=0=1100,0=47=0=735|0=65=0=1100,0=47=0=735|0=65=0=1100,0=47=0=735|0=65=0=1100,0=47=0=735|0=65=0=1100,0=47=0=735|0=65=0=1100,,生命上限，物伤加成%
76,2,36,0=47=0=760|0=65=0=1140,0=47=0=760|0=65=0=1140,0=47=0=760|0=65=0=1140,0=47=0=760|0=65=0=1140,0=47=0=760|0=65=0=1140,0=47=0=760|0=65=0=1140,,生命上限，物伤加成%
77,2,37,0=47=0=785|0=65=0=1180,0=47=0=785|0=65=0=1180,0=47=0=785|0=65=0=1180,0=47=0=785|0=65=0=1180,0=47=0=785|0=65=0=1180,0=47=0=785|0=65=0=1180,,生命上限，物伤加成%
78,2,38,0=47=0=810|0=65=0=1220,0=47=0=810|0=65=0=1220,0=47=0=810|0=65=0=1220,0=47=0=810|0=65=0=1220,0=47=0=810|0=65=0=1220,0=47=0=810|0=65=0=1220,,生命上限，物伤加成%
79,2,39,0=47=0=835|0=65=0=1260,0=47=0=835|0=65=0=1260,0=47=0=835|0=65=0=1260,0=47=0=835|0=65=0=1260,0=47=0=835|0=65=0=1260,0=47=0=835|0=65=0=1260,,生命上限，物伤加成%
80,2,40,0=47=0=860|0=65=0=1300,0=47=0=860|0=65=0=1300,0=47=0=860|0=65=0=1300,0=47=0=860|0=65=0=1300,0=47=0=860|0=65=0=1300,0=47=0=860|0=65=0=1300,,生命上限，物伤加成%
81,3,1,0=47=0=27|0=66=0=25,0=47=0=27|0=66=0=25,0=47=0=27|0=66=0=25,0=47=0=27|0=66=0=25,0=47=0=27|0=66=0=25,0=47=0=27|0=66=0=25,,生命上限，魔伤加成%
82,3,2,0=47=0=45|0=66=0=50,0=47=0=45|0=66=0=50,0=47=0=45|0=66=0=50,0=47=0=45|0=66=0=50,0=47=0=45|0=66=0=50,0=47=0=45|0=66=0=50,,生命上限，魔伤加成%
83,3,3,0=47=0=62|0=66=0=75,0=47=0=62|0=66=0=75,0=47=0=62|0=66=0=75,0=47=0=62|0=66=0=75,0=47=0=62|0=66=0=75,0=47=0=62|0=66=0=75,,生命上限，魔伤加成%
84,3,4,0=47=0=80|0=66=0=100,0=47=0=80|0=66=0=100,0=47=0=80|0=66=0=100,0=47=0=80|0=66=0=100,0=47=0=80|0=66=0=100,0=47=0=80|0=66=0=100,,生命上限，魔伤加成%
85,3,5,0=47=0=97|0=66=0=125,0=47=0=97|0=66=0=125,0=47=0=97|0=66=0=125,0=47=0=97|0=66=0=125,0=47=0=97|0=66=0=125,0=47=0=97|0=66=0=125,,生命上限，魔伤加成%
86,3,6,0=47=0=115|0=66=0=150,0=47=0=115|0=66=0=150,0=47=0=115|0=66=0=150,0=47=0=115|0=66=0=150,0=47=0=115|0=66=0=150,0=47=0=115|0=66=0=150,,生命上限，魔伤加成%
87,3,7,0=47=0=132|0=66=0=175,0=47=0=132|0=66=0=175,0=47=0=132|0=66=0=175,0=47=0=132|0=66=0=175,0=47=0=132|0=66=0=175,0=47=0=132|0=66=0=175,,生命上限，魔伤加成%
88,3,8,0=47=0=150|0=66=0=200,0=47=0=150|0=66=0=200,0=47=0=150|0=66=0=200,0=47=0=150|0=66=0=200,0=47=0=150|0=66=0=200,0=47=0=150|0=66=0=200,,生命上限，魔伤加成%
89,3,9,0=47=0=167|0=66=0=225,0=47=0=167|0=66=0=225,0=47=0=167|0=66=0=225,0=47=0=167|0=66=0=225,0=47=0=167|0=66=0=225,0=47=0=167|0=66=0=225,,生命上限，魔伤加成%
90,3,10,0=47=0=185|0=66=0=250,0=47=0=185|0=66=0=250,0=47=0=185|0=66=0=250,0=47=0=185|0=66=0=250,0=47=0=185|0=66=0=250,0=47=0=185|0=66=0=250,,生命上限，魔伤加成%
91,3,11,0=47=0=202|0=66=0=275,0=47=0=202|0=66=0=275,0=47=0=202|0=66=0=275,0=47=0=202|0=66=0=275,0=47=0=202|0=66=0=275,0=47=0=202|0=66=0=275,,生命上限，魔伤加成%
92,3,12,0=47=0=220|0=66=0=300,0=47=0=220|0=66=0=300,0=47=0=220|0=66=0=300,0=47=0=220|0=66=0=300,0=47=0=220|0=66=0=300,0=47=0=220|0=66=0=300,,生命上限，魔伤加成%
93,3,13,0=47=0=237|0=66=0=325,0=47=0=237|0=66=0=325,0=47=0=237|0=66=0=325,0=47=0=237|0=66=0=325,0=47=0=237|0=66=0=325,0=47=0=237|0=66=0=325,,生命上限，魔伤加成%
94,3,14,0=47=0=255|0=66=0=350,0=47=0=255|0=66=0=350,0=47=0=255|0=66=0=350,0=47=0=255|0=66=0=350,0=47=0=255|0=66=0=350,0=47=0=255|0=66=0=350,,生命上限，魔伤加成%
95,3,15,0=47=0=272|0=66=0=375,0=47=0=272|0=66=0=375,0=47=0=272|0=66=0=375,0=47=0=272|0=66=0=375,0=47=0=272|0=66=0=375,0=47=0=272|0=66=0=375,,生命上限，魔伤加成%
96,3,16,0=47=0=290|0=66=0=400,0=47=0=290|0=66=0=400,0=47=0=290|0=66=0=400,0=47=0=290|0=66=0=400,0=47=0=290|0=66=0=400,0=47=0=290|0=66=0=400,,生命上限，魔伤加成%
97,3,17,0=47=0=307|0=66=0=425,0=47=0=307|0=66=0=425,0=47=0=307|0=66=0=425,0=47=0=307|0=66=0=425,0=47=0=307|0=66=0=425,0=47=0=307|0=66=0=425,,生命上限，魔伤加成%
98,3,18,0=47=0=325|0=66=0=450,0=47=0=325|0=66=0=450,0=47=0=325|0=66=0=450,0=47=0=325|0=66=0=450,0=47=0=325|0=66=0=450,0=47=0=325|0=66=0=450,,生命上限，魔伤加成%
99,3,19,0=47=0=342|0=66=0=475,0=47=0=342|0=66=0=475,0=47=0=342|0=66=0=475,0=47=0=342|0=66=0=475,0=47=0=342|0=66=0=475,0=47=0=342|0=66=0=475,,生命上限，魔伤加成%
100,3,20,0=47=0=360|0=66=0=500,0=47=0=360|0=66=0=500,0=47=0=360|0=66=0=500,0=47=0=360|0=66=0=500,0=47=0=360|0=66=0=500,0=47=0=360|0=66=0=500,,生命上限，魔伤加成%
101,3,21,0=47=0=385|0=66=0=540,0=47=0=385|0=66=0=540,0=47=0=385|0=66=0=540,0=47=0=385|0=66=0=540,0=47=0=385|0=66=0=540,0=47=0=385|0=66=0=540,,生命上限，魔伤加成%
102,3,22,0=47=0=410|0=66=0=580,0=47=0=410|0=66=0=580,0=47=0=410|0=66=0=580,0=47=0=410|0=66=0=580,0=47=0=410|0=66=0=580,0=47=0=410|0=66=0=580,,生命上限，魔伤加成%
103,3,23,0=47=0=435|0=66=0=620,0=47=0=435|0=66=0=620,0=47=0=435|0=66=0=620,0=47=0=435|0=66=0=620,0=47=0=435|0=66=0=620,0=47=0=435|0=66=0=620,,生命上限，魔伤加成%
104,3,24,0=47=0=460|0=66=0=660,0=47=0=460|0=66=0=660,0=47=0=460|0=66=0=660,0=47=0=460|0=66=0=660,0=47=0=460|0=66=0=660,0=47=0=460|0=66=0=660,,生命上限，魔伤加成%
105,3,25,0=47=0=485|0=66=0=700,0=47=0=485|0=66=0=700,0=47=0=485|0=66=0=700,0=47=0=485|0=66=0=700,0=47=0=485|0=66=0=700,0=47=0=485|0=66=0=700,,生命上限，魔伤加成%
106,3,26,0=47=0=510|0=66=0=740,0=47=0=510|0=66=0=740,0=47=0=510|0=66=0=740,0=47=0=510|0=66=0=740,0=47=0=510|0=66=0=740,0=47=0=510|0=66=0=740,,生命上限，魔伤加成%
107,3,27,0=47=0=535|0=66=0=780,0=47=0=535|0=66=0=780,0=47=0=535|0=66=0=780,0=47=0=535|0=66=0=780,0=47=0=535|0=66=0=780,0=47=0=535|0=66=0=780,,生命上限，魔伤加成%
108,3,28,0=47=0=560|0=66=0=820,0=47=0=560|0=66=0=820,0=47=0=560|0=66=0=820,0=47=0=560|0=66=0=820,0=47=0=560|0=66=0=820,0=47=0=560|0=66=0=820,,生命上限，魔伤加成%
109,3,29,0=47=0=585|0=66=0=860,0=47=0=585|0=66=0=860,0=47=0=585|0=66=0=860,0=47=0=585|0=66=0=860,0=47=0=585|0=66=0=860,0=47=0=585|0=66=0=860,,生命上限，魔伤加成%
110,3,30,0=47=0=610|0=66=0=900,0=47=0=610|0=66=0=900,0=47=0=610|0=66=0=900,0=47=0=610|0=66=0=900,0=47=0=610|0=66=0=900,0=47=0=610|0=66=0=900,,生命上限，魔伤加成%
111,3,31,0=47=0=635|0=66=0=940,0=47=0=635|0=66=0=940,0=47=0=635|0=66=0=940,0=47=0=635|0=66=0=940,0=47=0=635|0=66=0=940,0=47=0=635|0=66=0=940,,生命上限，魔伤加成%
112,3,32,0=47=0=660|0=66=0=980,0=47=0=660|0=66=0=980,0=47=0=660|0=66=0=980,0=47=0=660|0=66=0=980,0=47=0=660|0=66=0=980,0=47=0=660|0=66=0=980,,生命上限，魔伤加成%
113,3,33,0=47=0=685|0=66=0=1020,0=47=0=685|0=66=0=1020,0=47=0=685|0=66=0=1020,0=47=0=685|0=66=0=1020,0=47=0=685|0=66=0=1020,0=47=0=685|0=66=0=1020,,生命上限，魔伤加成%
114,3,34,0=47=0=710|0=66=0=1060,0=47=0=710|0=66=0=1060,0=47=0=710|0=66=0=1060,0=47=0=710|0=66=0=1060,0=47=0=710|0=66=0=1060,0=47=0=710|0=66=0=1060,,生命上限，魔伤加成%
115,3,35,0=47=0=735|0=66=0=1100,0=47=0=735|0=66=0=1100,0=47=0=735|0=66=0=1100,0=47=0=735|0=66=0=1100,0=47=0=735|0=66=0=1100,0=47=0=735|0=66=0=1100,,生命上限，魔伤加成%
