TitleID,TitleName,SortID,Index,StickersID,Description,isHide,LocalizationArea,ShowTimeRules,ShowTimeRulesPara,
1059012,魔物研究达人,52,200,,魔物研究等级个人排名第2名解锁,,,,,
1059013,魔物研究专员,53,200,,魔物研究等级个人排名第3名解锁,,,,,
1059014,魔物研究先锋,54,200,,魔物研究等级个人排名第4-10名解锁,,,,,
1059015,等待的美好,55,200,6049001,在CBT测试期间参加WEB页活动时获得。,,9,,,
1059016,CBT的时候呢,56,200,,在CBT测试期间参加WEB页活动时获得。,,9,,,
1059017,点亮星星之火,57,200,6049002,在CBT测试期间参加WEB页活动时获得。,,9,,,
1059018,救死扶伤的,58,500,,,,,,,完成成就：百草图鉴
1059019,菜鸟骑士物语,59,500,,,,,,,完成成就：失踪的骑士团
1059020,放开那个女孩,60,500,,,,,,,完成成就：被困的超魔导师
1059021,神的使者,61,500,,,,,,,完成成就：最后的驱魔
1059022,幽灵终结者,62,500,,,,,,,完成成就：遥远的故乡
1059023,初露锋芒,63,200,,通关新王的号角任务第10关获得,,11,,,
1059024,英勇之士,64,200,,通关新王的号角任务第15关获得,,11,,,
1059025,新王的拥立者,65,200,,参与新王的号角活动获得（28天）,,9,,,
1059026,博仁斯之冠,66,200,,在博仁斯攻略战中获得第1-5名（15天）,,11,,,
1059027,博仁斯之心,67,200,,在博仁斯攻略战中获得第6-50名（15天）,,11,,,
1059028,博仁斯之矛,68,200,,在博仁斯攻略战中获得第51-150名（15天）,,11,,,
1059029,博仁斯之手,69,200,,在博仁斯攻略战中获得第151-500名（15天）,,11,,,
1059030,天空的筑桥师,70,200,,彩虹之约契约值达到300时获得。,,9,,,
1050041,秋夕的时候呢,70,600,6046001,2020年秋夕活动——米莉的松饼屋，品尝过所有松饼后获得,,9,,,
1059031,当代鲁班,71,200,,载具特色手册结算时特色度个人排名第1名解锁,,,,,
1059032,能工巧匠,72,200,,载具特色手册结算时特色度个人排名第2名解锁,,,,,
1059033,心灵手巧,73,200,,载具特色手册结算时特色度个人排名第3名解锁,,,,,
1059034,改造小能手,74,200,,载具特色手册结算时特色度个人排名第4-10名解锁,,,,,
1057001,王牌飞行员,76,200,6047001,通过嘉年华通行证等级奖励获得,,11,,,
1058001,万圣节的时候呢,80,600,6046002,2020年万圣节活动——参与万圣节尖叫夜活动后获得,,9,,,
1059035,面具撕裂者,81,200,,,,9,,,完成成就：撕裂的面具
1058002,雪花节的时候呢,81,600,6046003,通过参与2020年雪花节来堆雪波利吧活动获得,,27,,,
1058003,大雪球,82,600,,通过参与2020年雪花节来堆雪波利吧活动获得,,27,,,
1058004,大大雪球,83,600,,通过参与2020年雪花节来堆雪波利吧活动获得,,27,,,
1058005,大大大雪球,84,600,,通过参与2020年雪花节来堆雪波利吧活动获得,,27,,,
1059036,2020真的努力,88,600,,暂无获取方式,,8,,,gv需求
1059037,2020努力,89,600,,暂无获取方式,,8,,,gv需求
1059038,2020收集图鉴,90,600,,暂无获取方式,,8,,,gv需求
1059039,2020在线大王,91,600,,暂无获取方式,,8,,,gv需求
1059040,2020 VIP,92,600,,暂无获取方式,,8,,,gv需求
1059041,2020 SVIP,93,600,,暂无获取方式,,8,,,gv需求
1059042,2020 SSVIP,94,600,,暂无获取方式,,8,,,gv需求
1059043,赫尔海姆竞速王者,85,300,,赫尔海姆竞速活动中排名第1名获得,,27,,,
1059044,赫尔海姆竞速大师,86,300,,赫尔海姆竞速活动中排名第2-8名获得,,27,,,
1059045,赫尔海姆竞速精英,87,300,,赫尔海姆竞速活动中排名第9-50名获得,,27,,,
1059046,碳烤巴风特,88,600,,通过参与击杀贪玩的巴风特获得,,9,,,
1059061,时空模拟战青铜段位,96,600,,时空模拟战赛季结束时停留在青铜段位,,9,,,
1059062,时空模拟战白银段位,97,600,,时空模拟战赛季结束时停留在白银段位,,9,,,
1059063,时空模拟战黄金段位,98,600,,时空模拟战赛季结束时停留在黄金段位,,9,,,
1059064,时空模拟战铂金段位,99,600,,时空模拟战赛季结束时停留在铂金段位,,9,,,
1059065,时空模拟战钻石段位,100,600,,时空模拟战赛季结束时停留在钻石段位,,9,,,
1059066,时空模拟战无双段位,101,600,,时空模拟战赛季结束时停留在无双段位,,9,,,
1058006,新年的时候呢,95,600,6046004,通过参与2021年新年活动米莉的好运厨房获得,,9,,,
1058007,新手记者,103,600,,通过运营活动获得,,2,,,日本版本
1058008,骨干记者,104,600,,通过运营活动获得,,2,,,日本版本
1058009,高级记者,105,600,6046005,通过运营活动获得,,2,,,日本版本
1058010,师傅记者,106,600,6046006,通过运营活动获得,,2,,,日本版本
1058011,传奇记者,107,600,6046007,通过运营活动获得,,2,,,日本版本
1059067,碧蓝印记,102,200,,,,9,,,蓝色光武
1059068,心心相印,108,600,,购买心心相印头饰礼包获得，纪念2021.3.14情人节,,11,,,随礼包赠送
1059069,金闪闪,109,200,,,,9,,,金色光武
1059070,愚我所娱,110,200,,,,9,,,愚人节
1059071,草莓可爱,111,600,,通过参与春日通行证活动获得,,9,,,草莓通行证
1059072,希望之光,112,200,,,,9,,,完成成就：希望之光
1059073,拾光旅人,113,600,,通过提升剧情图鉴中吟游诗人等级获得,,25,,,
1059074,西瓜缤纷,114,600,,通过参与初夏通行证活动获得,,11,,,西瓜通行证
1059075,快速波利,115,600,,通过完成掷骰子活动第15圈获得,,18,,,日方掷骰子活动
1059076,应援团长,116,600,,通过完成掷骰子活动第25圈获得,,18,,,日方掷骰子活动
1059077,热带迷人,117,600,,通过参与菠萝通行证活动获得,,9,,,菠萝通行证
1059078,感谢你喜欢RO,118,600,6041011,周年庆典-集字兑换活动获得,,9,,,周年庆活动
1059079,森林之王,119,600,,周年庆典-奶油狂欢节·静谧森林排行榜第1-10名获得,,9,,,周年庆活动
1059080,海洋霸主,120,600,,周年庆典-奶油狂欢节·海底世界排行榜第1-10名获得,,9,,,周年庆活动
1059081,玩具国王,121,600,,周年庆典-奶油狂欢节·玩具工厂排行榜第1-10名获得,,9,,,周年庆活动
1059082,千锤百炼,122,600,,周年庆典-精炼行动排行榜前50名可获得,,9,,,周年庆精炼行动
1059083,1周年手艺人,123,600,,,,8,,,1周年韩方运营活动
1059084,热血棒球,124,600,,通过参与棒球通行证活动获得,,9,,,棒球通行证
1059085,时空决胜宗师,125,600,,时空决胜赛1-3名专属称号,,9,,,5V5本服冠军赛
1059086,时空决胜大师,126,600,,时空决胜赛4-8名专属称号,,9,,,5V5本服冠军赛
1059087,时空决胜强者,127,600,,时空决胜赛9-16名专属称号,,9,,,5V5本服冠军赛
1059091,主宰者,131,600,,第一届天下第一勇者大会1-3名专属称号,,9,,,5V5跨服冠军赛
1059092,掌控者,132,600,,第一届天下第一勇者大会4-8名专属称号,,9,,,5V5跨服冠军赛
1059093,仲裁者,133,600,,第一届天下第一勇者大会9-16名专属称号,,9,,,5V5跨服冠军赛
1059097,月圆的时候呢,137,600,6041012,2021年秋夕活动——米莉的团子屋，品尝过所有团子后获得,,2,1,20210914=050000|20301231=045959,日本中秋活动
1059098,月圆的时候呢,138,600,6041012,2021年秋夕活动——米莉的蔬菜饼屋，品尝过所有蔬菜饼后获得,,25,1,20210914=050000|20301231=045959,韩国中秋活动
1059099,万圣狂欢,139,600,6041013,2021万圣节活动获得,,11,1,20211031=050000|20301231=045959,万圣节活动
1059100,摇滚之心,140,600,,通过参与摇滚通行证活动获得,,9,1,20211014=050000|20301231=045959,摇滚通行证
1059101,感恩节快乐,141,600,,通过参与感恩节通行证活动获得,,16,,,感恩通行证
1059102,时空之心,142,600,,通过购买时空恋人通行证活动获得,,9,1,20211123=050000|20301231=045959,时空恋人通行证
1059103,大型雪球,143,600,,2021“雪仗原激战“活动排行榜奖励,,9,1,20211223=050000|20301231=045959,
1059104,超级大雪球,144,600,,2021“雪仗原激战“活动排行榜奖励,,9,1,20211223=050000|20301231=045959,
1059105,超级无敌大雪球,145,600,,2021“雪仗原激战“活动排行榜奖励,,9,1,20211223=050000|20301231=045959,
1059106,2021圣诞快乐,146,600,6041014,2021“来堆雪波利吧”活动奖励,,9,1,20211223=050000|20301231=045959,
1059107,新年快乐,147,600,,通过购买谨贺新年通行证活动获得,,2,1,20211231=050000|20301231=045959,日本新年通行证
1059108,早餐时光,148,600,,通过购买早餐时光通行证活动获得,,9,1,20220101=050000|20301231=045959,韩国新年通行证
1059109,虎虎生威,149,600,6041015,,1,9,,,
