MainSonId,Group,FunctionID,TimeLimit,ServerDaysLimit,ActivityName,,Sort,GiftMajorId,CountShow
50,49,11210,20210801=000000|20210831=235900,0=9999,,1-17服礼包,101,400109|400110|400111|400112|400113|400114,
51,0,11209,20210901=000000|20210930=235959,,九月礼包,,102,,
52,51,11210,20210901=000000|20210930=235959,0=9999,,1-17服礼包,103,400115|400116|400117|400118|400119|400120,
53,0,11209,20211001=000000|20211031=235959,,十月礼包,,110,,购买周限制在每周一0点重置
54,53,11210,20211001=000000|20211031=235959,350=9999,,1-14服礼包,111,400121|400122|400123|400124|400125|400127,购买周限制在每周一0点重置
55,53,11211,20211001=000000|20211031=235959,0=349,,15-17服礼包,112,400121|400122|400123|400124|400126|400128,购买周限制在每周一0点重置
56,0,11209,20211101=000000|20211130=235959,,十一月礼包,,110,,购买周限制在每周一0点重置
57,56,11210,20211101=000000|20211130=235959,351=9999,,1-15服礼包,111,400129|400130|400131|400132|400133|400135,购买周限制在每周一0点重置
58,56,11211,20211101=000000|20211130=235959,0=350,,16-17服礼包,112,400129|400130|400131|400132|400134|400136,购买周限制在每周一0点重置
59,0,11209,20211201=000000|20211231=235959,,十二月礼包,,110,,购买周限制在每周一0点重置
60,59,11210,20211201=000000|20211231=235959,0=9999,,1-17服礼包,111,400137|400138|400139|400140|400141|400142,购买周限制在每周一0点重置
61,0,11209,20220101=000000|20220131=235959,,一月礼包,,110,,购买周限制在每周一0点重置
62,61,11210,20220101=000000|20220131=235959,0=9999,,1-17服礼包,111,400143|400144|400145|400146|400147|400148,购买周限制在每周一0点重置
