ID,Name,Description,,IconAtlas,Icon,Buff,Cost,Sign
200405,圣属性强化,<color=#51BE91FF>强化中：圣属性伤害+30%</color>,5级,Skill_Acolyte,UI_Icon_Skill_Acolyte_ShenShengZhiGuang.png,0=177=3000,3027004=2,2
200501,魔力II,<color=#51BE91FF>魔法攻击+10</color>\n下一级：魔法攻击+20,1级,Skill_Acolyte,UI_Icon_Skill_Acolyte_TianShiZhiCiFu.png,0=36=10,3027004=1,
200502,魔力II,<color=#51BE91FF>魔法攻击+20</color>\n下一级：魔法攻击+30,2级,Skill_Acolyte,UI_Icon_Skill_Acolyte_TianShiZhiCiFu.png,0=36=20,3027004=5,
200503,魔力II,<color=#51BE91FF>魔法攻击+30</color>\n下一级：魔法攻击+40,3级,Skill_Acolyte,UI_Icon_Skill_Acolyte_TianShiZhiCiFu.png,0=36=30,3027004=12,
200504,魔力II,<color=#51BE91FF>魔法攻击+40</color>\n强化效果：魔法攻击+50,4级,Skill_Acolyte,UI_Icon_Skill_Acolyte_TianShiZhiCiFu.png,0=36=40,3027004=38,1
200505,魔力II,<color=#51BE91FF>强化中：魔法攻击+50</color>,5级,Skill_Acolyte,UI_Icon_Skill_Acolyte_TianShiZhiCiFu.png,0=36=50,3027004=2,2
200601,急速咏唱,<color=#51BE91FF>可变吟唱-2%</color>\n下一级：可变吟唱-4%,1级,Skill_Magician,UI_Icon_Skill_Magician_NengLiangWaiTao.png,0=84=-200,3027004=1,
200602,急速咏唱,<color=#51BE91FF>可变吟唱-4%</color>\n下一级：可变吟唱-4%,2级,Skill_Magician,UI_Icon_Skill_Magician_NengLiangWaiTao.png,0=84=-400,3027004=5,
200603,急速咏唱,<color=#51BE91FF>可变吟唱-6%</color>\n下一级：可变吟唱-4%,3级,Skill_Magician,UI_Icon_Skill_Magician_NengLiangWaiTao.png,0=84=-600,3027004=12,
200604,急速咏唱,<color=#51BE91FF>可变吟唱-8%</color>\n强化效果：可变吟唱-4%,4级,Skill_Magician,UI_Icon_Skill_Magician_NengLiangWaiTao.png,0=84=-800,3027004=38,1
200605,急速咏唱,<color=#51BE91FF>强化中：可变吟唱-10%</color>,5级,Skill_Magician,UI_Icon_Skill_Magician_NengLiangWaiTao.png,0=84=-1000,3027004=2,2
200701,强壮II,<color=#51BE91FF>生命上限+4%</color>\n下一级：生命上限+8%,1级,Skill_Acolyte,UI_Icon_Skill_Acolyte_QuanYuShu.png,0=48=400,3027004=1,
200702,强壮II,<color=#51BE91FF>生命上限+8%</color>\n下一级：生命上限+12%,2级,Skill_Acolyte,UI_Icon_Skill_Acolyte_QuanYuShu.png,0=48=800,3027004=5,
200703,强壮II,<color=#51BE91FF>生命上限+12%</color>\n下一级：生命上限+16%,3级,Skill_Acolyte,UI_Icon_Skill_Acolyte_QuanYuShu.png,0=48=1200,3027004=12,
200704,强壮II,<color=#51BE91FF>生命上限+16%</color>\n强化效果：生命上限+20%,4级,Skill_Acolyte,UI_Icon_Skill_Acolyte_QuanYuShu.png,0=48=1600,3027004=38,1
200705,强壮II,<color=#51BE91FF>强化中：生命上限+20%</color>,5级,Skill_Acolyte,UI_Icon_Skill_Acolyte_QuanYuShu.png,0=48=2000,3027004=2,2
200801,铁壁,<color=#51BE91FF>物伤、魔伤减免+3%</color>\n下一级：物伤、魔伤减免+6%,1级,Skill_Acolyte,UI_Icon_Skill_Acolyte_BaXieZhiZhen.png,0=67=300|0=68=300,3027004=1,
200802,铁壁,<color=#51BE91FF>物伤、魔伤减免+6%</color>\n下一级：物伤、魔伤减免+9%,2级,Skill_Acolyte,UI_Icon_Skill_Acolyte_BaXieZhiZhen.png,0=67=600|0=68=600,3027004=5,
200803,铁壁,<color=#51BE91FF>物伤、魔伤减免+9%</color>\n下一级：物伤、魔伤减免+12%,3级,Skill_Acolyte,UI_Icon_Skill_Acolyte_BaXieZhiZhen.png,0=67=900|0=68=900,3027004=12,
200804,铁壁,<color=#51BE91FF>物伤、魔伤减免+12%</color>\n强化效果：物伤、魔伤减免+15%,4级,Skill_Acolyte,UI_Icon_Skill_Acolyte_BaXieZhiZhen.png,0=67=1200|0=68=1200,3027004=38,1
200805,铁壁,<color=#51BE91FF>强化中：物伤、魔伤减免+15%</color>,5级,Skill_Acolyte,UI_Icon_Skill_Acolyte_BaXieZhiZhen.png,0=67=1500|0=68=1500,3027004=2,2
300101,智力,<color=#51BE91FF>智力+2</color>\n下一级：智力+4,1级,Skill_Archer,UI_Icon_Skill_Archer_JuShaMiaoZhun.png,0=16=2,3027004=1,
300102,智力,<color=#51BE91FF>智力+4</color>\n下一级：智力+6,2级,Skill_Archer,UI_Icon_Skill_Archer_JuShaMiaoZhun.png,0=16=4,3027004=5,
300103,智力,<color=#51BE91FF>智力+6</color>\n下一级：智力+8,3级,Skill_Archer,UI_Icon_Skill_Archer_JuShaMiaoZhun.png,0=16=6,3027004=12,
300104,智力,<color=#51BE91FF>智力+8</color>\n强化效果：智力+10,4级,Skill_Archer,UI_Icon_Skill_Archer_JuShaMiaoZhun.png,0=16=8,3027004=38,1
300105,智力,<color=#51BE91FF>强化中：智力+10</color>,5级,Skill_Archer,UI_Icon_Skill_Archer_JuShaMiaoZhun.png,0=16=10,3027004=2,2
300201,灵巧,<color=#51BE91FF>灵巧+2</color>\n下一级：灵巧+4,1级,Skill_Thief,UI_Icon_Skill_Thief_HeiAnShunJian.png,0=20=2,3027004=1,
300202,灵巧,<color=#51BE91FF>灵巧+4</color>\n下一级：灵巧+6,2级,Skill_Thief,UI_Icon_Skill_Thief_HeiAnShunJian.png,0=20=4,3027004=5,
300203,灵巧,<color=#51BE91FF>灵巧+6</color>\n下一级：灵巧+8,3级,Skill_Thief,UI_Icon_Skill_Thief_HeiAnShunJian.png,0=20=6,3027004=12,
300204,灵巧,<color=#51BE91FF>灵巧+8</color>\n强化效果：灵巧+10,4级,Skill_Thief,UI_Icon_Skill_Thief_HeiAnShunJian.png,0=20=8,3027004=38,1
300205,灵巧,<color=#51BE91FF>强化中：灵巧+10</color>,5级,Skill_Thief,UI_Icon_Skill_Thief_HeiAnShunJian.png,0=20=10,3027004=2,2
300301,急速咏唱,<color=#51BE91FF>可变吟唱-2%</color>\n下一级：可变吟唱-4%,1级,Skill_Magician,UI_Icon_Skill_Magician_NengLiangWaiTao.png,0=84=-200,3027004=1,
300302,急速咏唱,<color=#51BE91FF>可变吟唱-4%</color>\n下一级：可变吟唱-6%,2级,Skill_Magician,UI_Icon_Skill_Magician_NengLiangWaiTao.png,0=84=-400,3027004=5,
300303,急速咏唱,<color=#51BE91FF>可变吟唱-6%</color>\n下一级：可变吟唱-8%,3级,Skill_Magician,UI_Icon_Skill_Magician_NengLiangWaiTao.png,0=84=-600,3027004=12,
300304,急速咏唱,<color=#51BE91FF>可变吟唱-8%</color>\n强化效果：可变吟唱-10%,4级,Skill_Magician,UI_Icon_Skill_Magician_NengLiangWaiTao.png,0=84=-800,3027004=38,1
300305,急速咏唱,<color=#51BE91FF>强化中：可变吟唱-10%</color>,5级,Skill_Magician,UI_Icon_Skill_Magician_NengLiangWaiTao.png,0=84=-1000,3027004=2,2
300401,魔力II,<color=#51BE91FF>魔法攻击+3%</color>\n下一级：魔法攻击+6%,1级,Skill_Acolyte,UI_Icon_Skill_Acolyte_TianShiZhiCiFu.png,0=37=300,3027004=1,
300402,魔力II,<color=#51BE91FF>魔法攻击+6%</color>\n下一级：魔法攻击+9%,2级,Skill_Acolyte,UI_Icon_Skill_Acolyte_TianShiZhiCiFu.png,0=37=600,3027004=5,
300403,魔力II,<color=#51BE91FF>魔法攻击+9%</color>\n下一级：魔法攻击+12%,3级,Skill_Acolyte,UI_Icon_Skill_Acolyte_TianShiZhiCiFu.png,0=37=900,3027004=12,
300404,魔力II,<color=#51BE91FF>魔法攻击+12%</color>\n强化效果：魔法攻击+15%,4级,Skill_Acolyte,UI_Icon_Skill_Acolyte_TianShiZhiCiFu.png,0=37=1200,3027004=38,1
300405,魔力II,<color=#51BE91FF>强化中：魔法攻击+15%</color>,5级,Skill_Acolyte,UI_Icon_Skill_Acolyte_TianShiZhiCiFu.png,0=37=1500,3027004=2,2
300501,魔力穿透,<color=#51BE91FF>忽视魔法防御+10%</color>\n下一级：忽视魔法防御+20%,1级,Skill_Magician,UI_Icon_Skill_Magician_MoJiShu.png,0=46=1000,3027004=1,
300502,魔力穿透,<color=#51BE91FF>忽视魔法防御+20%</color>\n下一级：忽视魔法防御+30%,2级,Skill_Magician,UI_Icon_Skill_Magician_MoJiShu.png,0=46=2000,3027004=5,
300503,魔力穿透,<color=#51BE91FF>忽视魔法防御+30%</color>\n下一级：忽视魔法防御+40%,3级,Skill_Magician,UI_Icon_Skill_Magician_MoJiShu.png,0=46=3000,3027004=12,
300504,魔力穿透,<color=#51BE91FF>忽视魔法防御+40%</color>\n强化效果：忽视魔法防御+50%,4级,Skill_Magician,UI_Icon_Skill_Magician_MoJiShu.png,0=46=4000,3027004=38,1
300505,魔力穿透,<color=#51BE91FF>强化中：忽视魔法防御+50%</color>,5级,Skill_Magician,UI_Icon_Skill_Magician_MoJiShu.png,0=46=5000,3027004=2,2
300601,魔力源泉,<color=#51BE91FF>SP回复+5</color>\n下一级：SP回复+10,1级,Skill_Magician,UI_Icon_Skill_Magician_HuoShou.png,0=16=2|0=66=300,3027004=1,
300602,魔力源泉,<color=#51BE91FF>SP回复+10</color>\n下一级：SP回复+15,2级,Skill_Magician,UI_Icon_Skill_Magician_HuoShou.png,0=16=4|0=66=600,3027004=5,
300603,魔力源泉,<color=#51BE91FF>SP回复+15</color>\n下一级：SP回复+20,3级,Skill_Magician,UI_Icon_Skill_Magician_HuoShou.png,0=16=6|0=66=900,3027004=12,
300604,魔力源泉,<color=#51BE91FF>SP回复+20</color>\n强化效果：SP回复+25,4级,Skill_Magician,UI_Icon_Skill_Magician_HuoShou.png,0=16=8|0=66=1200,3027004=38,1
300605,魔力源泉,<color=#51BE91FF>强化中：SP回复+25</color>,5级,Skill_Magician,UI_Icon_Skill_Magician_HuoShou.png,0=16=10|0=66=1500,3027004=2,2
300701,火属性强化,<color=#51BE91FF>火属性伤害+2%</color>\n下一级：火属性伤害+4%,1级,Skill_Magician,UI_Icon_Skill_Magician_YunShiShu.png,0=174=200,3027004=1,
300702,火属性强化,<color=#51BE91FF>火属性伤害+4%</color>\n下一级：火属性伤害+6%,2级,Skill_Magician,UI_Icon_Skill_Magician_YunShiShu.png,0=174=400,3027004=5,
300703,火属性强化,<color=#51BE91FF>火属性伤害+6%</color>\n下一级：火属性伤害+8%,3级,Skill_Magician,UI_Icon_Skill_Magician_YunShiShu.png,0=174=600,3027004=12,
300704,火属性强化,<color=#51BE91FF>火属性伤害+8%</color>\n强化效果：火属性伤害+10%,4级,Skill_Magician,UI_Icon_Skill_Magician_YunShiShu.png,0=174=800,3027004=38,1
300705,火属性强化,<color=#51BE91FF>强化中：火属性伤害+10%</color>,5级,Skill_Magician,UI_Icon_Skill_Magician_YunShiShu.png,0=174=1000,3027004=2,2
300801,水、风属性强化,<color=#51BE91FF>水、风属性伤害+2%</color>\n下一级：水、风属性伤害+4%,1级,Skill_Magician,UI_Icon_Skill_Magician_ShuangDongZhiShu.png,0=175=200|172=200,3027004=1,
300802,水、风属性强化,<color=#51BE91FF>水、风属性伤害+4%</color>\n下一级：水、风属性伤害+6%,2级,Skill_Magician,UI_Icon_Skill_Magician_ShuangDongZhiShu.png,0=175=400|172=400,3027004=5,
300803,水、风属性强化,<color=#51BE91FF>水、风属性伤害+6%</color>\n下一级：水、风属性伤害+8%,3级,Skill_Magician,UI_Icon_Skill_Magician_ShuangDongZhiShu.png,0=175=600|172=600,3027004=12,
300804,水、风属性强化,<color=#51BE91FF>水、风属性伤害+8%</color>\n强化效果：水、风属性伤害+10%,4级,Skill_Magician,UI_Icon_Skill_Magician_ShuangDongZhiShu.png,0=175=800|172=800,3027004=38,1
300805,水、风属性强化,<color=#51BE91FF>强化中：水、风属性伤害+10%</color>,5级,Skill_Magician,UI_Icon_Skill_Magician_ShuangDongZhiShu.png,0=175=1000|172=1000,3027004=2,2
400101,敏捷,<color=#51BE91FF>敏捷+2</color>\n下一级：敏捷+4,1级,Skill_Thief,UI_Icon_Skill_Thief_HouTuiHuiBi.png,0=18=2,3027004=1,
400102,敏捷,<color=#51BE91FF>敏捷+4</color>\n下一级：敏捷+6,2级,Skill_Thief,UI_Icon_Skill_Thief_HouTuiHuiBi.png,0=18=4,3027004=5,
400103,敏捷,<color=#51BE91FF>敏捷+6</color>\n下一级：敏捷+8,3级,Skill_Thief,UI_Icon_Skill_Thief_HouTuiHuiBi.png,0=18=6,3027004=12,
400104,敏捷,<color=#51BE91FF>敏捷+8</color>\n强化效果：敏捷+10,4级,Skill_Thief,UI_Icon_Skill_Thief_HouTuiHuiBi.png,0=18=8,3027004=38,1
400105,敏捷,<color=#51BE91FF>强化中：敏捷+10</color>,5级,Skill_Thief,UI_Icon_Skill_Thief_HouTuiHuiBi.png,0=18=10,3027004=2,2
400201,幸运,<color=#51BE91FF>幸运+2</color>\n下一级：幸运+4,1级,Skill_Acolyte,UI_Icon_Skill_Acolyte_XingYunZhiSongGe.png,0=24=2,3027004=1,
400202,幸运,<color=#51BE91FF>幸运+4</color>\n下一级：幸运+6,2级,Skill_Acolyte,UI_Icon_Skill_Acolyte_XingYunZhiSongGe.png,0=24=4,3027004=5,
400203,幸运,<color=#51BE91FF>幸运+6</color>\n下一级：幸运+8,3级,Skill_Acolyte,UI_Icon_Skill_Acolyte_XingYunZhiSongGe.png,0=24=6,3027004=12,
400204,幸运,<color=#51BE91FF>幸运+8</color>\n强化效果：幸运+10,4级,Skill_Acolyte,UI_Icon_Skill_Acolyte_XingYunZhiSongGe.png,0=24=8,3027004=38,1
400205,幸运,<color=#51BE91FF>强化中：幸运+10</color>,5级,Skill_Acolyte,UI_Icon_Skill_Acolyte_XingYunZhiSongGe.png,0=24=10,3027004=2,2
400301,极速II,<color=#51BE91FF>攻击速度+4%</color>\n下一级：攻击速度+8%,1级,Skill_Merchant,UI_Icon_Skill_Merchant_SuDuJiFa.png,0=71=400,3027004=1,
400302,极速II,<color=#51BE91FF>攻击速度+8%</color>\n下一级：攻击速度+12%,2级,Skill_Merchant,UI_Icon_Skill_Merchant_SuDuJiFa.png,0=71=800,3027004=5,
400303,极速II,<color=#51BE91FF>攻击速度+12%</color>\n下一级：攻击速度+16%,3级,Skill_Merchant,UI_Icon_Skill_Merchant_SuDuJiFa.png,0=71=1200,3027004=12,
400304,极速II,<color=#51BE91FF>攻击速度+16%</color>\n强化效果：攻击速度+20%,4级,Skill_Merchant,UI_Icon_Skill_Merchant_SuDuJiFa.png,0=71=1600,3027004=38,1
400305,极速II,<color=#51BE91FF>强化中：攻击速度+20%</color>,5级,Skill_Merchant,UI_Icon_Skill_Merchant_SuDuJiFa.png,0=71=2000,3027004=2,2
400401,锐利,<color=#51BE91FF>暴击伤害+3%</color>\n下一级：暴击伤害+6%,1级,Skill_Swordman,UI_Icon_Skill_Swordman_LuoXuanJiCi.png,0=59=300,3027004=1,
