Setting,Comment,Value
BanquetChampagneItem,宴会香槟祝福消耗道具ID,2050008=1
BanquetChampagneCoin,宴会香槟祝福消耗货币,103=168
BanquetChampagneEffect,宴会香槟祝福提升效果加成（基数10000）,2000
BanquetChampagneNews,宴会香槟祝福的新闻id,11
BanquetChampagneIcon,成员列表香槟祝福图标,GuildBanquet|UI_GuildBanquet_Icon_XiangBin.png
BanquetFightEventNodeTime,乱斗时间判定时间,2007
BanquetFightEventNum,乱斗时间判定人数（至少X人）,2
BanquetFightEventNoticeTime,乱斗时间预告时间,15
BanquetFightEventCountTime,乱斗时间倒计时时间,25
BanquetFightEventTime,乱斗事件开始时间,30
BanquetFightEventLastTime,乱斗事件持续时间,90
BanquetMemberNumLimit,宴会人数开启限制,0
BanquetCookTimeNpc,双人烹饪阶段锅,6004
BanquetCookTimeNpcPosition,双人烹饪阶段锅位置（X|Y|Z|Rotation.y）,50.628|25.51|55.835|0
BanquetPerpareNpc,准备阶段锅,6002
BanquetPerpareNpcPosition,准备阶段锅位置（X|Y|Z|Rotation.y）,50.628|25.51|55.835|0
BanquetFoodNpc,品尝的菜,6010|6011|6012|6013|6014|6015|6016|6017|6018|6019
BanquetFoodNpcPositon,品尝的菜位置,50.658|25.489|55.806|90
BanquetTablecloth,桌布模型ID,110000
BanquetTableclothPosition,桌布模型位置,50.658|25.469|55.806|90
BanquetBoxCollectionRealOne,真礼盒采集物ID,20001
BanquetBoxCollectionFakeOne,假礼盒采集物ID,20002|20003|20004|20005|20007|20008|20009|20012|20013|20014
BanquetPetrifactionCollection,石化采集物ID,20002
BanquetSocialTaskNpc,宴会交互NPC,6003
BanquetSocialTask,宴会交互任务库,8000100|8000101
BanquetBoxNum,真假宝箱刷新数量,0=1=1=1|30=2=1=1|100=3=1=2
BanquetSocialNpcNum,交互NPC刷新数量,0=1|30=1|100=2
BanquetFoodMount,宴会上几轮菜,5
BanquetFoodEatInterval,宴会吃菜间隔,120
BanquetFoodPerpareTime,宴会吃菜准备烹饪阶段时间,30
BanquetEventNoticeTime,宴会随机事件预告时间,30
BanquetEventTime,宴会随机事件时间,60
BanquetEventLastTime,宴会随机事件持续时间,30
BanquetEventTaskAward,宴会爱神任务的奖励,6100040
BanquetEventTaskMsg,宴会爱神任务的奖励公告,62009|62026|62027
BanquetFoodAward,宴会品尝烹饪的奖励,6100010
BanquetSeveralfoldAward,宴会品尝烹饪获得多倍奖励的概率（基数10000）,300
BanquetExpAward,宴会泡点经验奖励,GuildExp
BanquetPhotoAward,宴会雕像拍照奖励,6100050
BanquetFoodAwardPack,宴会品尝烹饪发公告的奖励pack,7020021
BanquetFightKingAward,宴会乱斗吃鸡奖励,6100060
BanquetFightAudienceAward,宴会乱斗围观奖励,6100070
BanquetFightKingAwardNotice1,宴会乱斗吃鸡奖励公告1,62030
BanquetFightKingAwardNotice2,宴会乱斗吃鸡奖励公告2,62032
BanquetFoodAwardNotice,宴会品尝烹饪获奖公告,62008
BanquetTitleWord,宴会帮助标题文字,BANQUET_TITLE_WORD
BanquetSwitchCook,宴会奶油乱斗变身BUFF,929101
BanquetShootSkill,宴会奶油乱斗砸奶油技能,1300350103
BanquetDefenseSkill,宴会奶油乱斗防御技能,1300350104
BanquetEntity,宴会奶油乱斗变身形象,30539
BanquetDeleteCook,宴会奶油乱斗取消变身形象,929301
BanquetContentWord,宴会帮助内容文字,BANQUET_CONTENT_WORD
HuntingTimesPerWeek,狩猎每周开启次数（与公会等级相关）,1=1|2=1|3=1|4=1|5=1
HuntingOpenTime,狩猎可开启时间,180000=220000
HuntingOpenCost,狩猎开启消耗公会资金,0
HuntingDurationTime,狩猎持续时间（小时）,4
HuntingAwardTimes,每次狩猎奖励次数,2
HuntingNormalDifficultyTimes,各等级普通难度次数,1=15|2=15|3=15|4=15|5=15
HuntingHardDifficultyTimes,各等级困难难度次数,1=6|2=6|3=6|4=6|5=6
HuntingJoinGuildLimit,入会后参与活动时间限制（小时）,0
HuntingLastTimeLeaveGuildLimit,距离上次离开公会时间限制（小时）,24
HuntingGuildNoticeInteval,公会公告时间间隔（分钟）,120
HuntingEasyDifficultyScore,简单难度通关积分,10
HuntingNormalDifficultyScore,普通难度通关积分,20
HuntingHardDifficultyScore,困难难度通关积分,40
HuntingFightScoreTriesLimit,每次活动积分计算次数上限,5
HuntingEasyPortal,简单传送门位置,61.87=25.07=104.88=180
HuntingNormalPortal,普通传送门位置,67.62=25.07=104.88=180
HuntingHardPortal,困难传送门位置,64.93=24.68=97.1=180
HuntingRankingCount,排行榜数量,25
HuntingEasyDungeon,公会简单副本ID,800
HuntingNormalDungeons,公会普通副本ID,801|802|803
HuntingHardDungeons,公会困难副本ID,804|805|806
HuntingChestAwardID,狩猎宝箱奖励ID,6200010
HuntingAwardMailID,狩猎未领发送邮件ID,1006
HuntingAwardID,公会狩猎副本奖励ID,6200020|6200030|6200040
HuntingFastTime,公会狩猎急速通关时间（秒）,100
HuntingPathTargetPosition,狩猎快速寻路坐标点,64.7=25.1=89.25=-90
HuntingNpcIDSection,狩猎传送门ID区间（没用到）,6022=6026
HuntingEasyNpcID,狩猎简单难度NPCID（击破前=击破后）,6022=6022
HuntingNormalNpcID,狩猎普通难度NPCID（击破前=击破后）,6023=6025
HuntingHardNpcID,狩猎困难难度NPCID（击破前=击破后）,6024=6026
HuntingSpecialItemID,狩猎特殊使用物品ID,2050006
HuntingProgressTips,狩猎进度提示,25=60111|50=60112|75=60113
HuntingTreasureCollectID,公会狩猎宝箱采集物ID,20021
HuntingTreasureFirstBlood,首杀困难后的宝箱数量配置（公会等级=数量|公会等级=数量）,1=20|2=25|3=30|4=35|5=40
HuntingTreasureFinalKill,最终击杀后的宝箱数量配置（参与活动人数=数量|参与活动人数=数量）,3=20|5=20|7=20|50=20|70=20
HuntingTreasureDayLimit,公会狩猎宝箱每日限制数量,3
HuntingTreasureIntervalTime,公会狩猎宝箱公告后撒下时间（秒）,60
HuntingTreasureDisappearTime,公会狩猎宝箱消失时间（秒）,600
HuntingRedEnvelopesItemID,公会红包道具ID,2050007
HuntingRankRedEnvelopesID,狩猎排名红包对应表ID,1=15|2=14|3=13|4=12|5=11
HuntingFirstBloodRedEnvelopesID,狩猎首通困难红包对应表ID,12
HuntingRankRedEnvelopesText,狩猎排名红包文字,HuntingRankRedEnvelopesText
HuntingAssistNpcConfig,狩猎协助NPC配置（ID=X=Y=Z=FACE）,6028=60=25.2=33.8=-90
HuntingGameTips,狩猎玩法说明枚举（对应GametipsTable）,18
HuntingScoreExchangeRecord,狩猎积分与个人战绩系数转换（积分*系数=战绩）,1
HuntingScoreExchangeMaxLimit,狩猎积分最高上限,10000
HuntingGiftbox,公会狩猎进度与礼盒个数（通关进度万分比=发放的总礼盒个数）,10000=7|8000=6|5000=4|3000=3
HuntingWarSpoils,公会狩猎进度与战利品（通关进度万分比=奖励ID=数量）,2500=2090880=1|5000=2090880=2|7500=2090880=3|10000=2090880=4
HuntingItemBuffID,狩猎的封印碎片使用影响的BUFFID（读GuildHuntBuffTable）,4
GuildRankScoreHuntingExchange,公会狩猎积分转换公会排行分（狩猎/排行）,1
GuildRankScoreMatch,公会精英赛排行分(胜利：平局：失败),600|300|300
GuildRankScoreCookoff,公会宴会比赛排行分（一二三四名分数）,600|450|300|150
GuildRankScoreGvg,Gvg分数（中心城池公会|非中心城池公会|参与公会）,600|400|100
RoyalRaceActivities,皇室竞赛玩法（活动ID）,15|19|20
RoyalRaceActivitiesName,皇室竞赛玩法积分名称,GuildHunter|GuildBanquet|GuildMatch|GVG
RoyalRaceActivitiesScoreName,皇室竞赛玩法积分名称,GuildHunterScore|GuildBanquetScore|GuildMatchScore|GVGScore
RoyalRaceActivitiesIcon,皇室竞赛玩法显示图标,GuildRank=GuildRank_Img_Hunt.png|GuildRank=GuildRank_Img_Dinner.png|GuildRank=GuildRank_Img_PiPei.png|GuildRank=GuildRank_Img_GVG.png
RoyalRaceActivitiesAwardIcon,皇室竞赛玩法奖杯图标,GuildRank=GuildRank_Img_Hunt_{0}.png|GuildRank=GuildRank_Img_Dinner_{0}.png|GuildRank=GuildRank_Img_PiPei_{0}.png|GuildRank=GuildRank_Img_GVG_{0}.png
RoyalRaceActivitiesGuildIcon,皇室竞赛玩法的公会图标奖励（公会图标ID）,17|18|19
RoyalRaceActivitiesTitles,皇室竞赛玩法的称号奖励,1059008|1059009|1059010
RoyalRaceDivisionName,皇室竞赛分组名,Guild_First_Division|Guild_Second_Division
RoyalRaceDivisionAwardIcon,皇室竞赛分组奖杯图标,GuildRank=GuildRank_Img_Rank_{0}.png|GuildRank=GuildRank_Img_RongYu_{0}.png
RoyalRaceDivisionGuildIcon,皇室竞赛甲组公会图标奖励（公会图标ID）,13|14|15|16
RoyalRaceStartWeek,皇室竞赛赛季第N周开启,1
RoyalRaceStartWeekday,皇室竞赛赛季开始时间（星期X）,1
RoyalRaceStartTime,皇室竞赛赛季开始时间（X点X分）,0500
RoyalRaceLastTime,皇室竞赛赛季时长（单位：天）,14
RoyalRaceFirstDivisionNum,皇室竞赛甲组公会数量,20
RoyalRacePromotionNum,皇室竞赛赛季甲组保留数量,15
RoyalRaceShowListNum,皇室竞赛甲/乙组列表展示公会数,20
SecondDivisionShowLimit,皇室竞赛乙组公会名次显示到第N名,100
RoyalRaceShowListName,活动对应皇室竞赛甲/乙组对应排行榜,1=800=810|2=803=813|3=801=811|4=802=812
RoyalRaceIconLimit,皇室竞赛前x名发公会图标,10
