ID,Position,RefineLevel,RefineAttr,ExtraAttr,AttrTips,SafeLevel,DropRate,CompensateRate,damagedRate,RateLimit,LuckyPro,RefineConsume,RestoreConsume,RollBack,ProRollBack,Beecham,CompensationId,ShowRate,SuccessRate,FailureResultRate,ProRate,ProRateShow,coefficient
13,1,12,0=61=139|0=346=65|0=65=300,0=63=0,精炼系统带来的物理攻击|物理追加伤害|物理伤害,12,0,0,0,0,0,3020005=20|101=250000,3020008=53|101=500000,3020013=0,3020023=3,0,,1600,1600,100|0|0,300,300,2.5
14,1,13,0=61=160|0=346=75|0=65=300,0=63=0,精炼系统带来的物理攻击|物理追加伤害|物理伤害,12,500,100,200,1000,0,3020005=24|101=300000,3020008=67|101=600000,3020013=10,3020023=12,0,,1400,1400,65|5|30,300,300,2.5
15,1,14,0=61=181|0=346=85|0=65=400,0=63=0,精炼系统带来的物理攻击|物理追加伤害|物理伤害,12,500,100,200,1000,0,3020005=28|101=350000,3020008=80|101=700000,3020013=15,3020023=17,0,,1200,1200,65|5|30,300,300,2.5
16,1,15,0=61=202|0=346=95|0=65=400,0=63=0,精炼系统带来的物理攻击|物理追加伤害|物理伤害,15,0,0,0,0,0,3020005=36|101=400000,3020008=80|101=700000,3020013=0,3020023=10,0,,1100,1100,100|0|0,300,300,2.5
17,1,16,0=61=230|0=346=110|0=65=400,0=63=0,精炼系统带来的物理攻击|物理追加伤害|物理伤害,15,500,100,200,1000,0,3020005=42|101=450000,3020008=80|101=700000,3020013=15,3020023=20,0,,1000,1000,80|0|20,300,300,2.5
18,1,17,0=61=258|0=346=125|0=65=500,0=63=0,精炼系统带来的物理攻击|物理追加伤害|物理伤害,15,500,100,200,1000,0,3020005=48|101=500000,3020008=80|101=700000,3020013=20,3020023=23,0,,1000,1000,80|0|20,300,300,2.5
19,1,18,0=61=286|0=346=140|0=65=500,0=63=0,精炼系统带来的物理攻击|物理追加伤害|物理伤害,15,500,100,200,1000,0,3020005=54|101=550000,3020008=80|101=700000,3020013=20,3020023=24,0,,1000,1000,80|0|20,300,300,2.5
20,1,19,0=61=314|0=346=155|0=65=500,0=63=0,精炼系统带来的物理攻击|物理追加伤害|物理伤害,15,500,100,200,1000,0,3020005=60|101=600000,3020008=80|101=700000,3020013=20,3020023=25,0,,1000,1000,80|0|20,300,300,2.5
21,1,20,0=61=342|0=346=170|0=65=700,0=63=0,精炼系统带来的物理攻击|物理追加伤害|物理伤害,15,500,100,200,1000,0,3020005=60|101=600000,3020008=80|101=700000,3020013=25,3020023=25,0,,1000,1000,80|0|20,300,300,2.5
22,2,0,0=62=0|0=347=0|0=66=0,0=63=0,精炼系统带来的魔法攻击|魔法追加伤害|魔法伤害,0,0,0,0,0,0,3020003=2|101=16000,3020008=1|101=10000,3020013=0,3020023=0,0,,10000,10000,100|0|0,300,300,2.5
23,2,1,0=62=7|0=347=9|0=66=0,0=63=0,精炼系统带来的魔法攻击|魔法追加伤害|魔法伤害,0,0,0,0,0,0,3020003=3|101=20000,3020008=1|101=10000,3020013=0,3020023=0,0,,10000,10000,100|0|0,300,300,2.5
24,2,2,0=62=14|0=347=18|0=66=0,0=63=0,精炼系统带来的魔法攻击|魔法追加伤害|魔法伤害,0,0,0,0,0,0,3020003=4|101=24000,3020008=1|101=10000,3020013=0,3020023=0,0,,10000,10000,100|0|0,300,300,2.5
25,2,3,0=62=21|0=347=27|0=66=0,0=63=0,精炼系统带来的魔法攻击|魔法追加伤害|魔法伤害,3,0,0,0,0,0,3020003=4|101=28000,3020008=1|101=10000,3020013=1,3020023=0,0,,5500,5500,75|0|25,300,300,2.5
26,2,4,0=62=28|0=347=36|0=66=0,0=63=0,精炼系统带来的魔法攻击|魔法追加伤害|魔法伤害,0,1000,200,500,2000,0,3020003=4|101=32000,3020008=1|101=10000,3020013=1,3020023=0,0,,5000,5000,75|0|25,300,300,2.5
27,2,5,0=62=38|0=347=51|0=66=100,0=63=0,精炼系统带来的魔法攻击|魔法追加伤害|魔法伤害,0,1000,200,500,2000,0,3020003=6|101=40000,3020008=1|101=10000,3020013=2,3020023=0,0,,4500,4500,75|0|25,300,300,2.5
28,2,6,0=62=48|0=347=66|0=66=100,0=63=0,精炼系统带来的魔法攻击|魔法追加伤害|魔法伤害,6,0,0,0,0,0,3020003=12|101=50000,3020008=4|101=50000,3020013=0,3020023=0,0,,4000,4000,95|5|0,300,300,2.5
29,2,7,0=62=58|0=347=81|0=66=100,0=63=0,精炼系统带来的魔法攻击|魔法追加伤害|魔法伤害,6,1000,200,500,2000,0,3020003=20|101=60000,3020008=7|101=100000,3020013=3,3020023=0,0,,3000,3000,70|5|25,300,300,2.5
30,2,8,0=62=73|0=347=102|0=66=200,0=63=0,精炼系统带来的魔法攻击|魔法追加伤害|魔法伤害,6,1000,200,500,2000,0,3020003=30|101=80000,3020008=11|101=150000,3020013=3,3020023=0,0,,2500,2500,70|5|25,300,300,2.5
31,2,9,0=62=88|0=347=123|0=66=200,0=63=0,精炼系统带来的魔法攻击|魔法追加伤害|魔法伤害,9,0,0,0,0,0,3020003=40|101=120000,3020008=13|101=200000,3020013=0,3020023=0,0,,1000,1000,100|0|0,300,300,2.5
32,2,10,0=62=103|0=347=144|0=66=200,0=63=0,精炼系统带来的魔法攻击|魔法追加伤害|魔法伤害,9,1000,200,500,2000,0,3020005=12|101=160000,3020008=20|101=300000,3020013=5,3020023=5,0,,2000,2000,60|5|35,300,300,2.5
33,2,11,0=62=118|0=347=165|0=66=300,0=63=0,精炼系统带来的魔法攻击|魔法追加伤害|魔法伤害,9,1000,200,500,2000,0,3020005=16|101=200000,3020008=27|101=400000,3020013=5,3020023=6,0,,1800,1800,60|5|35,300,300,2.5
34,2,12,0=62=139|0=347=195|0=66=300,0=63=0,精炼系统带来的魔法攻击|魔法追加伤害|魔法伤害,12,0,0,0,0,0,3020005=20|101=250000,3020008=53|101=500000,3020013=0,3020023=3,0,,1600,1600,100|0|0,300,300,2.5
35,2,13,0=62=160|0=347=225|0=66=300,0=63=0,精炼系统带来的魔法攻击|魔法追加伤害|魔法伤害,12,500,100,200,1000,0,3020005=24|101=300000,3020008=67|101=600000,3020013=10,3020023=12,0,,1400,1400,65|5|30,300,300,2.5
36,2,14,0=62=181|0=347=255|0=66=400,0=63=0,精炼系统带来的魔法攻击|魔法追加伤害|魔法伤害,12,500,100,200,1000,0,3020005=28|101=350000,3020008=80|101=700000,3020013=15,3020023=17,0,,1200,1200,65|5|30,300,300,2.5
37,2,15,0=62=202|0=347=285|0=66=400,0=63=0,精炼系统带来的魔法攻击|魔法追加伤害|魔法伤害,15,0,0,0,0,0,3020005=36|101=400000,3020008=80|101=700000,3020013=0,3020023=10,0,,1100,1100,100|0|0,300,300,2.5
38,2,16,0=62=230|0=347=330|0=66=400,0=63=0,精炼系统带来的魔法攻击|魔法追加伤害|魔法伤害,15,500,100,200,1000,0,3020005=42|101=450000,3020008=80|101=700000,3020013=15,3020023=20,0,,1000,1000,80|0|20,300,300,2.5
39,2,17,0=62=258|0=347=375|0=66=500,0=63=0,精炼系统带来的魔法攻击|魔法追加伤害|魔法伤害,15,500,100,200,1000,0,3020005=48|101=500000,3020008=80|101=700000,3020013=20,3020023=23,0,,1000,1000,80|0|20,300,300,2.5
40,2,18,0=62=286|0=347=420|0=66=500,0=63=0,精炼系统带来的魔法攻击|魔法追加伤害|魔法伤害,15,500,100,200,1000,0,3020005=54|101=550000,3020008=80|101=700000,3020013=20,3020023=24,0,,1000,1000,80|0|20,300,300,2.5
41,2,19,0=62=314|0=347=465|0=66=500,0=63=0,精炼系统带来的魔法攻击|魔法追加伤害|魔法伤害,15,500,100,200,1000,0,3020005=60|101=600000,3020008=80|101=700000,3020013=20,3020023=25,0,,1000,1000,80|0|20,300,300,2.5
42,2,20,0=62=342|0=347=510|0=66=700,0=63=0,精炼系统带来的魔法攻击|魔法追加伤害|魔法伤害,15,500,100,200,1000,0,3020005=60|101=600000,3020008=80|101=700000,3020013=25,3020023=25,0,,1000,1000,80|0|20,300,300,2.5
43,3,0,0=63=0|0=33=0,0=63=0,精炼系统带来的物理防御|物理防御,0,0,0,0,0,0,3020004=2|101=16000,3020009=1|101=10000,3020014=0,3020024=0,0,,10000,10000,100|0|0,300,300,2.5
44,3,1,0=63=3|0=33=0,0=63=0,精炼系统带来的物理防御|物理防御,0,0,0,0,0,0,3020004=3|101=20000,3020009=1|101=10000,3020014=0,3020024=0,0,,10000,10000,100|0|0,300,300,2.5
45,3,2,0=63=6|0=33=0,0=63=0,精炼系统带来的物理防御|物理防御,0,0,0,0,0,0,3020004=4|101=24000,3020009=1|101=10000,3020014=0,3020024=0,0,,10000,10000,100|0|0,300,300,2.5
46,3,3,0=63=9|0=33=0,0=63=0,精炼系统带来的物理防御|物理防御,3,0,0,0,0,0,3020004=4|101=28000,3020009=1|101=10000,3020014=1,3020024=0,0,,5500,5500,75|0|25,300,300,2.5
47,3,4,0=63=12|0=33=0,0=63=0,精炼系统带来的物理防御|物理防御,0,1000,200,500,2000,0,3020004=4|101=32000,3020009=1|101=10000,3020014=1,3020024=0,0,,5000,5000,75|0|25,300,300,2.5
48,3,5,0=63=16|0=33=100,0=63=0,精炼系统带来的物理防御|物理防御,0,1000,200,500,2000,0,3020004=6|101=40000,3020009=1|101=10000,3020014=2,3020024=0,0,,4500,4500,75|0|25,300,300,2.5
49,3,6,0=63=20|0=33=100,0=63=0,精炼系统带来的物理防御|物理防御,6,0,0,0,0,0,3020004=12|101=50000,3020009=4|101=50000,3020014=0,3020024=0,0,,4000,4000,95|5|0,300,300,2.5
50,3,7,0=63=24|0=33=100,0=63=0,精炼系统带来的物理防御|物理防御,6,1000,200,500,2000,0,3020004=20|101=60000,3020009=7|101=100000,3020014=3,3020024=0,0,,3000,3000,70|5|25,300,300,2.5
51,3,8,0=63=29|0=33=200,0=63=0,精炼系统带来的物理防御|物理防御,6,1000,200,500,2000,0,3020004=30|101=80000,3020009=11|101=150000,3020014=3,3020024=0,0,,2500,2500,70|5|25,300,300,2.5
52,3,9,0=63=34|0=33=200,0=63=0,精炼系统带来的物理防御|物理防御,9,0,0,0,0,0,3020004=40|101=120000,3020009=13|101=200000,3020014=0,3020024=0,0,,1000,1000,100|0|0,300,300,2.5
53,3,10,0=63=39|0=33=200,0=63=0,精炼系统带来的物理防御|物理防御,9,1000,200,500,2000,0,3020006=12|101=160000,3020009=20|101=300000,3020014=5,3020024=5,0,,2000,2000,60|5|35,300,300,2.5
54,3,11,0=63=44|0=33=300,0=63=0,精炼系统带来的物理防御|物理防御,9,1000,200,500,2000,0,3020006=16|101=200000,3020009=27|101=400000,3020014=5,3020024=6,0,,1800,1800,60|5|35,300,300,2.5
55,3,12,0=63=50|0=33=300,0=63=0,精炼系统带来的物理防御|物理防御,12,0,0,0,0,0,3020006=20|101=250000,3020009=53|101=500000,3020014=0,3020024=3,0,,1600,1600,100|0|0,300,300,2.5
56,3,13,0=63=56|0=33=300,0=63=0,精炼系统带来的物理防御|物理防御,12,500,100,200,1000,0,3020006=24|101=300000,3020009=67|101=600000,3020014=10,3020024=12,0,,1400,1400,65|5|30,300,300,2.5
57,3,14,0=63=62|0=33=400,0=63=0,精炼系统带来的物理防御|物理防御,12,500,100,200,1000,0,3020006=28|101=350000,3020009=80|101=700000,3020014=15,3020024=17,0,,1200,1200,65|5|30,300,300,2.5
58,3,15,0=63=68|0=33=400,0=63=0,精炼系统带来的物理防御|物理防御,15,0,0,0,0,0,3020006=36|101=400000,3020009=80|101=700000,3020014=0,3020024=10,0,,1100,1100,100|0|0,300,300,2.5
59,3,16,0=63=75|0=33=400,0=63=0,精炼系统带来的物理防御|物理防御,15,500,100,200,1000,0,3020006=42|101=450000,3020009=80|101=700000,3020014=15,3020024=20,0,,1000,1000,80|0|20,300,300,2.5
60,3,17,0=63=82|0=33=500,0=63=0,精炼系统带来的物理防御|物理防御,15,500,100,200,1000,0,3020006=48|101=500000,3020009=80|101=700000,3020014=20,3020024=23,0,,1000,1000,80|0|20,300,300,2.5
61,3,18,0=63=89|0=33=500,0=63=0,精炼系统带来的物理防御|物理防御,15,500,100,200,1000,0,3020006=54|101=550000,3020009=80|101=700000,3020014=20,3020024=24,0,,1000,1000,80|0|20,300,300,2.5
62,3,19,0=63=96|0=33=500,0=63=0,精炼系统带来的物理防御|物理防御,15,500,100,200,1000,0,3020006=60|101=600000,3020009=80|101=700000,3020014=20,3020024=25,0,,1000,1000,80|0|20,300,300,2.5
63,3,20,0=63=104|0=33=700,0=63=0,精炼系统带来的物理防御|物理防御,15,500,100,200,1000,0,3020006=60|101=600000,3020009=80|101=700000,3020014=25,3020024=25,0,,1000,1000,80|0|20,300,300,2.5
64,4,0,0=61=0|0=62=0|0=346=0|0=347=0|0=65=0|0=66=0,0=63=0,精炼系统带来的物理攻击|精炼系统带来的魔法攻击|物理追加伤害|魔法追加伤害|物理伤害|魔法伤害,0,0,0,0,0,0,3020003=2|101=16000,3020008=1|101=10000,3020013=0,3020023=0,0,,10000,10000,100|0|0,300,300,2.5
65,4,1,0=61=7|0=62=7|0=346=3|0=347=9|0=65=0|0=66=0,0=63=0,精炼系统带来的物理攻击|精炼系统带来的魔法攻击|物理追加伤害|魔法追加伤害|物理伤害|魔法伤害,0,0,0,0,0,0,3020003=3|101=20000,3020008=1|101=10000,3020013=0,3020023=0,0,,10000,10000,100|0|0,300,300,2.5
66,4,2,0=61=14|0=62=14|0=346=6|0=347=18|0=65=0|0=66=0,0=63=0,精炼系统带来的物理攻击|精炼系统带来的魔法攻击|物理追加伤害|魔法追加伤害|物理伤害|魔法伤害,0,0,0,0,0,0,3020003=4|101=24000,3020008=1|101=10000,3020013=0,3020023=0,0,,10000,10000,100|0|0,300,300,2.5
67,4,3,0=61=21|0=62=21|0=346=9|0=347=27|0=65=0|0=66=0,0=63=0,精炼系统带来的物理攻击|精炼系统带来的魔法攻击|物理追加伤害|魔法追加伤害|物理伤害|魔法伤害,3,0,0,0,0,0,3020003=4|101=28000,3020008=1|101=10000,3020013=1,3020023=0,0,,5500,5500,75|0|25,300,300,2.5
68,4,4,0=61=28|0=62=28|0=346=12|0=347=36|0=65=0|0=66=0,0=63=0,精炼系统带来的物理攻击|精炼系统带来的魔法攻击|物理追加伤害|魔法追加伤害|物理伤害|魔法伤害,0,1000,200,500,2000,0,3020003=4|101=32000,3020008=1|101=10000,3020013=1,3020023=0,0,,5000,5000,75|0|25,300,300,2.5
69,4,5,0=61=38|0=62=38|0=346=17|0=347=51|0=65=100|0=66=100,0=63=0,精炼系统带来的物理攻击|精炼系统带来的魔法攻击|物理追加伤害|魔法追加伤害|物理伤害|魔法伤害,0,1000,200,500,2000,0,3020003=6|101=40000,3020008=1|101=10000,3020013=2,3020023=0,0,,4500,4500,75|0|25,300,300,2.5
70,4,6,0=61=48|0=62=48|0=346=22|0=347=66|0=65=100|0=66=100,0=63=0,精炼系统带来的物理攻击|精炼系统带来的魔法攻击|物理追加伤害|魔法追加伤害|物理伤害|魔法伤害,6,0,0,0,0,0,3020003=12|101=50000,3020008=2|101=10000,3020013=0,3020023=0,0,,4000,4000,95|5|0,300,300,2.5
71,4,7,0=61=58|0=62=58|0=346=27|0=347=81|0=65=100|0=66=100,0=63=0,精炼系统带来的物理攻击|精炼系统带来的魔法攻击|物理追加伤害|魔法追加伤害|物理伤害|魔法伤害,6,1000,200,500,2000,0,3020003=20|101=60000,3020008=4|101=10000,3020013=3,3020023=0,0,,3000,3000,70|5|25,300,300,2.5
72,4,8,0=61=73|0=62=73|0=346=34|0=347=102|0=65=200|0=66=200,0=63=0,精炼系统带来的物理攻击|精炼系统带来的魔法攻击|物理追加伤害|魔法追加伤害|物理伤害|魔法伤害,6,1000,200,500,2000,0,3020003=30|101=80000,3020008=5|101=10000,3020013=3,3020023=0,0,,2500,2500,70|5|25,300,300,2.5
73,4,9,0=61=88|0=62=88|0=346=41|0=347=123|0=65=200|0=66=200,0=63=0,精炼系统带来的物理攻击|精炼系统带来的魔法攻击|物理追加伤害|魔法追加伤害|物理伤害|魔法伤害,9,0,0,0,0,0,3020003=40|101=120000,3020008=7|101=50000,3020013=0,3020023=0,0,,1000,1000,100|0|0,300,300,2.5
74,4,10,0=61=103|0=62=103|0=346=48|0=347=144|0=65=200|0=66=200,0=63=0,精炼系统带来的物理攻击|精炼系统带来的魔法攻击|物理追加伤害|魔法追加伤害|物理伤害|魔法伤害,9,1000,200,500,2000,0,3020005=12|101=160000,3020008=13|101=50000,3020013=5,3020023=5,0,,2000,2000,60|5|35,300,300,2.5
75,4,11,0=61=118|0=62=118|0=346=55|0=347=165|0=65=300|0=66=300,0=63=0,精炼系统带来的物理攻击|精炼系统带来的魔法攻击|物理追加伤害|魔法追加伤害|物理伤害|魔法伤害,9,1000,200,500,2000,0,3020005=16|101=200000,3020008=27|101=100000,3020013=5,3020023=6,0,,1800,1800,60|5|35,300,300,2.5
76,4,12,0=61=139|0=62=139|0=346=65|0=347=195|0=65=300|0=66=300,0=63=0,精炼系统带来的物理攻击|精炼系统带来的魔法攻击|物理追加伤害|魔法追加伤害|物理伤害|魔法伤害,12,0,0,0,0,0,3020005=20|101=250000,3020008=40|101=100000,3020013=0,3020023=3,0,,1600,1600,100|0|0,300,300,2.5
77,4,13,0=61=160|0=62=160|0=346=75|0=347=225|0=65=300|0=66=300,0=63=0,精炼系统带来的物理攻击|精炼系统带来的魔法攻击|物理追加伤害|魔法追加伤害|物理伤害|魔法伤害,12,500,100,200,1000,0,3020005=24|101=300000,3020008=53|101=150000,3020013=10,3020023=12,0,,1400,1400,65|5|30,300,300,2.5
78,4,14,0=61=181|0=62=181|0=346=85|0=347=255|0=65=400|0=66=400,0=63=0,精炼系统带来的物理攻击|精炼系统带来的魔法攻击|物理追加伤害|魔法追加伤害|物理伤害|魔法伤害,12,500,100,200,1000,0,3020005=28|101=350000,3020008=67|101=200000,3020013=15,3020023=17,0,,1200,1200,65|5|30,300,300,2.5
79,4,15,0=61=202|0=62=202|0=346=95|0=347=285|0=65=400|0=66=400,0=63=0,精炼系统带来的物理攻击|精炼系统带来的魔法攻击|物理追加伤害|魔法追加伤害|物理伤害|魔法伤害,15,0,0,0,0,0,3020005=36|101=400000,3020008=67|101=200000,3020013=0,3020023=10,0,,1100,1100,100|0|0,300,300,2.5
80,4,16,0=61=230|0=62=230|0=346=110|0=347=330|0=65=400|0=66=400,0=63=0,精炼系统带来的物理攻击|精炼系统带来的魔法攻击|物理追加伤害|魔法追加伤害|物理伤害|魔法伤害,15,500,100,200,1000,0,3020005=42|101=450000,3020008=67|101=200000,3020013=15,3020023=20,0,,1000,1000,80|0|20,300,300,2.5
81,4,17,0=61=258|0=62=258|0=346=125|0=347=375|0=65=500|0=66=500,0=63=0,精炼系统带来的物理攻击|精炼系统带来的魔法攻击|物理追加伤害|魔法追加伤害|物理伤害|魔法伤害,15,500,100,200,1000,0,3020005=48|101=500000,3020008=67|101=200000,3020013=20,3020023=23,0,,1000,1000,80|0|20,300,300,2.5
82,4,18,0=61=286|0=62=286|0=346=140|0=347=420|0=65=500|0=66=500,0=63=0,精炼系统带来的物理攻击|精炼系统带来的魔法攻击|物理追加伤害|魔法追加伤害|物理伤害|魔法伤害,15,500,100,200,1000,0,3020005=54|101=550000,3020008=67|101=200000,3020013=20,3020023=24,0,,1000,1000,80|0|20,300,300,2.5
83,4,19,0=61=314|0=62=314|0=346=155|0=347=465|0=65=500|0=66=500,0=63=0,精炼系统带来的物理攻击|精炼系统带来的魔法攻击|物理追加伤害|魔法追加伤害|物理伤害|魔法伤害,15,500,100,200,1000,0,3020005=60|101=600000,3020008=67|101=200000,3020013=20,3020023=25,0,,1000,1000,80|0|20,300,300,2.5
84,4,20,0=61=342|0=62=342|0=346=170|0=347=510|0=65=700|0=66=700,0=63=0,精炼系统带来的物理攻击|精炼系统带来的魔法攻击|物理追加伤害|魔法追加伤害|物理伤害|魔法伤害,15,500,100,200,1000,0,3020005=60|101=600000,3020008=67|101=200000,3020013=25,3020023=25,0,,1000,1000,80|0|20,300,300,2.5
85,7,0,0=61=0|0=62=0|0=64=0,,精炼系统带来的物理攻击|精炼系统带来的魔法攻击|精炼系统带来的魔法防御,0,0,0,0,0,0,3020016=2|3020003=2|101=16000,101=100000,3020015=0,3020025=0,0,,10000,10000,100|0|0,300,300,2.5
86,7,1,0=61=3|0=62=3|0=64=0,,精炼系统带来的物理攻击|精炼系统带来的魔法攻击|精炼系统带来的魔法防御,0,0,0,0,0,0,3020016=3|3020003=3|101=20000,101=100000,3020015=0,3020025=0,0,,10000,10000,100|0|0,300,300,2.5
87,7,2,0=61=6|0=62=6|0=64=0,,精炼系统带来的物理攻击|精炼系统带来的魔法攻击|精炼系统带来的魔法防御,0,0,0,0,0,0,3020016=4|3020003=4|101=24000,101=100000,3020015=0,3020025=0,0,,10000,10000,100|0|0,300,300,2.5
88,7,3,0=61=9|0=62=9|0=64=0,,精炼系统带来的物理攻击|精炼系统带来的魔法攻击|精炼系统带来的魔法防御,3,0,0,0,0,0,3020016=4|3020003=4|101=28000,101=100000,3020015=1,3020025=0,0,,5500,5500,80|0|20,300,300,2.5
89,7,4,0=61=12|0=62=12|0=64=0,,精炼系统带来的物理攻击|精炼系统带来的魔法攻击|精炼系统带来的魔法防御,0,1000,200,500,2000,0,3020016=4|3020003=4|101=32000,101=100000,3020015=1,3020025=0,0,,5000,5000,80|0|20,300,300,2.5
90,7,5,0=61=16|0=62=16|0=64=10,,精炼系统带来的物理攻击|精炼系统带来的魔法攻击|精炼系统带来的魔法防御,0,1000,200,500,2000,0,3020016=6|3020003=6|101=40000,101=100000,3020015=2,3020025=0,0,,4500,4500,80|0|20,300,300,2.5
91,7,6,0=61=20|0=62=20|0=64=10,,精炼系统带来的物理攻击|精炼系统带来的魔法攻击|精炼系统带来的魔法防御,6,0,0,0,0,0,3020016=12|3020003=12|101=50000,101=100000,3020015=0,3020025=0,0,,4000,4000,100|0|0,300,300,2.5
92,7,7,0=61=24|0=62=24|0=64=10,,精炼系统带来的物理攻击|精炼系统带来的魔法攻击|精炼系统带来的魔法防御,6,1000,200,500,2000,0,3020016=20|3020003=20|101=60000,101=100000,3020015=3,3020025=0,0,,3000,3000,80|0|20,300,300,2.5
93,7,8,0=61=28|0=62=28|0=64=15,,精炼系统带来的物理攻击|精炼系统带来的魔法攻击|精炼系统带来的魔法防御,6,1000,200,500,2000,0,3020016=30|3020003=30|101=80000,101=100000,3020015=3,3020025=0,0,,2500,2500,80|0|20,300,300,2.5
94,7,9,0=61=33|0=62=33|0=64=15,,精炼系统带来的物理攻击|精炼系统带来的魔法攻击|精炼系统带来的魔法防御,9,0,0,0,0,0,3020016=40|3020003=40|101=120000,101=100000,3020015=0,3020025=0,0,,1000,1000,100|0|0,300,300,2.5
95,7,10,0=61=38|0=62=38|0=64=15,,精炼系统带来的物理攻击|精炼系统带来的魔法攻击|精炼系统带来的魔法防御,9,1000,200,500,2000,0,3020017=12|3020005=12|101=160000,101=100000,3020015=5,3020025=6,0,,2000,2000,80|0|20,300,300,2.5
96,7,11,0=61=43|0=62=43|0=64=20,,精炼系统带来的物理攻击|精炼系统带来的魔法攻击|精炼系统带来的魔法防御,9,1000,200,500,2000,0,3020017=16|3020005=16|101=200000,101=100000,3020015=5,3020025=7,0,,1800,1800,80|0|20,300,300,2.5
97,7,12,0=61=48|0=62=48|0=64=20,,精炼系统带来的物理攻击|精炼系统带来的魔法攻击|精炼系统带来的魔法防御,12,0,0,0,0,0,3020017=20|3020005=20|101=250000,101=100000,3020015=0,3020025=5,0,,1600,1600,100|0|0,300,300,2.5
