ID,Level,NormalAttribute,EliteAttribute,BossAttribute,MVPAttribute,Function
34,34,2118=10,5648=20,11296=42,11296=42,1
35,35,2308=10,6157=20,12314=43,12314=43,1
36,36,2378=10,6342=21,12684=44,12684=44,1
37,37,2479=10,6611=21,13223=45,13223=45,1
38,38,2551=11,6804=22,13608=46,13608=46,1
39,39,2625=11,7000=22,14000=47,14000=47,1
40,40,3986=17,10630=35,21260=73,21260=73,1
41,41,4139=18,11038=36,22076=75,22076=75,1
42,42,4337=18,11566=37,23133=77,23133=77,1
43,43,4506=18,12016=37,24033=79,24033=79,1
44,44,4675=19,12469=38,24938=80,24938=80,1
45,45,5038=20,13436=40,26872=84,26872=84,1
46,46,5248=20,13996=41,27992=87,27992=87,1
47,47,5449=21,14531=42,29062=89,29062=89,1
48,48,5742=21,15313=43,30627=91,30627=91,1
49,49,5941=22,15843=44,31686=93,31686=93,1
50,50,7187=23,19165=47,38331=99,38331=99,1
51,51,7482=24,19953=48,39906=101,39906=101,1
52,52,7616=24,20311=49,40622=103,40622=103,1
53,53,7746=25,20656=50,41312=105,41312=105,1
54,54,7943=25,21181=51,42363=107,42363=107,1
55,55,8575=29,22867=58,45735=121,45735=121,1
56,56,8746=29,23325=59,46650=123,46650=123,1
57,57,8985=30,23962=60,47924=126,47924=126,1
58,58,9188=30,24502=61,49004=128,49004=128,1
59,59,9343=31,24914=63,49829=131,49829=131,1
60,60,13648=33,36395=66,72790=138,72790=138,1
61,61,13605=33,36281=66,72562=138,72562=138,1
62,62,13860=35,36961=70,73923=147,73923=147,1
63,63,14121=38,37657=76,75315=159,75315=159,1
64,64,14375=38,38333=77,76666=162,76666=162,1
65,65,15320=41,40853=83,81707=173,81707=173,1
66,66,15646=42,41722=84,83445=176,83445=176,1
67,67,16087=44,42900=88,85801=183,85801=183,1
68,68,16409=44,43758=89,87516=187,87516=187,1
69,69,16945=45,45187=91,90374=190,90374=190,1
70,70,18224=57,48597=115,97195=240,97195=240,1
71,71,18748=58,49995=117,99991=244,99991=244,1
72,72,19857=59,52953=119,105906=249,105906=249,1
73,73,20815=61,55508=122,111016=254,111016=254,1
74,74,24142=62,64379=124,128759=259,128759=259,1
75,75,26238=74,69968=149,139937=312,139937=312,1
76,76,27298=79,72795=159,145591=331,145591=331,1
77,77,29256=80,78017=161,156034=337,156034=337,1
78,78,29511=82,78697=164,157395=343,157395=343,1
79,79,29905=83,79747=167,159494=348,159494=348,1
80,80,37639=91,100372=182,200744=380,200744=380,1
81,81,37895=92,101053=185,202107=386,202107=386,1
82,82,38897=94,103726=188,207452=392,207452=392,1
83,83,39225=95,104600=191,209201=399,209201=399,1
84,84,42215=97,112574=194,225148=405,225148=405,1
85,85,42982=101,114620=203,229241=424,229241=424,1
86,86,43287=104,115432=209,230865=435,230865=435,1
87,87,43769=106,116718=212,233437=442,233437=442,1
88,88,44939=107,119837=215,239675=449,239675=449,1
89,89,45433=109,121156=219,242312=456,242312=456,1
90,90,48843=112,130248=224,260497=466,260497=466,1
91,91,49286=113,131429=227,262858=473,262858=473,1
92,92,49795=115,132789=231,265578=481,265578=481,1
93,93,52944=117,141184=234,282369=488,282369=488,1
94,94,53408=120,142422=240,284845=501,284845=501,1
95,95,65033=149,173422=298,346844=622,346844=622,1
96,96,65517=154,174712=309,349424=645,349424=645,1
97,97,66331=163,176883=327,353766=683,353766=683,1
98,98,66741=169,177978=339,355957=707,355957=707,1
99,99,72381=175,193018=351,386036=733,386036=733,1
100,100,79331=184,211551=368,423103=768,423103=768,1
101,101,83125=189,216368=373,432737=779,432737=779,1
102,102,84415=195,218061=379,436122=790,436122=790,1
103,103,85615=200,219623=384,439246=801,439246=801,1
104,104,87017=206,221426=390,442852=813,442852=813,1
105,105,89010=224,224330=406,448661=846,448661=846,1
106,106,89845=229,225433=411,450867=857,450867=857,1
107,107,90553=235,226346=416,452693=868,452693=868,1
108,108,90874=240,226781=421,453562=878,453562=878,1
109,109,91282=246,227329=427,454658=889,454658=889,1
110,110,100890=256,238840=435,477681=906,477681=906,1
111,111,101303=262,239386=440,478773=917,478773=917,1
112,112,101688=268,239883=445,479766=928,479766=928,1
113,113,102070=275,240365=451,480731=940,480731=940,1
114,114,102554=281,240959=456,481919=951,481919=951,1
115,115,103335=300,242152=471,484305=982,484305=982,1
116,116,103409=307,242283=476,484566=993,484566=993,1
117,117,103482=313,242413=482,484827=1004,484827=1004,1
118,118,103542=320,242519=487,485038=1015,485038=1015,1
119,119,103616=327,242649=492,485299=1026,485299=1026,1
120,120,104805=337,244327=500,488655=1041,488655=1041,1
121,121,104805=337,244327=500,488655=1041,488655=1041,1
122,122,104805=337,244327=500,488655=1041,488655=1041,1
123,123,104805=337,244327=500,488655=1041,488655=1041,1
124,124,104805=337,244327=500,488655=1041,488655=1041,1
125,125,104805=337,244327=500,488655=1041,488655=1041,1
126,126,104805=337,244327=500,488655=1041,488655=1041,1
127,127,104805=337,244327=500,488655=1041,488655=1041,1
128,128,104805=337,244327=500,488655=1041,488655=1041,1
129,129,104805=337,244327=500,488655=1041,488655=1041,1
130,130,104805=337,244327=500,488655=1041,488655=1041,1
131,131,104805=337,244327=500,488655=1041,488655=1041,1
132,132,104805=337,244327=500,488655=1041,488655=1041,1
133,133,104805=337,244327=500,488655=1041,488655=1041,1
134,134,104805=337,244327=500,488655=1041,488655=1041,1
135,135,104805=337,244327=500,488655=1041,488655=1041,1
136,136,104805=337,244327=500,488655=1041,488655=1041,1
137,137,104805=337,244327=500,488655=1041,488655=1041,1
138,138,104805=337,244327=500,488655=1041,488655=1041,1
139,139,104805=337,244327=500,488655=1041,488655=1041,1
140,140,104805=337,244327=500,488655=1041,488655=1041,1
141,141,104805=337,244327=500,488655=1041,488655=1041,1
142,142,104805=337,244327=500,488655=1041,488655=1041,1
143,143,104805=337,244327=500,488655=1041,488655=1041,1
144,144,104805=337,244327=500,488655=1041,488655=1041,1
145,145,104805=337,244327=500,488655=1041,488655=1041,1
146,146,104805=337,244327=500,488655=1041,488655=1041,1
147,147,104805=337,244327=500,488655=1041,488655=1041,1
148,148,104805=337,244327=500,488655=1041,488655=1041,1
149,149,104805=337,244327=500,488655=1041,488655=1041,1
150,150,104805=337,244327=500,488655=1041,488655=1041,1
151,151,104805=337,244327=500,488655=1041,488655=1041,1
152,152,104805=337,244327=500,488655=1041,488655=1041,1
153,153,104805=337,244327=500,488655=1041,488655=1041,1
154,154,104805=337,244327=500,488655=1041,488655=1041,1
155,155,104805=337,244327=500,488655=1041,488655=1041,1
156,156,104805=337,244327=500,488655=1041,488655=1041,1
157,157,104805=337,244327=500,488655=1041,488655=1041,1
158,158,104805=337,244327=500,488655=1041,488655=1041,1
159,159,104805=337,244327=500,488655=1041,488655=1041,1
160,160,104805=337,244327=500,488655=1041,488655=1041,1
161,161,104805=337,244327=500,488655=1041,488655=1041,1
162,162,104805=337,244327=500,488655=1041,488655=1041,1
163,163,104805=337,244327=500,488655=1041,488655=1041,1
164,164,104805=337,244327=500,488655=1041,488655=1041,1
165,165,104805=337,244327=500,488655=1041,488655=1041,1
166,166,104805=337,244327=500,488655=1041,488655=1041,1
167,167,104805=337,244327=500,488655=1041,488655=1041,1
168,168,104805=337,244327=500,488655=1041,488655=1041,1
169,169,104805=337,244327=500,488655=1041,488655=1041,1
170,170,104805=337,244327=500,488655=1041,488655=1041,1
171,171,104805=337,244327=500,488655=1041,488655=1041,1
172,172,104805=337,244327=500,488655=1041,488655=1041,1
173,173,104805=337,244327=500,488655=1041,488655=1041,1
174,174,104805=337,244327=500,488655=1041,488655=1041,1
175,175,104805=337,244327=500,488655=1041,488655=1041,1
176,176,104805=337,244327=500,488655=1041,488655=1041,1
177,177,104805=337,244327=500,488655=1041,488655=1041,1
178,178,104805=337,244327=500,488655=1041,488655=1041,1
179,179,104805=337,244327=500,488655=1041,488655=1041,1
180,180,104805=337,244327=500,488655=1041,488655=1041,1
181,181,104805=337,244327=500,488655=1041,488655=1041,1
182,182,104805=337,244327=500,488655=1041,488655=1041,1
183,183,104805=337,244327=500,488655=1041,488655=1041,1
184,184,104805=337,244327=500,488655=1041,488655=1041,1
185,185,104805=337,244327=500,488655=1041,488655=1041,1
186,186,104805=337,244327=500,488655=1041,488655=1041,1
187,187,104805=337,244327=500,488655=1041,488655=1041,1
188,188,104805=337,244327=500,488655=1041,488655=1041,1
189,189,104805=337,244327=500,488655=1041,488655=1041,1
190,190,104805=337,244327=500,488655=1041,488655=1041,1
191,191,104805=337,244327=500,488655=1041,488655=1041,1
192,192,104805=337,244327=500,488655=1041,488655=1041,1
193,193,104805=337,244327=500,488655=1041,488655=1041,1
194,194,104805=337,244327=500,488655=1041,488655=1041,1
195,195,104805=337,244327=500,488655=1041,488655=1041,1
196,196,104805=337,244327=500,488655=1041,488655=1041,1
197,197,104805=337,244327=500,488655=1041,488655=1041,1
198,198,104805=337,244327=500,488655=1041,488655=1041,1
199,199,104805=337,244327=500,488655=1041,488655=1041,1
200,200,104805=337,244327=500,488655=1041,488655=1041,1
201,1,22=0,45=1,79=3,79=3,4
202,2,39=1,79=2,139=4,139=4,4
203,3,70=1,141=2,247=5,247=5,4
204,4,76=1,153=3,269=6,269=6,4
205,5,107=2,215=3,377=6,377=6,4
206,6,138=2,277=3,485=7,485=7,4
207,7,155=2,311=4,545=8,545=8,4
208,8,186=2,373=4,653=9,653=9,4
209,9,203=3,407=5,713=10,713=10,4
210,10,295=4,591=6,1034=13,1034=13,4
211,11,534=4,1068=7,1869=14,1869=14,4
212,12,574=4,1148=7,2009=15,2009=15,4
213,13,608=4,1217=8,2130=16,2130=16,4
214,14,634=5,1269=8,2220=17,2220=17,4
215,15,774=5,1548=9,2709=18,2709=18,4
216,16,820=5,1640=9,2870=19,2870=19,4
217,17,849=6,1699=10,2973=20,2973=20,4
218,18,888=6,1776=10,3109=21,3109=21,4
219,19,917=6,1834=11,3211=22,3211=22,4
220,20,961=6,1923=11,3365=23,3365=23,4
221,21,1002=7,2004=12,3508=24,3508=24,4
222,22,1036=7,2073=12,3628=25,3628=25,4
223,23,1061=7,2122=13,3713=26,3713=26,4
224,24,1094=8,2189=13,3831=27,3831=27,4
225,25,1165=8,2331=14,4080=28,4080=28,4
226,26,1209=8,2418=14,4232=29,4232=29,4
227,27,1239=9,2478=15,4336=30,4336=30,4
228,28,1269=9,2539=16,4443=32,4443=32,4
229,29,1286=9,2573=16,4502=33,4502=33,4
230,30,1554=13,3108=22,5439=45,5439=45,4
231,31,1589=14,3179=23,5563=47,5563=47,4
232,32,1613=14,3226=24,5646=48,5646=48,4
233,33,1657=14,3314=24,5799=49,5799=49,4
234,34,1680=15,3361=25,5883=50,5883=50,4
235,35,1802=15,3604=26,6308=52,6308=52,4
236,36,1826=16,3653=26,6393=53,6393=53,4
237,37,1874=16,3748=27,6559=54,6559=54,4
238,38,1898=16,3797=28,6645=56,6645=56,4
239,39,1923=17,3846=28,6730=57,6730=57,4
240,40,2876=26,5752=44,10066=88,10066=88,4
241,41,2941=27,5883=45,10296=90,10296=90,4
242,42,3037=27,6074=46,10631=92,10631=92,4
243,43,3109=28,6219=47,10884=94,10884=94,4
244,44,3180=29,6361=48,11133=97,11133=97,4
245,45,3379=30,6758=50,11827=101,11827=101,4
246,46,3471=31,6942=52,12149=104,12149=104,4
247,47,3554=32,7109=53,12440=107,12440=107,4
248,48,3695=32,7390=54,12933=109,12933=109,4
249,49,3772=33,7544=56,13202=112,13202=112,4
250,50,4503=35,9006=59,15761=118,15761=118,4
251,51,4627=36,9254=60,16195=121,16195=121,4
252,52,4650=37,9300=62,16275=124,16275=124,4
253,53,4669=38,9338=63,16341=126,16341=126,4
254,54,4728=38,9456=64,16548=129,16548=129,4
255,55,5041=43,10082=72,17644=145,17644=145,4
256,56,5079=44,10158=74,17778=148,17778=148,4
257,57,5155=45,10310=75,18043=151,18043=151,4
258,58,5208=46,10417=77,18230=154,18230=154,4
259,59,5234=47,10468=78,18319=157,18319=157,4
260,60,7557=49,15114=82,26449=165,26449=165,4
261,61,7446=49,14893=82,26063=165,26063=165,4
262,62,7500=52,15000=88,26251=176,26251=176,4
263,63,7555=57,15111=95,26445=191,26445=191,4
264,64,7605=58,15211=97,26620=194,26620=194,4
265,65,8016=62,16033=104,28059=208,28059=208,4
266,66,8098=63,16196=106,28344=212,28344=212,4
267,67,8237=66,16474=110,28831=220,28831=220,4
268,68,8312=67,16625=112,29094=224,29094=224,4
269,69,8493=68,16987=114,29728=229,29728=229,4
270,70,9039=86,18079=144,31639=288,31639=288,4
271,71,9203=88,18407=146,32213=293,32213=293,4
272,72,9648=89,19297=149,33771=299,33771=299,4
273,73,10012=91,20024=152,35042=305,35042=305,4
274,74,11496=93,22992=155,40237=311,40237=311,4
275,75,12494=112,24988=187,43730=374,43730=374,4
276,76,12999=119,25998=199,45497=398,45497=398,4
277,77,13931=121,27863=202,48760=404,48760=404,4
278,78,14053=123,28106=205,49186=411,49186=411,4
279,79,14240=125,28481=209,49842=418,49842=418,4
280,80,17923=137,35847=228,62732=456,62732=456,4
281,81,18045=139,36090=232,63158=464,63158=464,4
282,82,18522=141,37045=235,64828=471,64828=471,4
283,83,18678=143,37357=239,65375=479,65375=479,4
284,84,20102=146,40205=243,70358=486,70358=486,4
285,85,20467=152,40935=254,71637=509,71637=509,4
286,86,20612=156,41225=261,72145=523,72145=523,4
287,87,20842=159,41685=265,72949=531,72949=531,4
288,88,21399=161,42799=269,74898=539,74898=539,4
289,89,21635=164,43270=273,75722=547,75722=547,4
290,90,23258=168,46517=280,81405=560,81405=560,4
291,91,23469=170,46939=284,82143=568,82143=568,4
292,92,23712=173,47424=288,82993=577,82993=577,4
293,93,25211=175,50423=293,88240=586,88240=586,4
294,94,25432=180,50865=300,89014=601,89014=601,4
295,95,27815=211,55630=353,97354=706,97354=706,4
296,96,30968=226,61936=377,108388=755,108388=755,4
297,97,31198=237,62397=395,109195=791,109195=791,4
298,98,31586=251,63172=418,110552=837,110552=837,4
299,99,31781=260,63563=433,111236=866,111236=866,4
300,100,37777=276,75554=461,132219=922,132219=922,4
301,101,38637=280,77274=467,135230=934,135230=934,4
302,102,38939=284,77879=474,136288=948,136288=948,4
303,103,39218=288,78436=480,137264=961,137264=961,4
304,104,39540=292,79080=487,138391=975,138391=975,4
305,105,40059=304,80118=508,140206=1016,140206=1016,4
306,106,40256=308,80512=514,140896=1029,140896=1029,4
307,107,40419=312,80838=520,141466=1041,141466=1041,4
308,108,40496=316,80993=527,141738=1054,141738=1054,4
309,109,40594=320,81189=533,142080=1067,142080=1067,4
310,110,42650=326,85300=544,149275=1088,149275=1088,4
311,111,42747=330,85495=550,149616=1101,149616=1101,4
312,112,42836=334,85672=557,149927=1114,149927=1114,4
313,113,42922=338,85844=564,150228=1128,150228=1128,4
314,114,43028=342,86057=570,150599=1141,150599=1141,4
315,115,43241=353,86483=589,151345=1179,151345=1179,4
316,116,43264=357,86529=596,151426=1192,151426=1192,4
317,117,43288=361,86576=602,151508=1205,151508=1205,4
318,118,43306=365,86613=609,151574=1218,151574=1218,4
319,119,43330=369,86660=615,151655=1231,151655=1231,4
320,120,43629=375,87259=625,152704=1250,152704=1250,4
321,121,43629=375,87259=625,152704=1250,152704=1250,4
322,122,43629=375,87259=625,152704=1250,152704=1250,4
323,123,43629=375,87259=625,152704=1250,152704=1250,4
324,124,43629=375,87259=625,152704=1250,152704=1250,4
325,125,43629=375,87259=625,152704=1250,152704=1250,4
326,126,43629=375,87259=625,152704=1250,152704=1250,4
327,127,43629=375,87259=625,152704=1250,152704=1250,4
328,128,43629=375,87259=625,152704=1250,152704=1250,4
329,129,43629=375,87259=625,152704=1250,152704=1250,4
330,130,43629=375,87259=625,152704=1250,152704=1250,4
331,131,43629=375,87259=625,152704=1250,152704=1250,4
332,132,43629=375,87259=625,152704=1250,152704=1250,4
333,133,43629=375,87259=625,152704=1250,152704=1250,4
334,134,43629=375,87259=625,152704=1250,152704=1250,4
335,135,43629=375,87259=625,152704=1250,152704=1250,4
336,136,43629=375,87259=625,152704=1250,152704=1250,4
337,137,43629=375,87259=625,152704=1250,152704=1250,4
338,138,43629=375,87259=625,152704=1250,152704=1250,4
339,139,43629=375,87259=625,152704=1250,152704=1250,4
340,140,43629=375,87259=625,152704=1250,152704=1250,4
341,141,43629=375,87259=625,152704=1250,152704=1250,4
342,142,43629=375,87259=625,152704=1250,152704=1250,4
343,143,43629=375,87259=625,152704=1250,152704=1250,4
344,144,43629=375,87259=625,152704=1250,152704=1250,4
345,145,43629=375,87259=625,152704=1250,152704=1250,4
346,146,43629=375,87259=625,152704=1250,152704=1250,4
347,147,43629=375,87259=625,152704=1250,152704=1250,4
348,148,43629=375,87259=625,152704=1250,152704=1250,4
349,149,43629=375,87259=625,152704=1250,152704=1250,4
350,150,43629=375,87259=625,152704=1250,152704=1250,4
351,151,43629=375,87259=625,152704=1250,152704=1250,4
352,152,43629=375,87259=625,152704=1250,152704=1250,4
353,153,43629=375,87259=625,152704=1250,152704=1250,4
354,154,43629=375,87259=625,152704=1250,152704=1250,4
355,155,43629=375,87259=625,152704=1250,152704=1250,4
356,156,43629=375,87259=625,152704=1250,152704=1250,4
357,157,43629=375,87259=625,152704=1250,152704=1250,4
358,158,43629=375,87259=625,152704=1250,152704=1250,4
359,159,43629=375,87259=625,152704=1250,152704=1250,4
360,160,43629=375,87259=625,152704=1250,152704=1250,4
361,161,43629=375,87259=625,152704=1250,152704=1250,4
362,162,43629=375,87259=625,152704=1250,152704=1250,4
363,163,43629=375,87259=625,152704=1250,152704=1250,4
364,164,43629=375,87259=625,152704=1250,152704=1250,4
365,165,43629=375,87259=625,152704=1250,152704=1250,4
366,166,43629=375,87259=625,152704=1250,152704=1250,4
367,167,43629=375,87259=625,152704=1250,152704=1250,4
368,168,43629=375,87259=625,152704=1250,152704=1250,4
369,169,43629=375,87259=625,152704=1250,152704=1250,4
370,170,43629=375,87259=625,152704=1250,152704=1250,4
371,171,43629=375,87259=625,152704=1250,152704=1250,4
372,172,43629=375,87259=625,152704=1250,152704=1250,4
373,173,43629=375,87259=625,152704=1250,152704=1250,4
374,174,43629=375,87259=625,152704=1250,152704=1250,4
375,175,43629=375,87259=625,152704=1250,152704=1250,4
376,176,43629=375,87259=625,152704=1250,152704=1250,4
377,177,43629=375,87259=625,152704=1250,152704=1250,4
378,178,43629=375,87259=625,152704=1250,152704=1250,4
379,179,43629=375,87259=625,152704=1250,152704=1250,4
380,180,43629=375,87259=625,152704=1250,152704=1250,4
381,181,43629=375,87259=625,152704=1250,152704=1250,4
382,182,43629=375,87259=625,152704=1250,152704=1250,4
383,183,43629=375,87259=625,152704=1250,152704=1250,4
384,184,43629=375,87259=625,152704=1250,152704=1250,4
385,185,43629=375,87259=625,152704=1250,152704=1250,4
386,186,43629=375,87259=625,152704=1250,152704=1250,4
387,187,43629=375,87259=625,152704=1250,152704=1250,4
388,188,43629=375,87259=625,152704=1250,152704=1250,4
389,189,43629=375,87259=625,152704=1250,152704=1250,4
390,190,43629=375,87259=625,152704=1250,152704=1250,4
391,191,43629=375,87259=625,152704=1250,152704=1250,4
392,192,43629=375,87259=625,152704=1250,152704=1250,4
393,193,43629=375,87259=625,152704=1250,152704=1250,4
394,194,43629=375,87259=625,152704=1250,152704=1250,4
395,195,43629=375,87259=625,152704=1250,152704=1250,4
396,196,43629=375,87259=625,152704=1250,152704=1250,4
397,197,43629=375,87259=625,152704=1250,152704=1250,4
398,198,43629=375,87259=625,152704=1250,152704=1250,4
399,199,43629=375,87259=625,152704=1250,152704=1250,4
400,200,43629=375,87259=625,152704=1250,152704=1250,4
401,1,79=1|127=3|173=5,221=3|340=6|519=11,2774=3|5100=15|6932=25,2774=3|5100=15|6932=25,5
402,2,139=2|224=4|304=7,390=4|597=8|913=15,4876=5|8964=21|12184=33,4876=5|8964=21|12184=33,5
403,3,247=3|398=4|540=8,692=5|1061=9|1622=17,8660=6|15920=24|21637=38,8660=6|15920=24|21637=38,5
404,4,269=3|432=5|588=9,753=5|1154=10|1764=19,9418=7|17312=27|23529=42,9418=7|17312=27|23529=42,5
405,5,377=3|606=6|824=10,1056=6|1617=12|2473=21,13202=8|24268=30|32983=46,13202=8|24268=30|32983=46,5
406,6,485=4|780=6|1060=11,1358=7|2081=13|3182=23,16986=9|31224=33|42437=51,16986=9|31224=33|42437=51,5
407,7,545=4|877=7|1192=13,1527=8|2339=14|3576=26,19088=10|35088=36|47689=56,19088=10|35088=36|47689=56,5
408,8,653=5|1051=7|1428=14,1829=9|2802=15|4285=28,22873=11|42044=39|57142=61,22873=11|42044=39|57142=61,5
409,9,713=6|1147=8|1559=15,1998=10|3060=17|4679=30,24975=12|45909=42|62394=66,24975=12|45909=42|62394=66,5
410,10,1034=8|1664=11|3061=22,2897=13|4437=22|9183=44,36212=16|66565=57|122452=96,36212=16|66565=57|122452=96,5
411,11,1869=9|3006=12|4920=23,5234=16|8017=24|14762=47,65431=20|120266=61|196833=102,65431=20|120266=61|196833=102,5
412,12,2009=10|3231=13|5229=25,5626=17|8616=26|15689=51,70336=21|129249=65|209193=110,70336=21|129249=65|209193=110,5
413,13,2130=11|3424=13|5495=27,5964=18|9132=27|16487=54,74553=23|136991=69|219838=116,74553=23|136991=69|219838=116,5
414,14,2220=11|3570=14|5695=28,6218=19|9520=29|17086=57,77734=24|142806=72|227820=122,77734=24|142806=72|227820=122,5
415,15,2709=12|4355=15|6977=30,7586=21|11614=30|20933=60,94835=26|174213=76|279119=128,94835=26|174213=76|279119=128,5
416,16,2870=13|4589=16|7302=32,8038=22|12238=32|21908=64,100479=28|183583=81|292108=137,100479=28|183583=81|292108=137,5
417,17,2973=14|4746=17|7520=34,8326=23|12656=35|22561=68,104084=29|189854=87|300821=147,104084=29|189854=87|300821=147,5
418,18,3109=15|4959=18|7815=35,8705=25|13225=36|23445=71,108819=31|198376=92|312607=154,108819=31|198376=92|312607=154,5
419,19,3211=16|5117=19|8035=37,8991=26|13647=38|24107=75,112388=33|204708=96|321434=161,112388=33|204708=96|321434=161,5
420,20,3365=17|5360=20|8373=39,9422=28|14295=40|25119=79,117787=35|214432=101|334920=169,117787=35|214432=101|334920=169,5
421,21,3508=17|5584=21|8727=41,9823=29|14891=42|26183=82,122795=37|223370=105|349112=176,122795=37|223370=105|349112=176,5
422,22,3628=18|5774=22|9005=43,10159=31|15397=44|27016=86,126989=39|230963=111|360222=185,126989=39|230963=111|360222=185,5
423,23,3713=19|5909=23|9219=45,10398=32|15759=46|27659=90,129980=40|236387=116|368793=194,129980=40|236387=116|368793=194,5
424,24,3831=20|6098=24|9499=47,10729=34|16262=48|28498=94,134114=43|243944=121|379983=202,134114=43|243944=121|379983=202,5
425,25,4080=21|6496=25|10124=49,11425=36|17323=50|30372=99,142824=45|259854=127|404965=212,142824=45|259854=127|404965=212,5
426,26,4232=22|6737=26|10469=51,11849=37|17966=52|31409=102,148123=47|269494=132|418793=220,148123=47|269494=132|418793=220,5
427,27,4336=23|6905=27|10717=53,12142=39|18413=55|32151=107,151787=49|276204=138|428680=230,151787=49|276204=138|428680=230,5
428,28,4443=24|7075=28|10965=56,12443=41|18868=57|32896=112,155539=51|283034=144|438620=240,155539=51|283034=144|438620=240,5
429,29,4502=25|7170=29|11114=58,12608=43|19122=59|33343=116,157603=53|286831=149|444585=249,157603=53|286831=149|444585=249,5
430,30,5439=33|8662=40|13590=77,15229=55|23100=80|40772=155,190374=69|346506=202|543637=334,190374=69|346506=202|543637=334,5
431,31,5563=34|8776=41|13749=80,15578=57|23403=83|41247=161,194733=72|351058=208|549967=345,194733=72|351058=208|549967=345,5
432,32,5646=35|8907=43|13934=83,15809=59|23753=86|41803=166,197619=74|356298=215|557382=356,197619=74|356298=215|557382=356,5
433,33,5799=37|9151=44|14281=85,16239=61|24404=89|42845=171,202987=77|366060=222|571269=368,202987=77|366060=222|571269=368,5
434,34,5883=38|9284=45|14470=88,16473=64|24759=91|43411=177,205919=80|371385=229|578817=380,205919=80|371385=229|578817=380,5
435,35,6308=39|11353=47|17304=90,17664=66|30275=94|51912=181,220802=82|454130=235|692169=389,220802=82|454130=235|692169=389,5
436,36,6393=40|11492=48|17499=94,17901=68|30647=97|52498=188,223769=85|459719=244|699973=404,223769=85|459719=244|699973=404,5
437,37,6559=42|11764=50|17874=97,18366=70|31370=101|53623=195,229582=88|470560=254|714979=419,229582=88|470560=254|714979=419,5
438,38,6645=43|12870=52|19389=101,18606=73|34322=105|58169=203,232575=91|514839=263|775596=435,232575=91|514839=263|775596=435,5
439,39,6730=45|13014=54|19590=105,18846=75|34704=109|58770=210,235581=94|520563=273|783607=451,235581=94|520563=273|783607=451,5
440,40,10066=67|15906=81|26888=145,28186=111|42418=163|80665=290,352335=139|636276=408|1075545=622,352335=139|636276=408|1075545=622,5
441,41,10296=69|17555=84|29542=149,28831=115|46814=168|88627=298,360393=144|702223=420|1181697=639,360393=144|702223=420|1181697=639,5
442,42,10631=71|18155=86|30487=153,29767=119|48413=172|91462=306,372091=149|726203=432|1219504=657,372091=149|726203=432|1219504=657,5
443,43,10884=74|18622=88|31257=157,30477=123|49659=177|93771=315,380969=154|744896=443|1250284=675,380969=154|744896=443|1250284=675,5
444,44,11133=76|19079=91|31997=161,31173=127|50878=182|95993=323,389663=159|763183=456|1279918=694,389663=159|763183=456|1279918=694,5
445,45,11827=79|20692=95|34706=170,33118=132|55179=190|104120=341,413975=165|827698=476|1388273=731,413975=165|827698=476|1388273=731,5
446,46,12149=81|21396=98|35689=177,34019=136|57057=197|107067=354,425238=170|855867=494|1427563=759,425238=170|855867=494|1427563=759,5
447,47,12440=84|21943=102|36593=182,34834=140|58515=204|109780=365,435433=175|877725=510|1463742=783,435433=175|877725=510|1463742=783,5
