ID,Comment,DungeonID,Wave,Level,MinionFactors,EliteFactors,BossFactors
67,单人1,2168,-37,59,247006=1931,741100=5733,2223383=7050
68,单人1,2168,-38,60,261826=2046,785566=6076,2356785=7473
69,单人1,2168,-39,60,277535=2168,832699=6440,2498192=7921
70,单人1,2168,-40,60,294187=2298,882660=6826,2648083=8396
71,单人1,2168,-41,60,314780=2458,944446=7303,2833448=8983
72,单人1,2168,-42,60,336814=2630,1010557=7814,3031789=9611
73,单人1,2168,-43,61,360390=2814,1081295=8360,3244014=10283
74,单人1,2168,-44,61,385617=3010,1156985=8945,3471094=11002
75,单人1,2168,-45,61,412610=3220,1237973=9571,3714070=11772
76,单人1,2168,-46,61,441492=3445,1324631=10240,3974054=12596
77,单人1,2168,-47,61,472396=3686,1417355=10956,4252237=13477
78,单人1,2168,-48,62,505463=3944,1516569=11722,4549893=14420
79,单人1,2168,-49,62,540845=4220,1622728=12542,4868385=15429
80,单人1,2168,-50,62,578704=4515,1736318=13419,5209171=16509
81,单人1,2168,-51,62,636574=4876,1909949=14492,5730088=17829
82,单人1,2168,-52,62,700231=5266,2100943=15651,6303096=19255
83,单人1,2168,-53,63,770254=5687,2311037=16903,6933405=20795
84,单人1,2168,-54,63,847279=6141,2542140=18255,7626745=22458
85,单人1,2168,-55,63,932006=6632,2796354=19715,8389419=24254
86,单人1,2168,-56,63,1025206=7162,3075989=21292,9228360=26194
87,单人1,2168,-57,63,1127726=7734,3383587=22995,10151196=28289
88,单人1,2168,-58,64,1240498=8352,3721945=24834,11166315=30552
89,单人1,2168,-59,64,1364547=9020,4094139=26820,12282946=32996
90,单人1,2168,-60,64,1501001=9741,4503552=28965,13511240=35635
91,单人1,2168,-61,64,1951301=10909,5854617=32440,17564612=39911
92,单人1,2168,-62,64,2536691=12218,7611002=36332,22833995=44700
93,单人1,2168,-63,65,3297698=13684,9894302=40691,29684193=50064
94,单人1,2168,-64,65,4287007=15326,12862592=45573,38589450=56071
95,单人1,2168,-65,65,5573109=17165,16721369=51041,50166285=62799
96,单人1,2168,-66,65,7245041=19224,21737779=57165,65216170=70334
97,单人1,2168,-67,65,9418553=21530,28259112=64024,84781021=78774
98,单人1,2168,-68,66,12244118=24113,36736845=71706,110215327=88226
99,单人1,2168,-69,66,15917353=27006,47757898=80310,143279925=98813
100,单人1,2168,-70,66,20692558=30246,62085267=89947,186263902=110670
101,单人2,2169,1,50,2352=17,28234=67,84702=89
102,单人2,2169,2,50,3813=23,28602=84,85806=110
103,单人2,2169,3,51,5498=30,29989=103,89968=134
104,单人2,2169,4,51,7083=36,30357=121,91072=155
105,单人2,2169,5,52,8279=43,31046=141,93140=180
106,单人2,2169,6,52,9424=49,31414=158,94244=201
107,单人2,2169,7,53,10726=56,32178=179,96535=227
108,单人2,2169,8,53,11391=62,34173=197,102520=249
109,单人2,2169,9,54,12225=69,36675=219,110026=276
110,单人2,2169,10,54,12921=118,38765=396,116296=511
111,单人2,2169,11,55,14245=100,42736=326,128209=415
112,单人2,2169,12,55,14769=109,44308=351,132924=446
113,单人2,2169,13,56,15446=121,46340=387,139022=491
114,单人2,2169,14,56,15992=130,47976=414,143929=523
115,单人2,2169,15,57,16546=194,49639=646,148919=830
116,单人2,2169,16,57,17258=150,51775=472,155325=595
117,单人2,2169,17,58,17834=159,53502=499,160506=627
118,单人2,2169,18,58,18419=168,55257=525,165771=660
119,单人2,2169,19,58,19521=185,58563=581,175691=730
120,单人2,2169,20,59,20485=250,61455=814,184367=1039
121,单人2,2169,21,59,21467=204,64403=636,193209=798
122,单人2,2169,22,59,22765=218,68297=681,204893=855
123,单人2,2169,23,60,23794=228,71384=709,214152=890
124,单人2,2169,24,60,24740=236,74221=735,222665=922
125,单人2,2169,25,60,27994=285,83984=913,251952=1158
126,单人2,2169,26,61,28925=259,86776=814,260329=1025
127,单人2,2169,27,61,29651=264,88953=828,266861=1043
128,单人2,2169,28,61,30179=271,90537=852,271613=1074
129,单人2,2169,29,62,30938=281,92816=888,278449=1120
130,单人2,2169,30,62,31476=288,94428=912,283285=1151
131,单人2,2169,-1,62,33600=308,100802=973,302407=1229
132,单人2,2169,-2,63,36512=334,109536=1058,328610=1335
133,单人2,2169,-3,63,41312=378,123937=1197,371811=1511
134,单人2,2169,-4,63,48473=444,145419=1405,436259=1773
135,单人2,2169,-5,64,58466=536,175400=1694,526202=2139
136,单人2,2169,-6,64,61389=562,184170=1778,552512=2245
137,单人2,2169,-7,64,64458=590,193378=1866,580137=2357
138,单人2,2169,-8,65,67680=619,203046=1959,609143=2474
139,单人2,2169,-9,65,71064=649,213198=2056,639600=2597
140,单人2,2169,-10,65,74617=681,223857=2158,671580=2726
141,单人2,2169,-11,66,78347=715,235049=2265,705159=2862
142,单人2,2169,-12,66,82264=750,246801=2378,740416=3005
143,单人2,2169,-13,66,86377=787,259141=2496,777436=3155
144,单人2,2169,-14,67,90695=826,272098=2620,816307=3312
145,单人2,2169,-15,67,95229=867,285702=2751,857122=3477
146,单人2,2169,-16,67,99990=910,299987=2888,899978=3650
147,单人2,2169,-17,67,104989=955,314986=3032,944976=3832
148,单人2,2169,-18,67,110238=1002,330735=3183,992224=4023
149,单人2,2169,-19,68,115749=1052,347271=3342,1041835=4224
150,单人2,2169,-20,68,121536=1104,364634=3509,1093926=4435
151,单人2,2169,-21,68,127612=1159,382865=3684,1148622=4656
152,单人2,2169,-22,68,133992=1216,402008=3868,1206053=4888
153,单人2,2169,-23,68,140691=1276,422108=4061,1266355=5132
154,单人2,2169,-24,69,147725=1339,443213=4264,1329672=5388
155,单人2,2169,-25,69,155111=1405,465373=4477,1396155=5657
156,单人2,2169,-26,69,162866=1475,488641=4700,1465962=5939
157,单人2,2169,-27,69,171009=1548,513073=4935,1539260=6235
158,单人2,2169,-28,69,179559=1625,538726=5181,1616223=6546
159,单人2,2169,-29,70,188536=1706,565662=5440,1697034=6873
160,单人2,2169,-30,70,197962=1791,593945=5712,1781885=7216
161,单人2,2169,-31,70,209839=1898,629581=6054,1888798=7648
162,单人2,2169,-32,70,222429=2011,667355=6417,2002125=8106
163,单人2,2169,-33,70,235774=2131,707396=6802,2122252=8592
164,单人2,2169,-34,71,249920=2258,749839=7210,2249587=9107
165,单人2,2169,-35,71,264915=2393,794829=7642,2384562=9653
166,单人2,2169,-36,71,280809=2536,842518=8100,2527635=10232
167,单人2,2169,-37,71,297657=2688,893069=8586,2679293=10845
168,单人2,2169,-38,71,315516=2849,946653=9101,2840050=11495
169,单人2,2169,-39,72,334446=3019,1003452=9647,3010453=12184
170,单人2,2169,-40,72,354512=3200,1063659=10225,3191080=12915
171,单人2,2169,-41,72,379327=3424,1138115=10940,3414455=13819
172,单人2,2169,-42,72,405879=3663,1217783=11705,3653466=14786
173,单人2,2169,-43,72,434290=3919,1303027=12524,3909208=15821
174,单人2,2169,-44,73,464690=4193,1394238=13400,4182852=16928
175,单人2,2169,-45,73,497218=4486,1491834=14338,4475651=18112
176,单人2,2169,-46,73,532023=4800,1596262=15341,4788946=19379
177,单人2,2169,-47,73,569264=5136,1708000=16414,5124172=20735
178,单人2,2169,-48,73,609112=5495,1827560=17562,5482864=22186
179,单人2,2169,-49,74,651749=5879,1955489=18791,5866664=23739
180,单人2,2169,-50,74,697371=6290,2092373=20106,6277330=25400
181,单人2,2169,-51,74,767108=6793,2301610=21714,6905063=27432
182,单人2,2169,-52,74,843818=7336,2531771=23451,7595569=29626
183,单人2,2169,-53,74,928199=7922,2784948=25327,8355125=31996
184,单人2,2169,-54,75,1021018=8555,3063442=27353,9190637=34555
185,单人2,2169,-55,75,1123119=9239,3369786=29541,10109700=37319
186,单人2,2169,-56,75,1235430=9978,3706764=31904,11120670=40304
187,单人2,2169,-57,75,1358973=10776,4077440=34456,12232737=43528
188,单人2,2169,-58,75,1494870=11638,4485184=37212,13456010=47010
189,单人2,2169,-59,76,1644357=12569,4933702=40188,14801611=50770
190,单人2,2169,-60,76,1808792=13574,5427072=43403,16281772=54831
191,单人2,2169,-61,76,2351429=15202,7055193=48611,21166303=61410
192,单人2,2169,-62,76,3056857=17026,9171750=54444,27516193=68779
193,单人2,2169,-63,76,3973914=19069,11923275=60977,35771050=77032
194,单人2,2169,-64,77,5166088=21357,15500257=68294,46502365=86275
195,单人2,2169,-65,77,6715914=23919,20150334=76489,60453074=96628
196,单人2,2169,-66,77,8730688=26789,26195434=85667,78588996=108223
197,单人2,2169,-67,77,11349894=30003,34054064=95947,102165694=121209
198,单人2,2169,-68,77,14754862=33603,44270283=107460,132815402=135754
199,单人2,2169,-69,78,19181320=37635,57551367=120355,172660022=152044
200,单人2,2169,-70,78,24935716=42151,74816777=134797,224458028=170289
201,单人3,2170,1,60,3914=121,46973=533,140919=607
202,单人3,2170,2,60,6324=127,47436=557,142308=635
203,单人3,2170,3,61,8853=132,48291=594,144874=662
204,单人3,2170,4,61,11376=138,48754=619,146263=690
205,单人3,2170,5,62,13278=152,49792=655,149377=764
206,单人3,2170,6,62,15076=158,50255=680,150766=794
207,单人3,2170,7,63,16906=164,50718=705,152155=823
208,单人3,2170,8,63,18127=182,53086=736,156671=910
209,单人3,2170,9,64,19160=186,54867=751,159378=930
210,单人3,2170,10,64,20208=187,56671=756,162108=936
211,单人3,2170,11,65,20996=191,58967=775,166181=959
212,单人3,2170,12,65,21720=193,61089=780,169692=966
213,单人3,2170,13,66,22456=194,63245=786,173237=972
214,单人3,2170,14,66,23746=201,66964=950,180945=1009
215,单人3,2170,15,66,24516=203,69222=956,184592=1016
216,单人3,2170,16,67,25297=204,71515=963,188274=1022
217,单人3,2170,17,67,26091=205,73842=969,191991=1029
218,单人3,2170,18,67,27092=210,76763=1037,197176=1054
219,单人3,2170,19,68,28420=212,79171=1044,200973=1061
220,单人3,2170,20,68,29771=213,81614=1050,204805=1068
221,单人3,2170,21,68,31536=222,85148=1074,211295=1114
222,单人3,2170,22,69,32946=224,87680=1080,215216=1121
223,单人3,2170,23,69,34379=225,90247=1087,219171=1128
224,单人3,2170,24,69,36022=231,93331=1113,224322=1155
225,单人3,2170,25,70,37376=232,95639=1120,227557=1163
226,单人3,2170,26,70,38610=235,97630=1134,230010=1177
227,单人3,2170,27,71,39978=242,101354=1166,236492=1212
228,单人3,2170,28,71,40680=245,103396=1180,238997=1227
229,单人3,2170,29,72,41386=248,105450=1194,241514=1241
230,单人3,2170,30,72,45248=333,115566=1318,262318=1667
231,单人3,2170,-1,72,47251=350,120964=1377,272169=1753
232,单人3,2170,-2,73,49752=367,127654=1440,284768=1835
233,单人3,2170,-3,73,51927=385,133528=1501,295380=1925
234,单人3,2170,-4,73,58516=402,150793=1567,330845=2012
235,单人3,2170,-5,74,61494=496,158794=1679,345612=2480
236,单人3,2170,-6,74,64568=520,166733=1762,362892=2604
237,单人3,2170,-7,74,67796=546,175069=1850,381036=2734
238,单人3,2170,-8,75,71185=573,183822=1942,400087=2870
239,单人3,2170,-9,75,74744=601,193013=2039,420091=3013
240,单人3,2170,-10,75,78481=631,202663=2140,441095=3163
241,单人3,2170,-11,76,82405=662,212796=2247,463149=3321
242,单人3,2170,-12,76,86525=695,223435=2359,486306=3487
243,单人3,2170,-13,76,90851=729,234606=2476,510621=3661
244,单人3,2170,-14,77,95393=765,246336=2599,536152=3844
245,单人3,2170,-15,77,100162=803,258652=2728,562959=4036
246,单人3,2170,-16,77,105170=843,271584=2864,591106=4237
247,单人3,2170,-17,77,110428=885,285163=3007,620661=4448
248,单人3,2170,-18,77,115949=929,299421=3157,651694=4670
249,单人3,2170,-19,78,121746=975,314392=3314,684278=4903
250,单人3,2170,-20,78,127833=1023,330111=3479,718491=5148
251,单人3,2170,-21,78,134224=1074,346616=3652,754415=5405
252,单人3,2170,-22,78,140935=1127,363946=3834,792135=5675
253,单人3,2170,-23,78,147981=1183,382143=4025,831741=5958
254,单人3,2170,-24,79,155380=1242,401250=4226,873328=6255
255,单人3,2170,-25,79,163149=1304,421312=4437,916994=6567
256,单人3,2170,-26,79,171306=1369,442377=4658,962843=6895
257,单人3,2170,-27,79,179871=1437,464495=4890,1010985=7239
258,单人3,2170,-28,79,188864=1508,487719=5134,1061534=7600
259,单人3,2170,-29,80,198307=1583,512104=5390,1114610=7980
260,单人3,2170,-30,80,208222=1662,537709=5659,1170340=8379
261,单人3,2170,-31,80,220715=1761,569971=5998,1240560=8881
262,单人3,2170,-32,80,233957=1866,604169=6357,1314993=9413
263,单人3,2170,-33,80,247994=1977,640419=6738,1393892=9977
264,单人3,2170,-34,81,262873=2095,678844=7142,1477525=10575
265,单人3,2170,-35,81,278645=2220,719574=7570,1566176=11209
266,单人3,2170,-36,81,295363=2353,762748=8024,1660146=11881
267,单人3,2170,-37,81,313084=2494,808512=8505,1759754=12593
268,单人3,2170,-38,81,331869=2643,857022=9015,1865339=13348
269,单人3,2170,-39,82,351781=2801,908443=9555,1977259=14148
270,单人3,2170,-40,82,372887=2969,962949=10128,2095894=14996
271,单人3,2170,-41,82,398989=3176,1030355=10836,2242606=16045
272,单人3,2170,-42,82,426918=3398,1102479=11594,2399588=17168
273,单人3,2170,-43,82,456802=3635,1179652=12405,2567559=18369
274,单人3,2170,-44,83,488778=3889,1262227=13273,2747288=19654
275,单人3,2170,-45,83,522992=4161,1350582=14202,2939598=21029
276,单人3,2170,-46,83,559601=4452,1445122=15196,3145369=22501
277,单人3,2170,-47,83,598773=4763,1546280=16259,3365544=24076
278,单人3,2170,-48,83,640687=5096,1654519=17397,3601132=25761
279,单人3,2170,-49,84,685535=5452,1770335=18614,3853211=27564
280,单人3,2170,-50,84,733522=5833,1894258=19916,4122935=29493
281,单人3,2170,-51,84,806874=6299,2083683=21509,4535228=31852
282,单人3,2170,-52,84,887561=6802,2292051=23229,4988750=34400
283,单人3,2170,-53,84,976317=7346,2521256=25087,5487625=37152
284,单人3,2170,-54,85,1073948=7933,2773381=27093,6036387=40124
285,单人3,2170,-55,85,1181342=8567,3050719=29260,6640025=43333
286,单人3,2170,-56,85,1299476=9252,3355790=31600,7304027=46799
287,单人3,2170,-57,85,1429423=9992,3691369=34128,8034429=50542
288,单人3,2170,-58,85,1572365=10791,4060505=36858,8837871=54585
289,单人3,2170,-59,86,1729601=11654,4466555=39806,9721658=58951
290,单人3,2170,-60,86,1902561=12586,4913210=42990,10693823=63667
291,单人3,2170,-61,86,2473329=14096,6387173=48148,13901969=71307
292,单人3,2170,-62,86,3215327=15787,8303324=53925,18072559=79863
293,单人3,2170,-63,86,4179925=17681,10794321=60396,23494326=89446
294,单人3,2170,-64,87,5433902=19802,14032617=67643,30542623=100179
295,单人3,2170,-65,87,7064072=22178,18242402=75760,39705409=112200
296,单人3,2170,-66,87,9183293=24839,23715122=84851,51617031=125664
297,单人3,2170,-67,87,11938280=27819,30829658=95033,67102140=140743
298,单人3,2170,-68,87,15519764=31157,40078555=106436,87232782=157632
299,单人3,2170,-69,88,20175693=34895,52102121=119208,113402616=176547
300,单人3,2170,-70,88,26228400=39082,67732757=133512,147423400=197732
301,单人4,2171,1,70,4860=213,58328=800,174984=1066
302,单人4,2171,2,70,7838=219,58791=821,176373=1095
303,单人4,2171,3,71,11229=229,61249=861,183749=1148
304,单人4,2171,4,71,14399=235,61712=884,185138=1178
305,单人4,2171,5,72,17306=246,64898=922,194695=1230
306,单人4,2171,6,72,19608=252,65361=945,196084=1260
307,单人4,2171,7,73,21941=258,65824=968,197473=1290
308,单人4,2171,8,73,23948=269,70135=1011,206986=1348
309,单人4,2171,9,74,25259=275,72332=1034,210109=1379
310,单人4,2171,10,74,26584=282,74552=1057,213255=1410
311,单人4,2171,11,75,30817=293,86550=1100,243915=1467
312,单人4,2171,12,75,31750=299,89298=1124,248052=1498
313,单人4,2171,13,76,32695=306,92082=1147,252224=1530
314,单人4,2171,14,76,34965=375,98602=1407,266437=1876
315,单人4,2171,15,76,35959=382,101534=1435,270757=1913
316,单人4,2171,16,77,36966=384,104500=1440,275112=1920
317,单人4,2171,17,77,37983=385,107500=1444,279502=1926
318,单人4,2171,18,77,40220=411,113956=1541,292712=2055
319,单人4,2171,19,78,42033=412,117094=1546,297238=2061
320,单人4,2171,20,78,43870=413,120266=1551,301799=2068
321,单人4,2171,21,78,48411=421,130710=1580,324356=2107
322,单人4,2171,22,79,50383=422,134086=1585,329120=2114
323,单人4,2171,23,79,52379=424,137496=1590,333919=2120
324,单人4,2171,24,79,54607=433,141483=1624,340056=2165
325,单人4,2171,25,80,56524=434,144636=1629,344135=2172
326,单人4,2171,26,80,58322=437,147471=1639,347433=2186
327,单人4,2171,27,81,59940=446,151961=1675,354577=2233
328,单人4,2171,28,81,60923=449,154847=1685,357925=2247
329,单人4,2171,29,82,61910=452,157744=1696,361286=2261
330,单人4,2171,30,82,75511=496,192861=1862,437764=2483
331,单人4,2171,-1,82,77314=507,197924=1902,445329=2536
332,单人4,2171,-2,83,80218=519,205823=1946,459145=2595
333,单人4,2171,-3,83,81914=530,210636=1987,465954=2650
334,单人4,2171,-4,83,88478=542,228002=2033,500244=2710
335,单人4,2171,-5,84,91104=569,235256=2136,512029=2848
336,单人4,2171,-6,84,95659=597,247018=2242,537630=2990
337,单人4,2171,-7,84,100441=626,259368=2354,564511=3139
338,单人4,2171,-8,85,105463=657,272336=2471,592736=3295
339,单人4,2171,-9,85,110736=689,285952=2594,622372=3459
340,单人4,2171,-10,85,116272=723,300249=2723,653490=3631
341,单人4,2171,-11,86,122085=759,315261=2859,686164=3812
342,单人4,2171,-12,86,128189=796,331024=3001,720472=4002
343,单人4,2171,-13,86,134598=835,347575=3151,756495=4202
344,单人4,2171,-14,87,141327=876,364953=3308,794319=4412
345,单人4,2171,-15,87,148393=919,383200=3473,834034=4632
346,单人4,2171,-16,87,155812=964,402360=3646,875735=4863
347,单人4,2171,-17,87,163602=1012,422478=3828,919521=5106
348,单人4,2171,-18,87,171782=1062,443601=4019,965497=5361
349,单人4,2171,-19,88,180371=1115,465781=4219,1013771=5629
350,单人4,2171,-20,88,189389=1170,489070=4429,1064459=5910
351,单人4,2171,-21,88,198858=1228,513523=4650,1117681=6205
352,单人4,2171,-22,88,208800=1289,539199=4882,1173565=6515
353,单人4,2171,-23,88,219240=1353,566158=5126,1232243=6840
354,单人4,2171,-24,89,230202=1420,594465=5382,1293855=7182
355,单人4,2171,-25,89,241712=1491,624188=5651,1358547=7541
356,单人4,2171,-26,89,253797=1565,655397=5933,1426474=7918
357,单人4,2171,-27,89,266486=1643,688166=6229,1497797=8313
358,单人4,2171,-28,89,279810=1725,722574=6540,1572686=8728
359,单人4,2171,-29,90,293800=1811,758702=6867,1651320=9164
360,单人4,2171,-30,90,308490=1901,796637=7210,1733886=9622
361,单人4,2171,-31,90,326999=2015,844435=7642,1837919=10199
362,单人4,2171,-32,90,346618=2135,895101=8100,1948194=10810
363,单人4,2171,-33,90,367415=2263,948807=8586,2065085=11458
364,单人4,2171,-34,91,389459=2398,1005735=9101,2188990=12145
365,单人4,2171,-35,91,412826=2541,1066079=9647,2320329=12873
366,单人4,2171,-36,91,437595=2693,1130043=10225,2459548=13645
367,单人4,2171,-37,91,463850=2854,1197845=10838,2607120=14463
368,单人4,2171,-38,91,491681=3025,1269715=11488,2763547=15330
369,单人4,2171,-39,92,521181=3206,1345897=12177,2929359=16249
370,单人4,2171,-40,92,552451=3398,1426650=12907,3105120=17223
371,单人4,2171,-41,92,591122=3635,1526515=13810,3322478=18428
372,单人4,2171,-42,92,632500=3889,1633371=14776,3555051=19717
373,单人4,2171,-43,92,676775=4161,1747706=15810,3803904=21097
374,单人4,2171,-44,93,724149=4452,1870045=16916,4070177=22573
375,单人4,2171,-45,93,774839=4763,2000948=18100,4355089=24153
376,单人4,2171,-46,93,829077=5096,2141014=19367,4659945=25843
377,单人4,2171,-47,93,887112=5452,2290884=20722,4986141=27652
378,单人4,2171,-48,93,949209=5833,2451245=22172,5335170=29587
379,单人4,2171,-49,94,1015653=6241,2622832=23724,5708631=31658
380,单人4,2171,-50,94,1086748=6677,2806430=25384,6108235=33874
381,单人4,2171,-51,94,1195422=7211,3087073=27414,6719058=36583
382,单人4,2171,-52,94,1314964=7787,3395780=29607,7390963=39509
383,单人4,2171,-53,94,1446460=8409,3735358=31975,8130059=42669
384,单人4,2171,-54,95,1591106=9081,4108893=34533,8943064=46082
385,单人4,2171,-55,95,1750216=9807,4519782=37295,9837370=49768
386,单人4,2171,-56,95,1925237=10591,4971760=40278,10821107=53749
387,单人4,2171,-57,95,2117760=11438,5468936=43500,11903217=58048
388,单人4,2171,-58,95,2329536=12353,6015829=46980,13093538=62691
389,单人4,2171,-59,96,2562489=13341,6617411=50738,14402891=67706
390,单人4,2171,-60,96,2818737=14408,7279152=54797,15843180=73122
391,单人4,2171,-61,96,3664358=16136,9462897=61372,20596134=81896
392,单人4,2171,-62,96,4763665=18072,12301766=68736,26774974=91723
393,单人4,2171,-63,96,6192764=20240,15992295=76984,34807466=102729
394,单人4,2171,-64,97,8050593=22668,20789983=86222,45249705=115056
395,单人4,2171,-65,97,10465770=25388,27026977=96568,58824616=128862
396,单人4,2171,-66,97,13605501=28434,35135070=108156,76472000=144325
397,单人4,2171,-67,97,17687151=31846,45675591=121134,99413600=161644
398,单人4,2171,-68,97,22993296=35667,59378268=135670,129237680=181041
399,单人4,2171,-69,98,29891284=39947,77191748=151950,168008984=202765
400,单人4,2171,-70,98,38858669=44740,100349272=170184,218411679=227096
401,单人5,2172,1,80,9520=319,114246=1199,342739=1598
402,单人5,2172,2,80,15294=328,114709=1233,344128=1644
403,单人5,2172,3,81,21326=343,116323=1287,348971=1716
404,单人5,2172,4,81,27250=352,116786=1322,350360=1763
405,单人5,2172,5,82,32108=367,120406=1378,361220=1838
406,单人5,2172,6,82,36260=377,120869=1414,362609=1885
407,单人5,2172,7,83,40444=386,121332=1449,363998=1932
408,单人5,2172,8,83,43019=402,125984=1509,371808=2013
409,单人5,2172,9,84,45237=412,129543=1545,376293=2060
410,单人5,2172,10,84,47471=421,133125=1581,380801=2108
411,单人5,2172,11,85,52030=438,146128=1642,411817=2190
412,单人5,2172,12,85,53415=441,150231=1655,417309=2206
413,单人5,2172,13,86,54811=444,154368=1667,422835=2223
414,单人5,2172,14,86,57255=468,161459=1757,436285=2343
415,单人5,2172,15,86,58695=472,165728=1770,441943=2360
416,单人5,2172,16,87,60147=475,170032=1783,447635=2377
417,单人5,2172,17,87,61610=478,174370=1795,453362=2394
418,单人5,2172,18,87,63549=495,180057=1856,462499=2475
419,单人5,2172,19,88,66227=498,184490=1869,468321=2493
420,单人5,2172,20,88,68928=502,188958=1883,474178=2510
421,单人5,2172,21,88,72500=513,195751=1926,485754=2568
422,单人5,2172,22,89,75276=517,200331=1940,491723=2586
423,单人5,2172,23,89,78074=520,204946=1953,497726=2604
424,单人5,2172,24,89,82671=532,214194=1995,514818=2661
425,单人5,2172,25,90,85439=535,218623=2009,520173=2679
426,单人5,2172,26,90,88087=539,222734=2022,524747=2697
427,单人5,2172,27,91,90481=551,229390=2068,535245=2758
428,单人5,2172,28,91,91895=555,233567=2082,539884=2776
429,单人5,2172,29,92,93312=559,237754=2096,544535=2794
430,单人5,2172,30,92,100982=575,257915=2157,585428=2876
431,单人5,2172,-1,92,103396=587,264694=2203,595563=2938
432,单人5,2172,-2,93,106004=600,271985=2252,606735=3003
433,单人5,2172,-3,93,113325=613,291409=2301,644632=3067
434,单人5,2172,-4,93,116005=634,298938=2377,655879=3170
435,单人5,2172,-5,94,119600=660,308840=2475,672182=3300
436,单人5,2172,-6,94,125580=693,324282=2598,705791=3465
437,单人5,2172,-7,94,131859=727,340496=2727,741080=3638
438,单人5,2172,-8,95,138451=763,357520=2863,778134=3819
