Id,EquipSecondId,SecondId,TypeId,Name,Tips,Model,ModelPath,ModelMaps,EquipId,WeaponId,IsBind,Refine,RefineMaxLv,RefineInit,EnchantingId,EnchantingSkill,WeaponRangeAttr,BaseAttributes,EntryAttributeOne,EntryAttributeTwo,ExtraAttribute,EquipText,AttrLib,SkillLib,HoleNum,HoleId,RecommendSchool,RefineBaseAttributes,IsShowInHandBook,AttrType,ReformSkill,level,LocalizationArea,isConnect,Coloration
1070015,1070015,11101,,丸子头饰,,Helmet_WanZiTouShi_01,,,7,0,1,0,15,0,,,,0=32=10=0|0=14=3=0|0=27=15=0,,,,,,,1,500,,7,,,,,,1,
1070016,1070016,11101,,波利帽,,Helmet_BoLiMao_01,,,7,0,1,0,10,0,,,,0=32=2=0|0=47=20=0,,,,,,,1,500,,7,,,,,,1,
1070017,1070017,11101,,头箍,,Helmet_TouGu_01,,,7,0,1,0,10,0,,,,0=32=2=0|0=41=2=0,,,,,,,1,500,,7,,,,,,1,
1070018,1070018,11101,,星星发夹,,Helmet_XingXingFaJia_01,,,7,0,1,0,13,0,,,,0=32=6=0|0=41=2=0,,,,,,,1,500,,7,,,,,,1,
1070019,1070019,11101,,花冠,,Helmet_HuaGuan_01,,,7,0,1,0,15,0,,,,0=32=10=0|0=24=3=0|0=205=1000=0,,,,,,,1,500,,7,,,,,,1,
1070020,1070020,11101,,厨师帽,,Helmet_ChuShiMao_01,,,7,0,1,0,13,0,,,,0=32=6=0|0=20=2=0,,,,,,,1,500,,7,,,,,,1,
1070021,1070021,11101,,海盗船长帽,,Helmet_HaiDaoChuanZhang_01,,,7,0,1,0,20,0,,,,0=32=16=0|0=22=12=0,,,,,,,1,500,,7,,,,,,1,
1070022,1070022,11101,,懒洋洋的猫,,Helmet_LanYangYangDeMao_01,,,7,0,1,0,15,0,,,,0=32=10=0|0=41=10=0|0=22=3=0|0=260=2000=0,,,,,,,1,500,,7,,,,,,1,
1070023,1070023,11101,,公主冠冕,,Helmet_GongZhuGuanMian_01,,,7,0,1,0,15,0,,,,0=32=10=0|0=16=4=0|0=20=3=0,,,,,,,1,500,,7,,,,,,1,
1070024,1070024,11101,,普隆德拉军帽,,Helmet_PuLongDeLaJunMao_01,,,7,0,1,0,13,0,,,,0=32=6=0|0=22=2=0,,,,,,,1,500,,7,,,,,,1,
1070025,1070025,11101,,菲力卡的头箍,,Helmet_FeiLiKaTouGu_01,,,7,0,1,0,20,0,,,,0=32=16=0|0=41=12=0|0=16=10=0|0=49=100=0|0=77=50=0,,,,,,,1,500,,7,,,,,,1,
1070026,1070026,11101,,紫蝶发带,,Helmet_ZiDieFaDai_01,,,7,0,1,0,10,0,,,,0=32=2=0|0=41=2=0,,,,,,,1,500,,7,,,,,,1,
1070027,1070027,11101,,后冠,,Helmet_HouGuan_01,,,7,0,1,0,20,0,,,,0=32=16=0|0=16=8=0|0=20=8=0,,,,,,,1,500,,7,,,,,,1,
1070028,1070028,11101,,王冠,,Helmet_WangGuan_01,,,7,0,1,0,20,0,,,,0=32=16=0|0=16=15=0,,,,,,,1,500,,7,,,,,,1,
1070029,1070029,11101,,黄金冠冕,,Helmet_HuangJinGuanMian_01,,,7,0,1,0,20,0,,,,0=32=16=0|0=16=10=0|0=47=200=0|0=75=50=0,,,,,,,1,500,,7,,,,,,1,
1070030,1070030,11101,,学生帽,,Helmet_XueShengMao_01,,,7,0,1,0,20,0,,,,0=32=16=0|0=16=8=0|0=14=8=0,,,,,,,1,500,,7,,,,,,1,
1070031,1070031,11101,,蛋壳帽,,Helmet_DanKeMao_01,,,7,0,1,0,10,0,,,,0=32=2=0|0=41=2=0,,,,,,,1,500,,7,,,,,,1,
1070032,1070032,11101,,回忆帽,,Helmet_HuiYiMao_01,,,7,0,1,0,15,0,,,,0=32=10=0|0=76=1200=0|0=22=4=0,,,,,,,1,500,,7,,,,,,1,
1070033,1070033,11101,,黄金帽,,Helmet_HuangJinMao_01,,,7,0,1,0,20,0,,,,0=32=16=0|0=24=10=0|0=22=4=0|0=14=4=0,,,,,,,1,500,,7,,,,,,1,
1070034,1070034,11101,,魔法师帽,,Helmet_MoFaMao_01,,,7,0,1,0,13,0,,,,0=32=6=0|0=16=2=0,1=400008001=baselv=0=0=baselvper=0=10=attr1=0=36=value1=0=1,,,3001,,,1,500,,7,,,,,,1,
1070035,1070035,11101,,圣职之帽,,Helmet_ShengZhiMao_01,,,7,0,1,0,13,0,,,,0=32=6=0|0=16=2=0,1=400008001=baselv=0=0=baselvper=0=1=attr1=0=47=value1=0=1,,,3002,,,1,500,,7,,,,,,1,
1070036,1070036,11101,,亡者发箍,,Helmet_WangLingFaGu_01,,,7,0,1,0,15,0,,,,0=32=10=0|0=14=3=0|0=18=2=0|0=187=1000=0,,,,,,,1,500,,7,,,,,,1,
1070037,1070037,11101,,贝雷帽,,Helmet_BeiLeiMao_01,,,7,0,1,0,13,0,,,,0=32=6=0|0=213=300=0,,,,,,,1,500,,7,,,,,,1,
1070038,1070038,11101,,霹雳雷云,,Helmet_PiLiLeiYun_01,,,7,0,1,0,15,0,,,,0=32=10=0|0=223=500=0,,,,,,,1,500,,7,,,,,,1,
1070039,1070039,11101,,竹蜻蜓发圈,,Helmet_ZhuQingTingFaQuan_01,,,7,0,1,0,13,0,,,,0=32=6=0|0=20=2=0|0=24=2=0,,,,,,,1,500,,7,,,,,,1,
1070040,1070040,11101,,羽毛帽,,Helmet_YuMaoMao_01,,,7,0,1,0,13,0,,,,0=32=6=0|0=20=2=0,1=400008001=baselv=0=0=baselvper=0=10=attr1=0=27=value1=0=1,,,3003,,,1,500,,7,,,,,,1,
1070041,1070041,11101,,绅士帽,,Helmet_ShenShiMao_01,,,7,0,1,0,15,0,,,,0=32=10=0|0=41=4=0|0=20=3=0|0=18=2=0,,,,,,,1,500,,7,,,,,,1,
1070042,1070042,11101,,猫耳发圈,,Helmet_MaoErFaQuan_01,,,7,0,1,0,13,0,,,,0=32=6=0|0=208=400=0,,,,,,,1,500,,7,,,,,,1,
1070043,1070043,11101,,宝石头盔,,Helmet_BaoShiTouKui_01,,,7,0,1,0,13,0,,,,0=32=6=0|0=14=2=0|0=22=1=0|0=18=1=0,,,,,,,1,500,,7,,,,,,1,
1070044,1070044,11101,,兽人头盔,,Helmet_ShouRenTouKui_01,,,7,0,1,0,13,0,,,,0=32=6=0|0=14=2=0|0=22=1=0|0=20=1=0,,,,,,,1,500,,7,,,,,,1,
1070045,1070045,11101,,僵尸帽,,Helmet_JiangShiMao_01,,,7,0,1,0,13,0,,,,0=32=6=0|0=216=600=0,,,,,,,1,500,,7,,,,,,1,
1070046,1070046,11101,,护士帽,,Helmet_HuShiMao_01,,,7,0,1,0,13,0,,,,0=32=6=0|0=16=2=0|0=49=40=0,,,,,,,1,500,,7,,,,,,1,
1070049,1070049,11101,,领导者头箍,,Helmet_LingDaoZheTouGu_01,,,7,0,1,0,20,0,,,,0=32=16=0|0=20=10=0|0=22=4=0|0=24=4=0,,,,,,,1,500,,7,,,,,,1,
1070051,1070051,11101,,触角头饰,,Helmet_ChuJiao_01,,,7,0,1,0,10,0,,,,0=32=2=0|0=51=1=0,,,,,,,1,500,,7,,,,,,1,
1070052,1070052,11101,,天使之吻,,Helmet_TianShiZhiWen_01,,,7,0,1,0,15,0,,,,0=32=10=0|0=78=1200=0|0=16=4=0,,,,,,,1,500,,7,,,,,,1,
1070053,1070053,11101,,粪便帽,,Helmet_FenBianMao_01,,,7,0,1,0,15,0,,,,0=32=10=0|0=213=500=0,,,,,,,1,500,,7,,,,,,1,
1070054,1070054,11101,,兽角头饰,,Helmet_ShouJiao_01,,,7,0,1,0,13,0,,,,0=32=2=0|0=14=1=0,,,,,,,1,500,,7,,,,,,1,
1070055,1070055,11101,,印地安发箍,,Helmet_YinDiAnFaGu_01,,,7,0,1,0,13,0,,,,0=32=6=0|0=27=6=0,,,,,,,1,500,,7,,,,,,1,
1070056,1070056,11101,,海盗头巾,,Helmet_HaiDaoTouJin_01,,,7,0,1,0,13,0,,,,0=32=6=0|0=14=2=0,1=400008001=baselv=0=0=baselvper=0=10=attr1=0=27=value1=0=1,,,3004,,,1,500,,7,,,,,,1,
1070057,1070057,11101,,蛇饰发箍,,Helmet_SheShiFaGu_01,,,7,0,1,0,15,0,,,,0=32=10=0|0=16=6=0,,,,,,,1,500,,7,,,,,,1,
1070058,1070058,11101,,妖道帽,,Helmet_YaoDaoMao_01,,,7,0,1,0,13,0,,,,0=32=6=0|0=214=600=0,,,,,,,1,500,,7,,,,,,1,
1070059,1070059,11101,,向日葵头饰,,Helmet_XiangRiKuiTouShi_01,,,7,0,1,0,13,0,,,,0=32=6=0|0=220=600=0,,,,,,,1,500,,7,,,,,,1,
1070060,1070060,11101,,火线头饰,,Helmet_HuoXian_01,,,7,0,1,0,10,0,,,,0=32=2=0|0=16=1=0,,,,,,,1,500,,7,,,,,,1,
1070061,1070061,11101,,破产之哀,,Helmet_PoChanZhiAi_01,,,7,0,1,0,13,0,,,,0=32=6=0|0=14=2=0,1=400008001=baselv=0=0=baselvper=0=10=attr1=0=27=value1=0=1,,,3005,,,1,500,,7,,,,,,1,
1070062,1070062,11101,,牛仔帽,,Helmet_NiuZaiMao_01,,,7,0,1,0,13,0,,,,0=32=6=0|0=24=3=0,,,,,,,1,500,,7,,,,,,1,
1070063,1070063,11101,,魔术师帽,,Helmet_MoShuMao_01,,,7,0,1,0,13,0,,,,0=32=6=0|0=20=2=0|0=49=40=0,,,,,,,1,500,,7,,,,,,1,
1070064,1070064,11101,,狐狸假面,,Helmet_HuLiJiaMian_01,,,7,0,1,0,15,0,,,,0=32=10=0|0=18=3=0|0=24=4=0,,,,,,,1,500,,7,,,,,,1,
1070065,1070065,11101,,小丑帽,,Helmet_XiaoChouMao_01,,,7,0,1,0,15,0,,,,0=32=10=0|0=41=10=0|0=24=7=0,,,,,,,1,500,,7,,,,,,1,
1070066,1070066,11101,,眼镜头饰,,Helmet_YanJing_01,,,7,0,1,0,13,0,,,,0=32=6=0|0=261=1200=0,,,,,,,1,500,,7,,,,,,1,
1070067,1070067,11101,,小恶魔帽,,Helmet_XiaoEMoMao_01,,,7,0,1,0,15,0,,,,0=32=10=0|0=16=4=0|0=14=4=0,,,,,,,1,500,,7,,,,,,1,
1070068,1070068,11101,,出游帽子,,Helmet_ChuYouMaoZi_01,,,7,0,1,0,15,0,,,,0=32=10=0|0=102=-400=0,,,,,,,1,500,,7,,,,,,1,
1070070,1070070,11101,,巨大的金铃铛,,Helmet_JuDaJinLingDang_01,,,7,0,1,0,15,0,,,,0=32=10=0|0=24=3=0|0=214=800=0,,,,,,,1,500,,7,,,,,,1,
1070072,1070072,11101,,首领冠冕,,Helmet_ShouLingGuanMian_01,,,7,0,1,0,20,0,,,,0=32=16=0|0=41=12=0|0=16=8=0|0=24=4=0|0=225=800=0,,,,,,,1,500,,7,,,,,,1,
1070073,1070073,11101,,变身树叶,,Helmet_BianShenYeZi_01,,,7,0,1,0,10,0,,,,0=32=2=0|0=41=2=0,,,,,,,1,500,,7,,,,,,1,
1070074,1070074,11101,,草帽,,Helmet_CaoMao_01,,,7,0,1,0,10,0,,,,0=32=2=0|0=20=1=0,,,,,,,1,500,,7,,,,,,1,
1070075,1070075,11101,,诗人的帽子,,Helmet_YinYouShiRen_01,,,7,0,1,0,13,0,,,,0=32=6=0|0=16=1=0|0=20=2=0,,,,,,,1,500,,7,,,,,,1,
1070076,1070076,11101,,猫爪发夹,,Helmet_MaoZhuaFaQia_01,,,7,0,1,0,13,0,,,,0=32=6=0|0=53=5=0,,,,,,,1,500,,7,,,,,,1,
1070077,1070077,11101,,飞鸟普妮的翼饰,,Helmet_FeiNiaoPuNi_01,,,7,0,1,0,13,0,,,,0=32=6=0,1=400013001=pro=0=100=skillcast=0=310103=skilllv=0=3,,,3020,,,1,500,,7,,,,,,1,
1070078,1070078,11101,,蓝色卡普拉发圈,,Helmet_KaPuLaFaQuan01_01,,,7,0,1,0,13,0,,,,0=32=6=0|0=16=2=0,,,,,,,1,500,,7,,,,,,1,
1070079,1070079,11101,,炸弹头饰,,Helmet_ZhaDanTouShi_01,,,7,0,1,0,13,0,,,,0=32=6=0|0=41=4=0|0=22=2=0,,,,,,,1,500,,7,,,,,,1,
1070080,1070080,11101,,爱心泳镜,,Helmet_AiXinYongJing_01,,,7,0,1,0,13,0,,,,0=32=6=0|0=22=2=0,,,,,,,1,500,,7,,,,,,1,
1070082,1070082,11101,,蘑菇头套,,Helmet_MoGuTouTao_01,,,7,0,1,0,15,0,,,,0=32=10=0|0=22=3=0|0=47=30=0,,,,,,,1,500,,7,,,,,,1,
1070083,1070083,11101,,讨厌的狸猫,,Helmet_TaoYanDeLiMao_01,,,7,0,1,0,15,0,,,,0=32=10=0|0=265=2000=0,,,,,,,1,500,,7,,,,,,1,
1070084,1070084,11101,,绵羊帽,,Helmet_MianYangMao_01,,,7,0,1,0,15,0,,,,0=32=10=0|0=67=300=0,,,,,,,1,500,,7,,,,,,1,
1070085,1070085,11101,,羽毛贝雷帽,,Helmet_YuMaoBeiLeiMao_01,,,7,0,1,0,15,0,,,,0=32=10=0|0=41=6=0|0=213=700=0,,,,,,,1,500,,7,,,,,,1,
1070086,1070086,11101,,月桂树之冠,,Helmet_YueGuiShuZhiGuan_01,,,7,0,1,0,15,0,,,,0=32=10=0|0=24=4=0|0=261=1000=0|0=260=1000=0,,,,,,,1,500,,7,,,,,,1,
1070087,1070087,11101,,小青蛇帽子,,Helmet_XiaoQingSheMaoZi_01,,,7,0,1,0,15,0,,,,0=32=10=0|0=14=4=0,1=400041001=pro=0=1000=attr1=0=65=value1=0=10000=type=0=0,,,3016,,,1,500,,7,,,,,,1,
1070088,1070088,11101,,兔子耳罩,,Helmet_TuZiErZhao_01,,,7,0,1,0,15,0,,,,0=32=10=0|0=28=100=0|0=18=2=0,,,,,,,1,500,,7,,,,,,1,
1070089,1070089,11101,,小白兔软帽,,Helmet_XiaoBaiTuRuanMao_01,,,7,0,1,0,15,0,,,,0=32=10=0|0=16=4=0|0=102=-300=0,,,,,,,1,500,,7,,,,,,1,
1070090,1070090,11101,,少女礼帽,,Helmet_ShaoNvLiMao_01,,,7,0,1,0,15,0,,,,0=32=10=0|0=18=2=0|0=20=3=0,,,,,,,1,500,,7,,,,,,1,
1070091,1070091,11101,,兔女郎发圈,,Helmet_TuNvLangFaQuan_01,,,7,0,1,0,15,0,,,,0=32=10=0|0=41=6=0|0=24=6=0|0=18=2=0,,,,,,,1,500,,7,,,,,,1,
1070092,1070092,11101,,小天使头饰,,Helmet_XiaoTianShiTouShi_01,,,7,0,1,0,15,0,,,,0=32=10=0|0=20=5=0,,,,,,,1,500,,7,,,,,,1,
1070093,1070093,11101,,小狗发圈,,Helmet_XiaoGouFaQuan_01,,,7,0,1,0,15,0,,,,0=32=10=0|0=212=1200=0,,,,,,,1,500,,7,,,,,,1,
1070094,1070094,11101,,圣诞麋鹿发饰,,Helmet_ShengDanMiLuFaShi_01,,,7,0,1,0,15,0,,,,0=32=10=0|0=18=3=0,,,,,,,1,500,,7,,,,,,1,
1070095,1070095,11101,,使道帽子,,Helmet_HanFuM01_01,,,7,0,1,0,15,0,,,,0=32=10=0|0=18=2=0|0=76=300=0,,,,,,,1,500,,7,,,,,,1,
1070096,1070096,11101,,魔法兔耳帽子,,Helmet_MoFaTuErMaoZi_01,,,7,0,1,0,15,0,,,,0=32=10=0|0=18=2=0,1=400024001=pro=0=200=buffid=0=510025701,,,3017,,,1,500,,7,,,,,,1,
1070097,1070097,11101,,小天使雕像,,Helmet_XiaoTianShiDiaoXiang_01,,,7,0,1,0,15,0,,,,0=32=10=0|0=41=6=0,1=400025001=pro=0=500=skillcast=0=10005=skilllv=0=1,,,3019,,,1,500,,7,,,,,,1,
1070098,1070098,11101,,兔子魔法帽,,Helmet_TuZiMoFaMao_01,,,7,0,1,0,15,0,,,,0=32=10=0|0=41=6=0|0=20=2=0|0=16=4=0,,,,,,,1,500,,7,,,,,,1,
1070099,1070099,11101,,鲨鱼帽,,Helmet_ShaYu_01,,,7,0,1,0,15,0,,,,0=32=10=0|0=14=2=0|0=18=2=0|0=185=1000=0,,,,,,,1,500,,7,,,,,,1,
1070100,1070100,11101,,趴趴疯兔,,Helmet_PaPaFengTu_01,,,7,0,1,0,15,0,,,,0=32=10=0|0=41=6=0|0=24=3=0|0=53=3=0,,,,,,,1,500,,7,,,,,,1,
1070101,1070101,11101,,神奇小猫帽子,,Helmet_ShenQiXiaoMaoMao_01,,,7,0,1,0,15,0,,,,0=32=10=0|0=37=100=0|0=102=-200=0|0=16=2=0,,,,,,,1,500,,7,,,,,,1,
1070102,1070102,11101,,青蛙王子头饰,,Helmet_QingWaWangZi_01,,,7,0,1,0,15,0,,,,0=32=10=0|0=18=3=0|0=14=3=0,,,,,,,1,500,,7,,,,,,1,
1070103,1070103,11101,,波利圆帽,,Helmet_LianDongBoLi_01,,,7,0,1,0,15,0,,,,0=32=10=0|0=16=1=0|0=14=1=0|0=20=1=0|0=47=20=0,,,,,,,1,500,,7,,,,,,1,
1070104,1070104,11101,,红花女冠,,Helmet_HanFu01_01,,,7,0,1,0,15,0,,,,0=32=10=0|0=20=3=0|0=203=500=0,,,,,,,1,500,,7,,,,,,1,
1070105,1070105,11101,,罗巾,,Helmet_HanFuM02_01,,,7,0,1,0,15,0,,,,0=32=10=0|0=14=3=0|0=203=500=0,,,,,,,1,500,,7,,,,,,1,
1070106,1070106,11101,,皮帽子,,Helmet_HanFu02_01,,,7,0,1,0,15,0,,,,0=32=10=0|0=16=3=0|0=203=500=0,,,,,,,1,500,,7,,,,,,1,
1070107,1070107,11101,,兽人英雄的头具,,Helmet_ShouRenYingXiongTouKui_01,,,7,0,1,0,20,0,,,,0=32=16=0|0=41=8=0|0=14=8=0|0=22=8=0,,,,,,,1,500,,7,,,,,,1,
1070108,1070108,11101,,月夜猫帽子,,Helmet_YueYeMaoMao_01,,,7,0,1,0,20,0,,,,0=32=16=0|0=18=5=0|0=20=5=0,1=400005001=pro=0=500=buffid=0=510025701,,,3015,,,1,500,,7,,,,,,1,
1070109,1070109,11101,,古代的金饰,,Helmet_GuDaiJinTouShi_01,,,7,0,1,0,20,0,,,,0=32=16=0|0=28=200=0|0=37=200=0,,,,,,,1,500,,7,,,,,,1,
1070110,1070110,11101,,猫耳贝雷帽,,Helmet_MaoErBeiLeiMao_01,,,7,0,1,0,20,0,,,,0=32=16=0|0=22=3=0|0=203=400=0|0=213=600=0,,,,,,,1,500,,7,,,,,,1,
1070111,1070111,11101,,瓦尔基里头盔,,Helmet_WaErJiLiTouKui_01,,,7,0,1,0,20,0,,,,0=32=16=0|0=28=300=0|0=37=300=0,,,,,,,1,500,,7,,,,,,1,
1070112,1070112,11101,,飞空艇船长之帽,,Helmet_FeiKongTingChuanZhangZhiMao_01,,,7,0,1,0,20,0,,,,0=32=16=0|0=48=200=0|0=20=4=0|0=249=300=0,,,,,,,1,500,,7,,,,,,1,
1070113,1070113,11101,,绵绵卡普拉,,Helmet_MianMianKaPuLa_01,,,7,0,1,0,20,0,,,,0=32=16=0|0=41=12=0,1=400023001=pro=0=200=buffid=0=901301,,,3018,,,1,500,,7,,,,,,1,
1070114,1070114,11101,,新娘的花冠,,Helmet_XinNiangFaGuan_01,,,7,0,1,0,20,0,,,,0=32=16=0|0=41=12=0|0=24=10=0,,,,,,,1,500,,7,,,,,,1,
1070115,1070115,11101,,波利王头饰,,Helmet_XianYuTanBoLi_01,,,7,0,1,0,20,0,,,,0=32=16=0|0=14=7=0|0=16=7=0|0=24=5=0,,,,,,,1,500,,7,,,,,,1,
1070116,1070116,11101,,进阶勇士之帽,,Helmet_HaiDaoMao2_01,,,7,0,1,0,20,0,,,,0=32=16=0|0=14=8=0,1=400209001=pro=0=100=skillcast=0=610103=skilllv=0=1,,,3022,,,1,500,,7,,,,,,1,
1070117,1070117,11101,,金色小天使雕像,,Helmet_JinSeXiaoTianShiDiaoXiang_01,,,7,0,1,0,20,0,,,,0=32=16=0|0=14=8=0|0=16=8=0|0=204=1000=0|0=206=1000=0,,,,,,,1,500,,7,,,,,,1,
1070118,1070118,11101,,狮头面具,,Helmet_ShiZiTouMianJu_01,,,7,0,1,0,20,0,,,,0=32=16=0|0=14=8=0,1=400004001=pro=0=100=buffid=0=901401,,,3021,,,1,500,,7,,,,,,1,
1070119,1070119,11101,,魔物图鉴头饰1阶,,Helmet_MoWuTuJian01_01,,,7,0,1,0,10,0,,,,0=32=2=0|0=47=40=0|0=49=20=0,,,,,,,1,500,,7,,,,,,1,
1070120,1070120,11101,,魔物图鉴头饰2阶,,Helmet_MoWuTuJian02_01,,,7,0,1,0,13,0,,,,0=32=2=0|0=47=40=0|0=49=20=0,,,,,,,1,500,,7,,,,,,1,
1070121,1070121,11101,,魔物图鉴头饰3阶,,Helmet_MoWuTuJian03_01,,,7,0,1,0,15,0,,,,0=32=2=0|0=47=40=0|0=49=20=0,,,,,,,1,500,,7,,,,,,1,
1070122,1070122,11101,,魔物图鉴头饰4阶,,Helmet_MoWuTuJian04_01,,,7,0,1,0,15,0,,,,0=32=2=0|0=47=40=0|0=49=20=0,,,,,,,1,500,,7,,,,,,1,
1070123,1070123,11101,,魔物图鉴头饰5阶,,Helmet_MoWuTuJian05_01,,,7,0,1,0,20,0,,,,0=32=2=0|0=47=40=0|0=49=20=0,,,,,,,1,500,,7,,,,,,1,
1070124,1070124,11101,,糯糯鼠头套,,Helmet_WanOu01_01,,,7,0,1,0,15,0,,,,0=32=10=0|0=41=2=0|0=20=2=0,,,,,,,1,500,,7,,,,,,1,
1070125,1070125,11101,,软软鼠头套,,Helmet_WanOu02_01,,,7,0,1,0,15,0,,,,0=32=10=0|0=41=2=0|0=22=2=0,,,,,,,1,500,,7,,,,,,1,
1072001,1072001,11101,,ROO纪念头饰,,Helmet_DouMaoDaoJu_01,,,7,0,1,0,13,0,,,,0=32=10=0|0=14=2=0|0=16=2=0|0=208=600=0,,,,,,,1,500,,7,,,,,,1,
1070142,1070142,11101,,灯泡发圈,,Helmet_DengPaoFaQuan_01,,,7,0,1,0,13,0,,,,0=32=6=0|0=188=400=0,,,,,,,1,500,,7,,,,,,1,
1070143,1070143,11101,,耳机,,Helmet_ErJi_01,,,7,0,1,0,10,0,,,,0=32=2=0|0=260=500=0,,,,,,,1,500,,7,,,,,,1,
1070144,1070144,11101,,防风皮革眼镜,,Helmet_FangFengYanJing_01,,,7,0,1,0,13,0,,,,0=32=6=0|0=18=1=0,,,,,,,1,500,,7,,,,,,1,
1070145,1070145,11101,,海棠花发夹,,Helmet_HaiTangHuaFaJia_01,,,7,0,1,0,13,0,,,,0=32=6=0|0=41=4=0|0=20=1=0|0=16=2=0,,,,,,,1,500,,7,,,,,,1,
1070146,1070146,11101,,蜡烛头饰,,Helmet_LaZhu_01,,,7,0,1,0,13,0,,,,0=32=6=0|0=41=4=0|0=263=600=0|0=257=600=0,,,,,,,1,500,,7,,,,,,1,
1070147,1070147,11101,,灵魂光环,,Helmet_LingHunGuangQuan_01,,,7,0,1,0,15,0,,,,0=32=10=0|0=41=10=0,1=400025001=pro=0=200=skillcast=0=310203=skilllv=0=1,,,3006,,,1,500,,7,,,,,,1,
1070148,1070148,11101,,毛无边帽,,Helmet_MaoWuBianMao_01,,,7,0,1,0,20,0,,,,0=32=16=0|0=20=2=0|0=18=2=0|0=88=-2000=0,,,,,,,1,500,,7,,,,,,1,
