ID,Comment,SceneType,GatheringNav,EventID,StageType,PublicSceneID,SceneCfgFile,SceneUnityFile,ViewType,ViewGridLen,SceneGridFile,SceneAIFile,LoadingTips,LoadingPic,SyncMode,LineRoleCount,RelationMode,SpecialRelation,BGM,EnvironmentSound,MapName,MapSize,MapSizeChange,MapOffset,MapEntryName,MiniMap,MiniMapName,MiniMapSize,CamDis,CamConfig,SceneEnterType,StartPos,StartFace,StartCamFace,IsStaticScene,ReviveType,IsUseItemRevive,ReviveCost,ReviveScenePosition,ReviveSceneFace,ReviveSceneCamera,LandPos,LandFace,LandCamFace,LineWarningRoleNum,LineThresholdRoleNum,LineRecycleRoleNum,Campmatching,IsNeedStore,Vehicle,VehicleFly,BattleVehicle,IsHudWordMask,FirstInCutscene,SceneUiId,CanAutoPath,RecommendLevel,EventTriggerPoint,TeamSyncInterval,MemberConfirm,ForceFollow,Forbid3D,CanMnMapNav,NotReconnect,MerceneryNotAllow,PetNotAllow,EnterCutSceneId,IsFAQImport,DynamicAttrType,HidingFriendlyCanSee,LocalizationArea,ParamKeys,ParamValues
11,沙漠岔道,2,1,0,4,,RO_Shamochadao,sc_shamochadao_001/sc_shamochadao_001,2,7,sc_shamochadao_001,Common_SceneAI_shamochadao,1,2,1,,0,,BGM_Desert,Ambience_Desert_NoWind,sc_shamochadao_001,185,0.95=1.2,25=8,沙漠岔道,沙漠岔道,沙漠岔道,512,15,,,101.5=2.54=144,0,180,1,4,1,,101.5=2.54=144,,,101.5=2.54=144,0,0,50,80,40,,1,1,1,1,,,1,1,34,,,,,,,,,,,1,,,,,
12,吉芬西部,2,1,0,4,,RO_Jifenxibu,sc_jifenxibu_001/sc_jifenxibu_001,2,7,sc_jifenxibu_001,Common_SceneAI_jifenxibu,1,2,1,,0,,BGM_Travel_JiFenXiBu,Ambience_Island,sc_jifenxibu_001,185,0.85=1,7=0,吉芬西部,吉芬西部,吉芬西,512,15,,,140.21=3=102.56,0,180,1,4,1,,140.21=3=102.56,,,140.21=3=102.56,0,0,100,120,60,,1,1,1,1,,,1,1,45,,,,,,,,,,,1,,,,,
13,波利岛,2,1,0,4,,RO_Bolidao,sc_bolidao_001/sc_bolidao_001,2,7,sc_bolidao_001,Common_SceneAI_Default,1,2,1,,0,,BGM_PeacefulForest_BeiMen,Ambience_Island,sc_bolidao_001,260,0.9=1,13=0,波利岛,波利岛,波利岛,512,15,,,48.38=12.85=123.68,90,180,1,4,1,,48.38=12.85=123.68,,,48.38=12.85=123.68,0,0,100,120,60,,1,1,1,1,,,1,1,34,66.8=12.7=55.38=10|117=13=94.3=10|96.3=12.7=69.6=10|150.1=12.7=59.5=10,,,,,,,,,,1,,,,,
14,家园,2,0,0,4,,RO_Jiayuan,sc_jiayuan_002/sc_jiayuan_002,2,7,sc_jiayuan_002,Common_SceneAI_Default,1,2,1,,0,,BGM_TaleOfTheEast_JiaYuan,,sc_jiayuan_002,120,0.85=1,0=0.05,,家园,,512,15,,,81.94=4.08=52.72,0,180,1,1,0,,81.94=4.08=52.72,,,81.94=4.08=52.72,0,0,80,100,60,,1,1,0,1,,,1,1,1,,,,,,,,,,,,,,,,
15,乐园团,2,1,0,4,,RO_Leyuantuan,sc_zhuanzhidating_001/sc_zhuanzhidating_001,2,7,sc_zhuanzhidating_001,Common_SceneAI_Default,1,2,1,,0,,BGM_ThemeOfMorroc_MengLuoKe,,sc_zhuanzhidating_001,120,1=1,47=0,乐园团,乐园团,乐园团,512,15,,,51.97=5.07=51.77,0,180,1,1,0,,51.97=5.07=51.77,,,51.97=5.07=51.77,0,0,200,250,150,,1,1,0,1,,,1,1,1,,,,,,,,,,,1,,,,,
16,吉芬,1,1,0,3,,RO_Jifen,sc_jifen_001/sc_jifen_001,2,7,sc_jifen_001,Common_SceneAI_jifen,1,2,1,,0,,BGM_ThemeOfGeffen_JiFen,,sc_jifen_001,200,0.95=1.2,0=0,吉芬,吉芬,吉芬,512,15,,,99.1=16.9=43.5,90,180,1,4,1,,99.1=16.9=43.5,,,99.1=16.9=43.5,0,180,300,400,200,,1,1,1,1,,100121,1,1,29,75=17=33.4|38=17=82|108=17=162,,,,,,,,,,1,,,,,
17,花园,2,1,0,4,,RO_Huayuan,sc_huayuan_001/sc_huayuan_001,2,7,sc_huayuan_001,Common_SceneAI_Default,1,2,1,,0,,BGM_PeacefulForest_BeiMen,Ambience_Forest2,sc_huayuan_001,300,0.8=1,0=4,花园,花园,花园,512,15,,,141.16=28.07=89.79,0,180,1,4,1,,141.16=28.07=89.79,,,141.16=28.07=89.79,0,0,100,120,60,,1,1,1,1,,,1,1,74,,,,,,,,,,,1,,,,,
18,转职大厅,2,1,0,4,,RO_Zhuanzhidating,sc_zhuanzhidating_002/sc_zhuanzhidating_002,2,7,sc_zhuanzhidating_002,Common_SceneAI_zhuanzhidating,1,2,1,,0,,BGM_DivineGrace_ZhuanZhiDaTing,,sc_zhuanzhidating_002,145,1=1.2,0=0,转职大厅,转职大厅,转职大厅,512,15,,,71.64=2.87=30.61,0,180,1,1,0,,71.64=2.87=30.61,,,71.64=2.87=30.61,0,0,200,250,150,,1,1,0,1,,,1,1,1,,,,,,,,,,,,,,,,
19,苏克拉特沙漠,2,1,0,4,,RO_Sukelate,sc_sukelate_001/sc_sukelate_001,2,7,sc_sukelate_001,Common_SceneAI_Default,1,2,1,,0,,BGM_Desert,Ambience_Desert_NoWind,sc_sukelate_001,200,0.9=1,15=7,苏克拉特沙漠,苏克拉特沙漠,苏克拉特,512,15,,,144.64=12.7=152.24,0,180,1,4,1,,144.64=12.7=152.24,,,144.64=12.7=152.24,0,0,50,80,40,,1,1,1,1,,,1,1,45,126=12.2=134=10|65.2=15.4=115.4=10|134=12.2=81.1=10,,,,,,,,,,1,,,,,
20,柏伊亚岚岛,2,1,0,4,,RO_Boyiyalandao,sc_boyiyalandao_001/sc_boyiyalandao_001,2,7,sc_boyiyalandao_001,Common_SceneAI_Default,1,2,1,,0,,BGM_Ready_PVPDengDaiShi,sc_yisilude_001,sc_boyiyalandao_001,155,0.9=1.2,0=20,柏伊亚岚岛,柏伊亚岚岛,柏伊亚岚,512,15,,,78.7=9.1=53.1,0,180,1,4,1,,78.7=9.1=53.1,,,78.7=9.1=53.1,0,0,200,250,150,,1,1,1,1,,,1,1,50,,,,,,,,,,,1,,,,,
21,伊斯鲁得,1,1,0,3,,RO_Yisilude,sc_yisilude_001/sc_yisilude_001,2,7,sc_yisilude_001,Common_SceneAI_Default,1,2,1,,0,,BGM_EverlastingWonders_YiSiLuDe,,sc_yisilude_001,300,1=1.2,20=12,伊斯鲁得,伊斯鲁得,伊斯鲁得,512,15,,,135.1=17.19=92.37,90,180,1,4,1,,135.1=17.19=92.37,,,135.1=17.19=92.37,180,180,300,400,200,,1,1,1,1,,100115,1,1,36,94=17.2=169|149.2=17.2=165.3|104.8=17.2=110.9,,,,,,,,,,1,,,,,
22,沉没之船,2,1,0,4,,RO_Chenmozhichuan,sc_chenmozhichuan_001/sc_chenmozhichuan_001,2,7,sc_chenmozhichuan_001,Common_SceneAI_Default,1,2,1,,0,,BGM_Ready_PVPDengDaiShi,Ambience_Island,sc_chenmozhichuan_001,160,0.9=1.2,0=20,沉没之船,沉没之船,沉船,512,15,,,59.56=8.16=59.57,0,180,1,4,1,,59.56=8.16=59.57,,,59.56=8.16=59.57,0,0,100,120,80,,1,1,1,1,,,1,1,50,,,,,,,,,,,1,,,,,
23,吉芬东部,2,1,0,4,,RO_Jifendongbu,sc_jifendongbu_001/sc_jifendongbu_001,2,7,sc_jifendongbu_001,Common_SceneAI_jifendongbu,1,2,1,,0,,BGM_Desert,Ambience_Desert_NoWind,sc_jifendongbu_001,180,0.9=1,3=9,吉芬东部,吉芬东部,吉芬东,512,15,,,34=4.9=91.25,0,180,1,4,1,,34=4.9=91.25,,,34=4.9=91.25,0,0,100,120,60,,1,1,1,1,,,1,1,29,,,,,,,,,,,1,,,,,
24,装备商店,2,0,0,4,,RO_Jinglianwu,sc_jinglianwu_002/sc_jinglianwu_002,2,10,sc_jinglianwu_002,Common_SceneAI_Default,1,2,1,,0,,BGM_Borborema,,sc_jinglianwu_002,110,1=1,-4=-8,装备商店,装备商店,装备商店,512,15,,,35.46=4.95=43.39,0,180,1,4,1,,35.46=4.95=43.39,,,35.46=4.95=43.39,0,0,80,100,60,,1,1,0,1,,,1,1,1,,,,,,,,,,,1,,,,,
25,梦罗克西部,2,1,0,4,,RO_Mengluokexibu,sc_mlkxibu_001/sc_mlkxibu_001,2,7,sc_mlkxibu_001,Common_SceneAI_Default,1,2,1,,0,,BGM_TeMPorsche_MlkNanBu,,sc_mlkxibu_001,200,1=1.2,-10=-2,梦罗克西部,梦罗克西部,梦罗克西,512,15,,,153.36=12.75=104.1,0,180,1,4,1,,153.36=12.75=104.1,,,153.36=12.75=104.1,0,0,100,120,60,,1,1,1,1,,,1,1,40,133=12.2=141|46.5=12.2=120.8|81.5=12.2=95.9|43.6=12.2=59,,,,,,,,,,1,,,,,
26,梦罗克,1,1,0,3,,RO_Mengluoke,sc_mengluoke_001/sc_mengluoke_001,2,7,sc_mengluoke_001,Common_SceneAI_Default,1,2,1,,0,,BGM_ThemeOfMorroc_MengLuoKe,,sc_mengluoke_001,230,0.95=1.2,0=0,梦罗克,梦罗克,梦罗克,512,15,,,114.8=9.85=64.7,90,180,1,4,1,,114.8=9.85=64.7,,,114.8=9.85=64.7,0,180,300,400,200,,1,1,1,1,,100114,1,1,20,,,,,,,,,,,1,,,,,
27,皇宫走廊,2,1,0,4,,RO_Huanggong,sc_huanggong_001/sc_huanggong_001,2,7,sc_huanggong_001,Common_SceneAI_Default,1,2,1,,0,,BGM_DivineGrace_ZhuanZhiDaTing,,sc_huanggong_001,210,0.9=1.2,0=20,,皇宫走廊,皇宫走廊,512,15,,,107.94=11.8=81.1,0,180,1,4,1,,107.94=11.8=81.1,,,107.94=11.8=81.1,0,0,300,250,200,,1,1,0,1,,,1,1,1,,,,,,,,,,,1,,,,,
28,梦罗克南部,2,1,0,4,,RO_Mengluokenanbu,sc_mlknanbu_001/sc_mlknanbu_001,2,7,sc_mlknanbu_001,Common_SceneAI_mengluokenanbu,1,2,1,,0,,BGM_TeMPorsche_MlkNanBu,,sc_mlknanbu_001,240,0.9=1,1=-8,梦罗克南部,梦罗克南部,梦罗克南部,512,15,,,119.67=9.68=195.08,0,180,1,4,1,,119.67=9.68=195.08,,,119.67=9.68=195.08,0,0,100,120,60,,1,1,1,1,,,1,1,15,64=9.7=192.7=10|178.4=9.2=120=10|131.2=12.2=101.4=10|61.44=12.2=51.4=10,,,,,,,,,,1,,,,,
29,公会大厅,9,1,0,3,,RO_Gonghui,sc_gonghui_001/sc_gonghui_001,1,,sc_gonghui_001,Common_SceneAI_gonghui,1,2,1,,0,,BGM_ThemeOfProntera_PuLongDeLa,Ambience_Island,sc_gonghui_001,150,1=1,87=25,公会,公会,公会,512,15,,,51.05=25.66=34.34,90,180,0,4,0,,51.05=25.66=34.34,,,51.05=25.66=34.34,0,0,1000,1200,800,,1,1,0,1,,,1,1,17,,,,,,,,1,,,,,,,,
30,迷雾岛,2,0,0,4,,RO_Wuxiantarukou,sc_wuxiantarukou_001/sc_wuxiantarukou_001,2,7,sc_wuxiantarukou_001,Common_SceneAI_Default,1,2,1,,0,,BGM_Abyss_MiWuDao,Ambience_Forest2,sc_wuxiantarukou_001,120,1=2,15=0,迷雾岛,迷雾岛,迷雾岛,512,15,,,55.68=12.56=52.16,90,90,1,4,1,,55.68=12.56=52.16,,,55.68=12.56=52.16,0,90,200,250,150,,1,1,0,1,,,1,0,50,,,,,,,,,,,,,,,,
31,初心者学院外,2,1,0,4,,RO_Chushengdian,sc_chushengdian_002/sc_chushengdian_002,2,7,sc_chushengdian_002,Common_SceneAI_Default,1,2,1,,0,,BGM_OneStepCloser_XinShouCun,,sc_chushengdian_002,200,0.9=1,13=40,初心者学院外,初心者学院外,学院外,512,15,,,51.44=9.84=57.36=101.47,90,225,1,2,1,,51.44=9.84=57.36=101.47,0,0,51.44=9.84=57.36=101.47,90,225,100,120,80,,1,1,0,1,,100084,1,1,,,,,,,,,,,,,,,,,
32,初心者学院,2,1,0,4,,RO_Chuxinzhexueyuan,sc_xinshoudating_001/sc_xinshoudating_001,2,7,sc_xinshoudating_001,Common_SceneAI_Default,1,2,1,,0,,BGM_Academy_inside,,sc_xinshoudating_001,140,1=1,-8=39,初心者学院,初心者学院,学院,512,15,,,50=30.6=35,0,180,1,2,1,,50=30.6=35,0,0,50=30.6=35,0,0,100,120,80,,1,1,0,1,,,1,1,,,,,,,,,,,,,,,,,
33,初心者训练场,2,1,0,4,,RO_Chuxinzhexunlianchang,sc_xunlianchang_002/sc_xunlianchang_002,2,7,sc_xunlianchang_002,Common_SceneAI_Default,1,2,1,,0,,BGM_OneStepCloser_XinShouCun,,sc_xunlianchang_002,220,0.9=1,13=32,初心者训练场,初心者训练场,训练场,512,15,,,48.77=10.89=93.1,0,180,1,2,1,,48.77=10.89=93.1,0,0,48.77=10.89=93.1,0,0,100,120,80,,1,1,0,1,,,1,1,,,,,,,,,,,,,,,,,
34,兽人村落,2,1,0,4,,RO_Shourencunluo,sc_shourencunluo_001/sc_shourencunluo_001,2,7,sc_shourencunluo_001,Common_SceneAI_Default,1,2,1,,0,,BGM_TeMPoison_ShouRenCunLuo,,sc_shourencunluo_001,230,0.9=1,-2=0,兽人村落,兽人村落,兽人村落,512,15,,,65.19=6.30=172.91,0,180,1,4,1,,65.19=6.30=172.91,,,65.19=6.30=172.91,0,0,100,120,60,,1,1,1,1,,,1,1,45,153.7=10.56=45.52=10|151=6.35=119.4=10|56=6.35=165=10|101.2=6.35=111.2=10,,,,,,,,,,1,,,,,
35,沙漠之桥,2,1,0,4,,RO_Shamozhiqiao,sc_shamozhiqiao_001/sc_shamozhiqiao_001,2,7,sc_shamozhiqiao_001,Common_SceneAI_Default,1,2,1,,0,,BGM_Desert,,sc_shamozhiqiao_001,280,1=1,-9=-4,沙漠之桥,沙漠之桥,沙漠之桥,512,15,,,77.83=3.6=136.7,0,180,1,4,1,,77.83=3.6=136.7,,,77.83=3.6=136.7,0,0,50,80,40,,1,1,1,1,,,1,1,64,,,,,,,,,,,1,,,,,
36,斐扬东部,2,1,0,4,,RO_Feiyangdongbu,sc_feiyangdongbu_001/sc_feiyangdongbu_001,2,7,sc_feiyangdongbu_001,Common_SceneAI_Default,1,2,1,,0,,BGM_PeacefulForest_BeiMen,,sc_feiyangdongbu_001,180,1=1,-15=-2,斐扬东部,斐扬东部,斐扬东,512,15,,,55.03=23.79=54.76,0,180,1,4,1,,55.03=23.79=54.76,,,55.03=23.79=54.76,0,0,100,120,60,,1,1,1,1,,,1,1,24,,,,,,,,,,,1,,,,,
37,斐扬树林,2,1,0,4,,RO_Feiyangshulin,sc_feiyangshulin_001/sc_feiyangshulin_001,2,7,sc_feiyangshulin_001,Common_SceneAI_Default,1,2,1,,0,,BGM_NanoEast_FeiYangShuLin,,sc_feiyangshulin_001,226,1=1,-3=-17,斐扬树林,斐扬树林,斐扬树林,512,15,,,52.92=40.33=161.16,0,180,1,4,1,,52.92=40.33=161.16,,,52.92=40.33=161.16,0,0,50,80,40,,1,1,1,1,,,1,1,70,,,,,,,,,,,1,,,,,
38,苏克拉特南部,2,1,0,4,,RO_Sukelatenanbu,sc_sukelatenanbu_001/sc_sukelatenanbu_001,2,7,sc_sukelatenanbu_001,Common_SceneAI_Default,1,2,1,,0,,BGM_TeMPorsche_MlkNanBu,,sc_sukelatenanbu_001,220,0.9=1,-14=-3,苏克拉特南部,苏克拉特南部,沙漠南,512,15,,,118.92=13.76=172.62,0,180,1,4,1,,118.92=13.76=172.62,,,118.92=13.76=172.62,0,0,50,80,40,,1,1,1,1,,,1,1,75,,,,,,,,,,,1,,,,,
39,盗贼工会,2,1,0,4,,RO_Zhuanzhidaozei,sc_zzdz_001/sc_zzdz_001,2,7,sc_zzdz_001,Common_SceneAI_Default,1,2,1,,0,,BGM_ThemeOfMorroc_MengLuoKe,,sc_zzdz_001,86,1=1,47=0,盗贼工会,盗贼工会,,512,15,,,54.14=12.61=43.42,0,0,1,1,0,,54.14=12.61=43.42,,,54.14=12.61=43.42,0,0,80,100,60,,1,1,0,1,,,1,1,30,,,,,,,,,,,1,,,,,
40,剑士工会,2,1,0,4,,RO_Zhuanzhijianshi,sc_zzjs_001/sc_zzjs_001,2,7,sc_zzjs_001,Common_SceneAI_Default,1,2,1,,0,,BGM_EverlastingWonders_YiSiLuDe,,sc_zzjs_001,86,1=1,-15=18,剑士工会,剑士工会,,512,15,,,53.03=2.81=40.6,0,180,1,1,0,,53.03=2.81=40.6,,,53.03=2.81=40.6,0,0,80,100,60,,1,1,0,1,,,1,1,30,,,,,,,,,,,1,,,,,
41,大教堂,2,1,0,4,,RO_Jiaotang,sc_zzms_001/sc_zzms_001,2,7,sc_zzms_001,Common_SceneAI_Default,1,2,1,,0,,BGM_DivineGrace_ZhuanZhiDaTing,,sc_zzms_001,150,1=1,0=58,大教堂,大教堂,,512,15,,,71.43=12.27=45.72,0,225,1,1,0,,71.43=12.27=45.72,,,71.43=12.27=45.72,0,0,200,250,150,,1,1,0,1,,,1,1,30,,,,,,,,,,,1,,,,,
