MapId,Name,CampNum,CampMember,TeamMemberLimit,JobLimit,AllRuleUnlimitTime,LevelRange,ExpandLvRange,LvExpandInterval,LvExpandTimes,ExpandScoreRange,ScExpandInterval,ScExpandTimes,TimeOutLimit,ConfirmTimeOut,TimeOutBan,ProfessionLimit
971,法老王挑战★★★,1,5,5,1=1|2=1,9999,10,5,10,0,0,0,0,-1,60,0,5
4050,章节一-北方异变之森,1,5,5,1=1|2=1,9999,10,5,10,0,0,0,0,-1,60,0,5
4051,北方异变之森试炼,1,5,5,1=1|2=1,9999,10,5,10,0,0,0,0,-1,60,0,5
4052,北方异变之森挑战,1,5,5,1=1|2=1,9999,10,5,10,0,0,0,0,-1,60,0,5
4000,章节二-普隆德拉下水道,1,5,5,1=1|2=1,9999,10,5,10,0,0,0,0,-1,60,0,5
4001,普隆德拉下水道试炼,1,5,5,1=1|2=1,9999,10,5,10,0,0,0,0,-1,60,0,5
4002,普隆德拉下水道挑战,1,5,5,1=1|2=1,9999,10,5,10,0,0,0,0,-1,60,0,5
4010,章节三-德瑞克幽灵船,1,5,5,1=1|2=1,9999,10,5,10,0,0,0,0,-1,60,0,5
4011,德瑞克幽灵船试炼,1,5,5,1=1|2=1,9999,10,5,10,0,0,0,0,-1,60,0,5
4012,德瑞克幽灵船挑战,1,5,5,1=1|2=1,9999,10,5,10,0,0,0,0,-1,60,0,5
4020,章节四-吉芬地下暗影,1,5,5,1=1|2=1,9999,10,5,10,0,0,0,0,-1,60,0,5
4021,吉芬地下暗影试炼,1,5,5,1=1|2=1,9999,10,5,10,0,0,0,0,-1,60,0,5
4022,吉芬地下暗影挑战,1,5,5,1=1|2=1,9999,10,5,10,0,0,0,0,-1,60,0,5
4030,章节五-蚂蚁地狱巢穴,1,5,5,1=1|2=1,9999,10,5,10,0,0,0,0,-1,60,0,5
4031,蚂蚁地狱巢穴试炼,1,5,5,1=1|2=1,9999,10,5,10,0,0,0,0,-1,60,0,5
4032,蚂蚁地狱巢穴挑战,1,5,5,1=1|2=1,9999,10,5,10,0,0,0,0,-1,60,0,5
4040,章节六-金字塔大冒险,1,5,5,1=1|2=1,9999,10,5,10,0,0,0,0,-1,60,0,5
4041,金字塔大冒险试炼,1,5,5,1=1|2=1,9999,10,5,10,0,0,0,0,-1,60,0,5
4042,金字塔大冒险挑战,1,5,5,1=1|2=1,9999,10,5,10,0,0,0,0,-1,60,0,5
4060,章节七-达纳托斯之战,1,5,5,1=1|2=1,9999,10,5,10,0,0,0,0,-1,60,0,5
4061,达纳托斯之战试炼,1,5,5,1=1|2=1,9999,10,5,10,0,0,0,0,-1,60,0,5
4062,达纳托斯之战挑战,1,5,5,1=1|2=1,9999,10,5,10,0,0,0,0,-1,60,0,5
4070,章节八-混沌的枷锁,1,5,5,1=1|2=1,9999,10,5,10,0,0,0,0,-1,60,0,5
4071,混沌的枷锁试炼,1,5,5,1=1|2=1,9999,10,5,10,0,0,0,0,-1,60,0,5
4072,混沌的枷锁挑战,1,5,5,1=1|2=1,9999,10,5,10,0,0,0,0,-1,60,0,5
4080,章节九-夜袭普隆德拉,1,5,5,1=1|2=1,9999,10,5,10,0,0,0,0,-1,60,0,5
4081,夜袭普隆德拉试炼,1,5,5,1=1|2=1,9999,10,5,10,0,0,0,0,-1,60,0,5
4082,夜袭普隆德拉挑战,1,5,5,1=1|2=1,9999,10,5,10,0,0,0,0,-1,60,0,5
4090,番外一-探秘哥布灵森林,1,5,5,1=1|2=1,9999,10,5,10,0,0,0,0,-1,60,0,5
4091,探秘哥布灵森林试炼,1,5,5,1=1|2=1,9999,10,5,10,0,0,0,0,-1,60,0,5
4092,探秘哥布灵森林挑战,1,5,5,1=1|2=1,9999,10,5,10,0,0,0,0,-1,60,0,5
4100,章节十-净化修道院,1,5,5,1=1|2=1,9999,10,5,10,0,0,0,0,-1,60,0,5
4101,净化修道院试炼,1,5,5,1=1|2=1,9999,10,5,10,0,0,0,0,-1,60,0,5
4102,净化修道院挑战,1,5,5,1=1|2=1,9999,10,5,10,0,0,0,0,-1,60,0,5
