ItemID,ItemName,ItemBlackList,ItemWhiteOpen,ItemWhiteTips,,
1080041,伤疤纹面,,,,韩服,通行证商店1
1080042,南瓜眼罩,,,,韩服,通行证商店1
1080044,黑眼圈纹面,,,,韩服,通行证商店1
1010043,梦游套装（男）,,,,韩服,通行证商店2
1010044,梦游套装（女）,,,,韩服,通行证商店2
1070209,梦游帽子,,,,韩服,通行证商店2
1080063,梦游眼罩,,,,韩服,通行证商店2
1090045,西瓜勺子,,,,韩服,通行证商店2
1090046,爪印勺子,,,,韩服,通行证商店2
1070232,烟花发箍,,,,韩服,新年抽奖
1090059,花牌,,,,韩服,新年抽奖
1090060,烟花棒,,,,韩服,新年抽奖
1100021,巨大的烟花炮,,,,韩服,新年抽奖
1070234,奶牛玩偶头套,,,,韩服,新年抽奖
1010059,奶牛玩偶服,,,,韩服,新年抽奖
1010060,奶牛玩偶服,,,,韩服,新年抽奖
1041016,萌萌奶牛头像框,,,,韩服,新年抽奖
2151536,星星棒嘴饰魔法石,,,,韩服,新年抽奖
2080101,饭票,,117|5121,,,好运厨房
2091700,饭票小礼盒,,5121,,,好运厨房
1080081,福袋耳坠,,,14015,,好运厨房
1090058,叼在嘴里的福袋,,,14015,,好运厨房
2080102,暖心年糕汤,3222,,14015,,好运厨房
2080103,元气五谷饭,3222,,14015,,好运厨房
2080104,多吃不胖烤肉,3222,,14015,,好运厨房
2080105,美味海鲜煎饼,3222,,14015,,好运厨房
2080106,甜蜜韩果,3222,,14015,,好运厨房
2080107,幸运甜米露,3222,,14015,,好运厨房
1500000,强者印记,,12101,,,5V5积分道具
1070251,蝴蝶绅士礼帽,,,,韩服,春日抽奖
1080078,蒙面眼罩,,,,韩服,春日抽奖
1070250,落夜蝴蝶,,,,韩服,春日抽奖
1100023,暗夜精灵之翼,,,,韩服,春日抽奖
1010061,暗夜精灵,,,,韩服,春日抽奖
1010062,暗夜精灵,,,,韩服,春日抽奖
1021041,分裂蘑菇,,,,韩服,春日抽奖
1500010,A型药剂礼包,,12101,,,5V5积分道具
1500011,B型药剂礼包,,12101,,,5V5积分道具
1080030,金丝边眼镜,,,2001,,主题派对
1200060,金丝边眼镜图纸,,,2001,,主题派对
3024061,异化铁,,10835,,,齿轮拆解
3024062,异化钢,,10835,,,齿轮拆解
602,沙漠守望者纹章,,90083,,,
605,阿尔奇商盟纹章,,90081|90084|90088,,,
606,米德加兹教廷纹章,,90085,,,
608,探险家协会纹章,,90082|90086,,,
609,吉芬评议会纹章,,90087,,,
1070253,童真礼结帽,,,14026,,限时抽奖--儿童节
1070254,童真兔子帽,,,14026,,限时抽奖--儿童节
1080086,童真眼镜,,,14026,,限时抽奖--儿童节
1090064,童真冰淇淋,,,14026,,限时抽奖--儿童节
1100024,童真雨伞,,,14026,,限时抽奖--儿童节
1010068,童真校服,,,14026,,限时抽奖--儿童节
1010069,童真校服,,,14026,,限时抽奖--儿童节
1021047,浮空摩托,,,14026,,限时抽奖--儿童节
1100015,樱花翅膀,,,14028,,限时抽奖--夏日抽奖祭
1070276,樱花头饰,,,14028,,限时抽奖--夏日抽奖祭
1080093,樱花眼镜,,,14028,,限时抽奖--夏日抽奖祭
1090071,樱花嘴饰,,,14028,,限时抽奖--夏日抽奖祭
1070293,baby帽,,,14028,,限时抽奖--夏日抽奖祭
1010084,宫廷时光,,,14028,,限时抽奖--夏日抽奖祭
1010085,宫廷时光,,,14028,,限时抽奖--夏日抽奖祭
1021051,机甲,,,14028,,限时抽奖--夏日抽奖祭
1070300,垂垂兔耳帽,,,14031,,限时抽奖--秋夕抽奖祭
1090089,月兔饼干,,,14031,,限时抽奖--秋夕抽奖祭
1100044,月兔气球,,,14031,,限时抽奖--秋夕抽奖祭
1010091,月兔之礼,,,14031,,限时抽奖--秋夕抽奖祭
1010092,月兔之礼,,,14031,,限时抽奖--秋夕抽奖祭
1080099,星月耳钉,,,14031,,限时抽奖--秋夕抽奖祭
1021054,旅月时光,,,14031,,限时抽奖--秋夕抽奖祭
1070308,栗子帽,,,14033,,限时抽奖--爱意抽奖祭
1070309,松果帽,,,14033,,限时抽奖--爱意抽奖祭
1080107,小闪电贴纸,,,14033,,限时抽奖--爱意抽奖祭
1090092,美味的栗子,,,14033,,限时抽奖--爱意抽奖祭
1100050,猫咪的餐桌礼叉,,,14033,,限时抽奖--爱意抽奖祭
1010101,栗子装,,,14033,,限时抽奖--爱意抽奖祭
1010102,栗子装,,,14033,,限时抽奖--爱意抽奖祭
1021056,魔术球,,,14033,,限时抽奖--爱意抽奖祭
2034006,奇异金属,,3097,,,
2034005,蓝色碎片,,3097,,,
30000050,蓝色碎片,,3090,,,
30000051,紫色碎片,,3090,,,
3040011,钢铁,,,10807,,
2035014,小恶魔兑换券（限时）,,,19000,,
1010005,恶魔派对时装,,,,日本,
1010006,恶魔派对时装,,,,日本,
1010019,超萌学园,,199,,日本,
1010020,超萌学园,,199,,日本,
1070111,瓦尔基里头盔,,,,日本,
1080037,天使波利眼罩,,,,日本,
1100004,小恶魔之翼,,,,日本,
1100002,小天使翅膀,,,,日本,
1020024,鲨鱼恶霸,,,,日本,
60649998,预注册奖励礼盒,,,,日本,
2034008,50级装备图纸碎片,19921|11880,,,日本抽奖积分商店屏蔽,
2034010,70级装备图纸碎片,19921,,,日本抽奖积分商店屏蔽,
2091114,金色粉末礼包,19921,,,日本抽奖积分商店屏蔽,
2091115,彩虹粉末礼包,19921,,,日本抽奖积分商店屏蔽,
1029001,封印魔法棒,19921,,,日本抽奖积分商店屏蔽,
1029002,通灵召唤书,19921,,,日本抽奖积分商店屏蔽,
1029003,神奇的铃铛,19921,,,日本抽奖积分商店屏蔽,
1029014,奇妙的部件,19921,,,日本抽奖积分商店屏蔽,
1029016,魔导机械装置,19921,,,日本抽奖积分商店屏蔽,
3020022,珍贵的卡片碎片,19921|11882,,18001,日本抽奖积分商店屏蔽,
60650036,头饰图纸自选包扭蛋,19921,,,日本抽奖积分商店屏蔽,
3020008,魔力之石,19921,,,日本抽奖积分商店屏蔽,
3020009,混沌金属,19921,,,日本抽奖积分商店屏蔽,
3024003,超级饼干,19921,,,日本抽奖积分商店屏蔽,
2031016,复活之证,19921|11880,,,日本抽奖积分商店屏蔽,
3021001,莫拉硬币,19921,,18001,日本抽奖积分商店屏蔽,
2032004,神秘商店刷新券,19921|11880,,18001,日本抽奖积分商店屏蔽,
1070236,青蛙雨伞,,,18001,限时运营活动,
2010018,上线纪念牛排,,,18001,限时运营活动,
2010019,上线纪念布丁,,,18001,限时运营活动,
1070255,酷黑羽毛贝雷帽,,,18001,限时运营活动,
1070065,小丑帽,,,18001,限时运营活动,
1080022,猫爪眼罩,,,18001,限时运营活动,
1100001,波利背包,,11220,,,
2080117,1周年快乐时装,11882,,18001,集字兑换屏蔽,
1200092,1周年气球束图纸,11882,,18001,集字兑换屏蔽,
1200093,1周年皇冠图纸,11882,,18001,集字兑换屏蔽,
1200094,1周年甜心眼镜图纸,11882,,18001,集字兑换屏蔽,
1200095,1周年小蛋糕图纸,11882,,18001,集字兑换屏蔽,
1030018,1周年少年头像,11882,,18001,集字兑换屏蔽,
1030019,1周年少女头像,11882,,18001,集字兑换屏蔽,
1059078,感谢你喜欢RO,11882,,18001,集字兑换屏蔽,
3021010,高级锢魔石,11882,,18001,集字兑换屏蔽,
3021012,稀有锢魔石,11882,,18001,集字兑换屏蔽,
2091302,精炼附魔养成礼盒,11882,,18001,集字兑换屏蔽,
60660030,超级齿轮扭蛋,11882,,18001,集字兑换屏蔽,
90050,资质洗炼丹,11882,,18001,集字兑换屏蔽,
90210,宠物技能残卷,11882,,18001,集字兑换屏蔽,
90700,宠物随机装备箱,11882,,18001,集字兑换屏蔽,
91100,神秘宠物装备箱,11882,,18001,集字兑换屏蔽,
1400054,1,11882,,18001,集字兑换屏蔽,
1400055,주,11882,,18001,集字兑换屏蔽,
1400056,년,11882,,18001,集字兑换屏蔽,
1400057,축,11882,,18001,集字兑换屏蔽,
1400058,제,11882,,18001,集字兑换屏蔽,
2090020,铜币宝箱,11882,,18001,集字兑换屏蔽,
2080112,周年庆字牌自选包,,,18001,,
2080113,周年庆字牌随机包,,,18001,,
2080114,绿色庆典礼盒,,,18001,,
2080115,黄色庆典礼盒,,,18001,,
2080116,蓝色庆典礼盒,,,18001,,
1500001,勇者徽章,,,12108|12109,,
1080092,3D眼镜,,,18001,,
40000010,魔力晶石,,,18001,,
2035002,小恶魔兑换券,,,18001|109,,
90120,疯兔奶糖,,,18001,,
90070,荷露珠,,,18001,,
90430,宠物鳗鱼饭,,,18001,,
1090082,美味的泡菜蔬菜饼,,,18001,,
1090083,美味的胡萝卜蔬菜饼,,,18001,,
1090084,美味的海鲜蔬菜饼,,,18001,,
1090085,美味的南瓜蔬菜饼,,,18001,,
1090086,美味的鸡蛋蔬菜饼,,,18001,,
1090087,美味的神秘蔬菜饼,,,18001,,
1070295,蓝蓝兔耳发圈,,,18001,,
1070279,汽水头饰,,,18001,限时运营活动,
1100025,西瓜汁水枪,,,,日本,
1070256,西瓜帽,,,,日本,
1080087,伤口贴,,,,日本,
1010070,缤纷西瓜,,,,日本,
1010071,缤纷西瓜,,,,日本,
1090065,小冰棍,,,,日本,
401,公会贡献,,5130,,,
120270,宠物蛋-火精灵,20014,,,,
2091306,飞行员时装套装礼盒,,,,,
2091301,珍贵道具自选礼盒,,,,,
3022015,40级秘银砧,,,,,
2060100,染色剂,,11801,,日本,
2091901,雪花节小礼盒,,,18001,韩服,限时运营活动
2091902,雪原参与礼盒,,,4012,韩服,雪仗原激战
2091903,雪原普通礼盒,,,4012,韩服,雪仗原激战
2091904,雪原卓越礼盒,,,4012,韩服,雪仗原激战
2091905,雪原冠军礼盒,,,4012,韩服,雪仗原激战
1041047,森林麋鹿头像框,,,4013,韩服,雪仗原激战排行榜
1040032,森林麋鹿气泡框（15天）,,,4013,韩服,雪仗原激战排行榜
1059103,称号-大型雪球,,,4013,韩服,雪仗原激战排行榜
1059104,称号-超级大雪球,,,4013,韩服,雪仗原激战排行榜
1059105,称号-超级无敌大雪球,,,4013,韩服,雪仗原激战排行榜
1080115,遗落雪花,,,30003,韩服,来堆雪波利吧
1059106,称号-圣诞快乐,,,30003,韩服,来堆雪波利吧
1030041,森林麋鹿物语（男）,,,30003,韩服,来堆雪波利吧
1030042,森林麋鹿物语（女）,,,30003,韩服,来堆雪波利吧
1070322,圣诞雪人帽,,,30003,韩服,来堆雪波利吧
90100,波利果,,,18001,韩服,BINGO游戏
3021011,普通锢魔石,,,18001,韩服,BINGO游戏
90110,大嘴鸟公仔,,,18001,韩服,BINGO游戏
2052001,时空来客的垂青,,,18001,韩服,BINGO游戏
2300010,卡普拉的零钱袋,,,109,活动活跃奖励,
2300030,卡普拉的精炼袋子,,,109,活动活跃奖励,
2300050,卡普拉的藏宝箱,,,109,活动活跃奖励,
2033001,枯树枝,,,109,活动活跃奖励,
