ID,Comment,Name,Type,Desc,BuffID,FunctionID,FunctionParameter,IconAtlas,IconName,Floor
29320,高速塔,高速塔,,吟唱时间大幅度减少，攻速提升，刀刀暴击，持续20秒,3651901,,,,,
29321,陷阱塔,陷阱塔,,,,1,,,,
29322,威能塔,威能塔,,物理攻击，魔法攻击提升200%，持续15秒,3652001,,,,,
29323,无敌塔,无敌塔,,无敌，持续10秒,3652101,,,,,
29324,回避塔,回避塔,,每3秒回复10%的血量和蓝量，并增加闪避率，持续30秒,3652201,,,,,
29325,净化塔,净化塔,,可解除中毒，沉默，黑暗，冰冻，诅咒，混乱效果,3652301,,,,,
29326,奥术塔,奥术塔,,减少公共技能冷却时间以及60%的魔法消耗，持续30秒,3652401,,,,,
29328,高速塔,高速塔,,吟唱时间大幅度减少，攻速提升，刀刀暴击，持续20秒,3651901,,,,,
29329,陷阱塔,陷阱塔,,,,1,,,,
29330,威能塔,威能塔,,物理攻击，魔法攻击提升200%，持续15秒,3652001,,,,,
29331,无敌塔,无敌塔,,无敌，持续10秒,3652101,,,,,
29332,回避塔,回避塔,,每3秒回复10%的血量和蓝量，并增加闪避率，持续30秒,3652201,,,,,
29333,净化塔,净化塔,,可解除中毒，沉默，黑暗，冰冻，诅咒，混乱效果,3652301,,,,,
29334,奥术塔,奥术塔,,减少公共技能冷却时间以及60%的魔法消耗，持续30秒,3652401,,,,,
29336,高速塔,高速塔,,吟唱时间大幅度减少，攻速提升，刀刀暴击，持续20秒,3651901,,,,,
29337,陷阱塔,陷阱塔,,,,1,,,,
29338,威能塔,威能塔,,物理攻击，魔法攻击提升200%，持续15秒,3652001,,,,,
29339,无敌塔,无敌塔,,无敌，持续10秒,3652101,,,,,
29340,回避塔,回避塔,,每3秒回复10%的血量和蓝量，并增加闪避率，持续30秒,3652201,,,,,
29341,净化塔,净化塔,,可解除中毒，沉默，黑暗，冰冻，诅咒，混乱效果,3652301,,,,,
29342,奥术塔,奥术塔,,减少公共技能冷却时间以及60%的魔法消耗，持续30秒,3652401,,,,,
29344,高速塔,高速塔,,吟唱时间大幅度减少，攻速提升，刀刀暴击，持续20秒,3651901,,,,,
29345,陷阱塔,陷阱塔,,,,1,,,,
29346,威能塔,威能塔,,物理攻击，魔法攻击提升200%，持续15秒,3652001,,,,,
29347,无敌塔,无敌塔,,无敌，持续10秒,3652101,,,,,
29348,回避塔,回避塔,,每3秒回复10%的血量和蓝量，并增加闪避率，持续30秒,3652201,,,,,
29349,净化塔,净化塔,,可解除中毒，沉默，黑暗，冰冻，诅咒，混乱效果,3652301,,,,,
29350,奥术塔,奥术塔,,减少公共技能冷却时间以及60%的魔法消耗，持续30秒,3652401,,,,,
29352,高速塔,高速塔,,吟唱时间大幅度减少，攻速提升，刀刀暴击，持续20秒,3651901,,,,,
29353,陷阱塔,陷阱塔,,,,1,,,,
29354,威能塔,威能塔,,物理攻击，魔法攻击提升200%，持续15秒,3652001,,,,,
29355,无敌塔,无敌塔,,无敌，持续10秒,3652101,,,,,
29356,回避塔,回避塔,,每3秒回复10%的血量和蓝量，并增加闪避率，持续30秒,3652201,,,,,
29357,净化塔,净化塔,,可解除中毒，沉默，黑暗，冰冻，诅咒，混乱效果,3652301,,,,,
29358,奥术塔,奥术塔,,减少公共技能冷却时间以及60%的魔法消耗，持续30秒,3652401,,,,,
29360,高速塔,高速塔,,吟唱时间大幅度减少，攻速提升，刀刀暴击，持续20秒,3651901,,,,,
29361,陷阱塔,陷阱塔,,,,1,,,,
29362,威能塔,威能塔,,物理攻击，魔法攻击提升200%，持续15秒,3652001,,,,,
29363,无敌塔,无敌塔,,无敌，持续10秒,3652101,,,,,
29364,回避塔,回避塔,,每3秒回复10%的血量和蓝量，并增加闪避率，持续30秒,3652201,,,,,
29365,净化塔,净化塔,,可解除中毒，沉默，黑暗，冰冻，诅咒，混乱效果,3652301,,,,,
29366,奥术塔,奥术塔,,减少公共技能冷却时间以及60%的魔法消耗，持续30秒,3652401,,,,,
29368,高速塔,高速塔,,吟唱时间大幅度减少，攻速提升，刀刀暴击，持续20秒,3651901,,,,,
29369,陷阱塔,陷阱塔,,,,1,,,,
29370,威能塔,威能塔,,物理攻击，魔法攻击提升200%，持续15秒,3652001,,,,,
29371,无敌塔,无敌塔,,无敌，持续10秒,3652101,,,,,
29372,回避塔,回避塔,,每3秒回复10%的血量和蓝量，并增加闪避率，持续30秒,3652201,,,,,
29373,净化塔,净化塔,,可解除中毒，沉默，黑暗，冰冻，诅咒，混乱效果,3652301,,,,,
29374,奥术塔,奥术塔,,减少公共技能冷却时间以及60%的魔法消耗，持续30秒,3652401,,,,,
