SkillEffectId,UUID
编号,唯一Id，程序用
500307,Player_Assassin|Player_Assassin_ShiZiZhan|0|0|0
500308,Player_Assassin|Player_Assassin_ShiZiZhan|0|0|0
500309,Player_Assassin|Player_Assassin_ShiZiZhan|0|0|0
500310,Player_Assassin|Player_Assassin_ShiZiZhan|0|0|0
500401,Player_Wizard|Player_Wizard_HuoZhuGongJi_effect_Belluz_01|0|0|0
500402,Player_Wizard|Player_Wizard_HuoZhuGongJi_effect_Belluz_02|0|0|0
500403,Player_Wizard|Player_Wizard_HuoZhuGongJi_effect_Belluz_03|0|0|0
500404,Player_Wizard|Player_Wizard_HuoZhuGongJi_effect_Belluz_04|0|0|0
500405,Player_Wizard|Player_Wizard_HuoZhuGongJi_effect_Belluz_05|0|0|0
500406,Player_Wizard|Player_Wizard_HuoZhuGongJi_effect_Belluz_06|0|0|0
500407,Player_Wizard|Player_Wizard_HuoZhuGongJi_effect_Belluz_07|0|0|0
500408,Player_Wizard|Player_Wizard_HuoZhuGongJi_effect_Belluz_08|0|0|0
500409,Player_Wizard|Player_Wizard_HuoZhuGongJi_effect_Belluz_09|0|0|0
500410,Player_Wizard|Player_Wizard_HuoZhuGongJi_effect_Belluz_10|0|0|0
500501,Player_Wizard|Player_Wizard_YunShiShu_Belluz3023_01|0|0|0
500502,Player_Wizard|Player_Wizard_YunShiShu_Belluz3023_02|0|0|0
500503,Player_Wizard|Player_Wizard_YunShiShu_Belluz3023_03|0|0|0
500504,Player_Wizard|Player_Wizard_YunShiShu_Belluz3023_04|0|0|0
500505,Player_Wizard|Player_Wizard_YunShiShu_Belluz3023_05|0|0|0
500506,Player_Wizard|Player_Wizard_YunShiShu_Belluz3023_06|0|0|0
500507,Player_Wizard|Player_Wizard_YunShiShu_Belluz3023_07|0|0|0
500508,Player_Wizard|Player_Wizard_YunShiShu_Belluz3023_08|0|0|0
500509,Player_Wizard|Player_Wizard_YunShiShu_Belluz3023_09|0|0|0
500510,Player_Wizard|Player_Wizard_YunShiShu_Belluz3023_10|0|0|0
500601,Player_AnyOne|Player_AnyOne_YiHuaJieMu|0|0|0
500602,Player_AnyOne|Player_AnyOne_YiHuaJieMu|0|0|0
500603,Player_AnyOne|Player_AnyOne_YiHuaJieMu|0|0|0
500604,Player_AnyOne|Player_AnyOne_YiHuaJieMu|0|0|0
500605,Player_AnyOne|Player_AnyOne_YiHuaJieMu|0|0|0
500606,Player_AnyOne|Player_AnyOne_YiHuaJieMu|0|0|0
500607,Player_AnyOne|Player_AnyOne_YiHuaJieMu|0|0|0
500608,Player_AnyOne|Player_AnyOne_YiHuaJieMu|0|0|0
500609,Player_AnyOne|Player_AnyOne_YiHuaJieMu|0|0|0
500610,Player_AnyOne|Player_AnyOne_YiHuaJieMu|0|0|0
500701,Equip_PSTPZR|Equip_PSTPZR_Effect|0|0|0
500702,Equip_PSTPZR|Equip_PSTPZR_Effect|0|0|0
500703,Equip_PSTPZR|Equip_PSTPZR_Effect|0|0|0
500704,Equip_PSTPZR|Equip_PSTPZR_Effect|0|0|0
500705,Equip_PSTPZR|Equip_PSTPZR_Effect|0|0|0
500706,Equip_PSTPZR|Equip_PSTPZR_Effect|0|0|0
500707,Equip_PSTPZR|Equip_PSTPZR_Effect|0|0|0
500708,Equip_PSTPZR|Equip_PSTPZR_Effect|0|0|0
500709,Equip_PSTPZR|Equip_PSTPZR_Effect|0|0|0
500710,Equip_PSTPZR|Equip_PSTPZR_Effect|0|0|0
500901,Player_Crusader|Player_Crusader_HuiXuanDunJi_Belluz2507|0|0|0
500902,Player_Crusader|Player_Crusader_HuiXuanDunJi_Belluz2507|0|0|0
500903,Player_Crusader|Player_Crusader_HuiXuanDunJi_Belluz2507|0|0|0
500904,Player_Crusader|Player_Crusader_HuiXuanDunJi_Belluz2507|0|0|0
500905,Player_Crusader|Player_Crusader_HuiXuanDunJi_Belluz2507|0|0|0
500801,Player_AnyOne|Player_AnyOne_PaoTaiAOE|0|0|0
501001,Player_AnyOne|Player_AnyOne_GuangZhiYaoBan|0|0|0
501002,Player_AnyOne|Player_AnyOne_GuangZhiYaoBan|0|0|0
501003,Player_AnyOne|Player_AnyOne_GuangZhiYaoBan|0|0|0
501004,Player_AnyOne|Player_AnyOne_GuangZhiYaoBan|0|0|0
501005,Player_AnyOne|Player_AnyOne_GuangZhiYaoBan|0|0|0
501006,Player_AnyOne|Player_AnyOne_GuangZhiYaoBan|0|0|0
501007,Player_AnyOne|Player_AnyOne_GuangZhiYaoBan|0|0|0
501008,Player_AnyOne|Player_AnyOne_GuangZhiYaoBan|0|0|0
501009,Player_AnyOne|Player_AnyOne_GuangZhiYaoBan|0|0|0
501010,Player_AnyOne|Player_AnyOne_GuangZhiYaoBan|0|0|0
501101,Player_AnyOne|Player_AnyOne_XingHongZhanJi|0|0|0
501201,Player_AnyOne|Player_AnyOne_DaDiGongMing|0|0|0
501301,Player_AnyOne|Player_AnyOne_Belluz2022|0|0|0
501401,Player_Champion|Player_Champion_TanZhiShenTong_Belluz_01|0|0|0
501402,Player_Champion|Player_Champion_TanZhiShenTong_Belluz_01|0|0|0
501403,Player_Champion|Player_Champion_TanZhiShenTong_Belluz_02|0|0|0
501404,Player_Champion|Player_Champion_TanZhiShenTong_Belluz_02|0|0|0
501405,Player_Champion|Player_Champion_TanZhiShenTong_Belluz_03|0|0|0
501406,Player_Champion|Player_Champion_TanZhiShenTong_Belluz_03|0|0|0
501407,Player_Champion|Player_Champion_TanZhiShenTong_Belluz_04|0|0|0
501408,Player_Champion|Player_Champion_TanZhiShenTong_Belluz_04|0|0|0
501409,Player_Champion|Player_Champion_TanZhiShenTong_Belluz_05|0|0|0
501410,Player_Champion|Player_Champion_TanZhiShenTong_Belluz_05|0|0|0
501501,Player_Alchemist|Player_Alchemist_HuoYanPing_01|0|0|0
501502,Player_Alchemist|Player_Alchemist_HuoYanPing_02|0|0|0
501503,Player_Alchemist|Player_Alchemist_HuoYanPing_03|0|0|0
501504,Player_Alchemist|Player_Alchemist_HuoYanPing_04|0|0|0
501505,Player_Alchemist|Player_Alchemist_HuoYanPing_05|0|0|0
600101,Belluz|Belluz_Archer_JianYu01|0|0|0
600102,Belluz|Belluz_Archer_JianYu01|0|0|0
600103,Belluz|Belluz_Archer_JianYu01|0|0|0
600104,Belluz|Belluz_Archer_JianYu01|0|0|0
600105,Belluz|Belluz_Archer_JianYu01|0|0|0
600106,Belluz|Belluz_Archer_JianYu06|0|0|0
600107,Belluz|Belluz_Archer_JianYu01|0|0|0
600108,Belluz|Belluz_Archer_JianYu01|0|0|0
600109,Belluz|Belluz_Archer_JianYu01|0|0|0
600110,Belluz|Belluz_Archer_JianYu01|0|0|0
600201,Player_AnyOne|Player_AnyOne_LiuHeQuanAOE|0|0|0
600301,Player_AnyOne|Player_AnyOne_TanZhiShenTongTrigger|0|0|0
601801,Belluz|Belluz_Archer_BuShuLeiQu|0|0|0
601802,Belluz|Belluz_Archer_BuShuLeiQu|0|0|0
601803,Belluz|Belluz_Archer_BuShuLeiQu|0|0|0
601901,Player_AnyOne|Player_AnyOne_SiShenDiYu|0|0|0
700101,Dungeons_GVG|Player_AnyOne_GVGZhaDan|0|0|0
700201,Dungeons_GVG|Player_AnyOne_GVGXiuFu|0|0|0
700301,Player_AnyOne|Player_AnyOne_FengZhiBu|0|0|0
1000101,Player_AnyOne|Player_AnyOne_DaBaKa|0|0|0
1000201,Player_AnyOne|Player_AnyOne_JieDu|0|0|0
1000301,Player_AnyOne|Player_AnyOne_HuoShou|0|0|0
1000403,Player_AnyOne|Player_AnyOne_ShiDu|0|0|0
1000501,Player_AnyOne|Player_AnyOne_QuanYuShu|0|0|0
1000601,Player_AnyOne|Player_AnyOne_ZhiYuShu|0|0|0
1000701,Player_AnyOne|Player_AnyOne_ShunJianYiDong|0|0|0
1000803,Player_AnyOne|Player_AnyOne_NuBao|0|0|0
1000901,Player_AnyOne|Player_AnyOne_YinNi|0|0|0
1001001,Player_AnyOne|Player_AnyOne_GongJi|0|0|0
1001101,Player_AnyOne|Player_AnyOne_TianShiZhiCiFu|0|0|0
1001201,Player_AnyOne|Player_AnyOne_FengZhiBu|0|0|0
1001301,Player_AnyOne|Player_AnyOne_SuDuJiFa|0|0|0
1001401,Player_AnyOne|Player_AnyOne_ShengMuZhiQiFu|0|0|0
1001501,Player_AnyOne|Player_AnyOne_HuangJinZhiChui|0|0|0
1001601,Player_Knight|Player_Knight_ChongFengGongJi_ZuHeJi|0|0|0
1001701,Player_Knight|Player_Knight_XianFengZhuiJi|0|0|0
1001702,Player_Knight|Player_Knight_XianFengZhuiJi|0|0|0
1001703,Player_Knight|Player_Knight_XianFengZhuiJi|0|0|0
1001704,Player_Knight|Player_Knight_XianFengZhuiJi|0|0|0
1001705,Player_Knight|Player_Knight_XianFengZhuiJi|0|0|0
1001706,Player_Knight|Player_Knight_XianFengZhuiJi|0|0|0
1001707,Player_Knight|Player_Knight_XianFengZhuiJi|0|0|0
1001708,Player_Knight|Player_Knight_XianFengZhuiJi|0|0|0
1001709,Player_Knight|Player_Knight_XianFengZhuiJi|0|0|0
1001710,Player_Knight|Player_Knight_XianFengZhuiJi|0|0|0
1001801,Equip_PLXJZF|Equip_PLXJZF_Effect|0|0|0
1001901,Equip_QXCQ|Equip_QXCQ_LuoXuanJiCi_QiXuanBaoZha|0|0|0
1002001,Equip_ShuiJingQuanTao|Equip_ShuiJingQuanTao_SuiLie|0|0|0
1002101,Player_AnyOne|Player_AnyOne_GuangLie|0|0|0
1002201,Player_AnyOne|Player_AnyOne_ChongFengJian|0|0|0
1002301,Player_AnyOne|Player_AnyOne_BaDaoZhan|0|0|0
1002401,Equip_Lv100|Equip_Lv100_QiShi_TuCiGongJi|0|0|0
1002501,Equip_Lv100|Equip_Lv100_Monk_JianCiHeTunTuXi|0|0|0
1002601,Equip_Lv100|Equip_Lv100_WeiYuTunShiGongJi|0|0|0
1002701,Equip_Lv100|Equip_Lv100_Thief_ZhuJiaYuQunChongJi|0|0|0
1002801,Equip_Lv100|Equip_Lv100_HaiLongQiPaoGongJi|0|0|0
1002901,Equip_Lv100|Equip_Lv100_ManYuDianJiGongJi|0|0|0
1003001,Equip_Lv100|Equip_Lv100_BlackSmith_ZhangYuMoZhiGongJi|0|0|0
1003101,Player_AnyOne|Player_AnyOne_NiZaoDi|0|0|0
1003201,Player_AnyOne|Player_AnyOne_HuoZhiLieSha|0|0|0
1003301,Player_AnyOne|Player_AnyOne_WanJuHongZha|0|0|0
1003401,Player_AnyOne|Player_AnyOne_DaBaKa|0|0|0
1003501,Player_AnyOne|Player_AnyOne_BeiCi|0|0|0
1003502,Player_AnyOne|Player_AnyOne_BeiCi|0|0|0
1003503,Player_AnyOne|Player_AnyOne_BeiCi|0|0|0
1003504,Player_AnyOne|Player_AnyOne_BeiCi|0|0|0
1003505,Player_AnyOne|Player_AnyOne_BeiCi|0|0|0
1003601,Player_AnyOne|Player_AnyOne_HuoQiuShu|0|0|0
1003602,Player_AnyOne|Player_AnyOne_HuoQiuShu|0|0|0
1003603,Player_AnyOne|Player_AnyOne_HuoQiuShu|0|0|0
1003604,Player_AnyOne|Player_AnyOne_HuoQiuShu|0|0|0
1003605,Player_AnyOne|Player_AnyOne_HuoQiuShu|0|0|0
1003606,Player_AnyOne|Player_AnyOne_HuoQiuShu|0|0|0
1003607,Player_AnyOne|Player_AnyOne_HuoQiuShu|0|0|0
1003608,Player_AnyOne|Player_AnyOne_HuoQiuShu|0|0|0
1003609,Player_AnyOne|Player_AnyOne_HuoQiuShu|0|0|0
1003610,Player_AnyOne|Player_AnyOne_HuoQiuShu|0|0|0
1003701,Player_AnyOne|Player_AnyOne_ZhongJiHuoQiuShu|0|0|0
1003702,Player_AnyOne|Player_AnyOne_ZhongJiHuoQiuShu|0|0|0
1003703,Player_AnyOne|Player_AnyOne_ZhongJiHuoQiuShu|0|0|0
1003704,Player_AnyOne|Player_AnyOne_ZhongJiHuoQiuShu|0|0|0
1003705,Player_AnyOne|Player_AnyOne_ZhongJiHuoQiuShu|0|0|0
1003706,Player_AnyOne|Player_AnyOne_ZhongJiHuoQiuShu|0|0|0
1003707,Player_AnyOne|Player_AnyOne_ZhongJiHuoQiuShu|0|0|0
1003708,Player_AnyOne|Player_AnyOne_ZhongJiHuoQiuShu|0|0|0
1003709,Player_AnyOne|Player_AnyOne_ZhongJiHuoQiuShu|0|0|0
1003710,Player_AnyOne|Player_AnyOne_ZhongJiHuoQiuShu|0|0|0
1004001,Equip_Lv100|Equip_Lv100_BardandDance_HuoYanXinXing|0|0|0
1004101,Equip_Lv100|Equip_Lv100_BardandDance_GanDianGongJi|0|0|0
1004201,Equip_Lv100|Equip_Lv100_BardandDance_HuoYanXinXing_max|0|0|0
1004301,Equip_Lv100|Equip_Lv100_AnYingGongJi|0|0|0
10000101,Player_Novice|Player_Novice_GongJi_1|0|0|0
10000201,Player_Novice|Player_Novice_JinJiZhiLiao|0|0|0
10000301,Player_Novice|Player_Novice_ZhuangSi|0|0|0
10000501,Player_Novice|Player_Novice_ZhongJi|0|0|0
10000601,Player_Novice|Player_Novice_ZhuangSiQiShen|0|0|0
10000701,Player_Novice|Player_Novice_ZhuangSi_Jia|0|0|0
10000801,Player_Novice|Player_Novice_ZhuangSiQiShen|0|0|0
20000101,Player_Swordman|Player_Swordman_GongJi_1|0|0|0
20000201,Player_Swordman|Player_Swordman_JinJiZhiLiao|0|0|0
20000301,Player_Swordman|Player_Swordman_ZhuangSi|0|0|0
20002201,Player_Swordman|Player_Swordman_ZhongJi|0|0|0
20000401,Player_Swordman|Player_Swordman_KuangJi|0|0|0
20000402,Player_Swordman|Player_Swordman_KuangJi|0|0|0
20000403,Player_Swordman|Player_Swordman_KuangJi|0|0|0
20000404,Player_Swordman|Player_Swordman_KuangJi|0|0|0
20000405,Player_Swordman|Player_Swordman_KuangJi|0|0|0
20000406,Player_Swordman|Player_Swordman_KuangJi|0|0|0
20000407,Player_Swordman|Player_Swordman_KuangJi|0|0|0
20000408,Player_Swordman|Player_Swordman_KuangJi|0|0|0
20000409,Player_Swordman|Player_Swordman_KuangJi|0|0|0
20000410,Player_Swordman|Player_Swordman_KuangJi|0|0|0
20000501,Player_Swordman|Player_Swordman_NuBao|0|0|0
20000502,Player_Swordman|Player_Swordman_NuBao|0|0|0
20000503,Player_Swordman|Player_Swordman_NuBao|0|0|0
20000504,Player_Swordman|Player_Swordman_NuBao|0|0|0
20000505,Player_Swordman|Player_Swordman_NuBao|0|0|0
20000506,Player_Swordman|Player_Swordman_NuBao|0|0|0
20000507,Player_Swordman|Player_Swordman_NuBao|0|0|0
20000508,Player_Swordman|Player_Swordman_NuBao|0|0|0
20000509,Player_Swordman|Player_Swordman_NuBao|0|0|0
20000510,Player_Swordman|Player_Swordman_NuBao|0|0|0
20000601,Player_Swordman|Player_Swordman_TiaoXin|0|0|0
20000602,Player_Swordman|Player_Swordman_TiaoXin|0|0|0
20000603,Player_Swordman|Player_Swordman_TiaoXin|0|0|0
20000604,Player_Swordman|Player_Swordman_TiaoXin|0|0|0
20000605,Player_Swordman|Player_Swordman_TiaoXin|0|0|0
20000606,Player_Swordman|Player_Swordman_TiaoXin|0|0|0
20000607,Player_Swordman|Player_Swordman_TiaoXin|0|0|0
20000608,Player_Swordman|Player_Swordman_TiaoXin|0|0|0
20000609,Player_Swordman|Player_Swordman_TiaoXin|0|0|0
20000610,Player_Swordman|Player_Swordman_TiaoXin|0|0|0
20000701,Player_Swordman|Player_Swordman_BaTi|0|0|0
20000702,Player_Swordman|Player_Swordman_BaTi|0|0|0
20000703,Player_Swordman|Player_Swordman_BaTi|0|0|0
20000704,Player_Swordman|Player_Swordman_BaTi|0|0|0
20000705,Player_Swordman|Player_Swordman_BaTi|0|0|0
20000706,Player_Swordman|Player_Swordman_BaTi|0|0|0
20000707,Player_Swordman|Player_Swordman_BaTi|0|0|0
20000708,Player_Swordman|Player_Swordman_BaTi|0|0|0
20000709,Player_Swordman|Player_Swordman_BaTi|0|0|0
20000710,Player_Swordman|Player_Swordman_BaTi|0|0|0
20000801,Player_Swordman|Player_Swordman_ZhanSha|0|0|0
20001201,Player_Swordman|Player_Swordman_JianGongSuZengJia|0|0|0
20001202,Player_Swordman|Player_Swordman_JianGongSuZengJia|0|0|0
20001203,Player_Swordman|Player_Swordman_JianGongSuZengJia|0|0|0
20001204,Player_Swordman|Player_Swordman_JianGongSuZengJia|0|0|0
20001205,Player_Swordman|Player_Swordman_JianGongSuZengJia|0|0|0
20001206,Player_Swordman|Player_Swordman_JianGongSuZengJia|0|0|0
20001207,Player_Swordman|Player_Swordman_JianGongSuZengJia|0|0|0
20001208,Player_Swordman|Player_Swordman_JianGongSuZengJia|0|0|0
20001209,Player_Swordman|Player_Swordman_JianGongSuZengJia|0|0|0
20001210,Player_Swordman|Player_Swordman_JianGongSuZengJia|0|0|0
20001301,Player_Swordman|Player_Swordman_GuaiWuHuJi|0|0|0
20001302,Player_Swordman|Player_Swordman_GuaiWuHuJi|0|0|0
20001303,Player_Swordman|Player_Swordman_GuaiWuHuJi|0|0|0
20001304,Player_Swordman|Player_Swordman_GuaiWuHuJi|0|0|0
20001305,Player_Swordman|Player_Swordman_GuaiWuHuJi|0|0|0
20001306,Player_Swordman|Player_Swordman_GuaiWuHuJi|0|0|0
20001307,Player_Swordman|Player_Swordman_GuaiWuHuJi|0|0|0
20001308,Player_Swordman|Player_Swordman_GuaiWuHuJi|0|0|0
20001309,Player_Swordman|Player_Swordman_GuaiWuHuJi|0|0|0
20001310,Player_Swordman|Player_Swordman_GuaiWuHuJi|0|0|0
20001401,Player_Swordman|Player_Swordman_ShuangJianGeDang|0|0|0
20001501,Player_Swordman|Player_Swordman_ShuangJianGeDang_effect|0|0|0
20001601,Player_Swordman|Player_Swordman_ChongFeng|0|0|0
20001701,Player_Swordman|Player_Swordman_NuBao|0|0|0
20001801,Player_Swordman|Player_Swordman_BaTi|0|0|0
20001901,Player_Swordman|Player_Swordman_GongJi_1|0|0|0
20002001,Player_Swordman|Player_Swordman_KuangJi|0|0|0
20002101,Player_Swordman|Player_Swordman_GuaiWuHuJi|0|0|0
20002301,Player_Swordman|Player_Swordman_KuangJi|0|0|0
20002401,Player_Swordman|Player_Swordman_NuBao|0|0|0
20002501,Player_Swordman|Player_Swordman_GuaiWuHuJi|0|0|0
20002601,Player_Swordman|Player_Swordman_ZhuangSiQiShen|0|0|0
20002801,Player_Swordman|Player_Swordman_NuBao|0|0|0
20002901,Player_Swordman|Player_Swordman_KuangBaoZhuangTai|0|0|0
20003001,Player_Swordman|Player_Swordman_JieChuKuangBaoZhuangTai|0|0|0
21010101,Player_Knight|Player_Knight_GongJi|0|0|0
21010201,Player_Knight|Player_Knight_ChongFengGongJi|0|0|0
21010401,Player_Knight|Player_Knight_LianCiGongJi|0|0|0
21010402,Player_Knight|Player_Knight_LianCiGongJi|0|0|0
21010403,Player_Knight|Player_Knight_LianCiGongJi|0|0|0
21010404,Player_Knight|Player_Knight_LianCiGongJi|0|0|0
21010405,Player_Knight|Player_Knight_LianCiGongJi|0|0|0
21010406,Player_Knight|Player_Knight_LianCiGongJi|0|0|0
21010407,Player_Knight|Player_Knight_LianCiGongJi|0|0|0
21010408,Player_Knight|Player_Knight_LianCiGongJi|0|0|0
21010409,Player_Knight|Player_Knight_LianCiGongJi|0|0|0
21010410,Player_Knight|Player_Knight_LianCiGongJi|0|0|0
21010501,Player_Knight|Player_Knight_TouZhiChangMaoGongJi|0|0|0
21010502,Player_Knight|Player_Knight_TouZhiChangMaoGongJi|0|0|0
21010503,Player_Knight|Player_Knight_TouZhiChangMaoGongJi|0|0|0
21010504,Player_Knight|Player_Knight_TouZhiChangMaoGongJi|0|0|0
21010505,Player_Knight|Player_Knight_TouZhiChangMaoGongJi|0|0|0
21010801,Player_Knight|Player_Knight_QiChengGongJi_04|0|0|0
21010802,Player_Knight|Player_Knight_QiChengGongJi_04|0|0|0
21010803,Player_Knight|Player_Knight_QiChengGongJi_04|0|0|0
21010804,Player_Knight|Player_Knight_QiChengGongJi_04|0|0|0
21010805,Player_Knight|Player_Knight_QiChengGongJi_04|0|0|0
21010806,Player_Knight|Player_Knight_QiChengGongJi_04|0|0|0
21010807,Player_Knight|Player_Knight_QiChengGongJi_04|0|0|0
21010808,Player_Knight|Player_Knight_QiChengGongJi_04|0|0|0
21010809,Player_Knight|Player_Knight_QiChengGongJi_04|0|0|0
21010810,Player_Knight|Player_Knight_QiChengGongJi_04|0|0|0
21011001,Player_Knight|Player_Knight_FanJi_01|0|0|0
21011002,Player_Knight|Player_Knight_FanJi_02|0|0|0
21011003,Player_Knight|Player_Knight_FanJi_03|0|0|0
21011004,Player_Knight|Player_Knight_FanJi_04|0|0|0
21011005,Player_Knight|Player_Knight_FanJi_05|0|0|0
21011006,Player_Knight|Player_Knight_FanJi_06|0|0|0
21011007,Player_Knight|Player_Knight_FanJi_07|0|0|0
21011008,Player_Knight|Player_Knight_FanJi_08|0|0|0
21011009,Player_Knight|Player_Knight_FanJi_09|0|0|0
21011010,Player_Knight|Player_Knight_FanJi_10|0|0|0
21011101,Player_Knight|Player_Knight_FanJiGongJi|0|0|0
21011201,Player_Knight|Player_Knight_ChangMaoCiJi|0|0|0
21011202,Player_Knight|Player_Knight_ChangMaoCiJi|0|0|0
21011203,Player_Knight|Player_Knight_ChangMaoCiJi|0|0|0
21011204,Player_Knight|Player_Knight_ChangMaoCiJi|0|0|0
21011205,Player_Knight|Player_Knight_ChangMaoCiJi|0|0|0
21011301,Player_Knight|Player_Knight_XianFengZhuiJi|0|0|0
21011302,Player_Knight|Player_Knight_XianFengZhuiJi|0|0|0
21011303,Player_Knight|Player_Knight_XianFengZhuiJi|0|0|0
21011304,Player_Knight|Player_Knight_XianFengZhuiJi|0|0|0
21011305,Player_Knight|Player_Knight_XianFengZhuiJi|0|0|0
21011306,Player_Knight|Player_Knight_XianFengZhuiJi|0|0|0
21011307,Player_Knight|Player_Knight_XianFengZhuiJi|0|0|0
21011308,Player_Knight|Player_Knight_XianFengZhuiJi|0|0|0
21011309,Player_Knight|Player_Knight_XianFengZhuiJi|0|0|0
21011310,Player_Knight|Player_Knight_XianFengZhuiJi|0|0|0
21011401,Player_Knight|Player_Knight_JianDingDaJi|0|0|0
21011402,Player_Knight|Player_Knight_JianDingDaJi|0|0|0
21011403,Player_Knight|Player_Knight_JianDingDaJi|0|0|0
21011404,Player_Knight|Player_Knight_JianDingDaJi|0|0|0
21011405,Player_Knight|Player_Knight_JianDingDaJi|0|0|0
21011406,Player_Knight|Player_Knight_JianDingDaJi|0|0|0
21011407,Player_Knight|Player_Knight_JianDingDaJi|0|0|0
21011408,Player_Knight|Player_Knight_JianDingDaJi|0|0|0
21011409,Player_Knight|Player_Knight_JianDingDaJi|0|0|0
21011410,Player_Knight|Player_Knight_JianDingDaJi|0|0|0
21011501,Player_Knight|Player_Knight_ShiZiFenXun|0|0|0
21011502,Player_Knight|Player_Knight_ShiZiFenXun|0|0|0
21011503,Player_Knight|Player_Knight_ShiZiFenXun|0|0|0
21011504,Player_Knight|Player_Knight_ShiZiFenXun|0|0|0
21011505,Player_Knight|Player_Knight_ShiZiFenXun|0|0|0
21011506,Player_Knight|Player_Knight_ShiZiFenXun|0|0|0
21011507,Player_Knight|Player_Knight_ShiZiFenXun|0|0|0
21011508,Player_Knight|Player_Knight_ShiZiFenXun|0|0|0
21011509,Player_Knight|Player_Knight_ShiZiFenXun|0|0|0
21011510,Player_Knight|Player_Knight_ShiZiFenXun|0|0|0
21011801,Player_Knight|Player_Knight_ChongFengGongJi_GongJi|0|0|0
21011901,Player_Knight|Player_Knight_ChongFengGongJi_ZuHeJi|0|0|0
21020101,Player_LordKnight|Player_LordKnight_GongJi|0|0|0
21020201,Player_LordKnight|Player_LordKnight_LingQiJian|0|0|0
21020202,Player_LordKnight|Player_LordKnight_LingQiJian|0|0|0
21020203,Player_LordKnight|Player_LordKnight_LingQiJian|0|0|0
21020204,Player_LordKnight|Player_LordKnight_LingQiJian|0|0|0
21020205,Player_LordKnight|Player_LordKnight_LingQiJian|0|0|0
21020206,Player_LordKnight|Player_LordKnight_LingQiJian|0|0|0
21020207,Player_LordKnight|Player_LordKnight_LingQiJian|0|0|0
21020208,Player_LordKnight|Player_LordKnight_LingQiJian|0|0|0
21020209,Player_LordKnight|Player_LordKnight_LingQiJian|0|0|0
21020210,Player_LordKnight|Player_LordKnight_LingQiJian|0|0|0
21020301,Player_LordKnight|Player_LordKnight_ShuangJianGeDang|0|0|0
21020302,Player_LordKnight|Player_LordKnight_ShuangJianGeDang|0|0|0
21020303,Player_LordKnight|Player_LordKnight_ShuangJianGeDang|0|0|0
21020304,Player_LordKnight|Player_LordKnight_ShuangJianGeDang|0|0|0
21020305,Player_LordKnight|Player_LordKnight_ShuangJianGeDang|0|0|0
21020306,Player_LordKnight|Player_LordKnight_ShuangJianGeDang|0|0|0
21020307,Player_LordKnight|Player_LordKnight_ShuangJianGeDang|0|0|0
21020308,Player_LordKnight|Player_LordKnight_ShuangJianGeDang|0|0|0
21020309,Player_LordKnight|Player_LordKnight_ShuangJianGeDang|0|0|0
21020310,Player_LordKnight|Player_LordKnight_ShuangJianGeDang|0|0|0
21020401,Player_LordKnight|Player_LordKnight_JiZhongGongJi|0|0|0
21020402,Player_LordKnight|Player_LordKnight_JiZhongGongJi|0|0|0
21020403,Player_LordKnight|Player_LordKnight_JiZhongGongJi|0|0|0
21020404,Player_LordKnight|Player_LordKnight_JiZhongGongJi|0|0|0
