Id,Name,Desc1,Desc,Desc2,DefaultEquipID,PresentID,PresentRatio,UnitSkillID,BornBuff,AI,IsCopyHatredList,AIStartTime,AIHeartInterval,AIHeartIntervalCombat,UnitTypeLevel,MonsterID,HatredBuildType,HatredDeleteType,ScreenLimit,SelfLimit,LimitType,LimitRadius,MobPVECoexistencelimit,MobPVPCoexistencelimit,FightTargetOffsetDegree,MiniMapIcon,BuffCanCall,UnitRace,UnitAttrType,UnitSize,MoveSpeed,ASPD,IsInitiative,HatredAway,HatredAwayStateDuration,Sight,HatredBuildAngle,HatredDetectionInterval,IgnoreDead,IgnoreHide,BodyDisappearTime,UnitLevel,DynamicAttr,AtkDef,STR,INT,AGI,VIT,DEX,LUK,BaseHP,BaseSP,BaseATK,BaseMATK,BaseDEF,BaseMDEF,HIT,FLEE,CRI,CRI_RES,WEAPON_ATK,WEAPON_MATK,DEF,MDEF,DEF_IGNORE,SheildIgnore,MDEF_IGNORE,BaseExp,JobExp,Award,StealAward,DropDoodad,BloodLineNum,MonsterDesc,IsCountData,DeadEffcet,IsDummy,CanChangeColor,HugeMonsterColliders,IsDynamicGroup,DefaultGroup,EntityShowScript,AlwaysShowOnMap,NotShowOnMap,IsShowInHandBook,IsFieldMonster,FeaturesDesc,OutViewMove,HatredAllience,EVO,CanFeelSkill,ElfId,AlwaysShowHud,IsFAQImport,DynamicAtk,DynamicHp,,,,,,
15,耍酷弓手,,南门,耍酷弓手,,60,1,,,,,0.5,0.3,0.3,0,,,,,,,,,,,3,0,1,0,0,5.6,156,0,2=10,1500,6,,1000,0,0,2,40,,,15,15,120,5,164,181,0,0,0,0,0,0,100,100,0,0,0,0,0,0,0,0,,,,,,,1,,0,,,1,,,0,,,,,,,,,,,,,,,,,,,,,
16,卡普拉,,卡普拉给玩家加移速,卡普拉,100001,100001,1,300028=1,17301=10000,Common_NPC_KaPuLa_Buff,,1.5,1.5,1.5,0,,,,,,,,,,,3,0,1,0,0,5.6,156,0,2=10,1500,6,,1000,0,0,2,100,,,10,149,12,11,149,30,0,0,0,0,0,0,100,100,0,0,0,0,0,0,0,0,,,,,,,1,,0,,,1,,,0,,,,,,,,,,,,,,,,,,,,,
101,剑士,,佣兵,剑士,,20,1,,,Player_Auto_AI,,0.5,0.2,0.2,0,,,,,,,,,,,3,0,1,0,0,5.6,156,0,2=10,1500,6,,1000,0,0,2,100,,,149,10,0,0,38,120,0,0,0,0,0,0,100,100,0,0,0,0,0,0,0,0,,,,,,,1,,0,,,1,,,0,,,,,,,,,,,,1|2,,,,,,,,,
102,服事,,佣兵,服事,,30,1,,,Player_Auto_AI,,0.5,0.2,0.2,0,,,,,,,,,,,3,0,1,0,0,5.6,156,0,2=10,1500,6,,1000,0,0,2,100,,,10,149,12,11,149,30,0,0,0,0,0,0,100,100,0,0,0,0,0,0,0,0,,,,,,,1,,0,,,1,,,0,,,,,,,,,,,,1|2,,,,,,,,,
103,法师,,佣兵,法师,,40,1,,,Player_Auto_AI,,0.5,0.2,0.2,0,,,,,,,,,,,3,0,1,0,0,5.6,156,0,2=10,1500,6,,1000,0,0,2,100,,,10,149,12,11,149,30,0,0,0,0,0,0,100,100,0,0,0,0,0,0,0,0,,,,,,,1,,0,,,1,,,0,,,,,,,,,,,,1|2,,,,,,,,,
104,盗贼,,佣兵,盗贼,,50,1,,,Player_Auto_AI,,0.5,0.2,0.2,0,,,,,,,,,,,3,0,1,0,0,5.6,156,0,2=10,1500,6,,1000,0,0,2,100,,,149,10,172,10,38,200,0,0,0,0,0,0,100,100,0,0,0,0,0,0,0,0,,,,,,,1,,0,,,1,,,0,,,,,,,,,,,,1|2,,,,,,,,,
105,弓箭手,,佣兵,弓箭手,,60,1,,,Player_Auto_AI,,0.5,0.2,0.2,0,,,,,,,,,,,3,0,1,0,0,5.6,156,0,2=10,1500,6,,1000,0,0,2,100,,,15,15,120,5,164,181,0,0,0,0,0,0,100,100,0,0,0,0,0,0,0,0,,,,,,,1,,0,,,1,,,0,,,,,,,,,,,,1|2,,,,,,,,,
106,商人,,佣兵,商人,,70,1,,501201=10000,Player_Auto_AI,,0.5,0.2,0.2,0,,,,,,,,,,,3,0,1,0,0,5.6,156,0,2=10,1500,6,,1000,0,0,2,100,,,15,15,120,5,164,181,0,0,0,0,0,0,100,100,0,0,0,0,0,0,0,0,,,,,,,1,,0,,,1,,,0,,,,,,,,,,,,1|2,,,,,,,,,
201,丽芙,生命体,生命体,丽芙一阶,,9101,1,,6262601=10000|420093001=10000|420095001=10000|6015901=10000,Common_Slime_Lif01,,0.5,0.2,0.2,0,,,,,,,,,,,0,1,1,0,0,5,106,0,2=15,1500,6,,1000,0,0,2,0,,,0,0,0,0,0,0,10000,0,0,0,0,0,0,-1,0,0,-4,-1,2,5,0,0,,,,,,,1,,1,,,1,,,2,,,,,,,,,,,,,,,,,,,,,
202,丽芙,生命体,生命体,丽芙二阶,,9102,1,,6262601=10000|420093001=10000|420095001=10000|6015901=10000,Common_Slime_Lif02,,0.5,0.2,0.2,0,,,,,,,,,,,0,1,1,0,0,5,106,0,2=15,1500,6,,1000,0,0,2,0,,,0,0,0,0,0,0,10000,0,0,0,0,0,0,-1,0,0,-4,-1,2,5,0,0,,,,,,,1,,1,,,1,,,2,,,,,,,,,,,,,,,,,,,,,
203,艾咪斯可鲁,生命体,生命体,艾咪斯可鲁一阶,,9103,1,,6262601=10000|420093001=10000|420095001=10000|6015901=10000,Common_Slime_AiMiSiKeLu01,,0.5,0.2,0.2,0,,,,,,,,,,,0,1,0,0,1,5,106,0,2=15,1500,6,,1000,0,0,2,0,,,0,0,0,0,0,0,10000,0,0,0,0,0,0,-1,0,0,-4,-1,2,5,0,0,,,,,,,1,,1,,,1,,,2,,,,,,,,,,,,,,,,,,,,,
204,艾咪斯可鲁,生命体,生命体,艾咪斯可鲁二阶,,9104,1,,6262601=10000|420093001=10000|420095001=10000|6015901=10000,Common_Slime_AiMiSiKeLu02,,0.5,0.2,0.2,0,,,,,,,,,,,0,1,0,0,1,5,106,0,2=15,1500,6,,1000,0,0,2,0,,,0,0,0,0,0,0,10000,0,0,0,0,0,0,-1,0,0,-4,-1,2,5,0,0,,,,,,,1,,1,,,1,,,2,,,,,,,,,,,,,,,,,,,,,
205,飞里乐,生命体,生命体,飞里乐一阶,,9105,1,,6262601=10000|6262701=10000|420093001=10000|420095001=10000|420098001=10000|6015901=10000,Common_Slime_FeiLiLe01,,0.5,0.2,0.2,0,,,,,,,,,,,0,1,0,0,2,5,106,0,2=15,1500,6,,1000,0,0,2,0,,,0,0,0,0,0,0,10000,0,0,0,0,0,0,-1,0,0,-4,-1,2,5,0,0,,,,,,,1,,1,,,1,,,2,,,,,,,,,,,,,,,,,,,,,
206,飞里乐,生命体,生命体,飞里乐二阶,,9106,1,,6262601=10000|6262701=10000|420093001=10000|420095001=10000|420098001=10000|6015901=10000,Common_Slime_FeiLiLe02,,0.5,0.2,0.2,0,,,,,,,,,,,0,1,0,0,2,5,106,0,2=15,1500,6,,1000,0,0,2,0,,,0,0,0,0,0,0,10000,0,0,0,0,0,0,-1,0,0,-4,-1,2,5,0,0,,,,,,,1,,1,,,1,,,2,,,,,,,,,,,,,,,,,,,,,
207,巴尼米乐斯,生命体,生命体,巴尼米乐斯一阶,,9107,1,,6262601=10000|420093001=10000|420095001=10000|420101001=10000|6015901=10000,Common_Slime_BaNiMiLeSi01,,0.5,0.2,0.2,0,,,,,,,,,,,0,1,5,0,0,5,106,0,2=15,1500,6,,1000,0,0,2,0,,,0,0,0,0,0,0,10000,0,0,0,0,0,0,-1,0,0,-4,-1,2,5,0,0,,,,,,,1,,1,,,1,,,2,,,,,,,,,,,,,,,,,,,,,
208,巴尼米乐斯,生命体,生命体,巴尼米乐斯二阶,,9108,1,,6262601=10000|420093001=10000|420095001=10000|420101001=10000|6015901=10000,Common_Slime_BaNiMiLeSi02,,0.5,0.2,0.2,0,,,,,,,,,,,0,1,5,0,0,5,106,0,2=15,1500,6,,1000,0,0,2,0,,,0,0,0,0,0,0,10000,0,0,0,0,0,0,-1,0,0,-4,-1,2,5,0,0,,,,,,,1,,1,,,1,,,2,,,,,,,,,,,,,,,,,,,,,
209,米雅,生命体,生命体,米雅一阶,,9109,1,,6262601=10000|420093001=10000|420095001=10000|6015901=10000,Common_Slime_Mia01,,0.5,0.2,0.2,0,,,,,,,,,,,0,1,1,0,0,5,106,0,2=15,1500,6,,1000,0,0,2,0,,,0,0,0,0,0,0,10000,0,0,0,0,0,0,-1,0,0,-4,-1,2,5,0,0,,,,,,,1,,1,,,1,,,2,,,,,,,,,,,,,,,,,,,,,
210,米雅,生命体,生命体,米雅二阶,,9110,1,,6262601=10000|420093001=10000|420095001=10000|6015901=10000,Common_Slime_Mia02,,0.5,0.2,0.2,0,,,,,,,,,,,0,1,1,0,0,5,106,0,2=15,1500,6,,1000,0,0,2,0,,,0,0,0,0,0,0,10000,0,0,0,0,0,0,-1,0,0,-4,-1,2,5,0,0,,,,,,,1,,1,,,1,,,2,,,,,,,,,,,,,,,,,,,,,
1001,波利,野外普通,南门,波利,,10001,1,1000100101=1,4511201=10000,Common_Monster_BoLi,,1,1.7,0.4,0,,,,,,,,,,,5,0,3,4,0,3.1,106,0,2=15,1500,4,,1000,0,0,2,3,,,1,0,1,1,1,5,21,0,0,0,0,0,74,-1,0,0,-4,-1,2,5,0,0,,39,32,5100090|4710010,,,1,,1,,,1,,,2,,,,1,1,,,,,,,,1,,,,,,,,
1002,绿棉虫,野外普通,南门,绿棉虫,,10002,1,1000100201=1=0=10000,,Common_Monster_Wild_Evolution,,1,1.7,0.4,0,,,,,,,,,,,5,0,8,2,2,2.6,116,0,2=15,1500,4,,1000,0,1,2,8,,,3,2,5,5,12,5,42,0,0,0,0,0,75,-3,0,0,-11,-5,24,0,0,0,,56,45,5100130|4710020,,,1,,1,130001,,1,,,2,,,,1,1,,,,1004=100,,,,1,,,,,,,,
1003,疯兔,野外普通,南门,疯兔,,10003,1,1000100301=1=0=10000,,Common_Monster_FengTu,,1,1.7,0.4,0,,,,,,,,,,,5,0,0,0,2,3.93,127,0,2=15,1500,4,,1000,0,0,2,5,,,2,0,3,3,8,5,29,0,0,0,0,0,74,-2,0,0,-8,-2,18,0,0,0,,44,36,5100100|4710030,,,1,,1,,,1,,,2,,,,1,1,,,,,,,,1,,,,,,,,
1004,虫蛹,野外普通,南门,虫蛹,,10004,1,,,Common_Monster_Wild_Evolution,,1,1.7,0.4,0,,,,,,,,,,,5,0,8,2,2,0,149,0,2=15,1500,4,,1000,0,1,2,5,,,1,0,1,1,1,2,46,0,0,0,0,0,77,-3,0,0,-2,0,32,20,0,0,,44,36,5100110|4710040,,,1,,1,130002,,1,,,2,,,,1,1,<a href=MarkTips@@ATTR_TIPS_FIXED_FEATURES><color=$$Blue$$>固定不动</color></a>,,,1011=100,,,,1,,,,,,,,
1005,盗虫,野外普通,西门,盗虫,,10005,1,1000100501=1=0=10000,,Common_Monster_Wild|Common_Monster_RandMove3,,1,1.7,0.4,0,,,,,,,,,,,5,0,8,7,2,5.05,135,0,2=15,1500,4,,1000,0,1,2,23,,,19,0,7,10,12,5,1491,0,0,0,0,0,72,-11,0,0,-21,13,24,3,0,0,,175,140,5100270|4710050,,,1,,1,130003,,1,,,2,,,,1,1,<a href=MarkTips@@ATTR_TIPS_FIXED_FEATURES><color=$$Blue$$>固定不动</color></a>,,,,,,,1,,,,,,,,
1006,蝗虫,野外普通,西门,蝗虫,,10006,1,1000100602=1=1=2000|1000100601=1=0=10000,,Common_Monster_Wild|Common_Monster_RandMove3,,1,1.7,0.4,0,,,,,,,,,,,5,0,8,2,0,3.93,106,0,2=15,1500,4,,1000,0,1,2,15,,,12,4,18,8,17,5,559,0,0,0,0,0,73,-7,0,0,-25,-2,16,3,0,0,,99,80,5100210|4710060,,,1,,1,,,1,,,2,,,,1,1,,,,,,,,1,,,,,,,,
1007,蜂兵,野外普通,西门,蜂兵,,10007,1,1000100701=1=0=10000,,Common_Monster_Wild|Common_Monster_RandMove3,,1,1.7,0.4,0,,,,,,,,,,,5,0,8,1,2,5.05,135,0,2=15,1500,4,,1000,0,1,2,59,,,12,5,24,4,6,5,18392,0,0,0,0,0,134,-4,0,0,347,194,7,1,0,0,,864,692,5100980|4710070,,,1,,1,,,1,,,2,,,,1,1,,,,,,,,1,,,,,,,,
1008,小野猪,野外普通,西门,小野猪,,10008,1,1000100801=1=0=10000,,Common_Monster_Wild|Common_Monster_RandMove3,,1,1.7,0.4,0,,,,,,,,,,,5,0,0,2,2,5.05,118,0,2=15,1500,4,,1000,0,0,2,14,,,4,2,8,9,21,18,377,0,0,0,0,0,83,-4,0,0,-17,-5,22,0,0,0,,92,74,5100200|4710080,,,1,,1,130005,,1,,,2,,,,1,1,,,,,,,,1,,,,,,,,
1009,苍蝇,野外普通,北门,苍蝇,,10009,1,1000100901=1=0=10000,,Common_Monster_Wild|Common_Monster_RandMove3,,1,1.7,0.4,0,,,,,,,,,,,5,0,8,1,2,3.93,146,0,2=15,1500,4,,1000,0,1,2,11,,,3,0,4,4,7,5,199,0,0,0,0,0,70,-5,0,0,-5,2,29,0,0,0,,72,58,5100120|4710090,,,1,,1,,,1,,,2,,,,1,1,,,,,,,,1,,,,,,,,
1010,曼陀罗魔花,野外普通,北门,曼陀罗魔花,,10010,1,1000101001=1=0=10000,902101=10000,Common_Monster_Wild|Common_Monster_RandMove3,,1,1.7,0.4,0,,,,,,,,,,,5,0,3,2,0,0,111,1,1=10,1500,4,,1000,0,0,2,35,,,12,5,3,5,10,5,3235,0,0,0,0,0,88,-17,0,0,16,29,13,2,0,0,,341,273,5100190|4710100,,,1,,1,,,1,,,2,,,,1,1,<a href=MarkTips@@ATTR_TIPS_INDUCTION_FEATURES><color=$$Blue$$>感应被魔法锁定</color></a>,,,,1,,,1,,,,,,,,
1011,克瑞米,野外普通,北门,克瑞米,,10011,1,1000101101=1=0=10000,,Common_Monster_Wild|Common_Monster_RandMove3,,1,1.7,0.4,0,,,,,,,,,,,5,0,8,1,2,3.93,139,0,2=15,1500,4,,1000,0,1,2,23,,,1,2,40,16,16,55,1310,0,0,0,0,0,79,-1,0,0,-9,-7,0,30,0,0,,175,140,5100280|4710110,,,1,,1,,,1,,,2,,,,1,1,,,,,,,,1,,,,,,,,
1013,刺刀哥布灵,野外普通,哥布灵,刺刀哥布灵,,10013,1,1000101301=1=0=10000,,Common_Monster_Wild|Common_Monster_RandMove3,,1,1.7,0.4,0,1,,,,,,,,,,5,0,1,1,0,5.5,144,1,2=15,1500,4,,1000,0,0,2,53,,,37,20,54,25,36,10,12623,0,0,0,0,0,124,0,0,0,217,112,56,5,0,0,,710,568,5100710|4710130,,,1,,1,,,1,,,2,,,,1,1,<a href=MarkTips@@ATTR_TIPS_INDUCTION_FEATURES><color=$$Blue$$>感应被魔法锁定</color></a>,,,,1,,,1,,,,,,,,
1014,刺锤哥布灵,野外普通,哥布灵,刺锤哥布灵,,10014,1,1000101401=1=0=10000,,Common_Monster_Wild|Common_Monster_RandMove3,,1,1.7,0.4,0,1,,,,,,,,,,5,0,1,4,0,3.1,160,1,2=15,1500,4,,1000,0,0,2,58,,,20,20,35,25,36,10,12349,0,0,0,0,0,134,-2,0,0,412,157,11,88,0,0,,837,670,5100890|4710140,,,1,,1,,,1,,,2,,,,1,1,,,,,,,,1,,,,,,,,
1015,大斧哥布灵,野外普通,哥布灵,大斧哥布灵,,10015,1,1000101501=1=0=10000,,Common_Monster_Wild|Common_Monster_RandMove3,,1,1.7,0.4,0,1,,,,,,,,,,5,0,1,2,0,3.27,144,1,2=15,1500,4,,1000,0,0,2,52,,,50,1,2,25,20,3,11306,0,0,0,0,0,120,-1,0,0,187,141,120,0,0,0,,686,549,5100580|4710150,,,1,,1,,,1,,,2,,,,1,1,,,,,,,,1,,,,,,,,
1016,链锤哥布灵,野外普通,哥布灵,链锤哥布灵,,10016,1,1000101601=1=0=10000,,Common_Monster_Wild|Common_Monster_RandMove3,,1,1.7,0.4,0,1,,,,,,,,,,5,0,1,2,0,5.05,144,1,2=15,1500,4,,1000,0,0,2,52,,,36,15,20,16,5,10,12316,0,0,0,0,0,122,1,0,0,223,120,50,5,0,0,,686,549,5100590|4710160,,,1,,1,,,1,,,2,,,,1,1,<a href=MarkTips@@ATTR_TIPS_INDUCTION_FEATURES><color=$$Blue$$>感应被魔法锁定</color></a>,,,,1,,,1,,,,,,,,
1017,榔头哥布灵,野外普通,哥布灵,榔头哥布灵,,10017,1,1000101701=1=0=10000,,Common_Monster_Wild|Common_Monster_RandMove3,,1,1.7,0.4,0,1,,,,,,,,,,5,0,1,3,0,3.93,144,1,2=15,1500,4,,1000,0,0,2,57,,,45,20,5,25,36,10,13950,0,0,0,0,0,132,-2,0,0,244,151,88,36,0,0,,811,649,5100720|4710170,,,1,,1,,,1,,,2,,,,1,1,,,,,,,,1,,,,,,,,
1018,弓箭哥布灵,野外普通,哥布灵,弓箭哥布灵,,10018,1,1000101801=1=0=10000,,Common_Monster_Wild|Common_Monster_RandMove3,,1,1.7,0.4,0,1,,,,,,,,,,5,0,1,5,2,3.93,141,1,2=15,1500,4,,1000,0,0,2,60,,,40,15,34,20,53,20,19289,0,0,0,0,0,141,-1,0,0,309,179,69,0,0,0,,891,713,5100880|4710180,,,1,,1,,,1,,,2,,,,1,1,,,,,,,,1,,,,,,,,
1019,艾吉欧蜈蚣,野外普通,,艾吉欧蜈蚣,,10019,1,1000101901=1=0=10000,,Common_Monster_Wild|Common_Monster_RandMove3,,1,1.7,0.4,0,,,,,,,,,,,5,0,8,5,1,3.1,110,1,2=15,1500,4,,1000,0,1,2,75,,,60,30,23,40,24,30,40080,0,0,0,0,0,175,-7,0,0,519,525,88,32,0,0,,1353,1083,5101240|4710190,,,1,,1,,,1,,,2,,,,1,1,<a href=MarkTips@@ATTR_TIPS_INDUCTION_FEATURES><color=$$Blue$$>感应被魔法锁定</color></a>,,,,1,,,1,,,,,,,,
1020,达拉蛙,野外普通,,达拉蛙,,10020,1,1000102001=1=0=10000,,Common_Monster_Wild|Common_Monster_RandMove3,,1,1.7,0.4,0,,,,,,,,,,,5,0,6,4,0,3.93,99,0,2=15,1500,4,,1000,0,0,2,42,,,25,18,10,10,30,2,6024,0,0,0,0,0,99,4,0,0,90,61,37,17,0,0,,468,375,5100500|4710200,,,1,,1,,,1,,,2,,,,1,1,,,,,,,,1,,,,,,,,
1023,狸猫,野外普通,,狸猫,,10023,1,1000102301=1=0=10000,4511201=10000,Common_Monster_Wild|Common_Monster_RandMove3,,1,1.7,0.4,0,,,,,,,,,,,5,0,0,2,2,3.93,121,0,2=15,1500,4,,1000,0,0,2,38,,,16,5,34,16,27,5,4535,0,0,0,0,0,92,-18,0,0,9,31,26,0,0,0,,393,315,5100470|4710220,,,1,,1,,,1,,,2,,,,1,1,<a href=MarkTips@@ATTR_TIPS_INDUCTION_FEATURES><color=$$Blue$$>感应被魔法锁定</color></a>,,,,1,,,1,,,,,,,,
1024,溜溜猴,野外普通,,溜溜猴,,10024,1,1000102401=1=0=10000,4511201=10000,Common_Monster_Wild|Common_Monster_RandMove3,,1,1.7,0.4,0,,,,,,,,,,,5,0,0,2,2,3.93,147,0,2=15,1500,4,,1000,0,0,2,30,,,20,20,11,34,19,10,1966,0,0,0,0,0,78,-13,0,0,-5,-4,40,0,0,0,,264,212,5100350|4710230,,,1,,1,130010,,1,,,2,,,,1,1,<a href=MarkTips@@ATTR_TIPS_ASSISTOTHERS_FEATURES><color=$$Blue$$>协助同类</color></a>,,1024,,,,,1,,,,,,,,
