MajorId,Name,SystemIcon,Tips
14,委托,ui_Howtoplay_Weituo01.png|ui_Howtoplay_Weituo02.png|ui_Howtoplay_Weituo03.png|ui_Howtoplay_Weituo04.png,委托活动是每天随机刷新的，每天会刷新各种各样的委托，种类丰富，玩家可以根据自身实力和喜好接取任务。|除了猫手商队和恶魔宝藏，接取其他委托时需要消耗委托券，委托券上限随着玩家等级提升而增长。|当每天消耗的委托券达到60时，可以在犒赏界面中领取奖励。|纹章可以互相赠送，集齐任意5种纹章就可以参与周末的主题派对，赢取丰厚大奖。
15,恶魔宝藏,ui_Howtoplay_Weituo01.png|ui_Howtoplay_Weituo01.png|ui_Howtoplay_Weituo01.png|ui_Howtoplay_Weituo01.png,
16,猫手商队,ui_Howtoplay_Weituo01.png|ui_Howtoplay_Weituo01.png|ui_Howtoplay_Weituo01.png|ui_Howtoplay_Weituo01.png,
17,波利精灵,ui_Howtoplay_Boli01.png,有一群古灵精怪的波利精灵遍布在世界的各个角落，街边的摊头也是贪吃的波利最爱去的地方之一，快去找找看吧~
18,公会狩猎,ui_Howtoplay_Gonghuishoulie01.png|ui_Howtoplay_Gonghuishoulie02.png|ui_Howtoplay_Gonghuishoulie03.png|ui_Howtoplay_Gonghuishoulie05.png|ui_Howtoplay_Gonghuishoulie04.png,50级会开放公会狩猎，每个公会每周可由会长或副会长开启1次，开启后持续4小时，完成公会手册目标可获取1次额外开启次数|开启后狩猎房间会出现3个传送门，对应3种难度，普通和困难难度的狩猎会有对应次数，次数全部清掉即算狩猎成功|普通和困难狩猎需要合理搭配组队完成，完成简单副本到达指定次数或者使用获取的封印碎片会降低困难狩猎的难度|活动持续4小时，没有时间组队或是能力不足的玩家可以选择单人进行简单难度的挑战，完成狩猎和首次通关困难狩猎会在公会中洒下宝箱|每人有2次获得奖励的机会，同时会有5次获得积分的机会（助战他人也算积分）
19,时空调查团,ui_Howtoplay_TimeTask01.png|ui_Howtoplay_TimeTask02.png|ui_Howtoplay_TimeTask03.png|ui_Howtoplay_TimeTask04.png|ui_Howtoplay_TimeTask05.png,时空调查团现在是公会活动，只能和公会成员一起组队参与。|服务器等级达到60级，玩家50级以上可以参与，每日12-21点每隔3小时刷新一次事件，每日可获得一次奖励。|与公会中福金的追随者对话可以查询当前是否有事件发生以及事件发生的地图。|事件所在地左上会有标记显示，点击还可以知道事件还剩余的时间，每个事件持续3小时。|在靠近事件NPC时会在小地图上看到明显的标记圈，对应的时空副本中可能会出现分支选项，你的选择会影响到副本的结局，可以尝试走一走不同的分支。
20,贤者的回忆,ui_Howtoplay_ThemeDungeon02.png|ui_Howtoplay_ThemeDungeon04.png,随着玩家等级成长，会逐渐解锁更多大贤者回忆的章节剧情副本，跟随巴雷蒙德一起探索依米尔之心秘密吧。|通关每一章节剧情副本可领取相应的首通报酬，之后挑战将不再获得任何奖励。助战他人通关可以获得助战奖励。
21,喷泉舞蹈会,ui_Howtoplay_Stayplay01.png|ui_Howtoplay_Stayplay02.png|ui_Howtoplay_Stayplay03.png,玩家可以根据自身情况选择不同的跳舞时间，时间越长委托券消耗越多，奖励与委托券等比例发放。|玩家可以邀请好友一起跳舞，有几率触发额外的buff哦。|一起跳舞的玩家达到一定人数将会触发烟花，希望你能和更多冒险家们来见证烟花绽放。
22,公会双人烹饪,ui_Howtoplay_Cookoff01.png|ui_Howtoplay_Cookoff02.png|ui_Howtoplay_Cookoff03.png|ui_Howtoplay_Cookoff04.png|ui_Howtoplay_Cookoff05.png,双人进入宴会筹备场景，队长和队员会分别出现在两个区域，两个区域之间可以通过传送门通行。|按照厨师提供的食谱在食材区取出对应食材，将食材运送至厨师面前桌上并上交食材，上交所有食材即完成厨师食谱订单。|场景中会出现一些随机增益BUFF，BUFF还会提供额外积分，不要忘了移动拾取哦。|每隔一段时间，食材区会发生位置变化，结合食谱和食材区位置，提前规划路线能极大提高效率。|愉快的宴会筹备结束后，会统计最终的烹饪积分和完成菜谱数量。赶紧找上默契的小伙伴试一试吧。
23,博仁斯攻略战,ui_Howtoplay_huntplay1.png|ui_Howtoplay_huntplay2.png,参与博仁斯攻略战，通过采集、打怪、击败敌方玩家可以获得积分和碎片。|积分可以竞争排行榜名次，赢取气泡框、称号等排行榜奖励；碎片可以在商店兑换丰厚的奖励。
24,时空模拟战玩法,ui_Howtoplay_5V501.png|ui_Howtoplay_5V502.png|ui_Howtoplay_5V503.png|ui_Howtoplay_5V504.png|ui_Howtoplay_5V507.png|ui_Howtoplay_5V508.png|ui_Howtoplay_5V506.png,推车争夺战：当只有一个队伍的玩家在车子附近时车子会朝对面移动，人数越多车子移动速度越快，当有3人时会到达最高速度。|推车争夺战：当双方都在车子附近时车子会停止移动，此时需要赶走或击败对面玩家才能继续推进，牧师职业玩家在此场景无法复活队友哦！|推车争夺战：当到达对方检查点时车子会停下进行充能突破，上方界面显示的圈转完后代表突破完成，此后哪怕车子被推回，再次经过时无需再次突破。|推车争夺战：场地中央的空间跃进器会不时刷新变成可使用状态，使用后会让车向中央闪现一大段距离，需要双方考虑是否使用以及何时使用。|推车争夺战：拾取场上随机刷新的能量晶体和占领祭坛，还有推动车辆都能增加队伍的能量值，敌方可以摧毁祭坛，祭坛开启一段时候也会自动关闭。|推车争夺战：不断增长的能量值会给予友方队伍强大的BUFF，以弱胜强不是梦想！|推车争夺战：时间结束时谁突破对方防线距离长谁会获胜，如果车直接推进到对方基地也可直接获胜。时间结束时劣势方有人在车旁会激活加时阶段，无人时会开始读条，读条时间结束，比赛正式结束
25,时空模拟战战斗玩法推车,ui_Howtoplay_5V501.png|ui_Howtoplay_5V502.png|ui_Howtoplay_5V503.png|ui_Howtoplay_5V504.png|ui_Howtoplay_5V507.png|ui_Howtoplay_5V508.png|ui_Howtoplay_5V506.png,推车争夺战：当只有一个队伍的玩家在车子附近时车子会朝对面移动，人数越多车子移动速度越快，当有3人时会到达最高速度。|推车争夺战：当双方都在车子附近时车子会停止移动，此时需要赶走或击败对面玩家才能继续推进，牧师职业玩家在此场景无法复活队友哦！|推车争夺战：当到达对方检查点时车子会停下进行充能突破，上方界面显示的圈转完后代表突破完成，此后哪怕车子被推回，再次经过时无需再次突破。|推车争夺战：场地中央的空间跃进器会不时刷新变成可使用状态，使用后会让车向中央闪现一大段距离，需要双方考虑是否使用以及何时使用。|推车争夺战：拾取场上随机刷新的能量晶体和占领祭坛，还有推动车辆都能增加队伍的能量值，敌方可以摧毁祭坛，祭坛开启一段时候也会自动关闭。|推车争夺战：不断增长的能量值会给予友方队伍强大的BUFF，以弱胜强不是梦想！|推车争夺战：时间结束时谁突破对方防线距离长谁会获胜，如果车直接推进到对方基地也可直接获胜。时间结束时劣势方有人在车旁会激活加时阶段，无人时会开始读条，读条时间结束，比赛正式结束
26,时空模拟战战斗玩法大乱斗,ui_Howtoplay_5V5_2ndSeason_zhuanpan.png|ui_Howtoplay_5V5_2ndSeason_Mode1_01.png|ui_Howtoplay_5V5_2ndSeason_Mode1_02.png|ui_Howtoplay_5V5_2ndSeason_Mode1_03.png|ui_Howtoplay_5V5_2ndSeason_Mode2_01.png|ui_Howtoplay_5V5_2ndSeason_Mode2_02.png|ui_Howtoplay_5V5_2ndSeason_Mode2_03.png|ui_Howtoplay_5V501.png|ui_Howtoplay_5v506.png,玩家将从下列几个玩法中随机一个开始战斗：变身大作战、金币大作战、推车争夺战|变身大作战：玩家可以通过拾取道具球变身为MVP怪物增强己方的战斗力|变身大作战：击杀敌方玩家赢得团队分数，但自身的赏金分数也会增加|变身大作战：时间到达后，团队积分高的队伍胜出|金币大作战：攻击场景中间的哥布林国王来加速金币的产出|金币大作战：击败对手来拾取他们的金币，金币才是胜负的关键|金币大作战：时间到达后，团队金币数量多的队伍胜出|推车争夺战：推车会在周围仅有一方队伍时前进，同时场景中存在祭坛，能量体来帮助玩家增强自身的能力|推车争夺战：推车玩法的胜负取决于队伍曾经到达的最远距离，从一开始就夺得优势吧！
27,时空模拟战战斗玩法大乱斗玩法一,ui_Howtoplay_5V5_2ndSeason_Mode1_01.png|ui_Howtoplay_5V5_2ndSeason_Mode1_02.png|ui_Howtoplay_5V5_2ndSeason_Mode1_03.png,变身大作战：玩家可以通过拾取道具球变身为MVP怪物|变身大作战：击杀敌方玩家赢得团队分数，但自身的赏金分数也会增加|变身大作战：时间到达后，团队积分高的队伍胜出
28,时空模拟战战斗玩法大乱斗玩法二,ui_Howtoplay_5V5_2ndSeason_Mode2_01.png|ui_Howtoplay_5V5_2ndSeason_Mode2_02.png|ui_Howtoplay_5V5_2ndSeason_Mode2_03.png,金币大作战：攻击场景中间的哥布林国王来加速金币的产出|金币大作战：击败对手来拾取他们的金币|金币大作战：时间到达后，团队金币数量多的队伍胜出
29,时空模拟战战斗玩法大乱斗玩法三,ui_Howtoplay_5V5_2ndSeason_Mode3_01.png|ui_Howtoplay_5V5_2ndSeason_Mode3_02.png,国王保卫战：队伍中的一个随机玩家变身为国王，国王属性会大幅度提高哦（国王模式中时空药品无法使用）|国王保卫战：击败敌方国王来获得胜利！（国王模式中时空药品无法使用）
30,心之道场,ui_Howtoplay_Daochang01.png|ui_Howtoplay_Daochang02.png|ui_Howtoplay_Daochang03.png|ui_Howtoplay_Daochang04.png,在心之道场中，你需要在有限时间内击败足够的魔物来磨练自己，使自己的内心变得更加强大。超过限定时间或者被击败两次就失败了哦。|在进入心之道馆前，侍者会为你送上祝福，你可任选三个，在击败每层的BOSS后，心之道馆侍者也会出现，可在此时更换祝福，有更换次数限制。|每当击败魔物时进度条会增长，击败精英怪会大幅增长进度条，进度条满了之后会出现本层的BOSS，当击败它后，心之道馆的侍者会指引你进入下一层。|在心之道馆中徘徊着旅人，他们会为过路者送上祝福。在道馆的一些隐秘处也会藏有神龛，祈祷后可能会有意想不到的效果。
