AwardId,PackIds,PackRates,BindInfo,Name,AwardType,PreviewType,PreviewItem,PreviewNum,PreviewCount,PreviewLuaFunction,LuckyPointPara,VipDouble,DropJudge,DropAllocation
1100190,1100191,1,1,韩国615版本主线任务奖励--选择职业,0,,,,,,,,,
1100200,1100201,1,1,韩国615版本主线任务奖励--转职剑士,0,,,,,,,,,
1100210,1100211,1,1,韩国615版本主线任务奖励--转职魔法师,0,,,,,,,,,
1100220,1100221,1,1,韩国615版本主线任务奖励--转职服事,0,,,,,,,,,
1100230,1100231,1,1,韩国615版本主线任务奖励--转职弓箭手,0,,,,,,,,,
1100240,1100241,1,1,韩国615版本主线任务奖励--转职盗贼,0,,,,,,,,,
1100250,1100251,1,1,韩国615版本主线任务奖励--转职商人,0,,,,,,,,,
1100260,1100261,1,1,韩国615版本主线任务奖励--转职剑士,0,,,,,,,,,
1100270,1100271,1,1,韩国615版本主线任务奖励--转职魔法师,0,,,,,,,,,
1100280,1100281,1,1,韩国615版本主线任务奖励--转职服事,0,,,,,,,,,
1100290,1100291,1,1,韩国615版本主线任务奖励--转职弓手,0,,,,,,,,,
1100300,1100301,1,1,韩国615版本主线任务奖励--转职盗贼,0,,,,,,,,,
1100310,1100311,1,1,韩国615版本主线任务奖励--转职商人,0,,,,,,,,,
1100320,1100321,1,1,韩国615版本主线任务奖励--信念烙印,0,,,,,,,,,
1100330,1100331,1,1,韩国615版本主线任务奖励--贯彻信念烙印,0,,,,,,,,,
1100340,1100341,1,1,韩国615版本主线任务奖励--花钱办事|给你们500铜，不要打扰卡普拉了,0,,,,,,,,,
1100350,1100351,1,1,韩国615版本主线任务奖励--骚扰卡普拉|敢骚扰卡普拉，想试试准剑士的拳头吗,0,,,,,,,,,
1100360,1100361,1,1,韩国615版本主线任务奖励--耐性烙印,0,,,,,,,,,
1100370,1100371,1,1,韩国615版本主线任务奖励--实力烙印,0,,,,,,,,,
1100380,1100381,1,1,韩国615版本主线任务奖励--剑士的意志,0,,,,,,,,,
1100390,1100391,1,1,韩国615版本主线任务奖励--职业等级,0,,,,,,,,,
1100400,1100401,1,1,韩国615版本主线任务奖励--学习技能,0,,,,,,,,,
1100410,1100411,1,1,韩国615版本主线任务奖励--学习素质加点,0,,,,,,,,,
1100420,1100421,1,1,韩国615版本主线任务奖励--试炼前的准备,0,,,,,,,,,
1100430,1100431,1,1,韩国615版本主线任务奖励--小试牛刀,0,,,,,,,,,
1100440,1100441,1,1,韩国615版本主线任务奖励--踏上旅途,0,,,,,,,,,
1100450,1100451,1,1,韩国615版本主线任务奖励--前往普隆德拉,0,,,,,,,,,
1100460,1100461,1,1,韩国615版本主线任务奖励--念力注入,0,,,,,,,,,
1100470,1100471,1,1,韩国615版本主线任务奖励--元素亲和,0,,,,,,,,,
1100480,1100481,1,1,韩国615版本主线任务奖励--元素亲和,0,,,,,,,,,
1100490,1100491,1,1,韩国615版本主线任务奖励--好斗的火精灵,0,,,,,,,,,
1100500,1100501,1,1,韩国615版本主线任务奖励--元素归位,0,,,,,,,,,
1100510,1100511,1,1,韩国615版本主线任务奖励--活泼的风精灵,0,,,,,,,,,
1100520,1100521,1,1,韩国615版本主线任务奖励--元素归位,0,,,,,,,,,
1100530,1100531,1,1,韩国615版本主线任务奖励--温柔的水精灵,0,,,,,,,,,
1100540,1100541,1,1,韩国615版本主线任务奖励--元素归位,0,,,,,,,,,
1100550,1100551,1,1,韩国615版本主线任务奖励--憨厚的地精灵,0,,,,,,,,,
1100560,1100561,1,1,韩国615版本主线任务奖励--元素归位,0,,,,,,,,,
1100570,1100571,1,1,韩国615版本主线任务奖励--元素仪式,0,,,,,,,,,
1100580,1100581,1,1,韩国615版本主线任务奖励--学习技能加点,0,,,,,,,,,
1100590,1100591,1,1,韩国615版本主线任务奖励--学习技能,0,,,,,,,,,
1100600,1100601,1,1,韩国615版本主线任务奖励--学习素质加点,0,,,,,,,,,
1100610,1100611,1,1,韩国615版本主线任务奖励--试炼前的准备,0,,,,,,,,,
1100620,1100621,1,1,韩国615版本主线任务奖励--小试牛刀,0,,,,,,,,,
1100630,1100631,1,1,韩国615版本主线任务奖励--踏上旅途,0,,,,,,,,,
1100640,1100641,1,1,韩国615版本主线任务奖励--进入圣的领域,0,,,,,,,,,
1100650,1100651,1,1,韩国615版本主线任务奖励--超度亡灵,0,,,,,,,,,
1100660,1100661,1,1,韩国615版本主线任务奖励--圣职的工作,0,,,,,,,,,
1100670,1100671,1,1,韩国615版本主线任务奖励--驱魔之力,0,,,,,,,,,
1100680,1100681,1,1,韩国615版本主线任务奖励--蛊惑人心的夸赛魔,0,,,,,,,,,
1100690,1100691,1,1,韩国615版本主线任务奖励--愚钝的巴洛魔,0,,,,,,,,,
1100700,1100701,1,1,韩国615版本主线任务奖励--贪婪的原魔,0,,,,,,,,,
1100710,1100711,1,1,韩国615版本主线任务奖励--进入暗的领域,0,,,,,,,,,
1100720,1100721,1,1,韩国615版本主线任务奖励--神的代理人,0,,,,,,,,,
1100730,1100731,1,1,韩国615版本主线任务奖励--学习技能加点,0,,,,,,,,,
1100740,1100741,1,1,韩国615版本主线任务奖励--学习技能,0,,,,,,,,,
1100750,1100751,1,1,韩国615版本主线任务奖励--学习素质加点,0,,,,,,,,,
1100760,1100761,1,1,韩国615版本主线任务奖励--试炼前的准备,0,,,,,,,,,
1100770,1100771,1,1,韩国615版本主线任务奖励--小试牛刀,0,,,,,,,,,
1100780,1100781,1,1,韩国615版本主线任务奖励--踏上旅途,0,,,,,,,,,
1100790,1100791,1,1,韩国615版本主线任务奖励--前往普隆德拉,0,,,,,,,,,
1100800,1100801,1,1,韩国615版本主线任务奖励--弓箭手的守则,0,,,,,,,,,
1100810,1100811,1,1,韩国615版本主线任务奖励--敏捷和灵巧,0,,,,,,,,,
1100820,1100821,1,1,韩国615版本主线任务奖励--敏捷弓手试炼,0,,,,,,,,,
1100830,1100831,1,1,韩国615版本主线任务奖励--心神凝聚,0,,,,,,,,,
1100840,1100841,1,1,韩国615版本主线任务奖励--教训狸猫|教训这只鬼鬼祟祟的狸猫,0,,,,,,,,,
1100850,1100851,1,1,韩国615版本主线任务奖励--宽恕狸猫|小动物这么萌，还是放过它,0,,,,,,,,,
1100860,1100861,1,1,韩国615版本主线任务奖励--灵巧弓手试炼,0,,,,,,,,,
1100870,1100871,1,1,韩国615版本主线任务奖励--精英弓手试炼,0,,,,,,,,,
1100880,1100881,1,1,韩国615版本主线任务奖励--弓箭的鸣响,0,,,,,,,,,
1100890,1100891,1,1,韩国615版本主线任务奖励--学习技能加点,0,,,,,,,,,
1100900,1100901,1,1,韩国615版本主线任务奖励--学习素质加点,0,,,,,,,,,
1100910,1100911,1,1,韩国615版本主线任务奖励--准备试炼,0,,,,,,,,,
1100920,1100921,1,1,韩国615版本主线任务奖励--小试牛刀,0,,,,,,,,,
1100930,1100931,1,1,韩国615版本主线任务奖励--学习技能,0,,,,,,,,,
1100940,1100941,1,1,韩国615版本主线任务奖励--踏上旅途,0,,,,,,,,,
1100950,1100951,1,1,韩国615版本主线任务奖励--盗贼总部,0,,,,,,,,,
1100960,1100961,1,1,韩国615版本主线任务奖励--情报收集,0,,,,,,,,,
1100970,1100971,1,1,韩国615版本主线任务奖励--接头时刻,0,,,,,,,,,
1100980,1100981,1,1,韩国615版本主线任务奖励--对暗号|暗号：一切都是混沌的旨意,0,,,,,,,,,
1100990,1100991,1,1,韩国615版本主线任务奖励--对暗号|暗号：让死者安眠不醒,0,,,,,,,,,
1101000,1101001,1,1,韩国615版本主线任务奖励--艰难的抉择,0,,,,,,,,,
1101010,1101011,1,1,韩国615版本主线任务奖励--打开盒子|打开盒子，偷偷打开看一下也没关系吧……,0,,,,,,,,,
1101020,1101021,1,1,韩国615版本主线任务奖励--不打开盒子|不能打开，导师叮嘱过千万不能打开盒子,0,,,,,,,,,
1101030,1101031,1,1,韩国615版本主线任务奖励--一点运气……,0,,,,,,,,,
1101040,1101041,1,1,韩国615版本主线任务奖励--学习技能加点,0,,,,,,,,,
1101050,1101051,1,1,韩国615版本主线任务奖励--学习技能,0,,,,,,,,,
1101060,1101061,1,1,韩国615版本主线任务奖励--学习素质加点,0,,,,,,,,,
1101070,1101071,1,1,韩国615版本主线任务奖励--准备试炼,0,,,,,,,,,
1101080,1101081,1,1,韩国615版本主线任务奖励--小试牛刀,0,,,,,,,,,
1101090,1101091,1,1,韩国615版本主线任务奖励--踏上旅途,0,,,,,,,,,
1101100,1101101,1,1,韩国615版本主线任务奖励--入会文书,0,,,,,,,,,
1101110,1101111,1,1,韩国615版本主线任务奖励--经营之道,0,,,,,,,,,
1101120,1101121,1,1,韩国615版本主线任务奖励--销售蓝色药水|小贵但稀有，可恢复MP的蓝色药水,0,,,,,,,,,
1101130,1101131,1,1,韩国615版本主线任务奖励--销售红色药水|薄利多销，可恢复HP的红色药水,0,,,,,,,,,
1101140,1101141,1,1,韩国615版本主线任务奖励--尝试手推车,0,,,,,,,,,
1101150,1101151,1,1,韩国615版本主线任务奖励--提取货物,0,,,,,,,,,
1101160,1101161,1,1,韩国615版本主线任务奖励--最终试炼,0,,,,,,,,,
1101170,1101171,1,1,韩国615版本主线任务奖励--技能加点,0,,,,,,,,,
1101180,1101181,1,1,韩国615版本主线任务奖励--迅速变强？！,0,,,,,,,,,
1101190,1101191,1,1,韩国615版本主线任务奖励--,0,,,,,,,,,
1101200,1101201,1,1,韩国615版本主线任务奖励--再次尝试,0,,,,,,,,,
1101210,1101211,1,1,韩国615版本主线任务奖励--小试牛刀,0,,,,,,,,,
1101220,1101221,1,1,韩国615版本主线任务奖励--学习技能,0,,,,,,,,,
1101230,1101231,1,1,韩国615版本主线任务奖励--踏上旅途,0,,,,,,,,,
1101240,1101241,1,1,韩国615版本主线任务奖励--前往普隆德拉,0,,,,,,,,,
1101250,1101251,1,1,韩国615版本主线任务奖励--女刺客露克希,0,,,,,,,,,
1101260,1101261,1,1,韩国615版本主线任务奖励--坎坷的开端,0,,,,,,,,,
1101270,1101271,1,1,韩国615版本主线任务奖励--骑士古娜,0,,,,,,,,,
1101280,1101281,1,1,韩国615版本主线任务奖励--骑士团的歉意,0,,,,,,,,,
1101290,1101291,1,1,韩国615版本主线任务奖励--飞往教堂,0,,,,,,,,,
1101300,1101301,1,1,韩国615版本主线任务奖励--教堂的规矩,0,,,,,,,,,
1101310,1101311,1,1,韩国615版本主线任务奖励--调查计划,0,,,,,,,,,
1101320,1101321,1,1,韩国615版本主线任务奖励--公正之剑,0,,,,,,,,,
1101330,1101331,1,1,韩国615版本主线任务奖励--黑夜红莲,0,,,,,,,,,
1101340,1101341,1,1,韩国615版本主线任务奖励--冒险者试炼,0,,,,,,,,,
1101350,1101351,1,1,韩国615版本主线任务奖励--学习锻造,0,,,,,,,,,
1101360,1101361,1,1,韩国615版本主线任务奖励--魔物风波,0,,,,,,,,,
1101370,1101371,1,1,韩国615版本主线任务奖励--火场调查报告,0,,,,,,,,,
1101380,1101381,1,1,韩国615版本主线任务奖励--城中暗杀者,0,,,,,,,,,
1101390,1101391,1,1,韩国615版本主线任务奖励--真假死亡报告,0,,,,,,,,,
1101400,1101401,1,1,韩国615版本主线任务奖励--超度仪式,0,,,,,,,,,
1101410,1101411,1,1,韩国615版本主线任务奖励--火场废墟,0,,,,,,,,,
1101420,1101421,1,1,韩国615版本主线任务奖励--灵魂碎片,0,,,,,,,,,
1101430,1101431,1,1,韩国615版本主线任务奖励--修复碎片,0,,,,,,,,,
1101440,1101441,1,1,韩国615版本主线任务奖励--新的线索,0,,,,,,,,,
1101450,1101451,1,1,韩国615版本主线任务奖励--唱歌的孩子,0,,,,,,,,,
1101460,1101461,1,1,韩国615版本主线任务奖励--唱歌的孩子,0,,,,,,,,,
1101470,1101471,1,1,韩国615版本主线任务奖励--唱歌的孩子,0,,,,,,,,,
1101480,1101481,1,1,韩国615版本主线任务奖励--唱歌的孩子,0,,,,,,,,,
1101490,1101491,1,1,韩国615版本主线任务奖励--唱歌的孩子,0,,,,,,,,,
1101500,1101501,1,1,韩国615版本主线任务奖励--唱歌的孩子,0,,,,,,,,,
1101510,1101511,1,1,韩国615版本主线任务奖励--唱歌的孩子,0,,,,,,,,,
1101520,1101521,1,1,韩国615版本主线任务奖励--唱歌的孩子,0,,,,,,,,,
1101530,1101531,1,1,韩国615版本主线任务奖励--建国神话,0,,,,,,,,,
1101540,1101541,1,1,韩国615版本主线任务奖励--建国神话,0,,,,,,,,,
1101550,1101551,1,1,韩国615版本主线任务奖励--建国神话,0,,,,,,,,,
1101560,1101561,1,1,韩国615版本主线任务奖励--建国神话,0,,,,,,,,,
1101570,1101571,1,1,韩国615版本主线任务奖励--建国神话,0,,,,,,,,,
1101580,1101581,1,1,韩国615版本主线任务奖励--建国神话,0,,,,,,,,,
1101590,1101591,1,1,韩国615版本主线任务奖励--班波的推测,0,,,,,,,,,
1101600,1101601,1,1,韩国615版本主线任务奖励--王子的死因,0,,,,,,,,,
1101610,1101611,1,1,韩国615版本主线任务奖励--灵魂碎片二,0,,,,,,,,,
1101620,1101621,1,1,韩国615版本主线任务奖励--线人基拉,0,,,,,,,,,
1101630,1101631,1,1,韩国615版本主线任务奖励--线人基拉,0,,,,,,,,,
1101640,1101641,1,1,韩国615版本主线任务奖励--线人基拉,0,,,,,,,,,
1101650,1101651,1,1,韩国615版本主线任务奖励--线人基拉,0,,,,,,,,,
1101660,1101661,1,1,韩国615版本主线任务奖励--线人基拉,0,,,,,,,,,
1101670,1101671,1,1,韩国615版本主线任务奖励--线人基拉,0,,,,,,,,,
1101680,1101681,1,1,韩国615版本主线任务奖励--地下酒吧,0,,,,,,,,,
1101690,1101691,1,1,韩国615版本主线任务奖励--毒药的秘密,0,,,,,,,,,
1101700,1101701,1,1,韩国615版本主线任务奖励--缺失的配方,0,,,,,,,,,
1101710,1101711,1,1,韩国615版本主线任务奖励--最后的验证,0,,,,,,,,,
1101720,1101721,1,1,韩国615版本主线任务奖励--死亡真相,0,,,,,,,,,
1101730,1101731,1,1,韩国615版本主线任务奖励--追踪白女巫,0,,,,,,,,,
1101740,1101741,1,1,韩国615版本主线任务奖励--凶案现场,0,,,,,,,,,
1101750,1101751,1,1,韩国615版本主线任务奖励--巴雷蒙德登场,0,,,,,,,,,
1101760,1101761,1,1,韩国615版本主线任务奖励--丢失的碎片,0,,,,,,,,,
1101770,1101771,1,1,韩国615版本主线任务奖励--准备定位仪式,0,,,,,,,,,
1101780,1101781,1,1,韩国615版本主线任务奖励--收集朝天菇,0,,,,,,,,,
1101790,1101791,1,1,韩国615版本主线任务奖励--奇怪的图案,0,,,,,,,,,
1101800,1101801,1,1,韩国615版本主线任务奖励--女骑士古娜,0,,,,,,,,,
1101810,1101811,1,1,韩国615版本主线任务奖励--搜寻可疑处,0,,,,,,,,,
1101820,1101821,1,1,韩国615版本主线任务奖励--神秘人的帮助,0,,,,,,,,,
1101830,1101831,1,1,韩国615版本主线任务奖励--真凶难道是？,0,,,,,,,,,
1101840,1101841,1,1,韩国615版本主线任务奖励--白女巫之影,0,,,,,,,,,
1101850,1101851,1,1,韩国615版本主线任务奖励--自己抓自己？,0,,,,,,,,,
1101860,1101861,1,1,韩国615版本主线任务奖励--一场误会,0,,,,,,,,,
1101870,1101871,1,1,韩国615版本主线任务奖励--真相的结晶,0,,,,,,,,,
1101880,1101881,1,1,韩国615版本主线任务奖励--白女巫据点,0,,,,,,,,,
1101890,1101891,1,1,韩国615版本主线任务奖励--抓捕古娜,0,,,,,,,,,
1101900,1101901,1,1,韩国615版本主线任务奖励--枉死的古娜,0,,,,,,,,,
1101910,1101911,1,1,韩国615版本主线任务奖励--追击白女巫,0,,,,,,,,,
1101920,1101921,1,1,韩国615版本主线任务奖励--污渍,0,,,,,,,,,
1101930,1101931,1,1,韩国615版本主线任务奖励--昏暗的普隆德拉,0,,,,,,,,,
1101940,1101941,1,1,韩国615版本主线任务奖励--昏暗的普隆德拉,0,,,,,,,,,
1101950,1101951,1,1,韩国615版本主线任务奖励--昏暗的普隆德拉,0,,,,,,,,,
1101960,1101961,1,1,韩国615版本主线任务奖励--昏暗的普隆德拉,0,,,,,,,,,
1101970,1101971,1,1,韩国615版本主线任务奖励--昏暗的普隆德拉,0,,,,,,,,,
1101980,1101981,1,1,韩国615版本主线任务奖励--昏暗的普隆德拉,0,,,,,,,,,
1101990,1101991,1,1,韩国615版本主线任务奖励--昏暗的普隆德拉,0,,,,,,,,,
1102000,1102001,1,1,韩国615版本主线任务奖励--昏暗的普隆德拉,0,,,,,,,,,
1102010,1102011,1,1,韩国615版本主线任务奖励--昏暗的普隆德拉,0,,,,,,,,,
1102020,1102021,1,1,韩国615版本主线任务奖励--昏暗的普隆德拉,0,,,,,,,,,
1102030,1102031,1,1,韩国615版本主线任务奖励--昏暗的普隆德拉,0,,,,,,,,,
1102040,1102041,1,1,韩国615版本主线任务奖励--昏暗的普隆德拉,0,,,,,,,,,
1102050,1102051,1,1,韩国615版本主线任务奖励--昏暗的普隆德拉,0,,,,,,,,,
1102060,1102061,1,1,韩国615版本主线任务奖励--光与暗的起点,0,,,,,,,,,
1102070,1102071,1,1,韩国615版本主线任务奖励--光与暗的起点,0,,,,,,,,,
1102080,1102081,1,1,韩国615版本主线任务奖励--光与暗的起点|坚持要去,0,,,,,,,,,
1102090,1102091,1,1,韩国615版本主线任务奖励--光与暗的起点|还是不去了,0,,,,,,,,,
1102100,1102101,1,1,韩国615版本主线任务奖励--光与暗的起点,0,,,,,,,,,
1102110,1102111,1,1,韩国615版本主线任务奖励--光与暗的起点,0,,,,,,,,,
1102120,1102121,1,1,韩国615版本主线任务奖励--光与暗的起点,0,,,,,,,,,
1102130,1102131,1,1,韩国615版本主线任务奖励--光与暗的起点,0,,,,,,,,,
1102140,1102141,1,1,韩国615版本主线任务奖励--光与暗的起点,0,,,,,,,,,
1102150,1102151,1,1,韩国615版本主线任务奖励--光与暗的起点,0,,,,,,,,,
1102160,1102161,1,1,韩国615版本主线任务奖励--光与暗的起点,0,,,,,,,,,
1102170,1102171,1,1,韩国615版本主线任务奖励--光与暗的起点,0,,,,,,,,,
1102180,1102181,1,1,韩国615版本主线任务奖励--光与暗的起点,0,,,,,,,,,
1102190,1102191,1,1,韩国615版本主线任务奖励--恐怖笼罩的梦罗克,0,,,,,,,,,
1102200,1102201,1,1,韩国615版本主线任务奖励--恐怖笼罩的梦罗克,0,,,,,,,,,
1102210,1102211,1,1,韩国615版本主线任务奖励--恐怖笼罩的梦罗克,0,,,,,,,,,
1102220,1102221,1,1,韩国615版本主线任务奖励--恐怖笼罩的梦罗克,0,,,,,,,,,
1102230,1102231,1,1,韩国615版本主线任务奖励--恐怖笼罩的梦罗克,0,,,,,,,,,
1102240,1102241,1,1,韩国615版本主线任务奖励--恐怖笼罩的梦罗克,0,,,,,,,,,
1102250,1102251,1,1,韩国615版本主线任务奖励--恐怖笼罩的梦罗克,0,,,,,,,,,
1102260,1102261,1,1,韩国615版本主线任务奖励--恐怖笼罩的梦罗克,0,,,,,,,,,
1102270,1102271,1,1,韩国615版本主线任务奖励--恐怖笼罩的梦罗克,0,,,,,,,,,
1102280,1102281,1,1,韩国615版本主线任务奖励--恐怖笼罩的梦罗克,0,,,,,,,,,
1102290,1102291,1,1,韩国615版本主线任务奖励--恐怖笼罩的梦罗克,0,,,,,,,,,
1102300,1102301,1,1,韩国615版本主线任务奖励--古卷仪式,0,,,,,,,,,
1102310,1102311,1,1,韩国615版本主线任务奖励--他乡遇故人,0,,,,,,,,,
1102320,1102321,1,1,韩国615版本主线任务奖励--修复法杖,0,,,,,,,,,
1102330,1102331,1,1,韩国615版本主线任务奖励--【圣痕】,0,,,,,,,,,
1102340,1102341,1,1,韩国615版本主线任务奖励--贤者迷踪,0,,,,,,,,,
1102350,1102351,1,1,韩国615版本主线任务奖励--恶魔之影,0,,,,,,,,,
1102360,1102361,1,1,韩国615版本主线任务奖励--贤者的腐化,0,,,,,,,,,
1102370,1102371,1,1,韩国615版本主线任务奖励--梦罗克暗流,0,,,,,,,,,
1102380,1102381,1,1,韩国615版本主线任务奖励--新的讯息,0,,,,,,,,,
1102390,1102391,1,1,韩国615版本主线任务奖励--失踪的孩子,0,,,,,,,,,
1102400,1102401,1,1,韩国615版本主线任务奖励--古怪的笛声,0,,,,,,,,,
1102410,1102411,1,1,韩国615版本主线任务奖励--调查神殿,0,,,,,,,,,
1102420,1102421,1,1,韩国615版本主线任务奖励--神殿的祭品,0,,,,,,,,,
1102430,1102431,1,1,韩国615版本主线任务奖励--可疑的白衣人,0,,,,,,,,,
1102440,1102441,1,1,韩国615版本主线任务奖励--黑白双生,0,,,,,,,,,
1102450,1102451,1,1,韩国615版本主线任务奖励--死海古卷终章,0,,,,,,,,,
1102460,1102461,1,1,韩国615版本主线任务奖励--神秘的白衣女,0,,,,,,,,,
1102470,1102471,1,1,韩国615版本主线任务奖励--黑化的贤者,0,,,,,,,,,
1102480,1102481,1,1,韩国615版本主线任务奖励--雇佣兵D团,0,,,,,,,,,
1102490,1102491,1,1,韩国615版本主线任务奖励--伏击,0,,,,,,,,,
1102500,1102501,1,1,韩国615版本主线任务奖励--就地处决,0,,,,,,,,,
1102510,1102511,1,1,韩国615版本主线任务奖励--背叛,0,,,,,,,,,
1102520,1102521,1,1,韩国615版本主线任务奖励--双生的黑白,0,,,,,,,,,
1102530,1102531,1,1,韩国615版本主线任务奖励--恐怖的真相,0,,,,,,,,,
1102540,1102541,1,1,韩国615版本主线任务奖励--重整旗鼓,0,,,,,,,,,
1102550,1102551,1,1,韩国615版本主线任务奖励--不速之客,0,,,,,,,,,
1102560,1102561,1,1,韩国615版本主线任务奖励--神秘学者,0,,,,,,,,,
1102570,1102571,1,1,韩国615版本主线任务奖励--触碰贤者意识,0,,,,,,,,,
1102580,1102581,1,1,韩国615版本主线任务奖励--意识世界,0,,,,,,,,,
1102590,1102591,1,1,韩国615版本主线任务奖励--由佩雷斯彼女,0,,,,,,,,,
1102600,1102601,1,1,韩国615版本主线任务奖励--拜访刺客公会,0,,,,,,,,,
1102610,1102611,1,1,韩国615版本主线任务奖励--真相前的宁静,0,,,,,,,,,
1102620,1102621,1,1,韩国615版本主线任务奖励--寻访印记刺客,0,,,,,,,,,
1102630,1102631,1,1,韩国615版本主线任务奖励--印记刺客传说,0,,,,,,,,,
1102640,1102641,1,1,韩国615版本主线任务奖励--访问领主,0,,,,,,,,,
1102650,1102651,1,1,韩国615版本主线任务奖励--领主的邀请,0,,,,,,,,,
1102660,1102661,1,1,韩国615版本主线任务奖励--梦罗克往事,0,,,,,,,,,
1102670,1102671,1,1,韩国615版本主线任务奖励--领主的秘密,0,,,,,,,,,
1102680,1102681,1,1,韩国615版本主线任务奖励--封印之间,0,,,,,,,,,
