DungeonsID,Comment,LevelRecommend,WareHouseID,Description,PicFile,UnitAttrType
7325,周二,80=89,2,魔神残留在米德加兹大陆的痕迹对地属性的怪物产生了影响，快使用火属性、毒属性攻击消灭它们吧！每日可进入痕迹2次，点击+可增加次数，凌晨5点刷新。不同属性的魔物会在不同时间受到影响：周一火属性，周二地属性，周三风属性，周四水属性，周五暗和不死属性。痕迹不稳定，周六和周日会随机刷新不同属性的魔物。,Petdungeon_image03_mowangzhihen.png,地属性
7341,周三,40=49,3,魔神残留在米德加兹大陆的痕迹对风属性的怪物产生了影响，快使用地属性、毒属性攻击消灭它们吧！每日可进入痕迹2次，点击+可增加次数，凌晨5点刷新。不同属性的魔物会在不同时间受到影响：周一火属性，周二地属性，周三风属性，周四水属性，周五暗和不死属性。痕迹不稳定，周六和周日会随机刷新不同属性的魔物。,Petdungeon_image03_mowangzhihen.png,风属性
7342,周三,50=59,3,魔神残留在米德加兹大陆的痕迹对风属性的怪物产生了影响，快使用地属性、毒属性攻击消灭它们吧！每日可进入痕迹2次，点击+可增加次数，凌晨5点刷新。不同属性的魔物会在不同时间受到影响：周一火属性，周二地属性，周三风属性，周四水属性，周五暗和不死属性。痕迹不稳定，周六和周日会随机刷新不同属性的魔物。,Petdungeon_image03_mowangzhihen.png,风属性
7343,周三,60=69,3,魔神残留在米德加兹大陆的痕迹对风属性的怪物产生了影响，快使用地属性、毒属性攻击消灭它们吧！每日可进入痕迹2次，点击+可增加次数，凌晨5点刷新。不同属性的魔物会在不同时间受到影响：周一火属性，周二地属性，周三风属性，周四水属性，周五暗和不死属性。痕迹不稳定，周六和周日会随机刷新不同属性的魔物。,Petdungeon_image03_mowangzhihen.png,风属性
7344,周三,70=79,3,魔神残留在米德加兹大陆的痕迹对风属性的怪物产生了影响，快使用地属性、毒属性攻击消灭它们吧！每日可进入痕迹2次，点击+可增加次数，凌晨5点刷新。不同属性的魔物会在不同时间受到影响：周一火属性，周二地属性，周三风属性，周四水属性，周五暗和不死属性。痕迹不稳定，周六和周日会随机刷新不同属性的魔物。,Petdungeon_image03_mowangzhihen.png,风属性
7345,周三,80=89,3,魔神残留在米德加兹大陆的痕迹对风属性的怪物产生了影响，快使用地属性、毒属性攻击消灭它们吧！每日可进入痕迹2次，点击+可增加次数，凌晨5点刷新。不同属性的魔物会在不同时间受到影响：周一火属性，周二地属性，周三风属性，周四水属性，周五暗和不死属性。痕迹不稳定，周六和周日会随机刷新不同属性的魔物。,Petdungeon_image03_mowangzhihen.png,风属性
7361,周四,40=49,4,魔神残留在米德加兹大陆的痕迹对水属性的怪物产生了影响，快使用风属性、毒属性攻击消灭它们吧！每日可进入痕迹2次，点击+可增加次数，凌晨5点刷新。不同属性的魔物会在不同时间受到影响：周一火属性，周二地属性，周三风属性，周四水属性，周五暗和不死属性。痕迹不稳定，周六和周日会随机刷新不同属性的魔物。,Petdungeon_image03_mowangzhihen.png,水属性
7362,周四,50=59,4,魔神残留在米德加兹大陆的痕迹对水属性的怪物产生了影响，快使用风属性、毒属性攻击消灭它们吧！每日可进入痕迹2次，点击+可增加次数，凌晨5点刷新。不同属性的魔物会在不同时间受到影响：周一火属性，周二地属性，周三风属性，周四水属性，周五暗和不死属性。痕迹不稳定，周六和周日会随机刷新不同属性的魔物。,Petdungeon_image03_mowangzhihen.png,水属性
7363,周四,60=69,4,魔神残留在米德加兹大陆的痕迹对水属性的怪物产生了影响，快使用风属性、毒属性攻击消灭它们吧！每日可进入痕迹2次，点击+可增加次数，凌晨5点刷新。不同属性的魔物会在不同时间受到影响：周一火属性，周二地属性，周三风属性，周四水属性，周五暗和不死属性。痕迹不稳定，周六和周日会随机刷新不同属性的魔物。,Petdungeon_image03_mowangzhihen.png,水属性
7364,周四,70=79,4,魔神残留在米德加兹大陆的痕迹对水属性的怪物产生了影响，快使用风属性、毒属性攻击消灭它们吧！每日可进入痕迹2次，点击+可增加次数，凌晨5点刷新。不同属性的魔物会在不同时间受到影响：周一火属性，周二地属性，周三风属性，周四水属性，周五暗和不死属性。痕迹不稳定，周六和周日会随机刷新不同属性的魔物。,Petdungeon_image03_mowangzhihen.png,水属性
7365,周四,80=89,4,魔神残留在米德加兹大陆的痕迹对水属性的怪物产生了影响，快使用风属性、毒属性攻击消灭它们吧！每日可进入痕迹2次，点击+可增加次数，凌晨5点刷新。不同属性的魔物会在不同时间受到影响：周一火属性，周二地属性，周三风属性，周四水属性，周五暗和不死属性。痕迹不稳定，周六和周日会随机刷新不同属性的魔物。,Petdungeon_image03_mowangzhihen.png,水属性
7381,周五,40=49,5,魔神残留在米德加兹大陆的痕迹对暗和不死属性的怪物产生了影响，快使用圣属性攻击消灭它们吧！每日可进入痕迹2次，点击+可增加次数，凌晨5点刷新。不同属性的魔物会在不同时间受到影响：周一火属性，周二地属性，周三风属性，周四水属性，周五暗和不死属性。痕迹不稳定，周六和周日会随机刷新不同属性的魔物。,Petdungeon_image03_mowangzhihen.png,暗不死属性
7382,周五,50=59,5,魔神残留在米德加兹大陆的痕迹对暗和不死属性的怪物产生了影响，快使用圣属性攻击消灭它们吧！每日可进入痕迹2次，点击+可增加次数，凌晨5点刷新。不同属性的魔物会在不同时间受到影响：周一火属性，周二地属性，周三风属性，周四水属性，周五暗和不死属性。痕迹不稳定，周六和周日会随机刷新不同属性的魔物。,Petdungeon_image03_mowangzhihen.png,暗不死属性
7383,周五,60=69,5,魔神残留在米德加兹大陆的痕迹对暗和不死属性的怪物产生了影响，快使用圣属性攻击消灭它们吧！每日可进入痕迹2次，点击+可增加次数，凌晨5点刷新。不同属性的魔物会在不同时间受到影响：周一火属性，周二地属性，周三风属性，周四水属性，周五暗和不死属性。痕迹不稳定，周六和周日会随机刷新不同属性的魔物。,Petdungeon_image03_mowangzhihen.png,暗不死属性
7384,周五,70=79,5,魔神残留在米德加兹大陆的痕迹对暗和不死属性的怪物产生了影响，快使用圣属性攻击消灭它们吧！每日可进入痕迹2次，点击+可增加次数，凌晨5点刷新。不同属性的魔物会在不同时间受到影响：周一火属性，周二地属性，周三风属性，周四水属性，周五暗和不死属性。痕迹不稳定，周六和周日会随机刷新不同属性的魔物。,Petdungeon_image03_mowangzhihen.png,暗不死属性
7385,周五,80=89,5,魔神残留在米德加兹大陆的痕迹对暗和不死属性的怪物产生了影响，快使用圣属性攻击消灭它们吧！每日可进入痕迹2次，点击+可增加次数，凌晨5点刷新。不同属性的魔物会在不同时间受到影响：周一火属性，周二地属性，周三风属性，周四水属性，周五暗和不死属性。痕迹不稳定，周六和周日会随机刷新不同属性的魔物。,Petdungeon_image03_mowangzhihen.png,暗不死属性
