Category,Name,Comment,Value
,AssistNpcBubbleConfig,NPC冒泡配置（持续时间=间隔时间）单位秒,10=20
,SpaceTimeMedalID,时空之证ID,2050010
,SpaceTimeMedalAwardNormal,无萌新回流玩家获取时空之证概率（人数=万分比）,2=0|3=0|4=0|5=0
,SpaceTimeMedalAwardSpecial,有萌新回流玩家获取时空之证概率（人数=万分比）,2=0|3=0|4=0|5=0
脱战删除召唤物,OutFightDeleteMobMonsterType,0普通 1精英 2副本Boss3召唤怪 4Mini5MVP,4|5
英雄挑战相关,HeroResultVariable1,该关成绩 = 难度系数 * 系数1 + (目标时间 – 该局战斗时间) * 系数2,10
,HeroResultVariable2,该关成绩 = 难度系数 * 系数1 + (目标时间 – 该局战斗时间) * 系数2,2
,HeroTopRankingNumber,排行榜记录成绩的数量,100
,HeroScoreMultiplierLv1,难度系数1,10
,HeroScoreMultiplierLv2,难度系数2,60
,HeroScoreMultiplierLv3,难度系数3,100
掉率增加Tips,MagicTipsRatio,tips提示出现概率,5000
箭矢道具ID段,ArrowItemIDRange,箭矢类道具ID段,2021001|2021999
枯树枝招怪配置,ItemSummonConfig,招怪在前方X米=若为阻挡则在自身X米范围内,4=4
ROLL点翻牌掉落配置,WeightQuality,权重对应品质,1=40=1|41=60=2|61=80=3|81=100=4
,Last,翻牌剩余牌的道具品质,1=30=1|31=50=2|51=100=2
,RollAutoCloseTime,ROLL点界面自动关闭时间(秒),10
可拾取BUFF配置,DropBuffLootDistance,掉落BUFF客户端可拾取距离（米）,2
,DropBuffServerLootDistance,掉落BUFF服务器可拾取距离（米）,3
,DropBuffLockTime,掉落BUFF出现后多少秒可以拾取（秒）,0.5
助战奖励相关,AssistAwardPercent,助战奖励分级（萌新|回流|小号|正常）,80|80|20|0
,AssistDungeonTypeList,助战奖励可使用的副本类型,2|7|13|19|26
,AssistLableText,助战文本显示,AssistTextKey
,AssistAdditionalTime,助战额外时间,10
,MvpAllianceRange,MVP怪物联动范围,20
副本内召唤按钮相关,ShowAddMonsterBtnDungeonID,显示召唤怪物按钮的副本Id,0
,AddNormalMonsterGroupId,召唤普通怪物的GroupId,0
,AddEliteMonsterGroupId,召唤精英怪物的GroupId,0
,AddNormalMonsterEntityId,判断显示召唤普通怪按钮显示的怪物Id,0
,AddEliteMonsterEntityId,判断显示召唤精英怪按钮显示的怪物Id,0
大秘境配置,GreatSecretWeekActivityLimit,周低保奖励次数,5
,GreatSecretRefreshDay,周刷新时间（星期几）,1|3|5
,FreshMaskEveryWeek,每周活动刷新时间点,4
,SeedTimeStamp,刷怪原始种子数,1546436834
,GreatSecretWeeklyAward,大秘境周活跃奖励,8000020
,ThemeDungeonAffixIndex,大秘境词缀抽取库,2000
,BookDragSpeed,书本拖动速度,1
,BookRotAngle,书本旋转角度,90
,ThemeDungeonsDynamicBuffID,主题副本人物动态属性BuffID,945801
,AbilityRecommendDanMuCD,实力推荐弹幕CD,15
迷雾之森迷宫副本,MazeWaittingTime,迷宫中只有队长站立在传送区域时，触发传送的等待时间（单位：秒）,5
,MazeSingleRandomRoomNum,迷宫中随机的单个房间数量,5
,RouletteWaittingTime1,转盘第一段等待时间（高速旋转）（单位:秒）,2
,RouletteWaittingTime2,转盘第二段等待时间（速度变缓至停止）（单位:秒）,3
,RouletteWaittingTime3,转盘第一段等待时间（轮盘停止后至关闭的等待时间）（单位:秒）,2
,MazeBossRoomRange,迷宫中boss可以随机的房间,1|2|3|4|5|6|7|8|9|10|11|12
,MazeRoomReviveTime,迷宫中团灭后的复活等待时间（单位:秒）,5
,MazeVictoryUICountDown,迷宫胜利UI显示倒计时,3
布怪,WeatherDeleteWaveDelayTime,指定天气刷新怪物在天气结束后的删除时间（单位：秒）,10
躲避球副本,DBQRageTime,躲避球狂暴时间（单位：秒）,70=Ultimate1
,DBQTotalTime,躲避球总时间（单位：秒）,100
,DBQPlayerHp,躲避球玩家血量格,5
,DBQCameraRot,躲避球相机角度,50=0=0
,DBQCameraFov,躲避球相机广角,32
,DBQCameraPos,躲避球相机位置,48.6=34.3=25.5
抢滩登陆副本,QTDLCameraCtrlX,控制摄像机(x),0.06
,QTDLCameraCtrl,"控制摄像机(y,z,fov)",1.5|0.02|60
,QTDLStartRotateY,控制摄像机俯仰角,-15
,QTDLCameraRotMax,镜头旋转最大值（左右|上下）,50|10
,QTDLMaxBlood,最大血量,5
,QTDLShootSkill,射击按下技能+抬起技能,1000761301|1000761201
,QTDLRotateSpeedX,镜头横向旋转速度,0.7
,QTDLRotateSpeedY,镜头纵向旋转速度,0.7
3V3副本,ThreeToThreeDungeonIds,假组队副本ID组,2072|2073|2074|2075|2076|2077
跟踪副本,FollowKeepingTime,脱距提示倒计时（单位：秒）,10
角斗场,CustomArenaMaxRoomAmount,PVP角斗场最大房间数,200
,CustomArenaPrepAreaMaxLife,PVP角斗场等候区最大生命周期（秒）,300
,CustomArenaDungeonId,PVP角斗场战斗副本ID,6151
,CustomArenaButtonCD,PVP角斗场按钮CD（秒）,30
,CustomArenaDefaultRoomName,PVP角斗场默认房间名的文本key,PVP_DEFAULT_ROOM_NAME
,AutoFindingOnTheMountDis,自动寻路上坐骑距离,7
仇恨表现,UseHatredArrowMonsterType,仇恨改变使用箭头的怪物类型,5
,HatredFxPrefabPath,仇恨特效prefab,Effects/Prefabs/Creature/Skill/Fx_Skill_ChouHengZhuanYi_02
,HatredFxOffsetZCurve,Z曲线路径,Curve/Skill_ChouHen_Zd
,HatredFxOffsetPosition,中心偏移值（X1=Y1=Z1)=目标点偏移值（X2=Y2=Z2）,0=4=0=0=1.8=0
,HatredFxInitTime,特效运行时间（秒，浮点）,0.4
,HatredFxStayTime,特效运行后滞留时间（秒，浮点）,0.3
自动战斗,AutoBattleRangeRadius,自动战斗范围半径（原地|半屏圈|半屏圈|全地图）,0|7|14|-1
,ShowPlayerAvatarTimeWhenAutoBattle,自动战斗时显示目标头像框时间（秒）,5
,AutoUseBlueDrugCD,自动使用蓝药CD时间,0.2
镜头特效,CameraFxViewRadius,镜头特效显示范围,25
塔防相关,TdNextWaveCountDownMax,下一波开始前多少秒显示倒计时和“下一波”按钮,15
,TdNextWaveCountDownWaitTime,场上没有敌人时，等待多少秒后触发倒计时。和上一个条件共存，任何一个先满足都会触发倒计时,2
,TdManaRate,魔力增长的速度（每隔多少秒=增加多少魔力）,1=1
,TdCoopModeEntryWaves,在单人玩法中触发到当前波数才能参加双人玩法,10
,TdMinWavesRequired,达到该波数才触发结算并扣除次数,2
,TdMaxPlayerLives,玩家最大生命数,3
,TdMaxConcurrentWaves,最大同时存在波数,10
,TdUnitSpawnRange,英灵出生范围半径为召唤阵半径的多少比例（100代表100%）,80
,TdTreeLifeColorBoundaries,塔防树根血条的颜色。形式为“分界点A=分界点B”（100~分界点A：绿色，分界点A~分界点B：黄色，分界点B~0：红色）,60=30
,TdWeeklyQuestAwardMail,没有领取周任务奖励时发送的邮件id,5201
,TdWeeklyQuestRefreshEnum,周任务奖励的刷新枚举（对应CountTable的刷新枚举类型）,4
,TdInterlude,通常模式和无尽模式之间的等待时间（秒）,5
,TdEndlessFirstWaveTimeReduction,无尽模式第一波前置时间的减少时间（秒）,25
,TdSkipManaFactor,直接进入下一波时补偿魔力的系数（150表示1.5）,150
,TdNewWeeklySingleLimitServerLv,触发新单人周次数限制的服务器等级,55
佣兵系统,TalentBreakDuration,天赋强化持续时间（小时）,72
,TalentBreakLimitLevel,天赋强化开启等级,40
,TalentResetCost,天赋重置消耗,101=250000
,LevelUpItemCost,升级消耗道具及提升经验,3027001=2000|3027002=10000|3027003=50000
,BattleUnlockLimit,上阵栏位解锁条件（任务 0=默认开启 -1=默认不开启）,0|20100000|-1
,ReviveTimeConfig,佣兵复活时间配置（初始复活时间=每次增加时间=上限复活时间=重置时间）,20=10=60=1800
,FollowingRange,佣兵跟随玩家半径（米）,2
,MercenaryReviveHPPecent,佣兵复活血量百分比,90
,MercenarySkillSlotNum,佣兵技能槽个数,7
,MercenarySelectedID,佣兵选择推荐ID,101|111|121|131|151
,MercenaryRecruitSuccessTime,佣兵招募成功界面等待时间（秒）,3
,MercenaryRecommendSwitch,佣兵推荐等级设置（达到等级后不再显示）,60
,MercenaryAutoDevSwitch,佣兵喝药开启等级,20
公会匹配赛相关,G_MatchMatchingGroupSize,公会排行榜上，每x个公会为一组，组内两两匹配,2
,G_MatchTotalSize,总共前多少名的公会可以参加？,100
,G_MatchManagementTimeFrame,比赛开始前多少时间范围内可以进行队伍管理（秒，最小值=最大值）,180=3600
,G_MatchCountDownBeforeBattle,每局战斗开始时的倒计时（秒）,10
,G_MatchIntermissionTime,中场休息时间（秒）,60
,G_MatchBattleTeamSize,战斗队伍人数（最小允许人数=最大允许人数）,3=5
,G_MatchCheeringTeamSize,拉拉队人数（最小允许人数=最大允许人数）,1=5
,G_MatchPrepSceneId,等候区场景ID（对应SceneTable）,1009
,G_MatchBattleDungeonId,战斗副本ID（对应DungeonsTable）,6152
,G_MatchPointsPerPlayer,每个上场战斗玩家的初始分数,5
,G_MatchFlowerCalcInterval,每隔多少秒结算一次双方队伍的鲜花总数,60
,G_MatchFlowerId,鲜花道具ID,2050009
,G_MatchMembershipTimeMin,加入公会多少个小时以后才能参加公会匹配赛？（小时）,24
,G_MatchBattleRounds,总战斗轮数,3
,G_MatchRoundInterval,一场战斗开始后隔多久开始第二场战斗,420
,G_MatchEntryTime,决定公会参赛资格并匹配的时间点，“2000”表示“20:00”,500
,G_MatchApplicationEndTime,报名截止并开放等候区的时间，“2000”表示“20:00”,2055
,G_MatchEntrustFlowerMilestones,匹配赛当天，消耗20/40/60委托券时给鲜花奖励包,10|20|40|60|80
,G_MatchFlowerAwardId,鲜花奖励包ID,8000030
,G_MatchFlowerStartTime,开始发放鲜花的时间，“2000”表示“20:00”,500
,G_MatchFlowerEndTime,结束发放鲜花的时间，“2000”表示“20:00”,2100
,G_MatchFlowerBuffThreshold,获得多少鲜花可以触发鲜花buff,30
,G_MatchFlowerBuffId,鲜花buffid,908201
,G_MatchGiveFlowerButtonCD,赠送鲜花的CD时间（秒),3
,G_MatchWatchRewardMailId,给观战了己方公会的匹配赛的玩家发的邮件ID,1106
,G_MatchWinRewardMailId,给胜方公会会长发的邮件ID，里面有大量公会贡献,1107
,G_MatchLoseRewardMailId,给负方公会会长发的邮件ID，里面有较多公会贡献,1108
,G_MatchWinAuctionAwardId,进胜方公会拍卖的奖励包ID,2090890
,G_MatchLoseAuctionAwardId,进负方公会拍卖的奖励包ID,2090900
,G_MatchNotificationTiming,一场比赛开始后多少秒在公会频道发消息,60|120
,G_MatchButtonCD,按钮CD时间（秒）,3
,G_MatchGiftBoxes,公会匹配赛礼盒（胜方礼盒数=负方礼盒数）,10=5
,G_MatchSummonBtnCD,召集勇士按钮的CD时间（秒）,30
公会魅力相关,G_BeautyPosition_A1_1,公会团宠角色1坐标,44.44=25.29=35=0
,G_BeautyPosition_B1_1,公会团宠角色2坐标,37.84=25.78=31.97=0.00
,G_BeautyPosition_B1_2,公会团宠角色3坐标,41.12=25.72=35.06=270.00
,G_BeautyPosition_C1_1,公会团宠角色4坐标,36.64=25.16=40.93=0
,G_BeautyPosition_C1_2,公会团宠角色5坐标,39.54=25.16=41.74=0
,G_BeautyPosition_C1_3,公会团宠角色6坐标,37.38=25.16=38.48=0
,G_BeautyPosition_D1_1,公会团宠角色7坐标,65=25.11=42=0
,G_BeautyPosition_D1_2,公会团宠角色8坐标,68=25.11=39=0
,G_BeautyPosition_D1_3,公会团宠角色9坐标,65=25.11=36=0
,G_BeautyPosition_D1_4,公会团宠角色10坐标,62=25.11=39=0
,G_BeautyBehavior_A1_1,公会团宠行为1角色1,0=Dungeon_GongHuiMeiLi_A1_Role1
,G_BeautyBehavior_B1_1,公会团宠行为2角色1,27061=Dungeon_GongHuiMeiLi_B1_Role1
,G_BeautyBehavior_B1_2,公会团宠行为2角色2,27062=Dungeon_GongHuiMeiLi_B1_Role2
,G_BeautyBehavior_C1_1,公会团宠行为3角色1,27063=Dungeon_GongHuiMeiLi_C1_Role1
,G_BeautyBehavior_C1_2,公会团宠行为3角色2,27064=Dungeon_GongHuiMeiLi_C1_Role2
,G_BeautyBehavior_C1_3,公会团宠行为3角色2,27065=Dungeon_GongHuiMeiLi_C1_Role3
,G_BeautyBehavior_D1_1,公会团宠行为4角色1,27066=Dungeon_GongHuiMeiLi_D1_Role1
,G_BeautyBehavior_D1_2,公会团宠行为4角色2,27067=Dungeon_GongHuiMeiLi_D1_Role2
