ID,Comment,DungeonID,WaveID,Type,RandomProb
64,古城友方NPC4,7203,34,9,29655=100|29656=100|29658=100|29659=100|29660=100
65,古城友方NPC5,7203,35,9,29655=100|29656=100|29658=100|29659=100|29660=100
66,古城友方NPC6,7203,36,9,29655=100|29656=100|29658=100|29659=100|29660=100
67,古城友方NPC7,7203,37,9,29655=100|29656=100|29658=100|29659=100|29660=100
68,古城友方NPC8,7203,38,9,29655=100|29656=100|29658=100|29659=100|29660=100
69,古城友方NPC9,7203,39,9,29655=100|29656=100|29658=100|29659=100|29660=100
70,古城友方NPC10,7203,40,9,29655=100|29656=100|29658=100|29659=100|29660=100
71,怪物增殖小怪,7203,41,1,29525=100|29526=100|29528=100|29529=100|29530=100|29531=100|29532=100|29533=100|29534=100|29535=100|29536=100
72,怪物增殖精英怪,7203,42,1,29601=100|29602=100|29604=100|29605=100|29606=100|29607=100|29608=100|29609=100|29610=100|29611=100|29612=100|29613=100|29614=100|29615=100|29616=100|29617=100|29618=100|29619=100|29620=100|29621=100|29622=100|29623=100|29624=100|29625=100
73,高塔协议召怪,7203,43,4,29626=100|29627=100|29628=100|29629=100|29630=100
74,陷阱塔随机小怪,7203,44,5,29525=100|29526=100|29528=100|29529=100|29530=100|29531=100|29532=100|29533=100|29534=100|29535=100|29536=100
75,陷阱塔随机精英怪,7203,45,6,29626=100|29627=100|29628=100|29629=100|29630=100
76,海底小怪1,7204,12,1,29537=100|29538=100|29540=100|29541=100|29542=100|29543=100|29544=100|29545=100|29546=100|29547=100|29548=100
77,海底小怪2,7204,13,1,29537=100|29538=100|29540=100|29541=100|29542=100|29543=100|29544=100|29545=100|29546=100|29547=100|29548=100
78,海底小怪3,7204,14,1,29537=100|29538=100|29540=100|29541=100|29542=100|29543=100|29544=100|29545=100|29546=100|29547=100|29548=100
79,海底小怪4,7204,15,1,29537=100|29538=100|29540=100|29541=100|29542=100|29543=100|29544=100|29545=100|29546=100|29547=100|29548=100
80,海底精英1,7204,16,1,29601=100|29602=100|29604=100|29605=100|29606=100|29607=100|29608=100|29609=100|29610=100|29611=100|29612=100|29613=100|29614=100|29615=100|29616=100|29617=100|29618=100|29619=100|29620=100|29621=100|29622=100|29623=100|29624=100|29625=100
81,海底精英2,7204,17,1,29601=100|29602=100|29604=100|29605=100|29606=100|29607=100|29608=100|29609=100|29610=100|29611=100|29612=100|29613=100|29614=100|29615=100|29616=100|29617=100|29618=100|29619=100|29620=100|29621=100|29622=100|29623=100|29624=100|29625=100
82,海底BOSS,7204,18,3,29631=100|29632=100|29634=100|29635=100|29636=100|29637=100|29638=100|29639=100|29640=100|29641=100|29642=100|29643=100|29644=100|29645=100|29646=100
83,海底结束NPC,7204,46,10,
84,采集物神龛,7204,0,11,
85,海底神龛1,7204,19,7,29335=100|29336=100|29337=100|29338=100|29339=100|29340=100|29341=100|29342=100
86,海底友方NPC1,7204,31,9,29655=100|29656=100|29658=100|29659=100|29660=100
87,海底友方NPC2,7204,32,9,29655=100|29656=100|29658=100|29659=100|29660=100
88,海底友方NPC3,7204,33,9,29655=100|29656=100|29658=100|29659=100|29660=100
89,海底友方NPC4,7204,34,9,29655=100|29656=100|29658=100|29659=100|29660=100
90,海底友方NPC5,7204,35,9,29655=100|29656=100|29658=100|29659=100|29660=100
91,海底友方NPC6,7204,36,9,29655=100|29656=100|29658=100|29659=100|29660=100
92,海底友方NPC7,7204,37,9,29655=100|29656=100|29658=100|29659=100|29660=100
93,海底友方NPC8,7204,38,9,29655=100|29656=100|29658=100|29659=100|29660=100
94,海底友方NPC9,7204,39,9,29655=100|29656=100|29658=100|29659=100|29660=100
95,海底友方NPC10,7204,40,9,29655=100|29656=100|29658=100|29659=100|29660=100
96,怪物增殖小怪,7204,41,1,29537=100|29538=100|29540=100|29541=100|29542=100|29543=100|29544=100|29545=100|29546=100|29547=100|29548=100
97,怪物增殖精英怪,7204,42,1,29601=100|29602=100|29604=100|29605=100|29606=100|29607=100|29608=100|29609=100|29610=100|29611=100|29612=100|29613=100|29614=100|29615=100|29616=100|29617=100|29618=100|29619=100|29620=100|29621=100|29622=100|29623=100|29624=100|29625=100
98,高塔协议召怪,7204,43,4,29626=100|29627=100|29628=100|29629=100|29630=100
99,陷阱塔随机小怪,7204,44,5,29537=100|29538=100|29540=100|29541=100|29542=100|29543=100|29544=100|29545=100|29546=100|29547=100|29548=100
100,陷阱塔随机精英怪,7204,45,6,29626=100|29627=100|29628=100|29629=100|29630=100
101,鬼城小怪1,7205,12,1,29549=100|29550=100|29552=100|29553=100|29554=100|29555=100|29556=100|29557=100|29558=100|29559=100|29560=100
102,鬼城小怪2,7205,13,1,29549=100|29550=100|29552=100|29553=100|29554=100|29555=100|29556=100|29557=100|29558=100|29559=100|29560=100
103,鬼城小怪3,7205,14,1,29549=100|29550=100|29552=100|29553=100|29554=100|29555=100|29556=100|29557=100|29558=100|29559=100|29560=100
104,鬼城小怪4,7205,15,1,29549=100|29550=100|29552=100|29553=100|29554=100|29555=100|29556=100|29557=100|29558=100|29559=100|29560=100
105,鬼城精英1,7205,16,1,29601=100|29602=100|29604=100|29605=100|29606=100|29607=100|29608=100|29609=100|29610=100|29611=100|29612=100|29613=100|29614=100|29615=100|29616=100|29617=100|29618=100|29619=100|29620=100|29621=100|29622=100|29623=100|29624=100|29625=100
106,鬼城精英2,7205,17,1,29601=100|29602=100|29604=100|29605=100|29606=100|29607=100|29608=100|29609=100|29610=100|29611=100|29612=100|29613=100|29614=100|29615=100|29616=100|29617=100|29618=100|29619=100|29620=100|29621=100|29622=100|29623=100|29624=100|29625=100
107,鬼城BOSS,7205,18,3,29631=100|29632=100|29634=100|29635=100|29636=100|29637=100|29638=100|29639=100|29640=100|29641=100|29642=100|29643=100|29644=100|29645=100|29646=100
108,鬼城结束NPC,7205,46,10,
109,采集物神龛,7205,0,11,
110,鬼城神龛1,7205,19,7,29343=100|29344=100|29345=100|29346=100|29347=100|29348=100|29349=100|29350=100
111,鬼城友方NPC1,7205,31,9,29655=100|29656=100|29658=100|29659=100|29660=100
112,鬼城友方NPC2,7205,32,9,29655=100|29656=100|29658=100|29659=100|29660=100
113,鬼城友方NPC3,7205,33,9,29655=100|29656=100|29658=100|29659=100|29660=100
114,鬼城友方NPC4,7205,34,9,29655=100|29656=100|29658=100|29659=100|29660=100
115,鬼城友方NPC5,7205,35,9,29655=100|29656=100|29658=100|29659=100|29660=100
116,鬼城友方NPC6,7205,36,9,29655=100|29656=100|29658=100|29659=100|29660=100
117,鬼城友方NPC7,7205,37,9,29655=100|29656=100|29658=100|29659=100|29660=100
118,鬼城友方NPC8,7205,38,9,29655=100|29656=100|29658=100|29659=100|29660=100
119,鬼城友方NPC9,7205,39,9,29655=100|29656=100|29658=100|29659=100|29660=100
120,鬼城友方NPC10,7205,40,9,29655=100|29656=100|29658=100|29659=100|29660=100
121,怪物增殖小怪,7205,41,1,29549=100|29550=100|29552=100|29553=100|29554=100|29555=100|29556=100|29557=100|29558=100|29559=100|29560=100
122,怪物增殖精英怪,7205,42,1,29601=100|29602=100|29604=100|29605=100|29606=100|29607=100|29608=100|29609=100|29610=100|29611=100|29612=100|29613=100|29614=100|29615=100|29616=100|29617=100|29618=100|29619=100|29620=100|29621=100|29622=100|29623=100|29624=100|29625=100
123,高塔协议召怪,7205,43,4,29626=100|29627=100|29628=100|29629=100|29630=100
124,陷阱塔随机小怪,7205,44,5,29549=100|29550=100|29552=100|29553=100|29554=100|29555=100|29556=100|29557=100|29558=100|29559=100|29560=100
125,陷阱塔随机精英怪,7205,45,6,29626=100|29627=100|29628=100|29629=100|29630=100
126,花园小怪1,7206,12,1,29561=100|29562=100|29564=100|29565=100|29566=100|29567=100|29568=100|29569=100|29570=100|29571=100|29572=100
127,花园小怪2,7206,13,1,29561=100|29562=100|29564=100|29565=100|29566=100|29567=100|29568=100|29569=100|29570=100|29571=100|29572=100
128,花园小怪3,7206,14,1,29561=100|29562=100|29564=100|29565=100|29566=100|29567=100|29568=100|29569=100|29570=100|29571=100|29572=100
129,花园小怪4,7206,15,1,29561=100|29562=100|29564=100|29565=100|29566=100|29567=100|29568=100|29569=100|29570=100|29571=100|29572=100
130,花园精英1,7206,16,1,29601=100|29602=100|29604=100|29605=100|29606=100|29607=100|29608=100|29609=100|29610=100|29611=100|29612=100|29613=100|29614=100|29615=100|29616=100|29617=100|29618=100|29619=100|29620=100|29621=100|29622=100|29623=100|29624=100|29625=100
131,花园精英2,7206,17,1,29601=100|29602=100|29604=100|29605=100|29606=100|29607=100|29608=100|29609=100|29610=100|29611=100|29612=100|29613=100|29614=100|29615=100|29616=100|29617=100|29618=100|29619=100|29620=100|29621=100|29622=100|29623=100|29624=100|29625=100
132,花园BOSS,7206,18,3,29631=100|29632=100|29634=100|29635=100|29636=100|29637=100|29638=100|29639=100|29640=100|29641=100|29642=100|29643=100|29644=100|29645=100|29646=100
133,花园结束NPC,7206,46,10,
134,采集物神龛,7206,0,11,
135,花园神龛1,7206,19,7,29351=100|29352=100|29353=100|29354=100|29355=100|29356=100|29357=100|29358=100
136,花园友方NPC1,7206,31,9,29655=100|29656=100|29658=100|29659=100|29660=100
137,花园友方NPC2,7206,32,9,29655=100|29656=100|29658=100|29659=100|29660=100
138,花园友方NPC3,7206,33,9,29655=100|29656=100|29658=100|29659=100|29660=100
139,花园友方NPC4,7206,34,9,29655=100|29656=100|29658=100|29659=100|29660=100
140,花园友方NPC5,7206,35,9,29655=100|29656=100|29658=100|29659=100|29660=100
141,花园友方NPC6,7206,36,9,29655=100|29656=100|29658=100|29659=100|29660=100
142,花园友方NPC7,7206,37,9,29655=100|29656=100|29658=100|29659=100|29660=100
143,花园友方NPC8,7206,38,9,29655=100|29656=100|29658=100|29659=100|29660=100
144,花园友方NPC9,7206,39,9,29655=100|29656=100|29658=100|29659=100|29660=100
145,花园友方NPC10,7206,40,9,29655=100|29656=100|29658=100|29659=100|29660=100
146,怪物增殖小怪,7206,41,1,29561=100|29562=100|29564=100|29565=100|29566=100|29567=100|29568=100|29569=100|29570=100|29571=100|29572=100
147,怪物增殖精英怪,7206,42,1,29601=100|29602=100|29604=100|29605=100|29606=100|29607=100|29608=100|29609=100|29610=100|29611=100|29612=100|29613=100|29614=100|29615=100|29616=100|29617=100|29618=100|29619=100|29620=100|29621=100|29622=100|29623=100|29624=100|29625=100
148,高塔协议召怪,7206,43,4,29626=100|29627=100|29628=100|29629=100|29630=100
149,陷阱塔随机小怪,7206,44,5,29561=100|29562=100|29564=100|29565=100|29566=100|29567=100|29568=100|29569=100|29570=100|29571=100|29572=100
150,陷阱塔随机精英怪,7206,45,6,29626=100|29627=100|29628=100|29629=100|29630=100
151,钟塔小怪1,7207,12,1,29573=100|29574=100|29576=100|29577=100|29578=100|29579=100|29580=100|29581=100|29582=100|29583=100|29584=100
152,钟塔小怪2,7207,13,1,29573=100|29574=100|29576=100|29577=100|29578=100|29579=100|29580=100|29581=100|29582=100|29583=100|29584=100
153,钟塔小怪3,7207,14,1,29573=100|29574=100|29576=100|29577=100|29578=100|29579=100|29580=100|29581=100|29582=100|29583=100|29584=100
154,钟塔小怪4,7207,15,1,29573=100|29574=100|29576=100|29577=100|29578=100|29579=100|29580=100|29581=100|29582=100|29583=100|29584=100
155,钟塔精英1,7207,16,1,29601=100|29602=100|29604=100|29605=100|29606=100|29607=100|29608=100|29609=100|29610=100|29611=100|29612=100|29613=100|29614=100|29615=100|29616=100|29617=100|29618=100|29619=100|29620=100|29621=100|29622=100|29623=100|29624=100|29625=100
156,钟塔精英2,7207,17,1,29601=100|29602=100|29604=100|29605=100|29606=100|29607=100|29608=100|29609=100|29610=100|29611=100|29612=100|29613=100|29614=100|29615=100|29616=100|29617=100|29618=100|29619=100|29620=100|29621=100|29622=100|29623=100|29624=100|29625=100
157,钟塔BOSS,7207,18,3,29631=100|29632=100|29634=100|29635=100|29636=100|29637=100|29638=100|29639=100|29640=100|29641=100|29642=100|29643=100|29644=100|29645=100|29646=100
158,钟塔结束NPC,7207,46,10,
159,采集物神龛,7207,0,11,
160,钟塔神龛1,7207,19,7,29359=100|29360=100|29361=100|29362=100|29363=100|29364=100|29365=100|29366=100
161,钟塔友方NPC1,7207,31,9,29655=100|29656=100|29658=100|29659=100|29660=100
162,钟塔友方NPC2,7207,32,9,29655=100|29656=100|29658=100|29659=100|29660=100
163,钟塔友方NPC3,7207,33,9,29655=100|29656=100|29658=100|29659=100|29660=100
164,钟塔友方NPC4,7207,34,9,29655=100|29656=100|29658=100|29659=100|29660=100
165,钟塔友方NPC5,7207,35,9,29655=100|29656=100|29658=100|29659=100|29660=100
166,钟塔友方NPC6,7207,36,9,29655=100|29656=100|29658=100|29659=100|29660=100
167,钟塔友方NPC7,7207,37,9,29655=100|29656=100|29658=100|29659=100|29660=100
168,钟塔友方NPC8,7207,38,9,29655=100|29656=100|29658=100|29659=100|29660=100
169,钟塔友方NPC9,7207,39,9,29655=100|29656=100|29658=100|29659=100|29660=100
170,钟塔友方NPC10,7207,40,9,29655=100|29656=100|29658=100|29659=100|29660=100
171,怪物增殖小怪,7207,41,1,29573=100|29574=100|29576=100|29577=100|29578=100|29579=100|29580=100|29581=100|29582=100|29583=100|29584=100
172,怪物增殖精英怪,7207,42,1,29601=100|29602=100|29604=100|29605=100|29606=100|29607=100|29608=100|29609=100|29610=100|29611=100|29612=100|29613=100|29614=100|29615=100|29616=100|29617=100|29618=100|29619=100|29620=100|29621=100|29622=100|29623=100|29624=100|29625=100
173,高塔协议召怪,7207,43,4,29626=100|29627=100|29628=100|29629=100|29630=100
174,陷阱塔随机小怪,7207,44,5,29573=100|29574=100|29576=100|29577=100|29578=100|29579=100|29580=100|29581=100|29582=100|29583=100|29584=100
175,陷阱塔随机精英怪,7207,45,6,29626=100|29627=100|29628=100|29629=100|29630=100
176,波利小怪1,7208,12,1,29585=100|29586=100|29588=100|29589=100|29590=100|29591=100|29592=100|29593=100|29594=100|29595=100|29596=100
177,波利小怪2,7208,13,1,29585=100|29586=100|29588=100|29589=100|29590=100|29591=100|29592=100|29593=100|29594=100|29595=100|29596=100
178,波利小怪3,7208,14,1,29585=100|29586=100|29588=100|29589=100|29590=100|29591=100|29592=100|29593=100|29594=100|29595=100|29596=100
179,波利小怪4,7208,15,1,29585=100|29586=100|29588=100|29589=100|29590=100|29591=100|29592=100|29593=100|29594=100|29595=100|29596=100
180,波利精英1,7208,16,1,29601=100|29602=100|29604=100|29605=100|29606=100|29607=100|29608=100|29609=100|29610=100|29611=100|29612=100|29613=100|29614=100|29615=100|29616=100|29617=100|29618=100|29619=100|29620=100|29621=100|29622=100|29623=100|29624=100|29625=100
181,波利精英2,7208,17,1,29601=100|29602=100|29604=100|29605=100|29606=100|29607=100|29608=100|29609=100|29610=100|29611=100|29612=100|29613=100|29614=100|29615=100|29616=100|29617=100|29618=100|29619=100|29620=100|29621=100|29622=100|29623=100|29624=100|29625=100
182,波利BOSS,7208,18,3,29631=100|29632=100|29634=100|29635=100|29636=100|29637=100|29638=100|29639=100|29640=100|29641=100|29642=100|29643=100|29644=100|29645=100|29646=100
183,波利结束NPC,7208,46,10,
184,采集物神龛,7208,0,11,
185,波利神龛1,7208,19,7,29367=100|29368=100|29369=100|29370=100|29371=100|29372=100|29373=100|29374=100
186,波利友方NPC1,7208,31,9,29655=100|29656=100|29658=100|29659=100|29660=100
187,波利友方NPC2,7208,32,9,29655=100|29656=100|29658=100|29659=100|29660=100
188,波利友方NPC3,7208,33,9,29655=100|29656=100|29658=100|29659=100|29660=100
189,波利友方NPC4,7208,34,9,29655=100|29656=100|29658=100|29659=100|29660=100
190,波利友方NPC5,7208,35,9,29655=100|29656=100|29658=100|29659=100|29660=100
191,波利友方NPC6,7208,36,9,29655=100|29656=100|29658=100|29659=100|29660=100
192,波利友方NPC7,7208,37,9,29655=100|29656=100|29658=100|29659=100|29660=100
193,波利友方NPC8,7208,38,9,29655=100|29656=100|29658=100|29659=100|29660=100
194,波利友方NPC9,7208,39,9,29655=100|29656=100|29658=100|29659=100|29660=100
195,波利友方NPC10,7208,40,9,29655=100|29656=100|29658=100|29659=100|29660=100
196,怪物增殖小怪,7208,41,1,29585=100|29586=100|29588=100|29589=100|29590=100|29591=100|29592=100|29593=100|29594=100|29595=100|29596=100
197,怪物增殖精英怪,7208,42,1,29601=100|29602=100|29604=100|29605=100|29606=100|29607=100|29608=100|29609=100|29610=100|29611=100|29612=100|29613=100|29614=100|29615=100|29616=100|29617=100|29618=100|29619=100|29620=100|29621=100|29622=100|29623=100|29624=100|29625=100
198,高塔协议召怪,7208,43,4,29626=100|29627=100|29628=100|29629=100|29630=100
199,陷阱塔随机小怪,7208,44,5,29585=100|29586=100|29588=100|29589=100|29590=100|29591=100|29592=100|29593=100|29594=100|29595=100|29596=100
200,陷阱塔随机精英怪,7208,45,6,29626=100|29627=100|29628=100|29629=100|29630=100
201,BOSS层小怪1,7209,0,1,29597=100|29598=100|29600=100|29599=100
202,BOSS层BOSS,7209,1,3,29631=100|29632=100|29634=100|29635=100|29636=100|29637=100|29638=100|29639=100|29640=100|29641=100|29642=100|29643=100|29644=100|29645=100|29646=100
203,BOSS层结束NPC,7209,2,10,
204,森林小怪1,7211,0,1,29501=100|29502=100|29504=100|29505=100|29506=100|29507=100|29508=100|29509=100|29510=100|29511=100|29512=100
205,森林小怪2,7211,1,1,29501=100|29502=100|29504=100|29505=100|29506=100|29507=100|29508=100|29509=100|29510=100|29511=100|29512=100
206,森林小怪3,7211,2,1,29501=100|29502=100|29504=100|29505=100|29506=100|29507=100|29508=100|29509=100|29510=100|29511=100|29512=100
207,森林小怪4,7211,3,1,29501=100|29502=100|29504=100|29505=100|29506=100|29507=100|29508=100|29509=100|29510=100|29511=100|29512=100
208,森林精英1,7211,4,1,29601=100|29602=100|29604=100|29605=100|29606=100|29607=100|29608=100|29609=100|29610=100|29611=100|29612=100|29613=100|29614=100|29615=100|29616=100|29617=100|29618=100|29619=100|29620=100|29621=100|29622=100|29623=100|29624=100|29625=100
209,森林精英2,7211,5,1,29601=100|29602=100|29604=100|29605=100|29606=100|29607=100|29608=100|29609=100|29610=100|29611=100|29612=100|29613=100|29614=100|29615=100|29616=100|29617=100|29618=100|29619=100|29620=100|29621=100|29622=100|29623=100|29624=100|29625=100
210,森林BOSS,7211,6,3,29631=100|29632=100|29634=100|29635=100|29636=100|29637=100|29638=100|29639=100|29640=100|29641=100|29642=100|29643=100|29644=100|29645=100|29646=100
211,森林结束NPC,7211,7,10,
212,采集物神龛,7211,8,11,
213,森林神龛1,7211,9,7,29311=100|29312=100|29313=100|29314=100|29315=100|29316=100|29317=100|29318=100
214,森林友方NPC1,7211,32,9,29655=100|29656=100|29658=100|29659=100|29660=100
215,森林友方NPC2,7211,33,9,29655=100|29656=100|29658=100|29659=100|29660=100
216,森林友方NPC3,7211,34,9,29655=100|29656=100|29658=100|29659=100|29660=100
217,森林友方NPC4,7211,35,9,29655=100|29656=100|29658=100|29659=100|29660=100
218,森林友方NPC5,7211,36,9,29655=100|29656=100|29658=100|29659=100|29660=100
219,森林友方NPC6,7211,37,9,29655=100|29656=100|29658=100|29659=100|29660=100
220,森林友方NPC7,7211,38,9,29655=100|29656=100|29658=100|29659=100|29660=100
221,森林友方NPC8,7211,39,9,29655=100|29656=100|29658=100|29659=100|29660=100
222,森林友方NPC9,7211,40,9,29655=100|29656=100|29658=100|29659=100|29660=100
