Id,ShortId,EquipId,AttrName,Type,ShowDetail,FloorNum,TypeId,MatchId,ParentId,AttrTips,SubAttrDes
219,28,-1,受到天使种族魔物伤害减免%,2,0,1,4,,,受到天使种族魔物伤害减免%,
210,29,-1,对昆虫种族魔物伤害增加%,2,0,1,4,,,对昆虫种族魔物伤害增加%,
220,30,-1,受到昆虫种族魔物伤害减免%,2,0,1,4,,,受到昆虫种族魔物伤害减免%,
211,31,-1,对龙族种族魔物伤害增加%,2,0,1,4,,,对龙族种族魔物伤害增加%,
221,32,-1,受到龙族种族魔物伤害减免%,2,0,1,4,,,受到龙族种族魔物伤害减免%,
172,33,-1,风属性技能伤害增加%,2,0,1,4,,,风属性技能伤害增加%,
182,34,-1,受到风属性技能伤害减免%,2,0,1,4,,,受到风属性技能伤害减免%,
173,35,-1,地属性技能伤害增加%,2,0,1,4,,,地属性技能伤害增加%,
183,36,-1,受到地属性技能伤害减免%,2,0,1,4,,,受到地属性技能伤害减免%,
174,37,-1,火属性技能伤害增加%,2,0,1,4,,,火属性技能伤害增加%,
184,38,-1,受到火属性技能伤害减免%,2,0,1,4,,,受到火属性技能伤害减免%,
175,39,-1,水属性技能伤害增加%,2,0,1,4,,,水属性技能伤害增加%,
185,40,-1,受到水属性技能伤害减免%,2,0,1,4,,,受到水属性技能伤害减免%,
176,41,-1,无属性技能伤害增加%,2,0,1,4,,,无属性技能伤害增加%,
186,42,-1,受到无属性技能伤害减免%,2,0,1,4,,,受到无属性技能伤害减免%,
177,43,-1,圣属性技能伤害增加%,2,0,1,4,,,圣属性技能伤害增加%,
187,44,-1,受到圣属性技能伤害减免%,2,0,1,4,,,受到圣属性技能伤害减免%,
178,45,-1,暗属性技能伤害增加%,2,0,1,4,,,暗属性技能伤害增加%,
188,46,-1,受到暗属性技能伤害减免%,2,0,1,4,,,受到暗属性技能伤害减免%,
179,47,-1,念属性技能伤害增加%,2,0,1,4,,,念属性技能伤害增加%,
189,48,-1,受到念属性技能伤害减免%,2,0,1,4,,,受到念属性技能伤害减免%,
180,49,-1,不死属性技能伤害增加%,2,0,1,4,,,不死属性技能伤害增加%,
190,50,-1,受到不死属性技能伤害减免%,2,0,1,4,,,受到不死属性技能伤害减免%,
181,51,-1,毒性技能伤害增加%,2,0,1,4,,,毒性技能伤害增加%,
191,52,-1,受到毒属性技能伤害减免%,2,0,1,4,,,受到毒属性技能伤害减免%,
192,53,-1,对风属性魔物伤害增加%,2,0,1,4,,,对风属性魔物伤害增加%,
193,54,-1,对地属性魔物伤害增加%,2,0,1,4,,,对地属性魔物伤害增加%,
194,55,-1,对火属性魔物伤害增加%,2,0,1,4,,,对火属性魔物伤害增加%,
195,56,-1,对水属性魔物伤害增加%,2,0,1,4,,,对水属性魔物伤害增加%,
196,57,-1,对无属性魔物伤害增加%,2,0,1,4,,,对无属性魔物伤害增加%,
197,58,-1,对圣属性魔物伤害增加%,2,0,1,4,,,对圣属性魔物伤害增加%,
198,59,-1,对暗属性魔物伤害增加%,2,0,1,4,,,对暗属性魔物伤害增加%,
199,60,-1,对念属性魔物伤害增加%,2,0,1,4,,,对念属性魔物伤害增加%,
200,61,-1,对不死属性魔物伤害增加%,2,0,1,4,,,对不死属性魔物伤害增加%,
201,62,-1,对毒属性魔物伤害增加%,2,0,1,4,,,对毒属性魔物伤害增加%,
121,63,-1,装备物理攻击,2,0,0,2,,117,由角色装备或其他系统玩法获得的物理攻击,
123,64,-1,装备物理防御,2,0,0,2,,119,由角色装备或其他系统玩法获得的物理防御,
122,65,-1,装备魔法攻击,2,0,0,2,,118,由角色装备或其他系统玩法获得的魔法攻击,
124,66,-1,装备魔法防御,2,0,0,2,,120,由角色装备或其他系统玩法获得的魔法防御,
14,67,-1,力量Str,1,0,0,1,,13,每增加1点力量能够提供1点近战素质物理攻击、0.2点远程素质物理攻击以及0.5%近战类武器攻击；每增加1点素质力量能够提供30点负重上限,
18,68,-1,敏捷Agi,1,0,0,1,,17,每增加1点敏捷能够提供1点闪避、0.2点素质物理防御以及一定的攻速加成效果,
22,69,-1,体质Vit,1,0,0,1,,21,每增加1点体质能够提供1%自身生命上限、0.5素质物理防御、0.2素质魔法防御以及0.2生命回复效果,
16,70,-1,智力Int,1,0,0,1,,15,每增加1点智力能够提供1.5点素质魔法攻击、1%自身魔法上限、1点素质魔法防御、少量魔法回复效果以及减少少量技能吟唱时间,
20,71,-1,灵巧Dex,1,0,0,1,,19,每增加1点灵巧能够提供1点远程素质物理攻击、0.2点近战素质物理攻击、0.5%远程类武器攻击、0.2点素质魔法防御、1点命中少量的攻速加成以及少量技能吟唱时间缩减,
24,72,-1,幸运Luk,1,0,0,1,,23,每增加1点幸运能够提供0.3点暴击和0.2点暴击抵抗、0.2点素质物理攻击以及0.3点素质魔法攻击,
