ID,Comment,SceneNumber,GateSwitchId,Listeners,LuaFunction
场景ID,注释,场景序号（1外城2内城3水晶房）,大门开关ID,监听项（ID=参数=是否有公告。无参数的填-1，时间用毫秒）,Lua函数（公告函数|计分函数）
1623,GVG吉芬1_3,3,40511,0=-1=0|1=-1=0|4=-1=1|5=-1=0|8=-1=1|9=10000=0|10=-1=0|11=-1=0|12=-1=0|13=-1=0|17=6=0|17=7=0|18=6=0|18=7=0,GvgNotice|PVPScoreLt
1624,GVG吉芬2_1,1,40511,0=-1=0|1=-1=0|4=-1=1|5=-1=0|8=-1=1|9=10000=0|10=-1=0|11=-1=0|12=-1=0|13=-1=0|17=6=0|17=7=0|18=6=0|18=7=0,GvgNotice|PVPScoreLt
1625,GVG吉芬2_2,2,40511,0=-1=0|1=-1=0|4=-1=1|5=-1=0|8=-1=1|9=10000=0|10=-1=0|11=-1=0|12=-1=0|13=-1=0|17=6=0|17=7=0|18=6=0|18=7=0,GvgNotice|PVPScoreLt
1626,GVG吉芬2_3,3,40511,0=-1=0|1=-1=0|4=-1=1|5=-1=0|8=-1=1|9=10000=0|10=-1=0|11=-1=0|12=-1=0|13=-1=0|17=6=0|17=7=0|18=6=0|18=7=0,GvgNotice|PVPScoreLt
1627,GVG吉芬3_1,1,40511,0=-1=0|1=-1=0|4=-1=1|5=-1=0|8=-1=1|9=10000=0|10=-1=0|11=-1=0|12=-1=0|13=-1=0|17=6=0|17=7=0|18=6=0|18=7=0,GvgNotice|PVPScoreLt
1628,GVG吉芬3_2,2,40511,0=-1=0|1=-1=0|4=-1=1|5=-1=0|8=-1=1|9=10000=0|10=-1=0|11=-1=0|12=-1=0|13=-1=0|17=6=0|17=7=0|18=6=0|18=7=0,GvgNotice|PVPScoreLt
1629,GVG吉芬3_3,3,40511,0=-1=0|1=-1=0|4=-1=1|5=-1=0|8=-1=1|9=10000=0|10=-1=0|11=-1=0|12=-1=0|13=-1=0|17=6=0|17=7=0|18=6=0|18=7=0,GvgNotice|PVPScoreLt
1630,GVG吉芬4_1,1,40511,0=-1=0|1=-1=0|4=-1=1|5=-1=0|8=-1=1|9=10000=0|10=-1=0|11=-1=0|12=-1=0|13=-1=0|17=6=0|17=7=0|18=6=0|18=7=0,GvgNotice|PVPScoreLt
1631,GVG吉芬4_2,2,40511,0=-1=0|1=-1=0|4=-1=1|5=-1=0|8=-1=1|9=10000=0|10=-1=0|11=-1=0|12=-1=0|13=-1=0|17=6=0|17=7=0|18=6=0|18=7=0,GvgNotice|PVPScoreLt
1632,GVG吉芬4_3,3,40511,0=-1=0|1=-1=0|4=-1=1|5=-1=0|8=-1=1|9=10000=0|10=-1=0|11=-1=0|12=-1=0|13=-1=0|17=6=0|17=7=0|18=6=0|18=7=0,GvgNotice|PVPScoreLt
1641,GVG斐扬1_1,1,40512,0=-1=0|1=-1=0|4=-1=1|5=-1=0|8=-1=1|9=10000=0|10=-1=0|11=-1=0|12=-1=0|13=-1=0|17=6=0|17=7=0|18=6=0|18=7=0,GvgNotice|PVPScoreLt
1642,GVG斐扬1_2,2,40512,0=-1=0|1=-1=0|4=-1=1|5=-1=0|8=-1=1|9=10000=0|10=-1=0|11=-1=0|12=-1=0|13=-1=0|17=6=0|17=7=0|18=6=0|18=7=0,GvgNotice|PVPScoreLt
1643,GVG斐扬1_3,3,40512,0=-1=0|1=-1=0|4=-1=1|5=-1=0|8=-1=1|9=10000=0|10=-1=0|11=-1=0|12=-1=0|13=-1=0|17=6=0|17=7=0|18=6=0|18=7=0,GvgNotice|PVPScoreLt
1644,GVG斐扬2_1,1,40512,0=-1=0|1=-1=0|4=-1=1|5=-1=0|8=-1=1|9=10000=0|10=-1=0|11=-1=0|12=-1=0|13=-1=0|17=6=0|17=7=0|18=6=0|18=7=0,GvgNotice|PVPScoreLt
1645,GVG斐扬2_2,2,40512,0=-1=0|1=-1=0|4=-1=1|5=-1=0|8=-1=1|9=10000=0|10=-1=0|11=-1=0|12=-1=0|13=-1=0|17=6=0|17=7=0|18=6=0|18=7=0,GvgNotice|PVPScoreLt
1646,GVG斐扬2_3,3,40512,0=-1=0|1=-1=0|4=-1=1|5=-1=0|8=-1=1|9=10000=0|10=-1=0|11=-1=0|12=-1=0|13=-1=0|17=6=0|17=7=0|18=6=0|18=7=0,GvgNotice|PVPScoreLt
1647,GVG斐扬3_1,1,40512,0=-1=0|1=-1=0|4=-1=1|5=-1=0|8=-1=1|9=10000=0|10=-1=0|11=-1=0|12=-1=0|13=-1=0|17=6=0|17=7=0|18=6=0|18=7=0,GvgNotice|PVPScoreLt
1648,GVG斐扬3_2,2,40512,0=-1=0|1=-1=0|4=-1=1|5=-1=0|8=-1=1|9=10000=0|10=-1=0|11=-1=0|12=-1=0|13=-1=0|17=6=0|17=7=0|18=6=0|18=7=0,GvgNotice|PVPScoreLt
1649,GVG斐扬3_3,3,40512,0=-1=0|1=-1=0|4=-1=1|5=-1=0|8=-1=1|9=10000=0|10=-1=0|11=-1=0|12=-1=0|13=-1=0|17=6=0|17=7=0|18=6=0|18=7=0,GvgNotice|PVPScoreLt
1650,GVG斐扬4_1,1,40512,0=-1=0|1=-1=0|4=-1=1|5=-1=0|8=-1=1|9=10000=0|10=-1=0|11=-1=0|12=-1=0|13=-1=0|17=6=0|17=7=0|18=6=0|18=7=0,GvgNotice|PVPScoreLt
1651,GVG斐扬4_2,2,40512,0=-1=0|1=-1=0|4=-1=1|5=-1=0|8=-1=1|9=10000=0|10=-1=0|11=-1=0|12=-1=0|13=-1=0|17=6=0|17=7=0|18=6=0|18=7=0,GvgNotice|PVPScoreLt
1652,GVG斐扬4_3,3,40512,0=-1=0|1=-1=0|4=-1=1|5=-1=0|8=-1=1|9=10000=0|10=-1=0|11=-1=0|12=-1=0|13=-1=0|17=6=0|17=7=0|18=6=0|18=7=0,GvgNotice|PVPScoreLt
