Id,Probability,ProbabilityA,ProbabilityB,ProbabilityC,ProbabilityD,ProbabilityE,ProbabilityF,ProbabilityG,ProbabilityH,ProbabilityI,ProbabilityJ
27,0.0000052,0.000000016,0.00005=0.000000010,153846,153846,153846,0.000000016=20002,153846,166667=0.00009999,,
28,0.0000057,0.000000016,0.00005=0.000000010,175400,175400,175400,0.000000016=20002,175400,166667=0.00009999,,
29,0.00000572,0.000000016,0.00005=0.000000010,174825,174825,174825,0.000000016=20002,174825,166667=0.00009999,,
30,0.000006,0.000000016,0.00005=0.000000011,166667,166667,166667,0.000000016=20003,166667,166667=0.00009999,,
31,0.00000609,0.000000016,0.00005=0.000000011,164000,164000,164000,0.000000016=20003,164000,166667=0.00009999,,
32,0.00000624,0.000000016,0.00005=0.000000011,160000,160000,160000,0.000000016=20003,160000,166667=0.00009999,,
33,0.0000065,0.000000016,0.00005=0.000000008,153800,153800,153800,0.000000016=20000,153800,11111=0.00009999,,
34,0.00000758,0.000000016,0.00005=0.000000008,131930,131930,131930,0.000000016=20000,131930,11111=0.00009999,,
35,0.00000791,0.000000016,0.00005=0.000000008,126400,126400,126400,0.000000016=20000,126400,11111=0.00009999,,
36,0.0000081,0.000000016,0.00005=0.000000008,123457,123457,123457,0.000000016=20000,123457,11111=0.00009999,,
37,0.00000811,0.000000016,0.00005=0.000000008,123305,123305,123305,0.000000016=20000,123305,11111=0.00009999,,
38,0.0000085,0.000000016,0.00005=0.000000008,117600,117600,117600,0.000000016=20000,117600,11111=0.00009999,,
39,0.0000087,0.000000016,0.00005=0.000000008,114900,114900,114900,0.000000016=20000,114900,11111=0.00009999,,
40,0.00001016,0.000000016,0.00005=0.000000008,98425,98425,98425,0.000000016=20000,98425,11111=0.00009999,,
41,0.0000113,0.000000016,0.00005=0.000000012,88500,88500,88500,0.000000016=20004,88500,76923=0.00009999,,
42,0.0000114,0.000000016,0.00005=0.000000012,87719,87719,87719,0.000000016=20004,87719,76923=0.00009999,,
43,0.000013,0.000000016,0.00005=0.000000012,76923,76923,76923,0.000000016=20004,76923,76923=0.00009999,,
44,0.000015,0.000000016,0.00005=0.000000012,50000,50000,50000,0.000000016=20004,50000,50000=0.00009999,,
45,0.0000162,0.000000016,0.00005=0.000000012,61728,61728,61728,0.000000016=20004,61728,50000=0.00009999,,
46,0.00001622,0.000000016,0.00005=0.000000012,61652,61652,61652,0.000000016=20004,61652,50000=0.00009999,,
47,0.0000195,0.000000016,0.00005=0.000000012,38462,38462,38462,0.000000016=20004,38462,50000=0.00009999,,
48,0.000021,0.000000016,0.00005=0.000000008,47619,47619,47619,0.000000016=20000,47619,47619=0.00009999,,
49,0.000022,0.000000016,0.00005=0.000000008,40000,40000,40000,0.000000016=20000,40000,40000=0.00009999,,
50,0.0000253,0.000000016,0.00005=0.000000008,39526,39526,39526,0.000000016=20000,39526,40000=0.00009999,,
51,0.000026,0.000000016,0.00005=0.000000008,38500,38500,38500,0.000000016=20000,38500,11111=0.00009999,,
52,0.0000286,0.000000016,0.00005=0.000000008,30769,30769,30769,0.000000016=20000,30769,11111=0.00009999,,
53,0.000032,0.000000016,0.00005=0.000000008,31250,31250,31250,0.000000016=20000,31250,31250=0.00009999,,
54,0.0000347,0.000000016,0.00005=0.000000008,28800,28800,28800,0.000000016=20000,28800,11111=0.00009999,,
55,0.0000371,0.000000016,0.00005=0.000000008,26954,26954,26954,0.000000016=20000,26954,11111=0.00009999,,
56,0.0000417,0.000000016,0.00005=0.000000008,24000,24000,24000,0.000000016=20000,24000,11111=0.00009999,,
57,0.000042,0.000000016,0.00005=0.000000013,23810,23810,23810,0.000000016=20005,23810,23810=0.00009999,,
58,0.0000451,0.000000016,0.00005=0.000000013,22200,22200,22200,0.000000016=20005,22200,23810=0.00009999,,
59,0.0000506,0.000000016,0.00005=0.000000013,19763,19763,19763,0.000000016=20005,19763,23810=0.00009999,,
60,0.0000534,0.000000016,0.00005=0.000000013,18727,18727,18727,0.000000016=20005,18727,23810=0.00009999,,
61,0.000063,0.000000016,0.00005=0.000000014,15873,15873,15873,0.000000016=20006,15873,15873=0.00009999,,
62,0.0000684,0.000000016,0.00005=0.000000014,14620,14620,14620,0.000000016=20006,14620,15873=0.00009999,,
63,0.0000694,0.000000016,0.00005=0.000000008,14400,14400,14400,0.000000016=20000,14400,11111=0.00009999,,
64,0.0000742,0.000000016,0.00005=0.000000008,13477,13477,13477,0.000000016=20000,13477,11111=0.00009999,,
65,0.000089,0.000000016,0.00005=0.000000008,11200,11200,11200,0.000000016=20000,11200,11111=0.00009999,,
66,0.00009,0.000000016,0.00005=0.000000008,20000,20000,20000,0.000000016=20000,20000,11111=0.00009999,,
67,0.0001,0.000000016,0.00005=0.000000008,20000,20000,20000,0.000000016=20000,20000,10000=0.00009999,,
68,0.00012,0.000000016,0.00005=0.000000008,15000,15000,15000,0.000000016=20000,15000,8333=0.00009999,,
69,0.000125,0.000000016,0.00005=0.000000008,8000,8000,8000,0.000000016=20000,8000,8333=0.00009999,,
70,0.0001368,0.000000016,0.00005=0.000000008,7310,7310,7310,0.000000016=20000,7310,8333=0.00009999,,
71,0.000167,0.000000016,0.00005=0.000000008,6000,6000,6000,0.000000016=20000,6000,5882=0.00009999,,
72,0.00017,0.000000016,0.00005=0.000000008,12000,12000,12000,0.000000016=20000,12000,5882=0.00009999,,
73,0.000178,0.000000016,0.00005=0.000000008,5618,5618,5618,0.000000016=20000,5618,5882=0.00009999,,
74,0.0002,0.000000063,0.0001=0.0000000315,10000,10000,10000,0.000000063=10000,10000,5000=0.00019996,,
75,0.000208,0.000000016,0.00005=0.000000008,4800,4800,4800,0.000000016=20000,4800,11111=0.00009999,,
76,0.00025,0.000000063,0.0001=0.0000000315,4000,4000,4000,0.000000063=10000,4000,5000=0.00019996,,
77,0.0003,0.000000141,0.00015=0.0000000705,6000,6000,6000,0.000000141=6668,6668,3333=0.00029991,,
78,0.0004,0.000000251,0.0002=0.0000001255,2500,2500,2500,0.000000251=5000,5000,2500=0.00039984,,
79,0.0005,0.000000391,0.00025=0.0000001955,2000,2000,2000,0.000000391=4000,4000,2000=0.00049975,,
80,0.0006,0.000000563,0.0003=0.0000002815,1667,1667,1667,0.000000563=3334,3334,1666=0.00059964,,
81,0.0007,0.000000765,0.00035=0.0000003825,1429,1429,1429,0.000000765=2858,2858,1428=0.00069951,,
82,0.0008,0.000000998,0.0004=0.000000499,1250,1250,1250,0.000000998=2500,2500,1250=0.00079936,1=0.0045|420=1,
83,0.0009,0.000001263,0.00045=0.0000006315,1112,1112,1112,0.000001263=2224,2224,1111=0.00089919,1=0.0001|6=0.0001|11=0.0002|21=0.0005|31=0.003|46=0.15|56=0.8|60=1,
84,0.001,0.0000016,0.0005=0.0000008,1000,1000,1000,0.0000016=2000,2000,1000=0.000999,1=0.0051|300=1,
85,0.00111,0.0000016,0.0005=0.0000008,1000,1000,1000,0.0000016=2000,2000,1000=0.000999,1=0.0001|31=0.0005|41=0.002|51=0.05|60=1,
86,0.00112,0.0000016,0.0005=0.0000008,1000,1000,1000,0.0000016=2000,2000,1000=0.000999,1=0.0001|31=0.0005|41=0.002|61=0.005|70=1,
87,0.00113,0.0000016,0.0005=0.0000008,1000,1000,1000,0.0000016=2000,2000,1000=0.000999,1=0.0001|41=0.0005|61=0.001|81=0.005|90=1,
88,0.00114,0.0000016,0.0005=0.0000008,1000,1000,1000,0.0000016=2000,2000,1000=0.000999,1=0.0001|31=0.0005|41=0.002|61=0.005|80=1,
89,0.002,0.0000063,0.001=0.00000315,500,500,500,0.0000063=1000,1000,500=0.001996,1=0.004|420=1,
90,0.003,0.0000141,0.0015=0.00000705,334,334,334,0.0000141=668,668,333=0.002991,1=0.0051|300=1,
91,0.004,0.0000251,0.002=0.00001255,250,250,250,0.0000251=500,500,250=0.003984,1=0.005|401=1,
92,0.005,0.0000391,0.0025=0.00001955,200,200,200,0.0000391=400,400,200=0.004975,1=0.005|401=1,
93,0.006,0.0000563,0.003=0.00002815,167,167,167,0.0000563=334,334,166=0.005964,1=0.0056|401=1,
94,0.007,0.0000765,0.0035=0.00003825,143,143,143,0.0000765=286,286,142=0.006951,1=0.005|401=1,
95,0.008,0.0000998,0.004=0.0000499,125,125,125,0.0000998=250,250,125=0.007936,1=0.0083|280=1,
96,0.009,0.0001263,0.0045=0.00006315,112,112,112,0.0001263=224,224,111=0.008919,1=0.01|21=0.015|46=0.15|55=0.3|59=1,
97,0.01,0.000156,0.005=0.000078,100,100,100,0.000156=200,200,100=0.0099,1=0|11=0.0001|21=0.0005|31=0.001|41=0.002|51=0.01|55=0.1|70=1,
98,0.02,0.00062,0.01=0.00031,50,50,50,0.00062=100,100,3=0.02,1=0.01|240=1,
99,0.03,0.001386,0.015=0.000693,34,34,34,0.001386=68,68,33=0.0291,1=0.01|11=0.015|21=0.02|31=0.05|41=0.1|45=1,
100,0.04,0.002449,0.02=0.0012245,25,25,25,0.002449=50,50,25=0.0384,1=0.01|11=0.015|21=0.02|31=0.05|41=0.1|45=1,
101,0.05,0.003802,0.025=0.001901,20,20,20,0.003802=40,40,20=0.0475,,
102,0.06,0.00544,0.03=0.00235,17,17,17,0.00544=34,34,16=0.0564,1=0|3=0.05|5=0.1|8=0.2|10=1,
103,0.07,0.007359,0.035=0.00414,15,15,15,0.007359=30,30,14=0.0651,1=0.005|400=1,
104,0.08,0.009553,0.04=0.00522,13,13,13,0.009553=26,26,12=0.0736,1=0.004|400=1,
105,0.09,0.012017,0.045=0.00643,12,12,12,0.012017=24,24,11=0.0819,1=0.005|400=1,
106,0.1,0.01475,0.05=0.00775,10,10,10,0.01475=20,20,10=0.1,1=0.005|400=1,
107,0.11,0.01774,0.055=0.00919,10,10,10,0.01774=20,20,9=0.0979,,
108,0.12,0.02099,0.06=0.01075,9,9,9,0.02099=18,18,8=0.1056,,
109,0.13,0.02449,0.065=0.01241,8,8,8,0.02449=16,16,7=0.1131,,
110,0.14,0.02823,0.07=0.01421,8,8,8,0.02823=16,16,7=0.1204,,
111,0.15,0.03223,0.075=0.01611,7,7,7,0.03223=14,14,6=0.1275,,
112,0.16,0.03646,0.08=0.01813,7,7,7,0.03646=14,14,6=0.1344,,
113,0.17,0.04092,0.085=0.02025,6,6,6,0.04092=12,12,5=0.1411,,
114,0.18,0.04563,0.09=0.02249,6,6,6,0.04563=12,12,5=0.1476,,
115,0.19,0.05055,0.095=0.02494,6,6,6,0.05055=12,12,5=0.1539,,
116,0.2,0.05571,0.1=0.0273,5,5,5,0.05571=10,10,5=0.16,,
117,0.21,0.06109,0.105=0.02986,5,5,5,0.06109=10,10,4=0.1659,,
118,0.22,0.06668,0.11=0.03253,5,5,5,0.06668=10,10,4=0.1716,,
119,0.23,0.07249,0.115=0.03531,5,5,5,0.07249=10,10,4=0.1771,,
120,0.24,0.07852,0.12=0.03819,5,5,5,0.07852=10,10,4=0.1824,,
121,0.25,0.08475,0.125=0.04117,4,4,4,0.08475=8,8,4=0.1875,,
122,0.26,0.09119,0.13=0.04426,4,4,4,0.09119=8,8,3=0.1924,,
123,0.27,0.09783,0.135=0.04745,4,4,4,0.09783=8,8,3=0.1971,,
124,0.28,0.10468,0.14=0.05074,4,4,4,0.10468=8,8,3=0.2016,,
125,0.29,0.11172,0.145=0.05413,4,4,4,0.11172=8,8,3=0.2059,,
126,0.3,0.11895,0.15=0.05762,4,4,4,0.11895=8,8,3=0.21,1=0|2=0.1|3=0.5|4=1,
127,0.31,0.12638,0.155=0.06121,4,4,4,0.12638=8,8,3=0.2139,,
128,0.32,0.13401,0.16=0.06489,4,4,4,0.13401=8,8,3=0.2176,,
129,0.33,0.14184,0.165=0.06867,4,4,4,0.14184=8,8,3=0.2211,,
130,0.34,0.14892,0.17=0.07255,3,3,3,0.14892=6,6,2=0.2244,,
131,0.35,0.15799,0.175=0.07652,3,3,3,0.15799=6,6,2=0.2275,,
132,0.36,0.16633,0.18=0.08059,3,3,3,0.16633=6,6,2=0.2304,,
133,0.37,0.17491,0.185=0.08475,3,3,3,0.17491=6,6,2=0.2331,,
134,0.38,0.18363,0.19=0.089,3,3,3,0.18363=6,6,2=0.2356,,
135,0.39,0.19249,0.195=0.09335,3,3,3,0.19249=6,6,2=0.2379,,
136,0.4,0.20155,0.2=0.09778,3,3,3,0.20155=6,6,2=0.24,,
137,0.41,0.21092,0.205=0.10231,3,3,3,0.21092=6,6,2=0.2419,,
138,0.42,0.22037,0.21=0.10692,3,3,3,0.22037=6,6,2=0.2436,,
139,0.43,0.2299,0.215=0.11163,3,3,3,0.2299=6,6,2=0.2451,,
140,0.44,0.23954,0.22=0.11642,3,3,3,0.23954=6,6,2=0.2464,,
141,0.45,0.24931,0.225=0.1213,3,3,3,0.24931=6,6,2=0.2475,,
142,0.46,0.25988,0.23=0.12627,3,3,3,0.25988=6,6,2=0.2484,,
143,0.47,0.27046,0.235=0.13133,3,3,3,0.27046=6,6,2=0.2491,,
144,0.48,0.2805,0.24=0.13647,3,3,3,0.2805=6,6,2=0.2496,,
145,0.49,0.29104,0.245=0.14169,3,3,3,0.29104=6,6,2=0.2499,,
146,0.5,0.30158,0.25=0.14699,2,2,2,0.30158=4,4,2=0.25,,
147,0.51,0.31214,0.255=0.15242,2,2,2,0.31214=4,4,1=0.2499,,
148,0.52,0.32274,0.26=0.15793,2,2,2,0.32274=4,4,1=0.2496,,
149,0.53,0.33342,0.265=0.16349,2,2,2,0.33342=4,4,1=0.2491,,
150,0.54,0.34667,0.27=0.16911,2,2,2,0.34667=4,4,1=0.2484,,
151,0.55,0.35969,0.275=0.17479,2,2,2,0.35969=4,4,1=0.2475,,
152,0.56,0.37251,0.28=0.18063,2,2,2,0.37251=4,4,1=0.2464,,
153,0.57,0.38513,0.285=0.1867,2,2,2,0.38513=4,4,1=0.2451,,
154,0.58,0.39759,0.29=0.19277,2,2,2,0.39759=4,4,1=0.2436,,
155,0.59,0.40983,0.295=0.19885,2,2,2,0.40983=4,4,1=0.2419,,
156,0.6,0.42193,0.3=0.20495,2,2,2,0.42193=4,4,1=0.24,,
157,0.61,0.43388,0.305=0.21107,2,2,2,0.43388=4,4,1=0.2379,,
158,0.62,0.4457,0.31=0.21723,2,2,2,0.4457=4,4,1=0.2356,,
159,0.63,0.45738,0.315=0.22343,2,2,2,0.45738=4,4,1=0.2331,,
160,0.64,0.46894,0.32=0.23033,2,2,2,0.46894=4,4,1=0.2304,,
161,0.65,0.48039,0.325=0.23759,2,2,2,0.48039=4,4,1=0.2275,,
162,0.66,0.49174,0.33=0.24474,2,2,2,0.49174=4,4,1=0.2244,,
163,0.67,0.50597,0.335=0.2518,2,2,2,0.50597=4,4,1=0.2211,,
164,0.68,0.52974,0.34=0.25876,2,2,2,0.52974=4,4,1=0.2176,,
165,0.69,0.54928,0.345=0.26564,2,2,2,0.54928=4,4,1=0.2139,,
166,0.70,0.57,0.35=0.27245,2,2,2,0.57=4,4,1=0.21,,
167,0.71,0.59014,0.355=0.27918,2,2,2,0.59014=4,4,1=0.2059,,
168,0.72,0.60972,0.36=0.28586,2,2,2,0.60972=4,4,1=0.2016,,
169,0.73,0.62877,0.365=0.2925,2,2,2,0.62877=4,4,1=0.1971,,
170,0.74,0.6473,0.37=0.29908,2,2,2,0.6473=4,4,1=0.1924,,
171,0.75,0.66534,0.375=0.30564,2,2,2,0.66534=4,4,1=0.1875,,
172,0.76,0.6829,0.38=0.315,2,2,2,0.6829=4,4,1=0.1824,,
173,0.77,0.7,0.385=0.32667,2,2,2,0.7=4,4,1=0.1771,,
174,0.78,0.7166,0.39=0.33792,2,2,2,0.7166=4,4,1=0.1716,,
175,0.79,0.7329,0.395=0.34875,2,2,2,0.7329=4,4,1=0.1659,,
176,0.80,0.74875,0.4=0.3592,2,2,2,0.74875=4,4,1=0.16,,
177,0.81,0.7642,0.405=0.36927,2,2,2,0.7642=4,4,1=0.1539,,
178,0.82,0.77927,0.41=0.37898,2,2,2,0.77927=4,4,1=0.1476,,
179,0.83,0.7939,0.415=0.38834,2,2,2,0.7939=4,4,1=0.1411,,
180,0.84,0.80833,0.42=0.39736,2,2,2,0.80833=4,4,1=0.1344,,
181,0.85,0.82235,0.425=0.40605,2,2,2,0.82235=4,4,1=0.1275,,
182,0.86,0.83605,0.43=0.41443,2,2,2,0.83605=4,4,1=0.1204,,
183,0.87,0.84942,0.435=0.4225,2,2,2,0.84942=4,4,1=0.1131,,
184,0.88,0.8625,0.44=0.43028,2,2,2,0.8625=4,4,1=0.1056,,
185,0.89,0.87527,0.445=0.43778,2,2,2,0.87527=4,4,1=0.0979,,
186,0.90,0.88777,0.45=0.445,2,2,2,0.88777=4,4,1=0.09,,
187,0.91,0.9,0.455=0.45196,2,2,2,0.9=4,4,1=0.0819,,
188,0.92,0.91196,0.46=0.45866,2,2,2,0.91196=4,4,1=0.0736,,
189,0.93,0.92365,0.465=0.46511,2,2,2,0.92365=4,4,1=0.0651,,
190,0.94,0.9351,0.47=0.47132,2,2,2,0.9351=4,4,1=0.0564,,
191,0.95,0.94631,0.475=0.4773,2,2,2,0.94631=4,4,1=0.0475,,
192,0.96,0.9573,0.48=0.48305,2,2,2,0.9573=4,4,1=0.0384,,
193,0.97,0.9687,0.485=0.48858,2,2,2,0.9687=4,4,1=0.0291,,
194,0.98,0.97857,0.49=0.49389,2,2,2,0.97857=4,4,1=0.0196,,
195,0.99,0.9888,0.495=0.5,2,2,2,0.9888=4,4,1=0.0099,,
196,1,1,1=1,1,1,1,1=2,2,1=1,,
