Id,Level,SystemId,SystemName,Atlas,Icon,GuideName,Type,TargetLevel,Parameter,Describe,Score,HighScore,Function,FunctionParameter,DisplayInRecommend
65,70=80,10821,贝鲁兹核心,Icon_ItemMaterial05,UI_icon_item_beiluzhexin.png,推荐：齿轮镶嵌,15,0,3024022=1=3000|3024022=2=3000|3024022=3=3000|3024022=4=3000|3024023=1=6000|3024023=2=6000|3024023=3=6000|3024023=4=6000|3024024=1=15000|3024024=2=15000|3024024=3=15000|3024024=4=15000|3024025=1=20000|3024025=2=20000|3024025=3=20000|3024025=4=20000,镶嵌3个蓝色双技能齿轮,18000,48000,,,0
66,80=90,10821,贝鲁兹核心,Icon_ItemMaterial05,UI_icon_item_beiluzhexin.png,推荐：齿轮镶嵌,15,0,3024022=1=3000|3024022=2=3000|3024022=3=3000|3024022=4=3000|3024023=1=6000|3024023=2=6000|3024023=3=6000|3024023=4=6000|3024024=1=15000|3024024=2=15000|3024024=3=15000|3024024=4=15000|3024025=1=20000|3024025=2=20000|3024025=3=20000|3024025=4=20000,镶嵌1个蓝色、2个紫色双技能齿轮,30000,48000,,,0
67,90=100,10821,贝鲁兹核心,Icon_ItemMaterial05,UI_icon_item_beiluzhexin.png,推荐：齿轮镶嵌,15,0,3024022=1=3000|3024022=2=3000|3024022=3=3000|3024022=4=3000|3024023=1=6000|3024023=2=6000|3024023=3=6000|3024023=4=6000|3024024=1=15000|3024024=2=15000|3024024=3=15000|3024024=4=15000|3024025=1=20000|3024025=2=20000|3024025=3=20000|3024025=4=20000,镶嵌1个紫色、1个橙色双技能齿轮,42000,64000,,,0
68,30=40,3095,防具锻造,Icon02,UI_Icon_Zhuangbeifangan.png,推荐：防具锻造,1,30,1=30=2000|30=40=4000|40=50=6000|50=60=8000|60=70=10000|70=80=12000|80=90=15000|90=100=18000,全身4个部位穿戴30级防具装备,16000,16000,,2|3|4|5,0
69,40=50,3095,防具锻造,Icon02,UI_Icon_Zhuangbeifangan.png,推荐：防具锻造,1,40,1=30=2000|30=40=4000|40=50=6000|50=60=8000|60=70=10000|70=80=12000|80=90=15000|90=100=18000,全身4个部位穿戴40级防具装备,24000,24000,,2|3|4|5,0
70,50=60,3095,防具锻造,Icon02,UI_Icon_Zhuangbeifangan.png,推荐：防具锻造,1,50,1=30=2000|30=40=4000|40=50=6000|50=60=8000|60=70=10000|70=80=12000|80=90=15000|90=100=18000,全身4个部位穿戴50级防具装备,32000,32000,,2|3|4|5,0
71,60=70,3095,防具锻造,Icon02,UI_Icon_Zhuangbeifangan.png,推荐：防具锻造,1,60,1=30=2000|30=40=4000|40=50=6000|50=60=8000|60=70=10000|70=80=12000|80=90=15000|90=100=18000,全身4个部位穿戴60级防具装备,40000,40000,,2|3|4|5,0
72,70=80,3095,防具锻造,Icon02,UI_Icon_Zhuangbeifangan.png,推荐：防具锻造,1,70,1=30=2000|30=40=4000|40=50=6000|50=60=8000|60=70=10000|70=80=12000|80=90=15000|90=100=18000,全身4个部位穿戴70级防具装备,48000,48000,,2|3|4|5,0
73,80=90,3095,防具锻造,Icon02,UI_Icon_Zhuangbeifangan.png,推荐：防具锻造,1,80,1=30=2000|30=40=4000|40=50=6000|50=60=8000|60=70=10000|70=80=12000|80=90=15000|90=100=18000,全身4个部位穿戴80级防具装备,60000,60000,,2|3|4|5,0
74,90=100,3095,防具锻造,Icon02,UI_Icon_Zhuangbeifangan.png,推荐：防具锻造,1,90,1=30=2000|30=40=4000|40=50=6000|50=60=8000|60=70=10000|70=80=12000|80=90=15000|90=100=18000,全身4个部位穿戴90级防具装备,72000,72000,,2|3|4|5,0
75,100=110,3094,武器锻造,Icon02,UI_Icon_Zhuangbeifangan.png,推荐：武器锻造,16,100,1=30=8000|30=40=16000|40=50=24000|50=60=32000|60=70=40000|70=80=48000|80=90=60000|90=100=72000|100=110=80000,锻造1把100级武器,80000,80000,,1,0
76,100=110,9006,载具升级,Icon02,UI_Icon_Zaiju.png,推荐：载具升级,9,0,1=15000|2=17000|3=19000|4=21000|5=23000|6=25000|7=30000|8=31000|9=32000|10=33000|11=34000|12=35000|13=36000|14=37000|15=38000|16=39000|17=55000|18=56000|19=57000|20=58000|21=59000|22=60000|23=61000|24=62000|25=63000|26=64000|27=65000|28=66000|29=67000|30=68000|31=69000|32=70000|33=71000|34=72000|35=73000|36=74000|37=75000|38=76000|39=77000|40=78000,载具升级至24级,60000,60000,,,0
77,100=110,10803,装备附魔,Icon02,UI_Icon_Zhuangbeifangan.png,推荐：装备附魔,3,2,1=5500|2=6000|3=10000|4=15000|5=20000|6=25000,全身7个部位附魔紫色属性,42000,140000,,1|2|3|4|5|6,0
78,100=110,115,勋章系统,Icon02,UI_Icon_Xunzhangbeiyang.png,推荐：勋章升级,8,24,1=1000|2=1500|3=2000|4=2100|5=2200|6=2500|7=2600|8=2700|9=2800|10=2900|11=3000|12=3100|13=3200|14=3300|15=3400|16=5000|17=5100|18=5200|19=5300|20=5400|21=5500|22=6000|23=6100|24=6200|25=6300|26=6400|27=6500|28=6600|29=6700|30=6800|31=6900|32=7000|33=7100|34=7200|35=7300|36=7400|37=7500|38=7600|39=7700|40=7800,升级6个勋章至24级,36000,45000,,,0
79,100=110,10802,装备精炼,Icon02,UI_Icon_Zhuangbeijinglian.png,推荐：装备精炼,2,10,1=200|2=300|3=500|4=1000|5=1200|6=1500|7=5000|8=9000|9=10000|10=11000|11=12000|12=13000|13=14000|14=15000|15=16000,全身装备精炼+10,50000,91000,,1|2|3|4|5|6,0
80,100=110,9009,载具性格,Icon02,UI_Icon_Zaiju.png,推荐：载具性格,10,0,1=20|2=20|3=20|4=20|5=20,载具5个性格值培养至60,6000,9000,,,0
81,100=110,10804,装备插卡,Icon01,UI_Icon_Kapian.png,推荐：装备插卡,4,2,1=3500|2=4000|3=5000|4=6000,全身装备插8张蓝卡,32000,40000,,1|2|3|4|5|6,0
82,100=110,143,属性加点,Icon02,UI_Icon_Juesejiadian.png,推荐：属性加点,7,10,1=30=2500|30=40=2000|40=50=400|50=60=1500|60=70=300|70=80=50|80=90=50|90=100=50,素质点要及时分配哦,500,500,,,0
83,100=110,10821,贝鲁兹核心,Icon_ItemMaterial05,UI_icon_item_beiluzhexin.png,推荐：齿轮镶嵌,15,0,3024022=1=3000|3024022=2=3000|3024022=3=3000|3024022=4=3000|3024023=1=6000|3024023=2=6000|3024023=3=6000|3024023=4=6000|3024024=1=15000|3024024=2=15000|3024024=3=15000|3024024=4=15000|3024025=1=20000|3024025=2=20000|3024025=3=20000|3024025=4=20000,镶嵌1个紫色、1个橙色双技能齿轮,42000,64000,,,0
84,100=110,3095,防具锻造,Icon02,UI_Icon_Zhuangbeifangan.png,推荐：防具锻造,1,100,1=30=2000|30=40=4000|40=50=6000|50=60=8000|60=70=10000|70=80=12000|80=90=15000|90=100=18000|100=110=20000,全身4个部位穿戴100级防具装备,80000,80000,,2|3|4|5,0
85,110=120,3094,武器锻造,Icon02,UI_Icon_Zhuangbeifangan.png,推荐：武器锻造,16,110,1=30=8000|30=40=16000|40=50=24000|50=60=32000|60=70=40000|70=80=48000|80=90=60000|90=100=72000|100=110=80000|110=120=96000,锻造1把110级武器,96000,96000,,1,0
86,110=120,9006,载具升级,Icon02,UI_Icon_Zaiju.png,推荐：载具升级,9,0,1=15000|2=17000|3=19000|4=21000|5=23000|6=25000|7=30000|8=31000|9=32000|10=33000|11=34000|12=35000|13=36000|14=37000|15=38000|16=39000|17=55000|18=56000|19=57000|20=58000|21=59000|22=60000|23=61000|24=62000|25=63000|26=64000|27=65000|28=66000|29=67000|30=68000|31=69000|32=70000|33=71000|34=72000|35=73000|36=74000|37=75000|38=76000|39=77000|40=78000,载具升级至30级,68000,68000,,,0
87,110=120,10803,装备附魔,Icon02,UI_Icon_Zhuangbeifangan.png,推荐：装备附魔,3,2,1=5500|2=6000|3=10000|4=15000|5=20000|6=25000,全身7个部位附魔紫色属性,42000,140000,,1|2|3|4|5|6,0
88,110=120,115,勋章系统,Icon02,UI_Icon_Xunzhangbeiyang.png,推荐：勋章升级,8,24,1=1000|2=1500|3=2000|4=2100|5=2200|6=2500|7=2600|8=2700|9=2800|10=2900|11=3000|12=3100|13=3200|14=3300|15=3400|16=5000|17=5100|18=5200|19=5300|20=5400|21=5500|22=6000|23=6100|24=6200|25=6300|26=6400|27=6500|28=6600|29=6700|30=6800|31=6900|32=7000|33=7100|34=7200|35=7300|36=7400|37=7500|38=7600|39=7700|40=7800,升级6个勋章至30级,39600,45000,,,0
89,110=120,10802,装备精炼,Icon02,UI_Icon_Zhuangbeijinglian.png,推荐：装备精炼,2,10,1=200|2=300|3=500|4=1000|5=1200|6=1500|7=5000|8=9000|9=10000|10=11000|11=12000|12=13000|13=14000|14=15000|15=16000,全身装备精炼+12,65000,91000,,1|2|3|4|5|6,0
