【此数据覆盖用户数TOP300机型，以benchmark分数进行排名，并进行分档分类】只关心档位和型号，档位1最高，4最低,,,,,,,,,,,,,,,,,,,,,,
综合分排名,综合评分,档位,用户占比排名,用户占比(%),手机名,型号,厂商,CPU名,CPU型号,核心数,CPU频率,内存(GB),启用Zram,GPU名,GPU频率,是否降频设备,OpenGL_es,Vulkan,安卓7.0以上用户比例,分辨率,异形屏,CPU位数
14,468.95,2,75,0.34,三星GALAXY S8（G9500/单卡版/全网通）,SM-G9500,三星,高通 骁龙835,MSM8998,8,2400,4,否,Adreno540,710,0,3.2,1,0.33857,2960x1440,否,64
15,445.2,0,166,0.12,OPPO R17 Pro,PBDM00,OPPO,高通 骁龙710,SDM710,8,2200,6,--,Adreno616,500,0,3.2,1.0 and 1.1,0.11971,2340x1080,是,64
16,408.97,2,223,0.08,锤子科技坚果Pro 2（6GB RAM/全网通）,OS105,锤子,高通 骁龙660,MSM8976Plus,8,2200,6,是,Adreno512,850,0,3.2,1,0.08,1920×1080,否,64
17,408.97,2,267,0.06,360 手机N6 Pro（6GB RAM/全网通）,1801-A01,360,高通 骁龙660,MSM8976Plus,8,2200,6,--,Adreno512,850,0,3.2,1,0.06,2160×1080,否,64
18,408.97,2,40,0.56,OPPO R11s（6GB RAM/全网通）,OPPO R11ST,OPPO,高通 骁龙660,MSM8976Plus,8,2200,4,否,Adreno512,850,0,3.2,1,0.559042,2160x1080,否,64
19,408.97,2,22,0.75,OPPO R11t（移动合约机）,OPPO R11T,OPPO,高通 骁龙660,MSM8976Plus,8,2200,4,是,Adreno512,850,0,3.2,1,0.749216,1920x1080,否,64
20,408.97,2,104,0.26,vivo X20Plus（全网通）,VIVO X20PLUS A,VIVO,高通 骁龙660,MSM8976Plus,8,2200,4,否,Adreno512,850,0,3.2,1,0.259545,2160x1080,否,64
21,408.97,2,60,0.43,小米Note 3（6GB RAM/全网通）,MI NOTE 3,小米,高通 骁龙660,MSM8976Plus,8,2200,4,否,Adreno512,850,0,3.2,1,0.425929,1920x1080,否,64
22,408.97,2,9,1.47,vivo X20（全网通）,VIVO X20A,VIVO,高通 骁龙660,MSM8976Plus,8,2200,4,是,Adreno512,850,0,3.2,1,1.46701,2160x1080,否,64
23,408.97,2,8,1.54,vivo X21,VIVO X21A,VIVO,高通 骁龙660,MSM8976Plus,8,2200,6,是,Adreno512,850,0,3.2,1,1.54,2160x1080,是,64
24,408.97,2,158,0.13,OPPO R11s Plus（全网通）,OPPO R11 PLUSK,OPPO,高通 骁龙660,MSM8976Plus,8,2200,4,否,Adreno512,850,0,3.2,1,0.129754,2160x1080,否,64
25,408.97,2,10,1.32,OPPO R11s（4GB RAM/全网通）,OPPO R11S,OPPO,高通 骁龙660,MSM8976Plus,8,2200,4,是,Adreno512,850,0,3.2,1,1.318501,2160x1080,否,64
26,408.97,2,45,0.52,vivo X20（旗舰版/全网通）,VIVO X20,VIVO,高通 骁龙660,MSM8976Plus,8,2200,4,否,Adreno512,850,0,3.2,1,0.517217,2160x1080,否,64
27,408.97,2,86,0.3,OPPO R11s Plus（全网通）,OPPO R11S PLUS,OPPO,高通 骁龙660,MSM8976Plus,8,2200,6,否,Adreno512,850,0,3.2,1,0.298565,2160x1080,否,64
28,408.97,2,179,0.11,OPPO R11s Plus（全网通）,OPPO R11S PLUST,OPPO,高通 骁龙660,MSM8976Plus,8,2200,4,否,Adreno512,850,0,3.2,1,0.109809,2160x1080,否,64
29,408.97,2,135,0.17,OPPO R11 Plus（全网通）,OPPO R11 PLUSKT,OPPO,高通 骁龙660,MSM8976Plus,8,2200,6,否,Adreno512,850,0,3.2,1,0.169323,1920x1080,否,64
30,408.97,2,3,1.74,OPPO R11（标准版）,OPPO R11,OPPO,高通 骁龙660,MSM8976Plus,8,2200,4,否,Adreno512,850,0,3.2,1,1.728735,1920x1080,否,64
31,408.97,2,58,0.45,vivo X21（全网通）,VIVO X21,VIVO,高通 骁龙660,MSM8976Plus,8,2200,6,是,Adreno512,850,0,3.2,1,0.449736,2160x1080,是,64
32,408.97,2,210,0.09,vivo X20Plus屏幕指纹版（全网通）,VIVO X20PLUS,VIVO,高通 骁龙660,MSM8976Plus,8,2200,4,否,Adreno512,850,0,3.2,1,0.089794,2160x1080,否,64
33,408.97,2,78,0.33,OPPO R11 Plus（全网通）,OPPO R11 PLUS,OPPO,高通 骁龙660,MSM8976Plus,8,2200,6,否,Adreno512,850,0,3.2,1,0.314987,1920x1080,否,64
34,408.97,2,48,0.51,VIVO X21屏幕指纹版,VIVO X21UD A,VIVO,高通 骁龙660,MSM8976Plus,8,2200,6,是,Adreno512,850,0,3.2,1,0.51,2160x1080,是,64
35,408.97,2,281,0.05,VIVO X21移动定制版,VIVO X21UD,VIVO,高通 骁龙660,MSM8976Plus,8,2200,6,--,Adreno512,850,0,3.2,1,0.05,2160x1080,是,64
36,399.22,2,41,0.55,OPPO R15,PACT00,OPPO,联发科Helio P60,HelioP60,8,2200,6,是,Mali-G72MP3,800,0,3.2,1,0.55,2280x1080,是,64
37,399.22,2,129,0.18,OPPO R15 梦境全网通,PAAT00,OPPO,联发科Helio P60,HelioP60,8,2200,6,是,Mali-G72MP3,800,0,3.2,1,0.18,2280x1080,是,64
38,399.22,2,34,0.61,OPPO R15梦镜版,PAAM00,OPPO,联发科Helio P60,HelioP60,8,2200,6,是,Mali-G72MP3,800,0,3.2,1,0.61,2280x1080,是,64
39,399.22,2,2,1.89,OPPO R15（6GB RAM/全网通）,PACM00,OPPO,联发科Helio P60,HelioP60,8,2200,6,--,Mali-G72MP3,800,0,3.2,1,1.89,2280x1080,是,64
40,393.99,2,44,0.53,华为Mate 10（6GB RAM/全网通）,ALP-AL00,华为,海思 麒麟 970,Kirin970,8,2400,6,是,Mali-G72MP12,850,1,3.2,1,0.527938,2560x1440,否,64
41,393.99,2,57,0.45,华为Mate 10 Pro（全网通）,BLA-AL00,华为,海思 麒麟 970,Kirin970,8,2400,6,是,Mali-G72MP12,850,1,3.2,1,0.446075,2160x1080,否,64
42,393.99,2,175,0.11,华为 荣耀V10全网通,BKL-AL00,华为,海思 麒麟 970,Kirin970,8,2400,6,是,Mali-G72MP12,850,1,3.2,1,0.10984,2160x1080,否,64
43,393.99,2,23,0.73,荣耀V10（6GB RAM/全网通）,BKL-AL20,华为,海思 麒麟 970,Kirin970,8,2400,4,是,Mali-G72MP12,850,1,3.2,1,0.72812,2160x1080,否,64
44,393.99,2,16,1.05,华为P20,EML-AL00,华为,海思 麒麟 970,Kirin970,8,2400,6,是,Mali-G72MP12,850,1,3.2,1,1.05,2244x1080,是,64
45,393.99,2,138,0.16,华为P20 Pro（全网通）,CLT-AL01,华为,海思 麒麟 970,Kirin970,8,2400,6,是,Mali-G72MP12,850,1,3.2,1,0.16,2240x1080,是,64
46,315.01,0,27,0.7,OPPO R9s Plus（全网通）,OPPO R9S PLUS,OPPO,高通 骁龙653Pro,MSM8976Pro,8,1800,6,否,Adreno510,600,1,3.2,1,0.007414,1920x1080,否,64
47,315.01,0,29,0.67,vivo X9Plus（全网通）,VIVO X9PLUS,VIVO,高通 骁龙653Pro,MSM8976Pro,8,1800,6,否,Adreno510,600,1,3.2,1,0.648076,1920x1080,否,64
48,315.01,0,182,0.11,vivo X9Plus  L（移动全网通）,VIVO X9PLUS L,VIVO,高通 骁龙653Pro,MSM8976Pro,8,1800,6,否,Adreno510,600,1,3.2,1,0.107739,1920x1080,否,64
49,315.01,0,215,0.09,三星GALAXY C9 Pro（C9000/全网通）,SM-C9000,三星,高通 骁龙653Pro,MSM8976Pro,8,1500,6,是,Adreno510,600,1,3.2,1,0.083347,1920x1080,否,64
50,314.75,0,55,0.47,vivo X9s Plus（全网通）,VIVO X9S PLUS,VIVO,高通 骁龙653,MSM8976SG,8,1800,4,否,Adreno510,600,1,3.2,1,0.468849,1920x1080,否,64
51,314.75,0,122,0.2,vivo X9s Plus（全网通）,VIVO X9S PLUS L,VIVO,高通 骁龙653,MSM8976SG,8,1800,4,否,Adreno510,600,1,3.2,1,0.199716,1920x1080,否,64
52,314.01,3,20,0.94,华为nova 2s（6GB RAM/全网通）,HWI-AL00,华为,海思 麒麟 960,Kirin960,8,2100,4,是,Mali-G71MP8,900,1,3.2,1,0.938799,2160×1080,否,64
53,314.01,3,160,0.13,华为HWI-TL00,HWI-TL00,华为,海思 麒麟 960,Kirin960,8,2100,6,是,Mali-G71MP8,900,1,3.2,1,0.129759,2160×1080,否,64
54,314.01,3,17,1.05,华为Mate 9（MHA-AL00/4GB RAM/全网通）,MHA-AL00,华为,海思 麒麟 960,Kirin960,8,2400,4,是,Mali-G71MP8,900,1,3.2,1,1.039323,1920x1080,否,64
55,314.01,3,25,0.72,荣耀V9（DUK-AL20/6GB RAM/全网通）,DUK-AL20,华为,海思 麒麟 960,Kirin960,8,2400,6,是,Mali-G71MP8,900,0,3.2,1,0.692507,2560x1440,否,64
56,314.01,3,90,0.29,华为Mate 9保时捷版（全网通）,LON-AL00,华为,海思 麒麟 960,Kirin960,8,2400,4,否,Mali-G71MP8,900,1,3.2,1,0.28955,2560x1440,否,64
57,314.01,3,64,0.39, 荣耀9（4GB RAM/全网通）,STF-AL00,华为,海思 麒麟 960,Kirin960,8,2100,4,否,Mali-G71MP8,900,1,3.2,1,0.389416,1920x1080,否,64
58,314.01,3,50,0.5,华为P10 Plus（VKY-AL00/6GB RAM全网通）,VKY-AL00,华为,海思 麒麟 960,Kirin960,8,2100,6,是,Mali-G71MP8,900,1,3.2,1,0.498975,2560x1440,否,64
59,314.01,3,32,0.65,荣耀9（6GB RAM/全网通）,STF-AL10,华为,海思 麒麟 960,Kirin960,8,2100,6,是,Mali-G71MP8,900,1,3.2,1,0.649199,1920x1080,否,64
60,314.01,3,253,0.06,华为P10（VTR-TL00/移动全网通）,VTR-TL00,华为,海思 麒麟 960,Kirin960,8,1900,4,--,Mali-G71MP8,900,0,3.2,1,0.059769,1920x1080,否,64
61,314.01,3,30,0.66,华为P10（VTR-AL00/全网通）,VTR-AL00,华为,海思 麒麟 960,Kirin960,8,2400,4,是,Mali-G71MP8,900,1,3.2,1,0.649575,1920x1080,否,64
62,302.99,1,237,0.07,小米MIX（尊享版/全网通）,MIX,小米,高通 骁龙821,MSM8996Pro,4,2300,4,否,Adreno530,650,1,3.2,1,0.051011,2040x1080,否,64
63,302.99,1,247,0.07,小米Note 2（移动4G）,MI NOTE 2,小米,高通 骁龙821,MSM8996Pro,4,2200,4,否,Adreno530,650,1,3.2,1,0.067374,1920x1080,否,64
64,302.99,1,144,0.15,小米5S plus（标准版/全网通）,MI 5S PLUS,小米,高通 骁龙821,MSM8996Pro,4,2300,4,否,Adreno530,650,1,3.2,1,0.141163,1920x1080,否,64
65,302.99,1,119,0.2,小米5S（高配版/全网通）,MI 5S,小米,高通 骁龙821,MSM8996Pro,4,2200,3,是,Adreno530,650,1,3.2,1,0.130638,1920x1080,否,64
66,302.99,1,285,0.05,一加3T（全网通）,ONEPLUS A3010,一加,高通 骁龙821,MSM8996Pro,4,2200,6,否,Adreno530,650,1,3.2,1,0.04801,1920x1080,否,64
67,301.91,0,124,0.19,小米Max（全网通/3GB RAM）,MI MAX,小米,高通 骁龙650,MSM8956,6,1500,3,是,Adreno510,600,1,3.2,1,0.147349,1920x1080,否,64
68,301.91,0,82,0.31,小米红米Note 3（高配版/全网通）,REDMI NOTE 3,小米,高通 骁龙650,MSM8956,6,2200,3,是,Adreno510,600,0,3.2,1,0.000806,1920x1080,否,64
69,300.15,1,266,0.06,乐视乐Max 2（4GB RAM/全网通）,LE X820,乐视,高通 骁龙820,MSM8996,4,2200,6,否,Adreno530,624,1,3.2,1,0.000317,2560x1440,否,64
70,300.15,1,118,0.2,vivo Xplay6（全网通）,VIVO XPLAY6,VIVO,高通 骁龙820,MSM8996,4,2200,6,否,Adreno530,624,0,3.2,1,0.195387,2560x1440,否,64
71,300.15,1,100,0.27,SAMSUNG 三星 Galaxy S7 Edge,SM-G9350,三星,高通 骁龙820,MSM8996,4,1600,4,是,Adreno530,624,1,3.2,1,0.207946,2560x1440,否,64
72,298.05,0,66,0.39,小米5（标准版/全网通）,MI 5,小米,高通 骁龙820Lite,MSM8996Lite,4,1800,3,是,Adreno530,510,1,3.2,1,0.252515,1920x1080,否,64
73,294,2,38,0.57,小米红米Note 5,REDMI NOTE 5,小米,高通 骁龙636,SDM636,8,1800,3,是,Adreno509,850,0,3.2,1,0.565446,1920x1080,否,64
74,284.31,3,217,0.09,荣耀Note8（EDI-AL10/全网通）,EDI-AL10,华为,海思 麒麟 955,Kirin955,8,1900,4,是,Mali-T880MP4,900,1,3.2,1,0.072106,2560x1440,否,64
75,284.31,3,157,0.13,华为P9 Plus（VIE-AL10/高配版/全网通）,VIE-AL10,华为,海思 麒麟 955,Kirin955,8,2500,4,是,Mali-T880MP4,900,1,3.2,1,0.120502,1920x1080,否,64
76,284.31,3,235,0.07,华为P9（EVA-TL00/标准版/移动4G）,EVA-TL00,华为,海思 麒麟 955,Kirin955,8,2500,3,否,Mali-T880MP4,900,1,3.2,1,0.055783,1920x1080,否,64
77,284.31,3,163,0.12,华为P9（EVA-AL00/标准版/全网通）,EVA-AL00,华为,海思 麒麟 955,Kirin955,8,2500,3,否,Mali-T880MP4,900,1,3.2,1,0.100755,1920x1080,否,64
78,284.31,3,89,0.29,华为P9（EVA-AL10/高配版/全网通）,EVA-AL10,华为,海思 麒麟 955,Kirin955,8,2500,4,是,Mali-T880MP4,900,1,3.2,1,0.24029,1920x1080,否,64
79,282.21,3,230,0.08,华为平板 M3（4GB/128GB/WiFi版）,BTV-W09,华为,海思 麒麟 950,Kirin950,8,2300,4,是,Mali-T880MP4,900,1,3.2,1,0.075363,2560x1600,否,64
80,282.21,3,274,0.05,华为平板 M3（4GB/32GB/LTE版）,BTV-DL09,华为,海思 麒麟 950,Kirin950,8,1800,4,--,Mali-T880MP4,900,0,3.2,1,0.046408,2560x1600,否,64
81,282.21,3,263,0.06,华为Mate 8（NXT-TL00/移动4G）,HUAWEI NXT-TL00,华为,海思 麒麟 950,Kirin950,8,2300,3,是,Mali-T880MP4,900,1,3.2,1,0.053727,1920x1080,否,64
82,282.21,3,73,0.35,华为Mate 8（NXT-AL10/4GB RAM/全网通）,HUAWEI NXT-AL10,华为,海思 麒麟 950,Kirin950,8,2300,3,是,Mali-T880MP4,900,1,3.2,1,0.295024,1920x1080,否,64
83,282.21,3,277,0.05,荣耀V8（KNT-UL10/双4G）,KNT-UL10,华为,海思 麒麟 950,Kirin950,8,1800,4,是,Mali-T880MP4,900,1,3.2,1,0.038427,1920x1080,否,64
84,282.21,3,213,0.09,荣耀V8（KNT-AL10/标准版/全网通）,KNT-AL10,华为,海思 麒麟 950,Kirin950,8,1800,4,是,Mali-T880MP4,900,1,3.2,1,0.072083,1920x1080,否,64
85,282.21,3,200,0.1,荣耀V8（KNT-AL20/高配版/全网通）,KNT-AL20,华为,海思 麒麟 950,Kirin950,8,1800,4,是,Mali-T880MP4,900,1,3.2,1,0.086518,2560x1440,否,64
86,282.21,3,69,0.37,荣耀8全网通手机,FRD-AL10,华为,海思 麒麟 950,Kirin950,8,2300,4,是,Mali-T880MP4,900,1,3.2,1,0.357296,1920x1080,否,64
87,282.21,3,140,0.15,荣耀8（FRD-AL00/4GB RAM/全网通）,FRD-AL00,华为,海思 麒麟 950,Kirin950,8,2300,4,是,Mali-T880MP4,900,1,3.2,1,0.128644,1920x1080,否,64
88,223.34,0,28,0.67,vivo X9s（全网通）,VIVO X9S,VIVO,高通 骁龙652,MSM8976,8,1800,4,否,Adreno510,600,1,3.2,1,0.669241,1920x1080,否,64
89,223.34,0,101,0.27,vivo X9s L（移动全网通）,VIVO X9S L,VIVO,高通 骁龙652,MSM8976,8,1800,4,否,Adreno510,600,1,3.2,1,0.269427,1920x1080,否,64
90,223.34,0,125,0.19,OPPO R9 Plus（全网通）,OPPO R9 PLUSTM A,OPPO,高通 骁龙652,MSM8976,8,1800,4,否,Adreno510,600,1,3.2,1,0,1920x1080,否,64
91,223.34,0,53,0.48,OPPO R9 Plus（全网通）,OPPO R9 PLUSM A,OPPO,高通 骁龙652,MSM8976,8,1800,4,否,Adreno510,600,1,3.2,1,0,1920x1080,否,64
92,223.34,0,19,1.04,vivo X7（全网通）,VIVO X7,VIVO,高通 骁龙652,MSM8976,8,1800,4,是,Adreno510,600,1,3.2,1,0.006594,1920x1080,否,64
93,223.34,0,178,0.11,vivo X6SPlus（全网通）,VIVO X6SPLUS D,VIVO,高通 骁龙652,MSM8976,8,1800,4,是,Adreno510,600,1,3.2,1,0,1920x1080,否,64
94,223.34,0,37,0.58,vivo X7 Plus（全网通）,VIVO X7PLUS,VIVO,高通 骁龙652,MSM8976,8,1800,4,是,Adreno510,600,1,3.2,1,0.004293,1920x1080,否,64
95,223.34,0,91,0.29,vivo X6S（全网通）,VIVO X6S A,VIVO,高通 骁龙652,MSM8976,8,1800,4,是,Adreno510,600,1,3.2,1,0,1920x1080,否,64
96,223.34,0,120,0.2,vivo Xplay5（全网通）,VIVO XPLAY5A,VIVO,高通 骁龙652,MSM8976,8,1800,4,是,Adreno510,600,1,3.2,1,0.001335,2560x1440,否,64
97,209.2,2,211,0.09,三星GALAXY S6 Edge+（G9280/全网通）,SM-G9280,三星,Samsung Exynos 7420,Exynos7420,8,1700,4,是,Mali-T760MP8,772,1,3.2,1,0.080995,2560x1440,否,64
98,209.2,2,189,0.1,三星GALAXY S6 Edge（G9250/全网通）,SM-G9250,三星,Samsung Exynos 7420,Exynos7420,8,1700,4,否,Mali-T760MP8,772,1,3.2,1,0.06492,2560x1440,否,64
99,148.65,2,292,0.05,360 手机N6（6GB RAM/全网通）,1707-A01,360,高通 骁龙630,SDM630,8,2300,6,--,Adreno508,850,0,3.2,1,0.049826,NULL,否,64
100,146.3,1,258,0.06,锤子科技坚果Pro（64GB ROM/全网通）,OD103,锤子,高通 骁龙626,MSM8953Pro,8,2100,4,是,Adreno506,650,1,3.2,1,0.06,1920x1080,否,64
101,146.2,1,183,0.11,三星GALAXY C7（C7000/全网通）,SM-C7000,三星,高通 骁龙625,MSM8953,8,2000,4,是,Adreno506,650,0,3.2,1,0.100294,1920x1080,否,64
102,146.2,1,56,0.46,vivo X9i（全网通）,VIVO X9I,VIVO,高通 骁龙625,MSM8953,8,2000,4,否,Adreno506,650,0,3.2,1,0.431335,1920x1080,否,64
103,146.2,1,84,0.3,vivo X9L（移动全网通）,VIVO X9L,VIVO,高通 骁龙625,MSM8953,8,2000,4,否,Adreno506,650,0,3.2,1,0.275818,1920x1080,否,64
104,146.2,1,4,1.72,vivo X9（全网通）,VIVO X9,VIVO,高通 骁龙625,MSM8953,8,2100,4,否,Adreno506,650,0,3.2,1,1.580406,1920x1080,否,64
105,146.2,1,164,0.12,vivo Y79（全网通）,VIVO Y79,VIVO,高通 骁龙625,MSM8953,8,2000,4,否,Adreno506,650,0,3.2,1,0.119727,1440x720,否,64
106,146.2,1,98,0.27,vivo Y79（全网通）,VIVO Y79A,VIVO,高通 骁龙625,MSM8953,8,2000,4,否,Adreno506,650,0,3.2,1,0.269466,1440x720,否,64
107,146.2,1,76,0.34,小米Max 2（全网通）,MI MAX 2,小米,高通 骁龙625,MSM8953,8,2000,4,否,Adreno506,650,0,3.2,1,0.33927,1920x1080,否,64
108,146.2,1,39,0.57,小米5X（全网通）,MI 5X,小米,高通 骁龙625,MSM8953,8,2000,4,否,Adreno506,650,0,3.2,1,0.569219,1920x1080,否,64
109,146.2,1,123,0.19,OPPO A77（4GB RAM/全网通）,OPPO A77T,OPPO,高通 骁龙625,MSM8953,8,2000,4,是,Adreno506,650,1,3.2,1,0.19,1920x1080,否,64
110,146.2,1,209,0.09,小米红米4（高配版/全网通）,REDMI 4,小米,高通 骁龙625,MSM8953,8,2000,3,是,Adreno506,650,1,3.2,1,0.000396,1920x1080,否,64
111,146.2,1,74,0.34,OPPO A77（3GB RAM/全网通）,OPPO A77,OPPO,高通 骁龙625,MSM8953,8,2000,3,否,Adreno506,650,1,3.2,1,0.339675,1920x1080,否,64
112,146.2,1,106,0.25,华为nova（CAZ-TL10/高配版/全网通）,HUAWEI CAZ-AL10,华为,高通 骁龙625,MSM8953,8,2000,4,是,Adreno506,650,1,3.2,1,0.221507,1920x1080,否,64
113,146.2,1,36,0.58,小米红米Note 4X（3GB RAM/全网通）,REDMI NOTE 4X,小米,高通 骁龙625,MSM8953,8,2000,3,否,Adreno506,650,1,3.2,1,0.405099,1920x1080,否,64
114,146.2,1,116,0.21,OPPO R9st（移动定制/全网通）,OPPO R9ST,OPPO,高通 骁龙625,MSM8953,8,2000,4,否,Adreno506,650,0,3.2,1,0.001048,1920x1080,否,64
115,146.2,1,35,0.61,小米红米5 Plus（3GB RAM/全网通）,REDMI 5 PLUS,小米,高通 骁龙625,MSM8953,8,2000,3,是,Adreno506,650,1,3.2,1,0.61,2160x1080,否,64
116,146.2,1,65,0.39,华为麦芒5（MLA-AL10/高配版/全网通）,HUAWEI MLA-AL10,华为,高通 骁龙625,MSM8953,8,2000,4,是,Adreno506,650,1,3.2,1,0.121934,1920x1080,否,64
117,146.2,1,5,1.7,OPPO R9s（全网通）,OPPO R9S,OPPO,高通 骁龙625,MSM8953,8,2000,4,否,Adreno506,650,0,3.2,1,0.026856,1920x1080,否,64
118,146.2,1,21,0.79,OPPO R9sk（全网通）,OPPO R9SK,OPPO,高通 骁龙625,MSM8953,8,2000,4,否,Adreno506,650,0,3.2,1,0.01026,1920x1080,否,64
119,146.2,1,168,0.12,小米红米5,REDMI 5,小米,高通 骁龙625,MSM8953,8,2000,3,是,Adreno506,650,1,3.2,1,0.12,1920x1080,否,64
120,146.2,1,94,0.28,魅族魅蓝Note 6（3GB RAM/全网通）,M6 NOTE,魅族,高通 骁龙625,MSM8953,8,2000,3,是,Adreno506,650,1,3.2,1,0.279443,1920x1080,否,64
121,138.3,3,225,0.08,魅族魅蓝S6（3GB RAM/全网通）,MEIZU S6,魅族,Samsung Exynos 7872,Exynos7872,6,2000,3,是,Mali-G71MP1,1200,1,3.2,1,0.08,1440x720,否,64
122,136.03,1,137,0.16,vivo X6Plus（双4G）,VIVO X6PLUS D,VIVO,联发科MT6752,MT6752,8,1700,4,是,Mali-T760MP2,700,1,3.2,1,0,1920x1080,否,64
123,136.03,1,142,0.15,OPPO R7（R7t/移动4G）,OPPO R7,OPPO,联发科MT6752,MT6752,8,1700,3,否,Mali-T760MP2,700,0,3.2,1,0,1920x1080,否,64
124,136.03,1,88,0.3,vivo X6（双4G）,VIVO X6D,VIVO,联发科MT6752,MT6752,8,1700,4,是,Mali-T760MP2,700,1,3.2,1,0,1920x1080,否,64
125,136.03,1,239,0.07,vivo X5ProD（3G RAM/双4G）,VIVO X5PRO D,VIVO,联发科MT6752,MT6752,8,1700,3,是,Mali-T760MP2,700,1,3.2,1,0,1920x1080,否,64
126,136.03,1,279,0.05,魅族魅蓝Note（移动4G）,M1 NOTE,魅族,联发科MT6752,MT6752,8,1700,2,是,Mali-T760MP2,700,1,3.2,1,0,1920x1080,否,64
127,136.03,1,112,0.23,OPPO R7s（4GB RAM/全网通）,OPPO R7S,OPPO,联发科MT6752,MT6752,8,1700,4,否,Mali-T760MP2,700,0,3.2,1,0,1920x1080,否,64
128,136.03,1,193,0.08,vivo X5Max+（移动4G）,VIVO X5MAX,VIVO,联发科MT6752,MT6752,8,1700,2,是,Mali-T760MP2,700,1,3.2,1,0,1920x1080,否,64
129,129.55,1,282,0.05,vivo X5SL（移动4G）,VIVO X5S L,VIVO,联发科MT6752M,MT6752M,8,1500,2,是,Mali-T760MP2,700,1,3.2,1,0,1280x720,否,64
130,115.37,1,191,0.1,华为畅享5S（TAG-TL00/移动4G）,HUAWEI TAG-TL00,华为,联发科MT6753T,MT6753T,8,1800,2,是,Mali-T720MP3,700,1,3.1,不适用,0,1280x720,否,64
131,115.37,1,146,0.14,华为畅享5S（TAG-AL00/全网通）,HUAWEI TAG-AL00,华为,联发科MT6753T,MT6753T,8,1800,2,是,Mali-T720MP3,700,1,3.1,不适用,0,1280x720,否,64
132,113.32,3,269,0.05,华为nova 2 Plus（BAC-TL00/移动全网通）,BAC-TL00,华为,海思 麒麟 659,Kirin659,8,1800,4,--,Mali-T830MP2,900,0,3.2,1,0.05,1920x1080,否,64
133,113.32,3,143,0.15,华为nova 2（PIC-AL00/全网通）,PIC-AL00,华为,海思 麒麟 659,Kirin659,8,1800,4,是,Mali-T830MP2,900,0,3.2,1,0.140671,1920x1080,否,64
134,113.32,3,102,0.27,华为nova 2 Plus（BAC-AL00/全网通）,BAC-AL00,华为,海思 麒麟 659,Kirin659,8,1800,4,是,Mali-T830MP2,900,0,3.2,1,0.269651,1920x1080,否,64
