ID,Des,CutScenePath,CutSceneType,IsDistinguishSex,BGM,BGMCover,JumpType,IsBlackWordStart,NoSnapshot,Location,VideoLocation,ShareID,BlackCurtainId,Is2D,LocalizationArea
100045,玛莎的日记,sc_yisilude_001\cut_mashaderiji_01,1,0,,1,1,1,,,,,,,
100046,追踪Z团,sc_mlknanbu_001\cut_zhuizongztuan_01,1,0,,1,1,1,,,,,,,
100047,博仁斯惨案,,1,,,,,,,,,,,,
100048,海利翁出场,,1,,,,,,,,,,,,
100049,海利翁boss死亡,,1,,,,,,,,,,,,
100050,英魂的列传,sc_aierbeita_001\cut_yinghunliezhuan_01,1,0,,1,1,1,,,,,,,
100051,白衣修士救你,,1,,,,,,,,,,,,
100052,哥布灵祭祀仪式,,1,,,,,,,,,,,,
100053,巴雷蒙德揭示死海古卷1,sc_jinzita1f_001/Cut068_hg,1,0,CutScene/CutScene_053,1,1,1,,,,10011,,,
100054,黑衣人神器cutscene,,1,,,,,,,,,,,,
100055,古娜被劫狱cutscene,,1,,,,,,,,,,,,
100056,巴雷蒙德被袭击，魔化cutscene,,1,,,,,,,,,,,,
100057,净化塞尔特,,1,,,,,,,,,,,,
100058,金字塔三幅壁画,,1,,,,,,,,,,,,
100059,巴雷蒙德揭示死海古卷2,sc_xianzhedating_001/Cut070_hg,1,0,CutScene/CutScene_059,1,1,1,,,,10012,,,
100060,巴雷蒙德揭示死海古卷3,sc_mengluoke_001/Cut071_hg,1,0,CutScene/CutScene_060,1,1,1,,,,10013,,,
100061,歌尔朵告诉你往事真相,sc_mengluoke_001\cut_gedgaosuZhenXiang_01,1,0,,1,1,1,,,,,,,
100062,露希尔救场,sc_sfksmx1f_001/Cut072,1,0,,1,1,1,,,,10010,,,
100063,黑衣救出白衣cutscene,,1,,,,,,,,,,,,
100064,白女巫献祭cutscene,,1,,,,,,,,,,,,
100065,伊登的苹果,sc_huayuan_001\Cut085,1,0,,1,1,1,,,,,,,
100066,65级斯芬克斯2D故事,sc_sfksmx1f_001\cut_sifenkesishuanshuo_01,1,0,,1,1,1,,,,,,,
100067,白衣自杀，黑衣狂暴cutscene,sc_mlkchengbao_001/cut076_hg,1,0,CutScene/CutScene_067,1,1,1,,,,10019,,,
100068,光与暗的终点,sc_sfksmx1f_001/Cut127_hg,1,0,CutScene/CutScene_068,1,1,1,,,,10007,,,
100069,吉芬地下意外,,1,,,,,,,,,,,,
100070,印记刺客的壁画,sc_mengluoke_001/cut077_hg,1,0,CutScene/CutScene_070,1,1,1,,,,10016,,,
100071,抓住奥伦,,1,,,,,,,,,,,,
100072,妙勒尼线反派出场,,1,,,,,,,,,,,,
100073,刺客公会袭击蒲公英团,sc_jifenkuangye_001\Cut100073,1,0,,1,1,1,,,,,,,
100074,宝妮净化领主女儿,,1,,,,,,,,,,,,
100075,梦罗克编年史,,1,,,,,,,,,,,,
100076,犬妖之战01,,1,,,,,,,,,,,,
100077,启动秘钥失败,sc_xianzhedating_001/Cut_QiDongMiYaoShiBai,1,0,CutScene/CutScene_100077,1,1,1,,,,,,,
100078,福金捕捉露希尔,,1,,,,,,,,,,,,
100079,露希尔逃跑,,1,,,,,,,,,,,,
100080,圣痕褪去，无字幕,sc_xianzhedating_001\Cut084,1,0,CutScene/CutScene_080,1,1,1,,,,10014,,,
100081,普隆德拉预览（新）,sc_pulongdela_001/CJ001,1,0,,1,1,1,,,,,,,
100082,吉芬预览（新）,sc_jifen_001/CJ002,1,0,,1,1,1,,,,,,,
100083,依思鲁得预览（新）,sc_yisilude_001/CJ003,1,0,,1,1,1,,,,,,,
100084,新手村开场（新）,sc_chushengdian_002/Cut001,1,0,,1,1,1,,,,,1030,,
100087,苍迦城毁灭当晚的恐怖记忆,sc_jiangshidong_003\cut_kongbujiyi_01,1,0,,1,1,1,,,,,,,
100088,月夜猫出现救了你们，场景转移,sc_jiangshidong_003\cut_yueyetujiuni_01,1,0,,1,1,1,,,,,,,
150000,双子魂归,sc_sfksmx1f_001\Cut127,1,,,1,1,1,,,,,,,
150001,古城传说,sc_jifenkuangye_001/cut_guchengchuanyan,1,,,1,1,1,,,,,,,
160000,A9cut出场,,2,,,1,1,1,,,Cut_PuLongDeLaYuXi.mp4,,,,
160001,A9毕尤出场,,2,,,1,1,1,,,CutBossBornBiYou.mp4,,,,
160002,A11伪神第一次出场,sc_guchengxiudaoyuan_001/Cut150_Cam01_A11,1,,,1,1,1,,,,,,,9
160003,A11伪神第二次出场,sc_guchengxiudaoyuan_001/Cut151_Cam01_A11,1,,,1,1,1,,,,,,,9
160010,A12时空恶魔出场,sc_dungeon_shijianlaolong_001\CutBossBorn_ShiKongErMo_Cam001,1,,,1,1,1,,,,,,,9
160011,A12时空恶魔死亡,sc_dungeon_shijianlaolong_001\CutBossDeath_ShiKongErMo_Cam001,1,,,1,1,1,,,,,,,9
100085,彩虹之约,sc_feiyang_001/shuangrenqiyue_01,1,,,1,1,1,,,,,,,
100109,古城预览动画,,2,,,1,1,1,,,Cut_Scene_GuCheng.mp4,,,,
100110,艾尔贝塔预览动画,,2,,,1,1,1,,,Cut_Scene_AiErBeiTa.mp4,,,,
100111,斐杨预览动画,,2,,,1,1,1,,,Cut_Scene_FeiYang.mp4,,,,
100112,武僧二转动画,,2,1,,1,1,1,,,Cut_Acolyte_Transfer_Monk.mp4,,,,
100113,普隆德拉预览动画（新Ver.2）,,2,,,1,1,1,,,Cut_Scene_PuLongDeLa.mp4,,,,
100114,梦罗克预览动画,,2,,,1,1,1,,,Cut_Scene_MengLuoKe.mp4,,,,
100115,伊斯鲁德预览动画,sc_yisilude_001/yisilude,1,,,1,1,1,,,,,,,
100116,十字军转职动画,,2,1,,1,1,1,,,Cut_Swordman_To_Crusader.mp4,,,,
100117,石化之种,sc_gunayanjiujidi_001\cut_huiyideshaonian_01,1,,,1,1,1,,,,,,,9
100119,武僧进阶二转动画,,2,1,,1,1,1,,,Cut_Monk_Transfer_Champion.mp4,,,,
100120,十字军进阶转职动画,,2,1,,1,1,1,,,Cut_Crusader_To_Paladin.mp4,,,,
100098,暗黑时刻,sc_gcchengbao_001/cut_anheishike_01,1,,,1,1,1,,,,,,,
100101,推翻施密特的政变真相,sc_gcchengbao_002/cut_tuifanzhenbian_01,1,,,1,1,1,,,,,,,
100103,苦难之约,sc_guchengxiudaoyuan_001\cut_kunanzhiyue_01,1,,,1,1,1,,,,,,,
100100,抽离的记忆,sc_gcchengbao_001\cut_choulidejiyi_01,1,,,1,1,1,,,,,,,
100106,赤骑士逃走,sc_gcchengbao_001\Cut152_Cam01_ChiQiShiTaoZou,1,,,1,1,1,,,,,,,
100107,古城约翰出场,sc_guchengxiudaoyuan_001\Cut153_Cam01_GuChengYueHanChuChang,1,,,1,1,1,,,,,,,
100108,女武神击杀伪神,sc_guchengxiudaoyuan_001\Cut154_Cam01_NvWuShenJiShaWeiShen,1,,,1,1,1,,,,,,,
100121,吉芬预览动画（新Ver.2）,,2,,,1,1,1,,,Cut_Scene_JiFen.mp4,,,,
100129,天空套触动心弦视频,,2,,,1,1,1,,,SkyCut1000.mp4,,,,9
100131,艾尔帕兰预览动画,,2,,,1,1,1,,,Cut_Scene_AiErPaLain.mp4,,,,
100124,炼金术士二转,,2,1,,1,1,1,,,Cut_Merchant_To_Alchemist.mp4,,,,
100132,创造者二转,,2,1,,1,1,1,,,Cut_Alchemist_To_Creator.mp4,,,,
100133,舞娘二转,,2,,,1,1,1,,,Cut_Archer_To_Dancer_F.mp4,,,,
100134,诗人二转,,2,,,1,1,1,,,Cut_Archer_To_Bard_M.mp4,,,,
100144,冷艳舞姬进阶二转,,2,,,1,1,1,,,Cut_Dancer_To_Gypsy_F.mp4,,,,
100145,搞笑艺人进阶二转,,2,,,1,1,1,,,Cut_Bard_To_Minstrel_M.mp4,,,,
100147,齐尔的诞生,sc_jiayuan_002\Cut_QiErDeDanSheng,1,,,1,1,1,,,,,,,9
100148,修发兹共和国介绍,sc_xianzhedating_001\Cut_XiuFaZiGongHeGuoJieShao,1,,,1,1,1,,,,,,,9
100149,阿斯自爆,sc_chushengdian_002\Cut_ASiZiBao,1,,,1,1,1,,,,,,,9
100150,市民游行,sc_zhunuo_001\Cut_ShiMinYouXing,1,,,1,1,1,,,,,,,9
100152,贤者二转动画,,2,1,,1,1,1,,,Cut_Magician_To_Sage.mp4,,,,
100153,智者进阶二转,,2,1,,1,1,1,,,Cut_Sage_To_Scholar.mp4,,,,
100155,科学家的回忆,sc_tktshiyanshi_001\Cut_KeXueJiaDeHuiYi,1,,,1,1,1,,,,,,,
100156,启动天空套,sc_tktshiyanshi_001\Cut_QiDongTianKongTao,1,,,1,1,1,,,,,,,
100157,穿着天空套出战场景,sc_tktshiyanshi_001\Cut_JiJiaTianKongTaoChuChang,1,,,1,1,1,,,,,,,
100158,机器人拯救主角,sc_tktshiyanshi_001\Cut_JiQiRenZhengJiuZhuJue,1,,,1,1,1,,,,,,,
100159,衣橱出场动画,sc_tktjijia_001\Cut_XingKongJiJia_M_Born,1,,,1,1,1,,,,,,,
100161,少女被改造成机械女神,,2,,,1,1,1,,,Cut_Pet02.mp4,,,,9
100162,朱诺预览视频,sc_zhunuo_001\Cut_Scene_zhunuozhuchengyulanV01,1,,,1,1,1,,,,,,,
,,,,,,,,,,,,,,,
