Id,Name,Prefab,AudioPath,Atlas,Icon,BoundRadius,BoundHeight,IdleAnim,IdleFAnim,RunSpeed,RunPercent,IsLoopMoveAudio,BaseRunSpeed,RunAnim,RunFAnim,BeHitTime,BeHitAnim,BeHitRule,StunAnim,SingingAnim,DeadAnim,BornAnim,BornAnimTime,BeginFxID,BeginFxPoint,ClimbIdleAnim,ClimbUpAnim,ClimbDownAnim,ClimbLeftAnim,ClimbRightAnim,ClimbToIdleUpAnim,ClimbToIdleDownAnim,IdleToClimbUpAnim,IdleToClimbDownAnim,BornBuff,HugeMonsterColliders,OpenAnim,FreeStyleAnim,IdleComboAnim,AnimationFx
51,盗贼（女）,Common_F_Default,,,,0.5,2,Thief_F_Idle,0=Thief_F_IdleF,4.6,0.1|0.6,0,4,Thief_F_Run,Thief_F_RunF,0.1,Thief_F_BeHit,,Thief_F_Stun,Thief_F_IdleF,Thief_F_Death,,,,,Common_F_Panpa_Idle,Common_F_PanpaRun_Up,Common_F_PanpaRun_Down,Common_F_PanpaRun_Left,Common_F_PanpaRun_Right,Common_F_Panpa_To_Idle_Up,Common_F_Panpa_To_Idle_Down,Common_F_Idle_To_Panpa_Up,Common_F_Idle_To_Panpa_Down,,,,,,Fashion_F_JiJia_Idle01_Show_01=2900003=0=5.5=0|Fashion_F_JiJia_Idle01_Show_02=2900004=0=5=0|Fashion_F_SiShen02_Idle_Show_01=3000002=0=5.5=0|Fashion_F_HongYe_Idle_Show_01=3000001=0=5.5=0|Fashion_F_HongYe_Idle=3000001=0=5=0
60,弓箭手（男）,Common_M_Default,,,,0.5,2,Archer_M_Idle,0=Archer_M_IdleF,4.6,0.1|0.6,0,4,Archer_M_Run,Archer_M_RunF,0.1,Archer_M_BeHit,,Archer_M_Stun,Archer_M_IdleF,Archer_M_Death,,,,,Common_M_Panpa_Idle,Common_M_PanpaRun_Up,Common_M_PanpaRun_Down,Common_M_PanpaRun_Left,Common_M_PanpaRun_Right,Common_M_Panpa_To_Idle_Up,Common_M_Panpa_To_Idle_Down,Common_M_Idle_To_Panpa_Up,Common_M_Idle_To_Panpa_Down,,,,,,Fashion_M_JiJia_Idle01_Show_01=2900001=0=5.5=0|Fashion_M_JiJia_Idle01_Show_02=2900002=0=5=0
61,弓箭手（女）,Common_F_Default,,,,0.5,2,Archer_F_Idle,0=Archer_F_IdleF,4.6,0.1|0.6,0,4,Archer_F_Run,Archer_F_RunF,0.1,Archer_F_BeHit,,Archer_F_Stun,Archer_F_IdleF,Archer_F_Death,,,,,Common_F_Panpa_Idle,Common_F_PanpaRun_Up,Common_F_PanpaRun_Down,Common_F_PanpaRun_Left,Common_F_PanpaRun_Right,Common_F_Panpa_To_Idle_Up,Common_F_Panpa_To_Idle_Down,Common_F_Idle_To_Panpa_Up,Common_F_Idle_To_Panpa_Down,,,,,,Fashion_F_JiJia_Idle01_Show_01=2900003=0=5.5=0|Fashion_F_JiJia_Idle01_Show_02=2900004=0=5=0|Fashion_F_SiShen02_Idle_Show_01=3000002=0=5.5=0|Fashion_F_HongYe_Idle_Show_01=3000001=0=5.5=0|Fashion_F_HongYe_Idle=3000001=0=5=0
70,商人（男）,Common_M_Default,,NpcIcon01,NPC_Ailiusi.png,0.5,2,Merchant_M_Idle,0=Merchant_M_IdleF,4.6,0.1|0.6,0,4,Merchant_M_Run,Merchant_M_RunF,0.1,Merchant_M_BeHit,,Merchant_M_Stun,Merchant_M_IdleF,Merchant_M_Death,,,,,Common_M_Panpa_Idle,Common_M_PanpaRun_Up,Common_M_PanpaRun_Down,Common_M_PanpaRun_Left,Common_M_PanpaRun_Right,Common_M_Panpa_To_Idle_Up,Common_M_Panpa_To_Idle_Down,Common_M_Idle_To_Panpa_Up,Common_M_Idle_To_Panpa_Down,,,,,,Fashion_M_JiJia_Idle01_Show_01=2900001=0=5.5=0|Fashion_M_JiJia_Idle01_Show_02=2900002=0=5=0
71,商人（女）,Common_F_Default,,,,0.5,2,Merchant_F_Idle,0=Merchant_F_IdleF,4.6,0.1|0.6,0,4,Merchant_F_Run,Merchant_F_RunF,0.1,Merchant_F_BeHit,,Merchant_F_Stun,Merchant_F_IdleF,Merchant_F_Death,,,,,Common_F_Panpa_Idle,Common_F_PanpaRun_Up,Common_F_PanpaRun_Down,Common_F_PanpaRun_Left,Common_F_PanpaRun_Right,Common_F_Panpa_To_Idle_Up,Common_F_Panpa_To_Idle_Down,Common_F_Idle_To_Panpa_Up,Common_F_Idle_To_Panpa_Down,,,,,,Fashion_F_JiJia_Idle01_Show_01=2900003=0=5.5=0|Fashion_F_JiJia_Idle01_Show_02=2900004=0=5=0|Fashion_F_SiShen02_Idle_Show_01=3000002=0=5.5=0|Fashion_F_HongYe_Idle_Show_01=3000001=0=5.5=0|Fashion_F_HongYe_Idle=3000001=0=5=0
1020,骑士（男）,Common_M_Default,,,,0.5,2,Knight_M_Idle,0=Knight_M_IdleF,4.6,0.1|0.6,0,4,Swordman_M_Run,Swordman_M_RunF,0.1,Swordman_M_BeHit,,Swordman_M_Stun,Knight_M_Skill_Singing,Swordman_M_Death,,,,,Common_M_Panpa_Idle,Common_M_PanpaRun_Up,Common_M_PanpaRun_Down,Common_M_PanpaRun_Left,Common_M_PanpaRun_Right,Common_M_Panpa_To_Idle_Up,Common_M_Panpa_To_Idle_Down,Common_M_Idle_To_Panpa_Up,Common_M_Idle_To_Panpa_Down,,,,,,Fashion_M_JiJia_Idle01_Show_01=2900001=0=5.5=0|Fashion_M_JiJia_Idle01_Show_02=2900002=0=5=0
1021,骑士（女）,Common_F_Default,,,,0.5,2,Knight_F_Idle,0=Knight_F_IdleF,4.6,0.1|0.6,0,4,Swordman_F_Run,Swordman_F_RunF,0.1,Swordman_F_BeHit,,Swordman_F_Stun,Knight_F_Skill_Singing,Swordman_F_Death,,,,,Common_F_Panpa_Idle,Common_F_PanpaRun_Up,Common_F_PanpaRun_Down,Common_F_PanpaRun_Left,Common_F_PanpaRun_Right,Common_F_Panpa_To_Idle_Up,Common_F_Panpa_To_Idle_Down,Common_F_Idle_To_Panpa_Up,Common_F_Idle_To_Panpa_Down,,,,,,Fashion_F_JiJia_Idle01_Show_01=2900003=0=5.5=0|Fashion_F_JiJia_Idle01_Show_02=2900004=0=5=0|Fashion_F_SiShen02_Idle_Show_01=3000002=0=5.5=0|Fashion_F_HongYe_Idle_Show_01=3000001=0=5.5=0|Fashion_F_HongYe_Idle=3000001=0=5=0
1120,十字军（男）,Common_M_Default,,,,0.5,2,Crusader_M_Idle,0=Crusader_M_IdleF,4.6,0.1|0.6,0,4,Crusader_M_Run,Crusader_M_RunF,0.1,Crusader_M_BeHit,,Swordman_M_Stun,Crusader_M_Skill_Singing,Crusader_M_Death,,,,,Common_M_Panpa_Idle,Common_M_PanpaRun_Up,Common_M_PanpaRun_Down,Common_M_PanpaRun_Left,Common_M_PanpaRun_Right,Common_M_Panpa_To_Idle_Up,Common_M_Panpa_To_Idle_Down,Common_M_Idle_To_Panpa_Up,Common_M_Idle_To_Panpa_Down,,,,,,Fashion_M_JiJia_Idle01_Show_01=2900001=0=5.5=0|Fashion_M_JiJia_Idle01_Show_02=2900002=0=5=0
1121,十字军（女）,Common_F_Default,,,,0.5,2,Crusader_F_Idle,0=Crusader_F_IdleF,4.6,0.1|0.6,0,4,Crusader_F_Run,Crusader_F_RunF,0.1,Crusader_F_BeHit,,Swordman_F_Stun,Crusader_F_Skill_Singing,Crusader_F_Death,,,,,Common_F_Panpa_Idle,Common_F_PanpaRun_Up,Common_F_PanpaRun_Down,Common_F_PanpaRun_Left,Common_F_PanpaRun_Right,Common_F_Panpa_To_Idle_Up,Common_F_Panpa_To_Idle_Down,Common_F_Idle_To_Panpa_Up,Common_F_Idle_To_Panpa_Down,,,,,,Fashion_F_JiJia_Idle01_Show_01=2900003=0=5.5=0|Fashion_F_JiJia_Idle01_Show_02=2900004=0=5=0|Fashion_F_SiShen02_Idle_Show_01=3000002=0=5.5=0|Fashion_F_HongYe_Idle_Show_01=3000001=0=5.5=0|Fashion_F_HongYe_Idle=3000001=0=5=0
1030,牧师（男）,Common_M_Default,,,,0.5,2,Priest_M_Idle,0=Priest_M_IdleF,4.6,0.1|0.6,0,4,Acolyte_M_Run,Acolyte_M_RunF,0.1,Acolyte_M_BeHit,,Acolyte_M_Stun,Priest_M_Skill_Singing_01_Stick,Acolyte_M_Death,,,,,Common_M_Panpa_Idle,Common_M_PanpaRun_Up,Common_M_PanpaRun_Down,Common_M_PanpaRun_Left,Common_M_PanpaRun_Right,Common_M_Panpa_To_Idle_Up,Common_M_Panpa_To_Idle_Down,Common_M_Idle_To_Panpa_Up,Common_M_Idle_To_Panpa_Down,,,,,,Fashion_M_JiJia_Idle01_Show_01=2900001=0=5.5=0|Fashion_M_JiJia_Idle01_Show_02=2900002=0=5=0
1031,牧师（女）,Common_F_Default,,,,0.5,2,Priest_F_Idle,0=Priest_F_IdleF,4.6,0.1|0.6,0,4,Acolyte_F_Run,Acolyte_F_RunF,0.1,Acolyte_F_BeHit,,Acolyte_F_Stun,Priest_F_Skill_Singing_01_Stick,Acolyte_F_Death,,,,,Common_F_Panpa_Idle,Common_F_PanpaRun_Up,Common_F_PanpaRun_Down,Common_F_PanpaRun_Left,Common_F_PanpaRun_Right,Common_F_Panpa_To_Idle_Up,Common_F_Panpa_To_Idle_Down,Common_F_Idle_To_Panpa_Up,Common_F_Idle_To_Panpa_Down,,,,,,Fashion_F_JiJia_Idle01_Show_01=2900003=0=5.5=0|Fashion_F_JiJia_Idle01_Show_02=2900004=0=5=0|Fashion_F_SiShen02_Idle_Show_01=3000002=0=5.5=0|Fashion_F_HongYe_Idle_Show_01=3000001=0=5.5=0|Fashion_F_HongYe_Idle=3000001=0=5=0
1130,武僧（男）,Common_M_Default,,,,0.5,2,Monk_M_Idle,0=Monk_M_IdleF,4.6,0.1|0.6,0,4,Monk_M_Run,Monk_M_RunF,0.1,Monk_M_BeHit,,Monk_M_Stun,Monk_M_Skill_Singing_01_None,Monk_M_Death,,,,,Common_M_Panpa_Idle,Common_M_PanpaRun_Up,Common_M_PanpaRun_Down,Common_M_PanpaRun_Left,Common_M_PanpaRun_Right,Common_M_Panpa_To_Idle_Up,Common_M_Panpa_To_Idle_Down,Common_M_Idle_To_Panpa_Up,Common_M_Idle_To_Panpa_Down,,,,,0=Monk_M_IdleF_Connect,Fashion_M_JiJia_Idle01_Show_01=2900001=0=5.5=0|Fashion_M_JiJia_Idle01_Show_02=2900002=0=5=0
1131,武僧（女）,Common_F_Default,,,,0.5,2,Monk_F_Idle,0=Monk_F_IdleF,4.6,0.1|0.6,0,4,Monk_F_Run,Monk_F_RunF,0.1,Monk_F_BeHit,,Monk_F_Stun,Monk_F_Skill_Singing_01_None,Monk_F_Death,,,,,Common_F_Panpa_Idle,Common_F_PanpaRun_Up,Common_F_PanpaRun_Down,Common_F_PanpaRun_Left,Common_F_PanpaRun_Right,Common_F_Panpa_To_Idle_Up,Common_F_Panpa_To_Idle_Down,Common_F_Idle_To_Panpa_Up,Common_F_Idle_To_Panpa_Down,,,,,0=Monk_F_IdleF_Connect,Fashion_F_JiJia_Idle01_Show_01=2900003=0=5.5=0|Fashion_F_JiJia_Idle01_Show_02=2900004=0=5=0|Fashion_F_SiShen02_Idle_Show_01=3000002=0=5.5=0|Fashion_F_HongYe_Idle_Show_01=3000001=0=5.5=0|Fashion_F_HongYe_Idle=3000001=0=5=0
1040,巫师（男）,Common_M_Default,,,,0.5,2,Wizard_M_Idle,0=Wizard_M_IdleF,4.6,0.1|0.6,0,4,Magician_M_Run,Magician_M_RunF,0.1,Magician_M_BeHit,,Magician_M_Stun,Wizard_M_Skill_Singing_01_Stick,Magician_M_Death,,,,,Common_M_Panpa_Idle,Common_M_PanpaRun_Up,Common_M_PanpaRun_Down,Common_M_PanpaRun_Left,Common_M_PanpaRun_Right,Common_M_Panpa_To_Idle_Up,Common_M_Panpa_To_Idle_Down,Common_M_Idle_To_Panpa_Up,Common_M_Idle_To_Panpa_Down,,,,,,Fashion_M_JiJia_Idle01_Show_01=2900001=0=5.5=0|Fashion_M_JiJia_Idle01_Show_02=2900002=0=5=0
1041,巫师（女）,Common_F_Default,,,,0.5,2,Wizard_F_Idle,0=Wizard_F_IdleF,4.6,0.1|0.6,0,4,Magician_F_Run,Magician_F_RunF,0.1,Magician_F_BeHit,,Magician_F_Stun,Wizard_F_Skill_Singing_01_Stick,Magician_F_Death,,,,,Common_F_Panpa_Idle,Common_F_PanpaRun_Up,Common_F_PanpaRun_Down,Common_F_PanpaRun_Left,Common_F_PanpaRun_Right,Common_F_Panpa_To_Idle_Up,Common_F_Panpa_To_Idle_Down,Common_F_Idle_To_Panpa_Up,Common_F_Idle_To_Panpa_Down,,,,,,Fashion_F_JiJia_Idle01_Show_01=2900003=0=5.5=0|Fashion_F_JiJia_Idle01_Show_02=2900004=0=5=0|Fashion_F_SiShen02_Idle_Show_01=3000002=0=5.5=0|Fashion_F_HongYe_Idle_Show_01=3000001=0=5.5=0|Fashion_F_HongYe_Idle=3000001=0=5=0
1140,贤者（男）,Common_M_Default,,,,0.5,2,Scholar_M_Idle,0=Scholar_M_IdleF|9=Wizard_M_IdleF|10=Wizard_M_IdleF|15=Scholar_M_IdleF,4.6,0.1|0.6,0,4,Sage_M_Run,Sage_M_RunF,0.1,Sage_M_BeHit,,Sage_M_Stun,Scholar_M_Skill_SingingRun_PiaoFu,Sage_M_Death,,,,,Common_M_Panpa_Idle,Common_M_PanpaRun_Up,Common_M_PanpaRun_Down,Common_M_PanpaRun_Left,Common_M_PanpaRun_Right,Common_M_Panpa_To_Idle_Up,Common_M_Panpa_To_Idle_Down,Common_M_Idle_To_Panpa_Up,Common_M_Idle_To_Panpa_Down,,,,,,
1141,贤者（女）,Common_F_Default,,,,0.5,2,Scholar_F_Idle,0=Scholar_F_IdleF|9=Wizard_F_IdleF|10=Wizard_F_IdleF|15=Scholar_F_IdleF,4.6,0.1|0.6,0,4,Sage_F_Run,Sage_F_RunF,0.1,Sage_F_BeHit,,Sage_F_Stun,Scholar_F_Skill_SingingRun_PiaoFu,Sage_F_Death,,,,,Common_F_Panpa_Idle,Common_F_PanpaRun_Up,Common_F_PanpaRun_Down,Common_F_PanpaRun_Left,Common_F_PanpaRun_Right,Common_F_Panpa_To_Idle_Up,Common_F_Panpa_To_Idle_Down,Common_F_Idle_To_Panpa_Up,Common_F_Idle_To_Panpa_Down,,,,,,
1050,刺客（男）,Common_M_Default,,,,0.5,2,Assassin_M_Idle,0=Assassin_M_IdleF|16=Assassin_M_Blade_IdleF,4.6,0.1|0.6,0,4,Thief_M_Run,Thief_M_RunF,0.1,Thief_M_BeHit,,Thief_M_Stun,Assassin_M_IdleF,Thief_M_Death,,,,,Common_M_Panpa_Idle,Common_M_PanpaRun_Up,Common_M_PanpaRun_Down,Common_M_PanpaRun_Left,Common_M_PanpaRun_Right,Common_M_Panpa_To_Idle_Up,Common_M_Panpa_To_Idle_Down,Common_M_Idle_To_Panpa_Up,Common_M_Idle_To_Panpa_Down,,,,,,Fashion_M_JiJia_Idle01_Show_01=2900001=0=5.5=0|Fashion_M_JiJia_Idle01_Show_02=2900002=0=5=0
1051,刺客（女）,Common_F_Default,,,,0.5,2,Assassin_F_Idle,0=Assassin_F_IdleF|16=Assassin_F_Blade_IdleF,4.6,0.1|0.6,0,4,Thief_F_Run,Thief_F_RunF,0.1,Thief_F_BeHit,,Thief_F_Stun,Assassin_F_IdleF,Thief_F_Death,,,,,Common_F_Panpa_Idle,Common_F_PanpaRun_Up,Common_F_PanpaRun_Down,Common_F_PanpaRun_Left,Common_F_PanpaRun_Right,Common_F_Panpa_To_Idle_Up,Common_F_Panpa_To_Idle_Down,Common_F_Idle_To_Panpa_Up,Common_F_Idle_To_Panpa_Down,,,,,,Fashion_F_JiJia_Idle01_Show_01=2900003=0=5.5=0|Fashion_F_JiJia_Idle01_Show_02=2900004=0=5=0|Fashion_F_SiShen02_Idle_Show_01=3000002=0=5.5=0|Fashion_F_HongYe_Idle_Show_01=3000001=0=5.5=0|Fashion_F_HongYe_Idle=3000001=0=5=0
1060,猎人（男）,Common_M_Default,,,,0.5,2,Hunter_M_Idle,0=Hunter_M_IdleF,4.6,0.1|0.6,0,4,Archer_M_Run,Archer_M_RunF,0.1,Archer_M_BeHit,,Archer_M_Stun,Hunter_M_IdleF,Archer_M_Death,,,,,Common_M_Panpa_Idle,Common_M_PanpaRun_Up,Common_M_PanpaRun_Down,Common_M_PanpaRun_Left,Common_M_PanpaRun_Right,Common_M_Panpa_To_Idle_Up,Common_M_Panpa_To_Idle_Down,Common_M_Idle_To_Panpa_Up,Common_M_Idle_To_Panpa_Down,,,,,,Fashion_M_JiJia_Idle01_Show_01=2900001=0=5.5=0|Fashion_M_JiJia_Idle01_Show_02=2900002=0=5=0
1061,猎人（女）,Common_F_Default,,,,0.5,2,Hunter_F_Idle,0=Hunter_F_IdleF,4.6,0.1|0.6,0,4,Archer_F_Run,Archer_F_RunF,0.1,Archer_F_BeHit,,Archer_F_Stun,Hunter_F_IdleF,Archer_F_Death,,,,,Common_F_Panpa_Idle,Common_F_PanpaRun_Up,Common_F_PanpaRun_Down,Common_F_PanpaRun_Left,Common_F_PanpaRun_Right,Common_F_Panpa_To_Idle_Up,Common_F_Panpa_To_Idle_Down,Common_F_Idle_To_Panpa_Up,Common_F_Idle_To_Panpa_Down,,,,,,Fashion_F_JiJia_Idle01_Show_01=2900003=0=5.5=0|Fashion_F_JiJia_Idle01_Show_02=2900004=0=5=0|Fashion_F_SiShen02_Idle_Show_01=3000002=0=5.5=0|Fashion_F_HongYe_Idle_Show_01=3000001=0=5.5=0|Fashion_F_HongYe_Idle=3000001=0=5=0
1160,诗人（男）,Common_M_Default,,,,0.5,2,Bard_M_Idle,0=Novice_M_IdleF|11=Hunter_M_IdleF|13=Bard_M_IdleF,4.6,0.1|0.6,0,4,Bard_M_Run,Bard_M_RunF,0.1,Bard_M_BeHit,,Archer_M_Stun,Bard_M_IdleF,Bard_M_Death,,,,,Common_M_Panpa_Idle,Common_M_PanpaRun_Up,Common_M_PanpaRun_Down,Common_M_PanpaRun_Left,Common_M_PanpaRun_Right,Common_M_Panpa_To_Idle_Up,Common_M_Panpa_To_Idle_Down,Common_M_Idle_To_Panpa_Up,Common_M_Idle_To_Panpa_Down,,,,,,Fashion_M_JiJia_Idle01_Show_01=2900001=0=5.5=0|Fashion_M_JiJia_Idle01_Show_02=2900002=0=5=0
1161,舞娘（女）,Common_F_Default,,,,0.5,2,Dancer_F_Idle,0=Dancer_F_IdleF|11=Hunter_F_IdleF|14=Dancer_F_IdleF,4.6,0.1|0.6,0,4,Dancer_F_Run,Dancer_F_RunF,0.1,Archer_F_BeHit,,Archer_F_Stun,Dancer_F_IdleF,Dancer_F_Death,,,,,Common_F_Panpa_Idle,Common_F_PanpaRun_Up,Common_F_PanpaRun_Down,Common_F_PanpaRun_Left,Common_F_PanpaRun_Right,Common_F_Panpa_To_Idle_Up,Common_F_Panpa_To_Idle_Down,Common_F_Idle_To_Panpa_Up,Common_F_Idle_To_Panpa_Down,,,,,,Fashion_F_JiJia_Idle01_Show_01=2900003=0=5.5=0|Fashion_F_JiJia_Idle01_Show_02=2900004=0=5=0|Fashion_F_SiShen02_Idle_Show_01=3000002=0=5.5=0|Fashion_F_HongYe_Idle_Show_01=3000001=0=5.5=0|Fashion_F_HongYe_Idle=3000001=0=5=0
