ServerLevel,LevelDiffer,ExpRate
50,-5=-5,-3000
50,-6=-6,-4000
50,-7=-7,-5000
50,-999=-8,-6000
55,20=999,15000
55,19=19,15000
55,18=18,15000
55,17=17,15000
55,16=16,15000
55,15=15,12000
55,14=14,12000
55,13=13,12000
55,12=12,12000
55,11=11,12000
55,10=10,12000
55,9=9,10000
55,8=8,10000
55,7=7,8000
55,6=6,6000
55,5=5,5000
55,4=4,4000
55,3=3,3000
55,2=2,2000
55,1=1,1000
55,0=0,0
55,-1=-1,-1000
55,-2=-2,-1500
55,-3=-3,-2000
55,-4=-4,-2000
55,-5=-5,-3000
55,-6=-6,-4000
55,-7=-7,-5000
55,-999=-8,-6000
60,20=999,20000
60,19=19,20000
60,18=18,20000
60,17=17,20000
60,16=16,20000
60,15=15,20000
60,14=14,20000
60,13=13,20000
60,12=12,20000
60,11=11,20000
60,10=10,20000
60,9=9,15000
60,8=8,15000
60,7=7,12000
60,6=6,8000
60,5=5,6000
60,4=4,5000
60,3=3,3000
60,2=2,2000
60,1=1,1000
60,0=0,0
60,-1=-1,-1000
60,-2=-2,-1500
60,-3=-3,-2000
60,-4=-4,-2000
60,-5=-5,-3000
60,-6=-6,-4000
60,-7=-7,-5000
60,-999=-8,-6000
65,20=999,20000
65,19=19,20000
65,18=18,20000
65,17=17,20000
65,16=16,20000
65,15=15,20000
65,14=14,20000
65,13=13,20000
65,12=12,20000
65,11=11,20000
65,10=10,20000
65,9=9,15000
65,8=8,15000
65,7=7,12000
65,6=6,8000
65,5=5,6000
65,4=4,5000
65,3=3,3000
65,2=2,2000
65,1=1,1000
65,0=0,0
65,-1=-1,-1000
65,-2=-2,-1500
65,-3=-3,-2000
65,-4=-4,-2000
65,-5=-5,-3000
65,-6=-6,-4000
65,-7=-7,-5000
65,-999=-8,-6000
70,20=999,20000
70,19=19,20000
70,18=18,20000
70,17=17,20000
70,16=16,20000
70,15=15,20000
70,14=14,20000
70,13=13,20000
70,12=12,20000
70,11=11,20000
70,10=10,20000
70,9=9,15000
70,8=8,15000
70,7=7,12000
70,6=6,8000
70,5=5,6000
70,4=4,5000
70,3=3,3000
70,2=2,2000
70,1=1,1000
70,0=0,0
70,-1=-1,-1000
70,-2=-2,-1500
70,-3=-3,-2000
70,-4=-4,-2000
70,-5=-5,-3000
70,-6=-6,-4000
70,-7=-7,-5000
70,-999=-8,-6000
75,20=999,20000
75,19=19,20000
75,18=18,20000
75,17=17,20000
75,16=16,20000
75,15=15,20000
75,14=14,20000
75,13=13,20000
75,12=12,20000
75,11=11,20000
75,10=10,20000
75,9=9,15000
75,8=8,15000
75,7=7,12000
75,6=6,8000
75,5=5,6000
75,4=4,5000
75,3=3,3000
75,2=2,2000
75,1=1,1000
75,0=0,0
75,-1=-1,-1000
75,-2=-2,-1500
75,-3=-3,-2000
75,-4=-4,-2000
75,-5=-5,-3000
75,-6=-6,-4000
75,-7=-7,-5000
75,-999=-8,-6000
80,20=999,30000
80,19=19,30000
80,18=18,30000
80,17=17,30000
80,16=16,30000
80,15=15,30000
80,14=14,30000
80,13=13,30000
80,12=12,30000
80,11=11,30000
80,10=10,30000
80,9=9,20000
80,8=8,20000
80,7=7,15000
80,6=6,12000
80,5=5,10000
80,4=4,8000
80,3=3,6000
80,2=2,4000
80,1=1,2000
80,0=0,0
80,-1=-1,-1000
80,-2=-2,-1500
80,-3=-3,-2000
80,-4=-4,-2000
80,-5=-5,-3000
80,-6=-6,-4000
80,-7=-7,-5000
80,-999=-8,-6000
85,20=999,30000
85,19=19,30000
85,18=18,30000
85,17=17,30000
85,16=16,30000
85,15=15,30000
85,14=14,30000
85,13=13,30000
85,12=12,30000
85,11=11,30000
85,10=10,30000
85,9=9,20000
85,8=8,20000
85,7=7,15000
85,6=6,12000
85,5=5,10000
85,4=4,8000
85,3=3,6000
85,2=2,4000
85,1=1,2000
85,0=0,0
85,-1=-1,-1000
85,-2=-2,-1500
85,-3=-3,-2000
85,-4=-4,-2000
85,-5=-5,-3000
85,-6=-6,-4000
85,-7=-7,-5000
85,-999=-8,-6000
90,20=999,30000
90,19=19,30000
90,18=18,30000
90,17=17,30000
90,16=16,30000
90,15=15,30000
90,14=14,30000
90,13=13,30000
90,12=12,30000
90,11=11,30000
90,10=10,30000
90,9=9,20000
90,8=8,20000
90,7=7,15000
90,6=6,12000
90,5=5,10000
90,4=4,8000
90,3=3,6000
90,2=2,4000
90,1=1,2000
90,0=0,0
90,-1=-1,-1000
90,-2=-2,-1500
90,-3=-3,-2000
90,-4=-4,-2000
90,-5=-5,-3000
90,-6=-6,-4000
90,-7=-7,-5000
90,-999=-8,-6000
95,20=999,30000
95,19=19,30000
95,18=18,30000
95,17=17,30000
95,16=16,30000
95,15=15,30000
95,14=14,30000
95,13=13,30000
95,12=12,30000
95,11=11,30000
95,10=10,30000
95,9=9,20000
95,8=8,20000
95,7=7,15000
95,6=6,12000
95,5=5,10000
95,4=4,10000
95,3=3,8000
95,2=2,6500
95,1=1,3000
95,0=0,0
95,-1=-1,-500
95,-2=-2,-700
95,-3=-3,-1000
95,-4=-4,-1500
95,-5=-5,-5500
95,-6=-6,-7000
95,-7=-7,-7500
95,-999=-8,-8000
100,20=999,30000
100,19=19,30000
100,18=18,30000
100,17=17,30000
100,16=16,30000
100,15=15,30000
100,14=14,30000
100,13=13,30000
100,12=12,30000
100,11=11,30000
100,10=10,30000
100,9=9,20000
100,8=8,20000
100,7=7,15000
100,6=6,12000
100,5=5,10000
100,4=4,10000
100,3=3,8000
100,2=2,6500
100,1=1,3000
100,0=0,0
100,-1=-1,-500
100,-2=-2,-700
100,-3=-3,-1000
100,-4=-4,-1500
100,-5=-5,-5500
100,-6=-6,-7000
100,-7=-7,-7500
100,-999=-8,-8000
105,20=999,30000
105,19=19,30000
105,18=18,30000
105,17=17,30000
105,16=16,30000
105,15=15,30000
105,14=14,30000
105,13=13,30000
105,12=12,30000
105,11=11,30000
105,10=10,30000
105,9=9,20000
105,8=8,20000
105,7=7,15000
105,6=6,12000
105,5=5,10000
105,4=4,10000
105,3=3,8000
105,2=2,6500
105,1=1,3000
105,0=0,0
105,-1=-1,-500
105,-2=-2,-700
105,-3=-3,-1000
105,-4=-4,-1500
105,-5=-5,-5500
105,-6=-6,-7000
105,-7=-7,-7500
105,-999=-8,-8000
110,20=999,30000
110,19=19,30000
110,18=18,30000
110,17=17,30000
110,16=16,30000
110,15=15,30000
110,14=14,30000
110,13=13,30000
110,12=12,30000
110,11=11,30000
110,10=10,30000
110,9=9,20000
110,8=8,20000
110,7=7,15000
110,6=6,12000
110,5=5,10000
110,4=4,10000
110,3=3,8000
110,2=2,6500
110,1=1,3000
110,0=0,0
110,-1=-1,-500
110,-2=-2,-700
110,-3=-3,-1000
110,-4=-4,-1500
110,-5=-5,-5500
110,-6=-6,-7000
110,-7=-7,-7500
110,-999=-8,-8000
115,20=999,30000
115,19=19,30000
115,18=18,30000
115,17=17,30000
115,16=16,30000
115,15=15,30000
115,14=14,30000
115,13=13,30000
115,12=12,30000
115,11=11,30000
115,10=10,30000
115,9=9,20000
115,8=8,20000
115,7=7,15000
115,6=6,12000
115,5=5,10000
115,4=4,10000
115,3=3,8000
115,2=2,6500
115,1=1,3000
115,0=0,0
115,-1=-1,-500
115,-2=-2,-700
115,-3=-3,-1000
115,-4=-4,-1500
115,-5=-5,-5500
115,-6=-6,-7000
115,-7=-7,-7500
115,-999=-8,-8000
120,20=999,30000
120,19=19,30000
120,18=18,30000
120,17=17,30000
120,16=16,30000
120,15=15,30000
120,14=14,30000
120,13=13,30000
120,12=12,30000
120,11=11,30000
120,10=10,30000
120,9=9,20000
120,8=8,20000
120,7=7,15000
120,6=6,12000
120,5=5,10000
120,4=4,10000
120,3=3,8000
120,2=2,6500
120,1=1,3000
120,0=0,0
120,-1=-1,-500
120,-2=-2,-700
120,-3=-3,-1000
120,-4=-4,-1500
120,-5=-5,-5500
120,-6=-6,-7000
120,-7=-7,-7500
120,-999=-8,-8000
125,20=999,30000
125,19=19,30000
125,18=18,30000
125,17=17,30000
125,16=16,30000
125,15=15,30000
125,14=14,30000
125,13=13,30000
125,12=12,30000
125,11=11,30000
125,10=10,30000
125,9=9,20000
125,8=8,20000
125,7=7,15000
125,6=6,12000
125,5=5,10000
125,4=4,10000
125,3=3,8000
125,2=2,6500
125,1=1,3000
125,0=0,0
125,-1=-1,-500
125,-2=-2,-700
125,-3=-3,-1000
125,-4=-4,-1500
125,-5=-5,-5500
125,-6=-6,-7000
125,-7=-7,-7500
125,-999=-8,-8000
130,20=999,30000
130,19=19,30000
130,18=18,30000
130,17=17,30000
130,16=16,30000
130,15=15,30000
130,14=14,30000
130,13=13,30000
130,12=12,30000
130,11=11,30000
130,10=10,30000
130,9=9,20000
130,8=8,20000
130,7=7,15000
130,6=6,12000
130,5=5,10000
130,4=4,10000
130,3=3,8000
130,2=2,6500
130,1=1,3000
130,0=0,0
130,-1=-1,-500
130,-2=-2,-700
130,-3=-3,-1000
130,-4=-4,-1500
130,-5=-5,-5500
130,-6=-6,-7000
130,-7=-7,-7500
130,-999=-8,-8000
135,20=999,30000
135,19=19,30000
135,18=18,30000
135,17=17,30000
135,16=16,30000
135,15=15,30000
135,14=14,30000
135,13=13,30000
135,12=12,30000
135,11=11,30000
135,10=10,30000
135,9=9,20000
135,8=8,20000
135,7=7,15000
135,6=6,12000
135,5=5,10000
135,4=4,10000
135,3=3,8000
135,2=2,6500
135,1=1,3000
135,0=0,0
135,-1=-1,-500
135,-2=-2,-700
135,-3=-3,-1000
135,-4=-4,-1500
135,-5=-5,-5500
135,-6=-6,-7000
135,-7=-7,-7500
135,-999=-8,-8000
140,20=999,30000
140,19=19,30000
140,18=18,30000
140,17=17,30000
140,16=16,30000
140,15=15,30000
140,14=14,30000
140,13=13,30000
140,12=12,30000
140,11=11,30000
140,10=10,30000
140,9=9,20000
140,8=8,20000
140,7=7,15000
140,6=6,12000
140,5=5,10000
140,4=4,10000
140,3=3,8000
140,2=2,6500
140,1=1,3000
140,0=0,0
140,-1=-1,-500
140,-2=-2,-700
140,-3=-3,-1000
140,-4=-4,-1500
140,-5=-5,-5500
140,-6=-6,-7000
140,-7=-7,-7500
140,-999=-8,-8000
145,20=999,30000
145,19=19,30000
145,18=18,30000
145,17=17,30000
145,16=16,30000
145,15=15,30000
145,14=14,30000
145,13=13,30000
145,12=12,30000
145,11=11,30000
145,10=10,30000
145,9=9,20000
145,8=8,20000
145,7=7,15000
145,6=6,12000
145,5=5,10000
145,4=4,10000
145,3=3,8000
145,2=2,6500
145,1=1,3000
145,0=0,0
145,-1=-1,-500
145,-2=-2,-700
145,-3=-3,-1000
145,-4=-4,-1500
145,-5=-5,-5500
145,-6=-6,-7000
145,-7=-7,-7500
145,-999=-8,-8000
150,20=999,30000
150,19=19,30000
150,18=18,30000
150,17=17,30000
150,16=16,30000
150,15=15,30000
150,14=14,30000
150,13=13,30000
150,12=12,30000
150,11=11,30000
150,10=10,30000
150,9=9,20000
150,8=8,20000
150,7=7,15000
150,6=6,12000
150,5=5,10000
150,4=4,10000
150,3=3,8000
150,2=2,6500
150,1=1,3000
150,0=0,0
150,-1=-1,-500
150,-2=-2,-700
150,-3=-3,-1000
150,-4=-4,-1500
150,-5=-5,-5500
150,-6=-6,-7000
150,-7=-7,-7500
150,-999=-8,-8000
155,20=999,30000
155,19=19,30000
155,18=18,30000
155,17=17,30000
155,16=16,30000
155,15=15,30000
155,14=14,30000
155,13=13,30000
155,12=12,30000
155,11=11,30000
155,10=10,30000
155,9=9,20000
155,8=8,20000
155,7=7,15000
155,6=6,12000
155,5=5,10000
155,4=4,10000
155,3=3,8000
155,2=2,6500
155,1=1,3000
155,0=0,0
155,-1=-1,-500
155,-2=-2,-700
155,-3=-3,-1000
155,-4=-4,-1500
155,-5=-5,-5500
155,-6=-6,-7000
155,-7=-7,-7500
155,-999=-8,-8000
160,20=999,30000
160,19=19,30000
160,18=18,30000
160,17=17,30000
160,16=16,30000
160,15=15,30000
160,14=14,30000
160,13=13,30000
160,12=12,30000
160,11=11,30000
160,10=10,30000
160,9=9,20000
160,8=8,20000
160,7=7,15000
160,6=6,12000
160,5=5,10000
160,4=4,10000
160,3=3,8000
160,2=2,6500
160,1=1,3000
160,0=0,0
160,-1=-1,-500
160,-2=-2,-700
160,-3=-3,-1000
160,-4=-4,-1500
160,-5=-5,-5500
160,-6=-6,-7000
160,-7=-7,-7500
160,-999=-8,-8000
165,20=999,30000
165,19=19,30000
165,18=18,30000
165,17=17,30000
165,16=16,30000
165,15=15,30000
165,14=14,30000
165,13=13,30000
165,12=12,30000
165,11=11,30000
165,10=10,30000
165,9=9,20000
165,8=8,20000
165,7=7,15000
165,6=6,12000
165,5=5,10000
165,4=4,10000
165,3=3,8000
165,2=2,6500
165,1=1,3000
165,0=0,0
165,-1=-1,-500
165,-2=-2,-700
165,-3=-3,-1000
165,-4=-4,-1500
165,-5=-5,-5500
165,-6=-6,-7000
165,-7=-7,-7500
165,-999=-8,-8000
170,20=999,30000
170,19=19,30000
170,18=18,30000
170,17=17,30000
170,16=16,30000
170,15=15,30000
170,14=14,30000
170,13=13,30000
170,12=12,30000
170,11=11,30000
170,10=10,30000
170,9=9,20000
170,8=8,20000
170,7=7,15000
170,6=6,12000
170,5=5,10000
170,4=4,10000
170,3=3,8000
170,2=2,6500
170,1=1,3000
170,0=0,0
170,-1=-1,-500
170,-2=-2,-700
170,-3=-3,-1000
170,-4=-4,-1500
170,-5=-5,-5500
170,-6=-6,-7000
170,-7=-7,-7500
170,-999=-8,-8000
999,-999=999,0
