BarberID,BarberName,BarberAtlas,BarberIcon,SexLimit,SortID,BarberModel,BarberPrice,CollectionScoreLimit,AchievementPointLimit,AchievementLimit,TaskLimit,AchievementLevelLimit,UseItem,BarberFrame,SpecialColor,UsedForCreate,Mask,Hide,
6030011,可爱短发,Hairstyle_F,Hairstyle_F_010.png,1,,Common_F_ShenSheShou_Hair,101=20000,,,,,,,0,0,,,1,
6030012,超魔导师,Hairstyle_F,Hairstyle_F_011.png,1,,Common_F_ChaoMoDaoShi_Hair,101=20000,,,,,,,0,0,,,1,
6030013,小魔女,Hairstyle_F,Hairstyle_F_013.png,1,114,Common_F_XiaoEMo_Hair,101=20000,,,,,,2062001=1,0,0,,,,
6030014,俏皮小萌妹,Hairstyle_F,Hairstyle_F_014.png,1,115,Common_F_NvPu_Hair,101=50000,,,,,,2062002=1,0,0,,,,
6030015,cool girl,Hairstyle_F,Hairstyle_Common_F_Idol_Hair.png,1,116,Common_F_Idol_Hair,101=20000,,,,,,2062003=1,0,0,,,,
6030016,英姿飒爽,Hairstyle_F,Hairstyle_Common_M_ShangRen_Hair.png,1,112,Common_F_ShangRen_Hair,101=50000,,,,,10,,0,0,,,,
6030017,不忘初心,Hairstyle_F,Hairstyle_Common_F_ChuShengZhuang_Hair.png,1,3,Common_F_ChuShengZhuang_Hair,101=50000,,,,,,,0,0,1,,,
6030018,公主小妹,Hairstyle_F,Hairstyle_Common_F_ChuShengZhuang01_Hair.png,1,117,Common_F_ChuShengZhuang01_Hair,101=50000,,,,,,2062005=1,0,0,,,,
6030019,小温柔,Hairstyle_F,Hairstyle_Common_F_YiJieFuShi_Hair.png,1,4,Common_F_YiJieFuShi_Hair,101=50000,,,,,,,0,0,1,,,
6030020,百变少女,Hairstyle_F,Hairstyle_Common_F_YiJieDaoZei_Hair.png,1,5,Common_F_YiJieDaoZei_Hair,101=50000,,,,,,,0,0,1,,,
6030021,异域少女,Hairstyle_F,Hairstyle_Common_F_YiJieFaShi_Hair.png,1,6,Common_F_YiJieFaShi_Hair,101=50000,,,,,,,0,0,1,,,
6030022,公主切,Hairstyle_F,Hairstyle_Common_F_SanJieShenSheShou01_Hair.png,1,7,Common_F_SanJieShenSheShou01_Hair,101=50000,,,,,,,0,0,1,,,
6030023,波波头,Hairstyle_F,Hairstyle_Common_F_ErJieQiShi01_Hair.png,1,118,Common_F_ErJieQiShi01_Hair,101=50000,,,,,,2062006=1,0,0,,,,
6030024,古典,Hairstyle_F,Hairstyle_Common_M_HanFu01_Hair.png,1,119,Common_F_HanFu03_Hair,101=50000,,,,,,2062007=1,0,0,,,,
6030025,童话世界,Hairstyle_F,Hairstyle_Common_F_ErJieMuShi01_Hair.png,1,110,Common_F_ErJieMuShi01_Hair,101=50000,80,,,,,,0,0,,,,
6030026,波西米亚风,Hairstyle_F,Hairstyle_Common_F_YongBingErJieQiShi_Hair.png,1,120,Common_F_YongBingErJieQiShi_Hair,101=50000,,,,,,2062009=1,0,0,,,,
6030027,优雅,Hairstyle_F,Hairstyle_Common_F_MengLuoKeShangRen02_Hair.png,1,9,Common_F_MengLuoKeShangRen02_Hair,101=50000,,,,,,,0,0,1,,,
6030028,糖豆,Hairstyle_F,Hairstyle_Common_F_YongBingErJieCiKe_Hair.png,1,122,Common_F_YongBingErJieCiKe_Hair,101=50000,,,,,,2062011=1,0,0,,,,
6030029,秋日梦,Hairstyle_F,Hairstyle_Common_F_YongBingErJieTieJiang_Hair.png,1,123,Common_F_YongBingErJieTieJiang_Hair,101=50000,,,,,,2062012=1,0,0,,,,
6030030,冬日暖阳,Hairstyle_F,Hairstyle_Common_F_YongBingErJieWuShi_Hair.png,1,113,Common_F_YongBingErJieWuShi_Hair,101=50000,,,,,15,,0,0,,,,
6030031,新发型6,Hairstyle_F,Hairstyle_Common_F_ErJieTieJiang01_Hair.png,1,,Common_F_ErJieTieJiang01_Hair,101=50000,,,,,,,0,0,,,1,
6030032,学生头,Hairstyle_F,Hairstyle_Common_M_GongJianShou_Hair.png,1,2,Common_F_YiJieGongJianShou_Hair,101=50000,,,,,,,0,0,1,,,
6040001,通用发型1男,,,0,,Common_M_Default_Hair,,,,,,,,,,,,1,
6050001,通用发型1女,,,1,,Common_F_Default_Hair,,,,,,,,,,,,1,
6060001,雨天爆炸头-男,Hairstyle_F,Hairstyle_F_012.png,0,,Common_M_BaoZhaTou_Hair,101=20000,,,,,,,,,,,1,
6060002,雨天爆炸头-女,Hairstyle_F,Hairstyle_F_012.png,1,,Common_F_BaoZhaTou_Hair,101=20000,,,,,,,,,,,1,
6030033,叶子,Hairstyle_F,Hairstyle_Common_F_YiJieJianShi_Hair.png,1,109,Common_F_YiJieJianShi_Hair,101=50000,40,,,,,,0,0,,,,
6030034,柔美长发,Hairstyle_F,Hairstyle_Common_F_SanJieQiShiLingZhu01_Hair.png,1,125,Common_F_SanJieQiShiLingZhu01_Hair,101=50000,,,,,,2062016=1,0,0,,,,
6030035,新发型10,Hairstyle_F,Hairstyle_F_002.png,1,,Common_F_ShuiShou_Hair,101=50000,,,,,,,0,0,,,1,
6030036,新发型11,Hairstyle_F,Hairstyle_F_002.png,1,,Common_F_GongTin_Hair,101=50000,,,,,,,0,0,,,1,
6030037,甜心,Hairstyle_F,Hairstyle_Common_F_YongBingErJieLieRen_Hair.png,1,30,Common_F_YongBingErJieLieRen_Hair,101=50000,,,,,,,0,0,,,1,
6030038,月光,Hairstyle_F,Hairstyle_Common_F_YongBingErJieMuShi_Hair.png,1,127,Common_F_YongBingErJieMuShi_Hair,101=50000,,,,,,2062019=1,0,0,,,,
6030039,学姐,Hairstyle_F,Hairstyle_Common_F_ErJieCiKe01_Hair.png,1,138,Common_F_ErJieCiKe01_Hair,101=50000,,,,,,2062020=1,0,0,,,,
6030040,飘零,Hairstyle_F,Hairstyle_Common_F_ErJieWuShi01_Hair.png,1,111,Common_F_ErJieWuShi01_Hair,101=50000,160,,,,,,0,0,,,,
6030041,小师妹,Hairstyle_F,Hairstyle_Common_F_SanJieChaoMoDaoShi_Hair.png,1,8,Common_F_SanJieChaoMoDaoShi_Hair,101=50000,,,,,,,0,0,1,,,
6030042,4,Hairstyle_F,Hairstyle_Common_F_SanJieShenGuan01_Hair.png,1,,Common_F_SanJieShenGuan01_Hair,101=50000,,,,,,,0,0,,,1,
6030043,5,Hairstyle_F,Hairstyle_Common_F_SanJieShiZiCiKe01_Hair.png,1,,Common_F_SanJieShiZiCiKe01_Hair,101=50000,,,,,,,0,0,,,1,
6030044,小幸运,Hairstyle_F,Hairstyle_Common_F_SanJieTaoZhuang01_Hair.png,1,126,Common_F_SanJieTaoZhuang01_Hair,101=50000,,,,,,2062021=1,0,0,,,,
6620026,冒险者通用发型,Hairstyle_M,Hairstyle_Common_M_ChuShengZhuang_Hair.png,0,,Common_M_ChuShengZhuang_Cut_Hair,,,,,,,,,,,,1,
6620004,火焰头通用发型,Hairstyle_M,Hairstyle_M_002.png,0,,Common_M_DFciwei02_Cut_Hair,,,,,,,,,,,,1,
6620010,霜冻之夜通用发型,Hairstyle_M,Hairstyle_M_010.png,0,,Common_M_DFzongse_Cut_Hair,,,,,,,,,,,,1,
6620017,风暴通用发型,Hairstyle_M,Hairstyle_Common_M_ErJieCiKe01_Hair.png,0,,Common_M_ErJieCiKe01_Cut_Hair,,,,,,,,,,,,1,
6620005,阳光男孩通用发型,Hairstyle_M,Hairstyle_Common_M_ErJieMuShi01_hair.png,0,,Common_M_ErJieMuShi01_Cut_Hair,,,,,,,,,,,,1,
6620007,刺客通用发型,Hairstyle_M,Hairstyle_Common_M_CiKe_hair.png,0,,Common_M_JunZhuang_Cut_Hair,,,,,,,,,,,,1,
6620025,质感碎发通用发型,Hairstyle_M,Hairstyle_Common_M_SaiYiLian_Hair.png,0,,Common_M_SaiYiLian_Cut_Hair,,,,,,,,,,,,1,
6620014,旋风通用发型,Hairstyle_M,Hairstyle_Common_M_SanJieQiShi_Hair.png,0,,Common_M_SanJieQiShi_Cut_Hair,,,,,,,,,,,,1,
6620006,骑士领主通用发型,Hairstyle_M,Hairstyle_Common_M_SanJieTaoZhuang01_Hair.png,0,,Common_M_SanJieTaoZhuang01_Cut_Hair,,,,,,,,,,,,1,
6620008,小恶魔通用发型,Hairstyle_M,Hairstyle_Common_M_XiaoEMo_hair.png,0,,Common_M_XiaoEMo_Cut_Hair,,,,,,,,,,,,1,
6620013,花轮头通用发型,Hairstyle_M,Hairstyle_Common_M_YiJieJianShi_Hair.png,0,,Common_M_YiJieJianShi_Cut_Hair,,,,,,,,,,,,1,
6620024,神秘人X通用发型,Hairstyle_M,Hairstyle_Common_M_YiJieMoFaShi_Hair.png,0,,Common_M_YiJieMoFaShi_Cut_Hair,,,,,,,,,,,,1,
6620020,运动少年通用发型,Hairstyle_M,Hairstyle_Common_M_YongBingErJieLieRen_Hair.png,0,,Common_M_YongBingErJieLieRen_Cut_Hair,,,,,,,,,,,,1,
6620018,小王子通用发型,Hairstyle_M,Hairstyle_Common_M_YongBingErJieQiShi_Hair.png,0,,Common_M_YongBingErJieQiShi_Cut_Hair,,,,,,,,,,,,1,
6620009,翩翩少年通用发型,Hairstyle_M,Hairstyle_M_009.png,0,,Common_M_ZhiShi_Cut_Hair,,,,,,,,,,,,1,
6620034,飘零通用发型,Hairstyle_M,Hairstyle_Common_M_YongBingErJieCiKe_Hair.png,0,,Common_M_YongBingErJieCiKe_Cut_Hair,,,,,,,,,,,,1,
6620030,纯真时光通用发型,Hairstyle_M,Hairstyle_Common_M_SanJieShenGuan_Hair.png,0,,Common_M_SanJieShenGuan_Cut_Hair,,,,,,,,,,,,1,
6620028,cool boy通用发型,Hairstyle_M,Hairstyle_Common_M_Idol_hair.png,0,,Common_M_Idol_Cut_Hair,,,,,,,,,,,,1,
6621004,火焰头2通用发型,Hairstyle_M,Hairstyle_M_002.png,0,,Common_M_DFciwei02T_Hair,,,,,,,,,,,,1,
6620023,优质男生通用发型,Hairstyle_M,Hairstyle_Common_M_HanFu2_hair.png,0,,Common_M_HanFu02_Cut_Hair,,,,,,,,,,,,1,
6620015,暖男通用发型,Hairstyle_M,Hairstyle_Common_M_MoFa_hair.png,0,,Common_M_MoFa_Cut_Hair,,,,,,,,,,,,1,
6620011,流浪诗人通用发型,Hairstyle_M,Hairstyle_M_011.png,0,,Common_M_YiJieShangRen_Cut_Hair,,,,,,,,,,,,1,
6620035,童话世界通用发型,Hairstyle_M,Hairstyle_Common_M_YongBingErJieMuShi_Hair.png,0,,Common_M_YongBingErJieMuShi_Cut_Hair,,,,,,,,,,,,1,
6621035,童话世界2通用发型,Hairstyle_M,Hairstyle_Common_M_YongBingErJieMuShi_Hair.png,0,,Common_M_YongBingErJieMuShiT_Hair,,,,,,,,,,,,1,
6630017,不忘初心通用发型,Hairstyle_F,Hairstyle_Common_F_ChuShengZhuang_Hair.png,1,,Common_F_ChuShengZhuang_Cut_Hair,,,,,,,,,,,,1,
6630025,童话世界通用发型,Hairstyle_F,Hairstyle_Common_F_ErJieMuShi01_Hair.png,1,,Common_F_ErJieMuShi01_Cut_Hair,,,,,,,,,,,,1,
6630040,飘零通用发型,Hairstyle_F,Hairstyle_Common_F_ErJieWuShi01_Hair.png,1,,Common_F_ErJieWuShi01_Cut_Hair,,,,,,,,,,,,1,
6630015,cool girl通用发型,Hairstyle_F,Hairstyle_Common_F_Idol_Hair.png,1,,Common_F_Idol_Cut_Hair,,,,,,,,,,,,1,
6630005,活力宝贝通用发型,Hairstyle_F,Hairstyle_Common_M_YangMaoJuan_Hair.png,1,,Common_F_JunZhuang_Cut_Hair,,,,,,,,,,,,1,
6630004,双马尾通用发型,Hairstyle_F,Hairstyle_F_006.png,1,,Common_F_KaPuLa_Cut_Hair,,,,,,,,,,,,1,
6630027,优雅通用发型,Hairstyle_F,Hairstyle_Common_F_MengLuoKeShangRen02_Hair.png,1,,Common_F_MengLuoKeShangRen02_Cut_Hair,,,,,,,,,,,,1,
6630014,俏皮小萌妹通用发型,Hairstyle_F,Hairstyle_F_014.png,1,,Common_F_NvPu_Cut_Hair,,,,,,,,,,,,1,
6630034,柔美长发通用发型,Hairstyle_F,Hairstyle_Common_F_SanJieQiShiLingZhu01_Hair.png,1,,Common_F_SanJieQiShiLingZhu01_Cut_Hair,,,,,,,,,,,,1,
6630044,小幸运通用发型,Hairstyle_F,Hairstyle_Common_F_SanJieTaoZhuang01_Hair.png,1,,Common_F_SanJieTaoZhuang01_Cut_Hair,,,,,,,,,,,,1,
6630016,英姿飒爽通用发型,Hairstyle_F,Hairstyle_Common_M_ShangRen_Hair.png,1,,Common_F_ShangRen_Cut_Hair,,,,,,,,,,,,1,
6630001,邻家女孩通用发型,Hairstyle_F,Hairstyle_Common_M_ShuiShouFu_Hair.png,1,,Common_F_ShuiShouFu_Cut_Hair,,,,,,,,,,,,1,
6630013,小魔女通用发型,Hairstyle_F,Hairstyle_F_013.png,1,,Common_F_XiaoEMo_Cut_Hair,,,,,,,,,,,,1,
6630020,百变少女通用发型,Hairstyle_F,Hairstyle_Common_F_YiJieDaoZei_Hair.png,1,,Common_F_YiJieDaoZei_Cut_Hair,,,,,,,,,,,,1,
6630021,异域少女通用发型,Hairstyle_F,Hairstyle_Common_F_YiJieFaShi_Hair.png,1,,Common_F_YiJieFaShi_Cut_Hair,,,,,,,,,,,,1,
6630030,冬日暖阳通用发型,Hairstyle_F,Hairstyle_Common_F_YongBingErJieWuShi_Hair.png,1,,Common_F_YongBingErJieWuShi_Cut_Hair,,,,,,,,,,,,1,
6630023,波波头通用发型,Hairstyle_F,Hairstyle_Common_F_ErJieQiShi01_Hair.png,1,,Common_F_ErJieQiShi01_Cut_Hair,,,,,,,,,,,,1,
6631004,双马尾通用发型,Hairstyle_F,Hairstyle_F_006.png,1,,Common_F_KaPuLaCY_Hair,,,,,,,,,,,,1,双马尾出游帽绅士帽
6632004,双马尾通用发型,Hairstyle_F,Hairstyle_F_006.png,1,,Common_F_KaPuLaDB_Hair,,,,,,,,,,,,1,双马尾大巴帽
6633004,双马尾通用发型,Hairstyle_F,Hairstyle_F_006.png,1,,Common_F_KaPuLaHY_Hair,,,,,,,,,,,,1,双马尾回忆帽
6634004,双马尾通用发型,Hairstyle_F,Hairstyle_F_006.png,1,,Common_F_KaPuLaMF_Hair,,,,,,,,,,,,1,双马尾魔法帽
6635004,双马尾通用发型,Hairstyle_F,Hairstyle_F_006.png,1,,Common_F_KaPuLaNZ_Hair,,,,,,,,,,,,1,双马尾牛仔帽蘑菇帽
6636004,双马尾通用发型,Hairstyle_F,Hairstyle_F_006.png,1,,Common_F_KaPuLaYY_Hair,,,,,,,,,,,,1,双马尾吟游诗人
6631013,小魔女通用发型,Hairstyle_F,Hairstyle_F_013.png,1,,Common_F_XiaoEMoCY_Hair,,,,,,,,,,,,1,小恶魔出游帽
6632013,小魔女通用发型,Hairstyle_F,Hairstyle_F_013.png,1,,Common_F_XiaoEMoDB_Hair,,,,,,,,,,,,1,小恶魔大巴帽
6633013,小魔女通用发型,Hairstyle_F,Hairstyle_F_013.png,1,,Common_F_XiaoEMoHY_Hair,,,,,,,,,,,,1,小恶魔回忆帽
6634013,小魔女通用发型,Hairstyle_F,Hairstyle_F_013.png,1,,Common_F_XiaoEMoMF_Hair,,,,,,,,,,,,1,小恶魔魔法帽
6635013,小魔女通用发型,Hairstyle_F,Hairstyle_F_013.png,1,,Common_F_XiaoEMoMG_Hair,,,,,,,,,,,,1,小恶魔蘑菇帽
6636013,小魔女通用发型,Hairstyle_F,Hairstyle_F_013.png,1,,Common_F_XiaoEMoNZ_Hair,,,,,,,,,,,,1,小恶魔牛仔帽
6637013,小魔女通用发型,Hairstyle_F,Hairstyle_F_013.png,1,,Common_F_XiaoEMoSS_Hair,,,,,,,,,,,,1,小恶魔绅士帽
6638013,小魔女通用发型,Hairstyle_F,Hairstyle_F_013.png,1,,Common_F_XiaoEMoYY_Hair,,,,,,,,,,,,1,小恶魔吟游诗人帽
6639013,小魔女通用发型,Hairstyle_F,Hairstyle_F_013.png,1,,Common_F_XiaoEMoLD_Hair,,,,,,,,,,,,1,小恶魔波利圆帽
6020039,月光狂想曲,Hairstyle_M,Common_M_QiuXi01_Hair.png,0,131,Common_M_QiuXi01_Hair,101=20000,,,,,,2061018=1,0,0,,,,
6020040,花样年华,Hairstyle_M,Common_M_QiuXi02_Hair.png,0,132,Common_M_QiuXi02_Hair,101=20000,,,,,,2061019=1,0,0,,,,
6020041,未来,Hairstyle_M,Common_M_QiuXi03_Hair.png,0,133,Common_M_QiuXi03_Hair,101=20000,,,,,,2061020=1,0,0,,,,
6020042,天才少年,Hairstyle_M,Common_M_QiuXi04_Hair.png,0,134,Common_M_QiuXi04_Hair,101=20000,,,,,,2061021=1,0,0,,,,
6020043,小正太,Hairstyle_M,Common_M_QiuXi05_Hair.png,0,135,Common_M_QiuXi05_Hair,101=20000,,,,,,2061022=1,0,0,,,,
6020044,任性,Hairstyle_M,Common_M_QiuXi06_Hair.png,0,136,Common_M_QiuXi06_Hair,101=20000,,,,,,2061023=1,0,0,,,,
6030045,大波浪,Hairstyle_F,Common_F_GuNa01_Hair.png,1,137,Common_F_GuNa01_Hair,101=20000,,,,,,,0,0,,,1,暂时不上
6030046,俏皮女生,Hairstyle_F,Common_F_LuKeXi_Hair.png,1,129,Common_F_LuKeXi_Hair,101=20000,,,,,,2062022=1,0,0,,,,
6030047,棉花糖,Hairstyle_F,Common_F_QiuXi_Hair.png,1,130,Common_F_QiuXi_Hair,101=20000,,,,,,2062023=1,0,0,,,,
6620039,月光狂想曲,Hairstyle_M,Hairstyle_Common_M_MoFa_hair.png,0,,Common_M_QiuXi01_Cut_Hair,,,,,,,,,,,,1,月光狂想曲通用发型
6620040,花样年华,Hairstyle_M,Hairstyle_Common_M_MoFa_hair.png,0,,Common_M_QiuXi02_Cut_Hair,,,,,,,,,,,,1,花样年华通用发型
6620041,未来,Hairstyle_M,Hairstyle_Common_M_MoFa_hair.png,0,,Common_M_QiuXi03_Cut_Hair,,,,,,,,,,,,1,未来通用发型
6620043,小正太,Hairstyle_M,Hairstyle_Common_M_MoFa_hair.png,0,,Common_M_QiuXi05_Cut_Hair,,,,,,,,,,,,1,小正太通用发型
6620044,任性,Hairstyle_M,Hairstyle_Common_M_MoFa_hair.png,0,,Common_M_QiuXi06_Cut_Hair,,,,,,,,,,,,1,任性通用发型1
6621044,任性,Hairstyle_M,Hairstyle_Common_M_MoFa_hair.png,0,,Common_M_QiuXi06TY_Hair,,,,,,,,,,,,1,任性通用发型2
6630046,俏皮女生,Hairstyle_F,Common_F_LuKeXi_Hair.png,1,,Common_F_LuKeXi_Cut_Hair,,,,,,,,,,,,1,俏皮女生通用发型
6630047,冒险任务：依诗柯,Hairstyle_F,Common_F_LuKeXi_Hair.png,1,,Common_F_YiShiKe_Hair,,,,,,,,,,,,1,冒险任务：依诗柯
6630048,冒险任务：莱阿娜特,Hairstyle_F,Common_F_LuKeXi_Hair.png,1,,Common_F_LaiENaTe_Hair,,,,,,,,,,,,1,冒险任务：莱阿娜特
