Profession,STR,INT,AGI,DEX,VIT,LUK
流派,力量,智力,敏捷,灵巧,体力,幸运
79|100001,75,1,69,35,1,1
80|100001,75,1,71,35,1,1
81|100001,75,1,73,35,1,1
82|100001,75,1,75,35,1,1
83|100001,76,1,76,35,1,1
84|100001,77,1,78,35,1,1
85|100001,78,1,79,35,1,1
86|100001,79,1,80,35,1,1
87|100001,80,1,81,35,1,1
88|100001,80,1,83,35,1,1
89|100001,80,1,85,35,1,1
90|100001,80,1,87,35,1,1
91|100001,80,1,89,35,1,1
92|100001,81,1,90,35,1,1
93|100001,82,1,91,35,1,1
94|100001,83,1,92,35,1,1
95|100001,84,1,93,35,1,1
96|100001,85,1,94,35,1,1
97|100001,85,1,95,37,1,1
98|100001,85,1,96,40,1,1
99|100001,85,1,98,40,1,1
100|100001,86,1,99,40,1,1
101|100001,88,1,99,40,1,1
102|100001,90,1,99,41,1,1
103|100001,92,1,99,41,1,1
104|100001,94,1,99,41,1,2
105|100001,96,1,99,41,1,2
106|100001,98,1,99,41,1,3
107|100001,99,1,99,43,1,3
108|100001,99,1,99,46,1,5
109|100001,99,1,99,49,1,8
110|100001,99,1,99,50,1,13
111|100001,99,1,99,50,1,21
112|100001,99,1,99,50,1,27
113|100001,99,1,99,50,1,32
114|100001,99,1,99,50,1,37
115|100001,99,1,99,50,1,41
116|100001,99,1,99,50,1,45
117|100001,99,1,99,50,1,49
118|100001,99,1,99,50,1,52
119|100001,99,1,99,50,1,56
120|100001,99,1,99,50,1,59
121|100001,99,1,99,50,1,62
122|100001,99,1,99,50,1,65
123|100001,99,1,99,50,1,68
124|100001,99,1,99,50,1,71
125|100001,99,1,99,50,1,74
126|100001,99,1,99,50,1,77
127|100001,99,1,99,50,1,79
128|100001,99,1,99,50,1,82
129|100001,99,1,99,50,1,84
130|100001,99,1,99,50,1,87
131|100001,99,1,99,51,1,89
132|100001,99,1,99,53,1,90
133|100001,99,1,99,55,1,91
134|100001,99,1,99,57,1,92
135|100001,99,1,99,59,1,93
136|100001,99,1,99,61,1,94
137|100001,99,1,99,63,1,95
138|100001,99,1,99,65,1,96
139|100001,99,1,99,67,1,97
140|100001,99,1,99,69,1,98
141|100001,99,1,99,71,1,99
142|100001,99,1,99,73,5,99
143|100001,99,1,99,75,9,99
144|100001,99,1,99,77,12,99
145|100001,99,1,99,79,15,99
146|100001,99,1,99,81,18,99
147|100001,99,1,99,83,20,99
148|100001,99,1,99,85,21,99
149|100001,99,1,99,87,23,99
150|100001,99,1,99,89,25,99
151|100001,99,1,99,91,26,99
152|100001,99,1,99,93,28,99
153|100001,99,1,99,95,29,99
154|100001,99,1,99,97,30,99
155|100001,99,1,99,99,32,99
156|100001,99,1,99,99,37,99
157|100001,99,1,99,99,42,99
158|100001,99,1,99,99,47,99
159|100001,99,1,99,99,51,99
160|100001,99,1,99,99,55,99
161|100001,99,1,99,99,59,99
162|100001,99,1,99,99,63,99
163|100001,99,1,99,99,66,99
164|100001,99,1,99,99,70,99
165|100001,99,1,99,99,73,99
166|100001,99,1,99,99,76,99
167|100001,99,1,99,99,79,99
168|100001,99,1,99,99,82,99
169|100001,99,1,99,99,85,99
170|100001,99,1,99,99,88,99
171|100001,99,1,99,99,91,99
172|100001,99,1,99,99,94,99
173|100001,99,1,99,99,96,99
174|100001,99,1,99,99,99,99
175|100001,99,99,99,99,99,99
176|100001,99,99,99,99,99,99
177|100001,99,99,99,99,99,99
178|100001,99,99,99,99,99,99
179|100001,99,99,99,99,99,99
180|100001,99,99,99,99,99,99
181|100001,99,99,99,99,99,99
182|100001,99,99,99,99,99,99
183|100001,99,99,99,99,99,99
184|100001,99,99,99,99,99,99
185|100001,99,99,99,99,99,99
186|100001,99,99,99,99,99,99
187|100001,99,99,99,99,99,99
188|100001,99,99,99,99,99,99
189|100001,99,99,99,99,99,99
190|100001,99,99,99,99,99,99
191|100001,99,99,99,99,99,99
192|100001,99,99,99,99,99,99
193|100001,99,99,99,99,99,99
194|100001,99,99,99,99,99,99
195|100001,99,99,99,99,99,99
196|100001,99,99,99,99,99,99
197|100001,99,99,99,99,99,99
198|100001,99,99,99,99,99,99
199|100001,99,99,99,99,99,99
200|100001,99,99,99,99,99,99
1|200001,1,1,1,1,1,1
2|200001,2,1,1,1,1,1
3|200001,4,1,1,1,1,1
4|200001,4,1,1,2,1,1
5|200001,6,1,1,2,1,1
6|200001,8,1,1,2,1,1
7|200001,9,1,1,2,1,1
8|200001,11,1,1,2,1,1
9|200001,12,1,1,2,1,1
10|200001,13,1,1,2,1,1
11|200001,28,1,1,2,1,1
12|200001,29,1,1,3,1,1
13|200001,30,1,1,3,1,1
14|200001,30,1,1,5,1,1
15|200001,31,1,1,5,1,1
16|200001,31,1,4,5,1,1
17|200001,31,1,6,6,1,1
18|200001,32,1,7,6,1,1
19|200001,32,1,9,7,1,1
20|200001,32,1,11,7,1,1
21|200001,32,1,13,7,1,1
22|200001,33,1,13,8,1,1
23|200001,33,1,15,8,1,1
24|200001,34,1,16,8,1,1
25|200001,34,1,18,8,1,1
26|200001,36,1,18,8,1,1
27|200001,37,1,19,8,1,1
28|200001,38,1,19,9,1,1
29|200001,38,1,21,9,1,1
30|200001,39,1,22,9,1,1
31|200001,40,1,22,9,1,1
32|200001,41,1,23,9,1,1
33|200001,42,1,24,9,1,1
34|200001,43,1,25,9,1,1
35|200001,44,1,25,10,1,1
36|200001,45,1,26,10,1,1
37|200001,46,1,27,10,1,1
38|200001,47,1,28,10,1,1
39|200001,48,1,29,10,1,1
40|200001,49,1,29,11,1,1
41|200001,50,1,29,12,1,1
42|200001,51,1,30,12,1,1
43|200001,52,1,31,12,1,1
44|200001,53,1,31,13,1,1
45|200001,53,1,33,13,1,1
46|200001,53,1,35,14,1,1
47|200001,54,1,36,14,1,1
48|200001,55,1,36,16,1,1
49|200001,55,1,37,18,1,1
50|200001,55,1,38,20,1,1
51|200001,55,1,39,22,1,1
52|200001,55,1,40,24,1,1
53|200001,55,1,41,25,1,1
54|200001,56,1,41,27,1,1
55|200001,57,1,42,27,1,1
56|200001,58,1,43,27,1,1
57|200001,59,1,44,27,1,1
58|200001,60,1,45,27,1,1
59|200001,60,1,46,29,1,1
60|200001,61,1,47,29,1,1
61|200001,62,1,48,29,1,1
62|200001,63,1,49,30,1,1
63|200001,64,1,50,30,1,1
64|200001,65,1,51,30,1,1
65|200001,66,1,52,30,1,1
66|200001,67,1,53,30,1,1
67|200001,68,1,54,30,1,1
68|200001,69,1,55,30,1,1
69|200001,70,1,55,32,1,1
70|200001,70,1,56,33,1,1
71|200001,70,1,57,35,1,1
72|200001,70,1,59,35,1,1
73|200001,71,1,60,35,1,1
74|200001,72,1,61,35,1,1
75|200001,73,1,62,35,1,1
76|200001,74,1,64,35,1,1
77|200001,75,1,65,35,1,1
78|200001,75,1,67,35,1,1
79|200001,75,1,69,35,1,1
80|200001,75,1,71,35,1,1
81|200001,75,1,73,35,1,1
82|200001,75,1,75,35,1,1
83|200001,76,1,76,35,1,1
84|200001,77,1,78,35,1,1
85|200001,78,1,79,35,1,1
86|200001,79,1,80,35,1,1
87|200001,80,1,81,35,1,1
88|200001,80,1,83,35,1,1
89|200001,80,1,85,35,1,1
90|200001,80,1,87,35,1,1
91|200001,80,1,89,35,1,1
92|200001,81,1,90,35,1,1
93|200001,82,1,91,35,1,1
94|200001,83,1,92,35,1,1
95|200001,84,1,93,35,1,1
96|200001,85,1,94,35,1,1
97|200001,85,1,95,37,1,1
98|200001,85,1,96,40,1,1
99|200001,85,1,98,40,1,1
100|200001,86,1,99,40,1,1
101|200001,88,1,99,40,1,1
102|200001,90,1,99,41,1,1
103|200001,92,1,99,41,1,1
104|200001,94,1,99,41,1,2
105|200001,96,1,99,41,1,2
106|200001,98,1,99,41,1,3
107|200001,99,1,99,43,1,3
108|200001,99,1,99,46,1,5
109|200001,99,1,99,49,1,8
110|200001,99,1,99,50,1,13
111|200001,99,1,99,50,1,21
112|200001,99,1,99,50,1,27
113|200001,99,1,99,50,1,32
114|200001,99,1,99,50,1,37
115|200001,99,1,99,50,1,41
116|200001,99,1,99,50,1,45
117|200001,99,1,99,50,1,49
118|200001,99,1,99,50,1,52
119|200001,99,1,99,50,1,56
120|200001,99,1,99,50,1,59
121|200001,99,1,99,50,1,62
122|200001,99,1,99,50,1,65
123|200001,99,1,99,50,1,68
124|200001,99,1,99,50,1,71
125|200001,99,1,99,50,1,74
126|200001,99,1,99,50,1,77
127|200001,99,1,99,50,1,79
128|200001,99,1,99,50,1,82
129|200001,99,1,99,50,1,84
130|200001,99,1,99,50,1,87
131|200001,99,1,99,51,1,89
132|200001,99,1,99,53,1,90
133|200001,99,1,99,55,1,91
134|200001,99,1,99,57,1,92
135|200001,99,1,99,59,1,93
136|200001,99,1,99,61,1,94
137|200001,99,1,99,63,1,95
138|200001,99,1,99,65,1,96
139|200001,99,1,99,67,1,97
140|200001,99,1,99,69,1,98
141|200001,99,1,99,71,1,99
142|200001,99,1,99,73,5,99
143|200001,99,1,99,75,9,99
144|200001,99,1,99,77,12,99
145|200001,99,1,99,79,15,99
146|200001,99,1,99,81,18,99
147|200001,99,1,99,83,20,99
148|200001,99,1,99,85,21,99
149|200001,99,1,99,87,23,99
150|200001,99,1,99,89,25,99
151|200001,99,1,99,91,26,99
152|200001,99,1,99,93,28,99
153|200001,99,1,99,95,29,99
154|200001,99,1,99,97,30,99
155|200001,99,1,99,99,32,99
156|200001,99,1,99,99,37,99
157|200001,99,1,99,99,42,99
158|200001,99,1,99,99,47,99
159|200001,99,1,99,99,51,99
160|200001,99,1,99,99,55,99
161|200001,99,1,99,99,59,99
162|200001,99,1,99,99,63,99
163|200001,99,1,99,99,66,99
164|200001,99,1,99,99,70,99
165|200001,99,1,99,99,73,99
166|200001,99,1,99,99,76,99
167|200001,99,1,99,99,79,99
168|200001,99,1,99,99,82,99
169|200001,99,1,99,99,85,99
170|200001,99,1,99,99,88,99
171|200001,99,1,99,99,91,99
172|200001,99,1,99,99,94,99
173|200001,99,1,99,99,96,99
174|200001,99,1,99,99,99,99
175|200001,99,99,99,99,99,99
176|200001,99,99,99,99,99,99
177|200001,99,99,99,99,99,99
178|200001,99,99,99,99,99,99
179|200001,99,99,99,99,99,99
180|200001,99,99,99,99,99,99
181|200001,99,99,99,99,99,99
182|200001,99,99,99,99,99,99
183|200001,99,99,99,99,99,99
184|200001,99,99,99,99,99,99
185|200001,99,99,99,99,99,99
186|200001,99,99,99,99,99,99
187|200001,99,99,99,99,99,99
188|200001,99,99,99,99,99,99
189|200001,99,99,99,99,99,99
190|200001,99,99,99,99,99,99
191|200001,99,99,99,99,99,99
192|200001,99,99,99,99,99,99
193|200001,99,99,99,99,99,99
194|200001,99,99,99,99,99,99
195|200001,99,99,99,99,99,99
196|200001,99,99,99,99,99,99
197|200001,99,99,99,99,99,99
198|200001,99,99,99,99,99,99
199|200001,99,99,99,99,99,99
200|200001,99,99,99,99,99,99
1|200002,1,1,1,1,1,1
2|200002,2,1,1,1,1,1
3|200002,4,1,1,1,1,1
4|200002,4,1,1,2,1,1
5|200002,6,1,1,2,1,1
6|200002,8,1,1,2,1,1
7|200002,9,1,1,2,1,1
8|200002,11,1,1,2,1,1
9|200002,12,1,1,2,1,1
10|200002,13,1,1,2,1,1
11|200002,28,1,1,2,1,1
12|200002,29,1,1,3,1,1
13|200002,30,1,1,3,1,1
14|200002,31,1,1,3,1,1
15|200002,32,1,1,3,1,1
16|200002,33,1,1,3,1,1
17|200002,34,1,1,4,1,1
18|200002,35,1,1,4,1,1
19|200002,36,1,1,5,1,1
20|200002,37,1,1,5,1,1
21|200002,38,1,1,6,1,1
22|200002,39,1,1,7,1,1
23|200002,40,1,1,8,1,1
24|200002,41,1,1,8,1,1
25|200002,42,1,1,9,1,1
26|200002,43,1,1,9,2,1
27|200002,44,1,1,9,3,1
28|200002,45,1,1,9,4,1
29|200002,46,1,1,9,5,1
30|200002,47,1,1,9,6,1
31|200002,48,1,1,10,6,1
32|200002,49,1,1,11,6,1
33|200002,50,1,1,11,7,1
34|200002,51,1,1,11,8,1
35|200002,52,1,1,11,9,1
36|200002,53,1,1,12,9,1
37|200002,54,1,1,13,9,1
38|200002,55,1,1,14,9,1
39|200002,56,1,1,15,9,1
40|200002,57,1,1,16,9,1
41|200002,58,1,1,17,9,1
42|200002,59,1,1,18,9,1
43|200002,60,1,1,19,9,1
44|200002,61,1,1,20,9,1
45|200002,62,1,1,21,9,1
46|200002,63,1,1,22,9,1
47|200002,64,1,1,22,10,1
48|200002,65,1,1,23,10,1
49|200002,66,1,1,24,10,1
50|200002,67,1,1,25,10,1
51|200002,68,1,1,26,10,1
52|200002,69,1,1,27,10,1
53|200002,70,1,1,28,11,1
54|200002,71,1,1,29,11,1
55|200002,72,1,1,29,12,1
56|200002,73,1,1,30,12,1
57|200002,74,1,1,30,14,1
58|200002,75,1,1,30,15,1
59|200002,76,1,1,31,15,1
60|200002,77,1,1,32,15,1
61|200002,78,1,1,33,16,1
62|200002,79,1,1,34,16,1
63|200002,80,1,1,35,16,1
64|200002,81,1,1,36,16,1
65|200002,82,1,1,37,16,1
66|200002,83,1,1,38,16,1
67|200002,84,1,1,39,17,1
68|200002,85,1,1,40,17,1
69|200002,86,1,1,41,17,1
70|200002,87,1,1,42,17,1
71|200002,88,1,1,43,17,1
72|200002,89,1,1,44,17,1
73|200002,90,1,1,45,17,1
74|200002,91,1,1,46,17,1
75|200002,92,1,1,47,17,1
76|200002,93,1,1,48,18,1
77|200002,94,1,1,49,18,1
78|200002,95,1,1,50,18,1
79|200002,96,1,1,50,20,1
80|200002,97,1,1,50,22,1
81|200002,98,1,1,50,24,1
82|200002,99,1,5,50,24,1
83|200002,99,1,12,50,24,1
84|200002,99,1,19,50,24,1
85|200002,99,1,23,50,24,1
86|200002,99,1,28,50,24,1
87|200002,99,1,32,50,25,1
88|200002,99,1,36,50,25,1
89|200002,99,1,39,50,25,1
90|200002,99,1,43,50,25,1
91|200002,99,1,46,50,25,1
92|200002,99,1,50,50,25,1
93|200002,99,1,53,50,25,1
94|200002,99,1,56,50,25,1
95|200002,99,1,59,50,25,1
96|200002,99,1,61,50,26,1
97|200002,99,1,63,50,28,1
98|200002,99,1,64,50,31,1
99|200002,99,1,65,50,33,1
100|200002,99,1,65,50,38,1
101|200002,99,1,65,50,42,1
102|200002,99,1,65,50,46,1
103|200002,99,1,65,50,49,1
104|200002,99,1,67,50,50,1
105|200002,99,1,69,50,51,1
106|200002,99,1,71,50,52,1
107|200002,99,1,73,50,53,1
108|200002,99,1,75,50,53,1
109|200002,99,1,77,50,54,1
110|200002,99,1,79,50,55,1
111|200002,99,1,81,50,55,1
112|200002,99,1,83,50,56,1
113|200002,99,1,85,50,57,1
114|200002,99,1,87,50,57,1
115|200002,99,1,89,50,58,1
116|200002,99,1,91,50,58,1
117|200002,99,1,93,50,58,1
118|200002,99,1,95,50,59,1
119|200002,99,1,97,50,59,1
120|200002,99,1,99,50,59,1
121|200002,99,1,99,51,61,1
122|200002,99,1,99,53,63,1
123|200002,99,1,99,54,65,1
124|200002,99,1,99,55,67,1
125|200002,99,1,99,57,69,1
126|200002,99,1,99,58,71,1
127|200002,99,1,99,59,73,1
128|200002,99,1,99,59,75,1
129|200002,99,1,99,60,77,1
130|200002,99,1,99,61,79,1
131|200002,99,1,99,62,81,1
132|200002,99,1,99,63,83,1
133|200002,99,1,99,63,85,1
134|200002,99,1,99,64,87,1
135|200002,99,1,99,65,89,1
136|200002,99,1,99,65,91,1
137|200002,99,1,99,66,93,1
138|200002,99,1,99,66,95,1
139|200002,99,1,99,67,97,1
140|200002,99,1,99,67,99,1
141|200002,99,1,99,71,99,1
142|200002,99,1,99,74,99,1
143|200002,99,1,99,77,99,1
144|200002,99,1,99,79,99,1
145|200002,99,1,99,82,99,1
146|200002,99,1,99,85,99,1
147|200002,99,1,99,88,99,1
148|200002,99,1,99,90,99,1
149|200002,99,1,99,93,99,1
150|200002,99,1,99,95,99,1
151|200002,99,1,99,98,99,1
152|200002,99,99,99,99,99,99
153|200002,99,99,99,99,99,99
154|200002,99,99,99,99,99,99
155|200002,99,99,99,99,99,99
156|200002,99,99,99,99,99,99
157|200002,99,99,99,99,99,99
158|200002,99,99,99,99,99,99
159|200002,99,99,99,99,99,99
160|200002,99,99,99,99,99,99
161|200002,99,99,99,99,99,99
162|200002,99,99,99,99,99,99
163|200002,99,99,99,99,99,99
164|200002,99,99,99,99,99,99
165|200002,99,99,99,99,99,99
166|200002,99,99,99,99,99,99
167|200002,99,99,99,99,99,99
168|200002,99,99,99,99,99,99
169|200002,99,99,99,99,99,99
170|200002,99,99,99,99,99,99
171|200002,99,99,99,99,99,99
172|200002,99,99,99,99,99,99
173|200002,99,99,99,99,99,99
174|200002,99,99,99,99,99,99
175|200002,99,99,99,99,99,99
176|200002,99,99,99,99,99,99
177|200002,99,99,99,99,99,99
178|200002,99,99,99,99,99,99
179|200002,99,99,99,99,99,99
180|200002,99,99,99,99,99,99
181|200002,99,99,99,99,99,99
182|200002,99,99,99,99,99,99
183|200002,99,99,99,99,99,99
184|200002,99,99,99,99,99,99
185|200002,99,99,99,99,99,99
186|200002,99,99,99,99,99,99
187|200002,99,99,99,99,99,99
188|200002,99,99,99,99,99,99
189|200002,99,99,99,99,99,99
190|200002,99,99,99,99,99,99
191|200002,99,99,99,99,99,99
192|200002,99,99,99,99,99,99
193|200002,99,99,99,99,99,99
194|200002,99,99,99,99,99,99
195|200002,99,99,99,99,99,99
196|200002,99,99,99,99,99,99
197|200002,99,99,99,99,99,99
198|200002,99,99,99,99,99,99
199|200002,99,99,99,99,99,99
200|200002,99,99,99,99,99,99
1|200003,1,1,1,1,1,1
2|200003,2,1,1,1,1,1
3|200003,4,1,1,1,1,1
4|200003,5,1,1,1,1,1
5|200003,7,1,1,1,1,1
6|200003,9,1,1,1,1,1
7|200003,10,1,1,1,1,1
8|200003,11,1,1,1,2,1
9|200003,12,1,1,1,2,1
10|200003,13,1,1,1,3,1
11|200003,27,1,1,1,4,1
12|200003,28,1,1,1,5,1
13|200003,29,1,1,1,5,1
14|200003,30,1,1,1,5,1
15|200003,31,1,1,1,5,1
16|200003,32,1,1,1,6,1
17|200003,32,1,1,1,9,1
18|200003,33,1,1,1,9,1
19|200003,34,1,1,1,9,1
20|200003,35,1,1,1,10,1
21|200003,36,1,1,1,10,1
22|200003,37,1,1,1,11,1
23|200003,38,1,1,1,12,1
24|200003,39,1,1,1,12,1
25|200003,40,1,1,1,13,1
26|200003,41,1,1,1,13,1
27|200003,42,1,1,1,14,1
28|200003,43,1,1,1,15,1
29|200003,44,1,1,1,15,1
30|200003,45,1,1,1,16,1
31|200003,46,1,1,1,17,1
32|200003,47,1,1,1,18,1
33|200003,48,1,1,1,19,1
34|200003,49,1,1,1,20,1
35|200003,50,1,1,2,20,1
36|200003,50,1,1,3,22,1
37|200003,50,1,1,4,24,1
38|200003,50,1,1,5,26,1
39|200003,50,1,1,6,28,1
40|200003,50,1,1,6,30,1
41|200003,51,1,1,8,30,1
42|200003,52,1,1,10,30,1
43|200003,53,1,1,11,30,1
44|200003,54,1,1,12,30,1
45|200003,55,1,1,14,30,1
46|200003,56,1,1,15,30,1
47|200003,57,1,1,15,31,1
48|200003,58,1,1,15,32,1
49|200003,59,1,1,15,33,1
50|200003,60,1,1,15,34,1
51|200003,61,1,1,15,35,1
52|200003,62,1,1,15,36,1
53|200003,63,1,1,15,37,1
54|200003,64,1,1,15,38,1
55|200003,65,1,1,15,39,1
56|200003,66,1,1,15,40,1
57|200003,67,1,1,15,41,1
58|200003,68,1,1,15,41,1
59|200003,70,1,1,15,41,1
60|200003,72,1,1,15,41,1
61|200003,73,1,1,15,42,1
62|200003,74,1,1,15,43,1
63|200003,75,1,1,15,44,1
64|200003,76,1,1,15,44,1
65|200003,78,1,1,15,44,1
66|200003,80,1,1,15,44,1
67|200003,81,1,1,15,44,1
68|200003,83,1,1,15,44,1
69|200003,84,1,1,15,45,1
70|200003,85,1,1,15,45,1
71|200003,87,1,1,15,45,1
72|200003,89,1,1,15,45,1
73|200003,90,1,1,15,45,1
74|200003,92,1,1,15,45,1
75|200003,93,1,1,15,45,1
76|200003,95,1,1,15,45,1
77|200003,97,1,1,15,45,1
78|200003,98,1,1,15,46,1
79|200003,99,1,1,15,47,1
80|200003,99,1,1,15,50,1
81|200003,99,1,1,15,53,1
82|200003,99,1,1,16,55,1
83|200003,99,1,1,16,58,1
84|200003,99,1,1,17,60,1
85|200003,99,1,1,18,62,1
86|200003,99,1,1,19,64,1
87|200003,99,1,1,20,66,1
88|200003,99,1,1,21,68,1
89|200003,99,1,1,22,70,1
90|200003,99,1,1,22,72,1
91|200003,99,1,1,23,74,1
92|200003,99,1,1,24,76,1
93|200003,99,1,1,25,78,1
94|200003,99,1,1,25,80,1
95|200003,99,1,1,25,82,1
96|200003,99,1,1,26,84,1
97|200003,99,1,1,26,86,1
98|200003,99,1,1,27,88,1
99|200003,99,1,1,27,90,1
100|200003,99,1,1,27,92,1
101|200003,99,1,1,27,94,1
102|200003,99,1,1,28,96,1
103|200003,99,1,1,28,98,1
104|200003,99,1,1,30,99,1
105|200003,99,1,1,35,99,1
106|200003,99,1,1,39,99,1
107|200003,99,1,1,43,99,1
108|200003,99,1,1,47,99,1
109|200003,99,1,1,51,99,1
110|200003,99,1,1,54,99,1
111|200003,99,1,1,57,99,1
112|200003,99,1,1,60,99,1
113|200003,99,1,1,63,99,1
114|200003,99,1,1,66,99,1
115|200003,99,1,1,69,99,1
116|200003,99,1,1,72,99,1
117|200003,99,1,1,75,99,1
118|200003,99,1,1,77,99,1
119|200003,99,1,1,80,99,1
120|200003,99,1,1,82,99,1
121|200003,99,1,1,85,99,1
122|200003,99,1,1,87,99,1
123|200003,99,1,1,90,99,1
124|200003,99,1,1,92,99,1
125|200003,99,1,1,94,99,1
126|200003,99,1,1,96,99,1
127|200003,99,1,2,99,99,1
128|200003,99,1,12,99,99,1
129|200003,99,1,20,99,99,1
130|200003,99,1,26,99,99,1
131|200003,99,1,32,99,99,1
132|200003,99,1,37,99,99,1
133|200003,99,1,42,99,99,1
134|200003,99,1,46,99,99,1
135|200003,99,1,50,99,99,1
136|200003,99,1,54,99,99,1
137|200003,99,1,58,99,99,1
138|200003,99,1,61,99,99,1
139|200003,99,1,64,99,99,1
140|200003,99,1,67,99,99,1
141|200003,99,1,71,99,99,1
142|200003,99,1,74,99,99,1
143|200003,99,1,77,99,99,1
144|200003,99,1,79,99,99,1
145|200003,99,1,82,99,99,1
146|200003,99,1,85,99,99,1
147|200003,99,1,88,99,99,1
148|200003,99,1,90,99,99,1
149|200003,99,1,93,99,99,1
150|200003,99,1,95,99,99,1
151|200003,99,1,98,99,99,1
152|200003,99,1,99,99,99,1
153|200003,99,99,99,99,99,99
154|200003,99,99,99,99,99,99
155|200003,99,99,99,99,99,99
156|200003,99,99,99,99,99,99
157|200003,99,99,99,99,99,99
158|200003,99,99,99,99,99,99
159|200003,99,99,99,99,99,99
160|200003,99,99,99,99,99,99
161|200003,99,99,99,99,99,99
162|200003,99,99,99,99,99,99
163|200003,99,99,99,99,99,99
164|200003,99,99,99,99,99,99
165|200003,99,99,99,99,99,99
166|200003,99,99,99,99,99,99
167|200003,99,99,99,99,99,99
168|200003,99,99,99,99,99,99
169|200003,99,99,99,99,99,99
170|200003,99,99,99,99,99,99
171|200003,99,99,99,99,99,99
172|200003,99,99,99,99,99,99
173|200003,99,99,99,99,99,99
174|200003,99,99,99,99,99,99
175|200003,99,99,99,99,99,99
176|200003,99,99,99,99,99,99
177|200003,99,99,99,99,99,99
178|200003,99,99,99,99,99,99
179|200003,99,99,99,99,99,99
180|200003,99,99,99,99,99,99
181|200003,99,99,99,99,99,99
182|200003,99,99,99,99,99,99
183|200003,99,99,99,99,99,99
184|200003,99,99,99,99,99,99
185|200003,99,99,99,99,99,99
186|200003,99,99,99,99,99,99
187|200003,99,99,99,99,99,99
188|200003,99,99,99,99,99,99
189|200003,99,99,99,99,99,99
190|200003,99,99,99,99,99,99
191|200003,99,99,99,99,99,99
192|200003,99,99,99,99,99,99
193|200003,99,99,99,99,99,99
194|200003,99,99,99,99,99,99
195|200003,99,99,99,99,99,99
196|200003,99,99,99,99,99,99
197|200003,99,99,99,99,99,99
198|200003,99,99,99,99,99,99
199|200003,99,99,99,99,99,99
200|200003,99,99,99,99,99,99
1|200004,1,1,1,1,1,1
2|200004,2,1,1,1,1,1
3|200004,4,1,1,1,1,1
4|200004,4,1,1,2,1,1
5|200004,6,1,1,2,1,1
6|200004,8,1,1,2,1,1
7|200004,9,1,1,2,1,1
8|200004,11,1,1,2,1,1
9|200004,12,1,1,2,1,1
10|200004,13,1,1,2,1,1
11|200004,28,1,1,2,1,1
12|200004,29,1,1,3,1,1
13|200004,30,1,1,3,1,1
14|200004,30,1,1,5,1,1
15|200004,31,1,1,5,1,1
16|200004,31,1,4,5,1,1
17|200004,31,1,6,6,1,1
