Id,WheelId,ProfessionId,Level,SkillOne,SkillTwo,Weight,Life,BornWeight,BorntimesLimit,ComposeWeight,ComposetimesLimit
57,3024024,2000,3,2000301,2000302,6,30,60000,0,60000,0
58,3024024,2000,4,2000301,2000302,5,30,6000,0,6000,0
59,3024024,3000,1,3000301,0,6,30,499999,0,499999,0
60,3024024,3000,2,3000302,0,6,30,434000,0,434000,0
61,3024024,3000,3,3000301,3000302,6,30,60000,0,60000,0
62,3024024,3000,4,3000301,3000302,5,30,6000,0,6000,0
63,3024024,4000,1,4000301,0,6,30,499999,0,499999,0
64,3024024,4000,2,4000302,0,6,30,434000,0,434000,0
65,3024024,4000,3,4000301,4000302,6,30,60000,0,60000,0
66,3024024,4000,4,4000301,4000302,5,30,6000,0,6000,0
67,3024024,5000,1,5000301,0,6,30,499999,0,499999,0
68,3024024,5000,2,5000302,0,6,30,434000,0,434000,0
69,3024024,5000,3,5000301,5000302,6,30,60000,0,60000,0
70,3024024,5000,4,5000301,5000302,5,30,6000,0,6000,0
71,3024024,6000,1,6000301,0,6,30,499999,0,499999,0
72,3024024,6000,2,6000302,0,6,30,434000,0,434000,0
73,3024024,6000,3,6000301,6000302,6,30,60000,0,60000,0
74,3024024,6000,4,6000301,6000302,5,30,6000,0,6000,0
75,3024024,7000,1,7000301,0,6,30,499999,0,499999,0
76,3024024,7000,2,7000302,0,6,30,434000,0,434000,0
77,3024024,7000,3,7000301,7000302,6,30,60000,0,60000,0
78,3024024,7000,4,7000301,7000302,5,30,6000,0,6000,0
79,3024025,2000,1,2000401,0,7,30,499999,0,499999,0
80,3024025,2000,2,2000402,0,7,30,434000,0,437000,0
81,3024025,2000,3,2000401,2000402,7,30,60000,0,60000,0
82,3024025,2000,4,2000401,2000402,5,30,6000,0,3000,0
83,3024025,3000,1,3000401,0,7,30,499999,0,499999,0
84,3024025,3000,2,3000402,0,7,30,434000,0,437000,0
85,3024025,3000,3,3000401,3000402,7,30,60000,0,60000,0
86,3024025,3000,4,3000401,3000402,5,30,6000,0,3000,0
87,3024025,4000,1,4000401,0,7,30,499999,0,499999,0
88,3024025,4000,2,4000402,0,7,30,434000,0,437000,0
89,3024025,4000,3,4000401,4000402,7,30,60000,0,60000,0
90,3024025,4000,4,4000401,4000402,5,30,6000,0,3000,0
91,3024025,5000,1,5000401,0,7,30,499999,0,499999,0
92,3024025,5000,2,5000402,0,7,30,434000,0,437000,0
93,3024025,5000,3,5000401,5000402,7,30,60000,0,60000,0
94,3024025,5000,4,5000401,5000402,5,30,6000,0,3000,0
95,3024025,6000,1,6000401,0,7,30,499999,0,499999,0
96,3024025,6000,2,6000402,0,7,30,434000,0,437000,0
97,3024025,6000,3,6000401,6000402,7,30,60000,0,60000,0
98,3024025,6000,4,6000401,6000402,5,30,6000,0,3000,0
99,3024025,7000,1,7000401,0,7,30,499999,0,499999,0
100,3024025,7000,2,7000402,0,7,30,434000,0,437000,0
101,3024025,7000,3,7000401,7000402,7,30,60000,0,60000,0
102,3024025,7000,4,7000401,7000402,5,30,6000,0,3000,0
103,3024022,2000,5,2000102,2000102,4,30,1,10000,1,10000
104,3024022,3000,5,3000102,3000102,4,30,1,10000,1,10000
105,3024022,4000,5,4000102,4000102,4,30,1,10000,1,10000
106,3024022,5000,5,5000102,5000102,4,30,1,10000,1,10000
107,3024022,6000,5,6000102,6000102,4,30,1,10000,1,10000
108,3024022,7000,5,7000102,7000102,4,30,1,10000,1,10000
109,3024023,2000,5,2000202,2000202,5,30,1,10000,1,10000
110,3024023,3000,5,3000202,3000202,5,30,1,10000,1,10000
111,3024023,4000,5,4000202,4000202,5,30,1,10000,1,10000
112,3024023,5000,5,5000202,5000202,5,30,1,10000,1,10000
113,3024023,6000,5,6000202,6000202,5,30,1,10000,1,10000
114,3024023,7000,5,7000202,7000202,5,30,1,10000,1,10000
115,3024024,2000,5,2000302,2000302,6,30,1,10000,1,10000
116,3024024,3000,5,3000302,3000302,6,30,1,10000,1,10000
117,3024024,4000,5,4000302,4000302,6,30,1,10000,1,10000
118,3024024,5000,5,5000302,5000302,6,30,1,10000,1,10000
119,3024024,6000,5,6000302,6000302,6,30,1,10000,1,10000
120,3024024,7000,5,7000302,7000302,6,30,1,10000,1,10000
121,3024025,2000,5,2000402,2000402,7,30,1,10000,1,10000
122,3024025,3000,5,3000402,3000402,7,30,1,10000,1,10000
123,3024025,4000,5,4000402,4000402,7,30,1,10000,1,10000
124,3024025,5000,5,5000402,5000402,7,30,1,10000,1,10000
125,3024025,6000,5,6000402,6000402,7,30,1,10000,1,10000
126,3024025,7000,5,7000402,7000402,7,30,1,10000,1,10000
127,3024022,2102,1,2102101,0,4,30,499999,0,499999,0
128,3024022,2102,2,2102102,0,4,30,434000,0,434000,0
129,3024022,2102,3,2102101,2102102,4,30,59000,0,59000,0
130,3024022,2102,4,2102101,2102102,3,30,7000,0,7000,0
131,3024022,2102,5,2102102,2102102,4,30,1,10000,1,10000
132,3024022,3102,1,3102101,0,4,30,499999,0,499999,0
133,3024022,3102,2,3102102,0,4,30,434000,0,434000,0
134,3024022,3102,3,3102101,3102102,4,30,59000,0,59000,0
135,3024022,3102,4,3102101,3102102,3,30,7000,0,7000,0
136,3024022,3102,5,3102102,3102102,4,30,1,10000,1,10000
137,3024022,3201,1,3201101,0,4,30,499999,0,499999,0
138,3024022,3201,2,3201102,0,4,30,434000,0,434000,0
139,3024022,3201,3,3201101,3201102,4,30,59000,0,59000,0
140,3024022,3201,4,3201101,3201102,3,30,7000,0,7000,0
141,3024022,3201,5,3201102,3201102,4,30,1,10000,1,10000
142,3024022,3202,1,3202101,0,4,30,499999,0,499999,0
143,3024022,3202,2,3202102,0,4,30,434000,0,434000,0
144,3024022,3202,3,3202101,3202102,4,30,59000,0,59000,0
145,3024022,3202,4,3202101,3202102,3,30,7000,0,7000,0
146,3024022,3202,5,3202102,3202102,4,30,1,10000,1,10000
147,3024022,4102,1,4102101,0,4,30,499999,0,499999,0
148,3024022,4102,2,4102102,0,4,30,434000,0,434000,0
149,3024022,4102,3,4102101,4102102,4,30,59000,0,59000,0
150,3024022,4102,4,4102101,4102102,3,30,7000,0,7000,0
151,3024022,4102,5,4102102,4102102,4,30,1,10000,1,10000
152,3024022,5102,1,5102101,0,4,30,499999,0,499999,0
153,3024022,5102,2,5102102,0,4,30,434000,0,434000,0
154,3024022,5102,3,5102101,5102102,4,30,59000,0,59000,0
155,3024022,5102,4,5102101,5102102,3,30,7000,0,7000,0
156,3024022,5102,5,5102102,5102102,4,30,1,10000,1,10000
157,3024022,6102,1,6102101,0,4,30,499999,0,499999,0
158,3024022,6102,2,6102102,0,4,30,434000,0,434000,0
159,3024022,6102,3,6102101,6102102,4,30,59000,0,59000,0
160,3024022,6102,4,6102101,6102102,3,30,7000,0,7000,0
161,3024022,6102,5,6102102,6102102,4,30,1,10000,1,10000
162,3024022,7102,1,7102101,0,4,30,499999,0,499999,0
163,3024022,7102,2,7102102,0,4,30,434000,0,434000,0
164,3024022,7102,3,7102101,7102102,4,30,59000,0,59000,0
165,3024022,7102,4,7102101,7102102,3,30,7000,0,7000,0
166,3024022,7102,5,7102102,7102102,4,30,1,10000,1,10000
167,3024023,2102,1,2102201,0,5,30,499999,0,499999,0
168,3024023,2102,2,2102202,0,5,30,434000,0,434000,0
169,3024023,2102,3,2102201,2102202,5,30,59000,0,59000,0
170,3024023,2102,4,2102201,2102202,4,30,7000,0,7000,0
171,3024023,2102,5,2102202,2102202,5,30,1,10000,1,10000
172,3024023,3102,1,3102201,0,5,30,499999,0,499999,0
173,3024023,3102,2,3102202,0,5,30,434000,0,434000,0
174,3024023,3102,3,3102201,3102202,5,30,59000,0,59000,0
175,3024023,3102,4,3102201,3102202,4,30,7000,0,7000,0
176,3024023,3102,5,3102202,3102202,5,30,1,10000,1,10000
177,3024023,3201,1,3201201,0,5,30,499999,0,499999,0
178,3024023,3201,2,3201202,0,5,30,434000,0,434000,0
179,3024023,3201,3,3201201,3201202,5,30,59000,0,59000,0
180,3024023,3201,4,3201201,3201202,4,30,7000,0,7000,0
181,3024023,3201,5,3201202,3201202,5,30,1,10000,1,10000
182,3024023,3202,1,3202201,0,5,30,499999,0,499999,0
183,3024023,3202,2,3202202,0,5,30,434000,0,434000,0
184,3024023,3202,3,3202201,3202202,5,30,59000,0,59000,0
185,3024023,3202,4,3202201,3202202,4,30,7000,0,7000,0
186,3024023,3202,5,3202202,3202202,5,30,1,10000,1,10000
187,3024023,4102,1,4102201,0,5,30,499999,0,499999,0
188,3024023,4102,2,4102202,0,5,30,434000,0,434000,0
189,3024023,4102,3,4102201,4102202,5,30,59000,0,59000,0
190,3024023,4102,4,4102201,4102202,4,30,7000,0,7000,0
191,3024023,4102,5,4102202,4102202,5,30,1,10000,1,10000
192,3024023,5102,1,5102201,0,5,30,499999,0,499999,0
193,3024023,5102,2,5102202,0,5,30,434000,0,434000,0
194,3024023,5102,3,5102201,5102202,5,30,59000,0,59000,0
195,3024023,5102,4,5102201,5102202,4,30,7000,0,7000,0
196,3024023,5102,5,5102202,5102202,5,30,1,10000,1,10000
197,3024023,6102,1,6102201,0,5,30,499999,0,499999,0
198,3024023,6102,2,6102202,0,5,30,434000,0,434000,0
199,3024023,6102,3,6102201,6102202,5,30,59000,0,59000,0
200,3024023,6102,4,6102201,6102202,4,30,7000,0,7000,0
201,3024023,6102,5,6102202,6102202,5,30,1,10000,1,10000
202,3024023,7102,1,7102201,0,5,30,499999,0,499999,0
203,3024023,7102,2,7102202,0,5,30,434000,0,434000,0
204,3024023,7102,3,7102201,7102202,5,30,59000,0,59000,0
205,3024023,7102,4,7102201,7102202,4,30,7000,0,7000,0
206,3024023,7102,5,7102202,7102202,5,30,1,10000,1,10000
207,3024024,2102,1,2102301,0,6,30,499999,0,499999,0
208,3024024,2102,2,2102302,0,6,30,434000,0,434000,0
209,3024024,2102,3,2102301,2102302,6,30,60000,0,60000,0
210,3024024,2102,4,2102301,2102302,5,30,6000,0,6000,0
211,3024024,2102,5,2102302,2102302,6,30,1,10000,1,10000
212,3024024,3102,1,3102301,0,6,30,499999,0,499999,0
213,3024024,3102,2,3102302,0,6,30,434000,0,434000,0
214,3024024,3102,3,3102301,3102302,6,30,60000,0,60000,0
215,3024024,3102,4,3102301,3102302,5,30,6000,0,6000,0
216,3024024,3102,5,3102302,3102302,6,30,1,10000,1,10000
217,3024024,3201,1,3201301,0,6,30,499999,0,499999,0
218,3024024,3201,2,3201302,0,6,30,434000,0,434000,0
219,3024024,3201,3,3201301,3201302,6,30,60000,0,60000,0
220,3024024,3201,4,3201301,3201302,5,30,6000,0,6000,0
221,3024024,3201,5,3201302,3201302,6,30,1,10000,1,10000
222,3024024,3202,1,3202301,0,6,30,499999,0,499999,0
223,3024024,3202,2,3202302,0,6,30,434000,0,434000,0
224,3024024,3202,3,3202301,3202302,6,30,60000,0,60000,0
225,3024024,3202,4,3202301,3202302,5,30,6000,0,6000,0
226,3024024,3202,5,3202302,3202302,6,30,1,10000,1,10000
227,3024024,4102,1,4102301,0,6,30,499999,0,499999,0
228,3024024,4102,2,4102302,0,6,30,434000,0,434000,0
229,3024024,4102,3,4102301,4102302,6,30,60000,0,60000,0
230,3024024,4102,4,4102301,4102302,5,30,6000,0,6000,0
231,3024024,4102,5,4102302,4102302,6,30,1,10000,1,10000
232,3024024,5102,1,5102301,0,6,30,499999,0,499999,0
233,3024024,5102,2,5102302,0,6,30,434000,0,434000,0
234,3024024,5102,3,5102301,5102302,6,30,60000,0,60000,0
235,3024024,5102,4,5102301,5102302,5,30,6000,0,6000,0
236,3024024,5102,5,5102302,5102302,6,30,1,10000,1,10000
237,3024024,6102,1,6102301,0,6,30,499999,0,499999,0
238,3024024,6102,2,6102302,0,6,30,434000,0,434000,0
239,3024024,6102,3,6102301,6102302,6,30,60000,0,60000,0
240,3024024,6102,4,6102301,6102302,5,30,6000,0,6000,0
241,3024024,6102,5,6102302,6102302,6,30,1,10000,1,10000
242,3024024,7102,1,7102301,0,6,30,499999,0,499999,0
243,3024024,7102,2,7102302,0,6,30,434000,0,434000,0
244,3024024,7102,3,7102301,7102302,6,30,60000,0,60000,0
245,3024024,7102,4,7102301,7102302,5,30,6000,0,6000,0
246,3024024,7102,5,7102302,7102302,6,30,1,10000,1,10000
247,3024025,2102,1,2102401,0,7,30,499999,0,499999,0
248,3024025,2102,2,2102402,0,7,30,434000,0,437000,0
249,3024025,2102,3,2102401,2102402,7,30,60000,0,60000,0
250,3024025,2102,4,2102401,2102402,5,30,6000,0,3000,0
251,3024025,2102,5,2102402,2102402,7,30,1,10000,1,10000
252,3024025,3102,1,3102401,0,7,30,499999,0,499999,0
253,3024025,3102,2,3102402,0,7,30,434000,0,437000,0
254,3024025,3102,3,3102401,3102402,7,30,60000,0,60000,0
255,3024025,3102,4,3102401,3102402,5,30,6000,0,3000,0
256,3024025,3102,5,3102402,3102402,7,30,1,10000,1,10000
257,3024025,3201,1,3201401,0,7,30,499999,0,499999,0
258,3024025,3201,2,3201402,0,7,30,434000,0,437000,0
259,3024025,3201,3,3201401,3201402,7,30,60000,0,60000,0
260,3024025,3201,4,3201401,3201402,5,30,6000,0,3000,0
261,3024025,3201,5,3201402,3201402,7,30,1,10000,1,10000
262,3024025,3202,1,3202401,0,7,30,499999,0,499999,0
263,3024025,3202,2,3202402,0,7,30,434000,0,437000,0
264,3024025,3202,3,3202401,3202402,7,30,60000,0,60000,0
265,3024025,3202,4,3202401,3202402,5,30,6000,0,3000,0
266,3024025,3202,5,3202402,3202402,7,30,1,10000,1,10000
267,3024025,4102,1,4102401,0,7,30,499999,0,499999,0
268,3024025,4102,2,4102402,0,7,30,434000,0,437000,0
269,3024025,4102,3,4102401,4102402,7,30,60000,0,60000,0
270,3024025,4102,4,4102401,4102402,5,30,6000,0,3000,0
271,3024025,4102,5,4102402,4102402,7,30,1,10000,1,10000
272,3024025,5102,1,5102401,0,7,30,499999,0,499999,0
273,3024025,5102,2,5102402,0,7,30,434000,0,437000,0
274,3024025,5102,3,5102401,5102402,7,30,60000,0,60000,0
275,3024025,5102,4,5102401,5102402,5,30,6000,0,3000,0
276,3024025,5102,5,5102402,5102402,7,30,1,10000,1,10000
277,3024025,6102,1,6102401,0,7,30,499999,0,499999,0
278,3024025,6102,2,6102402,0,7,30,434000,0,437000,0
279,3024025,6102,3,6102401,6102402,7,30,60000,0,60000,0
280,3024025,6102,4,6102401,6102402,5,30,6000,0,3000,0
281,3024025,6102,5,6102402,6102402,7,30,1,10000,1,10000
282,3024025,7102,1,7102401,0,7,30,499999,0,499999,0
283,3024025,7102,2,7102402,0,7,30,434000,0,437000,0
284,3024025,7102,3,7102401,7102402,7,30,60000,0,60000,0
285,3024025,7102,4,7102401,7102402,5,30,6000,0,3000,0
286,3024025,7102,5,7102402,7102402,7,30,1,10000,1,10000
287,3024022,2201,1,2201101,0,4,30,499999,0,499999,0
288,3024022,2201,2,2201102,0,4,30,434000,0,434000,0
289,3024022,2201,3,2201101,2201102,4,30,59000,0,59000,0
290,3024022,2201,4,2201101,2201102,3,30,7000,0,7000,0
291,3024022,2201,5,2201102,2201102,4,30,1,10000,1,10000
292,3024023,2201,1,2201201,0,5,30,499999,0,499999,0
293,3024023,2201,2,2201202,0,5,30,434000,0,434000,0
294,3024023,2201,3,2201201,2201202,5,30,59000,0,59000,0
295,3024023,2201,4,2201201,2201202,4,30,7000,0,7000,0
296,3024023,2201,5,2201202,2201202,5,30,1,10000,1,10000
297,3024024,2201,1,2201301,0,6,30,499999,0,499999,0
298,3024024,2201,2,2201302,0,6,30,434000,0,434000,0
299,3024024,2201,3,2201301,2201302,6,30,60000,0,60000,0
300,3024024,2201,4,2201301,2201302,5,30,6000,0,6000,0
301,3024024,2201,5,2201302,2201302,6,30,1,10000,1,10000
302,3024025,2201,1,2201401,0,7,30,499999,0,499999,0
303,3024025,2201,2,2201402,0,7,30,434000,0,437000,0
304,3024025,2201,3,2201401,2201402,7,30,60000,0,60000,0
305,3024025,2201,4,2201401,2201402,5,30,6000,0,3000,0
306,3024025,2201,5,2201402,2201402,7,30,1,10000,1,10000
307,3024022,2202,1,2202101,0,4,30,499999,0,499999,0
308,3024022,2202,2,2202102,0,4,30,434000,0,434000,0
309,3024022,2202,3,2202101,2202102,4,30,59000,0,59000,0
310,3024022,2202,4,2202101,2202102,3,30,7000,0,7000,0
311,3024022,2202,5,2202102,2202102,4,30,1,10000,1,10000
312,3024023,2202,1,2202201,0,5,30,499999,0,499999,0
313,3024023,2202,2,2202202,0,5,30,434000,0,434000,0
314,3024023,2202,3,2202201,2202202,5,30,59000,0,59000,0
315,3024023,2202,4,2202201,2202202,4,30,7000,0,7000,0
316,3024023,2202,5,2202202,2202202,5,30,1,10000,1,10000
317,3024024,2202,1,2202301,0,6,30,499999,0,499999,0
318,3024024,2202,2,2202302,0,6,30,434000,0,434000,0
319,3024024,2202,3,2202301,2202302,6,30,60000,0,60000,0
320,3024024,2202,4,2202301,2202302,5,30,6000,0,6000,0
321,3024024,2202,5,2202302,2202302,6,30,1,10000,1,10000
322,3024025,2202,1,2202401,0,7,30,499999,0,499999,0
323,3024025,2202,2,2202402,0,7,30,434000,0,437000,0
324,3024025,2202,3,2202401,2202402,7,30,60000,0,60000,0
325,3024025,2202,4,2202401,2202402,5,30,6000,0,3000,0
326,3024025,2202,5,2202402,2202402,7,30,1,10000,1,10000
327,3024022,6201,1,6201101,0,4,30,499999,0,499999,0
328,3024022,6201,2,6201102,0,4,30,434000,0,434000,0
329,3024022,6201,3,6201101,6201102,4,30,59000,0,59000,0
330,3024022,6201,4,6201101,6201102,3,30,7000,0,7000,0
331,3024022,6201,5,6201102,6201102,4,30,1,10000,1,10000
332,3024023,6201,1,6201201,0,5,30,499999,0,499999,0
333,3024023,6201,2,6201202,0,5,30,434000,0,434000,0
334,3024023,6201,3,6201201,6201202,5,30,59000,0,59000,0
335,3024023,6201,4,6201201,6201202,4,30,7000,0,7000,0
336,3024023,6201,5,6201202,6201202,5,30,1,10000,1,10000
337,3024024,6201,1,6201301,0,6,30,499999,0,499999,0
338,3024024,6201,2,6201302,0,6,30,434000,0,434000,0
339,3024024,6201,3,6201301,6201302,6,30,60000,0,60000,0
340,3024024,6201,4,6201301,6201302,5,30,6000,0,6000,0
341,3024024,6201,5,6201302,6201302,6,30,1,10000,1,10000
342,3024025,6201,1,6201401,0,7,30,499999,0,499999,0
343,3024025,6201,2,6201402,0,7,30,434000,0,437000,0
344,3024025,6201,3,6201401,6201402,7,30,60000,0,60000,0
345,3024025,6201,4,6201401,6201402,5,30,6000,0,3000,0
346,3024025,6201,5,6201402,6201402,7,30,1,10000,1,10000
347,3024022,6202,1,6202101,0,4,30,499999,0,499999,0
348,3024022,6202,2,6202102,0,4,30,434000,0,434000,0
349,3024022,6202,3,6202101,6202102,4,30,59000,0,59000,0
350,3024022,6202,4,6202101,6202102,3,30,7000,0,7000,0
351,3024022,6202,5,6202102,6202102,4,30,1,10000,1,10000
352,3024023,6202,1,6202201,0,5,30,499999,0,499999,0
353,3024023,6202,2,6202202,0,5,30,434000,0,434000,0
354,3024023,6202,3,6202201,6202202,5,30,59000,0,59000,0
355,3024023,6202,4,6202201,6202202,4,30,7000,0,7000,0
356,3024023,6202,5,6202202,6202202,5,30,1,10000,1,10000
357,3024024,6202,1,6202301,0,6,30,499999,0,499999,0
358,3024024,6202,2,6202302,0,6,30,434000,0,434000,0
359,3024024,6202,3,6202301,6202302,6,30,60000,0,60000,0
360,3024024,6202,4,6202301,6202302,5,30,6000,0,6000,0
361,3024024,6202,5,6202302,6202302,6,30,1,10000,1,10000
362,3024025,6202,1,6202401,0,7,30,499999,0,499999,0
363,3024025,6202,2,6202402,0,7,30,434000,0,437000,0
364,3024025,6202,3,6202401,6202402,7,30,60000,0,60000,0
365,3024025,6202,4,6202401,6202402,5,30,6000,0,3000,0
366,3024025,6202,5,6202402,6202402,7,30,1,10000,1,10000
367,3024022,2101,1,2101101,0,4,30,499999,0,499999,0
368,3024022,2101,2,2101102,0,4,30,434000,0,434000,0
369,3024022,2101,3,2101101,2101102,4,30,59000,0,59000,0
370,3024022,2101,4,2101101,2101102,3,30,7000,0,7000,0
371,3024022,2101,5,2101102,2101102,4,30,1,10000,1,10000
372,3024023,2101,1,2101201,0,5,30,499999,0,499999,0
373,3024023,2101,2,2101202,0,5,30,434000,0,434000,0
374,3024023,2101,3,2101201,2101202,5,30,59000,0,59000,0
375,3024023,2101,4,2101201,2101202,4,30,7000,0,7000,0
376,3024023,2101,5,2101202,2101202,5,30,1,10000,1,10000
377,3024024,2101,1,2101301,0,6,30,499999,0,499999,0
378,3024024,2101,2,2101302,0,6,30,434000,0,434000,0
379,3024024,2101,3,2101301,2101302,6,30,60000,0,60000,0
380,3024024,2101,4,2101301,2101302,5,30,6000,0,6000,0
381,3024024,2101,5,2101302,2101302,6,30,1,10000,1,10000
382,3024025,2101,1,2101401,0,7,30,499999,0,499999,0
383,3024025,2101,2,2101402,0,7,30,434000,0,437000,0
384,3024025,2101,3,2101401,2101402,7,30,60000,0,60000,0
385,3024025,2101,4,2101401,2101402,5,30,6000,0,3000,0
386,3024025,2101,5,2101402,2101402,7,30,1,10000,1,10000
387,3024022,3101,1,3101101,0,4,30,499999,0,499999,0
388,3024022,3101,2,3101102,0,4,30,434000,0,434000,0
389,3024022,3101,3,3101101,3101102,4,30,59000,0,59000,0
390,3024022,3101,4,3101101,3101102,3,30,7000,0,7000,0
391,3024022,3101,5,3101102,3101102,4,30,1,10000,1,10000
392,3024023,3101,1,3101201,0,5,30,499999,0,499999,0
393,3024023,3101,2,3101202,0,5,30,434000,0,434000,0
394,3024023,3101,3,3101201,3101202,5,30,59000,0,59000,0
395,3024023,3101,4,3101201,3101202,4,30,7000,0,7000,0
396,3024023,3101,5,3101202,3101202,5,30,1,10000,1,10000
397,3024024,3101,1,3101301,0,6,30,499999,0,499999,0
398,3024024,3101,2,3101302,0,6,30,434000,0,434000,0
399,3024024,3101,3,3101301,3101302,6,30,60000,0,60000,0
400,3024024,3101,4,3101301,3101302,5,30,6000,0,6000,0
401,3024024,3101,5,3101302,3101302,6,30,1,10000,1,10000
402,3024025,3101,1,3101401,0,7,30,499999,0,499999,0
403,3024025,3101,2,3101402,0,7,30,434000,0,437000,0
404,3024025,3101,3,3101401,3101402,7,30,60000,0,60000,0
405,3024025,3101,4,3101401,3101402,5,30,6000,0,3000,0
406,3024025,3101,5,3101402,3101402,7,30,1,10000,1,10000
407,3024022,4101,1,4101101,0,4,30,499999,0,499999,0
408,3024022,4101,2,4101102,0,4,30,434000,0,434000,0
409,3024022,4101,3,4101101,4101102,4,30,59000,0,59000,0
410,3024022,4101,4,4101101,4101102,3,30,7000,0,7000,0
411,3024022,4101,5,4101102,4101102,4,30,1,10000,1,10000
412,3024023,4101,1,4101201,0,5,30,499999,0,499999,0
413,3024023,4101,2,4101202,0,5,30,434000,0,434000,0
414,3024023,4101,3,4101201,4101202,5,30,59000,0,59000,0
415,3024023,4101,4,4101201,4101202,4,30,7000,0,7000,0
416,3024023,4101,5,4101202,4101202,5,30,1,10000,1,10000
417,3024024,4101,1,4101301,0,6,30,499999,0,499999,0
418,3024024,4101,2,4101302,0,6,30,434000,0,434000,0
419,3024024,4101,3,4101301,4101302,6,30,60000,0,60000,0
420,3024024,4101,4,4101301,4101302,5,30,6000,0,6000,0
421,3024024,4101,5,4101302,4101302,6,30,1,10000,1,10000
422,3024025,4101,1,4101401,0,7,30,499999,0,499999,0
423,3024025,4101,2,4101402,0,7,30,434000,0,437000,0
424,3024025,4101,3,4101401,4101402,7,30,60000,0,60000,0
425,3024025,4101,4,4101401,4101402,5,30,6000,0,3000,0
426,3024025,4101,5,4101402,4101402,7,30,1,10000,1,10000
427,3024022,5101,1,5101101,0,4,30,499999,0,499999,0
428,3024022,5101,2,5101102,0,4,30,434000,0,434000,0
429,3024022,5101,3,5101101,5101102,4,30,59000,0,59000,0
430,3024022,5101,4,5101101,5101102,3,30,7000,0,7000,0
431,3024022,5101,5,5101102,5101102,4,30,1,10000,1,10000
432,3024023,5101,1,5101201,0,5,30,499999,0,499999,0
433,3024023,5101,2,5101202,0,5,30,434000,0,434000,0
434,3024023,5101,3,5101201,5101202,5,30,59000,0,59000,0
