ID,Target,GuidePos,TargetDes,Des
目标ID,副本目标（1，对话；2，打怪，击杀特定怪物；3：采集；4，获得特定物品；5，进入区域；6：使用道具；7：特殊事件,引导坐标（不配置不会在小地图显示引导位置，配置则会显示引导位置）,目标描述,备注
277,7|1|1,,消灭天使波利,转生回忆
278,7|1|1,,和瓦尔基里对话,转生回忆
279,7|1|1,,消灭心魔,转生回忆
280,7|1|1,,避免稻草人损坏超过3个,职业线2270
281,7|1|1,,限时内消灭3波魔物,职业线2272
282,7|1|1,,和骑士团长修彼克对话,夜袭普隆德拉
283,7|1|1,,破坏传送柱,夜袭普隆德拉
284,7|1|1,,消灭沿路的魔物,夜袭普隆德拉
285,7|1|1,,再次破坏传送柱,夜袭普隆德拉
286,7|1|1,,保护居民至安全区域,夜袭普隆德拉
287,7|1|1,,再次和骑士团长修彼克对话,夜袭普隆德拉
288,7|1|1,,沿着走廊前行,夜袭普隆德拉
289,2|8702|1,,消灭深渊骑士,夜袭普隆德拉
290,2|8802|1,,消灭深渊骑士,海姆：夜袭普隆德拉
291,7|1|1,,利用光之仪器打开入口,夜袭普隆德拉
292,2|8701|1,,消灭毕尤,夜袭普隆德拉
293,2|8801|1,,消灭毕尤,海姆：夜袭普隆德拉
294,7|1|1,,进入修彼克旁的传送门,夜袭普隆德拉
295,7|1|1,,任意选择一个传送门进入,秋夕兔特异点
300,7|1|1,,分别踏到两块石板上,双人契约：风之章
301,7|1|1,,采集完所有食物获取信息,双人契约：风之章
302,7|1|1,,回到各自的石板上，并正确回答所有问题,双人契约：风之章
303,7|1|1,,废弃,废弃
304,7|1|1,,分别踏到两块石板上,双人契约：花之章
305,3|512064|5,,限定时间内采集所有花朵,双人契约：花之章
306,3|512065|2,,限定时间内采集所有竹条,双人契约：花之章
307,7|1|1,,分别踏到两块石板上,双人契约：夜之章
308,7|1|1,,相互协作消除障碍，到达恶魔身边,双人契约：夜之章
310,2|27961|1,,限定时间内击败所有魔物,职业线45-武僧
311,2|27962|1,,击败龙蝇之影,职业线48-武僧
312,2|27963|1,,击败巨象甲虫,职业线50-武僧
313,2|27964|1,,击败龙蝇之影,职业线53-武僧
314,2|27965|1,,击败坚硬的巧克猴之影,职业线55-武僧阿霸运用
315,2|27966|1,,击败龙蝇之影,职业线60-武僧终极考核
316,2|27901|1,,限定时间内击败所有魔物,职业线45-十字军大体型+恶魔割草
317,7|1|1,,限定时间内让自己避免死亡,职业线48-十字军天波圣抗教学
318,2|27903|5,,击败蛇女伊丝,职业线50-十字军大体型+恶魔割草
319,2|27904|1,,击败巨大恶魔波利,职业线53-十字军进阶教学
320,7|1|1,,利用技能“牺牲”保护恩维,职业线55-十字军牺牲运用
321,2|27907|1,,击败巨大恶魔波利,职业线60-十字军终极考核
322,2|7538|1,,限定时间内击败所有魔物,职业线：炼金45J
323,2|7538|1,,限定时间内击败狂暴蚁后之影,职业线：炼金48J
324,2|7538|1,,限定时间内击败所有魔物,职业线：炼金50J
325,2|7538|1,,限定时间内击败狂暴蚁后之影,职业线：炼金53J
326,2|7538|1,,限定时间内召唤生命体击败魔物,职业线：炼金55J
327,2|7538|1,,限定时间内击败魔物,职业线：炼金60J
328,7|1|1,,进入修道院深处,净化修道院
329,7|1|1,,和伪神霍普进行战斗,净化修道院
330,7|1|1,,探索修道院找到尤达,净化修道院
331,7|1|1,,恢复尤达的理智,净化修道院
332,7|1|1,,向尤达问清真相,净化修道院
333,7|1|1,,收回附于人偶上的身之神性,净化修道院
334,7|1|1,,再次和尤达对话,净化修道院
335,7|1|1,,跟随精灵前进,净化修道院
336,7|1|1,,消灭阻拦的爱丽丝女仆,净化修道院
337,7|1|1,,突破飞行魔书的暗链之阵,净化修道院
338,7|1|1,,在女神像处获取信息,净化修道院
339,7|1|1,,收回附于皇冠上的意之神性,净化修道院
340,7|1|1,,再次和尤达对话,净化修道院
341,7|1|1,,再次跟随精灵前进,净化修道院
342,7|1|1,,消灭东区的暗神官,净化修道院
343,7|1|1,,选择正确的传送门,净化修道院
344,7|1|1,,消灭蝙蝠弓箭手,净化修道院
345,7|1|1,,在逃难区获取信息,净化修道院
346,7|1|1,,收回附于法环上的心之神性,净化修道院
347,7|1|1,,和尤达进行对话,净化修道院
348,7|1|1,,选择霍普的属性后再次和尤达对话,净化修道院
349,2|7538|1,,击败被黑暗之王控制的霍普,净化修道院
350,2|7538|1,,限定时间内击败魔物,职业线：诗人舞娘45J
351,2|7538|1,,限定时间内击败蛙王残影,职业线：诗人舞娘48J
352,7|1|1,,限定时间内保护受伤的小动物,职业线：诗人舞娘50J
353,2|7538|1,,限定时间内击败狂暴蚁后之影,职业线：诗人舞娘53J
354,2|7538|1,,限定时间内击败魔物,职业线：诗人舞娘55J
355,7|1|1,,消灭拦路的蚂蚁,单人蚁穴惊魂
356,7|1|1,,寻找方法安全通过狭道,单人蚁穴惊魂
357,7|1|1,,消灭玛雅之子,单人蚁穴惊魂
358,7|1|1,,再次通过狭道,单人蚁穴惊魂
359,7|1|1,,消灭拦路的蚂蚁,单人蚁穴惊魂
360,7|1|1,,利用基尔瑟消灭蚂蚁窝,单人蚁穴惊魂
361,2|5439|1,,消灭蚁后玛雅,单人蚁穴惊魂
362,7|1|4,,点亮火盆,记忆碎片1
363,2|15183|5,,消灭所有囚犯,记忆碎片2
364,2|15186|60,,60秒内砸碎60个石头,记忆碎片3
365,7|1|1,,逃到走廊的尽头,记忆碎片4
366,3|512112|1,,"到达尽头,打开机关",记忆碎片5
367,2|28531|10,,点燃火把,记忆碎片6
368,2|29310|7,,破除场地中的7个法阵,记忆碎片7
369,2|29378|1,,潜入监狱深处，击败典狱长,记忆碎片8
370,7|1|1,,找到钥匙打开宝箱,记忆碎片9
371,7|1|1,,击败铁匠，逃出监狱,记忆碎片10
372,2|15303|40,,保护记忆体的同时消灭40个邪骸俘虏,记忆碎片11
373,7|1|7,,解救人质,记忆碎片12
374,2|8851|1,,消灭毕尤,单人：夜袭普隆德拉
375,2|8852|1,,消灭深渊骑士,单人：夜袭普隆德拉
414,2|28539|7,,击退朱诺士兵,宠物剧情
415,2|28543|1,,击败朱诺队长,宠物剧情
416,7|1|1,,找到叛逃的哥布灵,A10探秘哥布灵
417,7|1|1,,消灭营地魔怔的哥布灵,
418,2|29209|1,,击败魔怔的精英哥布灵,
419,7|1|1,,潜入哥布灵森林深处寻找机关,
420,7|1|1,,击退魔怔的哥布灵,
421,2|29210|1,,击败被吵醒的精英哥布灵,
422,7|1|1,,消灭营地的哥布灵,
423,2|29202|1,,击败哥布灵首领,
424,2|29269|1,,击败魔怔的哥布灵精英,
425,2|29270|1,,击败被吵醒的精英哥布灵,
426,2|29262|1,,击败哥布灵首领,
427,7|1|1,,前往进行伪装,
428,7|1|1,,跟随叛逃哥布林前往营地,
501,7|1|1,,消灭在门口看守的兽人小队,兽人事变低级
502,1|11010|2051,81=16.48=109,与旁边的兽人士兵对话,兽人事变低级
503,7|1|1,111=16.48=116.5,救出兽人士兵的孩子,兽人事变低级
504,1|11011|2051,111=16.48=116.5,和兽人小孩对话,兽人事变低级
505,1|11012|2051,79.13=16.48=109,再跟兽人士兵对话,兽人事变低级
506,3|511101|1,62.67=16.66=108.85,消除空气墙,兽人事变低级
507,7|1|1,,消灭最后的BOSS,兽人事变低级
508,5|2051|1,64.6=16.66=111.7,继续深入洞穴,兽人事变低级
509,8|12,124=16.5=65,去消灭2只邪骸弓箭手,兽人事变低级
510,1|11011|2051,111=16.48=116.5,再跟兽人小孩对话,兽人事变低级
525,3|511107|1,85=16.5=78,摧毁通往深处的屏障,兽人事变低级
511,7|1|1,208=20=200.5,解决入口附近的看守,落难公主低级
512,7|1|1,152.2=20=133.4,解决中央关口的守卫,落难公主低级
513,5|2053|6,91.8=19.1=160.4,到达宝藏放置处附近,落难公主低级
514,3|511102|1,103.4=19.6=107,打开第一个机关,落难公主低级
515,7|1|1,71.9=19.2=94.7,击败看守第二个机关的看守,落难公主低级
516,3|511103|1,68.5=19.2=80.7,打开第二个机关,落难公主低级
517,7|1|1,81.6=21.6=209.4,击败最终的守卫,落难公主低级
518,3|511104|1,96.1=22=222.2,打开最后宝藏的机关,落难公主低级
519,5|2053|8,65.9=22.33=215.2,离开去找人鱼公主讨个说法,落难公主低级
521,7|1|1,108.2=42.73=31.1,解决门口挡路的魔物,金字塔异变低级
522,7|1|1,44.7=41.62=44.67,解决守护符文的魔物,金字塔异变低级
523,7|1|1,145.7=37.6=88.56,携带红色符文进入红色法阵,金字塔异变低级
524,7|1|1,89.7=40=83,解决最后的敌人,金字塔异变低级
529,8|0,,解决产生异变的源头,吉芬魔法师
530,8|0|1,116=1.1=104,解决第一批拦路的哥布灵,哥布灵杀手
531,8|2|3,106=1.1=127,解决第二批拦路的哥布灵,哥布灵杀手
532,8|4|5,133=1.1=132,击败出来的哥布灵首领及其手下,哥布灵杀手
601,2|7103|5,,吸收场景中的5个念力白球,法师吃球
602,7|1|1,,根据小魔菇来的方向找到魔菇制造器,灵巧修炼
603,2|8313|1,,摧毁魔菇制造器,灵巧修炼
604,3|500012|1,36.02=4.29=46.63,念动咒语进入以太位面,灵魂碎片
605,7|1|3,,赶走黑市内的复仇幽灵,灵魂碎片
606,7|1|3,,收集散落在黑市内的灵魂碎片,灵魂碎片
607,7|1|1,,沿路找到瑟瑟发抖的巴风特,厨师吹牛
608,2|5601|1,,干掉巴风特！,厨师吹牛
609,7|1|1,,找到躲藏在树林中的巴风特,铁匠吹牛
610,2|5731|1,,干掉巴风特！,铁匠吹牛
611,7|1|10,,点亮迷宫中的10个火盆,黑暗迷宫
612,7|1|1,,使光线通过折射装置照射到书架上,光折射
613,7|1|1,,从书架上拿起书籍,光折射
614,7|1|1,,向教官学习基础冒险知识,装死教学
615,7|1|1,,找到毒眼组织成员,毒眼圣物
616,7|1|1,,与毒眼组织成员对话,毒眼圣物
617,7|1|1,,消灭毒眼组织成员,毒眼圣物
618,7|1|1,,与麻略加娜对话,毒眼圣物
619,7|1|1,,找到加雷斯并与他对话,毒眼圣物
620,7|1|1,,打败加雷斯,毒眼圣物
621,7|1|1,,审问加雷斯剧毒之刺的下落,毒眼圣物
622,7|1|1,,跟随加雷斯找到剧毒之刺,毒眼圣物
623,7|1|1,,与加雷斯对话,毒眼圣物
624,7|1|1,,消灭毒眼成员,毒眼圣物
625,7|1|1,,跟随脚印找到加雷斯,毒眼圣物
626,7|1|1,,击败加雷斯,毒眼圣物
627,7|1|1,,与麻略加娜对话,毒眼圣物
628,7|1|1,,躲到一旁观看,毒眼圣物
629,7|1|1,,与麻略加娜对话,毒眼圣物
630,7|1|1,,消灭毒眼成员,毒眼圣物
631,7|1|1,,按兵不动，继续等待,毒眼圣物
632,7|1|1,,与加雷斯对话,毒眼圣物
633,7|1|1,,击败加雷斯,毒眼圣物
634,7|1|1,,与发兑斯对话,毒眼圣物
635,7|1|1,,击退刺客公会成员,毒眼圣物
636,7|1|1,,与毒眼成员对话,毒眼圣物
637,7|1|1,,找到加雷斯并与他对话,毒眼圣物
638,7|1|1,,溜到一边给刺客公会写信,毒眼圣物
639,7|1|1,,与加雷斯对话，拖住他,毒眼圣物
640,7|1|1,,击败加雷斯,毒眼圣物
641,7|1|1,,与麻略加娜对话,毒眼圣物
642,7|1|1,,找到加雷斯的藏身地,毒眼圣物
643,7|1|1,,与加雷斯对话,毒眼圣物
644,7|1|1,,销毁剧毒之刺,毒眼圣物
645,7|1|1,,带着剧毒之刺离开,毒眼圣物
646,7|1|1,,解决赶来的追兵,毒眼圣物
647,7|1|1,,前往安全区域,毒眼圣物
648,7|1|1,,销毁剧毒之刺,毒眼圣物
649,7|1|1,,体验当前素质属性,加点体验
650,7|1|1,,选择一个素质属性加点，击败魔物,加点体验
651,7|1|1,,体验加点后的属性,加点体验
652,7|1|1,,选择一个素质属性加点，击败魔物,加点体验
653,2|7082|1,,击杀巨大白幽灵,加点体验
654,7|1|1,,通过魔菇守卫区域,下水道副本
655,7|1|1,,通过机关区域,下水道副本
656,7|1|1,,通过蜘蛛守卫区域,下水道副本
657,2|7856|1,,击败莫古尔,下水道副本
658,2|5006|1,,击败莫古尔,下水道副本
659,7|1|1,,深入金字塔内部,金字塔副本
660,7|1|1,,通过献祭之间,金字塔副本
661,7|1|1,,击败狂暴木乃伊,金字塔副本
662,2|9111|1,,击败荷鲁斯,金字塔副本
663,2|9161|1,,击败荷鲁斯,金字塔副本
664,7|1|1,,击败大脚熊兄弟,勇气勋章
665,2|5681|1,,击败虎王,勇气勋章
666,7|1|1,,寻找梦罗克城主与洛基,混沌的枷锁
667,7|1|1,,等待洛基制裁梦罗克城主,混沌的枷锁
668,7|1|1,,击败梦罗克幼体,混沌的枷锁
669,7|1|1,,与洛基一起进入封印之间,混沌的枷锁
670,7|1|1,,封印梦罗克,混沌的枷锁
671,2|8406|1,,击败莫古尔,下水道副本
672,2|8471|1,,击败荷鲁斯,金字塔副本
673,2|8457|1,,消灭死灵剑士：多普勒,吉芬地下副本
701,2|6941|1,,击败神秘组织首领,南门黑衣人
702,2|7061|1,,击败叫嚣的骑士,黑店乱斗
703,2|7535|1,,腐尸,服事转职
704,2|7536|1,,绿腐尸,服事转职
705,2|7537|2,,小恶魔,服事转职
706,3|500004|1,,拾取驱魔圣经,服事转职
707,2|7522|1,,击败怯魔,服事转职
708,2|140003|1,,教训毕斯库司,打败毕斯库司
709,2|8301|2,,魔菇,枯树枝镜像
710,2|8302|2,,树精,枯树枝镜像
711,2|8303|2,,蝗虫,枯树枝镜像
712,2|8304|2,,小野猪,枯树枝镜像
713,2|8305|6,,白幽灵,枯树枝镜像
714,2|8351|1,,击败魔化的野猪,锻造前打野猪
715,2|8352|1,,击败魔化的野猪,锻造前后野猪
716,2|8353|1,,在限制时间内击败扎尔曼,插卡前验证
717,2|8354|1,,在限制时间内击败扎尔曼,插卡后验证
718,2|7131|1,,击败土波利王,土波利王镜像
719,2|7062|1,,蹩脚的弓箭手,黑店乱斗
720,2|7063|1,,胆小的盗贼,黑店乱斗
721,3|512002|1,,救助卫兵,服事转职
722,7|1|1,,击碎花瓶，通过导师的考验,念力打花瓶
723,2|7552|15,,击碎或躲避15只花瓶的攻击,念力打花瓶
724,3|500018|4,,收集4处白女巫的线索,逃脱秘密基地
725,7|1|1,,潜入白女巫秘密基地,逃脱秘密基地
726,7|1|1,,逃出古娜研究基地,逃脱秘密基地
727,7|1|2,,解开古娜房间2处闸门开关,逃脱秘密基地
728,7|1|2,,解开培养室2处闸门开关,逃脱秘密基地
729,7|1|1,,解开生产间闸门开关,逃脱秘密基地
730,7|1|1,,抵达妙勒尼山顶,巴雷蒙德找回伊米尔之心
731,2|9202|2,,击败凶猛的幻兽,凶狠幻兽1
732,2|9204|1,,击败凶猛的幻兽,凶狠幻兽1
733,7|1|1,,协助同伴摧毁古娜的秘密基地,古娜的秘密基地
734,2|9257|1,,协助同伴击败白女巫,古娜的秘密基地
735,2|9219|6,,消灭幻兽,催眠副本
736,7|1|1,,躲避黑衣人的攻击,催眠副本
737,7|1|1,,潜入邪教组织基地，寻找组织首领的踪迹,刺杀之心
738,2|9285|1,,击败邪教组织首领,刺杀之心
739,7|1|1,,抵达宝妮住处,赛依连驱逐记忆
740,7|1|1,,"击退卡努的""玩具”",赛依连驱逐记忆
741,7|1|1,,躲避卡努的攻击,赛依连驱逐记忆
742,7|1|1,,勘察伊米尔之心,巴雷蒙德找回伊米尔之心
743,7|1|1,,与拉乐西斯交谈,逃脱秘密基地
744,7|1|2,,扫除拦路的植物,巴雷蒙德找回伊米尔之心
745,7|1|14,,清理魔物,枯树枝镜像
746,7|1|1,,跟踪白衣修士到达目标点,跟踪白衣修士
747,2|9952|1,,击败白衣修士,抓捕白衣修士
748,2|9953|3,,击败巨大白幽灵,抓捕白衣修士
749,2|9954|1,,击败风魔巫师,抓捕白衣修士
750,2|9335|1,,击败黑衣修士,封印暴走的黑衣修士
751,7|1|1,,跟随闪光点，寻找巴雷蒙德本体意识,巴雷蒙德意识领域
752,2|9964|1,,击败暗之恶魔,巴雷蒙德意识领域
753,7|1|1,,与巴雷蒙德本体意识交谈,巴雷蒙德意识领域
754,2|9320|1,,击败拉特,奇怪青年的挑战
755,2|9321|1,,击败尤利卡,挑战尤利卡
756,2|9322|1,,击败柏得,挑战柏得
757,2|9323|1,,击败卡洛,挑战卡洛
758,2|9970|1,,击败古德拉斯,对战古德拉斯
759,2|9327|2,,击败强化僵尸,狂暴月夜猫
760,2|9326|1,,击败强化妖道,狂暴月夜猫
761,2|9328|3,,击败九尾狐,狂暴月夜猫
762,2|9325|1,,帮助西西尼亚击败狂暴月夜猫,狂暴月夜猫
763,7|1|4,,收集4处白女巫的线索,逃脱秘密基地
764,7|1|1,,逃出古娜房间,逃脱秘密基地
765,7|1|1,,逃离培养室,逃脱秘密基地
766,7|1|1,,通过导师的试炼,念力打花瓶
767,7|1|1,,击溃生产间的守卫,大战白女巫
768,7|1|1,,前往培养室,大战白女巫
769,7|1|1,,通过培养室,大战白女巫
770,7|1|1,,进入白女巫的密室,大战白女巫
771,7|1|1,,在同伴的帮助下击败房间深处的白女巫,大战白女巫
772,7|1|1,,通过武艺骑士的考验,武艺骑士的考验
773,7|1|1,,接受谦让骑士的指导,谦让骑士的指导
774,7|1|1,,搜集生产间的线索,逃脱秘密基地
775,7|1|1,,搜集培养间的线索,逃脱秘密基地
776,7|1|2,,搜集古娜房间的线索,逃脱秘密基地
777,2|5074|1,,击败邪恶牧师,下水道1层镜像2
778,2|5071|1,,击败黄金虫之影,下水道1层镜像2
779,2|27201|1,,限定时间内潜入沉船深处击败邪恶头目,潜入试炼
780,2|27210|1,,限定时间内完成试炼,攻速试炼
781,2|27211|1,,限定时间内完成试炼,攻速试炼
782,2|27212|1,,限定时间内完成试炼,攻速试炼
783,7|1|1,,学习运气之道,武僧转职
784,7|1|1,,通过体力试炼,武僧转职
785,7|1|1,,领悟终极奥义,武僧转职
786,7|1|1,,通过痛苦试炼，击杀所有怪物,十字军转职1
801,7|1|4,,帮助助阵法师,驱魔仪式
802,7|1|1,,静观其变,驱魔仪式
803,7|1|1,,解决来犯的敌人！,驱魔仪式
804,7|1|1,,查看小王子的情况,驱魔仪式
901,2|8330|1,,击败鬼女,击败鬼女
902,2|8252|1,,击败剑士师兄,剑士转职
903,2|8253|1,,击败火元素的分身,法师转职
904,2|8254|1,,击败灵体,服事转职
905,2|8255|1,,击败见习弓手内兹,弓手转职
906,2|8256|1,,击败达米-A型机,盗贼转职
907,2|8257|1,,击败达米-B型机,商人转职
908,2|8252|1,,击败剑士师兄,剑士转职
909,2|8253|1,,击败火元素的分身,法师转职
910,2|8254|1,,击败灵体,服事转职
911,2|8255|1,,击败见习弓手内兹,弓手转职
912,2|8256|1,,击败达米-A型机,盗贼转职
913,2|8257|1,,击败达米-B型机,商人转职
914,7|1|1,,护送卡努回家,护送卡努
915,7|1|1,,查看可疑的痕迹,露克希火场记忆
916,7|1|1,,击败突然出现的敌人！,露克希火场记忆
917,7|1|1,,对抗白女巫,露克希火场记忆
918,2|9357|1,,击败古娜,海底殴斗古娜
919,7|1|3,,探索记忆中的三处迷雾,舞女记忆
920,7|1|1,58=10=69,查看舞池中央,舞女记忆
921,2|9366|1,,击败暗之恶魔,舞女记忆
922,2|9356|1,,击败古娜复制人,击败古娜复制人
923,2|9374|5,,击败门口的守卫,拯救巴雷蒙德
924,7|1|1,,消灭研究员,拯救巴雷蒙德
925,5|2133|4,131=0.7=61,潜入地下研究大厅深处,拯救巴雷蒙德
926,2|9428|4,,解决基地守卫,拯救巴雷蒙德
927,7|1|1,107=0.7=123,操纵控制台解救巴雷蒙德,拯救巴雷蒙德
928,2|9370|1,,击败突然出现的怪物！,拯救巴雷蒙德
