Id,Type,Data
10024,1,12333710=card=4010019=4010019=refine=11=enchant=122=128=126|7333210=card=4030005=refine=11=enchant=399=394=395|8332710=card=4040001=refine=11=enchant=530=526=527|11332810=card=4050001=refine=11=enchant=661=657=656|10342409=card=4060002=refine=11=enchant=262=263=266|10342409=card=4060002=refine=11=enchant=262=263=266
10025,1,12333710=card=4010019=4010019=refine=12=enchant=122=128=126|7333210=card=4030005=refine=12=enchant=399=394=395|8332710=card=4040001=refine=12=enchant=530=526=527|11332810=card=4050001=refine=12=enchant=661=657=656|10342409=card=4060002=refine=12=enchant=262=263=266|10342409=card=4060002=refine=12=enchant=262=263=266
10026,1,12333710=card=4010019=4010019=refine=12=enchant=122=128=126|7333210=card=4030005=refine=12=enchant=399=394=395|8332710=card=4040001=refine=12=enchant=530=526=527|11332810=card=4050001=refine=12=enchant=661=657=656|10342409=card=4060002=refine=12=enchant=262=263=266|10342409=card=4060002=refine=12=enchant=262=263=266
10027,1,12333710=card=4010019=4010019=refine=13=enchant=122=128=126|7333210=card=4030005=refine=13=enchant=399=394=395|8332710=card=4040001=refine=13=enchant=530=526=527|11332810=card=4050001=refine=13=enchant=661=657=656|10342409=card=4060002=refine=13=enchant=262=263=266|10342409=card=4060002=refine=13=enchant=262=263=266
10028,1,12333710=card=4010019=4010019=refine=13=enchant=122=128=126|7333210=card=4030005=refine=13=enchant=399=394=395|8332710=card=4040001=refine=13=enchant=530=526=527|11332810=card=4050001=refine=13=enchant=661=657=656|10342409=card=4060002=refine=13=enchant=262=263=266|10342409=card=4060002=refine=13=enchant=262=263=266
10029,1,12333710=card=4010019=4010019=refine=14=enchant=122=128=126|7333210=card=4030005=refine=14=enchant=399=394=395|8332710=card=4040001=refine=14=enchant=530=526=527|11332810=card=4050001=refine=14=enchant=661=657=656|10342409=card=4060002=refine=14=enchant=262=263=266|10342409=card=4060002=refine=14=enchant=262=263=266
10030,1,12333710=card=4010019=4010019=refine=14=enchant=122=128=126|7333210=card=4030005=refine=14=enchant=399=394=395|8332710=card=4040001=refine=14=enchant=530=526=527|11332810=card=4050001=refine=14=enchant=661=657=656|10342409=card=4060002=refine=14=enchant=262=263=266|10342409=card=4060002=refine=14=enchant=262=263=266
10031,1,12333710=card=4010019=4010019=refine=15=enchant=122=128=126|7333210=card=4030005=refine=15=enchant=399=394=395|8332710=card=4040001=refine=15=enchant=530=526=527|11332810=card=4050001=refine=15=enchant=661=657=656|10342409=card=4060002=refine=15=enchant=262=263=266|10342409=card=4060002=refine=15=enchant=262=263=266
10032,1,12333710=card=4010019=4010019=refine=15=enchant=122=128=126|7333210=card=4030005=refine=15=enchant=399=394=395|8332710=card=4040001=refine=15=enchant=530=526=527|11332810=card=4050001=refine=15=enchant=661=657=656|10342409=card=4060002=refine=15=enchant=262=263=266|10342409=card=4060002=refine=15=enchant=262=263=266
10033,1,12333710=card=4010019=4010019=refine=15=enchant=122=128=126|7333210=card=4030005=refine=15=enchant=399=394=395|8332710=card=4040001=refine=15=enchant=530=526=527|11332810=card=4050001=refine=15=enchant=661=657=656|10342409=card=4060002=refine=15=enchant=262=263=266|10342409=card=4060002=refine=15=enchant=262=263=266
10034,1,12333710=card=4010019=4010019=refine=15=enchant=122=128=126|7333210=card=4030005=refine=15=enchant=399=394=395|8332710=card=4040001=refine=15=enchant=530=526=527|11332810=card=4050001=refine=15=enchant=661=657=656|10342409=card=4060002=refine=15=enchant=262=263=266|10342409=card=4060002=refine=15=enchant=262=263=266
10035,1,12333710=card=4010019=4010019=refine=15=enchant=122=128=126|7333210=card=4030005=refine=15=enchant=399=394=395|8332710=card=4040001=refine=15=enchant=530=526=527|11332810=card=4050001=refine=15=enchant=661=657=656|10342409=card=4060002=refine=15=enchant=262=263=266|10342409=card=4060002=refine=15=enchant=262=263=266
10036,1,12333710=card=4010019=4010019=refine=15=enchant=122=128=126|7333210=card=4030005=refine=15=enchant=399=394=395|8332710=card=4040001=refine=15=enchant=530=526=527|11332810=card=4050001=refine=15=enchant=661=657=656|10342409=card=4060002=refine=15=enchant=262=263=266|10342409=card=4060002=refine=15=enchant=262=263=266
10037,1,12333710=card=4010019=4010019=refine=15=enchant=122=128=126|7333210=card=4030005=refine=15=enchant=399=394=395|8332710=card=4040001=refine=15=enchant=530=526=527|11332810=card=4050001=refine=15=enchant=661=657=656|10342409=card=4060002=refine=15=enchant=262=263=266|10342409=card=4060002=refine=15=enchant=262=263=266
10038,1,12333710=card=4010019=4010019=refine=15=enchant=122=128=126|7333210=card=4030005=refine=15=enchant=399=394=395|8332710=card=4040001=refine=15=enchant=530=526=527|11332810=card=4050001=refine=15=enchant=661=657=656|10342409=card=4060002=refine=15=enchant=262=263=266|10342409=card=4060002=refine=15=enchant=262=263=266
10039,1,
10040,1,12110101=refine=0
10041,1,12110101=card=4010009=4010046=refine=0
10042,1,12110101=card=4010009=4010046=refine=0|10326102=card=4060025=refine=0|10326102=card=4060025=refine=0
10043,1,12228903=card=4010009=4010046=refine=0|7234803=card=4030007=refine=0|8235103=card=4040008=refine=0|11235403=card=4050009=refine=0|10326102=card=4060025=refine=0|10326102=card=4060025=refine=0
10044,1,12228903=card=4010009=4010046=refine=3|7234803=card=4030007=refine=3|8235103=card=4040008=refine=3|11235403=card=4050009=refine=3|10326102=card=4060025=refine=3|10326102=card=4060025=refine=3
10045,1,12238904=card=4010009=4010046=refine=5|7234804=card=4030007=refine=5|8235104=card=4040008=refine=5|11235404=card=4050009=refine=5|10326102=card=4060025=refine=5|10326102=card=4060025=refine=5
10046,1,12238904=card=4010009=4010046=refine=5|7234804=card=4030007=refine=5|8235104=card=4040008=refine=5|11235404=card=4050009=refine=5|10326706=card=4060025=refine=5|10326706=card=4060025=refine=5
10047,1,12333305=card=4010009=4010046=refine=7|7234805=card=4030007=refine=7|8235105=card=4040008=refine=7|11235405=card=4050009=refine=7|10326706=card=4060025=refine=7|10326706=card=4060025=refine=7
10048,1,12333305=card=4010009=4010046=refine=7|7234805=card=4030007=refine=7|8235105=card=4040008=refine=7|11331905=card=4050009=refine=7|10326706=card=4060025=refine=7|10326706=card=4060025=refine=7
10049,1,12238906=card=4010009=4010046=refine=8|7330305=card=4030007=refine=8|8331205=card=4040008=refine=8|11331905=card=4050009=refine=8|10336706=card=4060025=refine=8|10336706=card=4060025=refine=8
10050,1,12238906=card=4010009=4010046=refine=8|7330305=card=4030007=refine=8|8331205=card=4040008=refine=8|11331905=card=4050009=refine=8|10337206=card=4060025=refine=8|10337206=card=4060025=refine=8
10051,1,12333807=card=4010009=4010046=refine=9=enchant=12=18=20|7330307=card=4030007=refine=9=enchant=307=303=310|8331207=card=4040008=refine=9=enchant=438=435=441|11331907=card=4050009=refine=9=enchant=569=564=575|10337206=card=4060025=refine=9=enchant=164=165=173|10337206=card=4060025=refine=9=enchant=164=165=173
10052,1,12333807=card=4010009=4010046=refine=9=enchant=12=18=20|7330307=card=4030007=refine=9=enchant=307=303=310|8331207=card=4040008=refine=9=enchant=438=435=441|11331907=card=4050009=refine=9=enchant=569=564=575|10337206=card=4060025=refine=9=enchant=164=165=173|10337206=card=4060025=refine=9=enchant=164=165=173
10053,1,12333708=card=4010009=4010046=refine=10=enchant=47=53=55|7330308=card=4030007=refine=10=enchant=336=332=339|8331208=card=4040008=refine=10=enchant=467=464=470|11331908=card=4050009=refine=10=enchant=598=593=604|10337206=card=4060025=refine=10=enchant=195=196=204|10337206=card=4060025=refine=10=enchant=195=196=204
10054,1,12333708=card=4010009=4010046=refine=10=enchant=47=53=55|7333208=card=4030007=refine=10=enchant=336=332=339|8332708=card=4040008=refine=10=enchant=467=464=470|11332808=card=4050009=refine=10=enchant=598=593=604|10338308=card=4060025=refine=10=enchant=195=196=204|10338308=card=4060025=refine=10=enchant=195=196=204
10055,1,12333709=card=4010009=4010046=refine=11=enchant=82=88=90|7333209=card=4030007=refine=11=enchant=365=361=368|8332709=card=4040008=refine=11=enchant=496=493=499|11332809=card=4050009=refine=11=enchant=627=622=634|10338308=card=4060025=refine=11=enchant=226=227=235|10338308=card=4060025=refine=11=enchant=226=227=235
10056,1,12333709=card=4010009=4010046=refine=11=enchant=82=88=90|7333209=card=4030007=refine=11=enchant=365=361=368|8332709=card=4040008=refine=11=enchant=496=493=499|11332809=card=4050009=refine=11=enchant=627=622=634|10342409=card=4060025=refine=11=enchant=226=227=235|10342409=card=4060025=refine=11=enchant=226=227=235
10057,1,12333710=card=4010009=4010046=refine=12=enchant=122=128=130|7333210=card=4030007=refine=12=enchant=399=395=402|8332710=card=4040008=refine=12=enchant=530=527=533|11332810=card=4050009=refine=12=enchant=661=656=669|10342409=card=4060025=refine=12=enchant=262=263=271|10342409=card=4060025=refine=12=enchant=262=263=271
10058,1,12333710=card=4010009=4010046=refine=12=enchant=122=128=130|7333210=card=4030007=refine=12=enchant=399=395=402|8332710=card=4040008=refine=12=enchant=530=527=533|11332810=card=4050009=refine=12=enchant=661=656=669|10342409=card=4060025=refine=12=enchant=262=263=271|10342409=card=4060025=refine=12=enchant=262=263=271
10059,1,12333710=card=4010009=4010046=refine=13=enchant=122=128=130|7333210=card=4030007=refine=13=enchant=399=395=402|8332710=card=4040008=refine=13=enchant=530=527=533|11332810=card=4050009=refine=13=enchant=661=656=669|10342409=card=4060025=refine=13=enchant=262=263=271|10342409=card=4060025=refine=13=enchant=262=263=271
10060,1,12333710=card=4010009=4010046=refine=13=enchant=122=128=130|7333210=card=4030007=refine=13=enchant=399=395=402|8332710=card=4040008=refine=13=enchant=530=527=533|11332810=card=4050009=refine=13=enchant=661=656=669|10342409=card=4060025=refine=13=enchant=262=263=271|10342409=card=4060025=refine=13=enchant=262=263=271
10061,1,12333710=card=4010009=4010046=refine=14=enchant=122=128=130|7333210=card=4030007=refine=14=enchant=399=395=402|8332710=card=4040008=refine=14=enchant=530=527=533|11332810=card=4050009=refine=14=enchant=661=656=669|10342409=card=4060025=refine=14=enchant=262=263=271|10342409=card=4060025=refine=14=enchant=262=263=271
10062,1,12333710=card=4010009=4010046=refine=14=enchant=122=128=130|7333210=card=4030007=refine=14=enchant=399=395=402|8332710=card=4040008=refine=14=enchant=530=527=533|11332810=card=4050009=refine=14=enchant=661=656=669|10342409=card=4060025=refine=14=enchant=262=263=271|10342409=card=4060025=refine=14=enchant=262=263=271
10063,1,12333710=card=4010009=4010046=refine=15=enchant=122=128=130|7333210=card=4030007=refine=15=enchant=399=395=402|8332710=card=4040008=refine=15=enchant=530=527=533|11332810=card=4050009=refine=15=enchant=661=656=669|10342409=card=4060025=refine=15=enchant=262=263=271|10342409=card=4060025=refine=15=enchant=262=263=271
10064,1,12333710=card=4010009=4010046=refine=15=enchant=122=128=130|7333210=card=4030007=refine=15=enchant=399=395=402|8332710=card=4040008=refine=15=enchant=530=527=533|11332810=card=4050009=refine=15=enchant=661=656=669|10342409=card=4060025=refine=15=enchant=262=263=271|10342409=card=4060025=refine=15=enchant=262=263=271
10065,1,12333710=card=4010009=4010046=refine=15=enchant=122=128=130|7333210=card=4030007=refine=15=enchant=399=395=402|8332710=card=4040008=refine=15=enchant=530=527=533|11332810=card=4050009=refine=15=enchant=661=656=669|10342409=card=4060025=refine=15=enchant=262=263=271|10342409=card=4060025=refine=15=enchant=262=263=271
10066,1,12333710=card=4010009=4010046=refine=15=enchant=122=128=130|7333210=card=4030007=refine=15=enchant=399=395=402|8332710=card=4040008=refine=15=enchant=530=527=533|11332810=card=4050009=refine=15=enchant=661=656=669|10342409=card=4060025=refine=15=enchant=262=263=271|10342409=card=4060025=refine=15=enchant=262=263=271
10067,1,12333710=card=4010009=4010046=refine=15=enchant=122=128=130|7333210=card=4030007=refine=15=enchant=399=395=402|8332710=card=4040008=refine=15=enchant=530=527=533|11332810=card=4050009=refine=15=enchant=661=656=669|10342409=card=4060025=refine=15=enchant=262=263=271|10342409=card=4060025=refine=15=enchant=262=263=271
10068,1,12333710=card=4010009=4010046=refine=15=enchant=122=128=130|7333210=card=4030007=refine=15=enchant=399=395=402|8332710=card=4040008=refine=15=enchant=530=527=533|11332810=card=4050009=refine=15=enchant=661=656=669|10342409=card=4060025=refine=15=enchant=262=263=271|10342409=card=4060025=refine=15=enchant=262=263=271
10069,1,12333710=card=4010009=4010046=refine=15=enchant=122=128=130|7333210=card=4030007=refine=15=enchant=399=395=402|8332710=card=4040008=refine=15=enchant=530=527=533|11332810=card=4050009=refine=15=enchant=661=656=669|10342409=card=4060025=refine=15=enchant=262=263=271|10342409=card=4060025=refine=15=enchant=262=263=271
10070,1,12333710=card=4010009=4010046=refine=15=enchant=122=128=130|7333210=card=4030007=refine=15=enchant=399=395=402|8332710=card=4040008=refine=15=enchant=530=527=533|11332810=card=4050009=refine=15=enchant=661=656=669|10342409=card=4060025=refine=15=enchant=262=263=271|10342409=card=4060025=refine=15=enchant=262=263=271
10071,1,12333710=card=4010009=4010046=refine=15=enchant=122=128=130|7333210=card=4030007=refine=15=enchant=399=395=402|8332710=card=4040008=refine=15=enchant=530=527=533|11332810=card=4050009=refine=15=enchant=661=656=669|10342409=card=4060025=refine=15=enchant=262=263=271|10342409=card=4060025=refine=15=enchant=262=263=271
10072,1,12333710=card=4010009=4010046=refine=15=enchant=122=128=130|7333210=card=4030007=refine=15=enchant=399=395=402|8332710=card=4040008=refine=15=enchant=530=527=533|11332810=card=4050009=refine=15=enchant=661=656=669|10342409=card=4060025=refine=15=enchant=262=263=271|10342409=card=4060025=refine=15=enchant=262=263=271
10073,1,12333710=card=4010009=4010046=refine=15=enchant=122=128=130|7333210=card=4030007=refine=15=enchant=399=395=402|8332710=card=4040008=refine=15=enchant=530=527=533|11332810=card=4050009=refine=15=enchant=661=656=669|10342409=card=4060025=refine=15=enchant=262=263=271|10342409=card=4060025=refine=15=enchant=262=263=271
10074,1,12333710=card=4010009=4010046=refine=15=enchant=122=128=130|7333210=card=4030007=refine=15=enchant=399=395=402|8332710=card=4040008=refine=15=enchant=530=527=533|11332810=card=4050009=refine=15=enchant=661=656=669|10342409=card=4060025=refine=15=enchant=262=263=271|10342409=card=4060025=refine=15=enchant=262=263=271
10075,1,12333710=card=4010009=4010046=refine=15=enchant=122=128=130|7333210=card=4030007=refine=15=enchant=399=395=402|8332710=card=4040008=refine=15=enchant=530=527=533|11332810=card=4050009=refine=15=enchant=661=656=669|10342409=card=4060025=refine=15=enchant=262=263=271|10342409=card=4060025=refine=15=enchant=262=263=271
10076,1,12333710=card=4010009=4010046=refine=15=enchant=122=128=130|7333210=card=4030007=refine=15=enchant=399=395=402|8332710=card=4040008=refine=15=enchant=530=527=533|11332810=card=4050009=refine=15=enchant=661=656=669|10342409=card=4060025=refine=15=enchant=262=263=271|10342409=card=4060025=refine=15=enchant=262=263=271
10077,1,
10078,1,12110101=refine=0
10079,1,12110101=card=4010058=4010058=refine=0
10080,1,12110101=card=4010058=4010058=refine=0|10326102=card=4060025=refine=0|10326102=card=4060025=refine=0
10081,1,12228903=card=4010058=4010058=refine=0|7234803=card=4030007=refine=0|8235103=card=4040008=refine=0|11235403=card=4050009=refine=0|10326102=card=4060025=refine=0|10326102=card=4060025=refine=0
10082,1,12228903=card=4010058=4010058=refine=5|7234803=card=4030007=refine=5|8235103=card=4040008=refine=5|11235403=card=4050009=refine=5|10326102=card=4060025=refine=5|10326102=card=4060025=refine=5
10083,1,12238904=card=4010058=4010058=refine=5|7234804=card=4030007=refine=5|8235104=card=4040008=refine=5|11235404=card=4050009=refine=5|10326102=card=4060025=refine=5|10326102=card=4060025=refine=5
10084,1,12238904=card=4010058=4010058=refine=5|7234804=card=4030007=refine=5|8235104=card=4040008=refine=5|11235404=card=4050009=refine=5|10326706=card=4060025=refine=5|10326706=card=4060025=refine=5
10085,1,12333305=card=4010058=4010058=refine=10|7234805=card=4030007=refine=10|8235105=card=4040008=refine=10|11235405=card=4050009=refine=10|10326706=card=4060025=refine=10|10326706=card=4060025=refine=10
10086,1,12333305=card=4010058=4010058=refine=10|7234805=card=4030007=refine=10|8235105=card=4040008=refine=10|11331905=card=4050009=refine=10|10326706=card=4060025=refine=10|10326706=card=4060025=refine=10
10087,1,12238906=card=4010058=4010058=refine=11|7330305=card=4030007=refine=11|8331205=card=4040008=refine=11|11331905=card=4050009=refine=11|10336706=card=4060025=refine=11|10336706=card=4060025=refine=11
10088,1,12238906=card=4010058=4010058=refine=11|7330305=card=4030007=refine=11|8331205=card=4040008=refine=11|11331905=card=4050009=refine=11|10337206=card=4060025=refine=11|10337206=card=4060025=refine=11
10089,1,12333807=card=4010058=4010058=refine=12=enchant=12=18=21|7330307=card=4030007=refine=12=enchant=307=303=311|8331207=card=4040008=refine=12=enchant=438=435=442|11331907=card=4050009=refine=12=enchant=569=564=576|10337206=card=4060025=refine=12=enchant=164=165=174|10337206=card=4060025=refine=12=enchant=164=165=174
10090,1,12333807=card=4010058=4010058=refine=12=enchant=12=18=21|7330307=card=4030007=refine=12=enchant=307=303=311|8331207=card=4040008=refine=12=enchant=438=435=442|11331907=card=4050009=refine=12=enchant=569=564=576|10337206=card=4060025=refine=12=enchant=164=165=174|10337206=card=4060025=refine=12=enchant=164=165=174
10091,1,12333708=card=4010058=4010058=refine=13=enchant=47=53=56|7330308=card=4030007=refine=13=enchant=336=332=340|8331208=card=4040008=refine=13=enchant=467=464=471|11331908=card=4050009=refine=13=enchant=598=593=605|10337206=card=4060025=refine=13=enchant=195=196=205|10337206=card=4060025=refine=13=enchant=195=196=205
10092,1,12333708=card=4010058=4010058=refine=13=enchant=47=53=56|7333208=card=4030007=refine=13=enchant=336=332=340|8332708=card=4040008=refine=13=enchant=467=464=471|11332808=card=4050009=refine=13=enchant=598=593=605|10338308=card=4060025=refine=13=enchant=195=196=205|10338308=card=4060025=refine=13=enchant=195=196=205
10093,1,12333709=card=4010058=4010058=refine=14=enchant=82=88=92|7333209=card=4030007=refine=14=enchant=365=361=370|8332709=card=4040008=refine=14=enchant=496=493=501|11332809=card=4050009=refine=14=enchant=627=622=636|10338308=card=4060025=refine=14=enchant=226=227=237|10338308=card=4060025=refine=14=enchant=226=227=237
10094,1,12333709=card=4010058=4010058=refine=14=enchant=82=88=92|7333209=card=4030007=refine=14=enchant=365=361=370|8332709=card=4040008=refine=14=enchant=496=493=501|11332809=card=4050009=refine=14=enchant=627=622=636|10342409=card=4060025=refine=14=enchant=226=227=237|10342409=card=4060025=refine=14=enchant=226=227=237
10095,1,12333710=card=4010058=4010058=refine=15=enchant=122=128=133|7333210=card=4030007=refine=15=enchant=399=395=405|8332710=card=4040008=refine=15=enchant=530=527=536|11332810=card=4050009=refine=15=enchant=661=656=672|10342409=card=4060025=refine=15=enchant=262=263=274|10342409=card=4060025=refine=15=enchant=262=263=274
10096,1,12333710=card=4010058=4010058=refine=15=enchant=122=128=133|7333210=card=4030007=refine=15=enchant=399=395=405|8332710=card=4040008=refine=15=enchant=530=527=536|11332810=card=4050009=refine=15=enchant=661=656=672|10342409=card=4060025=refine=15=enchant=262=263=274|10342409=card=4060025=refine=15=enchant=262=263=274
10097,1,12333710=card=4010058=4010058=refine=15=enchant=122=128=133|7333210=card=4030007=refine=15=enchant=399=395=405|8332710=card=4040008=refine=15=enchant=530=527=536|11332810=card=4050009=refine=15=enchant=661=656=672|10342409=card=4060025=refine=15=enchant=262=263=274|10342409=card=4060025=refine=15=enchant=262=263=274
10098,1,12333710=card=4010058=4010058=refine=15=enchant=122=128=133|7333210=card=4030007=refine=15=enchant=399=395=405|8332710=card=4040008=refine=15=enchant=530=527=536|11332810=card=4050009=refine=15=enchant=661=656=672|10342409=card=4060025=refine=15=enchant=262=263=274|10342409=card=4060025=refine=15=enchant=262=263=274
10099,1,12333710=card=4010058=4010058=refine=15=enchant=122=128=133|7333210=card=4030007=refine=15=enchant=399=395=405|8332710=card=4040008=refine=15=enchant=530=527=536|11332810=card=4050009=refine=15=enchant=661=656=672|10342409=card=4060025=refine=15=enchant=262=263=274|10342409=card=4060025=refine=15=enchant=262=263=274
10100,1,12333710=card=4010058=4010058=refine=15=enchant=122=128=133|7333210=card=4030007=refine=15=enchant=399=395=405|8332710=card=4040008=refine=15=enchant=530=527=536|11332810=card=4050009=refine=15=enchant=661=656=672|10342409=card=4060025=refine=15=enchant=262=263=274|10342409=card=4060025=refine=15=enchant=262=263=274
10101,1,12333710=card=4010058=4010058=refine=15=enchant=122=128=133|7333210=card=4030007=refine=15=enchant=399=395=405|8332710=card=4040008=refine=15=enchant=530=527=536|11332810=card=4050009=refine=15=enchant=661=656=672|10342409=card=4060025=refine=15=enchant=262=263=274|10342409=card=4060025=refine=15=enchant=262=263=274
10102,1,12333710=card=4010058=4010058=refine=15=enchant=122=128=133|7333210=card=4030007=refine=15=enchant=399=395=405|8332710=card=4040008=refine=15=enchant=530=527=536|11332810=card=4050009=refine=15=enchant=661=656=672|10342409=card=4060025=refine=15=enchant=262=263=274|10342409=card=4060025=refine=15=enchant=262=263=274
10103,1,12333710=card=4010058=4010058=refine=15=enchant=122=128=133|7333210=card=4030007=refine=15=enchant=399=395=405|8332710=card=4040008=refine=15=enchant=530=527=536|11332810=card=4050009=refine=15=enchant=661=656=672|10342409=card=4060025=refine=15=enchant=262=263=274|10342409=card=4060025=refine=15=enchant=262=263=274
10104,1,12333710=card=4010058=4010058=refine=15=enchant=122=128=133|7333210=card=4030007=refine=15=enchant=399=395=405|8332710=card=4040008=refine=15=enchant=530=527=536|11332810=card=4050009=refine=15=enchant=661=656=672|10342409=card=4060025=refine=15=enchant=262=263=274|10342409=card=4060025=refine=15=enchant=262=263=274
10105,1,12333710=card=4010058=4010058=refine=15=enchant=122=128=133|7333210=card=4030007=refine=15=enchant=399=395=405|8332710=card=4040008=refine=15=enchant=530=527=536|11332810=card=4050009=refine=15=enchant=661=656=672|10342409=card=4060025=refine=15=enchant=262=263=274|10342409=card=4060025=refine=15=enchant=262=263=274
10106,1,12333710=card=4010058=4010058=refine=15=enchant=122=128=133|7333210=card=4030007=refine=15=enchant=399=395=405|8332710=card=4040008=refine=15=enchant=530=527=536|11332810=card=4050009=refine=15=enchant=661=656=672|10342409=card=4060025=refine=15=enchant=262=263=274|10342409=card=4060025=refine=15=enchant=262=263=274
10107,1,12333710=card=4010058=4010058=refine=15=enchant=122=128=133|7333210=card=4030007=refine=15=enchant=399=395=405|8332710=card=4040008=refine=15=enchant=530=527=536|11332810=card=4050009=refine=15=enchant=661=656=672|10342409=card=4060025=refine=15=enchant=262=263=274|10342409=card=4060025=refine=15=enchant=262=263=274
