ID,MainSonId,Type,Day,Award,ChargeAward,
20506,1905,2,6,8301370,,太珍儿活跃累计6天
20507,1905,2,7,8301380,,太珍儿活跃累计7天
20508,1905,2,8,8301390,,太珍儿活跃累计8天
20509,1905,2,9,8301400,,太珍儿活跃累计9天
20510,1905,2,10,8301410,,太珍儿活跃累计10天
20511,1905,2,11,8301420,,太珍儿活跃累计11天
20512,1905,2,12,8301430,,太珍儿活跃累计12天
20513,1905,2,13,8301440,,太珍儿活跃累计13天
20514,1905,2,14,8301450,,太珍儿活跃累计14天
20515,1905,2,15,8301460,,太珍儿活跃累计15天
20601,1906,2,1,8301470,,太珍儿萌新累计1天
20602,1906,2,2,8301480,,太珍儿萌新累计2天
20603,1906,2,3,8301490,,太珍儿萌新累计3天
20604,1906,2,4,8301500,,太珍儿萌新累计4天
20605,1906,2,5,8301510,,太珍儿萌新累计5天
20606,1906,2,6,8301520,,太珍儿萌新累计6天
20607,1906,2,7,8301530,,太珍儿萌新累计7天
20608,1906,2,8,8301540,,太珍儿萌新累计8天
20609,1906,2,9,8301550,,太珍儿萌新累计9天
20610,1906,2,10,8301560,,太珍儿萌新累计10天
20611,1906,2,11,8301570,,太珍儿萌新累计11天
20612,1906,2,12,8301580,,太珍儿萌新累计12天
20613,1906,2,13,8301590,,太珍儿萌新累计13天
20614,1906,2,14,8301600,,太珍儿萌新累计14天
20615,1906,2,15,8301610,,太珍儿萌新累计15天
20701,1907,2,1,8301620,,太珍儿回归累计1天
20702,1907,2,2,8301630,,太珍儿回归累计2天
20703,1907,2,3,8301640,,太珍儿回归累计3天
20704,1907,2,4,8301650,,太珍儿回归累计4天
20705,1907,2,5,8301660,,太珍儿回归累计5天
20706,1907,2,6,8301670,,太珍儿回归累计6天
20707,1907,2,7,8301680,,太珍儿回归累计7天
20708,1907,2,8,8301690,,太珍儿回归累计8天
20709,1907,2,9,8301700,,太珍儿回归累计9天
20710,1907,2,10,8301710,,太珍儿回归累计10天
20711,1907,2,11,8301720,,太珍儿回归累计11天
20712,1907,2,12,8301730,,太珍儿回归累计12天
20713,1907,2,13,8301740,,太珍儿回归累计13天
20714,1907,2,14,8301750,,太珍儿回归累计14天
20715,1907,2,15,8301760,,太珍儿回归累计15天
20801,1423,2,1,8610010,,新年新服累计1天
20802,1423,2,2,8610020,,新年新服累计2天
20803,1423,2,3,8610030,,新年新服累计3天
20804,1423,2,4,8610040,,新年新服累计4天
20805,1423,2,5,8610050,,新年新服累计5天
20806,1423,2,6,8610060,,新年新服累计6天
20807,1423,2,7,8610070,,新年新服累计7天
20808,1423,2,8,8610080,,新年新服累计8天
20809,1423,2,9,8610090,,新年新服累计9天
20810,1423,2,10,8610100,,新年新服累计10天
20811,1423,2,11,8610110,,新年新服累计11天
20812,1423,2,12,8610120,,新年新服累计12天
20813,1423,2,13,8610130,,新年新服累计13天
20814,1423,2,14,8610140,,新年新服累计14天
20815,1423,2,15,8610150,,新年新服累计15天
20901,1424,2,1,8610160,,新年老服活跃累计1天
20902,1424,2,2,8610170,,新年老服活跃累计2天
20903,1424,2,3,8610180,,新年老服活跃累计3天
20904,1424,2,4,8610190,,新年老服活跃累计4天
20905,1424,2,5,8610200,,新年老服活跃累计5天
20906,1424,2,6,8610210,,新年老服活跃累计6天
20907,1424,2,7,8610220,,新年老服活跃累计7天
20908,1424,2,8,8610230,,新年老服活跃累计8天
20909,1424,2,9,8610240,,新年老服活跃累计9天
20910,1424,2,10,8610250,,新年老服活跃累计10天
20911,1424,2,11,8610260,,新年老服活跃累计11天
20912,1424,2,12,8610270,,新年老服活跃累计12天
20913,1424,2,13,8610280,,新年老服活跃累计13天
20914,1424,2,14,8610290,,新年老服活跃累计14天
20915,1424,2,15,8610300,,新年老服活跃累计15天
21001,1425,2,1,8610310,,新年老服萌新累计1天
21002,1425,2,2,8610320,,新年老服萌新累计2天
21003,1425,2,3,8610330,,新年老服萌新累计3天
21004,1425,2,4,8610340,,新年老服萌新累计4天
21005,1425,2,5,8610350,,新年老服萌新累计5天
21006,1425,2,6,8610360,,新年老服萌新累计6天
21007,1425,2,7,8610370,,新年老服萌新累计7天
21008,1425,2,8,8610380,,新年老服萌新累计8天
21009,1425,2,9,8610390,,新年老服萌新累计9天
21010,1425,2,10,8610400,,新年老服萌新累计10天
21011,1425,2,11,8610410,,新年老服萌新累计11天
21012,1425,2,12,8610420,,新年老服萌新累计12天
21013,1425,2,13,8610430,,新年老服萌新累计13天
21014,1425,2,14,8610440,,新年老服萌新累计14天
21015,1425,2,15,8610450,,新年老服萌新累计15天
21101,1426,2,1,8610460,,新年老服回归累计1天
21102,1426,2,2,8610470,,新年老服回归累计2天
21103,1426,2,3,8610480,,新年老服回归累计3天
21104,1426,2,4,8610490,,新年老服回归累计4天
21105,1426,2,5,8610500,,新年老服回归累计5天
21106,1426,2,6,8610510,,新年老服回归累计6天
21107,1426,2,7,8610520,,新年老服回归累计7天
21108,1426,2,8,8610530,,新年老服回归累计8天
21109,1426,2,9,8610540,,新年老服回归累计9天
21110,1426,2,10,8610550,,新年老服回归累计10天
21111,1426,2,11,8610560,,新年老服回归累计11天
21112,1426,2,12,8610570,,新年老服回归累计12天
21113,1426,2,13,8610580,,新年老服回归累计13天
21114,1426,2,14,8610590,,新年老服回归累计14天
21115,1426,2,15,8610600,,新年老服回归累计15天
21201,1427,2,1,8710010,,春天新服累计1天
21202,1427,2,2,8710020,,春天新服累计2天
21203,1427,2,3,8710030,,春天新服累计3天
21204,1427,2,4,8710040,,春天新服累计4天
21205,1427,2,5,8710050,,春天新服累计5天
21206,1427,2,6,8710060,,春天新服累计6天
21207,1427,2,7,8710070,,春天新服累计7天
21208,1427,2,8,8710080,,春天新服累计8天
21209,1427,2,9,8710090,,春天新服累计9天
21210,1427,2,10,8710100,,春天新服累计10天
21211,1427,2,11,8710110,,春天新服累计11天
21212,1427,2,12,8710120,,春天新服累计12天
21213,1427,2,13,8710130,,春天新服累计13天
21214,1427,2,14,8710140,,春天新服累计14天
21215,1427,2,15,8710150,,春天新服累计15天
21301,1428,2,1,8710160,,春天老服活跃累计1天
21302,1428,2,2,8710170,,春天老服活跃累计2天
21303,1428,2,3,8710180,,春天老服活跃累计3天
21304,1428,2,4,8710190,,春天老服活跃累计4天
21305,1428,2,5,8710200,,春天老服活跃累计5天
21306,1428,2,6,8710210,,春天老服活跃累计6天
21307,1428,2,7,8710220,,春天老服活跃累计7天
21308,1428,2,8,8710230,,春天老服活跃累计8天
21309,1428,2,9,8710240,,春天老服活跃累计9天
21310,1428,2,10,8710250,,春天老服活跃累计10天
21311,1428,2,11,8710260,,春天老服活跃累计11天
21312,1428,2,12,8710270,,春天老服活跃累计12天
21313,1428,2,13,8710280,,春天老服活跃累计13天
21314,1428,2,14,8710290,,春天老服活跃累计14天
21315,1428,2,15,8710300,,春天老服活跃累计15天
21401,1429,2,1,8710310,,春天老服萌新累计1天
21402,1429,2,2,8710320,,春天老服萌新累计2天
21403,1429,2,3,8710330,,春天老服萌新累计3天
21404,1429,2,4,8710340,,春天老服萌新累计4天
21405,1429,2,5,8710350,,春天老服萌新累计5天
21406,1429,2,6,8710360,,春天老服萌新累计6天
21407,1429,2,7,8710370,,春天老服萌新累计7天
21408,1429,2,8,8710380,,春天老服萌新累计8天
21409,1429,2,9,8710390,,春天老服萌新累计9天
21410,1429,2,10,8710400,,春天老服萌新累计10天
21411,1429,2,11,8710410,,春天老服萌新累计11天
21412,1429,2,12,8710420,,春天老服萌新累计12天
21413,1429,2,13,8710430,,春天老服萌新累计13天
21414,1429,2,14,8710440,,春天老服萌新累计14天
21415,1429,2,15,8710450,,春天老服萌新累计15天
21501,1430,2,1,8710460,,春天老服回归累计1天
21502,1430,2,2,8710470,,春天老服回归累计2天
21503,1430,2,3,8710480,,春天老服回归累计3天
21504,1430,2,4,8710490,,春天老服回归累计4天
21505,1430,2,5,8710500,,春天老服回归累计5天
21506,1430,2,6,8710510,,春天老服回归累计6天
21507,1430,2,7,8710520,,春天老服回归累计7天
21508,1430,2,8,8710530,,春天老服回归累计8天
21509,1430,2,9,8710540,,春天老服回归累计9天
21510,1430,2,10,8710550,,春天老服回归累计10天
21511,1430,2,11,8710560,,春天老服回归累计11天
21512,1430,2,12,8710570,,春天老服回归累计12天
21513,1430,2,13,8710580,,春天老服回归累计13天
21514,1430,2,14,8710590,,春天老服回归累计14天
21515,1430,2,15,8710600,,春天老服回归累计15天
21601,2100,2,1,8400010,,日新服回归累计1天
21602,2100,2,2,8400020,,日新服回归累计2天
21603,2100,2,3,8400030,,日新服回归累计3天
21604,2100,2,4,8400040,,日新服回归累计4天
21605,2100,2,5,8400050,,日新服回归累计5天
21606,2100,2,6,8400060,,日新服回归累计6天
21607,2100,2,7,8400070,,日新服回归累计7天
21608,2100,2,8,8400080,,日新服回归累计8天
21609,2100,2,9,8400090,,日新服回归累计9天
21610,2100,2,10,8400100,,日新服回归累计10天
21611,2100,2,11,8400110,,日新服回归累计11天
21612,2100,2,12,8400120,,日新服回归累计12天
21613,2100,2,13,8400130,,日新服回归累计13天
21614,2100,2,14,8400140,,日新服回归累计14天
21615,2100,2,15,8400150,,日新服回归累计15天
21616,2200,3,1,3050310,3050460,付费特权累计1天
21617,2200,3,2,3050320,3050470,付费特权累计2天
21618,2200,3,3,3050330,3050480,付费特权累计3天
21619,2200,3,4,3050340,3050490,付费特权累计4天
21620,2200,3,5,3050350,3050500,付费特权累计5天
21621,2200,3,6,3050360,3050510,付费特权累计6天
21622,2200,3,7,3050370,3050520,付费特权累计7天
21623,2200,3,8,3050380,3050530,付费特权累计8天
21624,2200,3,9,3050390,3050540,付费特权累计9天
21625,2200,3,10,3050400,3050550,付费特权累计10天
21626,2200,3,11,3050410,3050560,付费特权累计11天
21627,2200,3,12,3050420,3050570,付费特权累计12天
21628,2200,3,13,3050430,3050580,付费特权累计13天
21629,2200,3,14,3050440,3050590,付费特权累计14天
21630,2200,3,15,3050450,3050600,付费特权累计15天
21631,13002200,3,1,3090001,3090016,付费特权累计1天
21632,13002200,3,2,3090002,3090017,付费特权累计2天
21633,13002200,3,3,3090003,3090018,付费特权累计3天
21634,13002200,3,4,3090004,3090019,付费特权累计4天
21635,13002200,3,5,3090005,3090020,付费特权累计5天
21636,13002200,3,6,3090006,3090021,付费特权累计6天
21637,13002200,3,7,3090007,3090022,付费特权累计7天
21638,13002200,3,8,3090008,3090023,付费特权累计8天
21639,13002200,3,9,3090009,3090024,付费特权累计9天
21640,13002200,3,10,3090010,3090025,付费特权累计10天
21641,13002200,3,11,3090011,3090026,付费特权累计11天
21642,13002200,3,12,3090012,3090027,付费特权累计12天
21643,13002200,3,13,3090013,3090028,付费特权累计13天
21644,13002200,3,14,3090014,3090029,付费特权累计14天
21645,13002200,3,15,3090015,3090030,付费特权累计15天
21701,2102,2,1,8400160,,日本第二期签到登陆累计1天
21702,2102,2,2,8400161,,日本第二期签到登陆累计2天
21703,2102,2,3,8400162,,日本第二期签到登陆累计3天
21704,2102,2,4,8400163,,日本第二期签到登陆累计4天
21705,2102,2,5,8400164,,日本第二期签到登陆累计5天
21706,2102,2,6,8400165,,日本第二期签到登陆累计6天
21707,2102,2,7,8400166,,日本第二期签到登陆累计7天
21708,2102,2,8,8400167,,日本第二期签到登陆累计8天
21709,2102,2,9,8400168,,日本第二期签到登陆累计9天
21710,2102,2,10,8400169,,日本第二期签到登陆累计10天
21711,2102,2,11,8400170,,日本第二期签到登陆累计11天
21712,2102,2,12,8400171,,日本第二期签到登陆累计12天
21713,2102,2,13,8400172,,日本第二期签到登陆累计13天
21714,2102,2,14,8400173,,日本第二期签到登陆累计14天
21715,2102,2,15,8400174,,日本第二期签到登陆累计15天
21801,11210200,2,1,8400180,,日本第三期签到登陆累计1天
21802,11210200,2,2,8400181,,日本第三期签到登陆累计2天
21803,11210200,2,3,8400182,,日本第三期签到登陆累计3天
21804,11210200,2,4,8400183,,日本第三期签到登陆累计4天
21805,11210200,2,5,8400184,,日本第三期签到登陆累计5天
21806,11210200,2,6,8400185,,日本第三期签到登陆累计6天
21807,11210200,2,7,8400186,,日本第三期签到登陆累计7天
21808,11210200,2,8,8400187,,日本第三期签到登陆累计8天
21809,11210200,2,9,8400188,,日本第三期签到登陆累计9天
21810,11210200,2,10,8400189,,日本第三期签到登陆累计10天
21811,11210200,2,11,8400190,,日本第三期签到登陆累计11天
21812,11210200,2,12,8400191,,日本第三期签到登陆累计12天
21813,11210200,2,13,8400192,,日本第三期签到登陆累计13天
21814,11210200,2,14,8400193,,日本第三期签到登陆累计14天
21815,11210200,2,15,8400194,,日本第三期签到登陆累计15天
21901,13002201,3,1,3090031,3090046,0917付费签到累计1天
21902,13002201,3,2,3090032,3090047,0917付费签到累计2天
21903,13002201,3,3,3090033,3090048,0917付费签到累计3天
21904,13002201,3,4,3090034,3090049,0917付费签到累计4天
21905,13002201,3,5,3090035,3090050,0917付费签到累计5天
21906,13002201,3,6,3090036,3090051,0917付费签到累计6天
21907,13002201,3,7,3090037,3090052,0917付费签到累计7天
21908,13002201,3,8,3090038,3090053,0917付费签到累计8天
21909,13002201,3,9,3090039,3090054,0917付费签到累计9天
21910,13002201,3,10,3090040,3090055,0917付费签到累计10天
21911,13002201,3,11,3090041,3090056,0917付费签到累计11天
21912,13002201,3,12,3090042,3090057,0917付费签到累计12天
21913,13002201,3,13,3090043,3090058,0917付费签到累计13天
21914,13002201,3,14,3090044,3090059,0917付费签到累计14天
21915,13002201,3,15,3090045,3090060,0917付费签到累计15天
22001,14001001,3,1,3700001,3700016,北美1026第一期付费签到1天
22002,14001001,3,2,3700002,3700017,北美1026第一期付费签到2天
22003,14001001,3,3,3700003,3700018,北美1026第一期付费签到3天
22004,14001001,3,4,3700004,3700019,北美1026第一期付费签到4天
22005,14001001,3,5,3700005,3700020,北美1026第一期付费签到5天
22006,14001001,3,6,3700006,3700021,北美1026第一期付费签到6天
22007,14001001,3,7,3700007,3700022,北美1026第一期付费签到7天
22008,14001001,3,8,3700008,3700023,北美1026第一期付费签到8天
22009,14001001,3,9,3700009,3700024,北美1026第一期付费签到9天
22010,14001001,3,10,3700010,3700025,北美1026第一期付费签到10天
22011,14001001,3,11,3700011,3700026,北美1026第一期付费签到11天
22012,14001001,3,12,3700012,3700027,北美1026第一期付费签到12天
22013,14001001,3,13,3700013,3700028,北美1026第一期付费签到13天
22014,14001001,3,14,3700014,3700029,北美1026第一期付费签到14天
22015,14001001,3,15,3700015,3700030,北美1026第一期付费签到15天
22101,11210201,2,1,8400310,,日本半周年签到奖励第1天
22102,11210201,2,2,8400320,,日本半周年签到奖励第2天
22103,11210201,2,3,8400330,,日本半周年签到奖励第3天
22104,11210201,2,4,8400340,,日本半周年签到奖励第4天
22105,11210201,2,5,8400350,,日本半周年签到奖励第5天
22106,11210201,2,6,8400360,,日本半周年签到奖励第6天
22107,11210201,2,7,8400370,,日本半周年签到奖励第7天
22108,11210201,2,8,8400380,,日本半周年签到奖励第8天
22109,11210201,2,9,8400390,,日本半周年签到奖励第9天
22110,11210201,2,10,8400400,,日本半周年签到奖励第10天
22111,11210201,2,11,8400410,,日本半周年签到奖励第11天
22112,11210201,2,12,8400420,,日本半周年签到奖励第12天
22113,11210201,2,13,8400430,,日本半周年签到奖励第13天
22114,11210201,2,14,8400440,,日本半周年签到奖励第14天
22115,11210201,2,15,8400450,,日本半周年签到奖励第15天
22116,13190601,2,1,8400510,,韩国1124签到登陆累计1天
22117,13190601,2,2,8400520,,韩国1124签到登陆累计2天
22118,13190601,2,3,8400530,,韩国1124签到登陆累计3天
22119,13190601,2,4,8400540,,韩国1124签到登陆累计4天
22120,13190601,2,5,8400550,,韩国1124签到登陆累计5天
22121,13190601,2,6,8400560,,韩国1124签到登陆累计6天
22122,13190601,2,7,8400570,,韩国1124签到登陆累计7天
22123,13190601,2,8,8400580,,韩国1124签到登陆累计8天
22124,13190601,2,9,8400590,,韩国1124签到登陆累计9天
22125,13190601,2,10,8400600,,韩国1124签到登陆累计10天
22126,13190601,2,11,8400610,,韩国1124签到登陆累计11天
22127,13190601,2,12,8400620,,韩国1124签到登陆累计12天
22128,13190601,2,13,8400630,,韩国1124签到登陆累计13天
22129,13190601,2,14,8400640,,韩国1124签到登陆累计14天
22130,13190601,2,15,8400650,,韩国1124签到登陆累计15天
22131,11210202,2,1,8400710,,日本2022新春3日签到礼1天
22132,11210202,2,2,8400720,,日本2022新春3日签到礼2天
22133,11210202,2,3,8400730,,日本2022新春3日签到礼3天
