DoodadID,Text,IsToTeam,Atlas,Icon,Effect,BuffID,LifeTime,FreshCD,PickTips,AddCondition,DropDistance,Rotation,XYZAxisOffset,DoNotLookAtCamera
19,圣之领域,0,Icon_Doodad,Icon_Doodad_Element05.png,612,3306401,-1,-1,圣之力从你身体中涌出，会不断对周围怪物造成伤害,,,,,
20,诗人之咏唱,0,,,641,3340001,-1,-1,获得咏唱术，使用后可以让附近的小鸡进入睡眠,,,,,
21,古娜的望远镜,0,,,642,3340101,-1,-1,获得望远镜，可以保持自身3秒内不脱距,,,,,
22,风之秘籍,0,,,643,3340201,-1,-1,获得风之秘籍，可以拖慢目标的移动速度,,,,,
23,精选杂志,0,,,644,3340301,-1,-1,获得杂志，即使被看见也不会增加警戒值,,,,,
24,,0,,,630,3343201,-1,-1,拾取金币，请归还给宝箱,HosterGetBuff|buffid=33424,,,,
25,趁热打铁,0,,,608,3254101,-1,-1,增加20点热量,,,,,
26,炉火冷却,0,,,608,3254201,-1,-1,清除场上残余的炉火,,,,,
27,大地之击,0,,,608,3254301,-1,-1,自动施放升级版大地之击,,,,,
28,残留的焰火,0,,,608,3305301,-1,-1,武器变成了火属性,,,,,
29,大锤,0,Skill_Other,UI_Skill_Other_dachuizhuangji.png,608,4527203,-1,-1,获得了大锤！,,,,,
30,反弹盾,0,Skill_Other,UI_Skill_Other_ShaLuZhiWu.png,608,4527501,-1,-1,获得了反弹盾！,,,,,
31,魔法光球,0,Skill_Other,UI_Skill_Other_Zhaoliang.png,608,3659301,-1,-1,获得了魔法光球！,,,,,
32,反弹盾,0,Skill_Other,UI_Skill_Other_ShaLuZhiWu.png,608,3659201,-1,-1,获得了反弹盾！,,,,,
101,,0,Skill_Thief,UI_Icon_Skill_Thief_YinNi.png,608,3314601,-1,-1,获得技能隐匿：使用后进入10秒隐身状态,,,,,
102,,0,Skill_Merchant,UI_Icon_Skill_Merchant_SuDuJiFa.png,608,3314701,-1,-1,获得技能神速：使用后进入5秒加速状态,,,,,
103,,0,Skill_Other,UI_Skill_Other_Zhaoliang.png,608,3314801,-1,-1,获得技能火种：使用后可获得15秒火种,,,,,
104,,0,Skill_Swordman,UI_Icon_Skill_Swordman_KuangBaoZhuangTai.png,608,3314901,-1,-1,获得技能暴怒：使用后可击退并眩晕周围敌方,,,,,
105,,0,Skill_Swordman,UI_Icon_Skill_Swordman_BaTi.png,608,3315001,-1,-1,获得技能霸体：使用后进入15秒霸体状态,,,,,
106,,0,Skill_Common,UI_Icon_Skill_Common_JinJiZhiLiao.png,608,3315101,-1,-1,获得技能治疗：使用后恢复100%血量,,,,,
107,,0,Skill_Magician,UI_Icon_Skill_Magician_ShuangDongZhiShu.png,608,3315201,-1,-1,获得技能霜冻：使用后可冰冻迷宫内所有敌人,,,,,
108,,0,Icon_Doodad,Icon_Doodad_Heal.png,610,3314301,-1,-1,恢复全部血量！,,,,,
121,冰刺术卷轴,,,,711,3390501,-1,-1,,,,,,
122,陨石术卷轴,,,,712,3390601,-1,-1,,,,,,
123,石拳术卷轴,,,,713,3390701,-1,-1,,,,,,
124,雷暴术卷轴,,,,714,3390801,-1,-1,,,,,,
130,糖果,0,,,608,3400801,-1,-1,卡努被糖果吸引了,,,,,
131,泼水,0,,,608,3400901,-1,-1,冷水打断了卡努的施法,,,,,
132,可爱的小猫,0,,,608,3401001,-1,-1,卡努被小猫吸引了,,,,,
133,骑士之剑,0,,,608,3402301,-1,-1,感觉身体中激活了某种能量,,,,,
134,骑士之枪,0,,,608,3402201,-1,-1,感觉身体中激活了某种能量,,,,,
135,伪装药剂,0,,,608,3402401,-1,-1,身体变得变得透明起来,,,,,
136,火种,0,,,608,3352301,-1,15,获得了火种，快去点亮火盆,,,,,
141,加时,0,Icon_Doodad,Icon_Doodad_Heal.png,608,921701,10,-1,,,,,,
142,加速,0,Icon_Doodad,Icon_Doodad_Speed.png,608,938201,10,-1,,,,,,
151,狂野,0,,,1138,5151301,30,-1,获得狂野,,,,,
152,回春,0,,,1137,5151501,30,-1,获得回春,,,,,
153,护盾,0,,,1136,5151701,30,-1,获得护盾,,,,,
154,强攻,0,,,1139,5151901,30,-1,获得强攻,,,,,
155,狂野,0,,,1138,5152101,30,-1,获得狂野,,,,,
156,回春,0,,,1137,5152201,30,-1,获得回春,,,,,
157,护盾,0,,,1136,5152301,30,-1,获得护盾,,,,,
158,强攻,0,,,1139,5152401,30,-1,获得强攻,,,,,
180,驱散,0,,,5027,3453901,20,-1,消除1层易伤效果,,,,,
200,时空之力,0,,,3014,3603501,-1,-1,获得时空旅行者的时空之力,,,,,
201,治愈之力,0,,,3015,3603601,-1,-1,获得驱魔师的治愈之力,,,,,
202,元素之力,0,,,3016,3603701,-1,-1,获得大贤者的元素之力,,,,,
203,追踪之力,0,,,3017,3603801,-1,-1,获得暗杀者的追踪之力,,,,,
204,极致攻速,0,,,3014,3626101,1800,-1,获得极限攻速+刀刀暴击,,,,,
205,无念转化,0,,,3015,3626201,1800,-1,大幅减少吟唱,,,,,
206,巨大化,0,,,3016,3626301,1800,-1,体型变得巨大而获得力量,,,,,
207,能力提升,0,,,3017,3626401,1800,-1,综合能力获得提升,,,,,
208,圣光庇佑,0,,,3017,3626501,1800,-1,获得圣光庇佑变成无敌,,,,,
209,迅捷步伐,,,,3014,3626601,-1,-1,获得移速增加,,,,,
210,胡萝卜,0,,,903001,2910201,-1,,胡萝卜+1,,,,,
211,一堆胡萝卜,0,,,903002,2910301,-1,,胡萝卜+3,,,,,
212,盐粒感应,,,,1348,3629301,-1,-1,短时间内获得1.2倍盐柱碎片和积分,,,,,
213,盐粒感应,,,,1349,3629401,-1,-1,短时间内获得1.5倍盐柱碎片和积分,,,,,
214,盐粒感应,,,,1350,3629501,-1,-1,短时间内获得2倍盐柱碎片和积分,,,,,
251,移速增加50%,0,Icon_ItemConsumables01,UI_icon_item_baiyubianxie,120030,3632801,-1,-1,你的时间变快了,,,,,
252,移速降低50%,0,Icon_ItemConsumables01,UI_icon_item_reniunai.png,120030,3632901,-1,-1,你的时间变慢了,,,,,
500,道具球,0,,,2800021,5173301,-1,-1,,,,,,
501,波利币,0,,,2800022,5176301,-1,-1,,,,,,
502,5V5国王BUFF,0,,,2800024,5173601,-1,-1,,,,,,
503,金币袋,0,,,2800023,5174701,-1,-1,,,,,,
504,,0,,,2800100,5174701,-1,-1,友方能量值增加！,,,,,
260,,0,,,1139,3652501,-1,-1,物理攻击与魔法攻击增加3%，最多可叠加5层，进入下一层后消失,,,,,
261,,0,,,1137,3652701,-1,-1,每3秒回复10%的血量和蓝量，持续90秒,,,,,
262,,0,,,2700132,3652901,-1,-1,可显示周围的敌对隐匿单位，持续90秒,,,,,
263,,0,,,2700131,3653101,-1,-1,可以瞬间去除身上的所有debuff效果,,,,,
264,,0,,,3014,3653301,-1,-1,移动速度提升10%，持续90秒,,,,,
265,,0,,,2700130,3653501,-1,-1,公共CD减少20%，耗蓝降低10%，持续90秒,,,,,
266,无敌护盾,0,,,1136,3663601,10,-1,获得无敌护盾,,,,,
267,加速术,,,,1138,4510201,-1,-1,你的移速增加,,,,,
300,,,,,630,5500101,180,-1,,,,,,
1001,,0,Icon_Doodad,Icon_Doodad_milk_CD.png,,4517701,15,-1,获得奶油，制作蛋糕的数量增加了！,,0,290|180|0,0|-0.2|0,1
1002,,0,Icon_Doodad,Icon_Doodad_milk_weili.png,,4517601,15,-1,获得面粉，蛋糕轰炸的威力变强了！,,0,290|180|0,0|-0.2|0,1
1003,,0,Icon_Doodad,Icon_Doodad_milk_fanwei.png,,4517101,15,-1,获得糖果，蛋糕轰炸的范围提升了！,,0,290|180|0,0|-0.2|0,1
1004,,0,Icon_Doodad,Icon_Doodad_milk_jifen.png,,4518201,15,-1,获得50点积分！,,0,290|180|0,0|-0.2|0,1
1005,,0,Icon_Doodad,Icon_Doodad_milk_panzi.png,,4518301,15,-1,获得托盘，你可以将蛋糕扔出去了！,,0,290|180|0,0|-0.2|0,1
1006,,0,Icon_Doodad,Icon_Doodad_milk_speed.png,,4518501,15,-1,移动速度提升！,,0,290|180|0,0|-0.2|0,1
1007,,0,Icon_Doodad,Icon_Doodad_Anniversary_PVP_renjidan.png,,4518601,15,-1,获得技能【鸡蛋】！,,0,290|180|0,0|0|0,1
1008,,0,Icon_Doodad,Icon_Doodad_Anniversary_PVP_yaokonganniu.png,,4518701,15,-1,获得技能【遥控】！,,0,290|180|0,0|0|0,1
1009,,0,Icon_Doodad,Icon_Doodad_Magician_LeiBaoShu.png,,4518801,15,-1,获得技能【雷电掌控者】！,,0,290|180|0,0|0|0,1
1010,,0,Icon_Doodad,Icon_Doodad_BardandDancer_yongyuandehundun.png,,4518901,15,-1,获得技能【黑洞制造者】！,,0,290|180|0,0|0|0,1
1011,,0,Icon_Doodad,Icon_Doodad_Magician_AnZhiZhangBi.png,,4519001,15,-1,获得技能【激光发射者】！,,0,290|180|0,0|0|0,1
1012,,0,Icon_Doodad,Icon_Doodad_Anniversary_PVP_xigua.png,,4521201,15,-1,获得【西瓜蛋糕】！,,0,290|180|0,0|0|0,1
1013,,0,Icon_Doodad,Icon_Doodad_Anniversary_PVP_mizidangao.png,,4521301,15,-1,获得【米字蛋糕】！,,0,290|180|0,0|0|0,1
1014,,0,Icon_Doodad,Icon_Doodad_Anniversary_PVP_bingbang.png,,4521401,15,-1,获得【冰棒蛋糕】！,,0,290|180|0,0|0|0,1
1015,,0,Icon_Doodad,Icon_Doodad_Anniversary_PVP_dangaozhadan.png,,4521501,15,-1,获得【奶油蛋糕】！,,0,290|180|0,0|0|0,1
1016,,0,Icon_Doodad,Icon_Doodad_milk_yangqi.png,4086,4524401,10,-1,获得氧气！,,0,290|180|0,0|-0.2|0,1
1017,,0,Icon_Doodad,Icon_Doodad_milk_fangda.png,,4518101,15,-1,你变大了！,,0,290|180|0,0|-0.2|0,1
1018,,0,,,4093,4523301,60,-1,获得【幸运蛋糕】！积分持续增加！,,0,,,
1100,,0,,,470,3641401,-1,-1,获得【红色符文】！,,,,0|1|0,
1101,,0,,,473,3641501,-1,-1,获得【黄色符文】！,,,,0|1|0,
1102,,0,,,472,3641601,-1,-1,获得【蓝色符文】！,,,,0|1|0,
