ID,CardName,CardTexture,CardColor,CardAttributes,CanUsePosition,RecommendSchool,IsShowInHandBook,ResolveAmount,ExpendZeny,CardLevelType,SortId,CardCollectAttr,TakeoutConsume,SyntheticConsume,LocalizationArea,AwakeningCardID,AwakeningConsume,StarConsume,StarAddAttr
4010051,巨石怪卡片,MonsterCard/UI_MonsterCard_Jushiguai.jpg,1,0=27=25|0=36=25|1=510023091=0,1,,1,30000050=200=201,200000,4,190,0=47=50,,40100510=5,,401005101,30000050=50,,
4010052,赤苍蝇卡片,MonsterCard/UI_MonsterCard_Chicangying.jpg,2,0=27=25|0=36=25|1=510018445=0,1,,1,30000050=200=201,200000,4,230,0=47=50,,40100520=5,,401005201,30000050=50,,
4010053,德古拉伯爵卡片,MonsterCard/UI_MonsterCard_Degulananjue.jpg,4,0=36=100|0=66=1500,1,,1,,,4,540,0=66=300,,40100530=5,,401005301,,,
4010054,暗黑祭司卡片,MonsterCard/UI_MonsterCard_Anheijisi.jpg,3,0=66=800|1=510024202=0,1,,1,30000051=400=401,2000000,5,320,0=36=12,,40100540=5,,401005401,30000051=50,,
4010055,毕帝特地龙卡片,MonsterCard/UI_MonsterCard_Biditedilong.jpg,3,0=211=2000,1,,1,30000050=400=401,400000,4,310,0=211=100,,40100550=5,,401005501,30000050=50,,
4010056,犬妖弓箭手卡片,MonsterCard/UI_MonsterCard_Quanyaogongjianshou.jpg,3,0=59=1000|1=510022384=0,1,,1,30000051=200=201,1000000,5,240,0=27=12,,40100560=5,,401005601,30000051=50,,
4010057,犬妖首领卡片,MonsterCard/UI_MonsterCard_Quanyaoshouling.jpg,3,1=510022485=0|1=510023899=0,1,,1,30000051=400=401,2000000,5,300,0=27=12,,40100570=5,,401005701,30000051=50,,
4010058,死灵卡片,MonsterCard/UI_MonsterCard_Siling.jpg,3,0=71=1000|0=18=5|0=55=5,1,,1,,,5,330,0=71=200,,40100580=5,,401005801,,,
4010059,爆钻伞蜥卡片,MonsterCard/UI_MonsterCard_Baozuansanxi.jpg,3,0=211=500|1=510023293=0,1,,1,30000050=30=31,30000,4,30,0=47=20,,40100590=5,,401005901,30000050=10,,
4010060,君主魔碑卡片,MonsterCard/UI_MonsterCard_Junzhumobei.jpg,3,0=36=25|1=510024808=0,1,,1,30000051=400=401,2000000,4,440,0=36=12,,40100600=5,,401006001,30000051=50,,
4010061,远古海神卡片,MonsterCard/UI_MonsterCard_Yuanguhaiwang.jpg,3,0=82=-800,1,,1,30000051=400=401,2000000,5,230,0=57=3,,40100610=5,,401006101,30000051=50,,
4010062,深海人鱼卡片,MonsterCard/UI_MonsterCard_shenhairenyu.jpg,3,0=175=800|1=510026020=0,1,,1,30000051=400=401,2000000,3,400,0=175=200,,3020022=10|102=500,,401006201,30000051=50,,
4010063,狮鹫兽卡片,MonsterCard/UI_MonsterCard_shijiushou.jpg,3,0=53=2|0=55=7|1=510025818=0,1,,1,30000051=400=401,2000000,4,460,0=57=3,,3020022=10|101=10000,,401006301,30000051=50,,
4010064,深海电鳗卡片,MonsterCard/UI_MonsterCard_shenhaidianman.jpg,3,0=172=800|1=510026222=0,1,,1,30000051=200=201,1000000,5,260,0=172=200,,3020022=10|102=500,,401006401,30000051=50,,
4010065,赛杜拉卡片,MonsterCard/UI_MonsterCard_saidula.jpg,3,0=59=1000|0=55=2,1,,1,30000051=200=201,1000000,5,270,0=55=3,,3020022=10|101=10000,,401006501,30000051=50,,
4010066,狄奥斯卡片,MonsterCard/UI_MonsterCard_diaosi.jpg,2,1=510026323=0,1,,1,30000050=400=401,400000,5,170,0=27=5,,40100660=5,,401006601,30000050=50,,
4010067,艾斯恩魔女卡片,MonsterCard/UI_MonsterCard_Aisienmonv.jpg,3,0=249=1200|1=510027030=0,1,,1,30000051=400=401,2000000,6,510,0=249=100,,40100670=5,,401006701,30000051=50,,
4010068,深渊骑士卡片,MonsterCard/UI_MonsterCard_Shenyuanqishi.jpg,3,0=225=1500|1=510027131=0,1,,1,30000051=400=401,2000000,6,440,0=225=100,,40100680=5,,401006801,30000051=50,,
4010069,血腥骑士卡片,MonsterCard/UI_MonsterCard_Xuexingqishi.jpg,4,1=510027434=0,1,,1,,,6,620,0=67=300,,40100690=5,,401006901,,,
4010070,贤者虫卡片,MonsterCard/UI_MonsterCard_Xianzhechong.jpg,2,0=66=800|0=77=20,1,,1,30000050=400=401,400000,6,220,0=36=5,,40100700=5,,401007001,30000050=50,,
4010071,邪骸浪人卡片,MonsterCard/UI_MonsterCard_Xiehailangren.jpg,2,0=27=25|1=510027737=0,1,,1,30000050=400=401,400000,6,200,0=27=5,,40100710=5,,401007101,30000050=50,,
4010072,阿修罗狂战士卡片,MonsterCard/UI_MonsterCard_Axiuluokuangzhanshi.jpg,2,0=310=800|0=51=5,1,,1,30000050=400=401,400000,6,250,0=27=5,,40100720=5,,401007201,30000050=50,,
4010073,魔灵娃娃卡片,MonsterCard/UI_MonsterCard_molingwawa.jpg,2,1=510028848=0,1,,1,30000050=200=201,200000,6,150,0=65=100,,40600350=5,9,401007301,30000050=50,,
4010074,玩具士兵卡片,MonsterCard/UI_MonsterCard_wanjushibing.jpg,3,0=59=1000|1=510028949=0,1,,1,30000051=200=201,1000000,6,390,0=59=100,,40200010=5,9,401007401,30000051=50,,
4010075,邪灵魔导士卡片,MonsterCard/UI_MonsterCard_xielingmodao.jpg,3,1=510029454=0,1,,1,30000050=400=401,400000,6,280,0=37=100,,40200020=5,9,401007501,30000050=50,,
4010076,大古钟卡片,MonsterCard/UI_MonsterCard_dabenzhong.jpg,2,0=204=1000,1,,1,30000050=200=201,200000,6,110,0=213=100,,40200030=5,9,401007601,30000050=50,,
4010077,卡仑宝宝卡片,MonsterCard/UI_MonsterCard_kalunbaobao.jpg,3,0=175=800|1=510029656=0,1,,1,30000051=400=401,2000000,6,470,0=68=100,,40200040=5,9,401007701,30000051=50,,
4010078,猪笼草卡片,MonsterCard/UI_MonsterCard_zhulongcao.jpg,2,0=205=1000,1,,1,30000050=200=201,200000,6,90,0=27=5,,40200050=5,9,401007801,30000050=50,,
4010079,玩具国王卡片,MonsterCard/UI_MonsterCard_wanjuguowang.jpg,3,0=59=1500|1=510030060=0,1,,1,30000051=400=401,2000000,6,540,0=36=12,,40200060=5,9,401007901,30000051=50,,
4010080,时间管理人卡片,MonsterCard/UI_MonsterCard_timezhipeizhe.jpg,4,0=37=2000|0=88=1000|0=82=-500,1,,1,,,6,660,0=37=300,,40200070=5,9,401008001,,,
4010081,冰暴骑士卡片,MonsterCard/UI_MonsterCard_bingbaoqishi.jpg,4,1=510030363=0|1=510030464=0|1=510030666=0,1,,1,,,6,650,0=59=300,,40200080=5,9,401008101,,,
4060035,鹗枭男爵卡片,MonsterCard/UI_MonsterCard_Exiaonanjue.jpg,4,1=510028242=0,6,,1,,,6,610,0=65=300,,40200090=5,,406003501,,,
4020001,盗虫卵卡片,MonsterCard/UI_MonsterCard_Daochongluan.jpg,2,0=47=250,2,,1,30000050=20=21,20000,2,10,0=47=20,,40200100=5,,402000101,30000050=10,,
4020002,黄金虫卡片,MonsterCard/UI_MonsterCard_Huangjinchong.jpg,4,0=88=1000|0=68=4000,2,,1,,,3,430,0=68=300,,40200110=5,,402000201,,,
4020003,达拉蛙卡片,MonsterCard/UI_MonsterCard_Tubianwa.jpg,3,0=213=1500,2,,1,30000051=200=201,1000000,3,310,0=212=200,,40200120=5,,402000301,30000051=50,,
4020004,蚁后卡片,MonsterCard/UI_MonsterCard_Yihou.jpg,4,1=510017637=0,2,,1,,,3,460,0=68=300,,40200130=5,,402000401,,,
4020005,艾斯蜘蛛卡片,MonsterCard/UI_MonsterCard_Aisizhizhu.jpg,1,0=48=400|0=267=2000,2,,1,30000050=100=101,100000,4,70,0=221=100,,40200140=5,,402000501,30000050=50,,
4020006,狂暴木乃伊卡片,MonsterCard/UI_MonsterCard_Kuangbaomunaiyi.jpg,1,0=48=400|1=510016728=0,2,,1,30000050=100=101,100000,5,30,0=57=2,,40200150=5,,402000601,30000050=50,,
4020007,安毕斯卡片,MonsterCard/UI_MonsterCard_Anbisi.jpg,4,0=219=1500,2,,1,30000050=200=201,200000,5,140,0=217=100,,40200160=5,,402000701,30000050=50,,
4020008,蜗牛卡片,MonsterCard/UI_MonsterCard_Woniu.jpg,1,0=32=2|0=47=200,2,,1,30000050=20=21,20000,1,80,0=27=2,,40200170=5,,402000801,30000050=10,,
4020009,蚁卵卡片,MonsterCard/UI_MonsterCard_Yiluan.jpg,2,0=48=300,2,,1,30000050=30=31,30000,2,100,0=47=20,,40200180=5,,402000901,30000050=10,,
4020010,锹形虫卡片,MonsterCard/UI_MonsterCard_Qiaoxingchong.jpg,3,0=256=2000,2,,1,30000051=400=401,2000000,2,250,0=229=100,,40200190=5,,402001001,30000051=50,,
4020011,大脚熊卡片,MonsterCard/UI_MonsterCard_Dajiaoxiong.jpg,3,0=220=1500,2,,1,30000050=200=201,200000,2,200,0=232=100,,40200200=5,,402001101,30000050=50,,
4020012,兽人战士卡片,MonsterCard/UI_MonsterCard_Shourenzhanshi.jpg,3,0=212=1500,2,,1,30000050=200=201,200000,3,190,0=91=100,,40200210=5,,402001201,30000050=50,,
4020013,僵尸卡片,MonsterCard/UI_MonsterCard_Jangshi.jpg,1,0=48=400|0=183=500,2,,1,30000050=100=101,100000,4,50,0=36=5,,40200220=5,,402001301,30000050=50,,
4020014,毕帝特飞龙卡片,MonsterCard/UI_MonsterCard_Biditefeilong.jpg,2,0=221=1500,2,,1,30000050=200=201,200000,4,280,0=214=100,,40200230=5,,402001401,30000050=50,,
4020015,邪骸食人鱼卡片,MonsterCard/UI_MonsterCard_Xiehaishirenyu.jpg,2,0=266=2000|0=48=400,2,,1,30000050=100=101,100000,3,110,0=47=50,,40300010=5,,402001501,30000050=50,,
4020016,梅纳海葵卡片,MonsterCard/UI_MonsterCard_Meinahaikui.jpg,2,0=217=1500,2,,1,30000050=200=201,200000,5,90,0=27=5,,40300020=5,,402001601,30000050=50,,
4020017,蜗牛王卡片,MonsterCard/UI_MonsterCard_Woniuwang.jpg,2,0=47=250|1=510024909=0,2,,1,30000051=400=401,2000000,3,340,0=48=100,,40300030=5,,402001701,30000051=50,,
4020018,兽牙怪卡片,MonsterCard/UI_MonsterCard_Shouyaguai.jpg,3,0=230=1500|0=32=1,2,,1,30000051=400=401,2000000,6,420,0=36=12,,40300040=5,,402001801,30000051=50,,
4020019,弑神者卡片,MonsterCard/UI_MonsterCard_Shishenzhe.jpg,3,0=229=1500|0=32=1,2,,1,30000051=400=401,2000000,6,460,0=27=12,,40300050=5,,402001901,30000051=50,,
4020020,爱丽丝女仆卡片,MonsterCard/UI_MonsterCard_Ailisinvpu.jpg,3,0=354=1500|0=355=-500,2,,1,30000051=400=401,2000000,6,410,0=36=12,,40300060=5,,402002001,30000051=50,,
4020021,卷甲虫卡片,MonsterCard/UI_MonsterCard_Juanjiachong.jpg,2,0=48=500|0=67=300,2,,1,30000050=400=401,400000,6,170,0=187=100,,40300070=5,,402002101,30000050=50,,
4020022,史汀卡片,MonsterCard/UI_MonsterCard_Shiting.jpg,2,0=48=500|0=68=300,2,,1,30000050=400=401,400000,6,210,0=36=5,,40300080=5,,402002201,30000050=50,,
4020023,卡利斯格卡片,MonsterCard/UI_MonsterCard_Kalisige.jpg,2,0=214=1500,2,,1,30000050=200=201,200000,6,20,0=47=50,,40300090=5,,402002301,30000050=50,,
4030001,波利卡片,MonsterCard/UI_MonsterCard_Boli.jpg,1,0=24=2|0=53=1,3,,1,30000050=20=21,20000,1,10,0=27=2,,40300100=5,,403000101,30000050=10,,
4030002,虫蛹卡片,MonsterCard/UI_MonsterCard_Chongyong.jpg,1,0=47=200,3,,1,30000050=30=31,30000,1,100,0=47=20,,40300110=5,,403000201,30000050=10,,
4030003,摇滚蝗虫卡片,MonsterCard/UI_MonsterCard_Yaogunhuangchong.jpg,1,0=20=2|0=27=5,3,,1,30000050=30=31,30000,1,140,0=27=2,,40300120=5,,403000301,30000050=10,,
4030004,盗虫卡片,MonsterCard/UI_MonsterCard_Daochong.jpg,1,0=18=1|0=41=2,3,,1,30000050=30=31,30000,2,70,0=36=2,,40300130=5,,403000401,30000050=10,,
4030005,蛋壳小鸡卡片,MonsterCard/UI_MonsterCard_Dankexiaoji.jpg,1,0=22=1|0=47=100,3,,1,30000050=20=21,20000,1,40,0=47=20,,40300140=5,,403000501,30000050=10,,
4030006,幽灵波利卡片,MonsterCard/UI_MonsterCard_Youlingboli.jpg,4,1=510014304=0,3,,1,30000051=400=401,2000000,5,310,0=33=100,,40300150=5,,403000601,30000051=50,,
4030007,天使波利卡片,MonsterCard/UI_MonsterCard_Tianshiboli.jpg,4,0=48=500|1=510014506=0,3,,1,,,2,290,0=48=300,,40300160=5,,403000701,,,
4030008,沙漠幼狼卡片,MonsterCard/UI_MonsterCard_Shamoyoulang.jpg,1,0=16=2,3,,1,30000050=30=31,30000,2,90,0=36=2,,40300170=5,,403000801,30000050=10,,
4030009,野猪卡片,MonsterCard/UI_MonsterCard_Yezhu.jpg,1,0=48=400|0=212=300,3,,1,30000050=200=201,200000,4,130,0=47=50,,40300180=5,,403000901,30000050=50,,
4030010,罗达蛙卡片,MonsterCard/UI_MonsterCard_Luodawa.jpg,1,0=22=1|0=47=150,3,,1,30000050=30=31,30000,1,150,0=47=20,,40300190=5,,403001001,30000050=10,,
4030011,大嘴鸟卡片,MonsterCard/UI_MonsterCard_Dazuiniao.jpg,2,0=48=500,3,,1,30000050=200=201,200000,3,170,0=91=100,,40300200=5,,403001101,30000050=50,,
4030012,艾吉欧蜈蚣卡片,MonsterCard/UI_MonsterCard_Aijiouwugong.jpg,2,0=32=1|1=510016021=0,3,,1,30000051=200=201,1000000,4,400,0=182=200,,40300210=5,,403001201,30000051=50,,
4030013,马克卡片,MonsterCard/UI_MonsterCard_Make.jpg,3,0=185=1000|0=48=300|1=510016223=0,3,,1,30000051=200=201,1000000,4,350,0=185=200,,40300220=5,,403001301,30000051=50,,
4030014,卡那多斯卡片,MonsterCard/UI_MonsterCard_Kanaduosi.jpg,2,0=48=400|1=510022990=0,3,,1,30000050=200=201,200000,3,210,0=36=5,,40300230=5,,403001401,30000050=50,,
4030015,泥人卡片,MonsterCard/UI_MonsterCard_Niren.jpg,2,0=32=1|1=510016526=0,3,,1,30000051=200=201,1000000,4,330,0=90=200,,40300240=5,,403001501,30000051=50,,
4030016,帕莎纳卡片,MonsterCard/UI_MonsterCard_Pashana.jpg,3,0=32=1|1=510017031=0,3,,1,30000051=200=201,1000000,5,220,0=27=12,,40300250=5,,403001601,30000051=50,,
4030017,绿苍蝇卡片,MonsterCard/UI_MonsterCard_Lvcangying.jpg,2,0=48=300|0=182=500,3,,1,30000050=100=101,100000,3,80,0=66=100,,40300260=5,,403001701,30000050=50,,
4030018,小鸡卡片,MonsterCard/UI_MonsterCard_Xiaoji.jpg,1,0=14=1|0=27=5,3,,1,30000050=20=21,20000,1,30,0=36=2,,40300270=5,,403001801,30000050=10,,
4030019,兽人酋长卡片,MonsterCard/UI_MonsterCard_Shourenqiuzhang.jpg,4,1=510018647=0,3,,1,,,3,470,0=67=300,,40300280=5,,403001901,,,
4030020,异变鱼卡片,MonsterCard/UI_MonsterCard_Yibianyu.jpg,2,0=32=1|1=510018748=0,3,,1,30000051=200=201,1000000,4,370,0=91=200,,40300290=5,,403002001,30000051=50,,
4030021,土人卡片,MonsterCard/UI_MonsterCard_Turen.jpg,2,0=32=1|1=510018849=0,3,,1,30000051=200=201,1000000,4,390,0=27=12,,40300300=5,,403002101,30000051=50,,
4030022,酱缸章鱼卡片,MonsterCard/UI_MonsterCard_jianggangzhangyu.jpg,2,0=48=400|0=185=1000,3,,1,30000050=200=201,200000,5,120,0=90=100,,40300310=5,,403002201,30000050=50,,
4030023,雪熊卡片,MonsterCard/UI_MonsterCard_xuexiong.jpg,2,1=510026525=0,3,,1,30000050=400=401,400000,5,190,0=47=50,,40300320=5,,403002301,30000050=50,,
4030024,狂暴克瑞米卡片,MonsterCard/UI_MonsterCard_kuangbaokeruimi.jpg,2,1=510026626=0,3,,1,30000050=400=401,400000,5,180,0=91=100,,40400010=5,,403002401,30000050=50,,
4030025,狂暴螳螂卡片,MonsterCard/UI_MonsterCard_kuangbaotanglang.jpg,2,1=510026727=0,3,,1,30000050=200=201,200000,5,110,0=182=100,,40400020=5,,403002501,30000050=50,,
4030026,凯美拉卡片,MonsterCard/UI_MonsterCard_Kaimeila.jpg,4,1=510028545=0,3,,1,,,6,600,0=174=300,,40400030=5,,403002601,,,
4030027,暗神官卡片,MonsterCard/UI_MonsterCard_Anshenguan.jpg,3,0=32=1|0=16=2|1=510027535=0,3,,1,30000051=200=201,1000000,6,370,0=36=12,,40400040=5,,403002701,30000051=50,,
4030028,镜妖卡片,MonsterCard/UI_MonsterCard_Jingyao.jpg,2,1=510027636=0,3,,1,30000050=400=401,400000,5,210,0=47=50,,40400050=5,,403002801,30000050=50,,
4030029,邪骸战俘卡片,MonsterCard/UI_MonsterCard_Xiehaizhanfu.jpg,2,1=510027838=0,3,,1,30000050=400=401,400000,6,230,0=91=100,,40400060=5,,403002901,30000050=50,,
