TimeId,LoopType,ShowTime,StartTime,
时间编号（2000-2999为祈愿抽奖用；3000-3999为日本节日礼包用）700-799意见反馈占用，绝对不要占用,循环类型（1.不循环,"显示时间，时分秒格式为000000，不可配超过235959,0点配为000000","生效时间，时分秒格式为000000，不可配超过235959,0点配为000000",备注策划用
1,1,20200627=000000|20200704=000000,20200627=000000|20200704=000000,对应卡普拉礼包中的金币礼包123
2021,1,20211129=050000|20211206=045959,20211129=050000|20211206=045959,十一月外观扭蛋5
2022,1,20211206=050000|20211213=045959,20211206=050000|20211213=045959,十二月外观扭蛋1
2023,1,20211213=050000|20211220=045959,20211213=050000|20211220=045959,十二月外观扭蛋2
2024,1,20211223=050000|20211227=045959,20211223=050000|20211227=045959,日本十二月外观扭蛋3
2025,1,20211227=050000|20220103=045959,20211227=050000|20220103=045959,日本十二月外观扭蛋4
2026,1,20211231=050000|20220131=045959,20211231=050000|20220131=045959,日本特殊扭蛋
2027,1,20220103=050000|20220110=045959,20220103=050000|20220110=045959,日本一月外观扭蛋I
2028,1,20220110=050000|20220117=045959,20220110=050000|20220117=045959,日本一月外观扭蛋II
2029,1,20220117=050000|20220124=045959,20220117=050000|20220124=045959,日本一月外观扭蛋III
2030,1,20220124=050000|20220131=045959,20220124=050000|20220131=045959,日本一月外观扭蛋IV
2100,1,20211110=090000|20211124=045959,20211110=090000|20211124=045959,北美开服扭蛋I
2101,1,20211124=050000|20211208=045959,20211124=050000|20211208=045959,北美开服扭蛋II
2102,1,20211208=050000|20211222=045959,20211208=050000|20211222=045959,北美开服扭蛋3(栗子)
2103,1,20211222=050000|20220105=045959,20211222=050000|20220105=045959,北美开服扭蛋4(圣诞)
2104,1,20220105=050000|20220119=045959,20220105=050000|20220119=045959,北美扭蛋5(侦探)
2105,1,20220119=050000|20220202=045959,20220119=050000|20220202=045959,北美扭蛋6(月兔)
2200,1,20211211=000000|20211231=235959,20211211=000000|20211231=235959,韩国第1期扭蛋（圣诞）
2201,1,20220101=000000|20220121=235959,20220101=000000|20220121=235959,韩国第2期扭蛋（韩服）
2007,1,20210913=050000|20210920=045959,20210913=050000|20210920=045959,抽奖积分有效时间6
2008,1,20210726=050000|20220726=050000,20210726=050000|20220726=050000,换积分长期有效时间段测试用
3001,1,20210703=000000|20210801=235900,20210703=000000|20210801=235900,日本上线7-8月喵果礼包
3002,1,20210705=050000|20210720=045900,20210705=050000|20210720=045900,日本节日礼包7.5-7.20
3003,1,20210720=050000|20210801=045959,20210720=050000|20210801=045959,日本节日礼包7.20-8.1
3004,1,20210802=050000|20210815=045959,20210802=050000|20210815=045959,日本节日礼包8.2-8.15
3005,1,20210815=050000|20210831=235959,20210815=050000|20210831=235959,日本节日礼包8.15-8.31
3006,1,20210815=050000|20210831=045959,20210815=050000|20210831=045959,日本节日礼包8.15-8.31
3007,1,20210831=050000|20210831=235959,20210831=050000|20210831=235959,日本节日礼包，8.31，月末限购特惠
3008,1,20210901=000000|20210915=045959,20210901=000000|20210915=045959,日本节日礼包9.1-9.15
3009,1,20210915=050000|20210930=045959,20210915=050000|20210930=045959,日本节日礼包9.15-9.30
3010,1,20210930=050000|20211019=045959,20210930=050000|20211019=045959,日本节日礼包9.30-10.19
3011,1,20211019=050000|20211030=045959,20211019=050000|20211030=045959,日本节日礼包10.19-11.02
3012,1,20211030=050000|20211101=045959,20211030=050000|20211101=045959,日本周末限定10.30-11.01
3013,1,20211106=050000|20211108=045959,20211106=050000|20211108=045959,日本周末限定11.06-11.08
3014,1,20211113=000000|20211114=235959,20211113=000000|20211114=235959,日本周末限定11.13-11.14
3015,1,20211120=000000|20211121=235959,20211120=000000|20211121=235959,日本周末限定11.20-11.21
3016,1,20211127=000000|20211128=235959,20211127=000000|20211128=235959,日本周末限定11.27-11.28
3017,1,20211204=000000|20211205=235959,20211204=000000|20211205=235959,日本周末限定12.04-12.05
3018,1,20211211=000000|20211212=235959,20211211=000000|20211212=235959,日本周末限定12.11-12.12
3019,1,20211218=000000|20211219=235959,20211218=000000|20211219=235959,日本周末限定12.18-12.19
31,1,20210702=120000|20210731=235900,20210702=120000|20210731=235900,2021七月礼包
32,1,20210801=000000|20210831=235900,20210801=000000|20210831=235900,韩服2021八月礼包
33,1,20210901=000000|20210930=235959,20210901=000000|20210930=235959,韩服2021九月礼包
1100,1,20210914=050000|20210928=050000,20210914=050000|20210928=050000,秋夕活动期间出售
1101,1,20210914=050000|20210928=050000,20210915=050000|20210928=050000,秋夕第2天开售原料
1102,1,20210914=050000|20210928=050000,20210915=050000|20210928=050000,秋夕第2天开售原料
1103,1,20210914=050000|20210928=050000,20210916=050000|20210928=050000,秋夕第3天开售原料
1104,1,20210914=050000|20210928=050000,20210916=050000|20210928=050000,秋夕第3天开售原料
1105,1,20210914=050000|20210928=050000,20210917=050000|20210928=050000,秋夕第4天开售原料
1106,1,20210914=050000|20210928=050000,20210917=050000|20210928=050000,秋夕第4天开售原料
1107,1,20210914=050000|20210928=050000,20210921=050000|20210928=050000,秋夕第八天开售门票
4001,1,20211001=000000|20211031=235959,20211001=000000|20211031=235959,韩国10月礼包
4002,1,20211101=000000|20211130=235959,20211101=000000|20211130=235959,韩国11月礼包
4003,1,20211201=000000|20211231=235959,20211201=000000|20211231=235959,韩国12月礼包
1020,1,20211124=050000|20211201=045900,20211124=050000|20211201=045900,蔬菜饼活动期间出售-NA
1021,1,20211124=050000|20211201=045900,20211125=050000|20211201=045900,蔬菜饼第2天开售原料-NA
1022,1,20211124=050000|20211201=045900,20211125=050000|20211201=045900,蔬菜饼第2天开售原料-NA
1023,1,20211124=050000|20211201=045900,20211126=050000|20211201=045900,蔬菜饼第3天开售原料-NA
1024,1,20211124=050000|20211201=045900,20211126=050000|20211201=045900,蔬菜饼第3天开售原料-NA
1025,1,20211124=050000|20211201=045900,20211127=050000|20211201=045900,蔬菜饼第4天开售原料-NA
1026,1,20211124=050000|20211201=045900,20211127=050000|20211201=045900,蔬菜饼第4天开售原料-NA
5001,1,20211223=050000|20211230=045959,20211223=050000|20211230=045959,雪花节商店-kor
5002,1,20211220=050000|20220103=045959,20211220=050000|20220103=045959,雪花节商店-JP
5003,1,20211222=050000|20220105=045959,20211222=050000|20220105=045959,雪花节商店-NA
