Id,RefineLv,WeaponConsume,OtherConsume,PerfectConsume,ReduceLv,Experience,SealConsume,EquipId,SameLvConsume
79,19,3020007=16|101=10000,3020007=16|101=10000,3020010=20,1,20,3020010=1=1,4,
80,20,3020007=16|101=10000,3020007=16|101=10000,3020010=20,1,20,3020010=1=1,4,
81,1,101=10000,101=10000,0,0,0,3020010=1=1,5,
82,2,101=10000,101=10000,0,0,0,,5,
83,3,101=10000,101=10000,0,0,0,,5,
84,4,101=10000,101=10000,0,0,0,,5,
85,5,101=10000,101=10000,0,0,0,,5,
86,6,3020007=1|101=10000,3020007=1|101=10000,0,0,0,,5,
87,7,3020007=2|101=10000,3020007=2|101=10000,0,0,0,,5,
88,8,3020007=3|101=10000,3020007=3|101=10000,0,0,0,,5,
89,9,3020007=5|101=10000,3020007=5|101=10000,3020010=1,1,1,3020010=1=1,5,
90,10,3020007=6|101=10000,3020007=6|101=10000,3020010=3,1,3,3020010=1=1,5,
91,11,3020007=14|101=10000,3020007=14|101=10000,3020010=5,1,5,3020010=1=1,5,
92,12,3020007=16|101=10000,3020007=16|101=10000,3020010=10,1,10,3020010=1=1,5,
93,13,3020007=16|101=10000,3020007=16|101=10000,3020010=15,1,15,3020010=1=1,5,
94,14,3020007=16|101=10000,3020007=16|101=10000,3020010=20,1,20,3020010=1=1,5,
95,15,3020007=16|101=10000,3020007=16|101=10000,3020010=20,1,20,3020010=1=1,5,
96,16,3020007=16|101=10000,3020007=16|101=10000,3020010=20,1,20,3020010=1=1,5,
97,17,3020007=16|101=10000,3020007=16|101=10000,3020010=20,1,20,3020010=1=1,5,
98,18,3020007=16|101=10000,3020007=16|101=10000,3020010=20,1,20,3020010=1=1,5,
99,19,3020007=16|101=10000,3020007=16|101=10000,3020010=20,1,20,3020010=1=1,5,
100,20,3020007=16|101=10000,3020007=16|101=10000,3020010=20,1,20,3020010=1=1,5,
101,1,101=10000,101=10000,0,0,0,3020010=1=1,6,
102,2,101=10000,101=10000,0,0,0,,6,
103,3,101=10000,101=10000,0,0,0,,6,
104,4,101=10000,101=10000,0,0,0,,6,
105,5,101=10000,101=10000,0,0,0,,6,
106,6,3020007=1|101=10000,3020007=1|101=10000,0,0,0,,6,
107,7,3020007=2|101=10000,3020007=2|101=10000,0,0,0,,6,
108,8,3020007=3|101=10000,3020007=3|101=10000,0,0,0,,6,
109,9,3020007=5|101=10000,3020007=5|101=10000,3020010=1,1,1,3020010=1=1,6,
110,10,3020007=6|101=10000,3020007=6|101=10000,3020010=3,1,3,3020010=1=1,6,
111,11,3020007=14|101=10000,3020007=14|101=10000,3020010=5,1,5,3020010=1=1,6,
112,12,3020007=16|101=10000,3020007=16|101=10000,3020010=10,1,10,3020010=1=1,6,
113,13,3020007=16|101=10000,3020007=16|101=10000,3020010=15,1,15,3020010=1=1,6,
114,14,3020007=16|101=10000,3020007=16|101=10000,3020010=20,1,20,3020010=1=1,6,
115,15,3020007=16|101=10000,3020007=16|101=10000,3020010=20,1,20,3020010=1=1,6,
116,16,3020007=16|101=10000,3020007=16|101=10000,3020010=20,1,20,3020010=1=1,6,
117,17,3020007=16|101=10000,3020007=16|101=10000,3020010=20,1,20,3020010=1=1,6,
118,18,3020007=16|101=10000,3020007=16|101=10000,3020010=20,1,20,3020010=1=1,6,
119,19,3020007=16|101=10000,3020007=16|101=10000,3020010=20,1,20,3020010=1=1,6,
120,20,3020007=16|101=10000,3020007=16|101=10000,3020010=20,1,20,3020010=1=1,6,
121,1,101=10000,101=10000,0,0,0,3020019=1=1,7,
122,2,101=10000,101=10000,0,0,0,,7,
123,3,101=10000,101=10000,0,0,0,,7,
124,4,101=10000,101=10000,0,0,0,,7,
125,5,3020018=2|101=20000,101=10000,0,0,0,,7,
126,6,3020018=4|101=20000,3020007=1|101=10000,0,0,0,,7,
127,7,3020018=7|101=20000,3020007=2|101=10000,0,0,0,,7,
128,8,3020018=8|101=20000,3020007=3|101=10000,0,0,0,,7,
129,9,3020018=9|101=20000,3020007=5|101=10000,3020019=1,2,2,3020019=1=1,7,
130,10,3020018=12|101=20000,3020007=6|101=10000,3020019=3,2,4,3020019=1=1,7,
131,11,3020018=14|101=20000,3020007=14|101=10000,3020019=5,2,6,3020019=1=1,7,
132,12,3020018=16|101=20000,3020007=16|101=10000,3020019=18,2,8,3020019=1=1,7,
133,13,3020018=18|101=20000,3020007=16|101=10000,3020019=24,2,10,3020019=1=1,7,
134,14,3020018=20|101=20000,3020007=16|101=10000,3020019=30,2,12,3020019=1=1,7,
135,15,3020018=22|101=20000,3020007=16|101=10000,3020019=30,2,14,3020019=1=1,7,
136,16,3020018=22|101=20000,3020007=16|101=10000,3020019=30,2,16,3020019=1=1,7,
137,17,3020018=22|101=20000,3020007=16|101=10000,3020019=30,2,18,3020019=1=1,7,
138,18,3020018=22|101=20000,3020007=16|101=10000,3020019=30,2,20,3020019=1=1,7,
139,19,3020018=22|101=20000,3020007=16|101=10000,3020019=30,2,22,3020019=1=1,7,
140,20,3020018=22|101=20000,3020007=16|101=10000,3020019=30,2,24,3020019=1=1,7,
141,1,101=10000,101=10000,0,0,0,3020019=1=1,8,
142,2,101=10000,101=10000,0,0,0,,8,
143,3,101=10000,101=10000,0,0,0,,8,
144,4,101=10000,101=10000,0,0,0,,8,
145,5,3020018=2|101=20000,101=10000,0,0,0,,8,
146,6,3020018=4|101=20000,3020007=1|101=10000,0,0,0,,8,
147,7,3020018=7|101=20000,3020007=2|101=10000,0,0,0,,8,
148,8,3020018=8|101=20000,3020007=3|101=10000,0,0,0,,8,
149,9,3020018=9|101=20000,3020007=5|101=10000,3020019=1,2,2,3020019=1=1,8,
150,10,3020018=12|101=20000,3020007=6|101=10000,3020019=3,2,4,3020019=1=1,8,
151,11,3020018=14|101=20000,3020007=14|101=10000,3020019=5,2,6,3020019=1=1,8,
152,12,3020018=16|101=20000,3020007=16|101=10000,3020019=18,2,8,3020019=1=1,8,
153,13,3020018=18|101=20000,3020007=16|101=10000,3020019=24,2,10,3020019=1=1,8,
154,14,3020018=20|101=20000,3020007=16|101=10000,3020019=30,2,12,3020019=1=1,8,
155,15,3020018=22|101=20000,3020007=16|101=10000,3020019=30,2,14,3020019=1=1,8,
156,16,3020018=22|101=20000,3020007=16|101=10000,3020019=30,2,16,3020019=1=1,8,
157,17,3020018=22|101=20000,3020007=16|101=10000,3020019=30,2,18,3020019=1=1,8,
158,18,3020018=22|101=20000,3020007=16|101=10000,3020019=30,2,20,3020019=1=1,8,
159,19,3020018=22|101=20000,3020007=16|101=10000,3020019=30,2,22,3020019=1=1,8,
160,20,3020018=22|101=20000,3020007=16|101=10000,3020019=30,2,24,3020019=1=1,8,
161,1,101=10000,101=10000,0,0,0,3020019=1=1,9,
162,2,101=10000,101=10000,0,0,0,,9,
163,3,101=10000,101=10000,0,0,0,,9,
164,4,101=10000,101=10000,0,0,0,,9,
165,5,3020018=2|101=20000,101=10000,0,0,0,,9,
166,6,3020018=4|101=20000,3020007=1|101=10000,0,0,0,,9,
167,7,3020018=7|101=20000,3020007=2|101=10000,0,0,0,,9,
168,8,3020018=8|101=20000,3020007=3|101=10000,0,0,0,,9,
169,9,3020018=9|101=20000,3020007=5|101=10000,3020019=1,2,2,3020019=1=1,9,
170,10,3020018=12|101=20000,3020007=6|101=10000,3020019=3,2,4,3020019=1=1,9,
171,11,3020018=14|101=20000,3020007=14|101=10000,3020019=5,2,6,3020019=1=1,9,
172,12,3020018=16|101=20000,3020007=16|101=10000,3020019=18,2,8,3020019=1=1,9,
173,13,3020018=18|101=20000,3020007=16|101=10000,3020019=24,2,10,3020019=1=1,9,
174,14,3020018=20|101=20000,3020007=16|101=10000,3020019=30,2,12,3020019=1=1,9,
175,15,3020018=22|101=20000,3020007=16|101=10000,3020019=30,2,14,3020019=1=1,9,
176,16,3020018=22|101=20000,3020007=16|101=10000,3020019=30,2,16,3020019=1=1,9,
177,17,3020018=22|101=20000,3020007=16|101=10000,3020019=30,2,18,3020019=1=1,9,
178,18,3020018=22|101=20000,3020007=16|101=10000,3020019=30,2,20,3020019=1=1,9,
179,19,3020018=22|101=20000,3020007=16|101=10000,3020019=30,2,22,3020019=1=1,9,
180,20,3020018=22|101=20000,3020007=16|101=10000,3020019=30,2,24,3020019=1=1,9,
181,1,101=10000,101=10000,0,0,0,3020019=1=1,10,
182,2,101=10000,101=10000,0,0,0,,10,
183,3,101=10000,101=10000,0,0,0,,10,
184,4,101=10000,101=10000,0,0,0,,10,
185,5,3020018=2|101=20000,101=10000,0,0,0,,10,
186,6,3020018=4|101=20000,3020007=1|101=10000,0,0,0,,10,
187,7,3020018=7|101=20000,3020007=2|101=10000,0,0,0,,10,
188,8,3020018=8|101=20000,3020007=3|101=10000,0,0,0,,10,
189,9,3020018=9|101=20000,3020007=5|101=10000,3020019=1,2,2,3020019=1=1,10,
190,10,3020018=12|101=20000,3020007=6|101=10000,3020019=3,2,4,3020019=1=1,10,
191,11,3020018=14|101=20000,3020007=14|101=10000,3020019=5,2,6,3020019=1=1,10,
192,12,3020018=16|101=20000,3020007=16|101=10000,3020019=18,2,8,3020019=1=1,10,
193,13,3020018=18|101=20000,3020007=16|101=10000,3020019=24,2,10,3020019=1=1,10,
194,14,3020018=20|101=20000,3020007=16|101=10000,3020019=30,2,12,3020019=1=1,10,
195,15,3020018=22|101=20000,3020007=16|101=10000,3020019=30,2,14,3020019=1=1,10,
196,16,3020018=22|101=20000,3020007=16|101=10000,3020019=30,2,16,3020019=1=1,10,
197,17,3020018=22|101=20000,3020007=16|101=10000,3020019=30,2,18,3020019=1=1,10,
198,18,3020018=22|101=20000,3020007=16|101=10000,3020019=30,2,20,3020019=1=1,10,
199,19,3020018=22|101=20000,3020007=16|101=10000,3020019=30,2,22,3020019=1=1,10,
200,20,3020018=22|101=20000,3020007=16|101=10000,3020019=30,2,24,3020019=1=1,10,
