SceneID,Comment,Morning,Afternoon,Evening,LateNight,UniquePeriod
28,梦罗克南部,3501=10000,3521=10000,3541=10000,3561=10000,
33,初心者训练场,4001=10000,4021=10000,4041=10000,4061=10000,
34,兽人村落,2501=3500|2502=3500|2503=3000,2521=3500|2522=3500|2523=3000,2541=3500|2542=3500|2543=3000,2561=3500|2562=3500|2563=3000,
35,沙漠之桥,5701=10000,5721=10000,5741=10000,5761=10000,
36,斐扬东部,3001=10000,3021=10000,3041=10000,3061=10000,
37,斐扬树林,3201=3000|3202=3000|3203=4000,3221=3000|3222=3000|3223=4000,3241=3000|3242=3000|3243=4000,3261=3000|3262=3000|3263=4000,
38,苏克拉特南部,3801=10000,3821=10000,3841=10000,3861=10000,
45,斐扬南部,3101=3000|3102=3000|3103=4000,3121=3000|3122=3000|3123=4000,3141=3000|3142=3000|3143=4000,3161=3000|3162=3000|3163=4000,
47,斐扬,2901=10000,2921=10000,2941=10000,2961=10000,
48,斐扬东南,3301=10000,3321=10000,3341=10000,3361=10000,
50,艾尔贝塔,2801=3000|2802=3000|2803=4000,2821=3000|2822=3000|2823=4000,2841=3000|2842=3000|2843=4000,2861=3000|2862=3000|2863=4000,
52,弓手村,5201=10000,5221=10000,5241=10000,5261=10000,
53,吉芬旷野,5301=10000,5321=10000,5341=10000,5361=10000,
54,马车森林,5401=10000,5421=10000,5441=10000,5461=10000,
56,克特森林,5501=10000,5521=10000,5541=10000,5561=10000,
59,主题酒吧,4201=10000,4201=10000,4201=10000,4201=10000|4261=0,
62,主题酒吧【剧情用】,4201=10000,4201=10000,4201=10000,4201=10000|4261=0,
67,斐扬树林深处,5901=10000,5921=10000,5941=10000,5961=10000,
68,妙勒尼山脉,5801=10000,5821=10000,5841=10000,5861=10000,
101,GVG普隆德拉区域入口,6301=10000,6321=10000,6341=10000,6361=10000,
102,GVG吉芬区域入口,6401=10000,6421=10000,6441=10000,6461=10000,
103,GVG斐扬区域入口,6501=10000,6521=10000,6541=10000,6561=10000,
802,公会狩猎-简单,1201=3000|1202=3000|1203=4000,1221=3000|1222=3000|1223=4000,1241=3000|1242=3000|1243=4000,1261=3000|1262=3000|1263=4000,
2001,南门镜像1,1201=3000|1202=3000|1203=4000,1221=3000|1222=3000|1223=4000,1241=3000|1242=3000|1243=4000,1261=3000|1262=3000|1263=4000,
2002,南门镜像2,1201=3000|1202=3000|1203=4000,1221=3000|1222=3000|1223=4000,1241=3000|1242=3000|1243=4000,1261=3000|1262=3000|1263=4000,
2005,普隆德拉镜像1,1101=3000|1102=3000|1103=4000,1121=2500|1122=2500|1123=2500|1124=2500,1141=3000|1142=3000|1143=4000,1161=1000|1162=1000|1163=1000|1164=7000,
2006,普隆德拉镜像2,1101=3000|1102=3000|1103=4000,1121=2500|1122=2500|1123=2500|1124=2500,1141=3000|1142=3000|1143=4000,1161=1000|1162=1000|1163=1000|1164=7000,
2009,波利岛镜像1,1601=10000,1621=10000,1641=10000,1661=10000,
2010,普隆德拉西门镜像1,1301=3000|1302=3000|1303=4000,1321=3000|1322=3000|1323=4000,1341=3000|1342=3000|1343=4000,1361=3000|1362=3000|1363=4000,
2011,波利岛镜像2,1601=10000,1621=10000,1641=10000,1661=10000,
2012,普隆德拉北门镜像,1401=3000|1402=3000|1403=4000,1421=3000|1422=3000|1423=4000,1441=3000|1442=3000|1443=4000,1461=3000|1462=3000|1463=4000,
1007,过场,2201=10000,2221=10000,2241=10000,2261=10000,
1301,圣歌试炼,2701=10000,2721=10000,2741=10000,2761=10000,
1403,金字塔副本,2601=10000,2621=10000,2641=10000,2661=10000,
1500,转职试炼副本,2701=10000,2721=10000,2741=10000,2761=10000,
2014,元素试炼,2701=10000,2721=10000,2741=10000,2761=10000,
2015,谦让骑士的考验,2701=10000,2721=10000,2741=10000,2761=10000,
2017,猎鹰之眼,2701=10000,2721=10000,2741=10000,2761=10000,
2020,实力烙印,2701=10000,2721=10000,2741=10000,2761=10000,
2022,治愈祷文,2701=10000,2721=10000,2741=10000,2761=10000,
2041,奇闻吉芬魔法师45等级副本,2701=10000,2721=10000,2741=10000,2761=10000,
2042,奇闻吉芬魔法师60等级副本,2701=10000,2721=10000,2741=10000,2761=10000,
2071,加点体验副本,3901=10000,3921=10000,3941=10000,3961=10000,
2081,转职体验副本,4001=10000,4021=10000,4041=10000,4061=10000,
2082,转职体验副本,4001=10000,4021=10000,4041=10000,4061=10000,
2083,转职体验副本,4001=10000,4021=10000,4041=10000,4061=10000,
2084,转职体验副本,4001=10000,4021=10000,4041=10000,4061=10000,
2085,转职体验副本,4001=10000,4021=10000,4041=10000,4061=10000,
2086,转职体验副本,4001=10000,4021=10000,4041=10000,4061=10000,
2087,加点体验副本,3901=10000,3921=10000,3941=10000,3961=10000,
2088,黑暗迷宫,4701=10000,4721=10000,4741=10000,4761=10000,
2110,英灵殿,4301=10000,4321=10000,4341=10000,4361=10000,
2116,加点体验副本,3901=10000,3921=10000,3941=10000,3961=10000,
2117,加点体验副本,3901=10000,3921=10000,3941=10000,3961=10000,
2118,加点体验副本,3901=10000,3921=10000,3941=10000,3961=10000,
2119,加点体验副本,3901=10000,3921=10000,3941=10000,3961=10000,
2120,加点体验副本,3901=10000,3921=10000,3941=10000,3961=10000,
2121,加点体验副本,3901=10000,3921=10000,3941=10000,3961=10000,
2130,舞女记忆副本,4401=10000,4421=10000,4441=10000,4461=10000,
2235,艾吉尔圣所,5001=10000,5002=10000,5003=10000,5004=10000,
2211,英灵殿,4501=10000,4521=10000,4541=10000,4561=10000,
4040,金字塔副本,2601=10000,2621=10000,2641=10000,2661=10000,
4041,金字塔副本_H,2601=10000,2621=10000,2641=10000,2661=10000,
8010,抢滩登陆,4101=10000,4121=10000,4141=10000,4161=10000,
4050,北森副本,4621=10000,4621=10000,4621=10000,4621=10000,
4051,北森副本,4621=10000,4621=10000,4621=10000,4621=10000,
1121,塔防-单人难度1,4801=10000|4802=0,4801=10000|4802=0,4801=10000|4802=0,4801=10000|4802=0,
1122,塔防-单人难度2,4801=10000|4802=0,4801=10000|4802=0,4801=10000|4802=0,4801=10000|4802=0,
1123,塔防-单人难度3,4801=10000|4802=0,4801=10000|4802=0,4801=10000|4802=0,4801=10000|4802=0,
1124,塔防-单人难度4,4801=10000|4802=0,4801=10000|4802=0,4801=10000|4802=0,4801=10000|4802=0,
1131,塔防-双人难度1,4901=10000|4902=0,4901=10000|4902=0,4901=10000|4902=0,4901=10000|4902=0,
1132,塔防-双人难度2,4901=10000|4902=0,4901=10000|4902=0,4901=10000|4902=0,4901=10000|4902=0,
1133,塔防-双人难度3,4901=10000|4902=0,4901=10000|4902=0,4901=10000|4902=0,4901=10000|4902=0,
1134,塔防-双人难度4,4901=10000|4902=0,4901=10000|4902=0,4901=10000|4902=0,4901=10000|4902=0,
1101,PVP战场-峡谷 1,6001=10000,6021=10000,6041=10000,6061=10000,
1102,PVP战场-峡谷 2,6001=10000,6021=10000,6041=10000,6061=10000,
1103,PVP战场-峡谷 3,6001=10000,6021=10000,6041=10000,6061=10000,
1104,PVP战场-峡谷 4,6001=10000,6021=10000,6041=10000,6061=10000,
1105,PVP战场-峡谷 5,6001=10000,6021=10000,6041=10000,6061=10000,
1106,PVP战场-峡谷 6,6001=10000,6021=10000,6041=10000,6061=10000,
1107,PVP战场-峡谷 7,6001=10000,6021=10000,6041=10000,6061=10000,
1108,PVP战场-峡谷 8,6001=10000,6021=10000,6041=10000,6061=10000,
401,狩猎场,6101=10000,6121=10000,6141=10000,6161=10000,
2504,明亮版暗黑迷宫,6201=10000,6221=10000,6241=10000,6261=10000,
402,普隆德拉·万圣夜,1165=10000,1165=10000,1165=10000,1165=10000,LateNight
405,奶油狂欢节森林场景,7304=10000,7304=10000,7304=10000,7304=10000,LateNight
55,古城,6562=3000|6563=3000|6564=4000,6565=3000|6566=3000|6567=4000,6568=4000|6569=3000|6570=3000,6571=3000|6572=4000|6573=3000,
82,姜饼城原野,6601=10000,6621=10000,6641=10000,6661=10000,
85,艾尔帕兰,6709=8000|6710=2000,6711=4000|6712=6000,6713=3000|6714=7000,6715=8000|6716=2000,
86,妙勒尼北麓,6801=10000,6802=10000,6803=10000,6804=10000,
2416,时空迷宫,4701=10000,4721=10000,4741=10000,4761=10000,
2415,轮回之境,3901=10000,3921=10000,3941=10000,3961=10000,
540,钟楼梦魇层,6901=10000,6902=10000,6903=10000,6904=10000,
87,灯塔岛,7001=10000,7002=10000,7003=10000,7004=10000,
88,克魔岛,7101=10000,7102=10000,7103=10000,7104=10000,
98,蜜月岛,7201=10000,7202=10000,7203=10000,7204=10000,
5205,宠物幻境-古城,8101=10000,8102=10000,8103=10000,8104=10000,
5206,宠物幻境-古城,8101=10000,8102=10000,8103=10000,8104=10000,
5207,宠物幻境-古城,8101=10000,8102=10000,8103=10000,8104=10000,
202,尔迈斯峡谷,8201=10000,8202=10000,8203=10000,8204=10000,
203,启海伊洛学院,8501=10000,8502=10000,8503=10000,8504=10000,
205,国界,8301=10000,8302=10000,8303=10000,8304=10000,
99,朱诺,8401=5000|8402=5000,8402=5000|8403=5000,8405=5000|8406=5000,8407=5000|8408=5000,
75,普隆德拉东门,8601=10000,8602=10000,8603=10000,8604=10000,
