ID,Index,
154,FoundryEquipment1,历史首次打开锻造界面【材料追踪】引导
155,FoundryEquipment2,40级后，首次打开锻造界面【快速推荐】引导
156,FoundryCard,历史首次打开解封界面且解封列表不为空
157,GetAutoDev,获得全自动喝药道具时
158,CheckStickersGuide,引导玩家在列表中点击查看一个贴纸
159,DailyActiivityGuide,第一次打开冒险界面引导
160,CollectionReceivedGuide,第一次打开藏品收纳柜引导
161,GetAutoDevOpenPanel,第一次打开自动吃药面板
162,GuildMatchGuide,第一次打开队伍管理界面引导
163,FoundryEquipment3,40级后，首次打开锻造界面【推荐流派】引导
164,DailyExpGuide,玩家30级后回到主城会引导打开每日经验界面
165,DailyExpGuide2,玩家30级后回到主城引导打开每日经验界面后引导
166,KnightSecTransferTaskGuide,骑士二转任务引导
167,WizardSecTransferTaskGuide,巫师二转任务引导
168,PriestSecTransferTaskGuide,牧师二转任务引导
169,HunterSecTransferTaskGuide,猎人二转任务引导
170,BlacksmithSecTransferTaskGuide,铁匠二转任务引导
171,AssassinSecTransferTaskGuide,刺客二转任务引导
172,WheelGuide1,贝鲁兹功能开启后新手引导1
173,WheelGuide2,贝鲁兹功能开启后新手引导2
174,YLDGuide,英灵殿副本目标引导
175,WheelGuide3,贝鲁兹功能开启后新手引导3
176,WheelGuide4,贝鲁兹功能开启后新手引导4
177,GarderobeFashionCountGuide1,时尚度等级1级加特效
178,GarderobeFashionCountGuide2,时尚度等级1级新手引导文本
179,EntityHandBookGuide1,魔物研究等级1级新手引导文本
180,GetAutoDevOpenTip,获得自动喝药道具时，第一次打开了背包并点开自动喝药道具的tips时
181,KnightFirTransferTaskGuide,剑士小试牛刀自动战斗引导
182,WizardFirTransferTaskGuide,法师小试牛刀自动战斗引导
183,PriestFirTransferTaskGuide,服侍小试牛刀自动战斗引导
184,HunterFirTransferTaskGuide,弓手小试牛刀自动战斗引导
185,BlacksmithFirTransferTaskGuide,商人小试牛刀自动战斗引导
186,AssassinFirTransferTaskGuide,盗贼小试牛刀自动战斗引导
187,YuzhuceFirstTask,第一次任务追踪引导
188,AwardGuid,主界面奖励入口引导（针对萌新）
189,TdSingleLimitUp,服务器等级提升后单人天地树每周次数上限增加
190,BattleFieldFirstTimeEnter,首次进入战场等候室的引导
191,BattleFieldGuideHint,首次进入战场说明界面的引导
192,FightCandyUseGuide,战斗加速糖使用后引导
193,FightCandyDesGuide,战斗加速糖使用后进入战斗时间页面引导
194,MercenarySkillGuide,首次进入佣兵技能页面引导
195,PetGetGuide,首次获得宠物蛋后引导
196,PetOpenMainUIGuide,首次打开装备了宠物的宠物界面引导
197,PetOpenEquipUIGuide,首次打开宠物装备界面引导
198,PetOpenSkillUIGuide,首次打开宠物技能界面引导
199,PetOpenAssistUIGuide,首次打开助战设置界面引导
200,MedalGuide01,勋章界面首次打开引导
201,MedalGuide02,勋章引导
202,MedalGuide03,勋章引导
203,MedalGuide04,勋章引导
204,MedalGuide05,勋章引导
205,MercenaryTaskGuide,首次打开佣兵界面任务引导
206,PetSatietyGuide,宠物饱食度引导
207,PetOpenTalentGuide,首次打开宠物资质界面引导
208,PetOpenCultivateGuide,首次打开培养界面引导
209,PetOpenEquipTipsGuide,首次打开装备强化弹窗界面
210,OrnamentGuide1,装备饰品获取引导1-1（左）
211,OrnamentGuide3,装备饰品获取引导3
212,OrnamentGuide4,穿戴饰品引导
213,OrnamentGuide5,装备饰品获取引导1-2（右）
214,PetCultivateGuideStep,宠物培养界面第二步标记
215,GrowUpGuide01,成长贴士引导
