ItemID,ItemName,ReobtainItself,ReobtainRelation,ReobtainCount,ReobtainType
1070012,光环,,,,
1070013,红蝶发带,,,,
1070014,卡普拉发圈,,,,
1070015,丸子头饰,,,,
1070016,波利帽,,,,
1070017,头箍,,,,
1070018,星星发夹,,,,
1070019,花冠,,,,
1070020,厨师帽,,,,
1070021,海盗船长帽,,,,
1070022,懒洋洋的猫,,,,
1070023,公主冠冕,,,,
1070024,普隆德拉军帽,,,,
1070025,菲力卡的头箍,,,,
1070026,紫蝶发带,,,,
1070027,后冠,,,,
1070028,王冠,,,,
1070029,黄金冠冕,,,,
1070030,学生帽,,,,
1070031,蛋壳帽,,,,
1070032,回忆帽,,,,
1070033,黄金帽,,,,
1070034,魔法师帽,,,,
1070035,圣职之帽,,,,
1070036,亡者发箍,,,,
1070037,贝雷帽,,,,
1070038,霹雳雷云,,,,
1070039,竹蜻蜓发圈,,,,
1070040,羽毛帽,,,,
1070041,绅士帽,,,,
1070042,猫耳发圈,,,,
1070043,宝石头盔,,,,
1070044,兽人头盔,,,,
1070045,僵尸帽,,,,
1070046,护士帽,,,,
1070049,领导者头箍,,,,
1070051,触角头饰,,,,
1070052,天使之吻,,,,
1070053,粪便帽,,,,
1070054,兽角头饰,,,,
1070055,印地安发箍,,,,
1070056,海盗头巾,,,,
1070057,蛇饰发箍,,,,
1070058,妖道帽,,,,
1070059,向日葵头饰,,,,
1070060,火线头饰,,,,
1070061,破产之哀,,,,
1070062,牛仔帽,,,,
1070063,魔术师帽,,,,
1070064,狐狸假面,,,,
1070065,小丑帽,,,,
1070066,眼镜头饰,,,,
1070067,小恶魔帽,,,,
1070068,出游帽子,,,,
1070070,巨大的金铃铛,,,,
1070072,首领冠冕,,,,
1070073,变身树叶,,,,
1070074,草帽,,,,
1070075,诗人的帽子,,,,
1070076,猫爪发夹,,,,
1070077,飞鸟普妮的翼饰,,,,
1070078,蓝色卡普拉发圈,,,,
1070079,炸弹头饰,,,,
1070080,爱心泳镜,,,,
1070082,蘑菇头套,,,,
1070083,讨厌的狸猫,,,,
1070084,绵羊帽,,,,
1070085,羽毛贝雷帽,,,,
1070086,月桂树之冠,,,,
1070087,小青蛇帽子,,,,
1070088,兔子耳罩,,,,
1070089,小白兔软帽,,,,
1070090,少女礼帽,,,,
1070091,兔女郎发圈,,,,
1070092,小天使头饰,,,,
1070093,小狗发圈,,,,
1070094,雪花节麋鹿发饰,,,,
1070095,使道帽子,,,,
1070096,魔法兔耳帽子,,,,
1070097,小天使雕像,,,,
1070098,兔子魔法帽,,,,
1070099,鲨鱼帽,,,,
1070100,趴趴疯兔,,,,
1070101,神奇小猫帽子,,,,
1070102,青蛙王子头饰,,,,
1070103,波利圆帽,,,,
1070104,红花女冠,,,,
1070105,罗巾,,,,
1070106,皮帽子,,,,
1070107,兽人英雄的头具,,,,
1070108,月夜猫帽子,,,,
1070109,古代的金饰,,,,
1070110,猫耳贝雷帽,,,,
1070111,瓦尔基里头盔,,,,
1070112,飞空艇船长之帽,,,,
1070113,绵绵卡普拉,,,,
1070114,新娘的花冠,,,,
1070115,波利王头饰,,,,
1070116,进阶勇士之帽,,,,
1070117,金色小天使雕像,,,,
1070118,狮头面具,,,,
1070119,魔物图鉴头饰1阶,,,,
1070120,魔物图鉴头饰2阶,,,,
1070121,魔物图鉴头饰3阶,,,,
1070122,魔物图鉴头饰4阶,,,,
1070123,魔物图鉴头饰5阶,,,,
1070124,糯糯鼠头套,,,,
1070125,软软鼠头套,,,,
1072001,ROO纪念头饰,,,,
1070142,灯泡发圈,,,,
1070143,耳机,,,,
1070144,防风皮革眼镜,,,,
1070145,海棠花发夹,,,,
1070146,蜡烛头饰,,,,
1070147,灵魂光环,,,,
1070148,毛无边帽,,,,
1070149,咪咪帽,,,,
1070150,趴趴狄波萝太,,,,
1070151,上弦月发夹,,,,
1070152,天使波利帽子,,,,
1070153,自娱自乐箱子I,,,,
1070154,自娱自乐箱子II,,,,
1070155,小熊帽,,,,
1070156,音标耳机,,,,
1070157,爱唱歌的小鸟,,,,
1070158,耳罩,,,,
1070159,红蝶丝带,,,,
1070160,铃铛发带,,,,
1070161,派对帽,,,,
1070162,趴趴章鱼,,,,
1070163,圣诞帽,,,,
1070164,神圣的音乐帽子,,,,
1070165,跳跃的小鸡,,,,
1070166,鱼头帽子,,,,
1070167,黑猫耳朵,,,,
1070168,勇士之帽,,,,
1070170,米莉的松饼拼盘,,,,
1070171,纪念棒球帽,,,,
1070172,纪念天使棒球帽,,,,
1070264,赏金猎人帽,,,,
1070265,国王纪念帽,,,,
1070266,蓝波利头饰,,,,
1070253,童真礼结帽,,,,
1070254,童真兔子帽,,,,
1070267,街头艺人帽子,,,,
1070256,西瓜帽,,,,
1090065,小冰棍,,,,
1100025,西瓜汁水枪,,,,
1070257,螃蟹帽子,,,,
1070258,贝壳帽,,,,
1070259,海星头饰,,,,
1070260,鳄鱼头套,,,,
1070261,女王坠饰,,,,
1070262,熔岩头饰,,,,
1070263,水晶原石头盔,,,,
1100026,半龙之翼,,,,
1080088,流氓贴纸,,,,
1070269,猫耳遮阳帽,,,,
1080089,透光潜水镜,,,,
1090067,贝壳嘴饰,,,,
1100027,波利冲浪板,,,,
1100028,鲨鱼冲浪板,,,,
1070271,菠萝耳机,,,,
1080090,菠萝贴纸,,,,
1080097,血色遮光镜,,,,
1090068,菠萝果肉,,,,
1090073,菠萝麦克风,,,,
1100033,菠萝电吉他,,,,
1100034,菠萝饮料瓶,,,,
1070272,1周年甜点皇冠,,,,
1080091,1周年蛋糕眼镜,,,,
1090069,1周年纸杯蛋糕,,,,
1100035,1周年甜甜圈气球,,,,
1100029,西瓜潜水瓶,,,,
1100030,独角兽风筝,,,,
1100031,梦幻星冰乐,,,,
1100032,牛奶盒,,,,
1100036,晴天娃娃,,,,
1100037,城堡蛋糕气球束,,,,
1070273,风车头饰,,,,
1070274,彩虹云朵,,,,
1070275,乌云,,,,
1070276,樱花头饰,,,,
1070277,盛开花朵,,,,
1070278,糖果罐子,,,,
1070279,汽水头饰,,,,
1080092,3D眼镜,,,,
1080093,樱花眼镜,,,,
1080094,法老王贴纸,,,,
1090070,蝴蝶花簇,,,,
1090071,樱花嘴饰,,,,
1070280,圣天使护士帽,,,,
1070281,鬣狗头套,,,,
1070282,趴趴暴焰熊头饰,,,,
1070283,卡浩之角,,,,
1070284,七彩飞龙头饰,,,,
1070285,火焰妖头饰,,,,
1070286,金属波利头饰,,,,
1070287,沙妖头饰,,,,
1100038,阿特罗斯巨刃,,,,
1100039,六翼哈比之翼,,,,
1080095,伊芙利特面具,,,,
1070289,怪物生日帽1,,,,
1070290,怪物生日帽2,,,,
1070293,baby帽,,,,
1100042,周年感恩花束,,,,
1070291,帅气棒球帽,,,,
1070292,运动遮阳帽,,,,
1090074,棒球贴纸,,,,
1100041,棒球棍背饰,,,,
1090082,美味的泡菜蔬菜饼,,,,
1090083,美味的胡萝卜蔬菜饼,,,,
1090084,美味的海鲜蔬菜饼,,,,
1090085,美味的南瓜蔬菜饼,,,,
1090086,美味的鸡蛋蔬菜饼,,,,
1090087,美味的神秘蔬菜饼,,,,
1070296,经典猎鹿帽,,,,
1070297,白色魔力帽,,,,
1090088,蓝天玫瑰,,,,
1080096,凯旋者之怒,,,,
1100040,凯旋者之歌,,,,
1090072,凯旋者之默,,,,
1070288,凯旋者之翼,,,,
1070298,志愿者棒球帽,,,,
1070294,志愿者向日葵头饰,,,,
1080098,志愿者向日葵眼镜,,,,
1090075,志愿者向日葵嘴饰,,,,
1100043,志愿者向日葵背饰,,,,
1070299,无尽之塔王者头饰,,,,
1070300,垂垂兔耳帽,,,,
1080099,星月耳钉,,,,
1090089,月兔饼干,,,,
1100044,月兔气球,,,,
1070303,季风指挥帽,,,,
1070301,季风礼帽,,,,
1070302,血色礼帽,,,,
1090090,血色木偶嘴饰,,,,
1100045,血色提线板,,,,
1070304,铆钉表演帽,,,,
1070305,舞台小礼帽,,,,
1080101,舞台墨镜,,,,
1080102,紫晶眼镜,,,,
1100046,摇滚电吉他,,,,
1100047,摇滚贝斯,,,,
1070307,血红之角,,,,
1100049,诅咒之镰,,,,
1070308,栗子帽,,,,
1070309,松果帽,,,,
1090092,美味的栗子,,,,
1090093,美味的松果,,,,
1100050,猫咪的餐桌礼叉,,,,
1070310,修女头巾,,,,
1100051,蓝十字佩剑,,,,
1100052,蓝纹火铳,,,,
1070311,终结之摩托头盔,,,,
1070312,终结之瓜皮头盔,,,,
1080103,终结之墨镜,,,,
1090094,终结之口罩,,,,
1090095,终结之面巾,,,,
1100053,终结之火箭筒,,,,
1100054,终结之驽,,,,
1070313,红叶头饰,,,,
1080104,红叶耳环,,,,
1100055,红叶之扇,,,,
1070314,火鸡头套（男）,,,,
1070315,火鸡头套（女）,,,,
1080106,火鸡贴纸,,,,
1090096,火鸡嘴饰,,,,
1100056,南瓜背包,,,,
1100057,火鸡棒,,,,
1070316,不可思议的箱子,,,,
1080105,黑翼单眼眼镜,,,,
1090097,带刺面罩,,,,
1100058,天使熊冰波利背包,,,,
1080107,小闪电贴纸,,,,
1080108,单边黑耳环,,,,
1070317,灵光乍现头饰,,,,
1070318,科学护目镜,,,,
1080109,齿轮眼镜,,,,
1080110,时空眼镜,,,,
1100059,机械心,,,,
1100060,时光发条,,,,
1070319,雪人帽,,,,
1070320,橙子保暖帽,,,,
1080111,蝴蝶结球球耳饰,,,,
1080112,玳瑁框眼镜,,,,
1080113,蔚蓝耳环,,,,
1100061,蝴蝶结雪铲,,,,
1100062,蝴蝶结簸箕,,,,
1100063,甜甜圈背包,,,,
1100064,萌萌太阳蛋锅,,,,
1080001,剑士头盔,,,,
1080002,妖精长耳朵饰,,,,
1080003,红晕,,,,
1080004,天使翅膀耳饰,,,,
1080005,红色小发带,,,,
1080010,独眼龙眼罩,,,,
1080011,哥布灵面具,,,,
1080012,哥布灵首领假面,,,,
1080013,太阳眼镜,,,,
1080014,泳镜,,,,
1080015,小丑鼻子,,,,
1080016,OK绷,,,,
1080017,恶魔翅膀耳饰,,,,
1080018,大眼睛眼镜,,,,
1080019,蝴蝶假面,,,,
1080035,爱心太阳眼镜,,,,
1080020,白色眼罩,,,,
1080031,菠萝眼镜,,,,
1080023,创可贴,,,,
1080027,大嘴鸟的翅膀耳饰,,,,
1080028,单眼眼镜,,,,
1080032,金色小恶魔耳饰,,,,
1080030,金丝边眼镜,,,,
1080036,猫耳泳镜,,,,
1080022,猫爪眼罩,,,,
1080025,十字星纹身贴纸,,,,
1080024,亲亲贴纸,,,,
1080037,天使波利眼罩,,,,
1080026,舞会面具,,,,
1080029,西格伦的翅膀,,,,
1080033,小恶魔耳坠,,,,
1080034,小恶魔眼罩,,,,
1080021,眼罩,,,,
1080086,童真眼镜,,,,
1080087,伤口贴,,,,
1090001,花叶,,,,
1090002,烟斗,,,,
1090003,草叶,,,,
1090004,含在嘴里的棒棒糖,,,,
1090005,胡须,,,,
1090006,口罩,,,,
1090007,土司,,,,
1090008,愤怒的嘴,,,,
1090009,金属口罩,,,,
1090010,小孩奶嘴,,,,
1090011,深红玫瑰,,,,
1090012,铁钉口罩,,,,
1090013,叼在嘴里的鱼,,,,
1092001,巴风特 Choco Cookie,,,,
1092002,Poring Star 草莓Cookie,,,,
1090014,嘴咬口香糖,,,,
1090015,西瓜冰棒,,,,
1090016,挂耳式麦克风,,,,
1090017,喵喵口罩,,,,
1090018,小恶魔口罩,,,,
1090019,小熊口罩,,,,
1090020,坏笑口罩,,,,
1090021,红色面罩,,,,
1090022,四叶草,,,,
1090023,刺客口罩,,,,
1090024,小胡子奶嘴,,,,
1090025,海盗匕首,,,,
1090026,喵喵烟斗,,,,
1090028,好吃的草莓松饼,,,,
1090029,好吃的可可松饼,,,,
1090030,好吃的蛋黄松饼,,,,
1090031,好吃的芋泥松饼,,,,
1090032,好吃的桂花松饼,,,,
1090033,好吃的神秘松饼,,,,
1090034,好吃的炸鸡,,,,
1090035,小狗甜甜圈,,,,
1090036,草莓甜甜圈,,,,
1090037,巧克力甜甜圈,,,,
1100001,波利背包,,,,
1100002,小天使之翼,,,,
1100003,狂野尾巴,,,,
1100004,小恶魔之翼,,,,
1100005,蘑菇背包,,,,
1100006,小恶魔背包,,,,
1100007,浣熊波利背包,,,,
1070169,瞌睡兔,,,,
1080038,兔子眼镜,,,,
1090027,兔子烟斗,,,,
1100008,绅士兔背饰,,,,
1100009,温柔兔背饰,,,,
1070173,经典侦探帽,,,,
1070174,猫耳侦探帽,,,,
1080039,侦探眼镜,,,,
1090038,侦探笔,,,,
1090039,含在嘴里的巧克力棒,,,,
1090064,童真冰淇淋,,,,
1100024,童真雨伞,,,,
1100010,时间之翼,,,,
1070175,恶魔角,,,,
1070176,砍刀头饰,,,,
1070177,幽灵头纱,,,,
1070178,医用帽,,,,
1070179,神奇魔法帽,,,,
1070180,死神cos斗篷帽,,,,
1070181,万圣派对南瓜头,,,,
1070182,飞行员头盔,,,,
1070183,猫耳电子耳机,,,,
1080040,邪恶纹面,,,,
1080041,伤疤纹面,,,,
1080042,南瓜眼罩,,,,
1080043,暗夜蝙蝠眼罩,,,,
1080044,黑眼圈纹面,,,,
1080045,飞行员墨镜,,,,
1080046,迷彩贴纸,,,,
1090040,piggy口罩,,,,
1090041,鸭嘴兽,,,,
1090042,单身贵族卡-黑桃,,,,
1090043,单身贵族卡-红心,,,,
1100011,万圣节气球束,,,,
1100012,飞行员背包,,,,
1070188,机甲玩具头盔,,,,
1070193,机械兔子头盔,,,,
1070184,单眼帽,,,,
1070185,蛇饰头具,,,,
1070186,法老王头具,,,,
1070187,小礼帽,,,,
1070189,海军帽子,,,,
1070190,绵绵兔软帽,,,,
1070191,荷叶帽,,,,
1070192,白雪兔耳,,,,
1070194,向日葵发夹,,,,
1070195,心心相印,,,,
1080048,教国面具I,,,,
1080049,教国面具II,,,,
1080050,猫胡须,,,,
1080051,毛绒猫耳朵,,,,
1080052,主编眼镜,,,,
1080053,猫头鹰望远镜,,,,
1080054,小丑面具,,,,
1090044,被咬过的铅笔,,,,
1090045,西瓜勺子,,,,
1090046,爪印勺子,,,,
1090047,小雏菊,,,,
1090048,小鸭子嘴,,,,
1070196,惊奇派对帽子,,,,
1080055,派对纹面,,,,
1090049,小丑嘴,,,,
1070197,太珍儿同款帽子,,,,
1080056,闪亮墨镜,,,,
1070198,克拉丽丝娃娃帽子,,,,
1070199,绣灵娃娃帽子,,,,
1070200,趴趴泰依林,,,,
1070201,趴趴妣妮,,,,
1070202,趴趴德帛硫,,,,
1070203,纪念三层波利帽,,,,
1070204,傀儡娃娃,,,,
1090050,船长烟斗,,,,
1100013,惊奇派对气球束,,,,
1100014,魔法继承者,,,,
1100015,樱花翅膀,,,,
1070205,圣诞波利帽子,,,,
1070206,趴趴小雪人,,,,
1070207,驯鹿发圈,,,,
1070208,圣诞驯鹿绒帽,,,,
1070209,梦游帽子,,,,
1070210,毛帽子,,,,
1070211,艺术家呢绒帽,,,,
1070212,鹗枭魔法帽,,,,
1070213,骸骨头盔,,,,
1070214,骨制头盔,,,,
1070215,插在头上的剑,,,,
1070216,发光恶魔角发圈,,,,
1070217,史汀帽子,,,,
1080057,圣诞眼镜,,,,
1080058,雪人眼镜,,,,
1080059,雪人贴纸,,,,
1080060,雪花贴纸,,,,
1080061,防寒护目镜,,,,
1080062,彩虹护目镜,,,,
1080063,梦游眼罩,,,,
1080064,男爵眼镜,,,,
1080065,深渊面罩,,,,
1080066,傲慢之像,,,,
1080067,学者眼镜,,,,
1080068,无表情的假面,,,,
1080069,吓坏眼的假面,,,,
1080070,讨厌的假面,,,,
1080071,狡猾的面具,,,,
1080072,坏笑的假面,,,,
1080073,假笑的假面,,,,
1080074,奇怪的假面,,,,
1080075,傻笑的假面,,,,
1080076,哥布灵首领假面,,,,
1090051,姜饼人饼干,,,,
1090052,圣诞老人络腮胡,,,,
1090053,冬日保暖口罩,,,,
1090054,吹吹卷,,,,
1090055,吐舌头,,,,
1090056,战俘口罩,,,,
1100016,圣诞礼物袋,,,,
1100017,雪娃娃气球,,,,
1100018,萌猫太空舱,,,,
1100019,骑士盾牌,,,,
1070218,守护者机甲头盔,,,,
1070219,征服者机甲头盔,,,,
1070220,恶魔波利帽子,,,,
1070221,爆米花桶,,,,
1070222,拉面帽子,,,,
1070223,青蛙毛线帽,,,,
1070224,圣火头冠,,,,
1070225,熊猫帽,,,,
1070226,玩具士兵帽子,,,,
1070227,风元素娃娃,,,,
1070228,地元素娃娃,,,,
1070229,水元素娃娃,,,,
1070230,火元素娃娃,,,,
1080077,金钱眼,,,,
1080078,蒙面眼罩,,,,
1070255,酷黑羽毛贝雷帽,,,,
1070268,应援团的头带,,,,
1090066,应援团的哨子,,,,
1010072,应援团的战斗服,,,,
1010073,应援团的战斗服,,,,
1080079,毛绒球耳饰,,,,
1090057,光盘,,,,
1090076,美味的草莓团子,,,,
1090077,美味的可可团子,,,,
1090078,美味的栗子团子,,,,
1090079,美味的橙子团子,,,,
1090080,美味的抹茶团子,,,,
1090081,美味的芝麻团子,,,,
1070295,蓝蓝兔耳发圈,,,,
1100020,小熊布偶背包,,,,
1078001,诗嘉古尔庇佑头饰(男),,,,
1088001,诗嘉古尔庇佑脸饰(男),,,,
1098001,诗嘉古尔庇佑嘴饰(男),,,,
1108001,诗嘉古尔庇佑背饰(男),,,,
1078003,诗嘉古尔庇佑头饰(女),,,,
1088003,诗嘉古尔庇佑脸饰(女),,,,
1098003,诗嘉古尔庇佑嘴饰(女),,,,
1108003,诗嘉古尔庇佑背饰(女),,,,
1018001,诗嘉古尔庇佑时装(男),,,,
1018002,诗嘉古尔庇佑时装(女),,,,
1078002,亚尔薇特祝福头饰(男),,,,
1088002,亚尔薇特祝福脸饰(男),,,,
1098002,亚尔薇特祝福嘴饰(男),,,,
1108002,亚尔薇特祝福背饰(男),,,,
1078004,亚尔薇特祝福头饰(女),,,,
1088004,亚尔薇特祝福脸饰(女),,,,
1098004,亚尔薇特祝福嘴饰(女),,,,
1108004,亚尔薇特祝福背饰(女),,,,
1018003,亚尔薇特祝福时装(男),,,,
1018004,亚尔薇特祝福时装(女),,,,
1078005,时空漫游者头饰（男）,,,,
1088005,时空漫游者脸饰（男）,,,,
1098005,时空漫游者嘴饰（男）,,,,
1108005,时空漫游者背饰（男）,,,,
1078006,时空漫游者头饰（女）,,,,
1088006,时空漫游者脸饰（女）,,,,
1098006,时空漫游者嘴饰（女）,,,,
1108006,时空漫游者背饰（女）,,,,
1018005,时空漫游者时装（男）,,,,
1018006,时空漫游者时装（女）,,,,
1070231,2020至臻绅士帽,,,,
1080080,2020至臻眼镜,,,,
1070232,烟花发箍,,,,
1070233,牛气冲天发饰,,,,
1070234,奶牛玩偶头套,,,,
1080081,福袋耳坠,,,,
1090058,叼在嘴里的福袋,,,,
1090059,花牌,,,,
1090060,烟花棒,,,,
