PackId,GroupContent,GroupWeight,PackType,PackName,AwardValueWeight,Announcement,JobLimit,LevelLimit,ServerLevelLimit,GenderLimit,OpenWorldCond,LuaFunction,RandomItem,RandomMethod,GuarantGroup,Source,PackTabType,PackTabChange,LuckyPointLimit,ExpectValue,BindInfo,NumberInfo,IsCalcLucky
205321,102=1500,1,0,天空套二期第一章奖励3,,0,0,0|-1,,2,,,,,,,,,0,-1,,0=1,
205331,2052002=2,1,0,天空套二期第一章奖励4,,0,0,0|-1,,2,,,,,,,,,0,-1,,0=1,
205341,101=100000,1,0,天空套二期第二章奖励1,,0,0,0|-1,,2,,,,,,,,,0,-1,,0=1,
205351,2063001=50,1,0,天空套二期第二章奖励2,,0,0,0|-1,,2,,,,,,,,,0,-1,,0=1,
205361,102=1500,1,0,天空套二期第二章奖励3,,0,0,0|-1,,2,,,,,,,,,0,-1,,0=1,
205371,2052002=2,1,0,天空套二期第二章奖励4,,0,0,0|-1,,2,,,,,,,,,0,-1,,0=1,
205381,101=100000,1,0,天空套二期第三章奖励1,,0,0,0|-1,,2,,,,,,,,,0,-1,,0=1,
205391,2063001=50,1,0,天空套二期第三章奖励2,,0,0,0|-1,,2,,,,,,,,,0,-1,,0=1,
205401,102=1500,1,0,天空套二期第三章奖励3,,0,0,0|-1,,2,,,,,,,,,0,-1,,0=1,
205411,2052002=2,1,0,天空套二期第三章奖励4,,0,0,0|-1,,2,,,,,,,,,0,-1,,0=1,
205421,101=100000,1,0,天空套二期第四章奖励1,,0,0,0|-1,,2,,,,,,,,,0,-1,,0=1,
205431,2063001=50,1,0,天空套二期第四章奖励2,,0,0,0|-1,,2,,,,,,,,,0,-1,,0=1,
205441,102=1500,1,0,天空套二期第四章奖励3,,0,0,0|-1,,2,,,,,,,,,0,-1,,0=1,
205451,2052002=2|1031305=1|1031307=1,1|1|1,0,天空套二期第四章奖励4,,0,0,0|-1,,1,,,,,,,,,0,-1,,0=1,
205452,2052002=2|1031306=1|1031308=1,1|1|1,0,天空套二期第四章奖励4,,0,0,0|-1,,0,,,,,,,,,0,-1,,0=1,
205461,101=100000,1,0,天空套二期第五章奖励1,,0,0,0|-1,,2,,,,,,,,,0,-1,,0=1,
205471,2063001=50,1,0,天空套二期第五章奖励2,,0,0,0|-1,,2,,,,,,,,,0,-1,,0=1,
205481,102=1500,1,0,天空套二期第五章奖励3,,0,0,0|-1,,2,,,,,,,,,0,-1,,0=1,
205491,1080092=1,1,0,天空套二期第五章奖励4,,0,0,0|-1,,2,,,,,,,,,0,-1,,0=1,
205511,2052100=1,1,0,天空套二期第四章奖励4,,0,0,0|-1,,1,,,,,,,,,0,-1,,0=1,
205512,2052101=1,1,0,天空套二期第四章奖励4,,0,0,0|-1,,0,,,,,,,,,0,-1,,0=1,
1100001,201=3790|202=3032|101=5000|2031003=10|60649999=1|60649998=1,1,0,强制十连扭蛋,,0,0,0|-1,,2,,,,,,,0,,0,-1,,0=1,
1100011,,1,0,韩国615版本主线任务奖励--初心者登记,,0,0,0|-1,,2,,,,,,,0,,0,-1,,0=1,
1100021,201=871|202=697,1,0,韩国615版本主线任务奖励--领取初心者背包,,0,0,0|-1,,2,,,,,,,0,,0,-1,,0=1,
1100031,201=0|202=0,1,0,韩国615版本主线任务奖励--进入学院,,0,0,0|-1,,2,,,,,,,0,,0,-1,,0=1,
1100041,201=900|202=720,1,0,韩国615版本主线任务奖励--了解冒险生活,,0,0,0|-1,,2,,,,,,,0,,0,-1,,0=1,
1100051,201=0|202=0,1,0,韩国615版本主线任务奖励--拜访教授,,0,0,0|-1,,2,,,,,,,0,,0,-1,,0=1,
1100061,201=950|202=760|2010001=10|2010005=10,1,0,韩国615版本主线任务奖励--相机的使用,,0,0,0|-1,,2,,,,,,,0,,0,-1,,0=1,
1100071,201=1240|202=992,1,0,韩国615版本主线任务奖励--前往训练场,,0,0,0|-1,,2,,,,,,,0,,0,-1,,0=1,
1100081,201=0|202=0,1,0,韩国615版本主线任务奖励--基础冒险知识I,,0,0,0|-1,,2,,,,,,,0,,0,-1,,0=1,
1100091,201=1300|202=1040,1,0,韩国615版本主线任务奖励--基础冒险知识,,0,0,0|-1,,2,,,,,,,0,,0,-1,,0=1,
1100101,201=1670|202=1336|2040011=1,1,0,韩国615版本主线任务奖励--实战训练,,0,0,0|-1,,2,,,,,,,0,,0,-1,,0=1,
1100111,201=0|202=0,1,0,韩国615版本主线任务奖励--致敬女武神,,0,0,0|-1,,2,,,,,,,0,,0,-1,,0=1,
1100121,201=2290|202=1832,1,0,韩国615版本主线任务奖励--女武神的考验,,0,0,0|-1,,2,,,,,,,0,,0,-1,,0=1,
1100131,201=0|202=0,1,0,韩国615版本主线任务奖励--结业仪式？,,0,0,0|-1,,2,,,,,,,0,,0,-1,,0=1,
1100141,201=0|202=0,1,0,韩国615版本主线任务奖励--结业仪式准备,,0,0,0|-1,,2,,,,,,,0,,0,-1,,0=1,
1100151,201=2490|202=1992|2090011=1,1,0,韩国615版本主线任务奖励--头饰的魅力,,0,0,0|-1,,2,,,,,,,0,,0,-1,,0=1,
1100161,201=0|202=0,1,0,韩国615版本主线任务奖励--冒险者的衣橱,,0,0,0|-1,,2,,,,,,,0,,0,-1,,0=1,
1100171,201=3790|202=3032|101=5000|2031003=10,1,0,韩国615版本主线任务奖励--终于结业啦,,0,0,0|-1,,2,,,,,,,0,,0,-1,,0=1,
1100181,201=0|202=0,1,0,韩国615版本主线任务奖励--了解职业,,0,0,0|-1,,2,,,,,,,0,,0,-1,,0=1,
1100191,201=0|202=0,1,0,韩国615版本主线任务奖励--选择职业,,0,0,0|-1,,2,,,,,,,0,,0,-1,,0=1,
1100201,201=0|202=0,1,0,韩国615版本主线任务奖励--转职剑士,,0,0,0|-1,,2,,,,,,,0,,0,-1,,0=1,
1100211,201=0|202=0,1,0,韩国615版本主线任务奖励--转职魔法师,,0,0,0|-1,,2,,,,,,,0,,0,-1,,0=1,
1100221,201=0|202=0,1,0,韩国615版本主线任务奖励--转职服事,,0,0,0|-1,,2,,,,,,,0,,0,-1,,0=1,
1100231,201=0|202=0,1,0,韩国615版本主线任务奖励--转职弓箭手,,0,0,0|-1,,2,,,,,,,0,,0,-1,,0=1,
1100241,201=0|202=0,1,0,韩国615版本主线任务奖励--转职盗贼,,0,0,0|-1,,2,,,,,,,0,,0,-1,,0=1,
1100251,201=0|202=0,1,0,韩国615版本主线任务奖励--转职商人,,0,0,0|-1,,2,,,,,,,0,,0,-1,,0=1,
1100261,201=0|202=0|2010001=15|2010005=15|2010012=5,1,0,韩国615版本主线任务奖励--转职剑士,,0,0,0|-1,,2,,,,,,,0,,0,-1,,0=1,
1100271,201=0|202=0|2010001=15|2010005=15|2010012=5,1,0,韩国615版本主线任务奖励--转职魔法师,,0,0,0|-1,,2,,,,,,,0,,0,-1,,0=1,
1100281,201=0|202=0|2010001=15|2010005=15|2010012=5,1,0,韩国615版本主线任务奖励--转职服事,,0,0,0|-1,,2,,,,,,,0,,0,-1,,0=1,
1100291,201=0|202=0|2010001=15|2010005=15|2010012=5,1,0,韩国615版本主线任务奖励--转职弓手,,0,0,0|-1,,2,,,,,,,0,,0,-1,,0=1,
1100301,201=0|202=0|2010001=15|2010005=15|2010012=5,1,0,韩国615版本主线任务奖励--转职盗贼,,0,0,0|-1,,2,,,,,,,0,,0,-1,,0=1,
1100311,201=0|202=0|2010001=15|2010005=15|2010012=5,1,0,韩国615版本主线任务奖励--转职商人,,0,0,0|-1,,2,,,,,,,0,,0,-1,,0=1,
1100321,201=812|202=0,1,0,韩国615版本主线任务奖励--信念烙印,,0,0,0|-1,,2,,,,,,,0,,0,-1,,0=1,
1100331,201=0|202=0,1,0,韩国615版本主线任务奖励--贯彻信念烙印,,0,0,0|-1,,2,,,,,,,0,,0,-1,,0=1,
1100341,201=812|202=0,1,0,韩国615版本主线任务奖励--花钱办事|给你们500铜，不要打扰卡普拉了,,0,0,0|-1,,2,,,,,,,0,,0,-1,,0=1,
1100351,201=812|202=0,1,0,韩国615版本主线任务奖励--骚扰卡普拉|敢骚扰卡普拉，想试试准剑士的拳头吗,,0,0,0|-1,,2,,,,,,,0,,0,-1,,0=1,
1100361,201=542|202=0,1,0,韩国615版本主线任务奖励--耐性烙印,,0,0,0|-1,,2,,,,,,,0,,0,-1,,0=1,
1100371,201=1083|202=0,1,0,韩国615版本主线任务奖励--实力烙印,,0,0,0|-1,,2,,,,,,,0,,0,-1,,0=1,
1100381,201=1624|202=974|7000001=1|101=5000,1,0,韩国615版本主线任务奖励--剑士的意志,,0,0,0|-1,,2,,,,,,,0,,0,-1,,0=1,
1100391,201=383|202=4169,1,0,韩国615版本主线任务奖励--职业等级,,0,0,0|-1,,2,,,,,,,0,,0,-1,,0=1,
1100401,201=383|202=307,1,0,韩国615版本主线任务奖励--学习技能,,0,0,0|-1,,2,,,,,,,0,,0,-1,,0=1,
1100411,201=1532|202=1226|2090009=1,1,0,韩国615版本主线任务奖励--学习素质加点,,0,0,0|-1,,2,,,,,,,0,,0,-1,,0=1,
1100421,201=1532|202=1226,1,0,韩国615版本主线任务奖励--试炼前的准备,,0,0,0|-1,,2,,,,,,,0,,0,-1,,0=1,
1100431,201=766|202=613|2031002=5,1,0,韩国615版本主线任务奖励--小试牛刀,,0,0,0|-1,,2,,,,,,,0,,0,-1,,0=1,
1100441,201=766|202=613|101=10000,1,0,韩国615版本主线任务奖励--踏上旅途,,0,0,0|-1,,2,,,,,,,0,,0,-1,,0=1,
1100451,201=3268|202=2615|21000002=1|2010001=20|2010005=20,1,0,韩国615版本主线任务奖励--前往普隆德拉,,0,0,0|-1,,2,,,,,,,0,,0,-1,,0=1,
1100461,201=975|202=0,1,0,韩国615版本主线任务奖励--念力注入,,0,0,0|-1,,2,,,,,,,0,,0,-1,,0=1,
1100471,201=488|202=0,1,0,韩国615版本主线任务奖励--元素亲和,,0,0,0|-1,,2,,,,,,,0,,0,-1,,0=1,
1100481,201=0|202=0,1,0,韩国615版本主线任务奖励--元素亲和,,0,0,0|-1,,2,,,,,,,0,,0,-1,,0=1,
1100491,201=1462|202=0,1,0,韩国615版本主线任务奖励--好斗的火精灵,,0,0,0|-1,,2,,,,,,,0,,0,-1,,0=1,
1100501,201=488|202=0,1,0,韩国615版本主线任务奖励--元素归位,,0,0,0|-1,,2,,,,,,,0,,0,-1,,0=1,
1100511,201=1462|202=0,1,0,韩国615版本主线任务奖励--活泼的风精灵,,0,0,0|-1,,2,,,,,,,0,,0,-1,,0=1,
1100521,201=488|202=0,1,0,韩国615版本主线任务奖励--元素归位,,0,0,0|-1,,2,,,,,,,0,,0,-1,,0=1,
1100531,201=1462|202=0,1,0,韩国615版本主线任务奖励--温柔的水精灵,,0,0,0|-1,,2,,,,,,,0,,0,-1,,0=1,
1100541,201=488|202=0,1,0,韩国615版本主线任务奖励--元素归位,,0,0,0|-1,,2,,,,,,,0,,0,-1,,0=1,
1100551,201=1462|202=0,1,0,韩国615版本主线任务奖励--憨厚的地精灵,,0,0,0|-1,,2,,,,,,,0,,0,-1,,0=1,
1100561,201=488|202=0,1,0,韩国615版本主线任务奖励--元素归位,,0,0,0|-1,,2,,,,,,,0,,0,-1,,0=1,
1100571,201=1462|202=974|10000001=1|101=5000,1,0,韩国615版本主线任务奖励--元素仪式,,0,0,0|-1,,2,,,,,,,0,,0,-1,,0=1,
1100581,201=316|202=4169,1,0,韩国615版本主线任务奖励--学习技能加点,,0,0,0|-1,,2,,,,,,,0,,0,-1,,0=1,
1100591,201=947|202=757,1,0,韩国615版本主线任务奖励--学习技能,,0,0,0|-1,,2,,,,,,,0,,0,-1,,0=1,
1100601,201=1262|202=1010|2090009=1,1,0,韩国615版本主线任务奖励--学习素质加点,,0,0,0|-1,,2,,,,,,,0,,0,-1,,0=1,
1100611,201=947|202=757,1,0,韩国615版本主线任务奖励--试炼前的准备,,0,0,0|-1,,2,,,,,,,0,,0,-1,,0=1,
1100621,201=631|202=505|2031002=5,1,0,韩国615版本主线任务奖励--小试牛刀,,0,0,0|-1,,2,,,,,,,0,,0,-1,,0=1,
1100631,201=1262|202=1010|101=10000,1,0,韩国615版本主线任务奖励--踏上旅途,,0,0,0|-1,,2,,,,,,,0,,0,-1,,0=1,
1100641,201=574|202=0,,0,韩国615版本主线任务奖励--进入圣的领域,,0,0,0|-1,,2,,,,,,,0,,0,-1,,0=1,
1100651,201=0|202=0,1,0,韩国615版本主线任务奖励--超度亡灵,,0,0,0|-1,,2,,,,,,,0,,0,-1,,0=1,
1100661,201=574|202=0,1,0,韩国615版本主线任务奖励--圣职的工作,,0,0,0|-1,,2,,,,,,,0,,0,-1,,0=1,
1100671,201=0|202=0,1,0,韩国615版本主线任务奖励--驱魔之力,,0,0,0|-1,,2,,,,,,,0,,0,-1,,0=1,
1100681,201=1720|202=0,1,0,韩国615版本主线任务奖励--蛊惑人心的夸赛魔,,0,0,0|-1,,2,,,,,,,0,,0,-1,,0=1,
1100691,201=1720|202=0,1,0,韩国615版本主线任务奖励--愚钝的巴洛魔,,0,0,0|-1,,2,,,,,,,0,,0,-1,,0=1,
1100701,201=1720|202=0,1,0,韩国615版本主线任务奖励--贪婪的原魔,,0,0,0|-1,,2,,,,,,,0,,0,-1,,0=1,
1100711,201=860|202=0,1,0,韩国615版本主线任务奖励--进入暗的领域,,0,0,0|-1,,2,,,,,,,0,,0,-1,,0=1,
1100721,201=1147|202=974|10000001=1|101=5000,1,0,韩国615版本主线任务奖励--神的代理人,,0,0,0|-1,,2,,,,,,,0,,0,-1,,0=1,
1100731,201=336|202=4169,1,0,韩国615版本主线任务奖励--学习技能加点,,0,0,0|-1,,2,,,,,,,0,,0,-1,,0=1,
1100741,201=1006|202=805,1,0,韩国615版本主线任务奖励--学习技能,,0,0,0|-1,,2,,,,,,,0,,0,-1,,0=1,
1100751,201=1006|202=805|2090009=1,1,0,韩国615版本主线任务奖励--学习素质加点,,0,0,0|-1,,2,,,,,,,0,,0,-1,,0=1,
1100761,201=1006|202=805,1,0,韩国615版本主线任务奖励--试炼前的准备,,0,0,0|-1,,2,,,,,,,0,,0,-1,,0=1,
1100771,201=1006|202=805|2031002=5,1,0,韩国615版本主线任务奖励--小试牛刀,,0,0,0|-1,,2,,,,,,,0,,0,-1,,0=1,
1100781,201=1006|202=805|101=10000,1,0,韩国615版本主线任务奖励--踏上旅途,,0,0,0|-1,,2,,,,,,,0,,0,-1,,0=1,
1100791,201=3268|202=2615|21000002=1|2010001=20|2010005=20,1,0,韩国615版本主线任务奖励--前往普隆德拉,,0,0,0|-1,,2,,,,,,,0,,0,-1,,0=1,
1100801,201=886|202=0,1,0,韩国615版本主线任务奖励--弓箭手的守则,,0,0,0|-1,,2,,,,,,,0,,0,-1,,0=1,
1100811,201=0|202=0,1,0,韩国615版本主线任务奖励--敏捷和灵巧,,0,0,0|-1,,2,,,,,,,0,,0,-1,,0=1,
1100821,201=886|202=0,1,0,韩国615版本主线任务奖励--敏捷弓手试炼,,0,0,0|-1,,2,,,,,,,0,,0,-1,,0=1,
1100831,201=0|202=0,1,0,韩国615版本主线任务奖励--心神凝聚,,0,0,0|-1,,2,,,,,,,0,,0,-1,,0=1,
1100841,201=0|202=0,1,0,韩国615版本主线任务奖励--教训狸猫|教训这只鬼鬼祟祟的狸猫,,0,0,0|-1,,2,,,,,,,0,,0,-1,,0=1,
1100851,201=0|202=0,1,0,韩国615版本主线任务奖励--宽恕狸猫|小动物这么萌，还是放过它,,0,0,0|-1,,2,,,,,,,0,,0,-1,,0=1,
1100861,201=886|202=0,1,0,韩国615版本主线任务奖励--灵巧弓手试炼,,0,0,0|-1,,2,,,,,,,0,,0,-1,,0=1,
1100871,201=1772|202=0|9000001=1|101=5000,1,0,韩国615版本主线任务奖励--精英弓手试炼,,0,0,0|-1,,2,,,,,,,0,,0,-1,,0=1,
1100881,201=1329|202=974,1,0,韩国615版本主线任务奖励--弓箭的鸣响,,0,0,0|-1,,2,,,,,,,0,,0,-1,,0=1,
1100891,201=316|202=4169,1,0,韩国615版本主线任务奖励--学习技能加点,,0,0,0|-1,,2,,,,,,,0,,0,-1,,0=1,
1100901,201=947|202=757,1,0,韩国615版本主线任务奖励--学习素质加点,,0,0,0|-1,,2,,,,,,,0,,0,-1,,0=1,
1100911,201=947|202=757|2090009=1,1,0,韩国615版本主线任务奖励--准备试炼,,0,0,0|-1,,2,,,,,,,0,,0,-1,,0=1,
1100921,201=947|202=757,1,0,韩国615版本主线任务奖励--小试牛刀,,0,0,0|-1,,2,,,,,,,0,,0,-1,,0=1,
1100931,201=1262|202=1010|2031002=5,1,0,韩国615版本主线任务奖励--学习技能,,0,0,0|-1,,2,,,,,,,0,,0,-1,,0=1,
1100941,201=947|202=757|101=10000,1,0,韩国615版本主线任务奖励--踏上旅途,,0,0,0|-1,,2,,,,,,,0,,0,-1,,0=1,
1100951,201=812|202=0,1,0,韩国615版本主线任务奖励--盗贼总部,,0,0,0|-1,,2,,,,,,,0,,0,-1,,0=1,
1100961,201=0|202=0,1,0,韩国615版本主线任务奖励--情报收集,,0,0,0|-1,,2,,,,,,,0,,0,-1,,0=1,
1100971,201=0|202=0,1,0,韩国615版本主线任务奖励--接头时刻,,0,0,0|-1,,2,,,,,,,0,,0,-1,,0=1,
1100981,201=1218|202=0,1,0,韩国615版本主线任务奖励--对暗号|暗号：一切都是混沌的旨意,,0,0,0|-1,,2,,,,,,,0,,0,-1,,0=1,
1100991,201=1218|202=0,1,0,韩国615版本主线任务奖励--对暗号|暗号：让死者安眠不醒,,0,0,0|-1,,2,,,,,,,0,,0,-1,,0=1,
1101001,201=0|202=0,1,0,韩国615版本主线任务奖励--艰难的抉择,,0,0,0|-1,,2,,,,,,,0,,0,-1,,0=1,
1101011,201=1218|202=0,1,0,韩国615版本主线任务奖励--打开盒子|打开盒子，偷偷打开看一下也没关系吧……,,0,0,0|-1,,2,,,,,,,0,,0,-1,,0=1,
1101021,201=1218|202=0,1,0,韩国615版本主线任务奖励--不打开盒子|不能打开，导师叮嘱过千万不能打开盒子,,0,0,0|-1,,2,,,,,,,0,,0,-1,,0=1,
1101031,201=1624|202=974|5000001=1|101=5000,1,0,韩国615版本主线任务奖励--一点运气……,,0,0,0|-1,,2,,,,,,,0,,0,-1,,0=1,
1101041,201=316|202=4169,1,0,韩国615版本主线任务奖励--学习技能加点,,0,0,0|-1,,2,,,,,,,0,,0,-1,,0=1,
1101051,201=947|202=757,1,0,韩国615版本主线任务奖励--学习技能,,0,0,0|-1,,2,,,,,,,0,,0,-1,,0=1,
1101061,201=947|202=757|2090009=1,1,0,韩国615版本主线任务奖励--学习素质加点,,0,0,0|-1,,2,,,,,,,0,,0,-1,,0=1,
1101071,201=947|202=757,1,0,韩国615版本主线任务奖励--准备试炼,,0,0,0|-1,,2,,,,,,,0,,0,-1,,0=1,
1101081,201=1262|202=1010|2031002=5,1,0,韩国615版本主线任务奖励--小试牛刀,,0,0,0|-1,,2,,,,,,,0,,0,-1,,0=1,
1101091,201=947|202=757|101=10000,1,0,韩国615版本主线任务奖励--踏上旅途,,0,0,0|-1,,2,,,,,,,0,,0,-1,,0=1,
1101101,201=1329|202=0,1,0,韩国615版本主线任务奖励--入会文书,,0,0,0|-1,,2,,,,,,,0,,0,-1,,0=1,
1101111,201=0|202=0,1,0,韩国615版本主线任务奖励--经营之道,,0,0,0|-1,,2,,,,,,,0,,0,-1,,0=1,
1101121,201=0|202=0,1,0,韩国615版本主线任务奖励--销售蓝色药水|小贵但稀有，可恢复MP的蓝色药水,,0,0,0|-1,,2,,,,,,,0,,0,-1,,0=1,
1101131,201=0|202=0,1,0,韩国615版本主线任务奖励--销售红色药水|薄利多销，可恢复HP的红色药水,,0,0,0|-1,,2,,,,,,,0,,0,-1,,0=1,
1101141,201=0|202=0,1,0,韩国615版本主线任务奖励--尝试手推车,,0,0,0|-1,,2,,,,,,,0,,0,-1,,0=1,
1101151,201=1772|202=0,1,0,韩国615版本主线任务奖励--提取货物,,0,0,0|-1,,2,,,,,,,0,,0,-1,,0=1,
1101161,201=1772|202=974|12000001=1|101=5000,1,0,韩国615版本主线任务奖励--最终试炼,,0,0,0|-1,,2,,,,,,,0,,0,-1,,0=1,
1101171,201=316|202=4169,1,0,韩国615版本主线任务奖励--技能加点,,0,0,0|-1,,2,,,,,,,0,,0,-1,,0=1,
1101181,201=947|202=757,1,0,韩国615版本主线任务奖励--迅速变强？！,,0,0,0|-1,,2,,,,,,,0,,0,-1,,0=1,
1101191,201=0|202=0,1,0,韩国615版本主线任务奖励--,,0,0,0|-1,,2,,,,,,,0,,0,-1,,0=1,
1101201,201=947|202=757|2090009=1,1,0,韩国615版本主线任务奖励--再次尝试,,0,0,0|-1,,2,,,,,,,0,,0,-1,,0=1,
1101211,201=947|202=757,1,0,韩国615版本主线任务奖励--小试牛刀,,0,0,0|-1,,2,,,,,,,0,,0,-1,,0=1,
1101221,201=1262|202=1010|2031002=10,1,0,韩国615版本主线任务奖励--学习技能,,0,0,0|-1,,2,,,,,,,0,,0,-1,,0=1,
1101231,201=947|202=757|101=10000,1,0,韩国615版本主线任务奖励--踏上旅途,,0,0,0|-1,,2,,,,,,,0,,0,-1,,0=1,
1101241,201=3268|202=2615|21000002=1|2010001=20|2010005=20,1,0,韩国615版本主线任务奖励--前往普隆德拉,,0,0,0|-1,,2,,,,,,,0,,0,-1,,0=1,
1101251,201=2179|202=1743|23000002=1,1,0,韩国615版本主线任务奖励--女刺客露克希,,0,0,0|-1,,2,,,,,,,0,,0,-1,,0=1,
1101261,201=0|202=0,1,0,韩国615版本主线任务奖励--坎坷的开端,,0,0,0|-1,,2,,,,,,,0,,0,-1,,0=1,
1101271,201=0|202=0,1,0,韩国615版本主线任务奖励--骑士古娜,,0,0,0|-1,,2,,,,,,,0,,0,-1,,0=1,
1101281,201=2179|202=1743,1,0,韩国615版本主线任务奖励--骑士团的歉意,,0,0,0|-1,,2,,,,,,,0,,0,-1,,0=1,
1101291,201=0|202=0,1,0,韩国615版本主线任务奖励--飞往教堂,,0,0,0|-1,,2,,,,,,,0,,0,-1,,0=1,
1101301,201=5447|202=4357|22000002=1,1,0,韩国615版本主线任务奖励--教堂的规矩,,0,0,0|-1,,2,,,,,,,0,,0,-1,,0=1,
1101311,201=2179|202=1743,1,0,韩国615版本主线任务奖励--调查计划,,0,0,0|-1,,2,,,,,,,0,,0,-1,,0=1,
1101321,201=4357|202=3486|2091030=1|2010001=20|2010005=20,1,0,日本增量-韩国615版本主线任务奖励--公正之剑,,0,0,0|-1,,2,,,,,,,0,,0,-1,,0=1,
1101331,201=0|202=0,1,0,韩国615版本主线任务奖励--黑夜红莲,,0,0,0|-1,,2,,,,,,,0,,0,-1,,0=1,
1101341,201=2179|202=1743|1290015=10|1290014=10|101=20000,1,0,韩国615版本主线任务奖励--冒险者试炼,,0,0,0|-1,,2,,,,,,,0,,0,-1,,0=1,
1101351,201=0|202=0,1,0,韩国615版本主线任务奖励--学习锻造,,0,0,0|-1,,2,,,,,,,0,,0,-1,,0=1,
1101361,201=4357|202=3486|101=10000|2010012=1,1,0,韩国615版本主线任务奖励--魔物风波,,0,0,0|-1,,2,,,,,,,0,,0,-1,,0=1,
1101371,201=29518|202=23614,1,0,韩国615版本主线任务奖励--火场调查报告,,0,0,0|-1,,2,,,,,,,0,,0,-1,,0=1,
1101381,201=0|202=0,1,0,韩国615版本主线任务奖励--城中暗杀者,,0,0,0|-1,,2,,,,,,,0,,0,-1,,0=1,
1101391,201=29518|202=23614,1,0,韩国615版本主线任务奖励--真假死亡报告,,0,0,0|-1,,2,,,,,,,0,,0,-1,,0=1,
1101401,201=39357|202=31485|101=8000|2010001=20|2010005=20,1,0,日本增量-韩国615版本主线任务奖励--超度仪式,,0,0,0|-1,,2,,,,,,,0,,0,-1,,0=1,
1101411,201=0|202=0,1,0,韩国615版本主线任务奖励--火场废墟,,0,0,0|-1,,2,,,,,,,0,,0,-1,,0=1,
1101421,201=39357|202=31485|101=10000|3054001=1,1,0,韩国615版本主线任务奖励--灵魂碎片,,0,0,0|-1,,2,,,,,,,0,,0,-1,,0=1,
1101431,201=19679|202=15743,1,0,韩国615版本主线任务奖励--修复碎片,,0,0,0|-1,,2,,,,,,,0,,0,-1,,0=1,
1101441,201=39357|202=31485|101=10000|2090019=1,1,0,韩国615版本主线任务奖励--新的线索,,0,0,0|-1,,2,,,,,,,0,,0,-1,,0=1,
