ID,,MgrName,CheckMethodName,OpenSystemID,LevelCheck,TimeCheck,CheckMethodType
384,回归招募单个玩家完成所有任务奖励,ReturnRecruitMgr,CheckReturnerAwardRedSign,12004,,,
385,回归招募任务奖励领取,ReturnRecruitMgr,CheckMyTaskRedSign,12004,,,
1101,通行证红点,PassCheckMgr,CheckRedSignMethod,15000,,,
1103,通行证每日任务,PassCheckTaskMgr,RedSignDaily,15000,,,
1104,通行证赛季任务,PassCheckTaskMgr,RedSignSeason,15000,,,
1105,通行证特别任务,PassCheckTaskMgr,RedSignSpecial,15000,,,
227,经验加成红点,SakuraTrustMgr,EnTrustRedSignCheck,,,,
400,手册-剧情图鉴-解锁奖励,IllustrationStoryMgr,HasAvailableAward,77777,,,
390,附魔行动,EnchantActivityMgr,CheckRedSign,16100,,,
391,精炼行动,RefineActivityMgr,CheckRedSign,17100,,,
230,贤者福利界面页签小红点,RedSignMgr,ChecknewProfessionRedPoint,1911,,,
231,十字军福利界面页签小红点,RedSignMgr,ChecknewProfessionRedPoint,1912,,,
232,炼金术师福利界面页签小红点,RedSignMgr,ChecknewProfessionRedPoint,1913,,,
234,诗人舞娘福利界面页签小红点,RedSignMgr,ChecknewProfessionRedPoint,1914,,,
237,武僧福利界面页签小红点,RedSignMgr,ChecknewProfessionRedPoint,1915,,,
235,赫尔海姆竞速,FestivalHaimuMgr,CheckHaiMuHasRedPoint,12011,,,
214,首次获得饭票,SpringFestivalDishesMgr,CheckDishRedSign,14015,,,
215,收集奖励可领取,SpringFestivalDishesMgr,CheckRewardRedSign,14015,,,
236,生活职业解锁红点,LifeProfessionMgr,CheckRedSign,6000,,,
500,时空模拟战任务红点,LocalServerRankMainMgr,CheckRedSignMethod,12101,,,
510,战队申请列表红点,CombatTeamMgr,CheckApplyList,12108,,,
511,战队消息,CombatTeamMgr,CheckTeamNews,12108,,,
513,战队消息跨服活动,CombatTeamMgr,CheckTeamNews,12108,,,
520,是否加入战队,CombatTeamMgr,CheckInTeam,12108,,,
601,碎片奖励,MemoryPiecesMgr,CheckMemoryPicesRedSign,3610,,,
602,积分奖励按钮,MemoryPiecesMgr,CheckMemoryPicesRewardRedSign,3610,,,
603,普通任务,MemoryPiecesMgr,CheckMemoryPicesTaskRedSign,3610,,,
604,挑战任务,MemoryPiecesMgr,CheckMemoryPicesChallengeRedSign,3610,,,
404,测试监控报错数量红点,GM.LogReceivedMgr,GetErrorMessageCountInTotal,,,,
50,卡片图鉴合成红点,IllustrationCardMgr,CardCombineRedSignCheck,11415,,,
199,十连抽扭蛋,GachaMgr,CheckGachaRedDot,199,,,
1300,掷骰子活动页签,DiceRollMgr,CheckDiceTabRedSign,11880,,,
1301,掷骰子任务红点,DiceRollMgr,CheckDiceTaskRedSign,11880,,,
1302,掷骰子骰子数红点,DiceRollMgr,CheckDiceNumRedSign,11880,,,
1991,扭蛋限时奖池1开启红点,GachaMgr,CheckGachaRedDot,199,,,
1992,扭蛋限时奖池2开启红点,GachaMgr,CheckGachaRedDot,199,,,
901,特权签到,PaidSignInMgr,CheckRedSign,15030,,,
902,特权签到-一键,PaidSignInMgr,CheckRedSign,15030,,,
233,集字活动,CollectCharacterMgr,CharacterCollectCheckRedSign,11882,,,
1993,扭蛋限时奖池3开启红点,GachaMgr,CheckGachaRedDot,199,,,
1994,扭蛋限时奖池4开启红点,GachaMgr,CheckGachaRedDot,199,,,
1995,扭蛋限时奖池5开启红点,GachaMgr,CheckGachaRedDot,199,,,
1996,扭蛋限时奖池6开启红点,GachaMgr,CheckGachaRedDot,199,,,
1997,扭蛋限时奖池7开启红点,GachaMgr,CheckGachaRedDot,199,,,
1998,扭蛋限时奖池7开启红点,GachaMgr,CheckGachaRedDot,199,,,
1999,扭蛋限时奖池7开启红点,GachaMgr,CheckGachaRedDot,199,,,
2000,扭蛋限时奖池7开启红点,GachaMgr,CheckGachaRedDot,199,,,
2001,扭蛋限时奖池7开启红点,GachaMgr,CheckGachaRedDot,199,,,
2002,十月外观扭蛋1开启红点,GachaMgr,CheckGachaRedDot,199,,,
2003,十月外观扭蛋2开启红点,GachaMgr,CheckGachaRedDot,199,,,
2004,十月外观扭蛋3开启红点,GachaMgr,CheckGachaRedDot,199,,,
2005,十月外观扭蛋4开启红点,GachaMgr,CheckGachaRedDot,199,,,
2006,十一月外观扭蛋1开启红点,GachaMgr,CheckGachaRedDot,199,,,
2007,十一月外观扭蛋2开启红点,GachaMgr,CheckGachaRedDot,199,,,
2008,十一月外观扭蛋3开启红点,GachaMgr,CheckGachaRedDot,199,,,
2009,十一月外观扭蛋4开启红点,GachaMgr,CheckGachaRedDot,199,,,
2010,十一月外观扭蛋5开启红点,GachaMgr,CheckGachaRedDot,199,,,
2011,十二月外观扭蛋1开启红点,GachaMgr,CheckGachaRedDot,199,,,
2012,十二月外观扭蛋2开启红点,GachaMgr,CheckGachaRedDot,199,,,
2050,北美开服扭蛋I开启红点,GachaMgr,CheckGachaRedDot,199,,,
2051,北美开服扭蛋II开启红点,GachaMgr,CheckGachaRedDot,199,,,
119,付费首充礼包常驻特效显示,GiftPackageMgr,CheckShowEffectFirstRedSign,11220,,,
241,卡片树小红点,MidAutumnDrawMgr,CheckFreeDrawTimeRedSign,29900,,,
4000,周年庆周年回顾,AnniversaryJamMgr,CheckAnniversaryJamRedDot,30000,,,
263,喵果返利,MiaoRechargeAwardMgr,IsRedPointShow,10838,,,
800,5V5竞猜我的竞猜,Champion5v5WagerMgr,CheckWager,,,,
801,5V5竞猜未竞猜,Champion5v5WagerMgr,CheckMyWager,,,,
288,邪能入侵,FestivalFelInvasionMgr,FelInvasionCheckRedSign,3602,,,
1401,天空套活动,LegendActMgr,CheckRedPoint,17006,,,
1402,天空套活动,LegendActMgr,CheckRedPoint,17006,,,
700,累计在线领奖-左边页签红点,CumulativeOnlineMgr,CheckRedSignMethod,18100,,,
1200,勋章升级,MedalMgr,CheckCanLvUp,115,,,
2100,限时活动发生时,DailyTaskMgr,TimeLimitRedCheck,17200,,,
2101,活跃度领奖,DailyTaskMgr,CheckRedSignMethod2,109,,,
2500,公会城主房间,GuildMgr,CheckGuildRoomRedSignMethod,15209,,,
100,成长贴士,RoleNurturanceMgr,CheckRecommendNormal,170,,,
101,成长贴士(特殊),RoleNurturanceMgr,CheckRecommendSpecial,170,,,
2200,热销,HotSaleMgr,CheckRedSignMethod,21000,,,
2203,3日节日签到,FifteenDaysSignMgr,CheckRedSign,16030,,,
2205,5日节日签到,FifteenDaysSignMgr,CheckRedSign,16031,,,
2207,7日节日签到,FifteenDaysSignMgr,CheckRedSign,16032,,,
