ID,ItemID,,ServerLevelLimit,ExpectValue,
120,2091065,德古拉男爵参与礼包,0=999,681.12,ItemFunction表
121,2091066,月夜猫参与礼包,0=999,681.12,ItemFunction表
122,2091067,法老王参与礼包,0=999,681.12,ItemFunction表
123,60601510,小型莫拉硬币包,0=999,20000,ItemFunction表
124,60600060,90级增强礼包,0=999,90600,ItemFunction表
125,2091070,兽人酋长参与礼包,0=999,684.32,ItemFunction表
126,60610140,血迹树枝礼包,0=999,2000,ItemFunction表
127,60610060,技能重置棒礼包,0=999,10000,ItemFunction表
128,60610180,小白兔软帽礼包,0=999,0,ItemFunction表
129,60610130,仓库扩建券礼包,0=999,7500,ItemFunction表
130,60610150,咪咪帽礼包,0=999,0,ItemFunction表
131,60610160,小熊帽礼包,0=999,0,ItemFunction表
132,60610080,头饰礼包,0=999,0,ItemFunction表
133,60610170,鲨鱼头礼包,0=999,0,ItemFunction表
134,2091068,恶魔波利参与礼包,0=999,745.92,ItemFunction表
135,60610200,妖精长耳朵饰礼包,0=999,0,ItemFunction表
136,2091071,蜂后参与礼包,0=999,684.32,ItemFunction表
137,2090042,中型元气补充袋,0=999,3000,ItemFunction表
138,60610230,玩偶服礼包,0=999,0,ItemFunction表
139,60600030,60级增强礼包,0=999,62400,ItemFunction表
140,60610050,素质轮回石礼包,0=999,10000,ItemFunction表
141,60600040,70级增强礼包,0=999,53500,ItemFunction表
142,60601120,中型铝包,0=999,40000,ItemFunction表
143,2091075,死灵参与礼包,0=999,681.12,ItemFunction表
144,60610030,血迹树枝礼包,0=999,2000,ItemFunction表
145,60600020,50级增强礼包,0=999,35300,ItemFunction表
146,60601310,小型浓缩神金包,0=999,50000,ItemFunction表
147,60610020,幸运打宝糖礼包,0=999,0,ItemFunction表
148,60610010,战斗加速糖礼包,0=999,0,ItemFunction表
149,60601520,中型莫拉硬币包,0=999,40000,ItemFunction表
150,2040015,测试付费宝箱,0=999,2000,ItemFunction表
151,60601420,中型浓缩铝包,0=999,100000,ItemFunction表
152,60601410,小型浓缩铝包,0=999,50000,ItemFunction表
153,60601320,中型浓缩神金包,0=999,100000,ItemFunction表
154,60610190,小青蛇帽子礼包,0=999,0,ItemFunction表
155,60601020,中型神之金属包,0=999,40000,ItemFunction表
156,60601220,中型声望箱礼包,0=999,20400,ItemFunction表
157,60601210,小型声望箱礼包,0=999,10200,ItemFunction表
158,60601110,小型铝包,0=999,20000,ItemFunction表
159,60610240,idol礼包,0=999,0,ItemFunction表
160,2091042,重置箱子,0=999,20000,ItemFunction表
161,2091045,卡普拉爱心发圈礼包,0=999,0,ItemFunction表
162,60610220,金色小恶魔耳饰礼包,0=999,0,ItemFunction表
163,2091038,力量箱子,0=999,1000,ItemFunction表
164,60610110,中型元气补充袋礼包,0=999,3000,ItemFunction表
165,60610120,健身房会员券礼包,0=999,5000,ItemFunction表
166,2091076,巴风特参与礼包,0=999,681.12,ItemFunction表
167,2010001,红色药水,0=999,1.5,商店道具
168,2010002,赤色药水,0=999,6,商店道具
169,2010003,白色药水,0=999,15,商店道具
170,2010005,蓝色药水,0=999,5,商店道具
171,2010015,高级蓝色药水,0=999,20,商店道具
172,3024001,初级秘籍,0=999,400,商店道具
173,3024002,高级秘籍,0=999,2000,商店道具
174,3027001,佣兵初级古卷,0=999,40,商店道具
175,3027002,佣兵中级古卷,0=999,200,商店道具
176,3027003,佣兵高级古卷,0=999,1000,商店道具
177,2010014,万能药,0=999,100,商店道具
178,2031002,蝴蝶翅膀,0=999,5,商店道具
179,2031003,苍蝇翅膀,0=999,1,商店道具
180,2010012,马牌,0=999,100,商店道具
181,2020004,圣水,0=999,2,商店道具
182,2022001,陷阱道具,0=999,2,商店道具
183,2020002,蓝色魔力矿石,0=999,8,商店道具
184,2020001,红色魔力矿石,0=999,8,商店道具
185,2010009,集中药水,0=999,1500,商店道具
186,2031004,天地树叶子,0=999,500,商店道具
187,2021002,钢铁箭矢,0=999,149.8,商店道具
188,2021003,火箭矢,0=999,299.8,商店道具
189,2021004,水灵箭矢,0=999,299.8,商店道具
190,2021005,银箭矢,0=999,299.8,商店道具
191,3040010,铁,0=999,50,商店道具
192,3040012,煤炭,0=999,15,商店道具
193,3040005,火灵原石,0=999,100,商店道具
194,3040006,水灵原石,0=999,100,商店道具
195,3040007,土灵原石,0=999,100,商店道具
196,3040008,风灵原石,0=999,100,商店道具
197,2035003,沉重的铁块,0=999,100,商店道具
198,2060001,白色染料,0=999,1000,商店道具
199,2060002,黑色染料,0=999,2500,商店道具
200,2060003,红色染料,0=999,1000,商店道具
201,2060004,黄色染料,0=999,1000,商店道具
202,2060005,蓝色染料,0=999,1000,商店道具
203,2060006,绿色染料,0=999,1000,商店道具
204,2060007,紫色染料,0=999,1500,商店道具
205,2060008,赤色染料,0=999,1000,商店道具
206,2023001,素质轮回石,0=999,10000,商店道具
207,2023002,技能重置棒,0=999,10000,商店道具
208,2040001,华丽金属,0=999,10000,商店道具
209,2032002,仓库扩建券,0=999,7500,商店道具
210,2032003,健身房会员券,0=999,5000,商店道具
211,3050006,自动钓鱼书,0=999,500,商店道具
212,3050010,自动采摘书,0=999,500,商店道具
213,3050011,自动挖矿书,0=999,500,商店道具
214,3051004,岩蟹,0=999,200,商店道具
215,3051007,鱿鱼,0=999,200,商店道具
216,3051201,谷物,0=999,200,商店道具
217,3051103,幻想花,0=999,200,商店道具
218,2010016,轻盈集中药水,0=999,200,商店道具
219,3051006,金枪鱼,0=999,200,商店道具
220,3051008,鲜虾,0=999,200,商店道具
221,3051009,海苔,0=999,200,商店道具
222,3051010,蛤蜊,0=999,200,商店道具
223,3051104,养身药草,0=999,200,商店道具
224,3051202,食用蘑菇,0=999,200,商店道具
225,3051205,迷迭香,0=999,200,商店道具
226,3051206,稻谷,0=999,200,商店道具
227,3051207,稞麦,0=999,200,商店道具
228,4010010,海葵卡片,0=999,150000,拍卖
229,4010046,邪骸矿工卡片,0=999,150000,拍卖
230,4010030,邪骸士兵卡片,0=999,120000,拍卖
231,4010029,邪骸弓箭手卡片,0=999,120000,拍卖
232,4010017,哥布灵首领卡片,0=999,150000,拍卖
233,4010025,弓箭哥布灵卡片,0=999,120000,拍卖
234,4010027,直升机哥布灵卡片,0=999,120000,拍卖
235,4010026,喷射哥布灵卡片,0=999,120000,拍卖
236,4010028,沙漠之狼卡片,0=999,150000,拍卖
237,4010040,米洛斯卡片,0=999,150000,拍卖
238,4010031,黑蛇卡片,0=999,120000,拍卖
239,4010056,犬妖弓箭手卡片,0=999,120000,拍卖
240,4010057,犬妖首领卡片,0=999,120000,拍卖
241,4020003,达拉蛙卡片,0=999,150000,拍卖
242,4020010,锹形虫卡片,0=999,150000,拍卖
243,4030013,马克卡片,0=999,120000,拍卖
244,4030020,异变鱼卡片,0=999,120000,拍卖
245,4030015,泥人卡片,0=999,120000,拍卖
246,4030021,土人卡片,0=999,120000,拍卖
247,4030012,艾吉欧蜈蚣卡片,0=999,120000,拍卖
248,4030016,帕莎纳卡片,0=999,120000,拍卖
249,4040017,兽人婴儿卡片,0=999,120000,拍卖
250,4040021,九尾狐卡片,0=999,120000,拍卖
251,4050010,狂暴月夜猫卡片,0=999,120000,拍卖
252,4060016,剑鱼卡片,0=999,120000,拍卖
253,4070005,基尔瑟卡片,0=999,120000,拍卖
254,4070013,梦魇卡片,0=999,120000,拍卖
255,4070002,小恶魔卡片,0=999,120000,拍卖
256,4070008,马尔杜克卡片,0=999,120000,拍卖
257,4070006,狂暴蚁后卡片,0=999,120000,拍卖
258,4040014,波利之王卡片,0=999,120000,拍卖
259,4030006,幽灵波利卡片,0=999,150000,拍卖
260,4040015,蝗虫之王卡片,0=999,120000,拍卖
261,4040016,蛙王卡片,0=999,120000,拍卖
262,4040009,龙蝇卡片,0=999,120000,拍卖
263,4010054,暗黑祭司卡片,0=999,120000,拍卖
264,5010011,封印的海盗之王卡片,0=999,200000,拍卖
265,5010037,封印的皮里恩卡片,0=999,200000,拍卖
266,5010053,封印的德古拉伯爵卡片,0=999,200000,拍卖
267,5010058,封印的死灵卡片,0=999,200000,拍卖
268,5010018,封印的巴风特卡片,0=999,200000,拍卖
269,5020002,封印的黄金虫卡片,0=999,200000,拍卖
270,5020004,封印的蚁后卡片,0=999,200000,拍卖
271,5030007,封印的天使波利卡片,0=999,200000,拍卖
272,5030019,封印的兽人酋长卡片,0=999,200000,拍卖
273,5040003,封印的恶魔波利卡片,0=999,200000,拍卖
274,5050009,封印的虎王卡片,0=999,200000,拍卖
275,5050011,封印的月夜猫卡片,0=999,200000,拍卖
276,5060019,封印的俄塞里斯卡片,0=999,200000,拍卖
277,5070007,封印的蜂后卡片,0=999,200000,拍卖
278,5070009,封印的法老王卡片,0=999,200000,拍卖
279,5070012,封印的兽人英雄卡片,0=999,200000,拍卖
280,4020017,蜗牛王卡片,0=999,120000,拍卖
281,4010060,君主魔碑卡片,0=999,120000,拍卖
282,4050013,地狱梦魇卡片,0=999,120000,拍卖
283,4010061,远古海神卡片,0=999,120000,拍卖
284,2091033,公会,0=999,2000,公会
285,2091034,公会,0=999,1000,公会
286,2091035,公会,0=999,900,公会
287,3026006,小声望箱子,0=999,255,挖宝
288,3026005,声望箱子,0=999,1020,ItemFunction表
289,2091109,死灵参与礼包,0=999,636.69,ItemFunction表
290,2091099,德古拉男爵参与礼包,0=999,636.69,ItemFunction表
291,2091107,皮里恩参与礼包,0=999,639.49,ItemFunction表
292,2091112,魔力晶石袋子,0=999,6000,ItemFunction表
293,2091101,法老王参与礼包,0=999,636.69,ItemFunction表
294,2091110,巴风特参与礼包,0=999,636.69,ItemFunction表
295,2091085,恶魔波利参与礼包,0=999,798.45,ItemFunction表
296,2090099,MVP参与礼包测试低级,0=999,500,ItemFunction表
297,2091102,恶魔波利参与礼包,0=999,693.39,ItemFunction表
298,2091078,黄金虫参与礼包,0=999,798.45,ItemFunction表
299,2091104,兽人酋长参与礼包,0=999,639.49,ItemFunction表
300,2091088,蜂后参与礼包,0=999,729.15,ItemFunction表
301,2091083,月夜猫参与礼包,0=999,725.55,ItemFunction表
302,2091098,海盗之王参与礼包,0=999,639.49,ItemFunction表
303,2091097,哥布灵首领参与礼包,0=999,639.49,ItemFunction表
304,2091086,兽人英雄参与礼包,0=999,729.15,ItemFunction表
305,2091095,黄金虫参与礼包,0=999,693.39,ItemFunction表
306,2091092,死灵参与礼包,0=999,725.55,ItemFunction表
307,2091100,月夜猫参与礼包,0=999,636.69,ItemFunction表
308,2091090,皮里恩参与礼包,0=999,729.15,ItemFunction表
309,2091115,彩虹粉末礼包,0=999,5000,ItemFunction表
310,2091081,海盗之王参与礼包,0=999,729.15,ItemFunction表
311,2091105,蜂后参与礼包,0=999,639.49,ItemFunction表
312,2091089,俄塞里斯参与礼包,0=999,729.15,ItemFunction表
313,2091108,虎王参与礼包,0=999,639.49,ItemFunction表
314,2090098,MVP参与礼包测试中级,0=999,0,ItemFunction表
315,2091113,魔力晶石礼包,0=999,18000,ItemFunction表
316,2091103,兽人英雄参与礼包,0=999,639.49,ItemFunction表
317,2091106,俄塞里斯参与礼包,0=999,639.49,ItemFunction表
318,2091096,蚁后参与礼包,0=999,639.49,ItemFunction表
319,2091050,药水礼包,0=999,695,ItemFunction表
320,2091093,巴风特参与礼包,0=999,725.55,ItemFunction表
321,2091079,蚁后参与礼包,0=999,729.15,ItemFunction表
322,2091077,天使波利参与礼包,0=999,798.45,ItemFunction表
323,2091084,法老王参与礼包,0=999,725.55,ItemFunction表
324,2091080,哥布灵首领参与礼包,0=999,729.15,ItemFunction表
325,2090097,MVP参与礼包测试高级,0=999,0,ItemFunction表
326,2091111,卡片转蛋,0=999,22000,ItemFunction表
327,2091091,虎王参与礼包,0=999,729.15,ItemFunction表
328,2091082,德古拉男爵参与礼包,0=999,725.55,ItemFunction表
329,2091114,金色粉末礼包,0=999,2000,ItemFunction表
330,2091094,天使波利参与礼包,0=999,693.39,ItemFunction表
331,2091087,兽人酋长参与礼包,0=999,729.15,ItemFunction表
332,60600070,40级增强礼包,0=999,15900,ItemFunction表
333,60600080,50级增强礼包,0=999,35300,ItemFunction表
334,60600090,60级增强礼包,0=999,62400,ItemFunction表
335,60600100,70级增强礼包,0=999,65500,ItemFunction表
336,60600110,80级增强礼包,0=999,125100,ItemFunction表
337,60600120,90级增强礼包,0=999,105600,ItemFunction表
338,1170002,天使发圈图纸,0=999,80000,拍卖
339,1170003,黄金帽图纸,0=999,80000,拍卖
340,1170022,兽人英雄的头具图纸,0=999,80000,拍卖
341,1170005,恶魔发圈图纸,0=999,80000,拍卖
342,1170027,领导者头箍图纸,0=999,80000,拍卖
343,1170013,后冠图纸,0=999,80000,拍卖
344,1190002,愤怒的嘴图纸,0=999,80000,拍卖
345,1170012,黄金冠冕图纸,0=999,80000,拍卖
346,1170007,海盗船长帽图纸,0=999,80000,拍卖
347,1170019,王冠图纸,0=999,80000,拍卖
348,1200047,狮头面具图纸,0=999,80000,拍卖
349,1200012,学生帽图纸,0=999,80000,拍卖
350,1170024,菲力卡的头箍图纸,0=999,80000,拍卖
351,1200051,古代的金饰图纸,0=999,80000,拍卖
352,1200052,月夜猫帽子图纸,0=999,80000,拍卖
353,1170031,山羊头盔图纸,0=999,80000,拍卖
354,1170028,首领冠冕图纸,0=999,80000,拍卖
355,1200045,海盗匕首图纸,0=999,80000,拍卖
356,1190004,烟斗图纸,0=999,80000,拍卖
357,2091119,染料随机袋子,0=999,1031,ItemFunction表
358,60660010,高级齿轮扭蛋,0=999,0,ItemFunction表
359,7501000,月卡特权礼包,0=999,2000,ItemFunction表
360,7505000,月卡特权贵宾卡礼包,0=999,0,ItemFunction表
361,61600020,初伏礼包预览礼包,0=999,57500,ItemFunction表
362,61600000,伏日礼包预览礼包,0=999,22000,ItemFunction表
363,61600030,初伏礼包,0=999,57500,ItemFunction表
364,7504000,月卡特权礼包,0=999,2000,ItemFunction表
365,7503000,月卡特权贵宾卡礼包,0=999,0,ItemFunction表
366,60650030,小天使之翼扭蛋,0=999,2035,ItemFunction表
367,60650020,小恶魔之翼扭蛋,0=999,2035,ItemFunction表
368,60650010,瓦尔基里头盔扭蛋,0=999,2035,ItemFunction表
369,60650000,小恶魔时装扭蛋,0=999,2035,ItemFunction表
370,61600010,伏日礼包,0=999,22000,ItemFunction表
371,2093001,花草随机包,0=999,100,ItemFunction表
372,60660000,初级齿轮扭蛋,0=999,0,ItemFunction表
373,1200059,绵绵卡普拉图纸,0=999,80000,拍卖
374,2034003,头饰水晶,0=999,300,不流通&有真实价值量
375,2063001,金色粉末,0=999,40,不流通&有真实价值量
376,2063002,彩虹粉末,0=999,100,不流通&有真实价值量
377,2033001,枯树枝,0=999,1000,不流通&有真实价值量
378,40000010,魔力晶石,0=999,30,不流通&有真实价值量
379,62700030,喵喵储蓄罐Ⅲ型预览礼包,0=999,18000,ItemFunction表
380,62701060,喵喵储蓄罐Ⅵ型,0=999,0,ItemFunction表
381,62700060,喵喵储蓄罐Ⅵ型预览礼包,0=999,0,ItemFunction表
382,62701050,喵喵储蓄罐Ⅴ型,0=999,0,ItemFunction表
383,62700050,喵喵储蓄罐Ⅴ型预览礼包,0=999,0,ItemFunction表
384,62701070,喵喵储蓄罐Ⅶ型,0=999,0,ItemFunction表
385,62700070,喵喵储蓄罐Ⅶ型预览礼包,0=999,0,ItemFunction表
386,2091200,大型铜币袋子,0=999,10000,ItemFunction表
387,62701020,喵喵储蓄罐Ⅱ型,0=999,0,ItemFunction表
388,62700020,喵喵储蓄罐Ⅱ型预览礼包,0=999,0,ItemFunction表
389,62600000,卡普拉会员礼盒预览礼包,0=999,122000,ItemFunction表
390,62600010,卡普拉会员礼盒,0=999,12200,ItemFunction表
391,62701010,喵喵储蓄罐Ⅰ型,0=999,5700,ItemFunction表
392,62700010,喵喵储蓄罐Ⅰ型预览礼包,0=999,5700,ItemFunction表
393,62701040,喵喵储蓄罐Ⅳ型,0=999,22000,ItemFunction表
394,62700040,喵喵储蓄罐Ⅳ型预览礼包,0=999,24000,ItemFunction表
395,2091201,超级铜币宝箱,0=999,20000,ItemFunction表
396,62701030,喵喵储蓄罐Ⅲ型,0=999,18000,ItemFunction表
397,801,盐桩碎片,0=999,1.5,货币
