BeginDay,DungeonLevel,DungeonPara_Normal,DungeonPara_Hard,DungeonPara_Single,WeaponLv,ArmourLv,CloakLv,ShoesLv,OrnamentLv,OffHandLv
开服天数[int],副本等级节点[int],副本难度系数_普通[float],副本难度系数_挑战[float],副本难度系数_单人[float],武器装备等级=武器精炼等级,盔甲装备等级=盔甲精炼等级,披风装备等级=披风精炼等级,鞋子装备等级=鞋子精炼等级,饰品装备等级=饰品精炼等级,副手装备等级=副手精炼等级
15,53,1,1,1,50=5|50=7|50=5,50=4|50=7|50=4,50=4|50=7|50=4,50=4|50=7|50=4,50=5|50=7|50=5,50=4|50=7|50=4
16,53,1,1,1,50=5|50=7|50=5,50=4|50=7|50=4,50=4|50=7|50=4,50=4|50=7|50=4,50=5|50=7|50=5,50=4|50=7|50=4
17,53,1,1,1,50=5|50=7|50=5,50=4|50=7|50=4,50=4|50=7|50=4,50=4|50=7|50=4,50=5|50=7|50=5,50=4|50=7|50=4
18,53,1,1,1,50=5|50=7|50=5,50=4|50=7|50=4,50=4|50=7|50=4,50=4|50=7|50=4,50=5|50=7|50=5,50=4|50=7|50=4
19,60,1,1,1,60=6|60=8|60=6,60=5|60=8|60=5,60=5|60=8|60=5,60=5|60=8|60=5,60=6|60=8|60=6,60=5|60=8|60=5
20,60,1,1,1,60=6|60=8|60=6,60=5|60=8|60=5,60=5|60=8|60=5,60=5|60=8|60=5,60=6|60=8|60=6,60=5|60=8|60=5
21,60,1,1,1,60=6|60=8|60=6,60=5|60=8|60=5,60=5|60=8|60=5,60=5|60=8|60=5,60=6|60=8|60=6,60=5|60=8|60=5
22,60,1,1,1,60=6|60=8|60=6,60=5|60=8|60=5,60=5|60=8|60=5,60=5|60=8|60=5,60=6|60=8|60=6,60=5|60=8|60=5
23,60,1,1,1,60=6|60=8|60=6,60=5|60=8|60=5,60=5|60=8|60=5,60=5|60=8|60=5,60=6|60=8|60=6,60=5|60=8|60=5
24,60,1,1,1,60=6|60=8|60=6,60=5|60=8|60=5,60=5|60=8|60=5,60=5|60=8|60=5,60=6|60=8|60=6,60=5|60=8|60=5
25,60,1,1,1,60=6|60=8|60=6,60=5|60=8|60=5,60=5|60=8|60=5,60=5|60=8|60=5,60=6|60=8|60=6,60=5|60=8|60=5
26,67,1,1,1,60=6|60=8|60=6,60=5|60=8|60=5,60=5|60=8|60=5,60=5|60=8|60=5,60=6|60=8|60=6,60=5|60=8|60=5
27,67,1,1,1,60=6|60=8|60=6,60=5|60=8|60=5,60=5|60=8|60=5,60=5|60=8|60=5,60=6|60=8|60=6,60=5|60=8|60=5
28,67,1,1,1,60=6|60=8|60=6,60=5|60=8|60=5,60=5|60=8|60=5,60=5|60=8|60=5,60=6|60=8|60=6,60=5|60=8|60=5
29,67,1,1,1,70=7|70=9|70=7,70=6|70=9|70=6,70=6|70=9|70=6,70=6|70=9|70=6,70=7|70=9|70=7,70=6|70=9|70=6
30,67,1,1,1,70=7|70=9|70=7,70=6|70=9|70=6,70=6|70=9|70=6,70=6|70=9|70=6,70=7|70=9|70=7,70=6|70=9|70=6
31,67,1,1,1,70=7|70=9|70=7,70=6|70=9|70=6,70=6|70=9|70=6,70=6|70=9|70=6,70=7|70=9|70=7,70=6|70=9|70=6
32,67,1,1,1,70=7|70=9|70=7,70=6|70=9|70=6,70=6|70=9|70=6,70=6|70=9|70=6,70=7|70=9|70=7,70=6|70=9|70=6
33,71,1,1,1,70=7|70=9|70=7,70=6|70=9|70=6,70=6|70=9|70=6,70=6|70=9|70=6,70=7|70=9|70=7,70=6|70=9|70=6
34,71,1,1,1,70=7|70=9|70=7,70=6|70=9|70=6,70=6|70=9|70=6,70=6|70=9|70=6,70=7|70=9|70=7,70=6|70=9|70=6
35,71,1,1,1,70=7|70=9|70=7,70=6|70=9|70=6,70=6|70=9|70=6,70=6|70=9|70=6,70=7|70=9|70=7,70=6|70=9|70=6
36,71,1,1,1,70=7|70=9|70=7,70=6|70=9|70=6,70=6|70=9|70=6,70=6|70=9|70=6,70=7|70=9|70=7,70=6|70=9|70=6
37,71,1,1,1,70=7|70=9|70=7,70=6|70=9|70=6,70=6|70=9|70=6,70=6|70=9|70=6,70=7|70=9|70=7,70=6|70=9|70=6
38,71,1,1,1,70=7|70=9|70=7,70=6|70=9|70=6,70=6|70=9|70=6,70=6|70=9|70=6,70=7|70=9|70=7,70=6|70=9|70=6
39,71,1,1,1,70=7|70=9|70=7,70=6|70=9|70=6,70=6|70=9|70=6,70=6|70=9|70=6,70=7|70=9|70=7,70=6|70=9|70=6
40,74,1,1,1,70=7|70=9|70=7,70=6|70=9|70=6,70=6|70=9|70=6,70=6|70=9|70=6,70=7|70=9|70=7,70=6|70=9|70=6
41,74,1,1,1,70=7|70=9|70=7,70=6|70=9|70=6,70=6|70=9|70=6,70=6|70=9|70=6,70=7|70=9|70=7,70=6|70=9|70=6
42,74,1,1,1,70=7|70=9|70=7,70=6|70=9|70=6,70=6|70=9|70=6,70=6|70=9|70=6,70=7|70=9|70=7,70=6|70=9|70=6
43,74,1,1,1,70=7|70=9|70=7,70=6|70=9|70=6,70=6|70=9|70=6,70=6|70=9|70=6,70=7|70=9|70=7,70=6|70=9|70=6
44,74,1,1,1,70=7|70=9|70=7,70=6|70=9|70=6,70=6|70=9|70=6,70=6|70=9|70=6,70=7|70=9|70=7,70=6|70=9|70=6
45,74,1,1,1,70=7|70=9|70=7,70=6|70=9|70=6,70=6|70=9|70=6,70=6|70=9|70=6,70=7|70=9|70=7,70=6|70=9|70=6
46,74,1,1,1,70=7|70=9|70=7,70=6|70=9|70=6,70=6|70=9|70=6,70=6|70=9|70=6,70=7|70=9|70=7,70=6|70=9|70=6
47,76,1,1,1,70=7|70=9|70=7,70=6|70=9|70=6,70=6|70=9|70=6,70=6|70=9|70=6,70=7|70=9|70=7,70=6|70=9|70=6
48,76,1,1,1,70=7|70=9|70=7,70=6|70=9|70=6,70=6|70=9|70=6,70=6|70=9|70=6,70=7|70=9|70=7,70=6|70=9|70=6
49,76,1,1,1,70=7|70=9|70=7,70=6|70=9|70=6,70=6|70=9|70=6,70=6|70=9|70=6,70=7|70=9|70=7,70=6|70=9|70=6
50,76,1,1,1,70=7|70=9|70=7,70=6|70=9|70=6,70=6|70=9|70=6,70=6|70=9|70=6,70=7|70=9|70=7,70=6|70=9|70=6
51,76,1,1,1,70=7|70=9|70=7,70=6|70=9|70=6,70=6|70=9|70=6,70=6|70=9|70=6,70=7|70=9|70=7,70=6|70=9|70=6
52,76,1,1,1,70=7|70=9|70=7,70=6|70=9|70=6,70=6|70=9|70=6,70=6|70=9|70=6,70=7|70=9|70=7,70=6|70=9|70=6
53,76,1,1,1,70=7|70=9|70=7,70=6|70=9|70=6,70=6|70=9|70=6,70=6|70=9|70=6,70=7|70=9|70=7,70=6|70=9|70=6
54,77,1,1,1,70=7|70=9|70=7,70=6|70=9|70=6,70=6|70=9|70=6,70=6|70=9|70=6,70=7|70=9|70=7,70=6|70=9|70=6
55,77,1,1,1,70=7|70=9|70=7,70=6|70=9|70=6,70=6|70=9|70=6,70=6|70=9|70=6,70=7|70=9|70=7,70=6|70=9|70=6
56,77,1,1,1,70=7|70=9|70=7,70=6|70=9|70=6,70=6|70=9|70=6,70=6|70=9|70=6,70=7|70=9|70=7,70=6|70=9|70=6
57,77,1,1,1,70=7|70=9|70=7,70=6|70=9|70=6,70=6|70=9|70=6,70=6|70=9|70=6,70=7|70=9|70=7,70=6|70=9|70=6
58,77,1,1,1,70=7|70=9|70=7,70=6|70=9|70=6,70=6|70=9|70=6,70=6|70=9|70=6,70=7|70=9|70=7,70=6|70=9|70=6
59,77,1,1,1,70=7|70=9|70=7,70=6|70=9|70=6,70=6|70=9|70=6,70=6|70=9|70=6,70=7|70=9|70=7,70=6|70=9|70=6
60,77,1,1,1,70=7|70=9|70=7,70=6|70=9|70=6,70=6|70=9|70=6,70=6|70=9|70=6,70=7|70=9|70=7,70=6|70=9|70=6
61,79,1,1,1,70=7|70=9|70=7,70=6|70=9|70=6,70=6|70=9|70=6,70=6|70=9|70=6,70=7|70=9|70=7,70=6|70=9|70=6
62,79,1,1,1,70=7|70=9|70=7,70=6|70=9|70=6,70=6|70=9|70=6,70=6|70=9|70=6,70=7|70=9|70=7,70=6|70=9|70=6
63,79,1,1,1,70=7|70=9|70=7,70=6|70=9|70=6,70=6|70=9|70=6,70=6|70=9|70=6,70=7|70=9|70=7,70=6|70=9|70=6
64,80,1,1,1,80=8|80=10|80=8,80=7|80=10|80=7,80=7|80=10|80=7,80=7|80=10|80=7,80=8|80=10|80=8,80=7|80=10|80=7
65,80,1,1,1,80=8|80=10|80=8,80=7|80=10|80=7,80=7|80=10|80=7,80=7|80=10|80=7,80=8|80=10|80=8,80=7|80=10|80=7
66,80,1,1,1,80=8|80=10|80=8,80=7|80=10|80=7,80=7|80=10|80=7,80=7|80=10|80=7,80=8|80=10|80=8,80=7|80=10|80=7
67,80,1,1,1,80=8|80=10|80=8,80=7|80=10|80=7,80=7|80=10|80=7,80=7|80=10|80=7,80=8|80=10|80=8,80=7|80=10|80=7
68,80,1,1,1,80=8|80=10|80=8,80=7|80=10|80=7,80=7|80=10|80=7,80=7|80=10|80=7,80=8|80=10|80=8,80=7|80=10|80=7
69,80,1,1,1,80=8|80=10|80=8,80=7|80=10|80=7,80=7|80=10|80=7,80=7|80=10|80=7,80=8|80=10|80=8,80=7|80=10|80=7
70,80,1,1,1,80=8|80=10|80=8,80=7|80=10|80=7,80=7|80=10|80=7,80=7|80=10|80=7,80=8|80=10|80=8,80=7|80=10|80=7
71,80,1,1,1,80=8|80=10|80=8,80=7|80=10|80=7,80=7|80=10|80=7,80=7|80=10|80=7,80=8|80=10|80=8,80=7|80=10|80=7
72,80,1,1,1,80=8|80=10|80=8,80=7|80=10|80=7,80=7|80=10|80=7,80=7|80=10|80=7,80=8|80=10|80=8,80=7|80=10|80=7
73,80,1,1,1,80=8|80=10|80=8,80=7|80=10|80=7,80=7|80=10|80=7,80=7|80=10|80=7,80=8|80=10|80=8,80=7|80=10|80=7
74,80,1,1,1,80=8|80=10|80=8,80=7|80=10|80=7,80=7|80=10|80=7,80=7|80=10|80=7,80=8|80=10|80=8,80=7|80=10|80=7
75,80,1,1,1,80=8|80=10|80=8,80=7|80=10|80=7,80=7|80=10|80=7,80=7|80=10|80=7,80=8|80=10|80=8,80=7|80=10|80=7
76,80,1,1,1,80=8|80=10|80=8,80=7|80=10|80=7,80=7|80=10|80=7,80=7|80=10|80=7,80=8|80=10|80=8,80=7|80=10|80=7
77,80,1,1,1,80=8|80=10|80=8,80=7|80=10|80=7,80=7|80=10|80=7,80=7|80=10|80=7,80=8|80=10|80=8,80=7|80=10|80=7
78,80,1,1,1,80=8|80=10|80=8,80=7|80=10|80=7,80=7|80=10|80=7,80=7|80=10|80=7,80=8|80=10|80=8,80=7|80=10|80=7
79,80,1,1,1,80=8|80=10|80=8,80=7|80=10|80=7,80=7|80=10|80=7,80=7|80=10|80=7,80=8|80=10|80=8,80=7|80=10|80=7
80,80,1,1,1,80=8|80=10|80=8,80=7|80=10|80=7,80=7|80=10|80=7,80=7|80=10|80=7,80=8|80=10|80=8,80=7|80=10|80=7
81,80,1,1,1,80=8|80=10|80=8,80=7|80=10|80=7,80=7|80=10|80=7,80=7|80=10|80=7,80=8|80=10|80=8,80=7|80=10|80=7
82,80,1,1,1,80=8|80=10|80=8,80=7|80=10|80=7,80=7|80=10|80=7,80=7|80=10|80=7,80=8|80=10|80=8,80=7|80=10|80=7
83,80,1,1,1,80=8|80=10|80=8,80=7|80=10|80=7,80=7|80=10|80=7,80=7|80=10|80=7,80=8|80=10|80=8,80=7|80=10|80=7
84,81,1,1,1,80=8|80=10|80=8,80=7|80=10|80=7,80=7|80=10|80=7,80=7|80=10|80=7,80=8|80=10|80=8,80=7|80=10|80=7
85,81,1,1,1,80=8|80=10|80=8,80=7|80=10|80=7,80=7|80=10|80=7,80=7|80=10|80=7,80=8|80=10|80=8,80=7|80=10|80=7
86,81,1,1,1,80=8|80=10|80=8,80=7|80=10|80=7,80=7|80=10|80=7,80=7|80=10|80=7,80=8|80=10|80=8,80=7|80=10|80=7
87,81,1,1,1,80=8|80=10|80=8,80=7|80=10|80=7,80=7|80=10|80=7,80=7|80=10|80=7,80=8|80=10|80=8,80=7|80=10|80=7
88,81,1,1,1,80=8|80=10|80=8,80=7|80=10|80=7,80=7|80=10|80=7,80=7|80=10|80=7,80=8|80=10|80=8,80=7|80=10|80=7
89,81,1,1,1,80=8|80=10|80=8,80=7|80=10|80=7,80=7|80=10|80=7,80=7|80=10|80=7,80=8|80=10|80=8,80=7|80=10|80=7
90,81,1,1,1,80=8|80=10|80=8,80=7|80=10|80=7,80=7|80=10|80=7,80=7|80=10|80=7,80=8|80=10|80=8,80=7|80=10|80=7
91,82,1,1,1,80=8|80=10|80=8,80=7|80=10|80=7,80=7|80=10|80=7,80=7|80=10|80=7,80=8|80=10|80=8,80=7|80=10|80=7
92,82,1,1,1,80=8|80=10|80=8,80=7|80=10|80=7,80=7|80=10|80=7,80=7|80=10|80=7,80=8|80=10|80=8,80=7|80=10|80=7
93,82,1,1,1,80=8|80=10|80=8,80=7|80=10|80=7,80=7|80=10|80=7,80=7|80=10|80=7,80=8|80=10|80=8,80=7|80=10|80=7
94,82,1,1,1,80=8|80=10|80=8,80=7|80=10|80=7,80=7|80=10|80=7,80=7|80=10|80=7,80=8|80=10|80=8,80=7|80=10|80=7
95,82,1,1,1,80=8|80=10|80=8,80=7|80=10|80=7,80=7|80=10|80=7,80=7|80=10|80=7,80=8|80=10|80=8,80=7|80=10|80=7
96,82,1,1,1,80=8|80=10|80=8,80=7|80=10|80=7,80=7|80=10|80=7,80=7|80=10|80=7,80=8|80=10|80=8,80=7|80=10|80=7
97,82,1,1,1,80=8|80=10|80=8,80=7|80=10|80=7,80=7|80=10|80=7,80=7|80=10|80=7,80=8|80=10|80=8,80=7|80=10|80=7
98,83,1,1,1,80=8|80=10|80=8,80=7|80=10|80=7,80=7|80=10|80=7,80=7|80=10|80=7,80=8|80=10|80=8,80=7|80=10|80=7
99,83,1,1,1,80=8|80=10|80=8,80=7|80=10|80=7,80=7|80=10|80=7,80=7|80=10|80=7,80=8|80=10|80=8,80=7|80=10|80=7
100,83,1,1,1,80=8|80=10|80=8,80=7|80=10|80=7,80=7|80=10|80=7,80=7|80=10|80=7,80=8|80=10|80=8,80=7|80=10|80=7
101,83,1,1,1,80=8|80=10|80=8,80=7|80=10|80=7,80=7|80=10|80=7,80=7|80=10|80=7,80=8|80=10|80=8,80=7|80=10|80=7
102,83,1,1,1,80=8|80=10|80=8,80=7|80=10|80=7,80=7|80=10|80=7,80=7|80=10|80=7,80=8|80=10|80=8,80=7|80=10|80=7
103,83,1,1,1,80=8|80=10|80=8,80=7|80=10|80=7,80=7|80=10|80=7,80=7|80=10|80=7,80=8|80=10|80=8,80=7|80=10|80=7
104,83,1,1,1,80=8|80=10|80=8,80=7|80=10|80=7,80=7|80=10|80=7,80=7|80=10|80=7,80=8|80=10|80=8,80=7|80=10|80=7
105,84,1,1,1,80=8|80=10|80=8,80=7|80=10|80=7,80=7|80=10|80=7,80=7|80=10|80=7,80=8|80=10|80=8,80=7|80=10|80=7
106,84,1,1,1,80=8|80=10|80=8,80=7|80=10|80=7,80=7|80=10|80=7,80=7|80=10|80=7,80=8|80=10|80=8,80=7|80=10|80=7
107,84,1,1,1,80=8|80=10|80=8,80=7|80=10|80=7,80=7|80=10|80=7,80=7|80=10|80=7,80=8|80=10|80=8,80=7|80=10|80=7
108,84,1,1,1,80=8|80=10|80=8,80=7|80=10|80=7,80=7|80=10|80=7,80=7|80=10|80=7,80=8|80=10|80=8,80=7|80=10|80=7
109,84,1,1,1,80=8|80=10|80=8,80=7|80=10|80=7,80=7|80=10|80=7,80=7|80=10|80=7,80=8|80=10|80=8,80=7|80=10|80=7
110,84,1,1,1,80=8|80=10|80=8,80=7|80=10|80=7,80=7|80=10|80=7,80=7|80=10|80=7,80=8|80=10|80=8,80=7|80=10|80=7
111,84,1,1,1,80=8|80=10|80=8,80=7|80=10|80=7,80=7|80=10|80=7,80=7|80=10|80=7,80=8|80=10|80=8,80=7|80=10|80=7
112,85,1,1,1,80=8|80=10|80=8,80=7|80=10|80=7,80=7|80=10|80=7,80=7|80=10|80=7,80=8|80=10|80=8,80=7|80=10|80=7
113,85,1,1,1,80=8|80=10|80=8,80=7|80=10|80=7,80=7|80=10|80=7,80=7|80=10|80=7,80=8|80=10|80=8,80=7|80=10|80=7
114,85,1,1,1,80=8|80=10|80=8,80=7|80=10|80=7,80=7|80=10|80=7,80=7|80=10|80=7,80=8|80=10|80=8,80=7|80=10|80=7
115,85,1,1,1,80=8|80=10|80=8,80=7|80=10|80=7,80=7|80=10|80=7,80=7|80=10|80=7,80=8|80=10|80=8,80=7|80=10|80=7
116,85,1,1,1,80=8|80=10|80=8,80=7|80=10|80=7,80=7|80=10|80=7,80=7|80=10|80=7,80=8|80=10|80=8,80=7|80=10|80=7
117,85,1,1,1,80=8|80=10|80=8,80=7|80=10|80=7,80=7|80=10|80=7,80=7|80=10|80=7,80=8|80=10|80=8,80=7|80=10|80=7
118,85,1,1,1,80=8|80=10|80=8,80=7|80=10|80=7,80=7|80=10|80=7,80=7|80=10|80=7,80=8|80=10|80=8,80=7|80=10|80=7
119,85,1,1,1,80=8|80=10|80=8,80=7|80=10|80=7,80=7|80=10|80=7,80=7|80=10|80=7,80=8|80=10|80=8,80=7|80=10|80=7
120,85,1,1,1,80=8|80=10|80=8,80=7|80=10|80=7,80=7|80=10|80=7,80=7|80=10|80=7,80=8|80=10|80=8,80=7|80=10|80=7
121,85,1,1,1,80=8|80=10|80=8,80=7|80=10|80=7,80=7|80=10|80=7,80=7|80=10|80=7,80=8|80=10|80=8,80=7|80=10|80=7
122,85,1,1,1,80=8|80=10|80=8,80=7|80=10|80=7,80=7|80=10|80=7,80=7|80=10|80=7,80=8|80=10|80=8,80=7|80=10|80=7
123,85,1,1,1,80=8|80=10|80=8,80=7|80=10|80=7,80=7|80=10|80=7,80=7|80=10|80=7,80=8|80=10|80=8,80=7|80=10|80=7
124,85,1,1,1,80=8|80=10|80=8,80=7|80=10|80=7,80=7|80=10|80=7,80=7|80=10|80=7,80=8|80=10|80=8,80=7|80=10|80=7
125,85,1,1,1,80=8|80=10|80=8,80=7|80=10|80=7,80=7|80=10|80=7,80=7|80=10|80=7,80=8|80=10|80=8,80=7|80=10|80=7
126,85,1,1,1,80=8|80=10|80=8,80=7|80=10|80=7,80=7|80=10|80=7,80=7|80=10|80=7,80=8|80=10|80=8,80=7|80=10|80=7
127,85,1,1,1,80=8|80=10|80=8,80=7|80=10|80=7,80=7|80=10|80=7,80=7|80=10|80=7,80=8|80=10|80=8,80=7|80=10|80=7
128,85,1,1,1,80=8|80=10|80=8,80=7|80=10|80=7,80=7|80=10|80=7,80=7|80=10|80=7,80=8|80=10|80=8,80=7|80=10|80=7
129,85,1,1,1,80=8|80=10|80=8,80=7|80=10|80=7,80=7|80=10|80=7,80=7|80=10|80=7,80=8|80=10|80=8,80=7|80=10|80=7
130,85,1,1,1,80=8|80=10|80=8,80=7|80=10|80=7,80=7|80=10|80=7,80=7|80=10|80=7,80=8|80=10|80=8,80=7|80=10|80=7
131,85,1,1,1,80=8|80=10|80=8,80=7|80=10|80=7,80=7|80=10|80=7,80=7|80=10|80=7,80=8|80=10|80=8,80=7|80=10|80=7
132,85,1,1,1,80=8|80=10|80=8,80=7|80=10|80=7,80=7|80=10|80=7,80=7|80=10|80=7,80=8|80=10|80=8,80=7|80=10|80=7
133,86,1,1,1,80=8|80=10|80=8,80=7|80=10|80=7,80=7|80=10|80=7,80=7|80=10|80=7,80=8|80=10|80=8,80=7|80=10|80=7
134,86,1,1,1,80=8|80=10|80=8,80=7|80=10|80=7,80=7|80=10|80=7,80=7|80=10|80=7,80=8|80=10|80=8,80=7|80=10|80=7
135,86,1,1,1,80=8|80=10|80=8,80=7|80=10|80=7,80=7|80=10|80=7,80=7|80=10|80=7,80=8|80=10|80=8,80=7|80=10|80=7
136,86,1,1,1,80=8|80=10|80=8,80=7|80=10|80=7,80=7|80=10|80=7,80=7|80=10|80=7,80=8|80=10|80=8,80=7|80=10|80=7
137,86,1,1,1,80=8|80=10|80=8,80=7|80=10|80=7,80=7|80=10|80=7,80=7|80=10|80=7,80=8|80=10|80=8,80=7|80=10|80=7
138,86,1,1,1,80=8|80=10|80=8,80=7|80=10|80=7,80=7|80=10|80=7,80=7|80=10|80=7,80=8|80=10|80=8,80=7|80=10|80=7
139,86,1,1,1,80=8|80=10|80=8,80=7|80=10|80=7,80=7|80=10|80=7,80=7|80=10|80=7,80=8|80=10|80=8,80=7|80=10|80=7
140,87,1,1,1,80=8|80=10|80=8,80=7|80=10|80=7,80=7|80=10|80=7,80=7|80=10|80=7,80=8|80=10|80=8,80=7|80=10|80=7
141,87,1,1,1,80=8|80=10|80=8,80=7|80=10|80=7,80=7|80=10|80=7,80=7|80=10|80=7,80=8|80=10|80=8,80=7|80=10|80=7
142,87,1,1,1,80=8|80=10|80=8,80=7|80=10|80=7,80=7|80=10|80=7,80=7|80=10|80=7,80=8|80=10|80=8,80=7|80=10|80=7
143,87,1,1,1,80=8|80=10|80=8,80=7|80=10|80=7,80=7|80=10|80=7,80=7|80=10|80=7,80=8|80=10|80=8,80=7|80=10|80=7
144,87,1,1,1,80=8|80=10|80=8,80=7|80=10|80=7,80=7|80=10|80=7,80=7|80=10|80=7,80=8|80=10|80=8,80=7|80=10|80=7
145,87,1,1,1,80=8|80=10|80=8,80=7|80=10|80=7,80=7|80=10|80=7,80=7|80=10|80=7,80=8|80=10|80=8,80=7|80=10|80=7
146,87,1,1,1,80=8|80=10|80=8,80=7|80=10|80=7,80=7|80=10|80=7,80=7|80=10|80=7,80=8|80=10|80=8,80=7|80=10|80=7
147,88,1,1,1,80=8|80=10|80=8,80=7|80=10|80=7,80=7|80=10|80=7,80=7|80=10|80=7,80=8|80=10|80=8,80=7|80=10|80=7
148,88,1,1,1,80=8|80=10|80=8,80=7|80=10|80=7,80=7|80=10|80=7,80=7|80=10|80=7,80=8|80=10|80=8,80=7|80=10|80=7
149,88,1,1,1,80=8|80=10|80=8,80=7|80=10|80=7,80=7|80=10|80=7,80=7|80=10|80=7,80=8|80=10|80=8,80=7|80=10|80=7
150,88,1,1,1,80=8|80=10|80=8,80=7|80=10|80=7,80=7|80=10|80=7,80=7|80=10|80=7,80=8|80=10|80=8,80=7|80=10|80=7
151,88,1,1,1,80=8|80=10|80=8,80=7|80=10|80=7,80=7|80=10|80=7,80=7|80=10|80=7,80=8|80=10|80=8,80=7|80=10|80=7
152,88,1,1,1,80=8|80=10|80=8,80=7|80=10|80=7,80=7|80=10|80=7,80=7|80=10|80=7,80=8|80=10|80=8,80=7|80=10|80=7
153,88,1,1,1,80=8|80=10|80=8,80=7|80=10|80=7,80=7|80=10|80=7,80=7|80=10|80=7,80=8|80=10|80=8,80=7|80=10|80=7
154,89,1,1,1,80=8|80=10|80=8,80=7|80=10|80=7,80=7|80=10|80=7,80=7|80=10|80=7,80=8|80=10|80=8,80=7|80=10|80=7
155,89,1,1,1,80=8|80=10|80=8,80=7|80=10|80=7,80=7|80=10|80=7,80=7|80=10|80=7,80=8|80=10|80=8,80=7|80=10|80=7
156,89,1,1,1,80=8|80=10|80=8,80=7|80=10|80=7,80=7|80=10|80=7,80=7|80=10|80=7,80=8|80=10|80=8,80=7|80=10|80=7
157,89,1,1,1,80=8|80=10|80=8,80=7|80=10|80=7,80=7|80=10|80=7,80=7|80=10|80=7,80=8|80=10|80=8,80=7|80=10|80=7
158,89,1,1,1,80=8|80=10|80=8,80=7|80=10|80=7,80=7|80=10|80=7,80=7|80=10|80=7,80=8|80=10|80=8,80=7|80=10|80=7
159,89,1,1,1,80=8|80=10|80=8,80=7|80=10|80=7,80=7|80=10|80=7,80=7|80=10|80=7,80=8|80=10|80=8,80=7|80=10|80=7
160,89,1,1,1,80=8|80=10|80=8,80=7|80=10|80=7,80=7|80=10|80=7,80=7|80=10|80=7,80=8|80=10|80=8,80=7|80=10|80=7
161,90,1,1,1,90=10|90=13|90=10,90=8|90=10|90=8,90=8|90=10|90=8,90=8|90=10|90=8,90=10|90=13|90=10,90=8|90=10|90=8
162,90,1,1,1,90=10|90=13|90=10,90=8|90=10|90=8,90=8|90=10|90=8,90=8|90=10|90=8,90=10|90=13|90=10,90=8|90=10|90=8
163,90,1,1,1,90=10|90=13|90=10,90=8|90=10|90=8,90=8|90=10|90=8,90=8|90=10|90=8,90=10|90=13|90=10,90=8|90=10|90=8
164,90,1,1,1,90=10|90=13|90=10,90=8|90=10|90=8,90=8|90=10|90=8,90=8|90=10|90=8,90=10|90=13|90=10,90=8|90=10|90=8
