ID,Name,ActionName,SearchMode,MaxTime,SpecialEffect,EffectParent,AudioPath
20009,女猎人坐下,Hunter_F_Zuo,0,-1,,,
20013,女牧师坐下,Priest_F_Zuo,0,-1,,,
20014,男铁匠坐下,Blacksmith_M_Zuo,0,-1,,,
20015,男剑士导师站着耍帅,LordKnight_M_PaiZhaoPose,0,-1,,,
20016,驱魔仪式宝妮采集阵眼,NPC_F_BaoNi_Singing,0,-1,,,
20017,俄塞里斯持续吸血,Monster_ESaiLiSi_Skill_Singing,0,-1,,,
20018,梦罗克幼体虚弱状态,Monster_MengLuoKeYouTi_XuRuoZhuangTai,0,-1,,,
20019,凝神打坐,Champion_F_Skill_BingQiNingShen_Hide,0,-1,,,
30001,梦罗克城主站起,Magician_M_Idle,0,-1,,,
30002,梦罗克城主吟唱,HighWizard_M_Skill_Singing_02_Stick,0,-1,,,
30003,洛基震惊说话,Common_M_ZhenJingShuoHua,0,-1,,,
30004,洛基吟唱,Common_M_HeiYiRen_Singing_01,0,-1,,,
30005,洛基封印,Common_M_ShiFaDaZaoWuQi,0,5.11,,,
30006,GVG大门水晶破碎,Item_Collect_GvGShuiJing_Idle_01,0,-1,,,
30007,双人烹饪-成功,NPC_M_LiaoLiShangRen02_CookHouse_DianZan,0,3.2,,,
30008,双人烹饪-厨师警戒,NPC_M_LiaoLiShangRen02_CookHouse_JingJie,0,3.2,,,
30009,双人烹饪-厨师左偷吃,NPC_M_LiaoLiShangRen02_CookHouse_LeftTouChi,0,3.7,,,
30010,双人烹饪-厨师右偷吃,NPC_M_LiaoLiShangRen02_CookHouse_RightTouChi,0,3.7,,,
30011,双人烹饪-失败,NPC_M_LiaoLiShangRen02_CookHouse_ShengQi,0,5.9,,,
100001,律动女,Common_F_LvDong,0,2,,,
100002,舞池律动,LvDong,,-1,,,
100003,嘲笑男,Common_M_ChaoXiao,0,-1,,,
100004,擦汗,Common_M_CaHan,0,-1,,,
100005,坐着动来动去,Common_M_DengRu,0,-1,,,
100006,赌气男,Common_M_DuQi,0,-1,,,
100007,喝酒男,Common_M_HeJiu,0,-1,,,
100008,浇水男,Common_M_JiaoShui,0,-1,120029,1,
100009,拍手男,Common_M_PaiShou,0,-1,,,
100010,跳舞男,Common_M_PartyMachine,0,-1,,,
100011,喷人男,Common_M_PengRen,0,-1,,,
100012,亲吻男,Common_M_QinWen01_A,0,-1,,,
100013,摔倒站起来男,Common_M_ZhanQi,0,-1,,,
100014,仰头挥手男（双手）,Common_M_YangTouHuiShou_01,0,-1,,,
100015,仰头挥手男（单双替换）,Common_M_YangTouHuiShou,0,-1,,,
100016,小苹果,Common_M_XiaoPingGuo,0,-1,,,
100017,小猫舞（男）,Common_M_XiaoMaiWu,0,-1,,,
100018,思考（男）,Common_M_SiKao,0,-1,,,
100019,伸懒腰（男）,Common_M_ShenLanYao,0,-1,,,
100020,加油（男）,JiaYou,,-1,,,
100021,敬礼（男）,Common_M_JingLi,0,-1,,,
100022,浇水（男）,Common_M_JiaoShui,0,-1,,,
100023,欢呼（男）,HuanHu,,5,,,
100024,喊话（男）,Common_M_HanHua,0,-1,,,
100025,飞吻（男）,Common_M_FeiWen,0,-1,,,
100026,拳击攻击1,Common_M_QuanJi_Attack_01,0,-1,,,
100027,拳击攻击2,Common_M_QuanJi_Attack_02,0,-1,,,
100028,拳击攻击3,Common_M_QuanJi_Attack_03,0,-1,,,
100029,拳击抱头,Common_M_QuanJi_BaoTouDun,0,-1,,,
100030,拳击格挡,Common_M_QuanJi_GeDang,0,-1,,,
100031,拳击脚踹,Common_M_QuanJi_JiaoChuai,0,-1,,,
100032,拳击开场,Common_M_QuanJi_Show_01,0,-1,,,
100033,拳击开场2,Common_M_QuanJi_Show_02,0,-1,,,
100034,拳击技能,Common_M_QuanJi_Skill_01,0,-1,,,
100035,拳击挑衅,Common_M_QuanJi_TiaoXin,0,-1,,,
100036,拍手女,Common_F_PaiShou,0,-1,,,
100037,飞吻女,Common_F_FeiWen,0,-1,,,
100038,喝酒女,Common_F_HeJiu,0,-1,,,
100039,喂养女（喂养中）,Common_F_WeiYang,0,-1,,,
100040,喂养女蹲下,Common_F_WeiYangDunXia,0,-1,,,
100041,喂养女抚摸,Common_F_WeiYangFuMo,0,-1,,,
100042,喂养站起,Common_F_WeiYangZhanQi,0,-1,,,
100043,女公共说话1,NPC_F_Public01_Talk_01,0,-1,,,
100044,女公共说话2,NPC_F_Public02_Talk_01,0,-1,,,
100045,女公共说话2-1,NPC_F_Public02_Talk_02,0,-1,,,
100046,女公共说话3,NPC_F_Public03_Talk_01,0,-1,,,
100047,女公共说话4,NPC_F_Public04_Talk_01,0,-1,,,
100048,女公共说话5,NPC_F_Public05_Talk_01,0,-1,,,
100049,女公共说话6,NPC_F_Public06_Talk_01,0,-1,,,
100050,女公共说话7,NPC_F_Public07_Talk_01,0,-1,,,
100052,新引导员说话,NPC_F_Public09_Talk_01,0,-1,,,
100053,柴犬show,Monster_ChaiQuan_1_Show,0,-1,,,
100054,广播体操男（右）,Common_M_GuanBoTiCao_01,0,-1,,,
100055,广播体操男（左）,Common_M_GuanBoTiCao_02,0,-1,,,
100056,被抱大腿女,Common_F_BaoDaTui,0,-1,,,
100057,抱大腿男,Common_M_BaoDaTui,0,-1,,,
100058,杂耍男,Common_M_ZaShua,0,-1,600000,,
100059,占星女,Common_F_ZhanXing,0,-1,,,
100060,洁癖女,Common_F_JiePi,0,-1,,,
100061,跪地擦地,Common_M_GuiZheCaDi,0,-1,,,
100062,吟唱（女）,Common_F_YinChang,0,-1,,,
100063,嘴炮者说话,Common_F_YinChang,0,-1,,,
100064,震惊说话,Common_M_ZhenJingShuoHua,0,-1,,,
100065,普通说话女,Common_F_ShuoHua,0,-1,,,
100066,靠墙吐痰,Common_M_KaoQiangGeXing,0,-1,,,
100067,卖东西女刚开始,Common_F_MaiDongXi_01,0,-1,,,
100068,卖东西好好卖,Common_F_MaiDongXi_02,0,-1,,,
100069,头痛,Common_M_TouTongYaoTou,0,4,,,
100070,扮鬼脸（善思）小孩,NPC_M_ShanSi_BanGuiLian,0,-1,,,
100071,撒娇(表情动作),Common_F_SaJiaoYaoHuang,0,-1,,,
100072,招客人,ZhaoKeRen,,-1,,,
100073,非人妈妈凶,NPC_F_QinQieDeAYi_MaMaXiong,0,-1,,,
100074,胖妹休闲,NPC_F_PangMei_XiuXian,0,-1,,,
100075,酒保说话,NPC_M_JiuBao_Talk,0,-1,,,
100076,酒保show01,Cut028_Cam01_JiuBao01_M,0,-1,,,
100077,酒保show02,Cut028_Cam01_JiuBao02_M,0,-1,,,
100078,成功商人说话,NPC_M_ChengGongShangRen_Talk,0,-1,,,
100079,光鲜亮丽宝妮说话,NPC_F_BaoNi_Talk,0,-1,,,
100080,光鲜亮丽宝妮唱歌,NPC_F_BaoNi_Singing,0,-1,,,
100081,个性待机表演女1,NPC_F_Public01_Show_01,0,-1,,,
100082,个性待机表演女2,NPC_F_Public02_Show_01,0,-1,,,
100083,个性待机表演女3,NPC_F_Public03_Show_01,0,-1,,,
100084,个性待机表演女4,NPC_F_Public04_Show_01,0,-1,,,
100085,个性待机表演女5,NPC_F_Public05_Show_01,0,2.3,,,
100086,个性待机表演女6,NPC_F_Public06_Show_01,0,-1,,,
100087,个性待机表演女7,NPC_F_Public07_Show_01,0,-1,,,
100088,猫咪休闲,Monster_FeiMao_XiuXian,0,-1,,,
100089,邮箱表演动作,NPC_M_YouDiTong_Show_01,0,-1,,,
100090,引导员说话,NPC_F_Public09_Show_01,0,-1,,,
100091,卖东西男,Common_M_MaiDongXi,0,-1,,,
100092,海鸥梳理1,Monster_HaiOu_ShuLi_01,0,-1,,,
100093,海鸥梳理2,Monster_HaiOu_ShuLi_02,0,-1,,,
100094,舞娘跳舞,Common_F_ZhaiWu_01,0,32,,,
100095,初心者戳剑女,Novice_F_Skill_Attack_02_Dagger,0,-1,,,
100096,初心者戳剑男,Novice_M_Skill_Attack_01_Dagger,0,-1,,,
100097,鞠躬男,Common_M_JuGong,0,-1,,,
100098,阅读书男,Common_M_YueDuShu,0,-1,,,
100099,嘴炮者说话,Common_M_ZuiPaoZheShuoHua,0,-1,,,
100100,好笑（需要接好笑的待机）,Common_M_ZuiPaoZheShuoHua,0,-1,,,
100101,浇水女,Common_F_JiaoShui,0,-1,120029,1,
100102,可爱的孩子男跳,NPC_M_ShanSi_Tiao,0,-1,,,
100103,可爱的孩子男扮鬼脸,NPC_M_ShanSi_BanGuiLian,0,-1,,,
100104,可爱的孩子男抚摸,NPC_M_ShanSi_FuMo,0,-1,,,
100105,可爱的孩子男哭,NPC_M_ShanSi_Ku,0,-1,,,
100106,可爱的孩子男沮丧,NPC_M_ShanSi_JuSang,0,-1,,,
100107,可爱的孩子女哭,NPC_F_KeAiDeHaiZi_Ku,0,-1,,,
100108,可爱的孩子女跳,NPC_F_KeAiDeHaiZi_Tiao,0,-1,,,
100109,可爱的孩子女说话,NPC_F_KeAiDeHaiZi_Talk_01,0,-1,,,
100110,可爱的孩子女沮丧,NPC_F_KeAiDeHaiZi_JuSang,0,-1,,,
100111,梦幻秘境工作人员发传单,NPC_F_MengHuanMiJingGongZuoRenYuan_Show_01,0,-1,,,
100112,船长说话,NPC_M_ChuanZhang_Talk_01,0,-1,,,
100113,流氓靠墙挑衅,NPC_M_LiuMang_KaoQiang_TiaoXi,0,-1,,,
100114,流氓秀肌肉,NPC_M_LiuMang_XiuJiRou,0,3.04,,,
100115,鸽子飞走1-延迟飞走,Monster_GeZi_Fly,0,-1,,,
100116,初心者idle,Novice_M_Idle,0,-1,,,
100117,抱书放下,Common_M_BaoShu_FangXia,0,-1,,,
100118,抱书拿起,Common_M_BaoShu_NaQi,0,-1,,,
100119,抱书走路,Common_M_BaoShu_Walk,0,-1,,,
100120,锄地（未循环）,Common_M_ChuDi,0,-1,,,
100121,锄地擦汗（未循环）,Common_M_ChuDiCaHan,0,-1,,,
100122,道别,Common_M_DaoBie,0,-1,,,
100123,单双手挥手,Common_M_DiTouHuiShou,0,-1,,,
100124,拉弓,Common_M_LaGong,0,-1,,,
100125,喷火杂耍,Common_M_PenHuoZaShua,0,-1,,,
100126,施法打造武器,Common_M_ShiFaDaZaoWuQi,0,-1,,,
100127,占卜师,Common_M_ZhanBuShi,0,-1,,,
100128,鸽子飞走2-立即飞走,Monster_GeZi_QiFei,0,-1,,,
100129,猫咪顺毛,Monster_FeiMao_ShunMao,0,8.08,,,
100130,猫咪玩球,Monster_FeiMao_WanQiu,0,,,,
100131,猫咪炸毛,Monster_FeiMao_ZhaMao,0,7,,,
100132,猫咪坐着,Monster_FeiMao_ZuoZhe,0,6.15,,,
100133,爱神个性待机,NPC_F_AiSheng_Show_01,0,-1,,,
100136,男性角色跳舞（喷泉舞蹈会）,Common_M_Dance_Stayplay_01,0,36.8,,,
100137,女性角色跳舞（喷泉舞蹈会）1,Common_F_Dance_Stayplay_01,0,16.7,,,
100138,女性角色跳舞（喷泉舞蹈会）2,Common_F_Dance_Stayplay_02,0,19.6,,,
100139,女性角色跳舞（喷泉舞蹈会）3,Common_F_Dance_Stayplay_03,0,19,,,
100140,占卜师,Common_M_ZhanBuShi,0,-1,100080,1,
20011,Shansi抚摸,NPC_M_ShanSi_FuMo,0,-1,,,
20012,法师导师念咒,NianZhou,0,-1,36,,
20020,法师封印动作,Acolyte_F_Skill_Singing_02_Hide,0,-1,20,,
20021,弓手施法动作,Archer_F_Skill_FenYinJian_Casting,0,-1,,,
20022,弓手施放动作,Archer_F_Skill_FenYinJian_Release,0,-1,,,
20023,举火把idle,Novice_M_JuHuoJu_Idle,0,-1,,,
20024,举火把run,Novice_M_JuHuoJu_Run,0,-1,,,
20025,小女孩沮丧,NPC_F_KeAiDeHaiZi_JuSang,0,-1,,,
20026,鞠躬女,Common_F_JuGong,0,-1,,,
20027,转圈女,Common_F_ZhuanQuan,0,-1,,,
20028,炮台超载_idle,Monster_TuJiPao_IdleF_02,0,-1,,,
20029,炮台超载_behit,Monster_TuJiPao_BeHit_02,0,-1,,,
20030,炮台强袭_idle,Monster_TuJiPao_IdleF_03,0,-1,,,
20031,炮台强袭_behit,Monster_TuJiPao_BeHit_03,0,-1,,,
20032,炮台超载_dead,Monster_Skill_TuJiPao_Death_02,0,-1,,,
20033,炮台强袭_dead,Monster_Skill_TuJiPao_Death_03,0,-1,,,
20034,马拉跑,NPC_F_Public05_Run,0,-1,,,
20035,马拉欢迎,NPC_F_Public05_HuanYing,0,-1,,,
20036,蹲着,Common_M_DunFu_02,0,-1,,,
20037,眩晕,Magician_M_Stun,0,-1,,,
20038,蜗牛防御,Monster_WoNiuWang_JueDuiFangYu_XunHuan,0,-1,,,
20039,魔法书打开,Item_Collect_ZSTaiZi_001_Open,0,-1,1115,,
20040,魔法书打开待机,Item_Collect_ZSTaiZi_001_Idle03,0,-1,1116,,
20041,魔法书关闭,Item_Collect_ZSTaiZi_001_Close,0,-1,1117,,
20043,仪式之门打开,Item_Collect_Meng_001_Idle_01,0,-1,,,
20044,拉拉兔狂暴状态,Monster_BaiTuWang_Skill_KuangBao_Idle,0,-1,,,
20045,被毕尤击飞,Common_M_JiFei,0,0.8,,,
20046,木桩1被击,Item_Collect_XSBaZi_002_BeHit02,0,-1,,,
20047,木桩2被击2,Monster_MuZhuang_BeHit_02,0,-1,,,
20048,木桩2被击3,Monster_MuZhuang_BeHit_03,0,-1,,,
20049,木桩2被击4,Monster_MuZhuang_BeHit_04,0,-1,,,
20050,木桩2被击1,Monster_MuZhuang_BeHit_01,0,-1,,,
20051,新木桩1被击,Item_Collect_XSBaZi_001_BeHit02,0,-1,,,
20052,新木桩2被击,Item_Collect_XSBaZi_003_BeHit02,0,-1,,,
20053,浮空待机,Common_M_FuKong_Idle,0,-1,,,
110001,舞池律动,LvDong,,-1,,,
110002,RunningMan,RunningMan,,5,,,
110003,PartyMachine,PartyMachine,,5,,,
110004,BodyDown,BodyDown,,4,,,
110005,TurnRight,TurnRight,,3.5,,,
110006,TaiKongBu,TaiKongBu,,10,,,
110007,XiaoMaiWu,XiaoMaiWu,,3.5,,,
110008,XiaoPingGuo,XiaoPingGuo,,10,,,
110009,蝗虫贝斯,NPC_M_HuangChongBeiSi_Show,0,-1,,,
110010,蝗虫鼓手,NPC_M_HuangChongGuShou_Show,0,-1,,,
110011,蝗虫键盘,NPC_M_JianPanShou_Show,0,-1,,,
110012,点唱机1,Item_Collect_DianChangJi_Idle01,0,-1,,,
110013,点唱机2,Item_Collect_DianChangJi_Idle02,0,-1,,,
110014,点唱机3,Item_Collect_DianChangJi_Idle03,0,-1,,,
110015,蝗虫小提琴,NPC_M_HuangChongXiaoTiQin_Show,0,-1,,,
110016,蝗虫吉他,NPC_M_JiTa_Show,0,-1,,,
110017,吟游诗人弹琴,NPC_M_YinYouShiRen01_TanQin,0,5.73,,,
120001,卡努抱头1,NPC_M_ShanSi_JuSang,0,-1,,,
120002,卡努抱头2,NPC_M_KaNu_Release,0,-1,,,
120003,拳击格挡,Common_M_QuanJi_GeDang,0,-1,,,
120004,持续思考,Common_M_ChiXuSiKao,0,-1,,,
120005,受伤倒地,Common_F_ShouShang,0,-1,,,
120006,春节BOSS引导,Monster_DaBaFengTe_Skill_JuJiao_03,0,-1,,,
200000,哥布灵首领攻击动作,Monster_GeBuLinShouLing_Attack,0,-1,,,
100134,大世界彩蛋砸蛋,Novice_M_Skill_Attack_01_None,0,-1,,,
100135,大世界彩蛋开启宝箱 ,CaiJi,,1,,,
20042,罐子碎裂,Item_Collect_ColorDanGuanZi_Death01,0,-1,,,
200001,恶灵攻击,Monster_MoFaShi_Attack,0,-1,,,
200002,恶灵表演,Monster_MoFaShi_Skill_LingHunAnJi,0,-1,,,
200003,女巫扫把表演,Mount_NvWuDeShaoBa_Show_02,0,-1,,,
200004,狸猫表演,Monster_LiMao_ZuoNong,0,-1,,,
200005,木乃伊表演,Monster_ESaiLiSi_Angry,0,-1,,,
130001,领主女儿要糖,NPC_F_LingZhuNvEr_YaoTang,0,4.3,,,
130002,卡努要糖,NPC_M_KaNu_YaoTang,0,-1,,,
130003,可爱的孩子要糖,NPC_F_KeAiDeHaiZi_YaoTang_Loop,0,3,,,
130004,卖花少女要糖,NPC_F_MaiHuaShaoNv_YaoTang_Loop,0,3,,,
130005,仓库管理员要糖,NPC_M_CangKuGuanLiYuan_YaoTang_Loop,0,3,,,
130006,少年要糖,NPC_M_ShaoNian_YaoTang_Loop,0,3,,,
130007,善思要糖,NPC_M_ShanSi_Tiao,0,-1,,,
130008,木乃伊惊吓,Monster_ESaiLiSi_JingXia,0,-1,,,
130009,夜光鬼数网眼,Monster_YeGuangGui_ShuWangYan,0,-1,2691555,0,
130010,善思点炮仗,NPC_M_ShanSi_DianPaoZhang,0,-1,,,
130011,祭拜-通用,Common_M_JiBai,0,-1,,,
130012,少女捂耳朵,NPC_F_MaiHuaShaoNv_WuErDuo,0,-1,,,
130013,花灯-粉恶魔,Item_Collect_FenEMoHuaDeng_Idle,0,-1,2691556,0,
130014,花灯-黄恶魔,Item_Collect_HuangEMoHuaDeng_Idle,0,-1,2691557,0,
130015,花灯-波利,Item_Collect_BoLiHuaDeng_Idle,0,-1,2691558,0,
130016,花灯-月亮,Item_Collect_YueLiangHuaDeng_Idle,0,-1,2691559,0,
130017,花灯-荷花,Item_Collect_HeHuaDeng_Idle,0,-1,2691560,0,
104000,瓦尔基里受伤,NPC_F_WaErJiLi_JuQing_ShouShang02_Loop,0,-1,,,
105000,单膝跪下,Assassin_F_Zuo,0,-1,,,
105001,乌鸦飞,Monster_WuYa_Fly,0,-1,,,
105002,天空套说话,NPC_M_TianKongTao_Talk,0,-1,,,
105003,喝酒时没酒杯特效,HeJiu,,-1,,,
105004,火烟瓶,Alchemist_M_Skill_HuoYanPingTouZhi_Hide,0,-1,62012,1,
105005,生命标记,Alchemist_F_Skill_ShengMingBiaoJi_None,0,-1,62022,1,
105006,纤细药水,Creator_F_Skill_XianXiYaoShuiTouZhi_Hide,0,-1,62025,1,
105007,接电话,NPC_F_Public05_JieDianHua,0,0.767,,,
105008,接电话待机,NPC_F_Public05_JieDianHua_Idle,0,-1,,,
105009,接电话慌张,NPC_F_Public05_JieDianHua_huangzhang,0,5.667,,,
105010,挂电话,NPC_F_Public05_GuaDianHua,0,0.833,,,
105011,松鼠女仆吟唱,Pet_MiLi_Singing_01,0,-1,,,
105012,松鼠女仆表演,Pet_MiLi_Show_01,0,-1,,,
105013,火精灵表演,Pet_HuoJingLing_Show_01,0,-1,,,
105014,记忆碎片-探测,Acolyte_F_Skill_Singing_02_Hide,0,5,,,
105015,骷髅马展示,NPC_M_KuLouMa_Show_01,0,-1,,,
105016,贤者施法,Sage_M_Skill_Release_03_Book,0,1,,,
106000,墓碑光点,Acolyte_M_Idle,0,-1,120030,0,
106001,神秘小队-倒地,Common_F_ShouShang,0,-1,,,
106002,娑娜坐起,Magician_F_Zuo,0,-1,,,
106003,攻击,Swordman_F_Skill_Attack_01_Sword,0,-1,,,
106004,小曼攻击,Monster_SaiDuLa_Attack,0,-1,,,
106005,兔子攻击,Monster_XiaoBaiTu_Attack,0,-1,,,
106006,狼攻击,Monster_Wolf_Attack,0,-1,,,
106007,打雪仗,NPC_M_ShanSi_RengXueQiu,0,-1,2690541,0,
106008,打雪仗,NPC_M_CangKuGuanLiYuan_RengXueQiu,0,-1,2690541,0,
106009,打雪仗,NPC_F_KeAiDeHaiZi_RengXueQiu,0,-1,2690541,0,
